Personne 0;Personne 1;Personne 2;Personne 3;Personne 4;Personne 5;Personne 6;Personne 7;Personne 8;Personne 9;Personne 10;Personne 11;Personne 12;Personne 13;Personne 14;Personne 15;Personne 16;Personne 17;Personne 18;Personne 19;Personne 20;Personne 21;Personne 22;Personne 23;Personne 24;Personne 25;Personne 26;Personne 27;Personne 28;Personne 29;Personne 30;Personne 31;Personne 32;Personne 33;Personne 34;Personne 35;Personne 36;Personne 37;Personne 38;Personne 39;Personne 40;Personne 41;Personne 42;Personne 43;Personne 44;Personne 45;Personne 46;Personne 47;Personne 48;Personne 49;Personne 50;Personne 51;Personne 52;Personne 53;Personne 54;Personne 55;Personne 56;Personne 57;Personne 58;Personne 59;Personne 60;Personne 61;Personne 62;Personne 63;Personne 64;Personne 65;Personne 66;Personne 67;Personne 68;Personne 69;Personne 70;Personne 71;Personne 72;Personne 73;Personne 74;Personne 75;Personne 76;Personne 77;Personne 78;Personne 79;Personne 80;Personne 81;Personne 82;Personne 83;Personne 84;Personne 85;Personne 86;Personne 87;Personne 88;Personne 89;Personne 90;Personne 91;Personne 92;Personne 93;Personne 94;Personne 95;Personne 96;Personne 97;Personne 98;Personne 99;Personne 100;Personne 101;Personne 102;Personne 103;Personne 104;Personne 105;Personne 106;Personne 107;Personne 108;Personne 109;Personne 110;Personne 111;Personne 112;Personne 113;Personne 114;Personne 115;Personne 116;Personne 117;Personne 118;Personne 119;Personne 120;Personne 121;Personne 122;Personne 123;Personne 124;Personne 125;Personne 126;Personne 127;Personne 128;Personne 129;Personne 130;Personne 131;Personne 132;Personne 133;Personne 134;Personne 135;Personne 136;Personne 137;Personne 138;Personne 139;Personne 140;Personne 141;Personne 142;Personne 143;Personne 144;Personne 145;Personne 146;Personne 147;Personne 148;Personne 149;Personne 150;Personne 151;Personne 152;Personne 153;Personne 154;Personne 155;Personne 156;Personne 157;Personne 158;Personne 159;Personne 160;Personne 161;Personne 162;Personne 163;Personne 164;Personne 165;Personne 166;Personne 167;Personne 168;Personne 169;Personne 170;Personne 171;Personne 172;Personne 173;Personne 174;Personne 175;Personne 176;Personne 177;Personne 178;Personne 179;Personne 180;Personne 181;Personne 182;Personne 183;Personne 184;Personne 185;Personne 186;Personne 187;Personne 188;Personne 189;Personne 190;Personne 191;Personne 192;Personne 193;Personne 194;Personne 195;Personne 196;Personne 197;Personne 198;Personne 199;
0,02;0,02;3,023175;3,351661;3,537762;3,969243;4,125615;4,295189;4,35086;4,35086;4,449826;4,509034;4,693447;4,759805;5,044508;5,372368;5,435828;5,449335;5,592826;5,636113;5,711613;5,897526;5,955568;6,092845;6,134574;6,179219;6,293251;6,415163;6,453678;6,558435;6,678938;6,757826;6,819735;6,908762;6,956573;6,970601;7,193979;7,211044;7,387507;7,418834;7,554918;7,598918;7,698148;7,75899;7,849222;7,985435;8,015913;8,015913;8,151601;8,196668;8,226573;8,356891;8,438576;8,438576;8,525883;8,588115;8,619287;8,772082;8,788042;8,837343;8,958975;8,972512;9,058253;9,136298;9,217094;9,230545;9,387143;9,411055;9,475735;9,638222;9,638222;9,696404;9,696404;9,886835;9,886835;9,886835;9,916162;10,0724;10,11511;10,2798;10,29234;10,37844;10,39156;10,47565;10,47565;10,57185;10,69645;10,77928;10,83623;10,91795;10,9596;11,09501;11,15688;11,21668;11,37916;11,37916;11,4508;11,59063;11,6193;11,69989;11,69989;11,76855;11,99895;12,01097;12,21262;12,3347;12,37484;12,45259;12,5198;12,60787;12,71658;12,8291;12,85641;12,89585;13,05865;13,15459;13,21738;13,27657;13,45733;13,59276;13,63283;13,73382;13,79938;13,89618;13,90789;13,93467;14,01635;14,15938;14,2158;14,30766;14,33555;14,51562;14,53887;14,67805;14,79974;14,8788;15,11717;15,27184;15,37731;15,49358;15,5332;15,61927;15,65838;15,65838;15,79916;15,83723;15,91076;16,00905;16,05913;16,0954;16,43221;16,46761;16,57393;16,73392;16,79843;17,0399;17,0399;17,14937;17,2397;17,28903;17,5386;17,61761;17,65063;17,76825;17,93931;18,0336;18,13107;18,2575;18,47454;18,61339;18,85425;18,85425;18,97671;19,09871;19,25376;19,33192;19,35518;19,57487;19,77433;19,85966;19,97777;20,0354;20,15674;20,31165;20,35793;20,4397;20,51984;20,75437;20,95975;21,05794;21,19983;21,38916;21,91512;22,17111;22,27473;22,33168;22,61751;23,67942;24,57381;24,97205;
0,1806128;0,1806128;0,1806128;1,525499;3,612737;3,793596;4,094363;4,450166;4,534513;4,693164;4,953235;5,141026;5,187392;5,359026;5,359026;5,551519;5,659512;5,721468;5,754886;5,889902;5,951263;6,040689;6,073164;6,254572;6,284631;6,393063;6,453652;6,529244;6,542297;6,606122;6,711747;6,772085;6,845663;6,873817;6,970355;7,030681;7,074508;7,209855;7,223685;7,240161;7,332897;7,423056;7,47255;7,553049;7,608229;7,665381;7,681172;7,811883;7,850639;7,903223;8,033638;8,093223;8,154626;8,271542;8,271542;8,325497;8,504142;8,533007;8,659376;8,712945;8,85455;8,994771;9,010069;9,162336;9,211687;9,226454;9,34318;9,411882;9,411882;9,522757;9,588972;9,650393;9,831503;9,831503;9,844686;9,90907;10,00713;10,00713;10,05496;10,19289;10,22413;10,22413;10,39291;10,43078;10,44286;10,56125;10,62194;10,64099;10,68535;10,83194;10,88678;10,93313;10,96121;11,05371;11,1549;11,35121;11,39257;11,43464;11,53295;11,752;11,88192;11,95385;11,95385;12,11416;12,126;12,1549;12,28421;12,312;12,43495;12,43495;12,52491;12,54916;12,71105;12,75226;12,832;12,91266;12,953;13,03463;13,03463;13,11478;13,15457;13,29452;13,35289;13,47342;13,51034;13,68606;13,68606;13,78567;13,87314;13,94054;14,07194;14,12968;14,29224;14,40334;14,54776;14,71308;14,80744;15,15343;15,15343;15,25026;15,35358;15,43052;15,48341;15,62079;15,64962;15,75128;15,83117;15,87054;15,94969;16,05209;16,11061;16,24664;16,31423;16,3653;16,39082;16,94097;17,04671;17,10584;17,30705;17,5458;17,68838;17,83465;17,83465;17,95027;18,01463;18,32476;18,47441;19,11301;19,15292;19,3822;19,3822;19,48773;19,63345;19,71168;19,95267;20,03365;20,16827;20,21173;20,37191;20,46713;20,46713;20,58963;20,79215;21,11281;21,3872;21,41034;21,54698;21,67262;21,68506;21,86947;21,97295;22,81281;22,9113;23,1337;23,36516;23,93008;24,29357;24,29357;24,53189;24,73421;
3,075617;3,622793;4,276113;4,901984;5,008218;5,088159;5,157627;5,224433;5,334661;5,527437;5,558164;5,674191;5,756542;5,808769;5,985521;5,985521;6,05792;6,187676;6,444223;6,78758;6,81778;6,965633;7,029031;7,059768;7,188873;7,188873;7,429062;7,429062;7,49986;7,586883;7,600402;7,745303;7,936699;7,936699;7,975276;8,018163;8,122419;8,206248;8,244967;8,244967;8,287608;8,419588;8,47826;8,50874;8,522621;8,689216;8,689216;8,717341;8,837292;8,853298;8,959249;8,977108;9,134263;9,134263;9,189175;9,264959;9,306745;9,320803;9,415885;9,446441;9,553309;9,640208;9,726105;9,763545;9,929228;9,957142;9,986249;10,10698;10,10698;10,13706;10,26859;10,30828;10,36316;10,40201;10,52557;10,58761;10,66857;10,68155;10,74658;10,8751;10,92546;10,95729;11,09928;11,15811;11,20518;11,37652;11,46469;11,47747;11,50864;11,58227;11,63944;11,72238;11,73688;11,81987;11,9045;11,98826;12,04467;12,1267;12,19623;12,23629;12,34488;12,38165;12,44361;12,56695;12,60788;12,65714;12,72214;12,80345;12,88581;12,9267;12,9267;13,12511;13,12511;13,16306;13,29546;13,33826;13,44339;13,46825;13,64177;13,69601;13,75613;13,88853;14,0465;14,10533;14,14404;14,19649;14,28553;14,32271;14,34925;14,38917;14,50275;14,51505;14,62632;14,68471;14,69816;14,90509;14,90509;15,06586;15,14815;15,16066;15,34583;15,38745;15,46321;15,46321;15,57837;15,57837;15,77789;15,77789;15,88323;15,98638;15,99851;16,08431;16,20726;16,20726;16,38645;16,3979;16,49747;16,58629;16,74296;16,76931;16,86816;16,92712;17,10819;17,30138;17,34748;17,34748;17,58081;17,66429;17,78599;17,82309;17,98375;18,04565;18,22569;18,42822;18,4402;18,62726;18,88751;18,88751;19,12635;19,12635;19,12635;19,40262;19,46822;19,50262;19,56816;19,68598;19,86738;20,32668;20,59923;20,6242;20,78601;20,92791;21,02217;21,26175;22,28425;22,56288;22,82288;23,10311;24,44243;26,1408;
3,675492;3,915065;4,356582;4,433478;4,517283;4,610219;4,705739;4,806316;4,871768;4,982273;5,073974;5,186251;5,291803;5,394899;5,436912;5,450774;5,566631;5,566631;5,7254;5,810207;5,88601;5,902066;5,994187;6,067216;6,214401;6,333659;6,34717;6,488673;6,535891;6,657066;6,671417;6,804699;6,925801;6,925801;6,988395;7,070347;7,070347;7,148222;7,224941;7,265387;7,301784;7,416131;7,456132;7,56846;7,583421;7,70701;7,824333;7,870978;7,90891;8,094781;8,094781;8,155098;8,186007;8,342452;8,381458;8,4273;8,457285;8,592415;8,603952;8,603952;8,725478;8,856111;8,913005;8,95519;8,985072;9,065736;9,130668;9,256715;9,272892;9,375526;9,389949;9,51631;9,575971;9,621847;9,682002;9,769749;9,816563;9,922563;9,984878;10,03611;10,09633;10,27577;10,27577;10,37728;10,50727;10,57443;10,5886;10,62496;10,78411;10,83084;10,85254;10,92923;11,00981;11,04541;11,09611;11,14705;11,2657;11,2905;11,36271;11,39164;11,50777;11,59136;11,60484;11,63571;11,71346;11,79578;11,8855;11,8855;11,91408;12,04808;12,10829;12,20658;12,24889;12,34663;12,45625;12,48666;12,48666;12,6328;12,74739;12,93186;12,98871;13,08807;13,12276;13,32625;13,32625;13,57625;13,62214;13,65316;13,84685;13,84685;13,95211;14,07382;14,14558;14,33479;14,38806;14,46779;14,53416;14,65077;14,71068;14,82455;14,93453;15,05441;15,23106;15,27139;15,29518;15,40093;15,44545;15,50217;15,56297;15,66038;15,73597;15,83632;15,97099;16,01345;16,12912;16,21408;16,31592;16,35574;16,51729;16,6129;16,62709;16,83697;16,87249;16,87249;16,91552;17,04477;17,11521;17,31608;17,31608;17,46779;17,67465;17,67465;18,03414;18,18794;18,22984;18,31556;18,49246;18,57587;18,7171;18,91659;18,95123;19,11189;19,23706;19,33202;19,49034;19,75256;19,75256;19,96643;20,2127;20,39116;20,67223;20,83505;20,9217;21,11405;21,35576;21,71245;22,4456;22,66735;22,9161;26,51699;
0,7489429;1,435706;2,929249;3,039782;3,476612;3,604265;3,803545;3,820106;4,175055;4,658347;4,677798;4,90855;4,959814;5,026681;5,214822;5,261089;5,416429;5,440846;5,656458;5,884052;5,90524;5,985719;6,071614;6,276885;6,376291;6,427306;6,427306;6,614932;6,700988;6,739231;6,776225;6,893326;6,911537;6,992702;7,040681;7,083647;7,200555;7,3087;7,335801;7,404713;7,498282;7,522369;7,571929;7,688928;7,712062;7,817496;7,837615;7,952086;7,993388;8,11717;8,11717;8,23944;8,37171;8,430743;8,495175;8,522152;8,676104;8,676104;8,807943;8,906613;8,906613;9,053907;9,053907;9,197806;9,381993;9,453654;9,568652;9,568652;9,661896;9,763612;9,840399;9,875884;9,974565;10,01815;10,10906;10,18796;10,24241;10,24241;10,43473;10,47443;10,51658;10,64397;10,64397;10,6981;10,85882;10,91612;10,95054;10,9832;11,08123;11,1146;11,15976;11,28736;11,31136;11,33776;11,38947;11,41381;11,4955;11,65633;11,70933;11,75944;11,80229;11,98497;11,98497;11,99725;12,18722;12,33826;12,49926;12,49926;12,6605;12,76503;12,84326;12,95723;13,08814;13,1236;13,14725;13,30779;13,36485;13,46412;13,52461;13,66222;13,73997;13,76684;13,84402;13,90482;14,01813;14,04379;14,09765;14,24614;14,28197;14,38875;14,42353;14,62763;14,80547;15,00432;15,01952;15,04946;15,2065;15,32571;15,39933;15,4839;15,56556;15,62144;15,76905;16,00606;16,11878;16,56219;16,62367;16,84723;16,94981;17,02335;17,08327;17,26329;17,3049;17,45777;17,55748;17,68995;17,72881;17,84884;17,94362;18,08296;18,18109;18,40737;18,68457;18,92409;18,92409;19,14887;19,48265;19,68918;19,90983;20,12313;20,36092;20,58947;20,82297;21,06896;21,52854;21,72886;21,96881;22,14022;22,43724;22,64528;22,86697;24,32824;24,99958;25,1841;25,68185;25,78637;25,92463;26,285;26,38963;26,94351;30,04466;30,32238;31,08943;31,42517;31,76446;32,06742;32,66505;32,98661;33,82961;36,94466;
0,1570172;1,360794;2,929454;3,470233;3,793115;3,991855;4,23225;4,449757;4,526874;4,681901;4,711745;4,824739;4,910326;5,00298;5,210686;5,274392;5,372367;5,472227;5,528117;5,642495;5,722469;5,784645;5,890363;5,973971;6,031792;6,214475;6,332256;6,345505;6,485376;6,529411;6,529411;6,680981;6,74067;6,823138;6,932481;6,932481;7,020589;7,096249;7,151135;7,287359;7,302206;7,411984;7,411984;7,525388;7,550756;7,690633;7,702401;7,744231;7,793787;7,964607;7,980149;8,009857;8,173129;8,290856;8,367317;8,411655;8,433863;8,549815;8,601445;8,69396;8,759747;8,802101;8,942308;8,9688;9,051741;9,153253;9,210965;9,26923;9,286895;9,361399;9,43534;9,494458;9,510155;9,549524;9,649273;9,733788;9,748627;9,853137;9,891431;9,931192;9,943558;10,04831;10,17044;10,1942;10,29217;10,32918;10,49014;10,56964;10,60827;10,60827;10,72895;10,75356;10,80436;10,94739;11,0912;11,0912;11,21162;11,29217;11,29217;11,41243;11,50933;11,57412;11,65389;11,69278;11,7437;11,78384;11,91285;11,91285;12,01187;12,0361;12,2486;12,29014;12,36815;12,36815;12,50908;12,58968;12,61347;12,77273;12,92902;13,10518;13,12202;13,30745;13,394;13,46061;13,53456;13,69175;13,75066;13,87399;13,95039;14,07425;14,224;14,28766;14,28766;14,5126;14,6137;14,62625;14,75012;14,9135;14,97443;15,01291;15,12588;15,16899;15,29289;15,44474;15,51387;15,55216;15,67346;15,84572;15,86802;15,95421;16,11563;16,25273;16,46276;16,52637;16,67013;16,80657;16,80657;16,86711;16,89136;17,06787;17,20966;17,38121;17,55202;17,60714;17,67319;17,84674;18,03289;18,1489;18,23306;18,31152;18,41046;19,16276;19,24475;19,41884;19,5659;19,61399;19,78174;19,8363;20,00763;20,27821;20,47861;20,49759;20,68805;20,92921;21,09042;21,93442;22,09336;22,30939;22,34479;22,53005;23,15027;23,27176;23,36653;23,59236;23,80989;24,03365;24,26696;24,69297;25,18583;25,39277;
0,142706;0,3282474;3,508604;3,685642;4,078263;4,32832;4,367796;4,4097;4,519067;4,720785;4,883212;5,245695;5,308182;5,308182;5,522114;5,615513;5,714135;5,749565;5,883978;5,908358;6,087389;6,275277;6,275277;6,33829;6,508717;6,581574;6,628325;6,7458;6,768125;6,768125;6,867229;6,927368;7,032454;7,032454;7,054788;7,209063;7,209063;7,274417;7,351628;7,401434;7,429554;7,559436;7,584451;7,623258;7,687581;7,807743;7,924554;7,977569;8,009317;8,104896;8,168501;8,300409;8,321332;8,360926;8,523111;8,558793;8,683742;8,707525;8,760109;8,760109;8,908894;8,981192;9,068563;9,103404;9,228175;9,321718;9,339348;9,49665;9,525641;9,651151;9,703874;9,766933;9,809996;9,918093;10,02664;10,1299;10,14092;10,24386;10,39009;10,40135;10,46565;10,58013;10,58013;10,6902;10,71863;10,86672;10,87801;10,9787;11,04339;11,10131;11,10131;11,21995;11,28725;11,30032;11,44705;11,48088;11,48088;11,5606;11,70425;11,72879;11,8061;11,84141;11,96465;11,96465;12,10556;12,12546;12,13767;12,28297;12,3268;12,41008;12,46162;12,57004;12,64508;12,64508;12,76239;12,80059;12,8684;12,88725;13,06405;13,06405;13,09008;13,29014;13,29014;13,29014;13,50384;13,50384;13,56915;13,70973;13,72094;13,80413;13,8452;13,98496;14,00878;14,18541;14,32679;14,3475;14,36734;14,64367;14,66319;14,68275;14,72596;14,8497;14,90789;14,99891;15,02341;15,12581;15,16626;15,3078;15,34125;15,38334;15,5263;15,6079;15,72561;15,76617;16,01938;16,08616;16,12309;16,24229;16,35014;16,42713;16,48103;16,70629;16,8407;16,92929;17,02152;17,19898;17,2471;17,30679;17,38983;17,40735;17,54969;17,60414;17,908;18,08617;18,24977;18,28695;18,42306;18,46706;18,74476;18,92369;19,12882;19,22865;19,3701;19,40246;19,55292;19,58268;19,82256;19,962;19,98837;20,22833;20,28287;20,64809;20,86367;21,02877;21,08847;21,63;21,8687;22,30046;22,37296;23,52711;
0,2667795;3,449979;3,700132;3,766351;3,891499;4,357646;4,466892;4,596134;4,615114;4,79509;4,851932;4,978083;5,019164;5,042121;5,222635;5,254148;5,484148;5,496125;5,627333;5,744714;5,801732;5,961414;6,101145;6,211898;6,247082;6,316438;6,401421;6,518331;6,576906;6,685742;6,778717;6,864919;6,905165;7,096945;7,125828;7,125828;7,245798;7,318071;7,374042;7,44445;7,44445;7,524023;7,676423;7,720649;7,885334;7,937097;7,98144;8,064807;8,158476;8,266036;8,266036;8,341924;8,48372;8,504704;8,525473;8,664588;8,687206;8,71974;8,775706;8,920262;9,061881;9,102144;9,122909;9,122909;9,302077;9,302077;9,457582;9,457582;9,619366;9,619366;9,68173;9,78604;9,885059;9,916353;10,00314;10,08242;10,18557;10,23356;10,28517;10,46054;10,46054;10,5436;10,61449;10,68404;10,79635;10,82598;10,9369;10,9869;10,9869;11,08499;11,1998;11,26469;11,32705;11,32705;11,39997;11,46386;11,50583;11,60625;11,60625;11,71978;11,76064;11,78024;11,85996;12,0041;12,06101;12,14569;12,20544;12,29621;12,38218;12,46528;12,58394;12,62085;12,68457;12,845;12,86661;12,86661;13,06652;13,06652;13,10575;13,2045;13,30653;13,40302;13,42636;13,56288;13,64306;13,8246;13,8246;13,94303;13,97749;14,02289;14,16472;14,28255;14,30626;14,46437;14,52568;14,66313;14,77705;14,86016;14,88174;14,98334;15,08393;15,17795;15,26279;15,38535;15,60266;15,76666;15,89789;16,00733;16,01704;16,24377;16,28296;16,36501;16,44165;16,50484;16,60238;16,63951;16,75666;16,75666;16,86624;16,90138;17,03872;17,11914;17,11914;17,21999;17,24178;17,50109;17,83632;17,92002;18,09884;18,18158;18,23809;18,44152;18,46067;18,66418;18,87965;18,98362;19,1841;19,359;19,61931;19,64163;19,88303;20,73913;20,76667;21,02388;21,06704;21,24327;21,28459;21,76576;21,90697;22,20251;22,2467;22,2856;22,70499;22,76531;23,02278;23,46185;24,6058;24,84677;25,52138;26,42602;
0,1180614;3,190027;4,019459;4,111494;4,137826;4,309875;4,330128;4,55265;4,778314;4,892249;5,112249;5,123735;5,348561;5,348561;5,459072;5,696441;5,775928;5,840153;5,932097;6,022739;6,172028;6,204854;6,378043;6,499437;6,499437;6,603063;6,690685;6,763032;6,819229;6,9891;7,00153;7,051227;7,15017;7,189917;7,330135;7,367745;7,507394;7,547354;7,700999;7,751583;7,78355;7,903512;7,924671;7,980513;8,062446;8,185699;8,3475;8,3475;8,471215;8,471215;8,582737;8,605302;8,728601;8,921785;8,950535;9,000629;9,026849;9,180449;9,180449;9,201216;9,37382;9,37382;9,426944;9,502601;9,592001;9,670992;9,670992;9,670992;9,797379;9,85349;9,987391;10,02836;10,02836;10,12292;10,16818;10,2319;10,35187;10,41704;10,54937;10,54937;10,65089;10,72941;10,80588;10,90454;11,08936;11,11941;11,14705;11,36852;11,52261;11,55183;11,6124;11,64631;11,79749;11,84685;11,9705;11,9705;12,09144;12,1442;12,27212;12,36535;12,36535;12,43119;12,52027;12,61892;12,65008;12,94635;12,98501;13,08304;13,17201;13,21922;13,26322;13,38605;13,44362;13,47888;13,49601;13,64161;13,68161;13,8383;13,87059;13,91104;13,97277;14,09732;14,18902;14,25153;14,30913;14,33126;14,51781;14,54859;14,74715;14,76546;14,85336;14,88476;14,99201;15,06619;15,15241;15,21262;15,25106;15,50971;15,54537;15,66645;15,73149;15,90755;15,932;16,15028;16,28692;16,32583;16,36368;16,53178;16,66989;16,77071;16,93127;16,9509;17,02872;17,18926;17,24777;17,27177;17,45219;17,56958;17,59208;17,70209;17,81073;17,95915;17,98877;18,05559;18,20728;18,33237;18,36384;18,5463;18,70791;18,93134;19,05068;19,0716;19,22561;19,30735;19,39109;19,5665;19,66606;19,97075;20,04486;20,24605;20,40668;20,56601;20,67054;20,97015;21,1611;21,2905;21,53008;21,68358;21,80656;21,98881;22,3467;22,50398;22,62432;22,8424;23,91114;24,3121;25,52507;26,90633;27,34319;30,16912;
0,5280526;3,371596;4,090105;4,090105;4,318489;4,318489;4,400091;4,871672;5,16864;5,292839;5,380964;5,411893;5,590774;5,696751;5,759305;5,860893;6,048706;6,18203;6,24219;6,24219;6,300554;6,418478;6,445138;6,499208;6,588073;6,588073;6,724386;6,742554;6,82211;6,965763;6,98592;7,005953;7,087623;7,190089;7,263119;7,309871;7,419491;7,450532;7,532266;7,650536;7,701648;7,805582;7,878437;7,969803;7,998016;8,167655;8,179363;8,350104;8,410984;8,470205;8,521925;8,586328;8,689111;8,729308;8,763718;8,885868;8,951904;8,951904;9,065536;9,164386;9,287296;9,385218;9,431367;9,431367;9,609926;9,609926;9,6639;9,791065;9,801547;9,944259;9,944259;10,02293;10,06328;10,25164;10,3398;10,38532;10,40561;10,5683;10,5683;10,62568;10,70583;10,7708;10,92619;10,96184;11,06267;11,17077;11,2493;11,36644;11,38747;11,38747;11,56669;11,60075;11,60075;11,74813;11,80735;11,87012;11,87012;12,0077;12,14428;12,18212;12,20261;12,30186;12,36653;12,49961;12,54098;12,62786;12,69006;12,81152;12,83069;13,08392;13,08392;13,16698;13,28858;13,32787;13,45602;13,52451;13,60223;13,76319;13,84266;13,92786;14,14504;14,14504;14,17115;14,271;14,42685;14,52536;14,62465;14,68631;14,70828;14,84878;14,98728;15,08837;15,15095;15,33179;15,36549;15,48929;15,51029;15,51029;15,691;15,72978;15,82182;15,92566;16,01107;16,03051;16,10573;16,2305;16,25097;16,46249;16,52971;16,71031;16,71031;16,8695;16,90526;17,04597;17,249;17,37112;17,4007;17,56932;17,65061;17,82772;17,93131;18,03036;18,08452;18,12995;18,3086;18,32694;18,50509;18,72603;18,72603;19,06491;19,20748;19,42601;19,47067;19,6255;19,83179;19,83179;20,04315;20,38644;20,50668;20,68615;20,70452;20,82929;20,90366;20,96408;21,15008;21,16105;21,34492;21,82972;22,26387;22,50999;22,54646;22,76208;22,82726;23,03028;23,03028;24,2713;24,2713;24,5061;25,40626;25,82973;
