Personne 0;Personne 1;Personne 2;Personne 3;Personne 4;Personne 5;Personne 6;Personne 7;Personne 8;Personne 9;Personne 10;Personne 11;Personne 12;Personne 13;Personne 14;Personne 15;Personne 16;Personne 17;Personne 18;Personne 19;Personne 20;Personne 21;Personne 22;Personne 23;Personne 24;Personne 25;Personne 26;Personne 27;Personne 28;Personne 29;Personne 30;Personne 31;Personne 32;Personne 33;Personne 34;Personne 35;Personne 36;Personne 37;Personne 38;Personne 39;Personne 40;Personne 41;Personne 42;Personne 43;Personne 44;Personne 45;Personne 46;Personne 47;Personne 48;Personne 49;Personne 50;Personne 51;Personne 52;Personne 53;Personne 54;Personne 55;Personne 56;Personne 57;Personne 58;Personne 59;Personne 60;Personne 61;Personne 62;Personne 63;Personne 64;Personne 65;Personne 66;Personne 67;Personne 68;Personne 69;Personne 70;Personne 71;Personne 72;Personne 73;Personne 74;Personne 75;Personne 76;Personne 77;Personne 78;Personne 79;Personne 80;Personne 81;Personne 82;Personne 83;Personne 84;Personne 85;Personne 86;Personne 87;Personne 88;Personne 89;Personne 90;Personne 91;Personne 92;Personne 93;Personne 94;Personne 95;Personne 96;Personne 97;Personne 98;Personne 99;Personne 100;Personne 101;Personne 102;Personne 103;Personne 104;Personne 105;Personne 106;Personne 107;Personne 108;Personne 109;Personne 110;Personne 111;Personne 112;Personne 113;Personne 114;Personne 115;Personne 116;Personne 117;Personne 118;Personne 119;Personne 120;Personne 121;Personne 122;Personne 123;Personne 124;Personne 125;Personne 126;Personne 127;Personne 128;Personne 129;Personne 130;Personne 131;Personne 132;Personne 133;Personne 134;Personne 135;Personne 136;Personne 137;Personne 138;Personne 139;Personne 140;Personne 141;Personne 142;Personne 143;Personne 144;Personne 145;Personne 146;Personne 147;Personne 148;Personne 149;Personne 150;Personne 151;Personne 152;Personne 153;Personne 154;Personne 155;Personne 156;Personne 157;Personne 158;Personne 159;Personne 160;Personne 161;Personne 162;Personne 163;Personne 164;Personne 165;Personne 166;Personne 167;Personne 168;Personne 169;Personne 170;Personne 171;Personne 172;Personne 173;Personne 174;Personne 175;Personne 176;Personne 177;Personne 178;Personne 179;Personne 180;Personne 181;Personne 182;Personne 183;Personne 184;Personne 185;Personne 186;Personne 187;Personne 188;Personne 189;Personne 190;Personne 191;Personne 192;Personne 193;Personne 194;Personne 195;Personne 196;Personne 197;Personne 198;Personne 199
0,02;0,02;3,128792;3,439079;3,619502;3,792923;3,979851;4,150401;4,194715;4,465331;4,511076;4,688597;4,718508;4,912974;5,109994;5,295238;5,578899;5,578899;5,679788;5,858141;5,916677;6,119254;6,119254;6,276599;6,388103;6,417129;6,458224;6,811023;6,994987;6,994987;7,050127;7,231131;7,316689;7,417123;7,598881;7,956908;8,013826;8,236068;8,367994;8,478555;8,519089;8,629462;8,657151;8,81855;8,911621;9,037227;9,094198;9,188411;9,298203;9,447918;9,47717;9,610108;9,678374;9,837533;9,837533;9,878867;10,05769;10,16546;10,19537;10,23571;10,27934;10,3553;10,45136;10,47944;10,49175;10,66782;10,71507;10,8165;10,89508;10,94659;11,11975;11,17379;11,35007;11,37939;11,57568;11,65982;11,67101;11,73379;11,75792;11,89885;11,93613;12,01683;12,13543;12,22978;12,29304;12,32917;12,4187;12,57868;12,64741;12,69888;12,95888;12,97096;13,0162;13,08564;13,1143;13,21566;13,3375;13,35028;13,44768;13,47762;13,53535;13,577;13,71394;13,72701;13,81046;13,87814;14,15104;14,32996;14,39901;14,49859;14,53991;14,67025;14,81246;14,87768;15,03836;15,03836;15,13189;15,19669;15,2882;15,35633;15,39848;15,50706;15,76869;15,79679;15,91522;15,91522;15,93971;15,93971;16,09892;16,19323;16,25841;16,43641;16,47266;16,55067;16,65909;16,71482;16,75351;17,07757;17,08939;17,20813;17,23548;17,43569;17,53894;17,61622;17,71795;17,93832;17,93832;18,11796;18,26834;18,29612;18,43847;18,49736;18,57638;18,65805;18,81417;18,87015;18,95856;19,03552;19,13358;19,29674;19,33635;19,41317;19,5473;19,6965;19,6965;19,83307;19,87802;20,09636;20,13342;20,25772;20,26785;20,49644;20,57492;20,65345;20,759;20,759;20,85266;21,11924;21,11924;21,31945;21,31945;21,63217;21,69745;21,83619;21,85916;21,85916;22,0379;22,23368;22,41827;22,41827;22,55358;22,79388;22,81763;23,09205;23,19476;23,29692;23,37632;23,53826;23,63363;23,89646
2,149122;2,245757;3,469008;3,510111;3,732319;3,912233;4,100419;4,287035;4,466348;4,466348;4,645821;4,772542;5,112299;5,308191;5,528792;5,651771;5,730336;5,890192;6,066838;6,210474;6,428541;6,471628;6,5926;6,68075;6,889857;6,9311;7,102363;7,131192;7,242106;7,320099;7,48544;7,48544;7,690107;7,729244;7,830886;8,071422;8,071422;8,291535;8,291535;8,428308;8,469988;8,630708;8,831277;8,888141;8,928104;9,047179;9,059699;9,190896;9,190896;9,351101;9,351101;9,5029;9,5029;9,542543;9,6505;9,798818;9,910486;9,951331;10,02928;10,22266;10,24991;10,32928;10,36565;10,40244;10,57252;10,66084;10,68602;10,79077;10,92736;10,99243;11,11203;11,23018;11,32154;11,46701;11,4928;11,54982;11,62996;11,68916;11,79884;11,96887;12,02827;12,07964;12,10864;12,26387;12,30814;12,36934;12,40903;12,59051;12,68907;12,7528;12,7528;12,90885;12,96728;13,00469;13,14956;13,19208;13,28902;13,33079;13,40003;13,52209;13,58594;13,68892;13,73044;13,84702;13,96333;14,02941;14,29206;14,34634;14,47053;14,48297;14,59276;14,79289;14,93048;15,03277;15,04368;15,09271;15,26385;15,40902;15,40902;15,48946;15,48946;15,60926;15,70233;15,79284;15,99105;16,00375;16,16659;16,23005;16,44178;16,58882;16,62823;16,69196;16,77211;16,93136;16,9923;17,00454;17,18935;17,37024;17,52663;17,55222;17,65208;17,71126;17,78149;17,93281;17,97046;18,12867;18,28939;18,34324;18,44634;18,51035;18,54899;18,88406;18,90754;19,02052;19,06831;19,06831;19,26344;19,32875;19,36288;19,74529;19,76907;19,82541;19,84851;19,92157;20,08157;20,21066;20,46996;20,58647;20,71138;20,81137;20,94445;21,01031;21,20811;21,40285;21,6524;21,76666;22,01007;22,08645;22,36965;22,8521;23,36882;23,61013;23,62211;24,01201;24,28385;24,3926;24,48568;24,806;24,96546;25,04408;25,28851;25,42099;25,87103;26,12938;26,12938;26,56653;26,86541;27,28484;27,55102;29,98905
1,189917;2,309012;3,150115;3,703607;3,906971;4,019497;4,203738;4,398613;4,529381;5,018379;5,131158;5,131158;5,269637;5,310424;5,836708;6,065123;6,150543;6,239017;6,287971;6,382175;6,443188;6,458238;6,666391;6,666391;6,783917;6,800692;6,857401;7,005856;7,005856;7,087987;7,129069;7,321753;7,42004;7,490552;7,51946;7,643049;7,708401;7,787335;7,891447;7,891447;8,068326;8,156341;8,187233;8,33732;8,367825;8,411116;8,486873;8,663694;8,766018;8,766018;8,797729;8,957802;9,088374;9,343713;9,370206;9,407892;9,60681;9,620187;9,790315;10,01007;10,06963;10,19005;10,25049;10,34838;10,52819;10,75927;10,86095;10,96728;11,05017;11,20792;11,30864;11,5566;11,58866;11,7026;11,74878;11,82081;11,86413;11,96759;12,14832;12,22471;12,22471;12,58015;12,65812;12,84765;12,85862;12,98658;13,02805;13,07126;13,08554;13,22653;13,26961;13,33639;13,33639;13,51866;13,57097;13,67013;13,67013;13,80751;13,8476;13,94172;14,02721;14,03989;14,12707;14,25719;14,32364;14,41854;14,598;14,72184;14,75116;14,90933;14,90933;15,00946;15,13937;15,25075;15,2909;15,60773;15,69081;15,74632;15,7595;15,86717;15,94849;16,08082;16,10659;16,14904;16,28308;16,34877;16,66703;16,74938;16,80448;17,11061;17,14879;17,26963;17,33144;17,34532;17,51928;17,54675;17,62227;17,69017;17,84266;17,90792;18,0285;18,10855;18,15928;18,47086;18,50753;18,54633;18,6855;18,74183;18,80519;18,90261;18,96714;19,12166;19,18392;19,24085;19,42959;19,53084;19,92592;20,03148;20,25045;20,29023;20,29023;20,38852;20,45003;20,68749;20,88409;20,90717;20,96461;21,1696;21,28803;21,28803;21,44804;21,68273;21,82928;21,83931;22,00358;22,14356;22,14356;22,26632;22,31067;22,36626;22,60588;22,75117;22,92507;22,98644;23,06981;23,22424;23,28372;23,42767;23,44979;23,72964;23,94136;23,98488;24,187;24,24499;24,58864;24,92905;25,1303;26,08879;26,96676;27,17113
0,4958387;0,8884007;2,215162;2,714615;3,322564;3,505555;3,687692;3,868436;4,049679;4,568458;4,596888;4,885082;5,185151;5,185151;5,365319;5,446027;5,609121;5,840607;5,884611;5,926312;6,018623;6,186984;6,199727;6,37791;6,407448;6,547269;6,648886;6,648886;6,738341;6,886069;6,989151;7,086242;7,179014;7,249605;7,317742;7,406886;7,406886;7,557935;7,72786;7,827346;7,888374;7,983807;8,06906;8,188691;8,42861;8,42861;8,441431;8,679023;8,816148;9,020926;9,020926;9,188242;9,188242;9,247779;9,426285;9,483959;9,483959;9,5648;9,829586;9,829586;9,889466;10,02075;10,08527;10,22756;10,30011;10,36815;10,45927;10,62904;10,71918;10,75777;10,92841;10,92841;11,10205;11,16165;11,34867;11,38806;11,43635;11,4612;11,66529;11,77646;11,94924;12,00798;12,00798;12,13656;12,23856;12,32526;12,32526;12,36728;12,46862;12,57904;12,66066;12,7371;12,82109;12,94914;12,9612;13,12785;13,22885;13,37593;13,40448;13,50171;13,60494;13,68691;13,80918;13,80918;13,86626;14,04547;14,12788;14,32141;14,36279;14,56874;14,62804;14,66936;14,78128;14,79589;14,91897;15,18913;15,26541;15,28052;15,32879;15,46579;15,51922;15,63766;15,68805;15,92828;16,04602;16,18513;16,20939;16,28352;16,47817;16,51941;16,62622;16,76604;16,81903;16,96799;17,06905;17,10853;17,28632;17,28632;17,32607;17,40681;17,56461;17,64972;17,7244;17,92475;18,04638;18,10794;18,30453;18,36881;18,44511;18,56646;18,72954;18,82967;18,86885;19,1418;19,18121;19,24651;19,28405;19,38619;19,51727;19,60727;19,61971;19,70824;19,98304;20,02925;20,08551;20,18754;20,22106;20,43731;20,50562;20,60913;20,70776;20,74205;21,00863;21,12019;21,28373;21,34673;21,3842;21,4421;21,76901;21,86723;21,90574;22,10668;22,28886;22,36635;22,68173;22,78167;22,96352;23,16039;23,18304;23,50568;23,6637;23,86697;24,48666;24,50888;24,84534;25,06704;25,32924;25,82328;26,05992;26,56286
1,645684;2,147045;3,028191;3,265933;3,282275;3,845613;4,074939;4,535112;4,732669;4,883245;5,211919;5,328758;5,344214;5,593993;5,713431;5,846873;5,862875;5,970145;6,043581;6,16526;6,16526;6,213902;6,362247;6,393291;6,564423;6,635848;6,752327;6,834828;7,031324;7,232444;7,289465;7,332276;7,388018;7,447951;7,490614;7,648842;7,665052;7,754705;7,854671;7,894353;7,950204;8,255722;8,255722;8,364347;8,675386;8,675386;9,174011;9,331892;9,331892;9,331892;9,428726;9,492756;9,615609;9,684889;9,85535;10,03067;10,10997;10,15518;10,19386;10,25132;10,3337;10,45339;10,56498;10,62557;10,67599;10,79609;10,79609;10,88598;11,02378;11,06916;11,23172;11,35183;11,50188;11,56227;11,67363;11,81598;11,93517;11,99443;12,05392;12,15388;12,16628;12,2485;12,42441;12,42441;12,60969;12,60969;12,74801;12,776;12,79186;12,916;12,99519;12,99519;13,11544;13,27002;13,33517;13,3833;13,41445;13,46143;13,55126;13,63547;13,83537;13,9561;14,01025;14,14662;14,19437;14,19437;14,39179;14,43108;14,47076;14,65358;14,65358;14,79244;14,93268;14,93268;15,01572;15,05621;15,14756;15,25439;15,29425;15,33331;15,53349;15,62522;15,71011;15,72327;15,75111;15,95333;15,99623;16,25009;16,25009;16,43287;16,49076;16,5313;16,54344;16,75181;16,76421;16,99265;17,07197;17,11067;17,21523;17,32586;17,41066;17,43315;17,61347;17,71481;17,83495;17,83495;18,03012;18,17478;18,20329;18,31505;18,5161;18,55478;18,66667;18,72869;18,85161;18,91599;19,0758;19,0758;19,43177;19,4443;19,49597;19,73314;19,79206;19,89334;20,17236;20,27523;20,42781;20,57268;20,67454;20,79564;20,97185;21,08934;21,31264;21,4333;21,47209;21,53357;21,60965;21,81065;21,81065;22,02917;22,0557;22,0557;22,28984;22,34784;22,45071;22,77071;22,91351;23,18943;23,30597;23,51522;23,77076;23,88913;24,23364;25,47315;26,19443;26,40979;26,91198;27,16926;27,37434;27,83356
0,1699883;0,377731;2,287133;3,166704;3,390731;3,688289;3,94286;4,070474;4,325466;4,337348;4,550177;4,724359;4,724359;5,040545;5,117921;5,226427;5,284421;5,419413;5,450322;5,602871;5,650703;5,770115;5,829617;5,934781;5,966191;6,185878;6,243198;6,409253;6,602355;6,790323;6,882801;7,088986;7,20396;7,258097;7,329028;7,442605;7,689763;7,719001;7,749609;7,866293;7,866293;7,904485;8,127175;8,127175;8,265945;8,324438;8,340237;8,469221;8,583249;8,583249;8,664536;8,77065;8,950766;9,006752;9,106094;9,149892;9,266158;9,343466;9,565272;9,565272;9,649305;9,686084;9,868443;9,939764;9,969333;10,03048;10,25003;10,30707;10,36877;10,43946;10,528;10,60985;10,70188;10,78594;10,84032;10,98783;11,04563;11,14231;11,17057;11,36512;11,40715;11,57008;11,62671;11,62671;11,74712;11,95028;12,04683;12,22639;12,26809;12,30972;12,36839;12,60263;12,71067;12,71067;12,9683;13,02708;13,08006;13,16136;13,24282;13,26966;13,44903;13,44903;13,56214;13,74493;13,92687;13,96498;14,12563;14,16623;14,24722;14,32787;14,39774;14,42467;14,56139;14,62732;14,84476;14,86941;15,04596;15,12465;15,13636;15,18126;15,31025;15,3489;15,54504;15,58558;15,66828;15,90584;15,90584;15,93051;16,1481;16,1481;16,26728;16,27979;16,34514;16,54668;16,58581;16,64887;16,81044;16,83765;16,85262;16,99003;17,06841;17,14559;17,18015;17,30383;17,40633;17,41929;17,5192;17,64981;17,76883;17,88666;17,88666;18,07938;18,10624;18,22779;18,23986;18,43855;18,6245;18,68654;18,7373;18,80496;18,80496;19,02637;19,02637;19,11019;19,22758;19,38627;19,46587;19,52974;19,68937;19,90388;19,94729;19,98651;19,98651;20,2606;20,33044;20,44911;20,62743;20,62743;20,86489;20,90256;21,01073;21,04569;21,12624;21,45039;21,47812;21,54955;21,66634;21,78609;21,84847;21,94971;21,98704;22,14188;22,38575;22,72124;23,10728;23,74401;24,02707;24,38804;24,70639;26,75014
0,1190824;0,8848053;1,417968;3,29746;3,866752;4,198958;4,288868;4,443807;4,456756;4,647172;4,727322;4,98712;5,24591;5,321781;5,400016;5,746309;5,808186;5,90476;5,978356;6,054662;6,248352;6,325593;6,387953;6,448478;6,616451;6,662092;6,904676;6,984823;6,984823;7,253101;7,308507;7,55617;7,638764;7,667669;7,764479;7,860538;7,888702;8,007441;8,061482;8,145588;8,284992;8,385513;8,398304;8,414058;8,707024;8,867062;8,867062;9,228456;9,228456;9,36284;9,507937;9,682648;9,746906;9,796886;9,966065;9,966065;10,12355;10,12355;10,22585;10,34661;10,47835;10,58637;10,66596;10,72161;10,83959;10,87993;11,10074;11,12773;11,16794;11,28596;11,55416;11,60017;11,66768;11,94306;11,98602;12,08726;12,20569;12,28894;12,49358;12,64742;12,74434;12,82637;12,97668;12,97668;13,04611;13,04611;13,16887;13,26441;13,52652;13,56589;13,70462;13,78735;13,94713;14,10885;14,13876;14,30642;14,40832;14,48388;14,62598;14,68696;14,84531;15,02213;15,1648;15,1648;15,25568;15,46745;15,46745;15,61744;15,64482;15,68561;15,78036;15,9016;16,04436;16,06792;16,42513;16,42513;16,50381;16,55481;16,62053;16,64882;16,8427;16,92437;16,96264;17,04848;17,04848;17,22186;17,28551;17,36168;17,52576;17,66656;17,77971;17,92621;18,00666;18,10503;18,10503;18,24232;18,38736;18,44884;18,48485;18,59804;18,72481;18,76272;18,76272;18,96454;19,00445;19,07792;19,1288;19,30196;19,38893;19,46767;19,58413;19,58413;19,72726;19,88368;19,88368;20,12832;20,22115;20,32758;20,40186;20,4261;20,52568;20,7179;20,84448;20,96564;21,1438;21,20395;21,26581;21,44482;21,44482;21,48247;21,72142;21,84436;21,92375;22,00453;22,08851;22,22501;22,2478;22,34799;22,68747;22,73842;22,89949;23,02863;23,06564;23,26412;23,40564;23,74528;23,95939;24,25733;24,36773;24,74177;24,86137;24,94452;25,42165;25,66876;25,78151;26,16731;26,7249;27,10494;27,44655;27,92015
3,310692;3,87481;4,655106;4,764535;4,811625;5,003132;5,080585;5,115644;5,333294;5,392181;5,605744;5,62126;5,872221;5,927253;6,093744;6,106688;6,303267;6,387603;6,472925;6,533578;6,748456;6,854093;6,868116;7,042456;7,073639;7,194952;7,25369;7,331767;7,362123;7,45515;7,593627;7,769856;8,114914;8,114914;8,233994;8,301993;8,54669;8,744942;8,813219;8,895008;8,906603;8,935659;9,111223;9,246769;9,271751;9,413334;9,515807;9,595809;9,595809;9,653035;9,950416;10,07082;10,11071;10,20274;10,25596;10,3219;10,40273;10,5351;10,65502;10,69463;10,8541;10,88337;10,91127;11,06517;11,09179;11,18263;11,26951;11,45526;11,63307;11,69492;11,69492;11,74642;11,93173;12,01233;12,21215;12,27054;12,37203;12,47176;12,51564;12,58744;12,71359;12,77246;12,83289;12,9333;13,12646;13,14946;13,40538;13,43286;13,43286;13,52161;13,56408;13,61481;13,91441;13,91441;13,99132;14,05435;14,14942;14,18466;14,53285;14,63164;14,67503;14,73178;14,77439;14,85329;14,89339;15,23601;15,34038;15,42217;15,49076;15,5037;15,68461;15,71359;15,90221;16,09122;16,09122;16,09122;16,37036;16,39464;16,39464;16,43038;16,57408;16,58617;16,68914;16,72601;16,88515;17,03292;17,13529;17,19429;17,44908;17,44908;17,46396;17,53373;17,65174;17,66463;17,73168;17,8844;18,00943;18,07265;18,08567;18,28914;18,28914;18,35402;18,47056;18,59073;18,73193;18,81221;18,81221;18,93437;19,11206;19,11206;19,35266;19,53386;19,64984;19,66385;19,79101;19,82752;19,93569;19,974;20,00445;20,19198;20,33224;20,49529;20,53241;20,73228;20,8046;20,88915;21,31555;21,35224;21,63259;21,65476;21,70777;21,81248;21,87173;21,95323;22,05136;22,11479;22,23319;22,33592;22,3919;22,44817;22,54635;22,64804;23,02884;23,13063;23,13063;23,3924;23,42644;23,51529;23,77177;23,94973;24,51372;24,71296;24,83581;25,11274;25,3135;25,59188;25,85364;26,13176;26,37144;27,39095
0;0,1247883;0,3243426;1,039405;2,092385;2,868259;3,492559;4,090808;4,430562;4,671222;4,713565;4,892568;4,90518;5,050434;5,233308;5,473404;5,570793;5,625312;5,724552;5,75275;5,909674;5,987767;6,231812;6,26867;6,330398;6,500974;6,553373;6,673319;6,700788;6,789883;6,982949;7,128834;7,128834;7,219761;7,261514;7,428998;7,51102;7,650853;7,650853;7,712233;7,802647;7,85057;7,934005;7,963497;8,071299;8,193178;8,281005;8,324387;8,532783;8,588946;8,633407;8,749231;8,808438;8,912687;8,944545;9,002083;9,101985;9,191381;9,203701;9,294028;9,425428;9,526758;9,541598;9,685965;9,79318;9,865707;9,983752;10,14564;10,24963;10,35146;10,35146;10,47976;10,63163;10,69087;10,69087;10,78968;10,84498;10,87219;10,98392;11,06097;11,08906;11,19014;11,3422;11,3422;11,37094;11,54714;11,70461;11,74727;11,76186;11,86072;12,03279;12,09132;12,14718;12,16147;12,37175;12,51186;12,54107;12,60534;12,72991;12,77088;12,932;13,03258;13,18763;13,38919;13,38919;13,38919;13,59396;13,64988;13,72336;13,7625;13,98019;14,04942;14,06265;14,16217;14,20064;14,22939;14,32951;14,42965;14,51141;14,654;14,71091;14,87176;14,91327;15,00741;15,01913;15,04906;15,22157;15,24982;15,34326;15,60917;15,7316;15,83107;15,84415;16,05193;16,05193;16,18925;16,39055;16,44769;16,48694;16,52538;16,66953;16,77219;16,81193;16,81193;16,99021;17,06458;17,10272;17,28556;17,37374;17,4921;17,4921;17,61106;17,71145;17,90066;18,0691;18,21084;18,27396;18,31161;18,37245;18,59248;18,7433;18,76784;18,88662;18,98958;19,02822;19,14747;19,22939;19,47309;19,51101;19,60823;19,84706;19,9855;20,11258;20,22894;20,43398;20,5096;20,54689;20,80766;20,83114;20,92997;20,97041;21,30046;21,53276;21,649;21,75066;22,12925;22,1923;22,58907;23,0729;23,25396;23,45245;23,62876;23,8854;24,31334;24,43267;24,72616;25,0256;25,26781;25,84601;26,33089
1,439924;1,930825;3,688651;3,7904;3,979879;4,010665;4,109687;4,25797;4,467179;4,871334;5,051356;5,417476;5,548954;5,57714;5,622525;5,849146;5,970393;5,999195;6,160746;6,268906;6,368661;6,381618;6,397502;6,46967;6,638587;6,6672;6,788637;6,829828;6,926988;7,008822;7,021718;7,050358;7,22736;7,351412;7,491014;7,543485;7,771838;7,821134;7,870866;8,070189;8,131577;8,158571;8,360786;8,458401;8,594759;8,718722;8,750722;8,810575;8,976977;9,037066;9,068353;9,243522;9,28892;9,302855;9,409636;9,620855;9,668146;9,668146;9,859056;9,949289;10,01089;10,06995;10,12993;10,30139;10,41933;10,49082;10,54348;10,70442;10,7589;10,78868;10,87135;11,04276;11,16087;11,18981;11,28116;11,34191;11,54996;11,61053;11,74194;11,75678;11,86763;11,94526;12,08194;12,10661;12,21146;12,2685;12,2685;12,4307;12,44354;12,62997;12,62997;12,71909;12,86628;12,87901;12,98956;12,98956;13,16799;13,28962;13,32995;13,35655;13,56558;13,5782;13,64384;13,83009;13,87074;14,00475;14,00475;14,12088;14,31101;14,32248;14,37086;14,40566;14,54719;14,60885;14,72903;14,72903;14,96741;15,00735;15,08637;15,14671;15,26821;15,37099;15,40892;15,60754;15,60754;15,69902;15,92803;16,0498;16,10192;16,32466;16,46925;16,5506;16,56295;16,64051;16,70677;16,86662;16,93051;17,02766;17,10454;17,20809;17,29123;17,34063;17,38922;17,50625;17,56481;17,72666;17,7911;17,7911;17,83039;18,05044;18,124;18,1498;18,22307;18,40599;18,48717;18,54729;18,64735;18,74953;18,84345;18,8892;19,02631;19,05122;19,08895;19,18532;19,43018;19,65147;19,65147;19,66177;19,90141;19,90141;20,04922;20,18192;20,38626;20,58345;20,58345;20,64758;20,94877;20,97052;21,12697;21,151;21,44738;21,56931;21,78914;21,95004;22,72891;22,76797;23,11086;23,28794;23,50421;23,67024;24,02432;24,18575;24,28424;24,50901;24,68595;24,98537;25,56436;25,84255;26,34672;26,70864
