Personne 0;Personne 1;Personne 2;Personne 3;Personne 4;Personne 5;Personne 6;Personne 7;Personne 8;Personne 9;Personne 10;Personne 11;Personne 12;Personne 13;Personne 14;Personne 15;Personne 16;Personne 17;Personne 18;Personne 19;Personne 20;Personne 21;Personne 22;Personne 23;Personne 24;Personne 25;Personne 26;Personne 27;Personne 28;Personne 29;Personne 30;Personne 31;Personne 32;Personne 33;Personne 34;Personne 35;Personne 36;Personne 37;Personne 38;Personne 39;Personne 40;Personne 41;Personne 42;Personne 43;Personne 44;Personne 45;Personne 46;Personne 47;Personne 48;Personne 49;Personne 50;Personne 51;Personne 52;Personne 53;Personne 54;Personne 55;Personne 56;Personne 57;Personne 58;Personne 59;Personne 60;Personne 61;Personne 62;Personne 63;Personne 64;Personne 65;Personne 66;Personne 67;Personne 68;Personne 69;Personne 70;Personne 71;Personne 72;Personne 73;Personne 74;Personne 75;Personne 76;Personne 77;Personne 78;Personne 79;Personne 80;Personne 81;Personne 82;Personne 83;Personne 84;Personne 85;Personne 86;Personne 87;Personne 88;Personne 89;Personne 90;Personne 91;Personne 92;Personne 93;Personne 94;Personne 95;Personne 96;Personne 97;Personne 98;Personne 99;Personne 100;Personne 101;Personne 102;Personne 103;Personne 104;Personne 105;Personne 106;Personne 107;Personne 108;Personne 109;Personne 110;Personne 111;Personne 112;Personne 113;Personne 114;Personne 115;Personne 116;Personne 117;Personne 118;Personne 119;Personne 120;Personne 121;Personne 122;Personne 123;Personne 124;Personne 125;Personne 126;Personne 127;Personne 128;Personne 129;Personne 130;Personne 131;Personne 132;Personne 133;Personne 134;Personne 135;Personne 136;Personne 137;Personne 138;Personne 139;Personne 140;Personne 141;Personne 142;Personne 143;Personne 144;Personne 145;Personne 146;Personne 147;Personne 148;Personne 149;Personne 150;Personne 151;Personne 152;Personne 153;Personne 154;Personne 155;Personne 156;Personne 157;Personne 158;Personne 159;Personne 160;Personne 161;Personne 162;Personne 163;Personne 164;Personne 165;Personne 166;Personne 167;Personne 168;Personne 169;Personne 170;Personne 171;Personne 172;Personne 173;Personne 174;Personne 175;Personne 176;Personne 177;Personne 178;Personne 179;Personne 180;Personne 181;Personne 182;Personne 183;Personne 184;Personne 185;Personne 186;Personne 187;Personne 188;Personne 189;Personne 190;Personne 191;Personne 192;Personne 193;Personne 194;Personne 195;Personne 196;Personne 197;Personne 198;Personne 199
0,02;0,348582;2,09851;3,019063;3,275295;3,414834;3,836162;3,894552;4,077387;4,215678;4,215678;4,511855;4,690886;4,719803;4,81425;4,93872;5,068712;5,098769;5,358278;5,385674;5,558784;5,637895;5,817979;6,013277;6,013277;6,357762;6,493318;6,55417;6,709871;6,748525;6,773317;6,918463;6,956688;6,992342;7,139576;7,17627;7,257154;7,356842;7,437102;7,595561;7,715461;7,97927;8,176043;8,347826;8,49289;8,639524;8,639524;8,71746;9,034417;9,047088;9,075171;9,114391;9,418218;9,507002;9,712996;9,818613;9,82947;10,03588;10,07476;10,09894;10,27819;10,27819;10,63531;10,63531;10,83462;10,8854;10,91558;10,95596;11,02908;11,13395;11,13395;11,28724;11,35357;11,45637;11,45637;11,53522;11,57319;11,79253;11,83145;11,90689;11,9343;12,1262;12,21365;12,25427;12,45807;12,48712;12,54789;12,61637;12,77645;12,83006;12,85639;12,93761;13,01237;13,07724;13,15545;13,23298;13,2987;13,2987;13,49519;13,63772;13,85463;13,85463;13,87888;13,95583;14,0956;14,2385;14,2385;14,2894;14,46923;14,55869;14,7513;14,81418;14,83957;14,92823;14,96868;15,17364;15,28704;15,31435;15,49276;15,65812;15,65812;15,65812;15,79585;15,9165;15,95431;16,03128;16,1077;16,1998;16,43898;16,4788;16,56983;16,71811;16,87511;16,88699;16,91402;17,09733;17,32884;17,39492;17,53664;17,57697;17,62905;17,69198;17,82558;17,8978;18,00881;18,05345;18,15877;18,26364;18,30868;18,51971;18,66336;18,69662;18,77181;19,01757;19,01757;19,21137;19,31483;19,31483;19,3776;19,6653;19,73403;19,73403;19,79903;19,91468;20,01249;20,07679;20,4281;20,60698;20,72402;20,80822;20,97969;21,17035;21,21616;21,31163;21,4449;21,479;21,7276;21,87707;22,03414;22,04995;22,06778;22,36485;22,43325;22,49885;22,61397;22,83176;22,95285;23,10953;23,15958;23,39439;23,45833;23,64614;23,70597;23,91909;24,15978;24,63262;24,73972;25,11265;25,3499;25,8889
0,02;0,4987051;0,7873638;1,30981;1,716641;2,29673;2,347581;3,239741;3,954947;4,25941;4,417905;4,5162;4,606039;4,739609;5,119147;5,119147;5,26682;5,577664;5,836101;5,995176;6,158239;6,399994;6,491922;6,611822;6,719921;6,896373;7,039248;7,074451;7,130554;7,356689;7,494882;7,695024;7,718392;7,729252;7,9169;7,967775;8,048127;8,206742;8,235265;8,316998;8,419741;8,459611;8,578276;8,578276;8,708708;8,816079;8,90728;9,053891;9,079769;9,23767;9,249432;9,458114;9,497167;9,535285;9,627269;9,856356;9,856356;9,856356;10,06722;10,09523;10,1699;10,21459;10,31743;10,61688;10,62884;10,75751;10,79805;10,91427;10,91427;11,09648;11,23775;11,49529;11,49529;11,5968;11,67577;11,77632;11,81589;11,94941;11,99393;12,22596;12,25392;12,37984;12,51566;12,62433;12,68678;12,82536;13,07245;13,19332;13,23526;13,28788;13,32956;13,5095;13,5095;13,5699;13,61645;13,6927;13,85834;13,94835;13,97943;14,13887;14,25526;14,26926;14,45541;14,49861;14,57408;14,6526;14,6526;14,78662;14,93815;15,07161;15,14593;15,17705;15,29263;15,35269;15,39714;15,58802;15,6172;15,67768;15,73739;15,89942;15,92782;16,03265;16,13727;16,2591;16,27204;16,39725;16,491;16,491;16,60926;16,72813;16,75809;16,91949;16,94843;17,16899;17,34611;17,3909;17,49442;17,55388;17,62791;17,885;18,08447;18,18436;18,32163;18,45407;18,49939;18,52826;18,61996;18,68554;18,81574;18,85996;19,00747;19,09751;19,19541;19,19541;19,32863;19,40902;19,51632;19,52882;19,75977;19,79961;19,89529;19,93567;20,2103;20,31775;20,37634;20,57865;20,65875;20,65875;20,9131;21,09931;21,12569;21,15273;21,35455;21,53957;21,71819;21,85254;21,91841;22,11983;22,36761;22,39367;22,45874;22,59094;22,77405;22,81241;23,21722;23,25772;23,25772;23,5306;23,5556;23,71997;23,80859;24,0915;24,19653;24,43582;24,77929;25,07928;25,55666;25,73619;26,21931;26,49828
0,8811833;2,959636;3,064636;3,480911;4,039507;4,245984;4,465429;4,661739;4,845158;5,092784;5,145722;5,40319;5,481634;5,641665;5,652829;5,861662;5,861662;6,042936;6,042936;6,276843;6,381776;6,458324;6,485226;6,640305;6,855781;6,960487;7,062684;7,138878;7,240755;7,342324;7,455932;7,600483;7,71366;7,740756;7,802526;8,045215;8,302599;8,302599;8,404237;8,519826;8,545744;8,660817;8,902818;9,120852;9,223384;9,300555;9,425543;9,55397;9,681875;9,745634;9,783706;9,960376;10,03392;10,06116;10,17478;10,28195;10,38297;10,58204;10,68318;10,72117;10,78524;10,83533;10,90047;10,97621;11,05417;11,15945;11,28461;11,40397;11,48138;11,52397;11,70071;11,72607;11,76389;11,94217;11,9799;12,06541;12,16318;12,20187;12,38487;12,396;12,44602;12,59414;12,68179;12,74529;12,81909;12,88143;13,00581;13,07917;13,18047;13,30269;13,40388;13,40388;13,46489;13,51438;13,61578;13,61578;13,80198;13,80198;13,86418;14,05892;14,24366;14,36531;14,39293;14,39293;14,50427;14,60239;14,66338;14,73645;14,76173;14,95589;15,04386;15,18459;15,18459;15,34196;15,47518;15,52442;15,58529;15,72136;15,78246;15,90375;15,91551;16,02419;16,18134;16,27917;16,30167;16,31313;16,38542;16,52537;16,6443;16,76521;16,83878;16,86323;16,98328;17,04481;17,14271;17,28545;17,4182;17,44466;17,50302;17,50302;17,71995;17,73398;17,86496;17,90207;17,96164;18,16413;18,16413;18,26185;18,47676;18,56359;18,56359;18,66184;18,79949;18,79949;18,93922;18,98626;19,08547;19,12202;19,18365;19,33984;19,51806;19,54265;19,57907;19,66472;19,7202;19,90164;19,9967;20,04039;20,12146;20,24253;20,40563;20,46086;20,46086;20,51208;20,64236;20,79646;20,81992;20,87863;20,98455;21,18112;21,3791;21,49487;21,56564;21,62471;21,68458;21,91763;21,99986;22,11727;22,22559;22,50086;22,60501;22,72158;22,76026;22,99228;23,0549;23,13085;23,28201;23,4511;23,81373;24,07222
0,8763234;1,93287;2,898062;3,676085;3,868444;4,232755;4,297543;4,375843;4,530958;4,755651;4,956109;5,034998;5,165948;5,27019;5,348092;5,492985;5,531278;6,01729;6,057107;6,173529;6,314004;6,353505;6,5073;6,677089;6,72878;6,873303;7,016929;7,191371;7,294457;7,358205;7,358205;7,547589;7,574866;7,612945;7,815483;7,892167;8,095639;8,095639;8,172008;8,209744;8,348729;8,452952;8,452952;8,616587;8,627819;8,65493;8,70561;8,833853;8,897113;8,975998;9,078197;9,128431;9,231462;9,334286;9,372573;9,474564;9,486519;9,61406;9,771725;9,830414;9,916109;10,07829;10,18963;10,22912;10,29444;10,50664;10,63255;10,65749;10,69534;10,87273;11,01576;11,0726;11,09435;11,11677;11,31657;11,35586;11,43015;11,49511;11,6183;11,69327;11,7574;11,92913;11,95555;12,0944;12,15712;12,19392;12,25691;12,29535;12,51512;12,51512;12,57675;12,72687;12,75643;12,91356;12,95263;13,01288;13,15234;13,16352;13,29275;13,35357;13,47678;13,47678;13,55271;13,77581;13,78721;13,78721;13,93499;14,12938;14,29223;14,31667;14,44836;14,49688;14,49688;14,65852;14,74371;14,83264;14,95433;15,02632;15,0753;15,23707;15,23707;15,3582;15,45704;15,59142;15,65213;15,77365;15,81039;15,89585;15,99312;16,17652;16,28567;16,31313;16,37206;16,51777;16,55431;16,77653;16,8352;16,96697;17,0907;17,11444;17,21788;17,31291;17,43782;17,49776;17,61055;17,77278;17,87716;17,88903;18,01349;18,14916;18,1738;18,21081;18,45665;18,62778;18,62778;18,7747;18,8155;18,8155;19,13543;19,13543;19,18748;19,24547;19,37359;19,53198;19,58402;19,7542;19,7542;19,79534;19,91224;20,05774;20,21412;20,37223;20,37223;20,68583;20,77662;20,85438;20,93737;21,09455;21,21665;21,27674;21,37523;21,63206;21,69154;21,91347;22,03113;22,11298;22,4564;22,49057;22,75205;22,91767;22,95196;23,33644;23,61656;23,99562;24,29748;24,71469;24,95654;25,3041;25,91276;26,19574
0,1267541;0,5724733;2,037835;3,425868;4,385878;4,504358;4,986827;5,025558;5,18199;5,217934;5,476772;5,543017;5,683623;5,683623;5,945136;5,957173;5,984673;6,167659;6,194622;6,286253;6,506258;6,686922;6,698091;6,802865;6,984316;7,062129;7,164639;7,345882;7,357546;7,396206;7,703767;7,703767;7,742775;8,124269;8,124269;8,198819;8,226171;8,483402;8,547265;8,624158;8,725134;8,841516;8,903854;8,942582;8,966944;9,155048;9,397564;9,527305;9,627575;9,639511;9,742797;9,920795;9,98363;10,02227;10,08655;10,22656;10,22656;10,46551;10,57816;10,66657;10,66657;10,74239;10,81803;10,98212;11,13579;11,22388;11,25887;11,36253;11,52466;11,5354;11,63746;11,82547;11,86525;11,90252;12,02602;12,20101;12,275;12,43581;12,52258;12,62362;12,69475;12,72247;12,8228;12,96506;13,02681;13,06477;13,18591;13,22371;13,36216;13,38629;13,42385;13,64362;13,81674;13,92172;13,98301;14,01887;14,10696;14,20571;14,302;14,34674;14,4144;14,52559;14,52559;14,66755;14,74683;14,84565;14,94307;15,16345;15,22505;15,26653;15,48587;15,54624;15,60328;15,66241;15,90376;16,01623;16,12357;16,16363;16,20296;16,20296;16,3989;16,46717;16,56513;16,68523;16,7266;16,91607;16,94475;16,98749;17,16128;17,32429;17,32429;17,46367;17,46367;17,5261;17,68579;17,76158;17,9054;17,9054;18,12134;18,14691;18,28579;18,48128;18,48128;18,68443;18,78653;18,84651;19,00219;19,10687;19,10687;19,44479;19,54791;19,60542;19,66039;19,80588;19,82678;19,94423;20,06261;20,10772;20,28755;20,32413;20,32413;20,38248;20,72485;20,96217;21,06426;21,22184;21,28657;21,34472;21,4581;21,5073;21,66375;21,75941;21,90147;21,92551;22,08245;22,24007;22,3465;22,3593;22,60253;22,61574;22,69427;22,89606;23,07206;23,1672;23,30155;23,422;23,46743;23,85788;23,90724;24,02588;24,16777;24,32186;24,38631;24,70544;24,82524;25,04485;25,52396;25,85375;26,24067;26,5425
0,4544898;1,870657;3,55823;3,690457;3,847931;4,059842;4,33827;4,417628;4,646821;4,881348;5,037993;5,206713;5,28523;5,388718;5,645789;5,799975;5,844692;5,947866;6,066621;6,259399;6,286965;6,429867;6,429867;6,646639;6,750109;6,968152;6,968152;7,057141;7,189368;7,305254;7,342402;7,484274;7,558177;7,686466;7,749462;7,930157;8,00684;8,149995;8,149995;8,266586;8,279153;8,388904;8,426351;8,548843;8,630327;8,687903;8,883494;8,906266;9,047194;9,081511;9,164375;9,390145;9,401446;9,645473;9,684607;9,684607;9,9261;10,02554;10,05082;10,2653;10,40544;10,43085;10,55794;10,66019;10,72487;10,79889;10,96005;10,98729;11,12504;11,22575;11,28871;11,42654;11,56467;11,58901;11,72447;11,7866;11,91044;12,02608;12,08938;12,30641;12,3659;12,38983;12,43937;12,56738;12,62945;12,70428;12,79105;12,83951;12,83951;12,92791;13,14378;13,30586;13,47943;13,53074;13,56754;13,77843;13,89063;13,99056;14,06811;14,17007;14,26906;14,26906;14,40695;14,52792;14,65981;14,78716;14,93037;14,96455;14,96455;15,05886;15,15811;15,18493;15,40589;15,68666;15,71063;15,80866;15,84557;15,93099;16,026;16,03832;16,32503;16,44757;16,47103;16,56864;16,70464;16,83874;16,88835;17,01977;17,18879;17,22794;17,32529;17,38713;17,54351;17,66602;17,78394;17,92813;17,96576;18,00037;18,24406;18,30877;18,38657;18,60579;18,60579;18,66326;18,66326;18,9392;19,011;19,12972;19,12972;19,16542;19,18913;19,32531;19,5593;19,66741;19,75032;19,90286;20,05075;20,14746;20,14746;20,30511;20,38634;20,56707;20,59029;20,66215;20,72184;20,90984;20,98054;21,10946;21,227;21,34892;21,38357;21,46718;21,64363;21,78582;22,02382;22,16711;22,20671;22,70767;22,76118;22,78342;23,05012;23,13062;23,30709;23,33104;23,36672;23,4497;23,77089;23,80531;23,96615;24,04709;24,38736;24,5054;24,95821;25,0493;25,26288;25,3822;25,80162;26,09104;26,10489;26,46988
0,6987224;0,7996989;1,346852;3,188421;3,842927;3,883593;4,524418;4,536719;4,666929;4,718227;4,887956;4,887956;5,124918;5,124918;5,385779;5,567249;5,567249;5,747617;5,786155;6,226084;6,422904;6,563051;6,600114;6,782218;6,782218;6,924164;6,924164;7,07799;7,283402;7,435383;7,564606;7,767189;7,806454;7,84637;8,088418;8,088418;8,165141;8,203297;8,387677;8,387677;8,503165;8,567172;8,822447;8,847919;8,886886;8,937103;9,204598;9,307678;9,385046;9,535744;9,840047;9,968108;9,968108;10,00634;10,14516;10,20796;10,22006;10,32517;10,48833;10,53799;10,80383;10,8288;10,98299;11,14846;11,26232;11,32504;11,4649;11,50307;11,56538;11,6275;11,79358;11,86327;12,02314;12,02314;12,02314;12,18156;12,44165;12,54206;12,58726;12,66602;12,82635;12,96564;13,00279;13,10448;13,16872;13,21795;13,3065;13,46846;13,46846;13,5661;13,66266;13,74211;13,90009;13,98779;13,98779;14,22342;14,22342;14,36725;14,40788;14,5439;14,60483;14,60483;14,76598;14,82775;15,06226;15,06226;15,06226;15,08673;15,24741;15,34394;15,50457;15,50457;15,56582;15,6628;15,74649;15,78552;15,94428;16,02736;16,03921;16,06463;16,08814;16,21928;16,28201;16,32798;16,40006;16,44875;16,75854;16,75854;16,82402;16,94267;17,00299;17,14672;17,20726;17,38791;17,42832;17,49829;17,64138;17,64138;17,66524;17,86873;17,90533;17,94131;18,08603;18,1818;18,24139;18,2769;18,3599;18,44774;18,58052;18,70293;18,78298;18,82351;19,12151;19,22832;19,32547;19,40873;19,48269;19,48269;19,5889;19,80002;19,92027;19,94446;20,06595;20,18555;20,22194;20,30504;20,44778;20,56729;20,78187;20,80572;20,86507;21,06706;21,16284;21,28093;21,34761;21,42628;21,70584;21,70584;22,06299;22,10296;22,32505;22,4815;22,52066;22,70768;22,76186;22,98791;23,06289;23,22212;23,32767;23,3663;23,53736;23,87545;24,0253;24,3065;24,3065;24,36751;24,66385;24,94442;25,56509;26,22717
0,4967322;2,282258;2,624732;3,006206;3,306745;4,462176;4,643781;4,946023;5,113012;5,205455;5,335118;5,426025;5,66295;6,045602;6,080915;6,323853;6,323853;6,400802;6,478946;6,622867;6,661982;6,858304;6,922977;7,141753;7,167169;7,321215;7,426373;7,503756;7,581611;7,683312;7,747761;7,925904;8,06626;8,143713;8,28356;8,28356;8,436413;8,462436;8,563929;8,703746;8,703746;8,741735;8,9873;8,9873;9,203972;9,384687;9,423219;9,485366;9,727335;9,766481;9,906222;9,906222;9,956282;10,12175;10,22304;10,28613;10,29697;10,46266;10,66359;10,82653;10,87508;10,91434;10,98176;11,10717;11,26306;11,5438;11,69459;11,72256;11,74661;11,92148;11,9467;12,04646;12,18377;12,22211;12,32512;12,38731;12,46167;12,58453;12,68431;12,722;12,722;12,84557;12,92307;12,94692;13,06253;13,16245;13,23504;13,32317;13,42293;13,42293;13,56154;13,60035;13,70302;13,78645;13,90377;14,02109;14,02109;14,08104;14,34048;14,3848;14,52013;14,54391;14,62745;14,78165;14,79405;15,02647;15,10393;15,22612;15,28699;15,48527;15,48527;15,5465;15,6167;15,79651;15,85477;15,97492;16,10159;16,24676;16,29589;16,44268;16,44268;16,56457;16,56457;16,74703;16,84208;16,88051;17,04191;17,06632;17,20511;17,20511;17,2437;17,38676;17,42424;17,70555;17,74112;17,76546;17,92318;18,04311;18,18654;18,22224;18,38002;18,3995;18,46549;18,46549;18,6657;18,82208;18,90583;18,91706;19,16643;19,2065;19,33848;19,42301;19,44608;19,56548;19,74477;19,78037;20,10047;20,1619;20,36511;20,42537;20,48729;20,52206;20,74563;20,81593;20,86498;20,92372;21,04508;21,18635;21,25891;21,28585;21,40119;21,663;21,74658;22,06311;22,06311;22,10357;22,14408;22,42539;22,62507;22,9664;23,12489;23,13704;23,30666;23,47904;23,4999;23,64616;23,68482;23,77534;23,94472;24,14299;24,36473;24,62204;24,62204;24,68408;25,08661;25,28589;25,40422;25,71387;25,71387;25,98017
0,1092368;0,1092368;0,4267593;0,5708042;2,930823;3,049837;3,273052;3,273052;3,547749;3,870147;3,987898;4,092133;4,183505;4,470779;4,647798;5,033389;5,127713;5,270144;5,347836;5,427406;5,490681;5,649889;5,689005;5,829254;5,892199;5,969997;6,189348;6,189348;6,369624;6,369624;6,487931;6,629975;6,731995;6,871407;6,912328;6,961825;7,129502;7,244312;7,270723;7,488853;7,527974;7,631714;7,761444;7,913251;7,913251;8,10747;8,144604;8,313533;8,35103;8,491383;8,567665;8,668668;8,804345;9,031582;9,070006;9,070006;9,20983;9,272242;9,311118;9,423329;9,449698;9,551155;9,704695;9,73235;9,848219;9,883673;9,948227;10,10869;10,13278;10,23202;10,23202;10,41063;10,49106;10,60115;10,62756;10,68874;10,82781;10,88901;10,98947;11,12771;11,19201;11,26222;11,2903;11,36401;11,42789;11,55266;11,69059;11,69059;11,75168;11,89339;11,90483;12,02741;12,21231;12,21231;12,593;12,593;12,6422;12,72952;12,82989;12,92824;13,12675;13,12675;13,31103;13,31103;13,38377;13,44698;13,57334;13,71131;13,77131;13,84709;13,8826;13,90994;14,01074;14,20877;14,30539;14,33192;14,36819;14,42922;14,62738;14,68741;14,72729;14,76242;14,81223;14,94686;15,03341;15,10819;15,20543;15,32821;15,35241;15,3898;15,5869;15,64746;15,74717;15,86873;15,89137;15,90216;15,97081;16,192;16,41135;16,48857;16,48857;16,58913;16,62667;16,80898;16,86987;16,93112;17,02869;17,17177;17,2697;17,4128;17,49163;17,52186;17,5701;17,69033;17,84841;17,90891;17,94319;17,94319;18,06624;18,24547;18,32912;18,42785;18,57315;18,58499;18,66826;18,88097;18,92918;19,01234;19,04814;19,24797;19,27328;19,40275;19,4508;19,57302;19,6476;19,7683;19,90835;20,0282;20,08724;20,2662;20,45024;20,50919;20,61266;20,67098;20,86794;20,89154;21,03094;21,11322;21,34744;21,39362;21,62822;21,62822;21,99218;22,31215;22,65322;22,9713;23,27322;23,5697;27,18298;29,42664
0,1127681;0,1127681;0,1127681;0,7478792;1,106607;1,292158;1,330761;1,513368;1,969845;2,864264;3,91367;4,11105;4,123981;4,369668;4,449127;4,528169;4,567139;4,68246;4,861748;5,080142;5,34751;5,372901;5,56318;5,770112;5,912257;5,950728;5,990015;6,141061;6,168332;6,268722;6,527507;6,591169;6,629403;6,750618;6,812234;6,824066;7,066697;7,141916;7,391488;7,507734;7,671574;7,671574;7,830697;7,889813;7,947012;8,053653;8,145432;8,248097;8,271933;8,309473;8,422853;8,489062;8,641413;8,641413;8,910854;8,922336;9,013572;9,052273;9,228821;9,266671;9,432603;9,510603;9,548941;9,711536;9,749633;9,910465;9,94895;10,0508;10,20389;10,26791;10,36505;10,43133;10,54413;10,57079;10,70938;10,70938;10,82097;11,1424;11,2301;11,26795;11,48129;11,57176;11,66057;11,71159;11,95043;11,9732;12,11346;12,16308;12,22803;12,30199;12,4028;12,56886;12,66794;12,72974;12,76817;12,85375;13,00722;13,07101;13,29246;13,30375;13,49137;13,7124;13,86096;13,88769;13,98722;14,01126;14,15084;14,20843;14,3484;14,37312;14,52168;14,54757;14,73038;14,91256;14,98652;15,07156;15,07156;15,19254;15,26513;15,44654;15,47248;15,63296;15,64419;15,69269;15,80301;15,94665;15,94665;16,17281;16,32868;16,45354;16,63342;16,69235;16,88372;16,99306;17,06717;17,12761;17,22547;17,32348;17,46968;17,46968;17,62781;17,73036;17,74228;18,11149;18,16222;18,26894;18,38925;18,50683;18,72655;18,75068;18,86846;18,92862;18,98791;19,13156;19,24888;19,30795;19,39119;19,50892;19,56871;19,71055;19,77076;19,85335;20,05163;20,12607;20,31049;20,39617;20,47192;20,55079;20,75131;20,81039;20,92838;21,01089;21,12897;21,15319;21,25296;21,44584;21,47001;21,87229;21,908;22,01205;22,27114;22,3533;22,52808;22,56766;22,77067;22,77067;23,05218;23,12898;23,42692;23,45253;23,86746;24,13036;24,3904;24,5725;24,68222;24,86318;24,86318;25,33101;25,67253;25,92351
