Personne 0;Personne 1;Personne 2;Personne 3;Personne 4;Personne 5;Personne 6;Personne 7;Personne 8;Personne 9;Personne 10;Personne 11;Personne 12;Personne 13;Personne 14;Personne 15;Personne 16;Personne 17;Personne 18;Personne 19;Personne 20;Personne 21;Personne 22;Personne 23;Personne 24;Personne 25;Personne 26;Personne 27;Personne 28;Personne 29;Personne 30;Personne 31;Personne 32;Personne 33;Personne 34;Personne 35;Personne 36;Personne 37;Personne 38;Personne 39;Personne 40;Personne 41;Personne 42;Personne 43;Personne 44;Personne 45;Personne 46;Personne 47;Personne 48;Personne 49;Personne 50;Personne 51;Personne 52;Personne 53;Personne 54;Personne 55;Personne 56;Personne 57;Personne 58;Personne 59;Personne 60;Personne 61;Personne 62;Personne 63;Personne 64;Personne 65;Personne 66;Personne 67;Personne 68;Personne 69;Personne 70;Personne 71;Personne 72;Personne 73;Personne 74;Personne 75;Personne 76;Personne 77;Personne 78;Personne 79;Personne 80;Personne 81;Personne 82;Personne 83;Personne 84;Personne 85;Personne 86;Personne 87;Personne 88;Personne 89;Personne 90;Personne 91;Personne 92;Personne 93;Personne 94;Personne 95;Personne 96;Personne 97;Personne 98;Personne 99;Personne 100;Personne 101;Personne 102;Personne 103;Personne 104;Personne 105;Personne 106;Personne 107;Personne 108;Personne 109;Personne 110;Personne 111;Personne 112;Personne 113;Personne 114;Personne 115;Personne 116;Personne 117;Personne 118;Personne 119;Personne 120;Personne 121;Personne 122;Personne 123;Personne 124;Personne 125;Personne 126;Personne 127;Personne 128;Personne 129;Personne 130;Personne 131;Personne 132;Personne 133;Personne 134;Personne 135;Personne 136;Personne 137;Personne 138;Personne 139;Personne 140;Personne 141;Personne 142;Personne 143;Personne 144;Personne 145;Personne 146;Personne 147;Personne 148;Personne 149;Personne 150;Personne 151;Personne 152;Personne 153;Personne 154;Personne 155;Personne 156;Personne 157;Personne 158;Personne 159;Personne 160;Personne 161;Personne 162;Personne 163;Personne 164;Personne 165;Personne 166;Personne 167;Personne 168;Personne 169;Personne 170;Personne 171;Personne 172;Personne 173;Personne 174;Personne 175;Personne 176;Personne 177;Personne 178;Personne 179;Personne 180;Personne 181;Personne 182;Personne 183;Personne 184;Personne 185;Personne 186;Personne 187;Personne 188;Personne 189;Personne 190;Personne 191;Personne 192;Personne 193;Personne 194;Personne 195;Personne 196;Personne 197;Personne 198;Personne 199
3,518688;3,692195;3,975963;4,237761;4,365926;4,455911;4,632602;4,831416;5,076217;5,229013;5,278172;5,47824;5,64847;5,706903;5,878105;6,01758;6,175807;6,297147;6,471213;6,499226;6,698512;6,845652;7,00753;7,094472;7,149974;7,29867;7,48947;7,877098;8,074563;8,154875;8,195352;8,31661;8,329133;8,479724;8,53391;8,626479;8,717865;8,790067;8,976041;9,094386;9,24788;9,398211;9,530407;9,695069;9,814226;9,877318;9,966069;10,11662;10,15768;10,29139;10,29139;10,43513;10,49812;10,61019;10,67467;10,78567;10,86937;11,03918;11,07534;11,23662;11,43007;11,43007;11,61798;11,75566;12,43095;12,47065;12,59024;12,63772;12,75416;12,84844;12,91643;13,49953;13,63016;13,77186;13,83242;14,03309;14,20731;14,34853;14,47648;14,65668;14,69914;14,78746;14,9465;15,35776;15,45007;15,46535;15,61826;15,7593;15,89543;16,01994;16,14724;16,17647;16,33722;16,33722;16,47022;16,57291;16,63172;16,88775;17,04943;17,04943;17,22722;17,3388;17,49169;17,93565;18,08162;18,22886;18,29491;18,67925;18,67925;18,85723;18,85723;19,03735;19,07811;19,21462;19,27066;19,39996;19,55876;19,63996;19,71788;19,8549;20,01802;20,10928;20,17491;20,25748;20,33765;20,41523;20,48813;20,57774;20,63813;20,71377;20,87001;21,05954;21,29455;21,4183;21,46872;21,59477;22,04794;22,29859;22,42704;22,45245;22,61489;22,67877;22,83772;22,85642;23,00923;23,03663;23,18722;23,35809;23,35809;23,49739;23,63595;23,79721;23,83766;23,9384;24,01689;24,0952;24,17564;24,27521;24,30854;24,42907;24,45278;24,59598;24,77727;24,93642;25,11553;25,11553;25,25724;25,29216;25,4394;25,51956;25,57958;25,73763;25,75909;25,89503;26,11407;26,25703;26,36767;26,39198;26,55832;26,56849;26,71244;26,87055;27,23824;27,41988;27,57514;28,17971;28,67385;29,21332;29,55853;29,73667;29,99214;30,16975;30,35874;30,53547;31,39332;31,55632;31,99084;32,37698;32,66901;32,88943
3,226039;3,628906;3,754008;3,928265;4,034615;4,172923;4,306543;4,511501;4,558415;4,791533;4,977412;5,137256;5,292566;5,356446;5,491384;5,599967;5,877717;5,937162;6,107103;6,107103;6,257982;6,305637;6,437015;6,631347;6,691763;6,870424;7,057148;7,073803;7,188663;7,256964;7,410957;7,445844;7,818515;7,998888;8,04422;8,194454;8,34303;8,524799;8,685328;8,787656;8,961993;9,134161;9,283088;9,429524;9,543524;9,597053;9,767128;9,844558;9,907558;10,00701;10,04632;10,17515;10,19352;10,34127;10,36183;10,53835;10,53835;10,6962;10,6962;10,84149;10,9964;11,14532;11,32769;11,50904;11,67362;11,77487;11,81145;11,94475;12,11385;12,30915;12,3506;12,56631;12,71868;12,77026;12,91603;13,07833;13,13491;13,25728;13,28614;13,40791;13,57674;13,75709;13,7983;13,93835;14,15851;14,2098;14,33733;14,37552;14,49833;14,77445;16,07652;16,0898;16,29438;16,30729;16,47345;16,52732;16,65051;16,83827;16,99818;17,07141;17,15859;17,25642;17,45845;17,53834;17,69785;17,87083;17,89799;18,093;18,13542;18,25059;18,29625;18,43193;18,53574;18,57603;18,73096;18,79718;18,87767;18,95711;19,03867;19,09018;19,25433;19,43596;19,47746;19,63519;19,77724;19,77724;20,17208;20,32813;20,57683;20,66776;20,79724;20,91611;21,07363;21,13588;21,23239;21,29511;21,47122;21,65571;21,81352;21,97799;22,13826;22,30572;22,77849;22,77849;22,936;22,97314;23,09792;23,13536;23,24773;23,3379;23,41404;23,49659;23,55656;23,65753;23,69483;23,79396;24,01728;24,26687;24,47558;24,57715;24,63693;24,81471;24,87199;25,03719;25,07349;25,19702;25,23219;25,38942;25,55441;25,73325;26,05814;26,2368;26,31597;26,41722;26,47286;26,59513;26,63274;26,77164;26,77164;26,91572;26,97138;27,27141;27,83688;27,83688;27,99124;28,01347;28,58772;29,31106;29,51141;29,69808;29,85629;29,85629;30,03387;30,1158;30,28969;30,51435;30,77275;31,13447;31,34989;31,99425
2,271032;2,382636;2,841278;3,986988;4,202155;4,250147;4,682537;4,698452;4,948603;5,288666;5,467819;5,659976;5,827458;5,94907;6,025105;6,840196;6,88257;7,122891;7,231605;7,289692;7,379401;7,49982;7,531265;7,665571;7,731294;7,796997;7,860753;7,990203;8,019497;8,151836;8,151836;8,30011;8,409138;8,440114;8,568899;8,70938;8,768235;8,851632;9,029962;9,184301;9,37064;9,508743;10,28355;10,51156;10,65154;10,70771;10,82706;10,88698;11,05195;11,2283;11,25064;11,32683;11,40755;11,46749;11,58933;11,58933;11,73842;11,75742;11,90478;11,94747;12,37071;12,49805;12,54677;12,67144;12,73048;12,81032;12,96969;12,96969;13,09142;13,1439;13,24289;13,30841;13,41791;13,5875;14,20603;14,24438;14,33203;14,47117;14,54734;14,58845;14,72964;14,84659;14,87124;15,00413;15,00413;15,13227;15,28921;15,36914;15,52668;15,74165;15,90901;15,97178;16,11012;16,11012;16,2609;16,37041;16,45195;16,55966;16,64477;16,69058;16,82852;16,95227;17,00866;17,10191;17,16978;17,25156;17,31799;17,40059;17,48135;17,70946;17,74619;17,86301;17,93232;18,0402;18,16154;18,18652;18,34294;18,40957;18,55149;18,59075;18,78999;19,02837;19,07966;19,24624;19,68903;19,8068;20,02903;20,06635;20,20831;20,24861;20,34706;20,4665;20,58693;20,65154;20,72732;20,83011;20,89208;21,00894;21,00894;21,15175;21,32579;21,35968;21,5208;21,76595;21,90685;22,06693;22,19166;22,37113;22,43928;22,66614;22,74255;22,84491;23,02625;23,20903;23,47034;23,70053;23,88105;24,12598;24,27212;24,44769;24,60545;24,7404;24,90148;25,08637;25,26573;25,26573;25,41084;25,5666;25,74804;25,92502;25,92502;26,10884;26,10884;26,28535;27,00972;27,22852;27,22852;27,36898;27,44804;27,52671;27,64875;27,80502;28,18715;28,28314;28,3807;28,46848;28,6482;28,6482;28,80695;28,96494;28,96494;29,12729;29,1387;30,00859;30,28374;30,50603;30,50603;30,90924;31,24604;31,83112
2,850186;3,407044;3,569483;3,727833;4,348719;4,405066;4,507783;4,579259;4,768967;4,928862;5,250352;5,565468;6,266534;6,424654;6,563574;6,563574;6,722026;6,722026;6,858361;6,983768;7,145681;7,258254;7,406015;7,430259;7,586467;7,728428;7,728428;7,906109;8,108057;8,267362;8,267362;8,450295;8,647201;8,810021;8,925022;8,990335;9,057198;9,207998;9,348018;9,450569;9,476736;9,617343;9,661663;9,801417;9,826658;9,94229;10,07678;10,19763;10,34803;10,46749;10,49527;10,62824;10,64258;10,80871;10,80871;10,92436;11,05602;11,17466;11,30753;11,43954;11,58947;11,74953;11,90831;12,04807;12,2091;12,36979;12,46266;12,64997;12,728;12,905;12,94699;13,08102;13,12659;13,26396;13,62904;13,78177;13,93881;14,0894;14,11807;14,28565;14,28565;14,51889;14,67642;14,78791;14,84864;15,00898;15,14812;15,19019;15,32829;15,32829;15,47957;15,47957;15,65871;15,65871;15,80895;15,82155;15,94247;16,08657;16,22566;16,22566;16,35793;16,37264;16,4953;16,52872;16,68365;16,73807;16,86168;16,9175;17,04975;17,12833;17,20924;17,38014;17,70585;17,74628;18,06776;18,18702;18,34849;18,50609;18,66732;18,82557;18,90872;18,96708;19,1207;19,30713;19,30713;19,46627;19,46627;19,59002;19,66592;19,90341;20,07869;20,17017;20,28613;20,40421;20,47047;20,56827;20,69035;20,83067;20,83067;21,35019;21,48738;21,50923;21,62702;21,76706;21,88822;22,02814;22,15067;22,28393;22,28393;22,46455;22,48961;22,58676;22,72518;22,78682;22,90162;23,16434;23,20926;23,41031;23,44387;23,6842;23,70781;23,85881;24,10768;24,54243;24,5661;24,74782;24,74782;24,90969;24,94863;25,1101;25,20765;25,55068;26,22235;26,42514;26,46964;26,58108;26,7459;26,90371;27,0611;27,21042;27,28423;27,42627;27,45946;27,64671;27,66927;28,03068;28,1854;28,4263;28,6268;29,46524;29,6704;29,86628;31,4037;31,90637;32,06854;32,7054;32,86651;33,04513;33,21069;34,8483
0,1090525;3,09105;3,585175;3,79981;3,886584;4,0446;4,059155;4,227291;4,227291;4,391377;4,549028;4,727598;4,904192;4,930528;5,068118;5,109133;5,229692;5,267134;5,431481;5,73077;5,89076;5,89076;6,043748;6,043748;6,206373;6,206373;6,34672;6,360975;6,469128;6,529641;6,608476;6,721692;6,868595;7,027006;7,16587;7,345036;7,345036;7,512094;7,645548;7,790664;7,929345;7,942703;8,098527;8,098527;8,250406;8,262772;8,549877;9,46925;9,651553;9,831189;10,24678;10,38944;10,42691;10,53107;10,6273;10,65012;10,76351;10,81043;10,93155;10,93155;11,0839;11,20805;11,34309;11,49065;11,61868;11,77072;11,88458;12,06288;12,22096;12,44944;12,58743;12,62822;12,74419;12,78662;12,88224;13,2493;13,43092;13,81097;13,94921;14,10167;14,26478;14,36496;14,6468;14,66;14,83042;14,83042;14,94341;15,0839;15,1113;15,21009;15,25052;15,34688;15,42796;15,47906;15,60532;15,61999;15,79034;15,8029;15,96488;15,99123;16,20815;16,24872;16,79861;17,04004;17,23976;17,26631;17,42397;17,4511;17,66639;17,83216;17,83216;17,98678;18,06779;18,14851;18,22642;18,31115;18,40128;18,58128;18,64253;18,76559;18,92442;18,94857;19,08498;19,10776;19,24422;19,50412;19,72156;19,80424;19,92077;20,0902;20,31057;20,31057;20,8687;20,90605;21,08029;21,2813;21,46729;21,50676;21,64765;21,68787;21,93177;21,94398;22,0907;22,1293;22,22563;22,34038;22,36532;22,48881;22,5103;22,64963;22,64963;22,77132;22,80779;23,02266;23,11134;23,23219;23,23219;23,3671;23,37876;23,56506;23,7207;23,8911;24,02941;24,18982;24,3413;24,36661;24,63096;24,74426;24,78713;24,91966;25,38693;25,46435;25,66854;25,96586;26,1605;26,34601;26,40955;26,53053;26,57014;26,75126;26,80785;27,27022;27,44528;27,48972;27,63132;27,66952;27,80557;28,04931;28,2035;28,57196;28,74846;28,89145;28,9238;29,08743;29,52879;29,70991;29,97115;30,17003;30,90742;34,18446
0,1802785;3,650582;3,766237;3,783156;3,904946;3,935457;4,033049;4,175782;4,328841;4,416231;4,567819;4,582855;4,934761;5,03311;5,12852;5,475659;5,623855;5,872945;6,031909;6,212636;6,313507;6,708052;6,830508;6,970597;7,176039;7,331814;7,484336;7,527439;7,811828;8,087869;8,271744;8,468254;8,645541;9,252672;9,335791;9,513168;9,702603;9,748053;9,886206;9,901734;10,05453;10,18569;10,32138;10,45366;10,49416;10,61191;10,67136;10,76932;10,79374;10,91599;10,92991;11,11427;11,15191;11,29289;11,45115;11,58152;11,58152;11,71421;11,84996;11,98198;12,11621;12,24545;12,33226;12,41621;12,48395;12,56388;12,67212;12,70707;12,81462;12,89109;13,01401;13,14708;13,29148;13,31486;13,42903;13,61438;13,65296;13,7749;13,78538;13,91532;13,91532;14,05254;14,09071;14,21528;14,4229;14,49421;14,59561;14,7353;14,87624;15,03305;15,04632;15,15302;15,27168;15,31336;15,40734;15,49582;15,55306;15,64937;15,69215;15,81024;15,85118;15,986;16,01442;16,19536;16,31516;16,44869;16,59561;16,73212;16,87633;17,05144;17,05144;17,2127;17,25298;17,4349;17,93099;18,25008;18,27632;18,41138;18,55376;18,61197;18,71552;18,84555;18,97184;19,09231;19,25061;19,40619;19,57064;20,0107;20,16339;20,31396;20,3259;20,47503;20,55264;20,66293;20,76311;20,82818;20,99517;21,06943;21,1849;21,31326;21,31326;21,49064;21,67209;21,83287;21,83287;22,01595;22,01595;22,1686;22,29426;22,45597;22,71145;22,8129;22,87107;22,99328;23,03508;23,23165;23,57423;23,76599;23,86846;23,97108;24,19473;24,35128;24,55155;24,57509;24,69187;24,72802;24,83333;24,93325;25,01404;25,11061;25,16909;25,31591;25,4656;25,49023;25,64967;25,64967;25,78421;25,8113;26,13177;26,33258;26,65529;26,79123;26,8229;26,97124;27,03377;27,15327;27,26885;27,31146;27,48933;28,19496;28,46965;28,78952;28,81115;28,99374;29,19275;29,37422;29,55069;29,74492;29,97532;30,89094
0,1212518;1,547976;3,420773;3,529469;3,762933;4,408587;4,498076;4,569582;5,112145;5,189051;5,261059;5,313095;5,379859;5,426235;5,520178;5,584023;5,746442;5,808284;5,880569;5,96752;6,051735;6,151238;6,204966;6,405042;6,489192;6,544726;6,683995;7,188381;7,767073;7,825426;8,006293;8,144344;8,283918;8,420673;8,492254;8,649879;8,751906;8,824119;8,931596;9,012493;9,108317;9,288222;9,385859;9,585346;9,691334;9,730368;9,871668;9,931606;10,07981;10,15252;10,30526;10,58662;10,66672;10,78921;10,96479;10,96479;11,12219;11,23143;11,42136;11,54206;11,59219;11,71842;11,75208;11,94423;12,12084;12,27929;12,44206;12,48643;12,5808;12,72553;12,88816;13,07156;13,22761;13,90183;14,10907;14,16173;14,27181;14,30747;14,43973;14,55097;14,60816;14,80838;14,88068;14,96918;15,02679;15,18615;15,34122;15,51112;15,63195;15,77055;15,91062;15,95064;16,07171;16,21089;16,62074;16,64922;16,81211;17,0614;17,19076;17,26947;17,36447;17,46875;17,50924;17,62926;17,70699;17,79261;17,85162;17,98896;18,00078;18,14881;18,16095;18,32234;18,54881;18,68876;18,84935;19,06339;19,32923;19,51244;19,68542;19,92729;20,02901;20,10704;20,18958;20,34984;20,57005;20,57005;20,69968;20,80104;20,84041;20,97022;21,00949;21,14975;21,25135;21,32859;21,48269;21,79153;21,98524;22,16893;22,16893;22,30042;22,36605;22,43088;22,52386;22,58676;22,69236;22,73272;22,90601;23,19295;23,42459;23,97154;24,14512;24,33199;24,33199;24,50509;24,54407;24,70911;24,76601;24,94281;24,94281;25,10666;25,21112;25,3039;25,38513;25,46649;25,71049;25,78964;26,00933;26,17234;26,22877;26,36553;26,40938;26,52745;26,83856;26,97149;27,14024;27,34841;27,49311;27,64687;27,84475;28,05109;28,23136;28,23136;28,39203;28,39203;28,54802;28,82541;29,02113;29,62826;30,25299;30,28597;30,45281;30,60727;30,65238;31,1863;31,35187;31,53172;31,7128;31,92979;32,40775;32,60615
3,11213;3,553864;3,833035;4,072698;4,22361;4,255712;4,373106;4,527569;4,668614;4,927243;5,091756;5,121738;5,225014;5,666642;6,073248;6,073248;6,272396;6,434077;6,533082;6,574961;6,687606;6,730329;6,894111;6,894111;7,02913;7,190617;7,190617;7,327665;7,492962;7,561316;7,707684;7,721839;7,873091;8,045691;8,350471;8,550633;8,684399;8,815039;8,972951;9,614306;9,775046;9,912043;9,991127;10,04504;10,21125;10,27109;10,34325;10,4892;10,53442;11,1916;11,22888;11,3512;11,47491;11,48754;11,67319;11,79154;11,94438;11,94438;12,0849;12,1104;12,22876;12,28838;12,38684;12,47573;12,54374;12,62758;12,70952;12,77349;12,85375;13,0353;13,346;13,62442;13,82571;14,03206;14,20564;14,56408;14,65222;14,82551;14,87203;14,97456;15,04501;15,10498;15,22203;15,33559;15,43482;15,49576;15,59573;15,6492;15,75284;15,8327;15,9035;16,04648;16,17389;16,17389;16,3302;16,49194;16,58775;16,65516;16,99547;17,20717;17,36755;17,39503;17,57101;17,61019;17,71144;17,8958;18,0487;18,07499;18,18643;18,31091;18,35037;18,48369;18,51088;18,71031;18,93339;19,09499;19,27452;19,47124;19,47124;19,65331;19,707;19,84861;19,92376;20,07389;20,10415;20,23236;20,48868;20,61343;20,73459;20,77471;20,89414;20,93446;21,04943;21,07447;21,21253;21,21253;21,3417;21,47469;21,51421;21,67381;21,7129;21,88623;21,92451;22,07105;22,21217;22,39402;22,39402;22,55275;22,56409;23,27326;23,43185;23,75203;23,79226;23,96513;24,21345;24,33478;24,49274;24,59369;24,64713;24,85366;24,8934;25,05231;25,17369;25,23558;25,4049;25,56787;25,67324;25,72679;25,9295;26,32318;26,59104;26,73188;26,96718;27,1942;27,37501;27,44955;27,67423;27,81098;27,87583;28,39436;29,01512;29,22912;29,49423;29,69022;29,88395;30,05233;30,29184;30,45416;30,63198;30,79218;31,01242;31,55219;31,77531;31,93136;32,94936;33,65246;34,05478;34,64886;34,8116;35,01297
3,564767;3,629158;3,8678;3,93018;4,306583;4,588213;4,602674;4,849989;4,864458;5,097533;5,279858;5,882595;6,085179;6,344985;6,490177;6,617534;6,705315;6,747828;6,878546;7,021677;7,165722;7,263929;7,320834;7,469183;7,469183;7,64088;7,64088;7,771478;7,898299;8,086649;8,230613;8,360843;8,408708;8,54158;8,715963;8,848402;8,963636;9,020072;9,149024;9,206898;9,262264;9,410025;9,510876;9,570751;9,729102;9,770653;9,88681;9,946591;10,03838;10,12592;10,19736;10,3248;10,33843;10,43974;10,52731;10,57153;10,73811;10,89734;11,10738;11,10738;11,29123;11,30453;11,42735;11,47025;11,54781;11,63721;11,72865;11,82476;11,84042;11,98818;12,12861;12,51086;12,70966;12,87045;13,06926;13,06926;13,22602;13,239;13,41792;13,44687;14,06393;14,31754;14,46189;14,50278;14,59122;14,68999;14,73647;14,83714;14,92951;15,08081;15,20732;15,30188;15,42938;15,70831;15,94111;15,98406;16,14943;16,25882;16,32855;16,3985;16,51139;16,56656;16,6617;16,68939;16,83008;16,86847;16,98608;17,12048;17,28356;17,40615;17,43021;17,56672;17,69768;17,72538;17,88806;17,88806;18,04804;18,13011;18,18567;18,28045;18,34996;18,46853;18,64774;18,78013;18,94311;19,11153;19,12353;19,26684;19,33017;19,42268;19,48941;20,03844;20,20706;20,36831;20,38075;20,54589;20,54589;20,68293;20,71009;20,83984;20,90275;21,00057;21,17088;21,31031;21,33892;21,46329;21,58735;21,59975;21,76799;22,09927;22,24624;22,38989;22,50159;22,52884;22,64702;22,71031;22,78355;22,93077;22,9993;23,09082;23,22705;23,36649;23,51928;23,74828;24,00919;24,10578;24,16642;24,30752;24,46875;24,50894;24,70475;24,94705;25,10504;25,24694;25,40389;25,78341;25,96902;26,1822;26,38899;26,58483;26,64733;26,78203;26,80788;26,90932;27,08602;27,24936;27,40986;27,5823;27,74879;28,96343;29,14712;29,30118;29,44211;30,17045;30,56487;30,7628;31,01094;31,16263;31,36434;31,78269
1,090965;1,952892;3,835015;3,835015;4,092856;4,186867;4,327239;4,836183;4,976522;4,991086;5,134948;5,755734;5,889322;5,92231;6,095396;6,156753;6,595336;6,750628;6,830956;6,995532;7,008776;7,285038;7,452821;7,722665;7,769491;7,895739;7,92464;8,092816;8,217196;8,295808;8,36884;8,474679;8,517423;8,636158;8,811657;8,926253;8,970025;9,194131;9,194131;9,393104;9,55725;9,55725;9,735332;9,854038;9,953522;10,1089;10,1234;10,28734;10,36679;10,55677;10,67689;10,79164;10,79164;10,98265;10,98265;11,11335;11,16935;11,28513;11,47411;11,63391;11,84706;11,97667;11,97667;12,11461;12,29518;12,58895;12,75268;12,75268;12,91277;12,95479;13,08574;13,12976;13,43068;13,60353;13,77007;13,78425;13,96351;13,99243;14,1366;14,15072;14,27618;14,43412;14,57349;14,58635;14,71292;14,75376;14,87311;14,88714;15,02928;15,05634;15,1952;15,23218;15,37555;15,41643;15,61729;15,7267;15,94611;16,24941;16,37481;16,37481;16,5149;16,61601;16,71693;16,77013;16,9568;17,08717;17,13005;17,21742;17,28537;17,3959;17,52743;18,01094;18,15529;18,45345;18,63342;18,73518;18,81358;18,95224;18,99236;19,17013;19,30809;19,41112;19,47726;20,46581;20,61304;20,79538;20,79538;20,92581;20,95154;21,09517;21,13462;21,25438;21,43302;21,43302;21,55144;21,59106;21,69514;21,73462;21,83402;21,91195;21,98781;22,11648;22,15455;22,27124;22,35418;22,44437;22,60494;22,85182;23,21642;23,26768;23,37181;23,42687;23,53151;23,6356;23,68682;23,84729;24,00805;24,21501;24,21501;24,55203;24,70637;24,83248;25,03602;25,17233;25,21063;25,37201;25,53653;26,01386;26,19522;26,39113;26,45256;26,59103;26,7533;26,91389;27,07445;27,19311;27,22797;27,36899;27,39273;27,57096;27,59519;27,77309;27,77309;27,93421;28,05159;28,13708;28,24808;28,46707;28,55651;28,65745;28,7161;28,89197;29,05162;29,20633;29,3537;30,11167;30,2898;30,51014;31,7934;32,06998
