Personne 0;Personne 1;Personne 2;Personne 3;Personne 4;Personne 5;Personne 6;Personne 7;Personne 8;Personne 9;Personne 10;Personne 11;Personne 12;Personne 13;Personne 14;Personne 15;Personne 16;Personne 17;Personne 18;Personne 19;Personne 20;Personne 21;Personne 22;Personne 23;Personne 24;Personne 25;Personne 26;Personne 27;Personne 28;Personne 29;Personne 30;Personne 31;Personne 32;Personne 33;Personne 34;Personne 35;Personne 36;Personne 37;Personne 38;Personne 39;Personne 40;Personne 41;Personne 42;Personne 43;Personne 44;Personne 45;Personne 46;Personne 47;Personne 48;Personne 49;Personne 50;Personne 51;Personne 52;Personne 53;Personne 54;Personne 55;Personne 56;Personne 57;Personne 58;Personne 59;Personne 60;Personne 61;Personne 62;Personne 63;Personne 64;Personne 65;Personne 66;Personne 67;Personne 68;Personne 69;Personne 70;Personne 71;Personne 72;Personne 73;Personne 74;Personne 75;Personne 76;Personne 77;Personne 78;Personne 79;Personne 80;Personne 81;Personne 82;Personne 83;Personne 84;Personne 85;Personne 86;Personne 87;Personne 88;Personne 89;Personne 90;Personne 91;Personne 92;Personne 93;Personne 94;Personne 95;Personne 96;Personne 97;Personne 98;Personne 99;Personne 100;Personne 101;Personne 102;Personne 103;Personne 104;Personne 105;Personne 106;Personne 107;Personne 108;Personne 109;Personne 110;Personne 111;Personne 112;Personne 113;Personne 114;Personne 115;Personne 116;Personne 117;Personne 118;Personne 119;Personne 120;Personne 121;Personne 122;Personne 123;Personne 124;Personne 125;Personne 126;Personne 127;Personne 128;Personne 129;Personne 130;Personne 131;Personne 132;Personne 133;Personne 134;Personne 135;Personne 136;Personne 137;Personne 138;Personne 139;Personne 140;Personne 141;Personne 142;Personne 143;Personne 144;Personne 145;Personne 146;Personne 147;Personne 148;Personne 149;Personne 150;Personne 151;Personne 152;Personne 153;Personne 154;Personne 155;Personne 156;Personne 157;Personne 158;Personne 159;Personne 160;Personne 161;Personne 162;Personne 163;Personne 164;Personne 165;Personne 166;Personne 167;Personne 168;Personne 169;Personne 170;Personne 171;Personne 172;Personne 173;Personne 174;Personne 175;Personne 176;Personne 177;Personne 178;Personne 179;Personne 180;Personne 181;Personne 182;Personne 183;Personne 184;Personne 185;Personne 186;Personne 187;Personne 188;Personne 189;Personne 190;Personne 191;Personne 192;Personne 193;Personne 194;Personne 195;Personne 196;Personne 197;Personne 198;Personne 199
0,02;0,6990636;1,211625;1,455425;1,638705;1,671165;1,829422;2,073617;2,09268;2,254877;2,5897;2,627005;2,709475;3,038645;3,232491;3,339015;3,572804;3,572804;3,678976;3,748884;3,868991;4,019029;4,019029;4,157614;4,252392;4,428426;4,455766;4,484955;4,617648;4,705269;4,737912;4,886756;4,917384;5,219295;5,293266;5,293266;5,507214;5,639868;5,65325;5,786712;5,872795;5,959384;6,13874;6,169251;6,267212;6,299136;6,38869;6,50952;6,556568;6,556568;6,63901;6,705498;6,849296;6,849296;6,909707;6,909707;7,020826;7,119612;7,153886;7,210161;7,288672;7,375599;7,439472;7,554471;7,743617;7,761719;7,801445;7,838292;8,004372;8,023787;8,104941;8,141836;8,220963;8,264825;8,306007;8,345766;8,55665;8,588457;8,638831;8,714341;8,799983;8,876192;8,95175;9,065334;9,229378;9,27914;9,293696;9,408644;9,408644;9,552675;9,569716;9,665318;9,727387;9,837893;9,837893;9,988145;9,988145;10,05246;10,14928;10,21074;10,3186;10,37574;10,49402;10,51625;10,63837;10,69721;10,75668;10,77043;10,92907;10,92907;10,97974;11,13803;11,19593;11,20882;11,33549;11,39439;11,56607;11,62458;11,71597;11,7599;11,84828;11,87882;11,89261;12,07167;12,10373;12,27809;12,31026;12,35922;12,41034;12,4985;12,66211;12,70085;12,81507;12,85278;13,01022;13,02615;13,04315;13,13284;13,2082;13,2082;13,38615;13,40497;13,55956;13,55956;13,73713;13,80728;13,95073;13,99848;14,15883;14,18805;14,24885;14,36791;14,39661;14,51985;14,56615;14,61247;14,73211;14,83683;14,851;14,99867;15,03782;15,13491;15,20726;15,37589;15,39109;15,53945;15,53945;15,69987;15,73047;15,87662;15,87662;16,36734;16,43918;16,55761;16,67534;16,87868;17,06575;17,21771;17,4366;17,59719;17,75845;18,15741;18,3456;18,63113;18,74975;18,8124;18,97765;19,16669;19,23655;19,41625;19,57559;19,79198;19,9962;20,15152;20,278;20,3387;20,47709;20,70654;20,77846;20,97144
0,8262596;1,624577;1,733657;1,793316;1,834472;2,288465;2,471904;2,533852;2,624205;2,682564;2,764019;2,999489;3,263323;3,401;3,446681;3,545802;3,619995;3,783025;4,045895;4,291307;4,291307;4,44719;4,806948;4,850286;4,869449;4,911502;5,071736;5,071736;5,249383;5,249383;5,35105;5,39086;5,524149;5,564826;5,820604;5,840248;6,004446;6,083362;6,209402;6,227901;6,394949;6,533393;6,533393;6,719743;6,77016;6,825693;6,863649;6,965591;7,052407;7,112316;7,251213;7,399584;7,399584;7,612117;7,612117;7,752598;7,819507;7,870149;7,880543;8,02097;8,112811;8,162225;8,214586;8,328322;8,44918;8,527243;8,527243;8,56901;8,703782;8,720935;8,888946;8,907619;9,081915;9,081915;9,22709;9,22709;9,418451;9,534834;9,534834;9,64993;9,737276;9,737276;9,830041;9,849328;9,927172;9,999949;10,05359;10,12655;10,14423;10,18435;10,3138;10,34952;10,47391;10,54489;10,60215;10,65252;10,73277;10,73277;10,85926;10,9069;10,99485;11,06505;11,19396;11,2209;11,33067;11,37184;11,54306;11,59937;11,63036;11,85151;11,85151;11,88048;11,9214;12,03457;12,08123;12,14896;12,22592;12,22592;12,33419;12,34803;12,42514;12,52171;12,64825;12,68101;12,72163;12,7815;12,84993;12,90503;12,96296;13,0325;13,07469;13,13128;13,42412;13,52126;13,59423;13,69427;13,83455;13,86162;13,9865;14,03342;14,15169;14,19481;14,33352;14,36124;14,48699;14,531;14,67164;14,75342;14,82241;14,85339;14,99174;15,13505;15,13505;15,20117;15,23167;15,41262;15,41262;15,49381;15,54687;15,63391;15,7745;15,7876;15,82232;15,96457;16,08968;16,19114;16,25424;16,40227;16,42109;16,60188;16,63568;16,83255;16,88964;16,99989;17,45425;17,45425;17,46995;17,95689;18,31468;18,48736;18,60642;18,73119;18,8524;18,98813;19,35804;19,41171;19,69035;19,77034;20,03853;20,15099;20,52967;20,78327;20,88503;21,01331;21,3914;21,73481;21,83296;22,2401;22,44333;22,65313
0,1266499;1,289703;1,624441;1,646514;1,996322;2,330129;2,436451;2,794544;3,266489;3,312603;3,399756;3,529826;3,621349;3,724365;3,76929;3,931652;4,001179;4,105782;4,196714;4,37448;4,37448;4,37448;4,580366;4,65685;4,792027;4,815814;4,857786;4,882001;5,016584;5,083391;5,195897;5,195897;5,431904;5,454261;5,475518;5,614245;5,632895;5,817798;5,879004;5,914975;5,969787;6,022152;6,144241;6,189604;6,375303;6,426376;6,606423;6,622392;6,722762;6,875874;7,094748;7,144018;7,24537;7,277813;7,459611;7,512666;7,512666;7,656367;7,679054;7,784842;7,851981;7,869954;7,930379;8,178801;8,21601;8,342806;8,342806;8,342806;8,477697;8,572267;8,594789;8,682458;8,682458;8,79822;8,906317;8,970356;8,991344;9,129572;9,201783;9,281571;9,303402;9,392298;9,500867;9,500867;9,610502;9,650303;9,759602;9,801103;9,94592;10,00667;10,06809;10,08848;10,21241;10,24912;10,39109;10,40938;10,44523;10,50647;10,57242;10,62222;10,72373;10,82257;10,87403;10,95562;11,03645;11,05421;11,16984;11,2045;11,2045;11,35581;11,37309;11,42645;11,53931;11,59159;11,59159;11,67457;11,74558;11,77544;11,84631;11,89528;11,97808;11,99597;12,16587;12,18085;12,25398;12,32519;12,44546;12,53993;12,57506;12,64633;12,69695;12,7909;12,9882;13,08178;13,09717;13,09717;13,23772;13,32506;13,43864;13,58968;13,62401;13,69368;13,80646;13,84167;14,00593;14,07438;14,11536;14,27987;14,44584;14,44584;14,45873;14,63205;14,63205;14,69103;14,77942;14,87924;15,02452;15,26502;15,50589;15,53896;15,62563;15,7532;15,88875;16,09164;16,09164;16,17618;16,26214;16,36563;16,41332;16,58199;16,67012;16,76649;16,93351;17,01158;17,01158;17,15472;17,25429;17,28554;17,46561;17,6662;17,85629;17,87229;18,08366;18,15666;18,21139;18,39091;18,62232;18,62232;18,93208;19,13755;19,31176;19,70237;19,75078;19,90519;20,07846;20,35611;20,51703;20,80595;21,10361;21,92479
0,02;0,6706799;0,977818;1,099841;1,354859;1,639506;1,694315;2,036955;2,168459;2,547895;2,696899;2,816622;2,985549;3,015277;3,208751;3,276889;3,373785;3,58546;3,734717;3,817307;3,875898;4,076309;4,316592;4,3572;4,476134;4,5794;4,657349;4,818097;4,831225;4,915921;5,090161;5,118258;5,254865;5,413111;5,555011;5,610455;5,739872;5,779356;5,830779;6,136907;6,396928;6,435586;6,435586;6,535946;6,610927;6,716672;6,856659;6,895537;6,997925;7,117713;7,169124;7,336298;7,399908;7,46703;7,538387;7,777014;7,777014;7,854206;7,893715;8,035331;8,111468;8,138011;8,17819;8,378073;8,416023;8,598714;8,598714;8,827799;8,854015;8,996022;9,073093;9,136266;9,25417;9,279968;9,291179;9,367927;9,475792;9,556823;9,597841;9,637306;9,713665;9,737884;9,84685;9,874024;10,03663;10,04724;10,11368;10,13767;10,25579;10,26792;10,33199;10,35816;10,44931;10,47481;10,53876;10,61133;10,67402;10,75451;10,79466;10,83383;10,87577;10,99698;11,03322;11,19482;11,19482;11,368;11,39444;11,54923;11,63795;11,71023;11,79883;11,83564;11,93486;11,99625;12,03066;12,05814;12,17308;12,19747;12,3286;12,37947;12,45132;12,47937;12,61804;12,61804;12,75777;12,85331;12,93249;13,02852;13,07934;13,1283;13,23969;13,27613;13,33468;13,35865;13,43993;13,5598;13,56778;13,61567;13,65885;13,74857;13,77294;13,83236;13,86961;13,97227;13,99605;14,13288;14,16914;14,27889;14,39848;14,45663;14,45663;14,59045;14,61557;14,75308;14,91384;14,91384;14,95543;15,07378;15,09888;15,29239;15,34891;15,37271;15,47712;15,63938;15,67671;15,72934;15,81067;15,85672;15,93849;16,09499;16,19881;16,37345;16,37345;16,43091;16,55571;16,55571;16,6785;16,73851;16,81396;16,90908;16,93304;17,0743;17,17694;17,43205;17,57516;17,61305;17,63774;17,9591;18,13128;18,21104;18,26816;18,53799;18,59908;18,85831;18,97836;19,07534;19,29282;19,57906;19,97832;20,87836
0,2337761;1,202506;1,672634;2,001341;2,338515;2,517796;2,585437;2,734979;2,959051;3,057117;3,14252;3,425041;3,504211;3,517627;3,720088;3,840172;3,911153;3,942571;4,072406;4,156039;4,350385;4,413686;4,483512;4,62369;4,702746;4,71541;4,793549;4,903574;5,005462;5,071973;5,183455;5,240021;5,48069;5,561531;5,61453;5,641491;5,74461;5,795412;5,952929;6,019591;6,094045;6,282314;6,282314;6,32408;6,374277;6,555714;6,585409;6,62396;6,715951;6,781606;7,005036;7,005036;7,13932;7,171572;7,201916;7,344917;7,384944;7,582362;7,660104;7,723724;7,986009;8,042426;8,123606;8,161123;8,202891;8,357354;8,384656;8,523314;8,523314;8,625707;8,625707;8,701221;8,81379;8,8527;8,906221;8,981534;9,043725;9,144423;9,182467;9,219658;9,28511;9,34628;9,460438;9,460438;9,634174;9,634174;9,696591;9,696591;9,821268;9,95433;9,982031;9,982031;10,14399;10,14399;10,30048;10,36475;10,36475;10,42133;10,50198;10,56203;10,59958;10,66299;10,70111;10,73611;10,76242;10,9421;10,9421;10,9797;11,00432;11,15401;11,18188;11,30403;11,30403;11,50588;11,51711;11,51711;11,6658;11,67737;11,76525;11,84054;11,89993;11,89993;11,98252;12,00634;12,10292;12,13924;12,2214;12,25965;12,41788;12,44602;12,50589;12,56529;12,60638;12,68588;12,76196;12,81941;12,96047;12,96047;13,1056;13,22213;13,28431;13,3421;13,35321;13,5034;13,54024;13,57734;13,60406;13,71166;13,74156;13,93441;14,04588;14,05947;14,25742;14,30391;14,40172;14,41486;14,52083;14,62372;14,7605;14,78313;14,96016;14,98542;15,08602;15,12602;15,22372;15,36081;15,4732;15,50067;15,60308;15,75935;15,80148;15,91751;16,10489;16,18206;16,32289;16,36093;16,5969;16,78108;16,78108;17,03759;17,07856;17,15516;17,24621;17,24621;17,35938;17,47414;17,67394;17,70468;17,74298;17,93865;18,18156;18,62296;18,82012;19,03405;19,30108;19,5171;19,84465;20,43869;20,58275;20,85935
0,1104664;0,5324229;0,8047828;1,220683;1,632817;2,090664;2,134658;2,429105;2,6626;2,812449;2,868743;3,024162;3,052738;3,052738;3,281714;3,362555;3,50842;3,534044;3,661009;3,833733;3,862276;3,953406;3,981239;4,214077;4,384118;4,414352;4,572408;4,584177;4,713555;4,790786;5,02909;5,065577;5,132903;5,25316;5,353311;5,487659;5,633354;5,633354;5,633354;5,789545;5,928936;5,982146;6,092448;6,234641;6,453327;6,492071;6,530173;6,608532;6,703134;6,874629;6,874629;7,044157;7,084703;7,184708;7,429337;7,603603;7,710217;7,751886;7,894045;7,931626;8,044266;8,083395;8,111598;8,270247;8,270247;8,448918;8,448918;8,51293;8,652172;8,701032;8,814597;8,929251;8,994357;9,06718;9,125096;9,125096;9,211175;9,292032;9,369026;9,444834;9,472582;9,484778;9,585492;9,624212;9,749836;9,784817;9,921738;9,94834;10,01064;10,07221;10,1096;10,25207;10,26463;10,37459;10,41342;10,41342;10,49401;10,55243;10,60976;10,69029;10,75358;10,79373;10,80477;10,94607;10,97265;11,0524;11,12967;11,15437;11,28469;11,33313;11,39384;11,43245;11,48542;11,56752;11,63281;11,67002;11,85336;11,91461;11,92528;12,0435;12,08982;12,20398;12,26417;12,42203;12,48216;12,59423;12,66815;12,8928;13,11016;13,21013;13,38933;13,42726;13,62835;13,62835;13,79039;13,8279;13,96391;13,99204;14,13152;14,13152;14,2527;14,31389;14,40341;14,43438;14,65135;14,70939;14,82809;14,9337;15,02898;15,1675;15,25441;15,44848;15,47306;15,47306;15,6497;15,6497;15,73392;15,93464;16,05042;16,09991;16,20861;16,27031;16,32869;16,48759;16,56803;16,67056;16,72983;16,92618;17,04748;17,07177;17,1878;17,34219;17,52665;17,52665;17,60452;17,70703;17,7904;17,81417;17,98126;18,08227;18,21042;18,41097;18,45224;18,53072;18,67139;18,74858;18,86407;18,94465;19,11159;19,21443;19,62917;20,04829;20,12874;20,25039;20,40506;20,58573;20,74267;21,38918;21,65254;22,45061
0,1138205;0,1138205;0,8680753;1,66919;1,682137;2,249307;2,548796;2,830041;2,90945;3,050319;3,107008;3,206498;3,248318;3,429043;3,527416;3,610245;3,805778;3,87133;4,106391;4,387972;4,459531;4,578536;4,908213;4,99954;5,027866;5,167426;5,210773;5,361212;5,507148;5,558363;5,626773;5,626773;5,880301;5,907188;5,987888;6,065244;6,130678;6,221951;6,289217;6,366948;6,458766;6,500253;6,670061;6,670061;6,710001;6,828339;6,8397;6,969585;7,049158;7,101105;7,127924;7,286016;7,3275;7,440582;7,524006;7,598248;7,727625;7,727625;7,846807;7,846807;7,990002;8,145216;8,170048;8,289549;8,385049;8,410587;8,591147;8,631345;8,679618;8,769943;8,807092;8,968963;8,968963;9,07085;9,149325;9,149325;9,228068;9,34959;9,362737;9,406056;9,48581;9,526924;9,591274;9,670858;9,764524;9,827309;9,888594;10,02946;10,04049;10,13089;10,21817;10,30776;10,41913;10,58443;10,7003;10,78892;10,86472;10,92695;11,06678;11,10424;11,27058;11,2839;11,2839;11,29863;11,44751;11,48236;11,54729;11,58553;11,71084;11,72304;11,72304;11,82544;11,89853;12,00523;12,10318;12,16709;12,20419;12,38828;12,46724;12,52716;12,66926;12,70607;12,88831;12,88831;13,04789;13,07137;13,19025;13,30116;13,36823;13,42706;13,48387;13,64473;13,66126;13,80891;13,85026;13,88274;13,89928;14,04693;14,06024;14,13023;14,22103;14,25051;14,32968;14,36507;14,43873;14,48081;14,57102;14,65937;14,65937;14,88592;14,96694;15,0441;15,14542;15,22951;15,32936;15,34993;15,44514;15,50273;15,6104;15,6478;15,74697;15,75869;15,89033;15,89033;16,02635;16,13131;16,16622;16,18808;16,32466;16,37016;16,68613;16,69916;16,92449;16,92449;17,04495;17,12849;17,29017;17,40742;17,48933;17,58881;17,76913;17,80755;18,02547;18,26671;18,45046;18,49836;18,74234;18,76929;18,94835;19,08726;19,26786;19,44571;19,54841;19,74072;19,99021;20,2495;20,46486;20,82976;21,98443;22,27927
0,1249194;0,1249194;0,9658287;1,035142;1,575093;1,575093;1,774913;1,941013;2,093121;2,295831;2,526627;2,774213;2,833817;3,023437;3,19534;3,235913;3,412564;3,530951;3,632862;3,775788;3,870913;3,915163;4,06861;4,095529;4,292025;4,427503;4,473438;4,603973;4,63421;4,82914;4,855334;4,951429;5,005333;5,124159;5,165452;5,342124;5,371031;5,509651;5,593544;5,754375;5,834233;5,914237;6,031045;6,073238;6,214182;6,395365;6,423325;6,529902;6,554892;6,606381;6,734997;6,79383;6,893493;7,007391;7,093885;7,394763;7,435515;7,435515;7,448717;7,560388;7,620981;7,775939;7,871873;7,871873;7,972809;8,111556;8,153854;8,1909;8,310057;8,322787;8,374403;8,489182;8,525399;8,655705;8,73146;8,809381;8,833664;8,971519;8,971519;9,125189;9,166301;9,211084;9,324028;9,349754;9,4754;9,487665;9,635964;9,635964;9,775175;9,788506;9,895421;9,975905;9,975905;10,14919;10,23361;10,2708;10,39496;10,4061;10,5745;10,64963;10,68452;10,74788;10,82375;10,88937;10,94209;11,02816;11,13529;11,22461;11,31429;11,35171;11,52601;11,58611;11,6112;11,69555;11,70458;11,86959;11,90336;11,95348;11,98884;12,10979;12,10979;12,17444;12,20914;12,29269;12,33537;12,39061;12,49464;12,52101;12,62897;12,71156;12,75279;12,805;12,9099;12,99394;13,05583;13,19137;13,19137;13,28955;13,28955;13,41261;13,47159;13,58916;13,65254;13,71039;13,79006;13,83298;13,89292;13,97478;14,01144;14,11183;14,13515;14,2716;14,42789;14,45428;14,59208;14,69155;14,774;14,8514;15,01571;15,10919;15,19359;15,29081;15,3556;15,47533;15,48714;15,65195;15,68923;15,83446;16,01085;16,23041;16,27535;16,34445;16,5489;16,5489;16,73312;16,77355;16,91172;17,05367;17,08442;17,32559;17,57268;17,95287;18,14956;18,27047;18,48874;18,6832;18,75563;18,87597;19,20503;19,55466;19,77214;19,96703;20,2893;20,35106;20,43135;20,5321;20,67029;20,94509;21,01107;21,81391
0,1663385;0,6663993;1,145823;1,305335;1,397394;1,7566;1,784637;2,15813;2,363693;2,438035;2,51277;2,724541;2,820541;2,820541;2,865767;3,019331;3,036236;3,225604;3,284553;3,313613;3,524588;3,663908;3,762934;3,804915;3,941852;3,984347;4,246464;4,313445;4,417032;4,446742;4,576582;4,844592;4,873171;5,02409;5,225662;5,256857;5,275;5,306117;5,4406;5,499104;5,62524;5,753416;5,78228;5,939711;6,072955;6,072955;6,301069;6,342062;6,392707;6,482091;6,624591;6,686088;6,875221;6,933828;6,962476;7,075563;7,106504;7,294506;7,309878;7,426185;7,482577;7,579535;7,675657;7,825523;7,902424;7,945539;8,087235;8,10041;8,163793;8,273577;8,375157;8,464024;8,477922;8,560543;8,642403;8,693308;8,721708;8,762299;8,882324;8,924206;9,033245;9,062463;9,104714;9,202175;9,202175;9,406253;9,464977;9,506157;9,506157;9,606081;9,66421;9,767104;9,824746;9,92319;10,0244;10,08215;10,15726;10,36522;10,3785;10,4622;10,51992;10,62533;10,7271;10,75598;10,91643;10,95759;10,98367;11,17993;11,20461;11,20461;11,38133;11,38133;11,51783;11,58394;11,63657;11,66425;11,74592;11,78582;11,87751;11,90677;12,01647;12,06348;12,10556;12,19841;12,34204;12,38634;12,5625;12,64316;12,65558;12,73723;12,76526;12,80593;13,08321;13,12346;13,16468;13,26304;13,32245;13,32245;13,46261;13,50358;13,58409;13,67665;13,743;13,86059;13,86059;13,92313;13,96153;14,04343;14,15773;14,22651;14,32719;14,52398;14,56398;14,56398;14,62155;14,73643;14,78048;14,94267;14,98181;15,02078;15,12261;15,22284;15,28256;15,28256;15,38616;15,48724;15,54226;15,70573;15,70573;15,88627;15,89613;16,12287;16,30345;16,30345;16,50091;16,62698;16,68167;16,76287;16,80477;16,92268;16,94676;17,04491;17,12292;17,16282;17,34435;17,34435;17,54676;17,58519;17,76609;17,94319;17,97823;18,1453;18,17861;18,36444;18,36444;18,56623;18,56623;18,85389;19,24534;19,62271
0,8960786;1,339113;1,490163;1,756952;1,819802;1,991763;2,00599;2,228934;2,359677;2,585053;2,777091;2,957457;3,207848;3,238333;3,329175;3,431618;3,590564;3,649756;3,738482;3,797935;3,89153;3,960188;4,0372;4,131259;4,290897;4,371433;4,399866;4,429091;4,58876;4,617706;4,750962;4,900836;5,047628;5,130758;5,261469;5,28997;5,427912;5,487846;5,58868;5,730828;5,788984;5,788984;5,848041;6,104041;6,118165;6,290328;6,349922;6,411585;6,570883;6,570883;6,740658;6,756814;6,838172;6,964821;7,169987;7,198867;7,242742;7,379127;7,405721;7,520521;7,598433;7,598433;7,690277;7,803684;7,847932;7,890386;7,990334;8,099151;8,227303;8,311552;8,430837;8,44552;8,509579;8,568665;8,627557;8,655929;8,743982;8,789678;8,866509;8,91069;8,989093;9,031858;9,140073;9,140073;9,21155;9,326518;9,326518;9,389908;9,402878;9,540578;9,571407;9,770065;9,850267;9,850267;9,89133;10,03174;10,08828;10,12877;10,16968;10,26591;10,34787;10,34787;10,43064;10,52669;10,56777;10,58049;10,74691;10,78858;10,83475;10,86738;10,98472;10,99931;11,19014;11,19014;11,19014;11,29106;11,34738;11,5027;11,61155;11,62423;11,63912;11,78899;11,91039;11,96133;12,07056;12,08296;12,24728;12,32513;12,34956;12,43005;12,53141;12,53141;12,68688;12,78972;12,84235;12,85774;12,9662;13,05763;13,08681;13,22452;13,30576;13,34853;13,44053;13,52857;13,72612;13,75153;13,8309;13,90992;13,99056;13,99056;14,06698;14,20945;14,28874;14,4092;14,44263;14,52547;14,65011;14,65011;14,80762;14,80762;14,92925;15,05089;15,12536;15,15153;15,30401;15,45124;15,46311;15,671;15,72517;15,90973;16,05017;16,08569;16,14926;16,2701;16,32947;16,40262;16,60637;16,70981;16,80065;16,92853;17,06299;17,21105;17,25041;17,52999;17,6074;17,64639;17,75171;17,94446;18,07073;18,12095;18,46924;18,46924;18,71135;18,848;19,00356;19,27166;19,52726;19,7432;19,94657;20,44793
