Personne 0;Personne 1;Personne 2;Personne 3;Personne 4;Personne 5;Personne 6;Personne 7;Personne 8;Personne 9;Personne 10;Personne 11;Personne 12;Personne 13;Personne 14;Personne 15;Personne 16;Personne 17;Personne 18;Personne 19;Personne 20;Personne 21;Personne 22;Personne 23;Personne 24;Personne 25;Personne 26;Personne 27;Personne 28;Personne 29;Personne 30;Personne 31;Personne 32;Personne 33;Personne 34;Personne 35;Personne 36;Personne 37;Personne 38;Personne 39;Personne 40;Personne 41;Personne 42;Personne 43;Personne 44;Personne 45;Personne 46;Personne 47;Personne 48;Personne 49;Personne 50;Personne 51;Personne 52;Personne 53;Personne 54;Personne 55;Personne 56;Personne 57;Personne 58;Personne 59;Personne 60;Personne 61;Personne 62;Personne 63;Personne 64;Personne 65;Personne 66;Personne 67;Personne 68;Personne 69;Personne 70;Personne 71;Personne 72;Personne 73;Personne 74;Personne 75;Personne 76;Personne 77;Personne 78;Personne 79;Personne 80;Personne 81;Personne 82;Personne 83;Personne 84;Personne 85;Personne 86;Personne 87;Personne 88;Personne 89;Personne 90;Personne 91;Personne 92;Personne 93;Personne 94;Personne 95;Personne 96;Personne 97;Personne 98;Personne 99;Personne 100;Personne 101;Personne 102;Personne 103;Personne 104;Personne 105;Personne 106;Personne 107;Personne 108;Personne 109;Personne 110;Personne 111;Personne 112;Personne 113;Personne 114;Personne 115;Personne 116;Personne 117;Personne 118;Personne 119;Personne 120;Personne 121;Personne 122;Personne 123;Personne 124;Personne 125;Personne 126;Personne 127;Personne 128;Personne 129;Personne 130;Personne 131;Personne 132;Personne 133;Personne 134;Personne 135;Personne 136;Personne 137;Personne 138;Personne 139;Personne 140;Personne 141;Personne 142;Personne 143;Personne 144;Personne 145;Personne 146;Personne 147;Personne 148;Personne 149;Personne 150;Personne 151;Personne 152;Personne 153;Personne 154;Personne 155;Personne 156;Personne 157;Personne 158;Personne 159;Personne 160;Personne 161;Personne 162;Personne 163;Personne 164;Personne 165;Personne 166;Personne 167;Personne 168;Personne 169;Personne 170;Personne 171;Personne 172;Personne 173;Personne 174;Personne 175;Personne 176;Personne 177;Personne 178;Personne 179;Personne 180;Personne 181;Personne 182;Personne 183;Personne 184;Personne 185;Personne 186;Personne 187;Personne 188;Personne 189;Personne 190;Personne 191;Personne 192;Personne 193;Personne 194;Personne 195;Personne 196;Personne 197;Personne 198;Personne 199;
0,02;0,02;0,02;1,617725;1,689677;2,065248;2,251869;2,338541;2,367106;2,428617;2,525213;2,725809;2,897287;3,130299;3,156716;3,219373;3,416932;3,555115;3,755688;3,897501;4,012534;4,055308;4,055308;4,33494;4,33494;4,517341;4,546051;4,673857;4,810973;5,027521;5,055046;5,10812;5,336929;5,336929;5,448548;5,569139;5,613198;5,77227;5,816651;5,928197;5,956224;6,077497;6,177501;6,246253;6,467812;6,52837;6,638219;6,732629;6,787401;6,816572;6,938485;6,996927;7,054895;7,097093;7,178912;7,285772;7,450312;7,450312;7,677657;7,718459;7,814479;7,990545;7,990545;8,153944;8,331373;8,357643;8,410919;8,577162;8,577162;8,577162;8,756927;8,832888;8,879543;8,891028;8,974916;9,057495;9,149602;9,189657;9,21689;9,434722;9,434722;9,519897;9,556372;9,6567;9,755877;9,768123;9,897347;9,959909;10,08819;10,17653;10,35881;10,38654;10,41717;10,41717;10,51999;10,59937;10,63964;10,66566;10,77089;10,80823;10,9161;10,97155;10,97155;11,08934;11,16886;11,16886;11,2349;11,27493;11,33827;11,46654;11,49343;11,56842;11,75733;11,83694;11,89132;12,02839;12,21983;12,21983;12,33694;12,39426;12,43809;12,53705;12,54904;12,67634;12,77979;12,77979;12,89349;12,89349;13,01817;13,07547;13,11733;13,26712;13,29707;13,33479;13,39168;13,4569;13,50967;13,61813;13,6585;13,73427;13,73427;13,87688;13,91655;13,95716;14,09969;14,1685;14,27333;14,37832;14,45624;14,58661;14,58661;14,61523;14,75829;14,87716;14,91646;15,03446;15,13823;15,33497;15,4371;15,58975;15,61739;15,61739;15,79516;15,87183;15,93546;15,95917;16,27579;16,49331;16,77285;16,97845;17,15341;17,17833;17,19063;17,30745;17,46846;17,51876;17,57773;17,69589;17,8523;17,87832;17,88942;18,08727;18,52892;19,0745;19,31837;19,55291;19,67712;19,75845;19,85321;19,9375;20,05746;20,15059;20,25447;20,43308;20,65551;20,85864;21,11736;21,41667;22,19463;22,53496;
0,2374776;0,2374776;0,791446;0,791446;1,265991;1,46906;1,48349;1,771772;1,845659;2,072519;2,101697;2,242686;2,488395;2,488395;2,912588;3,088008;3,268995;3,40817;3,831075;3,86897;3,928717;3,940796;4,084327;4,30385;4,448555;4,532827;4,721353;4,746344;4,871174;5,031263;5,147455;5,350993;5,449275;5,490306;5,502732;5,561947;5,672397;5,771692;5,869853;5,928032;6,031474;6,293132;6,402442;6,45999;6,501314;6,571104;6,613198;6,751357;6,763921;7,001103;7,043212;7,072161;7,182933;7,211678;7,252887;7,369087;7,369087;7,503275;7,531857;7,711059;7,751697;7,751697;7,87307;7,87307;8,012629;8,067932;8,331365;8,370132;8,501398;8,586967;8,683717;8,770747;8,847189;8,925748;8,950947;9,065014;9,172291;9,209529;9,369984;9,432631;9,502479;9,52845;9,646694;9,672096;9,773172;9,828079;9,986465;9,986465;10,11845;10,14921;10,2048;10,30556;10,33692;10,50018;10,63159;10,67297;10,70123;10,81097;10,8388;10,8388;10,99253;11,01955;11,13243;11,18347;11,21044;11,29303;11,35306;11,49987;11,5855;11,74969;11,79122;11,83248;11,93154;11,9887;12,11982;12,30011;12,33983;12,46287;12,49084;12,56133;12,7124;12,78177;12,80845;12,84931;12,9454;13,02689;13,06831;13,20456;13,33039;13,33039;13,60588;13,72901;13,78093;13,84879;13,88934;14,02272;14,05182;14,14874;14,26689;14,31998;14,39989;14,46478;14,62835;14,62835;14,70622;14,86366;14,86366;14,96124;15,02623;15,09264;15,24722;15,34958;15,38797;15,42739;15,54374;15,56989;15,70098;15,793;15,94719;16,00993;16,05137;16,21325;16,21325;16,32959;16,36799;16,521;16,76796;16,76796;16,90596;17,03086;17,0805;17,2729;17,2729;17,40933;17,58098;17,7448;17,85092;17,86412;17,9861;18,08997;18,24564;18,30679;18,30679;18,49131;18,58959;18,72668;18,86682;19,20824;19,24641;19,41071;19,46859;19,55121;19,73294;20,43309;20,58892;20,58892;20,97086;21,15013;21,38971;21,70712;
0,7442597;0,9321169;0,9906152;1,587771;1,762406;1,906654;2,053614;2,267529;2,303078;2,730763;2,901234;2,930745;3,014921;3,171768;3,313539;3,421239;3,654628;3,751106;3,951265;4,011928;4,113924;4,252298;4,320314;4,533759;4,533759;4,78074;4,823071;4,961819;5,086042;5,216159;5,349802;5,426356;5,622344;5,622344;5,84216;5,874769;5,963874;6,025637;6,050803;6,332407;6,389859;6,413222;6,524916;6,593566;6,75094;6,834774;6,893299;6,929904;6,929904;7,145149;7,193965;7,23034;7,263976;7,374202;7,572906;7,572906;7,71472;7,849716;7,849716;7,872221;8,028539;8,050789;8,193832;8,31233;8,408852;8,455181;8,563037;8,825946;8,853773;8,967515;9,003541;9,053178;9,064875;9,174962;9,289665;9,31197;9,349379;9,448446;9,531437;9,628264;9,711359;9,711359;9,793603;9,888032;9,912146;9,994815;10,11315;10,19528;10,2305;10,29085;10,40892;10,43327;10,59844;10,69192;10,7292;10,76867;10,80982;10,94382;10,99256;11,02914;11,13226;11,1931;11,40536;11,47443;11,63399;11,66826;11,74928;11,74928;11,92776;11,98502;12,06543;12,08872;12,24902;12,24902;12,33066;12,41287;12,42454;12,53093;12,56505;12,63379;12,66767;12,77242;12,88318;12,88318;13,07532;13,11056;13,22892;13,27404;13,41173;13,46887;13,49287;13,65195;13,65195;13,73204;13,85048;13,88423;13,96514;14,01309;14,15357;14,15357;14,18851;14,26881;14,32761;14,49082;14,54892;14,67334;14,72844;14,8095;14,88943;14,88943;15,06961;15,17124;15,1943;15,26509;15,34732;15,36954;15,50749;15,58853;15,61108;15,81119;15,89102;15,9716;16,04942;16,1512;16,17426;16,255;16,37163;16,45107;16,46369;16,59117;16,59117;16,61353;16,69008;16,81466;16,81466;16,87053;16,96302;17,23538;17,27162;17,40927;17,45507;17,74851;17,79495;17,93116;17,95315;18,15045;18,17402;18,3535;18,54761;18,57027;18,73029;18,80934;18,97046;19,09139;19,19132;19,43376;19,74457;20,06576;20,16918;20,30823;
0,09474161;1,308686;1,548013;1,732678;1,871976;2,171805;2,410799;2,742754;3,031574;3,154442;3,165057;3,403945;3,504226;3,653841;3,728968;3,889059;4,073162;4,073162;4,291658;4,329656;4,448052;4,471727;4,625023;4,688416;4,747915;4,874283;5,047671;5,133292;5,167958;5,289312;5,40659;5,468977;5,583663;5,612841;5,775282;5,887736;5,934318;6,030864;6,091607;6,115409;6,151156;6,308877;6,334696;6,334696;6,428478;6,511916;6,632401;6,667915;6,714594;6,862891;6,88086;6,991202;7,084973;7,373044;7,383296;7,548384;7,606277;7,690641;7,749902;7,809016;7,892527;7,930841;8,070033;8,210897;8,23413;8,293219;8,412597;8,471354;8,529803;8,588187;8,613139;8,655337;8,793379;8,830551;8,830551;9,006662;9,115043;9,14973;9,268033;9,34896;9,372649;9,48914;9,57065;9,713684;9,725303;9,725303;9,913761;9,974796;10,14533;10,16782;10,16782;10,19001;10,35465;10,38884;10,41246;10,49558;10,61421;10,65027;10,67358;10,75504;10,81304;10,93168;10,95393;11,09095;11,24471;11,30895;11,3657;11,49368;11,67406;11,71024;11,81435;11,81435;11,97129;11,97129;12,05375;12,088;12,19044;12,21261;12,30766;12,38661;12,51043;12,51043;12,67019;12,69242;12,8293;12,98955;13,07324;13,13552;13,2929;13,34931;13,39372;13,49506;13,66423;13,68779;13,75384;13,83209;13,91155;13,99103;14,10781;14,12978;14,12978;14,23084;14,3542;14,36632;14,39412;14,56828;14,56828;14,66969;14,73522;14,82475;14,89425;14,92829;15,08797;15,13181;15,22748;15,40598;15,51537;15,60517;15,72714;15,90557;15,97333;16,13189;16,23174;16,38954;16,55346;16,72908;16,77334;16,85471;16,91072;17,05433;17,24891;17,36986;17,41422;17,54587;17,69037;17,76879;17,79065;17,875;17,93195;18,05132;18,12875;18,1854;18,30662;18,32923;18,45263;18,52983;18,59559;18,73291;18,81;18,91168;19,21139;19,39347;19,55391;19,55391;19,67069;19,90698;19,95076;19,9954;20,23068;20,45477;
0,5683912;0,6052293;1,166335;1,227232;1,54209;1,787467;1,920607;2,162665;2,286228;2,321643;2,485313;2,508665;2,645059;2,800535;2,889582;2,927514;3,084968;3,30021;3,540272;3,744915;3,804918;3,939995;4,000434;4,16937;4,16937;4,468702;4,507259;4,603133;4,626159;4,709817;4,769822;4,780313;4,905667;5,003499;5,063667;5,182162;5,206472;5,325989;5,41916;5,444166;5,503472;5,66853;5,704008;5,94285;5,94285;5,965877;6,203516;6,226436;6,285985;6,369034;6,426198;6,523078;6,523078;6,722525;6,722525;6,769085;6,886757;7,084087;7,084087;7,143804;7,307241;7,342412;7,342412;7,446654;7,528299;7,668285;7,748363;7,889403;8,045695;8,045695;8,207617;8,243108;8,329125;8,468106;8,468106;8,608292;8,689112;8,886587;8,981636;9,063179;9,181075;9,288044;9,323362;9,369845;9,426114;9,528736;9,564288;9,758766;9,828592;9,886053;9,886053;10,02574;10,08517;10,25811;10,28236;10,36438;10,44459;10,525;10,70354;10,7481;10,78313;10,90895;10,96515;11,00575;11,02857;11,08449;11,22582;11,32858;11,33875;11,38514;11,50251;11,52366;11,6837;11,86482;11,94416;12,02778;12,142;12,19789;12,22192;12,34581;12,46329;12,4883;12,6272;12,68419;12,78622;12,81961;12,90969;13,06411;13,08594;13,16664;13,24933;13,36224;13,46352;13,62207;13,64395;13,64395;13,74581;13,90248;13,92424;14,02627;14,06295;14,08658;14,1643;14,2427;14,34345;14,36591;14,52278;14,52278;14,76068;14,806;14,86033;14,98392;15,12157;15,22208;15,22208;15,32599;15,44854;15,583;15,60445;15,72739;15,98286;16,12036;16,30837;16,40756;16,46259;16,56357;16,70708;16,82855;17,14412;17,19988;17,34349;17,5236;17,60978;17,72944;17,80655;17,90541;18,24042;18,44575;18,5234;18,66333;18,76948;18,86765;19,0659;19,08788;19,24634;19,38965;19,47928;19,72472;19,94552;19,97923;20,15966;20,5037;20,72701;21,30585;21,40621;21,56487;21,76335;22,20961;22,4209;22,58612;
0;0,6879309;1,009199;1,088451;1,327153;1,471291;1,690299;1,842891;2,047484;2,230634;2,290871;2,580163;2,931134;3,189488;3,759499;3,868247;3,927708;4,051001;4,051001;4,150036;4,246202;4,30668;4,460535;4,72585;4,881975;5,109395;5,328726;5,388236;5,422491;5,506287;5,627782;5,847631;6,029467;6,160936;6,160936;6,292184;6,411051;6,470781;6,529264;6,660381;6,708495;6,767352;6,889379;6,900401;7,008281;7,067048;7,101969;7,210365;7,246953;7,329913;7,36505;7,505717;7,505717;7,563814;7,688289;7,72235;7,830405;7,890132;8,009372;8,164496;8,328244;8,352195;8,467914;8,526841;8,632366;8,747036;8,911376;9,086178;9,109238;9,201868;9,322881;9,370335;9,507047;9,531054;9,601421;9,707534;9,707534;9,76536;9,84679;9,869646;10,01112;10,04639;10,21081;10,30406;10,38431;10,46462;10,56825;10,6721;10,73029;10,76541;10,89158;10,96679;11,04788;11,04788;11,10607;11,2508;11,28561;11,37007;11,42596;11,55126;11,56146;11,64545;11,80568;11,80568;11,93219;11,96862;12,07089;12,13041;12,1407;12,26633;12,31124;12,34554;12,50485;12,50485;12,54859;12,67212;12,6822;12,78771;12,86556;12,97041;13,04819;13,14817;13,14817;13,32647;13,34908;13,46501;13,48751;13,48751;13,58768;13,64913;13,70456;13,82657;13,88275;14,00176;14,08743;14,19188;14,24546;14,34543;14,44688;14,49015;14,49015;14,64859;14,67149;14,80764;14,88465;14,92922;15,0668;15,16828;15,20211;15,34793;15,48538;15,5866;15,63101;15,68773;15,76503;15,84271;15,91043;16,00467;16,12747;16,16435;16,23009;16,40864;16,43041;16,57185;16,59112;16,70819;16,76434;16,81058;16,96674;16,98969;17,01176;17,16834;17,32518;17,4886;17,54503;17,72557;17,7916;17,89165;17,94811;18,14688;18,8072;19,03206;19,11142;19,2515;19,65143;19,88425;20,12186;20,22247;20,45185;20,67081;20,84913;21,14837;21,24829;21,47069;21,75241;22,00785;22,26838;22,54577;23,00995;23,70942;
0,3367029;1,135954;1,328963;1,632812;1,819872;2,21342;2,31643;2,31643;2,697418;2,73474;2,86736;2,908979;3,018352;3,054919;3,133238;3,2559;3,2559;3,393843;3,627693;3,677702;3,893278;4,014232;4,199278;4,392494;4,52848;4,558321;4,775584;4,867373;4,895312;5,037966;5,1145;5,297113;5,373831;5,532951;5,686975;5,858724;5,869564;6,013794;6,075691;6,193467;6,254167;6,372726;6,436298;6,513791;6,574227;6,718309;6,776233;6,978346;6,978346;7,014057;7,095412;7,194414;7,313204;7,359991;7,498287;7,555346;7,65202;7,697999;7,77976;7,81521;7,898142;8,053213;8,053213;8,172949;8,196984;8,27912;8,432715;8,456016;8,493352;8,575896;8,719126;8,754831;8,953453;8,97576;9,059376;9,154438;9,21563;9,332374;9,355562;9,519428;9,519428;9,530592;9,638535;9,675385;9,734962;9,838851;9,897505;9,932126;9,955224;10,03605;10,1309;10,16709;10,27097;10,30814;10,43759;10,47311;10,51968;10,6147;10,65959;10,71951;10,78803;10,83545;10,9536;10,97622;11,15964;11,29927;11,29927;11,33491;11,43917;11,55898;11,58428;11,63885;11,70687;11,8136;11,85771;12,0171;12,0738;12,0738;12,23573;12,2585;12,37648;12,43409;12,48885;12,53585;12,61878;12,70805;12,79116;12,86915;12,97161;13,07676;13,13584;13,27184;13,40713;13,43279;13,53423;13,55943;13,73168;13,77824;13,89412;13,97348;14,0299;14,07562;14,17679;14,23576;14,26873;14,38931;14,4138;14,51311;14,63712;14,65855;14,71555;14,7592;14,8724;14,99793;15,07429;15,17451;15,25241;15,3967;15,55335;15,57556;15,69856;15,83731;15,85848;15,96881;16,01345;16,15852;16,2318;16,43924;16,43924;16,55351;16,73144;16,77495;16,90864;16,97532;17,09627;17,19578;17,25167;17,41801;17,49842;17,57598;17,69955;17,71029;17,77698;17,91484;17,98997;18,01185;18,1692;18,21438;18,39916;18,53319;18,69125;18,89339;18,91467;19,06902;19,39169;19,43706;19,67113;19,71445;20,01572;20,19638;
0,1320521;0,5529606;1,783646;1,990166;2,22279;2,248158;2,530714;2,786792;3,211058;3,211058;3,406105;3,466214;3,590078;3,590078;3,759995;3,887784;4,009464;4,046403;4,166323;4,227738;4,37244;4,432298;4,505769;4,807243;4,928192;4,99276;5,108277;5,16718;5,16718;5,228068;5,311219;5,371899;5,442768;5,528827;5,528827;5,671631;5,70713;5,812921;5,892269;5,964038;6,004286;6,125841;6,29075;6,372794;6,407847;6,490483;6,610351;6,673015;6,709382;6,768321;6,966475;7,026078;7,026078;7,225651;7,272799;7,391022;7,391022;7,593048;7,651182;7,76972;7,805348;7,929122;8,062468;8,086648;8,110079;8,285751;8,285751;8,450833;8,461825;8,65042;8,661952;8,81299;8,872227;8,932323;8,991452;8,991452;9,084801;9,13184;9,191619;9,330536;9,340993;9,446305;9,52761;9,611209;9,668481;9,703319;9,867375;9,891083;9,891083;10,02554;10,08516;10,10971;10,13312;10,24851;10,24851;10,40757;10,48847;10,65003;10,65003;10,75264;10,83271;10,97214;10,98364;11,06555;11,25134;11,30917;11,33156;11,44882;11,48635;11,56658;11,64742;11,72736;11,77324;11,88245;11,92864;11,99097;12,07198;12,1889;12,30492;12,35043;12,36086;12,50938;12,71226;12,81234;13,03085;13,04195;13,08766;13,11;13,2128;13,247;13,37117;13,40576;13,50694;13,562;13,69222;13,82669;13,84924;13,90597;14,05185;14,12321;14,16883;14,22653;14,24943;14,30586;14,42815;14,48408;14,52832;14,54996;14,68532;14,866;14,90977;15,01125;15,0703;15,12696;15,27279;15,30882;15,36307;15,38634;15,46294;15,60684;15,62876;15,76329;15,78792;15,88776;15,93053;16,06901;16,18324;16,22928;16,42596;16,60323;16,62747;16,68199;16,82596;16,86991;16,96917;17,09004;17,12516;17,26829;17,31275;17,34644;17,58835;17,90873;18,07316;18,14314;18,31017;18,43106;18,48802;18,68484;18,72928;18,94739;19,29218;19,86775;20,11051;20,3311;20,52785;20,8495;21,04861;21,27171;21,6228;21,88832;
0,4238667;0,9643261;1,001486;1,721431;1,752106;1,986604;2,052885;2,163433;2,289535;2,326839;2,491018;2,714482;2,763189;2,884215;2,909993;3,043185;3,12807;3,225441;3,323687;3,372986;3,613753;3,773005;3,773005;3,868644;3,941653;4,111883;4,27194;4,369364;4,405991;4,43062;4,590725;4,628368;4,872082;5,084093;5,192851;5,372491;5,408175;5,431988;5,493973;5,566341;5,62534;5,793549;5,853237;6,009924;6,033395;6,211974;6,271288;6,344999;6,405125;6,429837;6,550644;6,587679;6,70862;6,768796;6,889124;7,005275;7,172142;7,172142;7,208057;7,307238;7,365962;7,390075;7,532548;7,651244;7,68639;7,733731;7,851372;7,910543;8,006827;8,029432;8,12859;8,210592;8,210592;8,304913;8,390811;8,413962;8,473054;8,549671;8,573929;8,666077;8,723496;8,871061;8,952168;9,010468;9,147955;9,25084;9,309187;9,309187;9,504073;9,528284;9,668943;9,72761;9,80809;9,842949;9,948038;9,971373;10,13294;10,13294;10,27115;10,32839;10,44363;10,49141;10,57187;10,60895;10,65398;10,80265;10,82954;10,86717;10,94781;11,05118;11,13314;11,21232;11,29325;11,42958;11,56719;11,59041;11,69003;11,71395;11,85046;11,93011;11,93011;12,04536;12,1477;12,19337;12,32819;12,43128;12,66331;12,70342;12,7745;12,92784;12,98298;13,00694;13,13407;13,19043;13,24646;13,32717;13,38296;13,44993;13,52874;13,58473;13,68979;13,71193;13,76674;13,88861;14,04755;14,193;14,35226;14,6327;14,71375;14,81345;14,86831;15,00963;15,23008;15,25258;15,26322;15,4079;15,47342;15,70183;15,82837;16,00979;16,03034;16,08577;16,27169;16,43065;16,62881;16,85036;17,16593;17,23276;17,38865;17,56511;17,65314;17,72952;17,88831;17,91035;18,18742;18,18742;18,4432;18,75112;18,83068;19,17256;19,32673;19,63415;20,26518;20,70729;20,95301;21,20949;21,52765;21,74655;21,93454;22,21157;22,46777;23,00756;23,07431;23,32875;23,47098;23,69036;23,92404;24,04538;24,23394;24,38668;
0,1069233;0,5199875;0,8107105;2,105265;2,31601;2,389566;2,510765;2,710757;2,973197;3,132006;3,313371;3,349831;3,532297;3,693402;3,730346;3,889032;3,925359;4,071274;4,230504;4,385108;4,434476;4,591092;4,644023;4,755762;4,82711;4,92366;4,974214;5,134592;5,194742;5,206701;5,349599;5,373733;5,530469;5,565009;5,687757;5,746286;5,905902;5,93062;6,049856;6,110466;6,231475;6,291099;6,349575;6,432249;6,526138;6,574807;6,946213;6,972183;7,124768;7,189743;7,331892;7,391083;7,414004;7,591187;7,614625;7,805831;7,89152;7,935377;7,989333;8,130616;8,19114;8,214815;8,33277;8,392521;8,567059;8,68772;8,771937;8,809609;8,951241;9,010534;9,0337;9,093293;9,214318;9,273134;9,33139;9,354378;9,494072;9,610705;9,668842;9,789206;9,870196;9,944402;10,04987;10,10867;10,13131;10,273;10,30693;10,35359;10,35359;10,43333;10,57286;10,66499;10,71519;10,77454;10,84586;10,89359;10,95238;11,06738;11,06738;11,11278;11,34461;11,36843;11,36843;11,41413;11,55114;11,61502;11,69596;11,78977;11,84966;11,93058;11,99022;12,09394;12,12867;12,17429;12,36797;12,36797;12,62952;12,62952;12,68833;12,84982;12,92962;13,03139;13,11065;13,11065;13,31575;13,31575;13,48451;13,55456;13,61123;13,70491;13,79006;13,81194;14,02932;14,02932;14,07273;14,09494;14,28857;14,47265;14,64982;14,67305;14,93344;14,98937;15,03256;15,06524;15,16539;15,24458;15,31038;15,39025;15,42496;15,51413;15,57074;15,66891;15,75121;15,87343;15,97072;15,99282;16,02967;16,19422;16,27484;16,3943;16,42829;16,52658;16,64997;16,85008;16,85008;16,95362;17,0532;17,25262;17,35103;17,50955;17,53153;17,70627;17,8495;17,95168;17,99551;18,19488;18,19488;18,28368;18,39387;18,47099;18,5481;18,68612;18,81439;18,90567;19,17241;19,21578;19,21578;19,41326;19,51273;19,53563;19,64463;19,81223;19,86796;20,11312;20,2119;20,7521;20,7521;20,92853;21,34906;21,572;
