Personne 0;Personne 1;Personne 2;Personne 3;Personne 4;Personne 5;Personne 6;Personne 7;Personne 8;Personne 9;Personne 10;Personne 11;Personne 12;Personne 13;Personne 14;Personne 15;Personne 16;Personne 17;Personne 18;Personne 19;Personne 20;Personne 21;Personne 22;Personne 23;Personne 24;Personne 25;Personne 26;Personne 27;Personne 28;Personne 29;Personne 30;Personne 31;Personne 32;Personne 33;Personne 34;Personne 35;Personne 36;Personne 37;Personne 38;Personne 39;Personne 40;Personne 41;Personne 42;Personne 43;Personne 44;Personne 45;Personne 46;Personne 47;Personne 48;Personne 49;Personne 50;Personne 51;Personne 52;Personne 53;Personne 54;Personne 55;Personne 56;Personne 57;Personne 58;Personne 59;Personne 60;Personne 61;Personne 62;Personne 63;Personne 64;Personne 65;Personne 66;Personne 67;Personne 68;Personne 69;Personne 70;Personne 71;Personne 72;Personne 73;Personne 74;Personne 75;Personne 76;Personne 77;Personne 78;Personne 79;Personne 80;Personne 81;Personne 82;Personne 83;Personne 84;Personne 85;Personne 86;Personne 87;Personne 88;Personne 89;Personne 90;Personne 91;Personne 92;Personne 93;Personne 94;Personne 95;Personne 96;Personne 97;Personne 98;Personne 99;Personne 100;Personne 101;Personne 102;Personne 103;Personne 104;Personne 105;Personne 106;Personne 107;Personne 108;Personne 109;Personne 110;Personne 111;Personne 112;Personne 113;Personne 114;Personne 115;Personne 116;Personne 117;Personne 118;Personne 119;Personne 120;Personne 121;Personne 122;Personne 123;Personne 124;Personne 125;Personne 126;Personne 127;Personne 128;Personne 129;Personne 130;Personne 131;Personne 132;Personne 133;Personne 134;Personne 135;Personne 136;Personne 137;Personne 138;Personne 139;Personne 140;Personne 141;Personne 142;Personne 143;Personne 144;Personne 145;Personne 146;Personne 147;Personne 148;Personne 149;Personne 150;Personne 151;Personne 152;Personne 153;Personne 154;Personne 155;Personne 156;Personne 157;Personne 158;Personne 159;Personne 160;Personne 161;Personne 162;Personne 163;Personne 164;Personne 165;Personne 166;Personne 167;Personne 168;Personne 169;Personne 170;Personne 171;Personne 172;Personne 173;Personne 174;Personne 175;Personne 176;Personne 177;Personne 178;Personne 179;Personne 180;Personne 181;Personne 182;Personne 183;Personne 184;Personne 185;Personne 186;Personne 187;Personne 188;Personne 189;Personne 190;Personne 191;Personne 192;Personne 193;Personne 194;Personne 195;Personne 196;Personne 197;Personne 198;Personne 199
0,02;0,9543625;1,177577;1,288653;1,928412;2,119586;2,528976;2,605403;2,687593;2,776057;2,827516;3,027034;3,098123;3,156218;3,377191;3,431124;3,536077;3,712973;3,866385;3,899927;3,93161;4,086021;4,259105;4,336509;4,336509;4,416671;4,598767;4,658924;4,705029;4,798868;4,915593;5,037523;5,065113;5,137915;5,23995;5,317151;5,472768;5,472768;5,738368;5,751582;5,937847;6,077185;6,091094;6,139045;6,278235;6,458549;6,458549;6,51967;6,696932;6,696932;6,859357;6,932703;7,007417;7,03772;7,156448;7,379456;7,379456;7,434608;7,447235;7,627717;7,69855;7,758955;7,893104;7,910317;7,910317;8,024008;8,164112;8,198883;8,316627;8,4104;8,438044;8,465837;8,611444;8,646868;8,688382;8,752136;8,827497;8,897286;8,977104;9,067492;9,178067;9,248319;9,309025;9,348103;9,464886;9,49944;9,658676;9,711439;9,80687;9,917582;10,02496;10,05485;10,17527;10,32326;10,35865;10,43648;10,5374;10,55251;10,6926;10,73629;10,86474;10,89478;10,97993;11,03983;11,13144;11,21922;11,21922;11,39744;11,39744;11,49546;11,5597;11,65367;11,71464;11,7487;11,81071;11,97787;12,01599;12,17833;12,19149;12,31562;12,35845;12,39938;12,5119;12,55438;12,69765;12,85804;12,85804;12,92974;13,05159;13,11614;13,21825;13,27649;13,45462;13,45462;13,5368;13,65222;13,67726;13,7377;13,76529;13,83784;13,91563;13,95244;14,12866;14,23579;14,31098;14,45634;14,45634;14,56776;14,75553;14,83133;14,99816;15,15854;15,30865;15,41366;15,57768;15,77676;15,77676;16,09747;16,09747;16,18783;16,23963;16,34965;16,37412;16,53772;16,6183;16,6989;16,77916;16,84791;16,9524;17,01351;17,13733;17,37995;17,43165;17,59394;17,59394;17,67255;17,91169;17,93376;17,97989;18,09933;18,17844;18,42772;18,57048;18,65201;18,65201;18,83545;18,91315;19,01666;19,13107;19,27811;19,49042;19,51821;19,61715;19,73746;19,83604;20,59611;20,65609;21,27615;21,47608;21,93771
0,7798825;1,021236;1,03952;1,870472;2,060738;2,150431;2,282278;2,490004;2,649778;2,839942;2,884615;2,996784;3,123754;3,188826;3,34623;3,510831;3,542887;3,705731;3,806857;4,005069;4,005069;4,201384;4,252097;4,411176;4,411176;4,588401;4,65078;4,731194;4,763995;4,870276;4,936356;5,056088;5,090327;5,186156;5,331554;5,418523;5,478418;5,537325;5,609943;5,681064;5,710784;5,909697;5,971012;6,109521;6,311187;6,390229;6,559046;6,630482;6,727185;6,879735;6,957829;7,048663;7,12436;7,169512;7,260585;7,309566;7,417284;7,605146;7,605146;7,620381;7,789198;7,789198;8,002067;8,051651;8,065275;8,168507;8,227741;8,366297;8,484428;8,484428;8,568673;8,710923;8,74442;8,778805;8,838837;8,960779;8,999995;9,040302;9,199385;9,218104;9,237079;9,376576;9,420182;9,609805;9,846181;9,86046;9,930674;10,0007;10,15842;10,20955;10,31191;10,39611;10,44689;10,46222;10,60681;10,62448;10,74213;10,84854;10,89088;10,93162;11,07013;11,084;11,17199;11,22892;11,31019;11,41839;11,50386;11,67101;11,70897;11,74871;11,88293;11,97991;12,08943;12,1358;12,191;12,3194;12,3861;12,48315;12,53942;12,60711;12,63188;12,72365;12,80992;12,84103;13,03102;13,18668;13,21146;13,4493;13,49967;13,60949;13,62263;13,76799;13,81079;13,93181;14,079;14,10616;14,25208;14,26416;14,46187;14,57088;14,63949;14,68226;14,81194;14,82764;14,99863;15,04116;15,23059;15,2993;15,38837;15,40112;15,54317;15,60989;15,70892;15,80496;15,86058;15,89028;15,98061;16,00735;16,18032;16,3871;16,44383;16,48664;16,58907;16,64866;16,8202;16,88932;16,96884;17,02695;17,20068;17,30908;17,41139;17,60903;17,75907;17,8318;17,94806;17,94806;18,1709;18,20868;18,38233;18,68369;18,75163;18,91069;18,98766;19,08849;19,16031;19,18451;19,35064;19,42725;19,66352;19,70452;19,98892;20,04802;20,26579;20,27963;20,83209;21,02529;21,58478;21,85021;22,78633;23,10813
0,02;0,7129811;1,417183;1,458808;1,516407;1,739741;1,816197;2,133583;2,37922;2,391947;2,559875;2,559875;2,744566;2,776212;3,004598;3,037276;3,09794;3,15664;3,26986;3,377628;3,377628;3,509032;3,539625;3,667621;3,739993;3,898631;3,911777;4,195468;4,266335;4,338376;4,455587;4,574823;4,668092;4,714671;4,898264;4,946983;5,053632;5,115763;5,177725;5,253603;5,304158;5,398127;5,648651;5,69205;5,816201;5,997454;6,057273;6,057273;6,136346;6,239295;6,315779;6,375372;6,404537;6,53898;6,657413;6,718439;6,764976;6,824011;7,152955;7,195141;7,268654;7,367778;7,367778;7,415599;7,497241;7,616667;7,616667;7,73972;7,8998;7,934641;7,934641;8,097103;8,097103;8,277876;8,277876;8,277876;8,438912;8,438912;8,599536;8,648546;8,766706;8,81852;8,908184;8,997219;9,148426;9,212933;9,318992;9,331808;9,457563;9,539724;9,557737;9,666847;9,715366;9,715366;9,758018;9,859323;9,873712;10,00369;10,02637;10,1326;10,17293;10,27212;10,29214;10,51674;10,56738;10,59446;10,75722;10,7864;10,87712;11,00544;11,10604;11,17861;11,21832;11,29591;11,38584;11,4586;11,65703;11,76938;11,84458;11,84458;11,95956;12,03841;12,21363;12,29177;12,45708;12,45708;12,49852;12,58859;12,66918;12,66918;12,78653;12,83714;13,00771;13,05412;13,2091;13,29836;13,40713;13,47927;13,5124;13,56608;13,73979;13,84756;13,93161;14,01144;14,13422;14,2162;14,30632;14,38559;14,47239;14,61542;14,65791;14,69961;14,81531;14,83696;14,98877;15,16215;15,16215;15,22908;15,36712;15,49011;15,50966;15,65893;15,75784;15,79764;15,93982;16,02528;16,19565;16,35804;16,39213;16,539;16,539;16,6349;16,81356;16,95586;17,07928;17,16831;17,25078;17,29756;17,37192;17,59831;17,613;17,83635;17,89864;18,1158;18,24487;18,42588;18,51722;18,6397;18,79867;18,85877;18,97458;19,10932;19,15495;19,33537;19,36841;19,66817;19,87922;20,2654;20,73623;20,97846
0,02;0,5088482;0,9268951;1,436944;1,707213;1,799619;2,010755;2,244994;2,353304;2,518979;2,625631;2,766495;2,799324;2,938979;3,033496;3,208078;3,255964;3,478922;3,656466;3,778262;3,937667;4,05793;4,114275;4,171943;4,218161;4,316485;4,578837;4,591214;4,739018;4,895934;5,038442;5,317899;5,357587;5,454005;5,538375;5,575694;5,687732;5,729882;5,870723;5,886024;5,928999;6,036407;6,051836;6,199293;6,199293;6,379043;6,414712;6,474191;6,588943;6,588943;6,692593;6,808092;6,837461;6,907849;6,972857;7,130892;7,192812;7,234414;7,372285;7,427693;7,541169;7,541169;7,716973;7,730118;7,869264;7,909461;8,036822;8,063873;8,247246;8,296893;8,341724;8,542089;8,564787;8,617499;8,815477;8,815477;8,859611;9,035708;9,052747;9,109059;9,190421;9,219726;9,296917;9,385885;9,446321;9,552415;9,613298;9,689105;9,85299;9,897725;10,02819;10,10273;10,13687;10,17705;10,21724;10,27564;10,5301;10,54514;10,73591;10,77208;10,85168;10,97718;11,01341;11,09385;11,26827;11,37908;11,42983;11,57469;11,65681;11,77969;11,79285;12,01805;12,04702;12,1981;12,31118;12,51754;12,57466;12,69793;12,81904;12,85886;12,89767;13,01399;13,07807;13,21906;13,23061;13,27228;13,45157;13,51219;13,63592;13,63592;13,77917;13,82781;13,84763;14,06219;14,10439;14,28756;14,33848;14,51468;14,51468;14,67741;14,73944;14,83701;14,89819;14,92146;15,09494;15,1174;15,27262;15,39989;15,45835;15,51938;15,61617;15,62894;15,73969;15,81737;15,81737;15,99819;16,01227;16,15643;16,29201;16,35637;16,45802;16,55727;16,63755;16,73851;16,8548;16,89612;16,96774;17,03724;17,08943;17,22262;17,31644;17,3286;17,49557;17,51136;17,71302;17,71302;17,91998;17,9894;18,09012;18,11463;18,27863;18,31806;18,49116;18,68414;18,7177;18,94768;19,1546;19,1546;19,35936;19,3952;19,57834;19,63888;19,84624;19,86689;20,33999;20,73129;20,9328;21,05267;21,45824;21,8132
1,463346;1,979247;2,669528;2,869848;2,928774;3,053333;3,083236;3,292682;3,474349;3,531315;3,64999;3,665002;3,829242;3,829242;3,980718;4,103187;4,157678;4,372277;4,580835;4,760883;4,870969;5,014292;5,207273;5,233188;5,384712;5,471469;5,548118;5,661962;5,732951;5,790353;6,094637;6,094637;6,147919;6,253248;6,290439;6,526489;6,546048;6,591;6,685701;6,772069;6,845533;6,953006;6,965802;7,102531;7,124583;7,305536;7,372416;7,491734;7,591748;7,591748;7,632041;7,766407;7,991326;8,05253;8,113259;8,266433;8,292935;8,324188;8,503295;8,530842;8,612655;8,703995;8,782035;8,811751;8,825567;8,973785;9,083176;9,083176;9,148259;9,302814;9,33349;9,429423;9,489204;9,621148;9,639144;9,657038;9,814406;9,825714;9,865277;9,967708;10,02949;10,07033;10,22767;10,25333;10,36855;10,45146;10,45146;10,50135;10,56283;10,72822;10,77428;10,78434;10,83233;10,93463;10,94644;11,04206;11,11145;11,14669;11,23402;11,38238;11,41011;11,54638;11,64287;11,7028;11,72985;11,92998;11,92998;11,97012;12,08634;12,14504;12,16924;12,49474;12,49474;12,64594;12,78362;12,9727;13,067;13,1121;13,29253;13,29253;13,4138;13,56656;13,60421;13,74916;13,83103;13,91239;13,96834;14,15309;14,15309;14,26831;14,32884;14,42826;14,59325;14,65273;14,70623;14,77153;14,80759;14,91444;14,94935;15,08567;15,15352;15,25295;15,29089;15,40992;15,51468;15,61474;15,74042;15,81372;15,9448;16,03314;16,11117;16,25343;16,28251;16,44769;16,44769;16,57101;16,63374;16,70626;16,84794;16,84794;16,9317;17,05039;17,10379;17,13025;17,16344;17,3512;17,45005;17,56381;17,59351;17,77024;17,97008;18,08565;18,18998;18,28685;18,57447;18,70506;18,89067;18,91349;19,09039;19,17366;19,36863;19,36863;19,55047;19,6479;19,8021;19,91406;19,97142;20,05114;20,11163;20,26854;20,44998;20,57103;20,65302;20,81424;20,86997;21,15445;21,15445;21,57374;21,6018;22,28655
0,9394652;1,135782;1,218373;1,538662;1,788673;1,912727;1,993798;2,15749;2,35624;2,534984;2,561333;2,667505;2,795354;2,819251;2,967758;2,995172;3,298223;3,387955;3,695549;3,850465;3,898936;4,019281;4,052821;4,278141;4,347668;4,572831;4,572831;4,596703;4,749954;4,835405;4,968513;4,993257;5,152833;5,336232;5,493047;5,552323;5,574965;5,669963;5,836624;5,87239;5,990798;6,015192;6,179311;6,31828;6,31828;6,375758;6,418803;6,535915;6,676417;6,713019;6,856917;6,869212;6,996855;7,053802;7,078006;7,088616;7,252706;7,276918;7,370552;7,517163;7,517163;7,695604;7,718492;7,857422;7,894357;7,955194;8,058477;8,070079;8,151898;8,290666;8,378384;8,435026;8,470034;8,633095;8,65616;8,794113;8,794113;8,899944;8,972687;9,076619;9,134575;9,236949;9,271505;9,408977;9,457534;9,537298;9,6524;9,6524;9,676468;9,775079;9,838595;9,954919;10,05579;10,15805;10,15805;10,25003;10,37706;10,4512;10,51973;10,51973;10,65592;10,65592;10,75884;10,95531;10,95531;11,09432;11,11693;11,29794;11,30889;11,46968;11,49402;11,57286;11,75511;11,77862;11,89027;12,03863;12,1174;12,24965;12,33946;12,33946;12,45645;12,53708;12,57108;12,67179;12,69444;12,83187;12,89956;13,01197;13,29421;13,47782;13,63798;13,63798;13,79452;13,79452;13,8782;13,97997;14,04891;14,14903;14,21534;14,29342;14,45436;14,53349;14,58951;14,69159;14,77141;14,83857;14,99264;15,03873;15,15227;15,17451;15,43146;15,476;15,65543;15,71115;15,8325;15,95469;16,03397;16,13539;16,15767;16,3136;16,44818;16,49373;16,69802;16,71234;16,89062;16,91361;17,07499;17,13293;17,2311;17,35187;17,3945;17,63734;17,65875;17,83607;17,83607;18,0336;18,17474;18,2389;18,31393;18,3569;18,47587;18,53274;18,71977;18,85356;18,93231;18,95418;19,17688;19,23193;19,37494;19,47317;19,5972;19,75662;19,77955;19,93655;20,01149;20,31178;20,35541;20,67782;21,31874;21,57895
0,848915;0,9579599;1,51497;2,212064;2,299955;2,358756;2,593194;2,6178;2,714521;2,857004;2,919008;3,049912;3,076604;3,194422;3,255716;3,398987;3,447424;3,5795;3,736992;3,75992;3,872935;3,979162;4,075178;4,098927;4,252954;4,373327;4,397409;4,495502;4,674589;4,699077;4,851407;5,016683;5,016683;5,194249;5,218046;5,357631;5,357631;5,51195;5,717278;5,798322;5,952218;5,997086;6,155061;6,277143;6,315964;6,594161;6,712167;6,757397;6,856618;6,913148;7,076347;7,099784;7,15797;7,275022;7,334466;7,438884;7,55568;7,55568;7,637544;7,736389;7,758511;7,826817;7,915836;8,019936;8,019936;8,055069;8,193683;8,193683;8,335995;8,359077;8,474148;8,474148;8,592538;8,615483;8,672771;8,730032;8,798838;8,892536;9,055214;9,077147;9,239589;9,275077;9,376804;9,51692;9,575014;9,692697;9,73662;9,854058;9,87973;10,01761;10,01761;10,13251;10,13251;10,2686;10,31637;10,33835;10,43137;10,48841;10,59315;10,67262;10,73227;10,83369;10,93715;11,098;11,22879;11,29769;11,43596;11,55928;11,67214;11,67214;11,7947;11,93549;11,95775;12,09388;12,11645;12,25315;12,27529;12,43669;12,45897;12,61938;12,65351;12,83397;13,01421;13,03697;13,11678;13,21807;13,33302;13,41187;13,57344;13,69899;13,77602;13,86707;13,89471;14,01313;14,07444;14,19859;14,25419;14,33473;14,49278;14,53781;14,67511;14,6987;14,87492;14,89722;14,92991;15,05661;15,07878;15,25652;15,27883;15,37916;15,53651;15,55894;15,55894;15,75749;15,879;15,93663;16,09705;16,1188;16,21625;16,27262;16,43194;16,61027;16,71232;16,85622;16,97726;17,03219;17,22856;17,39374;17,39374;17,49336;17,56995;17,81193;17,81193;17,9789;18,13547;18,31218;18,3562;18,51321;18,63691;18,71682;18,79242;18,93454;19,00991;19,19557;19,31579;19,37217;19,63371;19,67635;19,87238;19,87238;20,15868;20,21462;20,31494;20,49576;20,57286;20,6181;20,90907;21,11717;21,56931;21,81542
0,02;0,02;0,02;0,314052;0,5154821;1,299217;1,673857;1,829394;1,890892;2,169092;2,349532;2,398895;2,553891;2,735111;2,80732;2,954792;3,198685;3,271343;3,487877;3,653938;3,677748;3,833729;3,894854;3,979805;4,089064;4,114344;4,236342;4,713667;4,833086;4,833086;4,869452;4,977495;5,337302;5,433959;5,516329;5,63347;5,63347;5,739388;5,954043;6,037284;6,074005;6,194811;6,254104;6,278227;6,396748;6,456077;6,549216;6,549216;6,757128;6,793155;6,898402;6,9575;6,994073;7,099677;7,13654;7,228937;7,327837;7,398228;7,479431;7,479431;7,59814;7,637163;7,717491;7,798687;7,832949;7,91397;8,009066;8,032826;8,154655;8,177383;8,27913;8,31455;8,492585;8,539318;8,712579;8,877635;8,972231;9,155887;9,155887;9,190311;9,357163;9,357163;9,418751;9,531487;9,571052;9,613184;9,638271;9,712597;9,819768;9,877702;9,959184;10,02742;10,15796;10,29772;10,44791;10,49522;10,55526;10,63542;10,66966;10,77283;10,79679;10,93066;10,95601;11,03485;11,19385;11,41413;11,41413;11,59683;11,61972;11,83746;11,89662;12,03146;12,05485;12,15777;12,25441;12,29129;12,47513;12,53126;12,57834;12,73468;12,75789;12,89341;12,91635;12,95989;13,09588;13,13918;13,35437;13,35437;13,41422;13,53694;13,53694;13,67581;13,77518;13,81932;13,93346;13,97731;14,13424;14,19266;14,33671;14,3924;14,51407;14,55985;14,73647;14,79203;14,83648;14,9702;15,03765;15,13669;15,15919;15,31379;15,3586;15,49198;15,53628;15,73698;15,75884;15,83562;15,93832;16,15958;16,15958;16,27008;16,45448;16,51403;16,60924;16,75267;16,8175;16,93819;16,94851;17,05785;17,1334;17,19907;17,31862;17,35092;17,51517;17,53789;17,73609;17,8547;17,99613;18,05343;18,09598;18,25273;18,25273;18,45699;18,51161;18,67477;18,69623;18,87977;18,95636;19,07329;19,55926;19,61473;19,63637;19,79956;19,95107;20,07283;20,43191;20,81141;21,19146;21,49711;22,31658;22,67421
0,7748063;1,130849;1,179481;1,587786;1,819385;2,498887;2,631974;2,631974;2,854523;3,024487;3,051116;3,116379;3,295133;3,518992;3,557843;3,829807;3,989469;4,077344;4,115706;4,150364;4,356185;4,475648;4,498794;4,535104;4,718103;4,839674;4,876845;4,887132;5,028188;5,25807;5,2934;5,394781;5,499697;5,546525;5,574113;5,597017;5,813546;5,837218;5,859736;5,859736;6,018122;6,110029;6,21837;6,310278;6,392347;6,414297;6,509039;6,629988;6,692707;6,796306;6,856431;6,938885;6,949711;7,094311;7,117064;7,234471;7,37845;7,497866;7,497866;7,63539;7,676081;7,789901;7,951974;8,196788;8,23316;8,339838;8,375;8,495288;8,53928;8,619091;8,79419;8,874622;8,874622;8,977251;9,097679;9,153742;9,234647;9,339813;9,374819;9,374819;9,538795;9,550188;9,598602;9,715376;9,795579;9,851542;9,972035;10,03862;10,07544;10,15814;10,21669;10,31281;10,31281;10,43883;10,47428;10,5543;10,69604;10,71773;10,75449;10,85095;10,91891;10,99023;11,04873;11,07365;11,23339;11,23339;11,37576;11,59703;11,59703;11,63216;11,6795;11,79373;11,8159;11,99622;11,99622;12,0534;12,15799;12,29538;12,33039;12,35383;12,48946;12,53586;12,59427;12,67359;12,85952;12,89353;13,11757;13,12899;13,23047;13,2994;13,4393;13,4512;13,49487;13,62992;13,67512;13,74858;13,7956;13,89876;13,97839;14,0118;14,1374;14,35548;14,37819;14,51307;14,73727;14,93335;15,11063;15,11063;15,47912;15,53444;15,57935;15,61261;15,73971;15,75037;15,89641;15,89641;16,11729;16,15087;16,21943;16,2964;16,43205;16,45489;16,83233;16,95794;16,99192;17,11602;17,21794;17,29621;17,39853;17,45351;17,55599;17,79343;17,93452;17,9579;18,05827;18,17999;18,25758;18,31458;18,41482;18,5152;18,63659;18,79257;18,81607;19,03797;19,21739;19,27432;19,35158;19,51697;19,61593;19,77267;20,25341;20,29762;20,3541;20,5932;20,5932;20,87724;20,89935;21,09865;21,35166;21,61334
0,02;0,5301838;2,007853;2,253912;2,290172;2,559073;2,817421;3,093286;3,144449;3,268443;3,306588;3,527296;3,577756;3,61372;3,699797;3,79747;3,952839;4,03712;4,179834;4,276755;4,359725;4,418877;4,559768;4,559768;4,718332;4,779287;4,901597;5,013361;5,048464;5,193169;5,251693;5,394424;5,456519;5,559437;5,61917;5,667375;5,737803;5,747429;5,85757;5,975893;5,975893;6,093798;6,139145;6,198454;6,250754;6,415586;6,415586;6,59447;6,656005;6,710825;6,816516;6,875093;6,934147;7,015193;7,096671;7,179082;7,214201;7,237239;7,355258;7,414358;7,414358;7,596606;7,596606;7,628859;7,774225;7,835939;7,868863;7,868863;7,997975;8,057144;8,174415;8,219185;8,256777;8,374617;8,431737;8,595945;8,636559;8,657628;8,79931;8,877805;8,994142;9,028495;9,2152;9,2152;9,238914;9,438745;9,438745;9,448029;9,530587;9,633366;9,696264;9,795578;9,839936;9,873634;9,938452;10,03435;10,11335;10,11335;10,2172;10,31453;10,32479;10,35526;10,47873;10,4896;10,55826;10,67657;10,69858;10,69858;10,81333;10,87034;10,87034;10,93932;11,03023;11,07593;11,09897;11,19987;11,25669;11,35854;11,41461;11,49498;11,53976;11,61817;11,67288;11,79254;11,79254;11,95111;11,95111;12,09749;12,15308;12,15308;12,2674;12,3366;12,43953;12,57336;12,61807;12,89736;12,97568;12,97568;13,05322;13,25887;13,47413;13,49744;13,50896;13,609;13,67699;13,79498;13,83929;13,89403;14,03872;14,07138;14,29395;14,33948;14,37236;14,49309;14,57054;14,67284;14,694;14,91984;14,91984;15,07819;15,15587;15,17849;15,23415;15,371;15,43873;15,44861;15,53813;15,69268;15,71553;15,79249;15,91677;15,91677;16,03981;16,09295;16,29393;16,33944;16,51406;16,61583;16,71889;16,85125;17,11991;17,27283;17,47422;17,6316;17,6316;17,83359;18,04976;18,17272;18,35174;18,69446;18,71592;18,91465;19,11939;19,21983;19,37775;19,65164;19,69596;20,13373;20,39771;20,67153
