Personne 0;Personne 1;Personne 2;Personne 3;Personne 4;Personne 5;Personne 6;Personne 7;Personne 8;Personne 9;Personne 10;Personne 11;Personne 12;Personne 13;Personne 14;Personne 15;Personne 16;Personne 17;Personne 18;Personne 19;Personne 20;Personne 21;Personne 22;Personne 23;Personne 24;Personne 25;Personne 26;Personne 27;Personne 28;Personne 29;Personne 30;Personne 31;Personne 32;Personne 33;Personne 34;Personne 35;Personne 36;Personne 37;Personne 38;Personne 39;Personne 40;Personne 41;Personne 42;Personne 43;Personne 44;Personne 45;Personne 46;Personne 47;Personne 48;Personne 49;Personne 50;Personne 51;Personne 52;Personne 53;Personne 54;Personne 55;Personne 56;Personne 57;Personne 58;Personne 59;Personne 60;Personne 61;Personne 62;Personne 63;Personne 64;Personne 65;Personne 66;Personne 67;Personne 68;Personne 69;Personne 70;Personne 71;Personne 72;Personne 73;Personne 74;Personne 75;Personne 76;Personne 77;Personne 78;Personne 79;Personne 80;Personne 81;Personne 82;Personne 83;Personne 84;Personne 85;Personne 86;Personne 87;Personne 88;Personne 89;Personne 90;Personne 91;Personne 92;Personne 93;Personne 94;Personne 95;Personne 96;Personne 97;Personne 98;Personne 99;Personne 100;Personne 101;Personne 102;Personne 103;Personne 104;Personne 105;Personne 106;Personne 107;Personne 108;Personne 109;Personne 110;Personne 111;Personne 112;Personne 113;Personne 114;Personne 115;Personne 116;Personne 117;Personne 118;Personne 119;Personne 120;Personne 121;Personne 122;Personne 123;Personne 124;Personne 125;Personne 126;Personne 127;Personne 128;Personne 129;Personne 130;Personne 131;Personne 132;Personne 133;Personne 134;Personne 135;Personne 136;Personne 137;Personne 138;Personne 139;Personne 140;Personne 141;Personne 142;Personne 143;Personne 144;Personne 145;Personne 146;Personne 147;Personne 148;Personne 149;Personne 150;Personne 151;Personne 152;Personne 153;Personne 154;Personne 155;Personne 156;Personne 157;Personne 158;Personne 159;Personne 160;Personne 161;Personne 162;Personne 163;Personne 164;Personne 165;Personne 166;Personne 167;Personne 168;Personne 169;Personne 170;Personne 171;Personne 172;Personne 173;Personne 174;Personne 175;Personne 176;Personne 177;Personne 178;Personne 179;Personne 180;Personne 181;Personne 182;Personne 183;Personne 184;Personne 185;Personne 186;Personne 187;Personne 188;Personne 189;Personne 190;Personne 191;Personne 192;Personne 193;Personne 194;Personne 195;Personne 196;Personne 197;Personne 198;Personne 199;
1,223243;1,606384;1,991464;2,214882;2,350614;2,396796;2,559857;2,707021;2,811254;2,857488;3,052236;3,067094;3,206043;3,285831;3,348216;3,474721;3,53121;3,67634;3,737264;3,838807;3,897757;4,026496;4,056873;4,213396;4,289212;4,575959;4,831686;4,894924;4,894924;5,035095;5,071488;5,173552;5,449358;5,464405;5,535762;5,616932;5,689908;5,845797;5,875363;5,956374;6,095014;6,137524;6,237592;6,348919;6,477217;6,489929;6,75664;6,75664;6,9152;6,9152;7,094082;7,094082;7,229074;7,270816;7,325663;7,435449;7,577463;7,577463;7,65873;7,754742;7,896969;7,998448;8,125154;8,214889;8,290037;8,359037;8,496885;8,578475;8,636144;8,756488;8,796565;8,93642;8,999568;9,034308;9,157991;9,198868;9,237906;9,387527;9,455026;9,455026;9,559888;9,626378;9,670114;9,75872;9,794093;9,794093;9,952403;10,05842;10,12191;10,21666;10,24844;10,30833;10,40816;10,49577;10,59525;10,69773;10,69773;10,7107;10,85751;10,92664;10,98656;10,98656;11,1398;11,1398;11,27765;11,27765;11,4361;11,44946;11,49081;11,67638;11,73297;11,77569;11,78992;11,90729;12,07231;12,0997;12,0997;12,15481;12,31781;12,33168;12,48942;12,51807;12,6258;12,69813;12,69813;12,82648;12,85687;12,99782;13,03907;13,03907;13,09147;13,21819;13,22919;13,37811;13,41585;13,5357;13,57754;13,61774;13,70836;13,73651;13,88756;13,9144;13,95477;14,03374;14,10965;14,24854;14,24854;14,37903;14,40569;14,53506;14,5745;14,67294;14,74;14,82985;14,8571;14,93516;15,03936;15,03936;15,14815;15,27553;15,43983;15,51441;15,57207;15,59472;15,75525;15,88807;15,99328;16,15829;16,15829;16,23484;16,33945;16,41925;16,5149;16,55906;16,6347;16,93611;16,94776;17,11539;17,33175;17,45629;17,53584;17,69226;17,79244;17,98777;18,17694;18,25551;18,39454;18,59273;18,64;18,77945;18,878;19,03389;19,33728;19,68977;20,07826;20,47581;20,83088;21,05459;21,41293;21,87992;
0,9276866;1,384169;1,574567;1,82785;2,058981;2,108057;2,224675;2,413246;2,47683;2,63557;2,694083;2,935434;3,026728;3,226755;3,338935;3,487475;3,582982;3,683701;3,721589;3,824553;4,065634;4,065634;4,175727;4,200991;4,373889;4,555934;4,724386;4,863603;4,905412;4,974185;5,06278;5,172913;5,243038;5,254941;5,382109;5,464452;5,632661;5,664609;5,803013;5,887738;5,944184;5,944184;6,124437;6,136862;6,274741;6,425415;6,574492;6,616735;6,759469;6,883912;7,036411;7,036411;7,187744;7,243484;7,365703;7,406785;7,459798;7,542488;7,582982;7,665218;7,775606;7,93677;7,978479;8,062667;8,1034;8,147154;8,188004;8,256371;8,296444;8,324511;8,457715;8,457715;8,682875;8,682875;8,744212;8,883022;9,045714;9,344621;9,404174;9,44464;9,484318;9,565716;9,665879;9,665879;9,73506;9,76711;9,893669;9,925293;10,06654;10,1649;10,20802;10,32597;10,32597;10,50753;10,59891;10,59891;10,65386;10,80219;10,9472;11,01508;11,04256;11,11961;11,2046;11,23387;11,23387;11,36755;11,39898;11,54334;11,70668;11,70668;11,85733;11,88648;12,04483;12,0579;12,14279;12,18805;12,28287;12,43431;12,50363;12,55793;12,58683;12,64363;12,74444;12,78406;12,87924;12,96507;13,07642;13,11522;13,16024;13,21574;13,25883;13,34337;13,42525;13,43681;13,53513;13,56352;13,71596;13,74545;13,87884;13,9073;14,12468;14,16585;14,30367;14,3565;14,38474;14,47779;14,60622;14,68513;14,8176;14,88664;14,8987;15,0428;15,13674;15,17732;15,32517;15,36403;15,44466;15,52482;15,63939;15,86692;15,88094;16,05946;16,20408;16,20408;16,36009;16,42515;16,53616;16,59641;16,76546;16,79474;16,92526;16,93702;17,00188;17,16405;17,16405;17,21627;17,42379;17,42379;17,46409;17,58261;17,62344;17,7668;17,82198;17,85978;17,89847;17,96587;18,08068;18,10742;18,18069;18,20602;18,25784;18,46638;18,7066;18,73458;18,87751;18,90418;19,04794;19,06765;20,24271;20,84438;
0,1790416;0,4448049;1,285115;1,299737;1,709998;1,982139;2,196083;2,292267;2,49129;2,570011;2,599944;2,809622;2,865546;3,31181;3,366617;3,492172;3,621398;3,665168;3,85156;3,85156;3,968498;4,184814;4,226183;4,278238;4,407993;4,450832;4,567121;4,579552;4,720064;4,749582;4,824253;4,910908;4,938398;5,070003;5,141635;5,310738;5,342353;5,403417;5,658525;5,731296;5,787432;5,909869;6,00721;6,060103;6,158997;6,447981;6,447981;6,56027;6,670898;6,683364;6,711893;6,820807;6,849473;7,008438;7,049704;7,131312;7,348597;7,432209;7,458624;7,570718;7,623932;7,745546;7,907723;7,907723;8,047699;8,109927;8,287031;8,370495;8,410673;8,530914;8,627774;8,627774;8,707899;8,811213;8,881647;8,930552;8,997118;9,088832;9,101283;9,248521;9,260165;9,486992;9,641344;9,666665;9,666665;9,828143;9,828143;9,881133;9,991169;10,05091;10,12269;10,17073;10,2976;10,46178;10,48936;10,68919;10,93112;10,9594;11,05204;11,08245;11,16717;11,20442;11,35963;11,38805;11,39997;11,5405;11,6069;11,69141;11,70441;11,83895;12,00318;12,03152;12,12736;12,17128;12,30353;12,30353;12,41067;12,49225;12,60301;12,72623;12,72623;12,88881;12,92652;13,03913;13,11038;13,1837;13,3094;13,35029;13,56797;13,56797;13,62611;13,6497;13,75211;13,86624;13,91908;13,94657;13,98563;14,0913;14,23026;14,23026;14,27066;14,44539;14,52914;14,70836;14,70836;14,84973;14,93131;14,94111;14,98921;15,16708;15,2065;15,34079;15,40647;15,50851;15,61191;15,75882;15,78613;15,88798;15,99042;16,07093;16,26715;16,31219;16,34743;16,45092;16,56617;16,61116;16,61116;16,78508;16,821;17,00742;17,00742;17,18085;17,30637;17,41087;17,5073;17,5073;17,7103;17,76056;17,90753;17,90753;18,11182;18,20592;18,23091;18,38911;18,48944;18,61223;18,70143;18,78338;18,90456;19,12021;19,19055;19,47102;19,55148;19,82825;19,85106;20,09188;20,09188;20,48853;20,68854;20,83142;
0,1168387;0,54003;0,9995874;1,143916;1,645413;1,810323;1,927387;2,290399;2,450632;2,480736;2,779078;3,002604;3,047926;3,14798;3,21729;3,346418;3,49715;3,648424;3,725993;3,840273;4,043536;4,129642;4,205423;4,346447;4,443566;4,606223;4,650299;4,767391;4,888104;4,937102;5,068925;5,283433;5,299597;5,347705;5,496833;5,527431;5,688625;5,778659;5,850022;5,966934;5,996856;6,148992;6,148992;6,269772;6,40729;6,530532;6,586607;6,688335;6,78498;6,888805;6,978731;7,100584;7,147744;7,249165;7,262633;7,404638;7,441247;7,479777;7,590321;7,688549;7,77843;7,945774;7,986557;8,148487;8,160769;8,288626;8,405269;8,4172;8,483828;8,597413;8,706583;8,749823;8,80637;8,817908;8,897013;8,984469;9,101745;9,148837;9,269622;9,387728;9,427983;9,468349;9,584763;9,628956;9,838455;9,86794;10,0087;10,0087;10,16598;10,16598;10,30822;10,33868;10,3961;10,46795;10,52742;10,56861;10,70839;10,87741;11,04723;11,11664;11,21687;11,26176;11,31045;11,50608;11,51761;11,62575;11,66662;11,78146;11,84606;11,91048;12,0485;12,08832;12,20768;12,24944;12,34835;12,38838;12,44732;12,52946;12,62132;12,65956;12,7408;12,84978;12,90226;12,98669;12,99911;13,17046;13,2246;13,34588;13,4305;13,58886;13,66616;13,66616;13,80085;13,86046;13,94608;13,97069;14,06569;14,09027;14,18783;14,31057;14,54593;14,59856;14,67887;14,78643;14,82677;14,96493;15,17939;15,17939;15,32665;15,36113;15,40802;15,52831;15,52831;15,69996;15,72707;15,78971;15,9285;15,98896;16,12554;16,2104;16,3673;16,40505;16,52794;16,56474;16,62887;16,72871;16,76418;16,78763;16,86016;16,98923;17,02325;17,18274;17,22871;17,26087;17,42353;17,47071;17,58144;17,66858;17,90557;17,96163;18,08657;18,16124;18,20599;18,38998;18,46889;18,7062;19,88283;19,94497;20,22378;20,35026;20,46666;20,64901;20,83025;21,38913;22,1598;22,36506;22,66833;22,84579;23,04823;23,20484;
0,1412916;1,051633;1,225075;1,372859;1,515102;1,724898;2,282799;2,311431;2,509101;2,576031;2,756411;2,834971;2,993991;3,170609;3,224643;3,547701;3,747132;3,762463;3,933436;4,054469;4,092969;4,092969;4,26733;4,26733;4,49275;4,49275;4,67585;4,67585;4,86425;5,05425;5,065162;5,112563;5,233671;5,346117;5,361564;5,434334;5,531677;5,72445;5,753813;5,882297;5,923921;6,064925;6,195431;6,206635;6,351699;6,513938;6,556063;6,733156;6,774945;6,81196;6,872379;6,993478;7,033983;7,201437;7,234777;7,276284;7,435593;7,512413;7,572325;7,845808;7,991709;8,027936;8,150275;8,216372;8,313189;8,509779;8,533115;8,533115;8,713245;8,775208;8,824297;8,852391;8,952842;8,952842;8,994295;9,095172;9,174635;9,270713;9,447484;9,487727;9,516054;9,636184;9,74312;9,821371;10,05245;10,05245;10,10902;10,10902;10,33266;10,33266;10,40209;10,47644;10,5476;10,59221;10,69209;10,70555;10,83387;10,86291;10,97475;11,03278;11,07588;11,13382;11,20628;11,35452;11,48303;11,51135;11,644;11,67048;11,73467;11,83333;11,84616;11,99636;11,99636;12,08867;12,1452;12,173;12,2653;12,30605;12,38739;12,48653;12,51622;12,60918;12,73471;12,77525;12,8162;12,8436;12,9502;12,98917;13,05611;13,14942;13,2435;13,2435;13,4259;13,46669;13,61408;13,65351;13,69327;13,79297;13,9275;13,95289;14,02649;14,13332;14,13332;14,25324;14,34551;14,43451;14,47035;14,56498;14,64889;14,76681;14,89575;14,95447;14,95447;15,24484;15,27176;15,30972;15,39426;15,55464;15,55464;15,73423;15,81021;15,87225;16,03384;16,08701;16,13254;16,19596;16,28382;16,37177;16,45583;16,59111;16,7646;16,79063;16,91351;17,0691;17,09532;17,25282;17,30084;17,51343;17,52904;17,76737;18,15366;18,18477;18,36821;18,75113;18,91474;19,19151;19,41425;19,51177;19,61214;19,76682;19,9454;20,21266;20,41356;20,83269;21,16775;21,35571;21,63418;21,79287;21,9925;22,20749;
0,1595648;0,8050929;1,157193;1,649976;1,750565;1,80901;2,185583;2,272993;2,414288;2,57431;2,686373;2,917278;3,413464;3,675271;3,747623;3,805193;3,856086;4,096126;4,248897;4,347554;4,495218;4,605419;4,674134;4,827449;5,036467;5,150291;5,212884;5,288938;5,434894;5,470045;5,573804;5,838244;5,89448;5,89448;5,907317;6,052701;6,193794;6,235037;6,24793;6,313086;6,387751;6,474022;6,538199;6,590564;6,626698;6,75021;6,897835;6,90937;7,097993;7,097993;7,287014;7,335902;7,390816;7,45399;7,527478;7,615445;7,704753;7,866508;7,882252;7,996164;8,049069;8,172938;8,292768;8,333244;8,417446;8,490028;8,532818;8,655429;8,655429;8,786476;8,786476;8,895409;8,993269;9,036151;9,073521;9,152542;9,186274;9,248939;9,356919;9,368541;9,396715;9,490774;9,554784;9,696651;9,735405;9,854549;9,994822;10,00827;10,00827;10,35709;10,36998;10,47465;10,51784;10,63435;10,73521;10,79411;10,92502;11,01148;11,05821;11,13055;11,21453;11,22827;11,27097;11,2852;11,42934;11,42934;11,51376;11,55642;11,61041;11,66573;11,73566;11,73566;11,87365;11,87365;11,99564;12,02586;12,11136;12,1261;12,27703;12,28952;12,37421;12,46811;12,51112;12,55408;12,71501;12,72782;12,8928;13,17688;13,17688;13,25697;13,25697;13,41744;13,45733;13,52738;13,67325;13,67325;13,81623;13,8567;14,0173;14,0547;14,19516;14,29061;14,38769;14,41459;14,53278;14,55671;14,63695;14,71611;14,75653;14,84516;14,89778;14,97107;15,04548;15,07504;15,17834;15,33234;15,37036;15,4352;15,54902;15,59478;15,68891;15,79069;15,85147;15,89468;16,00838;16,03315;16,1141;16,31201;16,35349;16,4535;16,55783;16,61747;16,75331;16,75331;16,91128;16,93481;17,11541;17,11541;17,27569;17,35658;17,51429;17,55077;17,6745;17,75559;17,874;18,09659;18,21323;18,2922;18,45663;18,46723;18,65046;18,6984;18,97576;19,21787;19,55555;19,71349;19,71349;19,89687;20,09116;20,43569;
0,1814403;0,1814403;1,461847;1,746952;1,88459;2,204596;2,464113;2,663529;2,679481;2,781199;2,88231;2,960161;3,189047;3,24891;3,44926;3,647845;3,719203;3,803268;3,803268;3,899188;4,078315;4,212808;4,249076;4,665265;4,82307;5,003537;5,089983;5,20072;5,371283;5,383907;5,56761;5,729262;5,830155;5,830155;5,879579;5,9663;6,039958;6,065562;6,204929;6,204929;6,367921;6,507367;6,548589;6,561512;6,689964;6,747422;6,789427;7,009091;7,009091;7,020953;7,146865;7,266829;7,266829;7,441677;7,441677;7,503731;7,591598;7,683295;7,746881;7,868339;8,050614;8,226819;8,282511;8,40876;8,439526;8,481381;8,549972;8,563013;8,740252;8,783547;8,906763;8,947342;9,027958;9,120013;9,187304;9,228187;9,322829;9,350965;9,44381;9,510714;9,550005;9,590148;9,669539;9,761567;9,867895;9,880583;10,06452;10,1034;10,26396;10,34829;10,43138;10,51865;10,62301;10,72651;10,72651;10,89867;10,93934;10,93934;11,10136;11,11662;11,16045;11,18981;11,29866;11,3268;11,42896;11,42896;11,51778;11,58902;11,68707;11,76824;11,86619;11,86619;11,90707;12,03001;12,12836;12,24947;12,24947;12,34821;12,40035;12,44248;12,56341;12,57824;12,7486;12,88729;12,88729;13,00835;13,06182;13,24987;13,3031;13,34424;13,49083;13,52651;13,56628;13,66569;13,70553;13,77147;13,88903;13,96757;14,04613;14,04613;14,22598;14,37116;14,42653;14,59028;14,63011;14,63011;14,7273;14,80807;14,8684;14,9715;14,9715;15,04628;15,18449;15,18449;15,20894;15,25149;15,36574;15,39073;15,68688;15,71173;15,74904;16,04992;16,20906;16,39137;16,63038;16,88946;16,92602;17,06594;17,16965;17,25016;17,42643;17,52608;17,88338;17,88338;18,12416;18,28782;18,44696;18,59915;18,64979;18,85117;19,27005;19,45887;19,86541;20,03076;20,2657;20,51025;20,60491;20,77048;20,94505;21,14612;21,30071;21,7106;21,94735;22,14899;22,54958;23,06989;23,14504;23,3292;23,62802;23,82462;
1,133943;1,251706;1,628953;1,869236;1,971418;2,085426;2,150673;2,614016;2,628876;2,754051;2,893089;2,950617;3,055661;3,071711;3,215332;3,29341;3,367113;3,525742;3,690589;3,755486;3,853911;3,891168;4,02769;4,070334;4,230124;4,329387;4,354906;4,492032;4,553951;4,604045;4,824691;4,931904;5,015849;5,086993;5,213709;5,271005;5,271005;5,366319;5,395871;5,547031;5,562015;5,706357;5,761718;5,846159;5,932208;6,014678;6,071082;6,126378;6,251703;6,286024;6,511753;6,524108;6,615602;6,767314;6,847966;6,847966;6,909388;7,053164;7,093451;7,093451;7,29602;7,29602;7,335276;7,448672;7,510054;7,635047;7,66337;7,695394;7,8149;7,827099;7,933891;7,993845;8,007208;8,153586;8,222345;8,252446;8,295353;8,411263;8,455098;8,571868;8,645919;8,762473;8,791694;8,791694;9,015132;9,029091;9,044737;9,193717;9,193717;9,291809;9,362686;9,462313;9,491364;9,503568;9,646643;9,69222;9,775286;9,833982;9,863681;9,905724;9,97094;10,1092;10,13171;10,21111;10,31328;10,31328;10,37373;10,49422;10,49422;10,65242;10,6918;10,77412;10,9127;10,95229;11,02994;11,11336;11,16852;11,24531;11,24531;11,29402;11,35333;11,44531;11,55173;11,62785;11,64177;11,7505;11,82983;11,82983;11,87204;12,0535;12,0535;12,17322;12,21297;12,37306;12,38442;12,5057;12,53065;12,67152;12,71225;12,75199;12,87177;13,01074;13,01074;13,19552;13,35221;13,36399;13,49423;13,65057;13,76405;13,89306;13,95299;14,05246;14,12973;14,16692;14,25519;14,41051;14,49056;14,59404;14,62857;14,72529;14,79432;14,92611;15,09491;15,21341;15,37285;15,43387;15,51233;15,59563;15,73259;15,83192;15,83192;16,08973;16,14668;16,27003;16,29386;16,4714;16,53059;16,62681;16,72936;16,72936;16,95372;16,97574;17,03048;17,03048;17,25455;17,40922;17,56754;17,85186;17,94755;18,08908;18,39565;18,59496;18,81073;18,97167;19,31287;20,33597;21,21368;21,27508;21,45354;22,32875;
0,1585551;0,1585551;0,6538176;0,9058;1,395698;1,55073;1,833564;1,941496;2,011959;2,285855;2,428189;2,608244;2,608244;2,789238;3,085986;3,085986;3,293738;3,393653;3,593465;3,65549;3,65549;3,694046;3,813056;3,813056;3,991593;3,991593;4,31553;4,371867;4,526228;4,667442;4,710813;4,823498;4,914928;5,0337;5,144105;5,227886;5,389775;5,428298;5,553904;5,751753;5,76578;6,044605;6,070818;6,070818;6,226905;6,243601;6,41223;6,482853;6,546411;6,674738;6,674738;6,849983;6,902985;7,063705;7,089457;7,146648;7,232413;7,273178;7,493426;7,628562;7,646308;7,874194;7,902083;8,051857;8,129526;8,313399;8,464152;8,464152;8,504707;8,574823;8,652463;8,663656;8,855459;8,855459;8,891603;9,070619;9,109983;9,301986;9,342427;9,370962;9,370962;9,482462;9,614265;9,627179;9,672231;9,713571;9,82667;9,841766;9,9156;10,00796;10,03238;10,05534;10,17018;10,2103;10,30387;10,41462;10,41462;10,52284;10,60636;10,83501;10,87531;10,93255;10,98692;11,14167;11,21358;11,36453;11,54225;11,57207;11,61319;11,72158;11,75086;11,79197;11,79197;11,88821;11,98642;12,00108;12,03087;12,10657;12,19059;12,19059;12,35474;12,59451;12,60655;12,65324;12,79451;12,87345;12,87345;13,07406;13,15515;13,20766;13,33239;13,41002;13,45567;13,58877;13,58877;13,61411;13,68944;13,87183;13,91265;14,11497;14,19343;14,20514;14,31384;14,31384;14,42963;14,45457;14,63531;14,67373;14,8313;14,8751;15,01508;15,20896;15,2728;15,37252;15,57148;15,59536;15,78936;15,78936;15,78936;16,03287;16,03287;16,07061;16,12889;16,29493;16,29493;16,45188;16,4874;16,62896;16,71493;16,88987;17,05496;17,28582;17,28582;17,49053;17,51439;17,71112;17,71112;17,8347;18,07073;18,14733;18,44695;18,61125;18,70879;18,89158;19,0532;19,54868;20,08918;20,35406;20,72727;20,90676;21,06829;21,23053;21,85179;21,89482;22,25501;23,01544;23,19431;23,42866;23,61067;24,18898;
0,8507673;1,593589;1,771542;1,919603;2,199049;2,366042;2,509349;2,545563;2,713919;2,86397;2,950585;3,126031;3,369288;3,369288;3,523859;3,570778;3,67095;3,741622;3,91107;4,052567;4,052567;4,144707;4,353161;4,353161;4,38084;4,68785;4,730268;4,730268;4,792603;4,973653;4,973653;5,106414;5,130635;5,292116;5,387693;5,429795;5,538867;5,57124;5,734072;5,871005;5,972887;5,984752;6,187888;6,199419;6,354054;6,392066;6,613495;6,667025;6,706766;6,769291;6,887982;6,917685;7,074049;7,113562;7,270629;7,410903;7,551056;7,647719;7,671609;7,789105;7,86342;8,07197;8,07197;8,152762;8,310255;8,310255;8,490075;8,543509;8,650036;8,687463;8,770193;8,881817;8,92261;9,002877;9,063262;9,16856;9,209078;9,260576;9,325096;9,381583;9,381583;9,563399;9,563399;9,602638;9,727226;9,766479;9,909298;9,921259;9,993141;10,00533;10,08043;10,11064;10,22898;10,33917;10,33917;10,41275;10,51216;10,63964;10,82059;10,84978;10,84978;10,94797;11,02015;11,09245;11,13253;11,22872;11,35349;11,40828;11,45101;11,45101;11,55262;11,65148;11,74954;11,74954;11,91166;11,91166;12,10364;12,26046;12,28821;12,32965;12,40982;12,45014;12,61261;12,69341;12,77335;12,77335;12,93134;12,96711;13,09208;13,09208;13,25042;13,34902;13,43003;13,48679;13,65404;13,65404;13,8285;13,85342;14,0291;14,16333;14,19133;14,31276;14,37382;14,37382;14,45275;14,56212;14,58834;14,61375;14,65269;14,76779;14,8628;14,90982;14,99076;15,08511;15,16863;15,30979;15,41182;15,44742;15,63193;15,75192;15,88798;16,02756;16,05205;16,20792;16,23067;16,38905;16,45189;16,50961;16,56679;16,70296;16,78642;16,9828;17,05102;17,16253;17,16253;17,33248;17,33248;17,44718;17,62959;17,87003;18,09033;18,25047;18,40958;18,43356;18,58596;18,77178;18,82948;18,98749;19,06703;19,1528;19,35194;19,66535;19,93396;20,1478;20,18767;20,3882;20,74406;20,96499;21,15243;21,30908;
