Personne 0;Personne 1;Personne 2;Personne 3;Personne 4;Personne 5;Personne 6;Personne 7;Personne 8;Personne 9;Personne 10;Personne 11;Personne 12;Personne 13;Personne 14;Personne 15;Personne 16;Personne 17;Personne 18;Personne 19;Personne 20;Personne 21;Personne 22;Personne 23;Personne 24;Personne 25;Personne 26;Personne 27;Personne 28;Personne 29;Personne 30;Personne 31;Personne 32;Personne 33;Personne 34;Personne 35;Personne 36;Personne 37;Personne 38;Personne 39;Personne 40;Personne 41;Personne 42;Personne 43;Personne 44;Personne 45;Personne 46;Personne 47;Personne 48;Personne 49;Personne 50;Personne 51;Personne 52;Personne 53;Personne 54;Personne 55;Personne 56;Personne 57;Personne 58;Personne 59;Personne 60;Personne 61;Personne 62;Personne 63;Personne 64;Personne 65;Personne 66;Personne 67;Personne 68;Personne 69;Personne 70;Personne 71;Personne 72;Personne 73;Personne 74;Personne 75;Personne 76;Personne 77;Personne 78;Personne 79;Personne 80;Personne 81;Personne 82;Personne 83;Personne 84;Personne 85;Personne 86;Personne 87;Personne 88;Personne 89;Personne 90;Personne 91;Personne 92;Personne 93;Personne 94;Personne 95;Personne 96;Personne 97;Personne 98;Personne 99;Personne 100;Personne 101;Personne 102;Personne 103;Personne 104;Personne 105;Personne 106;Personne 107;Personne 108;Personne 109;Personne 110;Personne 111;Personne 112;Personne 113;Personne 114;Personne 115;Personne 116;Personne 117;Personne 118;Personne 119;Personne 120;Personne 121;Personne 122;Personne 123;Personne 124;Personne 125;Personne 126;Personne 127;Personne 128;Personne 129;Personne 130;Personne 131;Personne 132;Personne 133;Personne 134;Personne 135;Personne 136;Personne 137;Personne 138;Personne 139;Personne 140;Personne 141;Personne 142;Personne 143;Personne 144;Personne 145;Personne 146;Personne 147;Personne 148;Personne 149;Personne 150;Personne 151;Personne 152;Personne 153;Personne 154;Personne 155;Personne 156;Personne 157;Personne 158;Personne 159;Personne 160;Personne 161;Personne 162;Personne 163;Personne 164;Personne 165;Personne 166;Personne 167;Personne 168;Personne 169;Personne 170;Personne 171;Personne 172;Personne 173;Personne 174;Personne 175;Personne 176;Personne 177;Personne 178;Personne 179;Personne 180;Personne 181;Personne 182;Personne 183;Personne 184;Personne 185;Personne 186;Personne 187;Personne 188;Personne 189;Personne 190;Personne 191;Personne 192;Personne 193;Personne 194;Personne 195;Personne 196;Personne 197;Personne 198;Personne 199
1,608948;2,009504;2,249418;2,532082;2,675155;2,851696;3,064229;3,306148;3,431799;3,611329;3,663025;3,911267;3,939846;3,96886;4,089471;4,129996;4,249309;4,372809;4,451636;4,491768;4,546229;4,648615;4,736632;4,892154;4,931615;5,092748;5,210893;5,289069;5,392789;5,473032;5,523796;5,592143;5,64426;5,807265;5,87081;5,923091;6,048798;6,207491;6,220034;6,431535;6,443957;6,550665;6,550665;6,644376;6,788813;6,788813;6,958934;6,987548;7,067368;7,107192;7,211386;7,263877;7,386617;7,398588;7,527885;7,56764;7,70884;7,760198;7,812153;7,941445;7,979301;8,00759;8,03301;8,128112;8,229961;8,322082;8,448508;8,461052;8,526253;8,603271;8,683599;8,710049;8,749324;8,786126;8,879519;8,944955;8,972759;9,090635;9,090635;9,243742;9,271035;9,271035;9,284551;9,488339;9,488339;9,527166;9,668931;9,720125;9,747221;9,770886;9,886634;9,952242;10,0028;10,09216;10,13234;10,20448;10,27061;10,30382;10,32898;10,46929;10,49305;10,50571;10,60704;10,64384;10,70769;10,74542;10,8439;10,87005;10,94726;11,07229;11,08451;11,10998;11,24699;11,27178;11,34684;11,37287;11,4504;11,51042;11,51042;11,58606;11,6113;11,72295;11,7466;11,78762;11,88692;11,88692;12,05306;12,09101;12,09101;12,12785;12,20312;12,28019;12,28019;12,40671;12,43113;12,59233;12,59233;12,62809;12,62809;12,78946;12,88794;12,91138;12,92535;12,94932;13,02657;13,14748;13,17275;13,18464;13,24537;13,32995;13,42604;13,45255;13,58871;13,65013;13,70997;13,72189;13,89071;13,89071;13,92609;13,92609;14,08662;14,10988;14,19162;14,28285;14,33084;14,3699;14,49028;14,56122;14,64551;14,73294;14,7694;14,84284;14,92686;14,96206;15,02551;15,14847;15,18481;15,35083;15,44503;15,44503;15,54529;15,62872;15,71253;15,75126;15,86917;15,90486;16,07019;16,25154;16,4432;16,49024;16,70892;16,92756;17,01257;17,22309;17,30861;17,40719;17,58993;17,89099;18,31217;19,01181
0,2155014;0,8632407;1,088689;1,146881;1,31732;1,824553;1,975146;1,975146;2,174728;2,357738;2,507421;2,577705;2,797631;2,955991;2,984879;3,203257;3,422809;3,516556;3,687084;3,699503;3,765602;3,944252;4,037598;4,217927;4,423864;4,466515;4,602822;4,868393;5,101437;5,167769;5,384515;5,424285;5,477767;5,544195;5,624464;5,762637;5,839486;5,944282;6,019312;6,045763;6,128057;6,128057;6,218832;6,285426;6,458586;6,723056;6,801343;6,986182;7,025321;7,183015;7,196237;7,341157;7,381315;7,564322;7,603292;7,682956;7,762639;7,817432;7,946986;8,02425;8,101689;8,144137;8,16757;8,322743;8,348356;8,441318;8,464615;8,54254;8,607622;8,685803;8,685803;8,828001;8,86612;8,967775;9,08483;9,187457;9,187457;9,224943;9,366302;9,405132;9,456886;9,507567;9,648355;9,68589;9,697656;9,724591;9,864833;9,864833;10,00694;10,04373;10,10709;10,14565;10,20877;10,25907;10,25907;10,34746;10,4482;10,47969;10,52625;10,5852;10,63681;10,7366;10,82549;10,86315;10,9007;10,98818;11,02623;11,13441;11,18548;11,22736;11,27808;11,37854;11,40298;11,42765;11,56707;11,60353;11,60353;11,64235;11,77741;11,86465;11,90275;11,91776;11,98606;12,10724;12,15512;12,15512;12,31876;12,34391;12,46743;12,51761;12,58272;12,78456;12,82087;12,90652;12,94431;13,05726;13,20496;13,26648;13,36484;13,46269;13,49928;13,56282;13,72387;13,74766;13,82656;13,88447;14,06276;14,06276;14,14748;14,15976;14,25983;14,34479;14,38124;14,50117;14,52843;14,60213;14,66599;14,74123;14,88504;14,89771;15,04495;15,12878;15,16457;15,16457;15,36787;15,40362;15,42873;15,49958;15,60818;15,64393;15,66802;15,76523;15,88527;15,96319;15,98866;16,06303;16,16112;16,19708;16,22234;16,38856;16,45963;16,51803;16,72528;16,74841;16,84269;17,02402;17,08512;17,16807;17,28713;17,4037;17,72587;18,0058;18,04322;18,26685;18,30444;18,49842;18,8014;18,9226;19,20694;19,72044
0;0,5321743;1,331646;1,509388;1,713754;1,853287;1,89363;2,06555;2,106864;2,346795;2,743729;2,794143;2,822164;2,983831;3,024966;3,154162;3,325117;3,507495;3,833234;3,914473;3,994739;4,008512;4,122353;4,314396;4,527292;4,65228;4,721177;4,792918;4,910574;5,031785;5,172261;5,184625;5,251978;5,344825;5,371954;5,544775;5,65112;5,701145;5,769725;5,823769;5,823769;5,931023;6,010504;6,090126;6,128879;6,295058;6,33398;6,375369;6,506757;6,534461;6,6315;6,68294;6,831972;6,87146;6,87146;6,951455;7,002775;7,112963;7,234672;7,313969;7,428758;7,428758;7,509594;7,574613;7,625758;7,664493;7,793656;7,806431;7,870259;7,974107;8,09055;8,128457;8,253786;8,275043;8,384461;8,514263;8,551589;8,590425;8,632444;8,770641;8,783177;8,833527;8,886676;8,953069;9,052984;9,153996;9,192914;9,233886;9,233886;9,349666;9,425637;9,464;9,489646;9,591314;9,591314;9,79009;9,815121;9,852806;9,926282;10,01354;10,01354;10,08909;10,11346;10,22819;10,22819;10,39059;10,42797;10,45506;10,50568;10,63208;10,67001;10,76657;10,85245;10,86552;10,92865;11,09285;11,16898;11,35505;11,3679;11,40401;11,49101;11,60399;11,6669;11,7308;11,8028;11,82886;11,89014;12,01178;12,10931;12,13344;12,13344;12,33003;12,37038;12,39411;12,53041;12,71484;12,71484;12,78909;12,91167;12,92394;12,98374;13,08397;13,13465;13,17048;13,24542;13,33143;13,43186;13,4925;13,56569;13,6498;13,67409;13,79515;13,83178;13,89235;13,90372;14,04974;14,08688;14,20914;14,23384;14,29402;14,33038;14,41418;14,55024;14,57367;14,63361;14,76704;14,87509;14,9339;15,05317;15,13054;15,20229;15,27523;15,40552;15,42941;15,54941;15,60925;15,83394;15,83394;15,95191;15,98946;16,07244;16,19216;16,28911;16,37208;16,40749;16,59138;16,85215;16,85215;17,03239;17,06662;17,20891;17,2348;17,39526;17,57348;17,69393;17,70609;18,18933;19,09084;19,39022;20,95497
0,1229209;0,9490179;1,143982;1,520391;1,764023;1,904544;2,258255;2,627502;2,809119;2,987689;3,000969;3,203762;3,318146;3,428353;3,516054;3,609385;3,80338;3,818043;4,047951;4,088745;4,140883;4,20754;4,262835;4,385275;4,464034;4,549388;4,642697;4,747299;4,789075;4,965789;5,004044;5,042208;5,10754;5,201165;5,256888;5,348306;5,427198;5,4678;5,546883;5,68787;5,798276;5,798276;5,988551;6,027227;6,148308;6,15998;6,327755;6,349734;6,449389;6,543568;6,587762;6,645131;6,786436;6,799285;6,847258;6,968076;7,008065;7,059901;7,16438;7,20339;7,30749;7,384569;7,424762;7,50354;7,566687;7,605918;7,708253;7,82702;7,908496;7,984176;8,101112;8,204612;8,242652;8,309669;8,378149;8,445305;8,624363;8,624363;8,706542;8,706542;8,823075;8,847894;9,029004;9,041912;9,067586;9,158278;9,309665;9,34854;9,34854;9,45626;9,585806;9,585806;9,599006;9,802437;9,859246;9,947315;9,95693;9,984462;10,1016;10,11665;10,2065;10,28374;10,30856;10,34594;10,43678;10,4638;10,58723;10,66151;10,69886;10,76574;10,88971;10,92836;10,92836;10,9679;11,14313;11,18062;11,18062;11,30564;11,38126;11,40609;11,41714;11,5054;11,66843;11,70588;11,80737;11,84497;11,8812;11,99772;12,04762;12,04762;12,10937;12,2088;12,24645;12,34707;12,38534;12,48752;12,54016;12,64971;12,64971;12,68747;12,82534;12,85511;12,94837;12,95995;13,0226;13,14233;13,16665;13,2294;13,36347;13,4255;13,5247;13,58323;13,62198;13,7066;13,7066;13,90041;13,92671;13,99996;14,0617;14,18245;14,22963;14,42682;14,46383;14,5629;14,74656;14,78355;14,96908;15,00628;15,06606;15,07892;15,22593;15,34557;15,36909;15,54808;15,60837;15,66794;15,76608;15,88008;15,96507;16,02449;16,14715;16,16973;16,30027;16,32489;16,44579;16,50547;16,54143;16,64746;16,76741;16,88582;17,08533;17,18723;17,30047;17,42306;17,48358;17,70056;17,96822;18,00512;18,13862;18,6094
0,1211921;0,6823045;1,573432;1,604607;1,919761;2,073547;2,425832;2,492389;2,765517;2,859634;2,915402;3,039329;3,233033;3,443868;3,540994;3,581456;3,65261;3,704146;4,002044;4,094374;4,161893;4,283047;4,444849;4,444849;4,57554;4,622304;4,754015;4,900646;4,900646;5,099767;5,165056;5,380578;5,422163;5,462531;5,623967;5,732639;5,92029;5,972658;6,105509;6,160312;6,364669;6,44303;6,674109;6,70506;6,761869;6,784688;6,939795;6,981754;7,084384;7,138139;7,379797;7,379797;7,445491;7,445491;7,616943;7,656956;7,764987;7,855855;7,855855;7,964052;8,003181;8,093521;8,263124;8,275521;8,342485;8,355592;8,459378;8,602041;8,602041;8,720016;8,816127;8,944513;8,944513;9,056272;9,221449;9,221449;9,234415;9,325872;9,460746;9,460746;9,4845;9,562036;9,638474;9,665019;9,859772;9,885324;9,885324;9,925924;10,10272;10,17921;10,25359;10,30464;10,39245;10,41894;10,51828;10,58358;10,58358;10,72311;10,76109;10,82392;10,90486;10,93994;10,96542;11,06514;11,10241;11,14178;11,23938;11,32539;11,37529;11,40586;11,48469;11,63818;11,67331;11,67331;11,82207;11,87301;11,89976;12,01471;12,06482;12,06482;12,23641;12,23641;12,26156;12,42202;12,42202;12,52201;12,6218;12,68393;12,7217;12,78438;12,89938;12,94202;13,00384;13,06553;13,13909;13,13909;13,29928;13,33474;13,33474;13,525;13,525;13,75839;13,75839;13,83485;13,83485;13,96025;14,06504;14,17419;14,19914;14,22293;14,38284;14,48038;14,48038;14,54152;14,7002;14,76075;14,88133;14,92036;15,05867;15,10582;15,16526;15,16526;15,28565;15,44337;15,50529;15,51763;15,55592;15,7546;15,80317;15,92153;15,96039;16,0256;16,21982;16,21982;16,45635;16,54115;16,75701;16,80475;16,84152;17,04455;17,08386;17,2378;17,26143;17,26143;17,47672;17,52446;17,74098;17,76448;17,99892;18,02267;18,25666;18,6395;18,70206;18,95991;19,16483;19,20111;19,50185;19,58437;19,74244;20,51495
0,8977599;1,053139;1,271022;1,314986;2,059001;2,471951;2,515192;2,614439;2,776692;2,776692;2,994291;3,007452;3,135064;3,288112;3,288112;3,453751;3,608406;3,675734;3,759166;3,770604;3,974418;4,099172;4,247942;4,275988;4,396444;4,519201;4,587582;4,754263;4,839013;4,976556;4,997442;5,047389;5,247633;5,315467;5,436086;5,489268;5,595102;5,728515;5,77725;5,813328;5,954261;5,954261;6,131705;6,174078;6,211762;6,279303;6,39811;6,425117;6,531808;6,61528;6,77642;6,832302;6,892668;7,075434;7,092841;7,229897;7,254914;7,435093;7,448112;7,487629;7,5915;7,654537;7,667001;7,707626;7,852393;7,877523;7,956613;8,070992;8,138031;8,138031;8,174876;8,292522;8,370489;8,435773;8,549584;8,577009;8,655153;8,693465;8,796936;8,915143;8,954021;9,07538;9,07538;9,088953;9,157703;9,233249;9,296623;9,437634;9,450096;9,477837;9,656418;9,697245;9,708318;9,874365;9,9484;9,97487;10,07548;10,08788;10,17643;10,27835;10,35406;10,39125;10,41666;10,51748;10,56641;10,63501;10,70847;10,7582;10,7582;10,85788;10,97054;11,05732;11,06994;11,12481;11,27439;11,27439;11,46562;11,46562;11,51896;11,65437;11,72881;11,79059;11,81611;11,88993;12,01497;12,0546;12,0546;12,17866;12,27712;12,37572;12,38855;12,47544;12,5122;12,67663;12,71437;12,72722;12,7533;12,87588;12,91441;12,95177;13,05336;13,11525;13,15374;13,21726;13,39248;13,47783;13,59372;13,59372;13,66638;13,73922;13,87611;14,0121;14,0121;14,0121;14,21338;14,23779;14,36986;14,46628;14,52948;14,57823;14,65077;14,73838;14,83341;14,85813;14,87015;15,01877;15,09285;15,22786;15,22786;15,3786;15,41396;15,43887;15,47575;15,59739;15,63281;15,77792;15,83718;15,95703;15,99326;16,13925;16,18887;16,2367;16,33033;16,45242;16,57264;16,63099;16,77632;16,955;17,07676;17,14721;17,21124;17,39713;17,73023;17,95386;18,1393;18,27538;18,4942;18,60579;18,79273;18,81691
1,264841;1,448118;1,760484;2,079274;2,504209;2,546262;2,726483;2,905783;3,016041;3,126352;3,126352;3,264583;3,485375;3,485375;3,646827;3,68756;3,904649;3,904649;4,025756;4,227942;4,227942;4,347498;4,423192;4,506814;4,707878;4,707878;4,859056;4,938667;5,04721;5,125798;5,139038;5,245612;5,354852;5,418056;5,504157;5,606646;5,648199;5,727035;5,847985;5,859871;6,019099;6,166202;6,166202;6,28488;6,335513;6,403458;6,525911;6,539309;6,658738;6,698877;6,725125;6,907947;6,946566;7,000831;7,062727;7,184276;7,221673;7,326641;7,443242;7,48557;7,48557;7,67684;7,744262;7,744262;7,922795;7,934411;7,975437;7,975437;8,180876;8,20684;8,286317;8,407108;8,485831;8,485831;8,645618;8,687377;8,724635;8,776361;8,883138;8,883138;8,937015;9,102972;9,102972;9,167245;9,167245;9,297189;9,347226;9,360314;9,3875;9,526244;9,581605;9,657891;9,722614;9,834177;9,834177;9,902078;9,927553;10,04575;10,09786;10,22544;10,26358;10,32702;10,36521;10,50626;10,54575;10,62623;10,66244;10,72483;10,78792;10,96419;10,96419;11,05719;11,15793;11,18425;11,28274;11,34572;11,42231;11,48274;11,54758;11,56089;11,68461;11,78451;11,79738;11,92114;11,98249;12,06107;12,08498;12,14718;12,25843;12,28374;12,45832;12,50759;12,58475;12,58475;12,72238;12,7472;12,94577;12,94577;12,98227;13,04814;13,18635;13,22359;13,26086;13,38328;13,4211;13,5429;13,61573;13,68044;13,74323;13,76657;13,80437;13,92599;13,92599;13,93815;13,99876;14,10781;14,14394;14,2401;14,30075;14,42383;14,45919;14,54416;14,61811;14,64219;14,67821;14,86744;14,94148;14,96526;15,08464;15,19924;15,32016;15,46338;15,62294;15,64629;15,65805;15,76679;15,88834;16,00688;16,05655;16,14122;16,14122;16,32463;16,66099;16,70833;16,74526;16,8421;17,02123;17,10398;17,12792;17,32334;17,34586;17,70631;17,90557;18,20629;18,24332;18,54363;18,64207;19,32462;19,52585;19,88126
0,1276586;0,1276586;0,8637267;1,268998;1,990074;2,031889;2,589902;2,589902;2,732055;2,809454;2,980662;3,120562;3,149088;3,271701;3,380519;3,408832;3,529707;3,586075;3,712246;3,772189;3,988685;4,111663;4,152573;4,166409;4,250985;4,426434;4,453504;4,667972;4,71874;4,848241;5,030165;5,182024;5,221415;5,468389;5,468389;5,630708;5,782169;5,969;5,969;6,089025;6,185189;6,226418;6,351053;6,429647;6,469553;6,602531;6,709873;6,722018;6,78912;6,802446;6,925998;6,953071;6,992933;7,170942;7,170942;7,291542;7,372794;7,411148;7,489513;7,582042;7,582042;7,762784;7,853475;7,928782;7,928782;8,019363;8,204159;8,230721;8,349341;8,468238;8,479675;8,582412;8,712059;8,752316;8,871838;8,871838;8,910157;8,923576;9,028256;9,092032;9,092032;9,143521;9,288369;9,328437;9,366415;9,43294;9,521482;9,58535;9,610875;9,72493;9,821288;9,913242;9,949999;9,987405;10,06371;10,15203;10,18949;10,20184;10,36015;10,38734;10,45109;10,48924;10,62737;10,62737;10,75315;10,804;10,82882;11,03088;11,07031;11,1447;11,16908;11,2735;11,31242;11,48842;11,51352;11,51352;11,52607;11,72541;11,72541;11,72541;11,81165;11,90443;11,99326;12,02929;12,02929;12,09216;12,37035;12,37035;12,37035;12,40868;12,60826;12,60826;12,63208;12,74213;12,85306;12,93065;13,06706;13,09158;13,09158;13,18868;13,26344;13,35231;13,38879;13,48725;13,64829;13,64829;13,68397;13,71042;13,8935;13,93218;14,01155;14,10807;14,13199;14,1922;14,31354;14,45254;14,51229;14,54905;14,76931;14,85328;14,95282;14,95282;15,02658;15,11261;15,18525;15,20931;15,3045;15,45293;15,49009;15,52681;15,64672;15,73035;15,80343;15,88649;15,98563;16,05028;16,11194;16,21074;16,27163;16,30817;16,36902;16,43195;16,58636;16,66865;16,78638;16,90794;16,99332;17,15189;17,18696;17,28973;17,30416;17,47984;17,64717;17,67081;17,75097;17,92941;17,95328;18,16414;18,62893;18,90612
0,133562;0,133562;0,8210275;1,0199;1,18854;1,512065;1,787909;1,886691;2,183621;2,364084;2,411179;2,522115;2,611162;2,740672;3,031011;3,152722;3,210075;3,349332;3,553827;3,65034;3,772428;3,892611;3,892611;4,083224;4,231362;4,314079;4,354282;4,450984;4,548717;4,561332;4,790202;4,790202;4,831019;4,950345;5,033067;5,153112;5,153112;5,300365;5,373744;5,465616;5,612938;5,705817;5,852319;5,945796;6,164655;6,181153;6,283692;6,31049;6,441248;6,519612;6,651641;6,691214;6,730482;6,913038;6,913038;7,032986;7,074098;7,126095;7,272763;7,326463;7,392521;7,434166;7,569684;7,64798;7,64798;7,713395;7,791644;7,831573;7,883291;8,027834;8,040618;8,070577;8,160835;8,213115;8,225803;8,367505;8,470049;8,587625;8,611301;8,689673;8,728806;8,86896;8,932687;8,932687;9,049418;9,073466;9,123698;9,174305;9,252111;9,290295;9,341367;9,366732;9,472046;9,499123;9,630434;9,67433;9,747613;9,849917;10,01426;10,01426;10,09102;10,12896;10,23253;10,2694;10,28251;10,30821;10,47312;10,58748;10,60994;10,6469;10,71039;10,78355;10,93356;10,93356;10,93356;11,07165;11,20826;11,24728;11,28244;11,37162;11,38331;11,54937;11,6902;11,75184;11,82637;11,82637;11,94988;12,02521;12,08818;12,22667;12,31288;12,36251;12,51218;12,54894;12,56199;12,72434;12,74845;12,82444;12,84876;12,91135;13,00908;13,03359;13,1447;13,19322;13,32768;13,36348;13,44933;13,51021;13,57183;13,7467;13,77359;14,01178;14,07227;14,16849;14,32847;14,32847;14,39074;14,54642;14,58294;14,67151;14,73036;14,88771;14,93429;14,97229;15,03151;15,12864;15,30789;15,30789;15,36673;15,53426;15,60771;15,63249;15,72711;15,78911;15,93372;15,97133;16,08991;16,15039;16,21413;16,3247;16,49184;16,58808;16,61179;16,8475;16,9921;17,11074;17,14574;17,28757;17,28757;17,42825;17,49045;17,70892;17,77125;17,98595;18,0494;18,188;18,32828;18,57286;18,80937;21,97069
0,9409105;1,239903;1,324414;1,62962;1,809698;2,367006;2,778467;2,806526;2,929714;3,130238;3,130238;3,307337;3,430118;3,5272;3,608073;3,621522;3,79867;3,882824;4,005703;4,086858;4,086858;4,239857;4,478981;4,518436;4,518436;4,626955;4,850763;4,850763;4,94482;4,963649;5,078143;5,226725;5,226725;5,429069;5,470675;5,621874;5,831315;5,884746;5,950423;5,950423;6,031004;6,108376;6,190558;6,230991;6,327957;6,338955;6,531669;6,559182;6,627948;6,787245;6,928441;7,048834;7,162489;7,187799;7,187799;7,289797;7,408659;7,564121;7,771457;7,809355;7,885891;7,898658;7,990881;8,107049;8,13193;8,248772;8,248772;8,406477;8,406477;8,440145;8,57129;8,610069;8,726833;8,870108;8,925456;8,950455;8,986981;9,06345;9,127922;9,127922;9,205176;9,268699;9,37028;9,44684;9,44684;9,489135;9,589143;9,665299;9,741047;9,7675;9,829947;9,968221;9,968221;10,03056;10,13041;10,26779;10,41064;10,48685;10,52582;10,6249;10,65028;10,70116;10,78954;10,867;10,94163;11,00478;11,04199;11,10534;11,16737;11,22963;11,26529;11,40483;11,42893;11,48063;11,60476;11,66588;11,72813;11,82682;11,84966;11,89085;11,96539;12,02693;12,08846;12,08846;12,18795;12,22445;12,31095;12,38875;12,47894;12,52062;12,52062;12,62188;12,67173;12,70857;12,80759;12,80759;12,90784;12,93199;13,09197;13,15193;13,24987;13,24987;13,3119;13,46813;13,46813;13,56524;13,72483;13,72483;13,8473;13,93183;14,00564;14,12648;14,14966;14,21164;14,26017;14,34755;14,44742;14,48339;14,50751;14,66709;14,78856;14,81202;14,88665;15,032;15,08104;15,08104;15,12931;15,28393;15,30897;15,34561;15,34561;15,52355;15,54767;15,57211;15,57211;15,83152;15,89177;15,96292;16,12982;16,22522;16,33212;16,48921;16,54817;16,61096;16,79182;16,80378;16,85041;16,94834;17,12572;17,14828;17,14828;17,37014;17,52652;17,61086;17,74681;17,832;17,98936;18,56395;18,95126;19,80397
