Personne 0;Personne 1;Personne 2;Personne 3;Personne 4;Personne 5;Personne 6;Personne 7;Personne 8;Personne 9;Personne 10;Personne 11;Personne 12;Personne 13;Personne 14;Personne 15;Personne 16;Personne 17;Personne 18;Personne 19;Personne 20;Personne 21;Personne 22;Personne 23;Personne 24;Personne 25;Personne 26;Personne 27;Personne 28;Personne 29;Personne 30;Personne 31;Personne 32;Personne 33;Personne 34;Personne 35;Personne 36;Personne 37;Personne 38;Personne 39;Personne 40;Personne 41;Personne 42;Personne 43;Personne 44;Personne 45;Personne 46;Personne 47;Personne 48;Personne 49;Personne 50;Personne 51;Personne 52;Personne 53;Personne 54;Personne 55;Personne 56;Personne 57;Personne 58;Personne 59;Personne 60;Personne 61;Personne 62;Personne 63;Personne 64;Personne 65;Personne 66;Personne 67;Personne 68;Personne 69;Personne 70;Personne 71;Personne 72;Personne 73;Personne 74;Personne 75;Personne 76;Personne 77;Personne 78;Personne 79;Personne 80;Personne 81;Personne 82;Personne 83;Personne 84;Personne 85;Personne 86;Personne 87;Personne 88;Personne 89;Personne 90;Personne 91;Personne 92;Personne 93;Personne 94;Personne 95;Personne 96;Personne 97;Personne 98;Personne 99;Personne 100;Personne 101;Personne 102;Personne 103;Personne 104;Personne 105;Personne 106;Personne 107;Personne 108;Personne 109;Personne 110;Personne 111;Personne 112;Personne 113;Personne 114;Personne 115;Personne 116;Personne 117;Personne 118;Personne 119;Personne 120;Personne 121;Personne 122;Personne 123;Personne 124;Personne 125;Personne 126;Personne 127;Personne 128;Personne 129;Personne 130;Personne 131;Personne 132;Personne 133;Personne 134;Personne 135;Personne 136;Personne 137;Personne 138;Personne 139;Personne 140;Personne 141;Personne 142;Personne 143;Personne 144;Personne 145;Personne 146;Personne 147;Personne 148;Personne 149;Personne 150;Personne 151;Personne 152;Personne 153;Personne 154;Personne 155;Personne 156;Personne 157;Personne 158;Personne 159;Personne 160;Personne 161;Personne 162;Personne 163;Personne 164;Personne 165;Personne 166;Personne 167;Personne 168;Personne 169;Personne 170;Personne 171;Personne 172;Personne 173;Personne 174;Personne 175;Personne 176;Personne 177;Personne 178;Personne 179;Personne 180;Personne 181;Personne 182;Personne 183;Personne 184;Personne 185;Personne 186;Personne 187;Personne 188;Personne 189;Personne 190;Personne 191;Personne 192;Personne 193;Personne 194;Personne 195;Personne 196;Personne 197;Personne 198;Personne 199;
0,6187631;1,135788;1,247063;1,294282;1,485385;1,649551;1,759233;1,933957;2,059718;2,225263;2,316027;2,407329;2,528391;2,726375;2,833264;3,050412;3,097713;3,317964;3,379881;3,458067;3,627332;3,718823;3,824735;3,887476;4,099091;4,145514;4,213284;4,371215;4,677093;4,691605;4,70769;4,812584;4,878389;4,956308;5,018198;5,199405;5,275974;5,289397;5,408031;5,5458;5,66773;5,698859;5,712925;5,878747;6,012727;6,137098;6,137098;6,257614;6,389534;6,433082;6,769438;6,917577;7,074101;7,099645;7,216484;7,287211;7,317564;7,437738;7,616653;7,62978;7,797391;7,897556;7,957586;7,971026;8,157672;8,19836;8,209765;8,297617;8,432848;8,528535;8,685125;8,786939;8,816446;8,948365;8,979509;9,025281;9,197997;9,197997;9,226797;9,386148;9,449405;9,687503;9,824749;9,824749;9,98246;10,15926;10,15926;10,39986;10,42865;10,51721;10,59758;10,6773;10,89034;11,0769;11,0769;11,15237;11,27612;11,29058;11,33798;11,60932;11,71677;11,79086;11,83584;12,0746;12,11862;12,31565;12,38584;12,52499;12,57539;12,65889;12,65889;12,81568;13,078;13,11668;13,17792;13,2536;13,43734;13,46866;13,65092;13,69572;13,81111;13,82743;13,95607;14,09247;14,2071;14,45695;14,58013;14,58013;14,64643;14,69641;14,78287;14,84949;14,95957;15,07418;15,19851;15,25583;15,45576;15,71227;15,75737;15,78639;15,81512;15,87984;16,05847;16,1769;16,21641;16,37016;16,41287;16,59804;16,71373;16,85477;16,91577;16,96779;17,05574;17,21378;17,31772;17,45965;17,60827;17,83319;18,03327;18,09375;18,31723;18,35367;18,51846;18,55223;18,57525;18,69682;18,89837;18,9726;19,0924;19,23301;19,27625;19,53623;19,59617;19,71259;19,81497;19,96601;20,13483;20,17679;20,34792;20,47758;20,57855;20,75736;20,8355;20,9332;21,0355;21,27248;21,29733;21,39426;21,59739;21,85894;22,01069;22,07494;22,21289;22,33426;22,65786;22,9582;23,37815;23,93758;24,17443;24,49673;
0,02;0,02;0,02;0,3733333;0,6730642;1,206838;1,408072;1,511516;1,719209;1,857392;1,924504;2,130646;2,387994;2,424921;2,943926;2,977286;3,234838;3,313557;3,47071;3,858259;3,959146;4,045776;4,128065;4,332028;4,69447;4,833044;5,103408;5,189039;5,32863;5,345487;5,4665;5,689755;5,723538;5,789464;5,925083;5,959732;6,178796;6,178796;6,313336;6,313336;6,418942;6,486766;6,609202;6,719879;6,719879;6,849721;7,005716;7,303782;7,303782;7,477774;7,618174;7,696576;7,86512;7,897603;8,054129;8,054129;8,338394;8,352577;8,538767;8,604131;8,652563;8,87812;9,038112;9,038112;9,247278;9,399055;9,431781;9,497536;9,526851;9,77336;9,938663;9,971836;10,18604;10,20333;10,37681;10,38822;10,52392;10,59715;10,62963;10,73029;10,87944;10,87944;10,99027;10,99027;11,19931;11,22991;11,31283;11,43631;11,47386;11,47386;11,65756;11,76929;11,95086;12,01758;12,16425;12,20988;12,33453;12,37596;12,42581;12,42581;12,47233;12,59323;12,65646;12,65646;12,79486;12,85029;13,04923;13,0955;13,17048;13,17048;13,24916;13,40494;13,63304;13,64873;13,71312;13,83628;13,89687;13,89687;14,01339;14,1185;14,21892;14,21892;14,24825;14,43639;14,49425;14,67426;14,67426;14,75574;14,95637;14,99906;15,06596;15,11999;15,21548;15,25595;15,39653;15,59917;15,6755;15,95793;15,98581;16,0748;16,20703;16,62772;16,79855;16,82748;16,99797;17,1799;17,1928;17,33637;17,37906;17,49521;17,49521;17,69208;17,69208;17,83521;17,83521;17,98787;18,17669;18,17669;18,33755;18,33755;18,37559;18,45721;18,65158;18,67437;18,69819;18,89472;18,9176;19,13783;19,27699;19,39256;19,43878;19,65501;19,73151;19,99967;20,03477;20,11706;20,25665;20,61281;20,73516;20,8187;20,89733;21,29336;21,37216;21,39681;21,65572;21,67978;21,93727;22,11291;22,25569;22,49994;22,65231;22,89277;22,94993;23,21407;23,31669;23,75934;23,89569;24,09871;24,35211;24,77538;
0,1543611;0,5984938;0,9297712;1,24309;1,510776;1,777498;2,310458;2,546151;2,612217;2,832456;2,959038;3,162221;3,241371;3,388358;3,432229;3,672383;3,717339;3,841544;3,980513;4,088249;4,288911;4,610557;4,688479;4,74894;4,778524;4,91715;5,145005;5,209159;5,239242;5,49219;5,625338;5,761361;5,852346;5,881793;5,991605;6,02162;6,170049;6,291707;6,291707;6,570991;6,828837;6,964786;6,964786;7,156889;7,193233;7,348774;7,348774;7,629838;7,689352;7,749276;7,792244;7,922356;8,061328;8,190004;8,190004;8,231129;8,399055;8,443405;8,528324;8,528324;8,740541;8,827333;8,985953;9,088334;9,18982;9,265626;9,364806;9,467546;9,611602;9,663342;9,778545;9,847686;9,924663;10,04208;10,06807;10,10568;10,22785;10,28828;10,35235;10,54966;10,58784;10,69027;10,70189;10,72856;10,92525;11,01003;11,04862;11,06103;11,12149;11,43188;11,51205;11,66041;11,68919;11,72912;11,85157;11,86257;11,95267;11,99225;12,04819;12,14909;12,34863;12,44201;12,49076;12,49076;12,52087;12,69224;12,69224;12,83233;12,83233;12,95119;13,05829;13,16762;13,2614;13,33758;13,38105;13,55088;13,69245;13,78876;13,99748;14,03247;14,11948;14,3234;14,43128;14,65069;14,65069;14,73073;14,87091;15,03947;15,05554;15,15202;15,27064;15,43154;15,52187;15,62884;15,82906;15,9075;16,10838;16,2085;16,22288;16,41001;16,53232;16,54493;16,61049;16,75029;16,83221;17,01268;17,08886;17,22545;17,25901;17,29968;17,37247;17,53205;17,63131;17,71029;17,76991;17,83058;17,83058;18,02663;18,10892;18,17036;18,38953;18,38953;18,58308;18,59924;18,90752;19,03175;19,2923;19,30613;19,40992;19,64571;19,6884;19,6884;19,96704;20,05182;20,188;20,25107;20,40492;20,49228;20,50748;20,66628;20,80943;20,80943;21,05988;21,32674;21,32674;21,55081;21,68824;21,86094;21,96894;22,06447;22,28894;22,44778;22,68554;22,78131;23,01228;23,04081;23,38636;23,67199;24,92945;25,38854;
0,9100448;1,241508;1,749527;1,889739;1,940277;2,300393;2,420061;2,580317;2,600191;2,808183;2,808183;2,890348;3,022985;3,041257;3,198817;3,403254;3,489279;3,630111;3,707908;3,767784;3,869981;4,12591;4,156937;4,288949;4,520849;4,714384;4,714384;4,779205;4,825047;5,08653;5,266383;5,425543;5,607565;5,667322;5,809095;5,837556;5,910152;5,969936;6,155276;6,184435;6,198031;6,227993;6,505244;6,505244;6,547902;6,636718;6,738227;6,738227;6,928376;6,928376;6,987618;7,205686;7,219;7,305221;7,407684;7,527391;7,701064;7,741281;7,829091;7,946356;8,120293;8,148692;8,247738;8,304545;8,34796;8,419168;8,547945;8,603941;8,660744;8,76293;8,865861;8,965534;8,976764;9,077986;9,266756;9,309839;9,421494;9,466359;9,479856;9,605206;9,661137;9,729547;9,80264;10,00888;10,02268;10,1638;10,26556;10,30863;10,36767;10,40989;10,54127;10,60814;10,65996;10,79479;10,79479;10,90002;10,98655;11,08544;11,11483;11,14561;11,2476;11,27568;11,36581;11,44603;11,64426;11,68785;11,75862;11,85843;11,90553;11,94732;12,07795;12,07795;12,2488;12,29994;12,42892;12,52618;12,63694;12,7668;12,93618;12,96638;13,12298;13,1373;13,22945;13,37025;13,42719;13,61001;13,66781;13,76846;13,76846;13,84854;14,02859;14,14098;14,1846;14,46659;14,52125;14,60759;14,74473;14,82173;14,88379;15,04931;15,08946;15,20117;15,25731;15,48944;15,48944;15,62643;15,64018;15,83016;15,94887;16,04933;16,18767;16,2585;16,39787;16,54611;16,7874;16,93614;16,97703;17,04649;17,15612;17,27029;17,3665;17,40842;17,44979;17,70362;17,73026;17,80963;17,8682;17,92764;18,03805;18,34635;18,54944;18,56246;18,66993;18,68218;18,827;19,06441;19,0764;19,22414;19,2646;19,30474;19,46471;19,60778;20,14972;20,30803;20,38741;20,61829;20,68305;21,14903;21,26591;21,48535;21,68613;22,00037;22,18729;22,48706;22,70435;22,94323;23,38575;23,76486;24,04796;29,2832;
0,666471;1,083234;1,32596;1,602431;1,62249;1,803587;2,040373;2,246898;2,381744;2,545144;2,626042;2,872844;3,01065;3,039344;3,130623;3,271609;3,32253;3,377264;3,565746;3,670635;3,772414;3,78562;3,979959;4,039329;4,071305;4,133025;4,348034;4,348034;4,348034;4,552521;4,610938;4,85003;5,011738;5,011738;5,201267;5,351379;5,472363;5,591691;5,673192;5,745917;5,898454;5,898454;6,046899;6,162426;6,247971;6,373998;6,388195;6,452218;6,540009;6,630962;6,792431;6,952188;6,952188;7,133772;7,311127;7,350196;7,441658;7,537769;7,556192;7,614609;7,763216;7,840394;7,873712;8,077009;8,077009;8,19325;8,397696;8,479467;8,511409;8,691885;8,974135;8,974135;9,132336;9,265463;9,332553;9,364525;9,529716;9,56893;9,691446;9,721798;9,858515;9,957133;10,09381;10,18989;10,20439;10,25397;10,26944;10,45823;10,49136;10,55404;10,60002;10,69301;10,78504;10,85897;10,92092;10,95168;11,04238;11,1622;11,24017;11,35155;11,35155;11,4602;11,73226;11,73226;11,83352;11,9138;12,05234;12,11184;12,20867;12,26888;12,29984;12,29984;12,45164;12,60174;12,69223;12,778;12,8123;12,84151;12,98955;13,04934;13,09143;13,23376;13,28443;13,38858;13,44908;13,63538;13,71287;13,79849;13,8723;13,90506;14,15342;14,21361;14,24273;14,48387;14,52544;14,61096;14,77306;14,80143;14,88159;14,90884;15,05127;15,29189;15,37173;15,50934;15,6824;15,98277;16,14093;16,14093;16,17162;16,36655;16,4095;16,5089;16,65124;16,85166;16,92534;17,14183;17,25214;17,25214;17,4213;17,59196;17,66065;17,68788;17,99263;18,12099;18,12099;18,51274;18,59273;18,64787;18,82271;18,8498;19,1325;19,17318;19,17318;19,45074;19,49065;19,853;19,86685;20,36816;20,49084;20,49084;20,67277;20,67277;20,91268;20,99249;21,17268;21,17268;21,54986;21,62766;22,07407;22,23146;22,35004;22,97372;23,19049;23,36972;23,93264;24,33248;24,63248;24,98563;25,44723;25,62589;
0,1221338;0,1221338;0,5201074;1,282536;1,55113;1,761174;1,932701;2,035281;2,262001;2,508821;2,569786;2,765746;2,875808;3,003868;3,168897;3,215873;3,348143;3,45394;3,48197;3,650672;3,785992;3,83359;3,92219;4,069689;4,1158;4,324199;4,429297;4,626328;4,805332;4,865512;5,016283;5,061846;5,274264;5,415508;5,579047;5,620314;5,714543;5,796628;5,901766;6,069882;6,225768;6,264121;6,382575;6,458608;6,60877;6,68399;6,962323;6,981167;7,020808;7,236084;7,236084;7,282026;7,475657;7,475657;7,594336;7,653076;7,666468;7,875983;7,902492;8,093413;8,196525;8,240993;8,286868;8,376377;8,376377;8,484953;8,574265;8,693262;8,693262;8,75018;8,903344;8,933726;9,053102;9,053102;9,053102;9,15606;9,316232;9,375721;9,433167;9,488791;9,665253;9,695485;9,695485;9,753744;9,868738;10,13307;10,13307;10,33483;10,40477;10,5341;10,59259;10,75272;10,85649;10,86973;11,02919;11,07323;11,10177;11,3716;11,44398;11,51669;11,54628;11,63538;11,69617;11,90127;11,96245;12,07583;12,09035;12,24707;12,29606;12,32632;12,37628;12,51506;12,51506;12,58906;12,63528;12,81392;12,96582;13,09294;13,10824;13,23613;13,25115;13,26615;13,51552;13,57349;13,57349;13,7837;13,79982;13,86897;13,92587;14,02516;14,17637;14,17637;14,2334;14,36233;14,55147;14,69658;14,69658;14,77669;14,92485;14,94388;15,05933;15,05933;15,24307;15,33228;15,43291;15,57196;15,75623;15,76883;16,06721;16,09662;16,3662;16,45491;16,63381;16,91325;17,01138;17,11516;17,37155;17,61481;17,65652;17,91418;17,95514;18,21399;18,25578;18,25578;18,39615;18,5926;18,67375;18,79664;19,06648;19,19306;19,25413;19,48617;19,55356;19,64633;19,67172;19,8442;19,94986;20,05358;20,30753;20,43281;20,55304;20,63281;20,78311;20,85174;21,07554;21,19476;21,29651;21,41668;21,49405;21,68359;21,77305;22,24202;22,45102;22,83059;23,0951;23,27604;23,63297;23,99578;24,33399;24,7133;
0,7805271;1,000523;1,304872;1,525794;1,709826;1,829278;1,99056;2,250975;2,400553;2,454232;2,56706;2,801055;2,907887;2,997864;3,0289;3,250736;3,278664;3,567841;3,630364;3,790968;3,868864;4,02831;4,116443;4,237988;4,290771;4,55719;4,661837;4,801556;4,8797;4,920793;5,050374;5,066018;5,2787;5,432486;5,528023;5,528023;5,749844;5,782253;5,927273;5,98233;6,127224;6,17943;6,300345;6,340487;6,512911;6,678222;6,761688;6,776948;6,882464;6,956027;7,058437;7,207517;7,220554;7,568658;7,809042;7,809042;7,838489;8,125086;8,187164;8,248042;8,248042;8,318545;8,550453;8,550453;8,741341;8,758622;8,77547;8,956198;8,973445;9,033849;9,111102;9,257526;9,352313;9,459709;9,51814;9,594196;9,720646;9,981361;10,11456;10,26246;10,35737;10,46819;10,63061;10,63061;10,75651;10,82625;10,96142;10,99766;11,01602;11,01602;11,17548;11,211;11,26404;11,34902;11,43867;11,47102;11,61003;11,74372;11,74372;11,85;11,90032;12,10332;12,12106;12,16835;12,48983;12,53964;12,69937;12,81082;13,04723;13,12191;13,13818;13,28214;13,30157;13,42028;13,6268;13,65576;13,82283;13,9797;14,47077;14,60841;14,69924;14,80106;14,84625;14,90265;15,04939;15,04939;15,30893;15,47059;15,50261;15,56158;15,68229;15,68229;15,82131;16,00912;16,00912;16,09987;16,29061;16,3695;16,50554;16,78904;16,88794;16,88794;17,08827;17,14661;17,14661;17,38955;17,38955;17,50997;17,52507;17,70112;17,98102;18,06351;18,10655;18,10655;18,42225;18,4507;18,47944;18,60015;18,76559;18,79027;19,05028;19,28805;19,42066;19,45039;19,52048;19,5874;19,68391;19,93981;20,04637;20,20682;20,36842;20,36842;20,38022;20,50005;20,62527;20,81089;20,93099;21,04912;21,16752;21,54666;21,8895;21,98568;22,06455;22,2876;22,36634;22,68304;22,75019;22,8695;23,22727;23,34849;23,59104;23,8301;24,34916;24,66693;24,99075;25,28221;25,58731;25,86749;26,41094;26,67033;
0,3733333;0,9592941;1,236621;1,389364;1,610085;1,951112;2,131783;2,419855;2,44798;2,589633;2,605001;2,849533;2,878956;2,957652;2,970373;3,11922;3,236682;3,399384;3,399384;3,667724;3,878136;3,891466;4,145164;4,338756;4,431623;4,491048;4,671063;4,732907;4,775817;4,93751;5,05071;5,194703;5,436902;5,450002;5,610876;5,699175;5,817355;5,859461;6,030913;6,075529;6,277324;6,290567;6,477958;6,535985;6,578588;6,697024;6,858605;7,062634;7,488256;7,488256;7,488256;7,488256;7,488256;7,821589;7,821589;7,821589;7,821589;7,821589;7,821589;7,920049;8,188385;8,188385;8,188385;8,188385;8,188385;8,521718;8,521718;8,521718;8,521718;8,521718;8,697971;8,697971;9,031304;9,031304;9,031304;9,031304;9,031304;9,364637;9,364637;9,364637;9,364637;9,364637;9,364637;9,623911;9,623911;9,623911;9,957244;9,957244;9,957244;9,957244;9,957244;9,957244;10,29058;10,29058;10,29058;10,29058;10,29058;10,29058;10,45662;10,45662;10,45662;10,53102;10,61482;10,61482;10,61482;10,91888;10,91888;10,91888;11,04248;11,04248;11,04248;11,31053;11,3523;11,46745;11,60718;11,63984;11,78966;11,81987;11,96727;12,17534;12,17534;12,32603;12,39495;12,43503;12,51435;12,63683;12,75471;12,87426;13,17988;13,27771;13,27771;13,57826;13,57826;13,99483;14,31398;14,41678;14,65491;14,71561;14,83182;14,93449;15,26766;15,41819;15,59297;15,83975;15,87729;16,07604;16,19667;16,33897;16,40874;16,49662;16,65435;16,67993;16,69168;16,97856;17,11938;17,19669;17,2564;17,35063;17,47969;17,48983;17,61606;17,81298;17,8952;17,95348;18,09497;18,3348;18,37205;18,61576;18,8944;19,1751;19,1751;19,33974;19,55597;19,85162;19,85162;20,0542;20,22763;20,24377;20,43852;20,69687;21,23728;21,42974;21,55944;21,9142;22,29577;22,41967;22,57815;23,35379;23,81748;24,15833;24,81812;25,03296;25,19928;25,35505;25,88834;25,92832;26,61769;27,01527;30,13427;30,81537;
0,9293901;1,203367;1,203367;1,328506;1,425425;1,665032;1,70832;1,931566;2,090522;2,090522;2,290969;2,290969;2,531093;2,601263;2,770455;2,940716;3,14583;3,14583;3,286292;3,381527;3,523968;3,5684;3,692857;3,707238;3,907039;3,907039;4,022837;4,092601;4,188445;4,311486;4,409624;4,591222;4,649687;4,760966;4,790642;5,022749;5,248126;5,442352;5,469348;5,590171;5,771348;5,771348;5,82942;6,009155;6,109009;6,122452;6,288783;6,288783;6,423461;6,669331;6,669331;6,848697;6,909195;6,963678;7,005512;7,082857;7,287098;7,31285;7,388838;7,471437;7,529158;7,713048;7,953354;8,088446;8,110024;8,165155;8,291982;8,291982;8,461302;8,490899;8,603549;8,733174;8,819555;8,930112;8,99006;9,060091;9,152736;9,209402;9,28061;9,353296;9,423712;9,489975;9,708284;9,720357;9,841725;9,883161;9,971441;9,985773;10,06937;10,16872;10,20796;10,36994;10,36994;10,3825;10,573;10,64066;10,68166;10,80632;10,82065;10,9218;10,98981;11,00308;11,10185;11,34968;11,3921;11,43221;11,54045;11,60815;11,72824;11,80463;11,90875;11,9897;12,00235;12,08371;12,16448;12,16448;12,32137;12,39019;12,51241;12,51241;12,5926;12,6061;12,77065;12,85103;12,85103;12,90293;12,98261;13,05057;13,12809;13,28998;13,36959;13,42262;13,56944;13,65266;13,77074;13,89176;14,05291;14,09132;14,22415;14,44156;14,97159;15,04689;15,18898;15,23243;15,3511;15,96745;16,09287;16,17017;16,26977;16,28184;16,48837;16,56528;16,62706;16,74948;16,88939;17,05101;17,06438;17,16271;17,4101;17,4101;17,59223;17,63035;17,75175;17,82831;17,92637;18,08785;18,28915;18,35143;18,4518;18,60571;18,67233;18,83253;18,93029;18,99113;19,06212;19,27329;19,38235;19,47272;19,58309;19,64494;19,91317;19,91317;20,1049;20,14478;20,54818;20,57284;20,60997;20,74615;20,98762;21,0724;21,36914;21,61028;21,7075;21,88847;22,16615;23,10526;23,26802;23,5668;23,80639;24,06704;
1,073807;1,08787;1,260856;1,588021;1,603902;1,933884;2,111678;2,125132;2,292001;2,380104;2,453916;2,647869;2,668327;2,834367;3,07268;3,103022;3,274304;3,306101;3,431681;3,464014;3,62773;3,83286;3,954839;4,080872;4,155267;4,281755;4,434758;4,540985;4,666681;4,812488;4,98019;5,027482;5,043836;5,232448;5,29286;5,29286;5,428684;5,610194;5,669909;5,844264;5,875219;6,007149;6,03376;6,314666;6,314666;6,573409;6,587729;6,705204;6,794462;6,925307;6,969641;7,086353;7,164468;7,241897;7,472845;7,560913;7,632215;7,692099;7,872307;8,031505;8,031505;8,101362;8,311605;8,381941;8,455357;8,631696;8,669348;8,791537;8,791537;8,893958;9,074021;9,184969;9,214729;9,311858;9,32387;9,389646;9,494729;9,494729;9,627501;9,673059;9,82758;9,933939;9,933939;10,03251;10,13135;10,21427;10,35226;10,36492;10,4496;10,5061;10,54566;10,63124;10,67288;10,77514;10,84434;10,95537;10,98124;11,09182;11,20292;11,2349;11,33252;11,37404;11,41435;11,70102;11,7298;11,74221;11,81218;11,95501;11,99415;12,06956;12,13512;12,16178;12,35103;12,39248;12,47411;12,47411;12,56919;12,61007;12,74548;12,78496;12,90379;12,97083;13,01465;13,06916;13,15048;13,19016;13,26285;13,3152;13,48929;13,71099;13,77177;13,87077;14,00775;14,04934;14,26758;14,29381;14,41337;14,61452;14,75028;14,75028;15,02938;15,21261;15,24761;15,41376;15,54533;15,67152;15,67152;15,93168;16,19378;16,26899;16,43091;16,44387;16,49475;16,69165;16,77192;16,84737;16,93084;16,99112;17,18954;17,33192;17,44871;17,47397;17,62794;17,68926;17,9123;18,24716;18,32896;18,37523;18,54694;18,64498;18,77142;18,93223;19,15115;19,18966;19,25542;19,43123;19,49497;19,6722;19,75102;19,91469;19,96894;20,12859;20,22596;20,32754;20,48784;20,56296;20,83298;21,1937;21,37521;21,95103;22,03173;22,13181;22,27513;22,4732;22,55315;22,81019;22,89054;23,08751;23,3348;23,3348;
