Personne 0;Personne 1;Personne 2;Personne 3;Personne 4;Personne 5;Personne 6;Personne 7;Personne 8;Personne 9;Personne 10;Personne 11;Personne 12;Personne 13;Personne 14;Personne 15;Personne 16;Personne 17;Personne 18;Personne 19;Personne 20;Personne 21;Personne 22;Personne 23;Personne 24;Personne 25;Personne 26;Personne 27;Personne 28;Personne 29;Personne 30;Personne 31;Personne 32;Personne 33;Personne 34;Personne 35;Personne 36;Personne 37;Personne 38;Personne 39;Personne 40;Personne 41;Personne 42;Personne 43;Personne 44;Personne 45;Personne 46;Personne 47;Personne 48;Personne 49;Personne 50;Personne 51;Personne 52;Personne 53;Personne 54;Personne 55;Personne 56;Personne 57;Personne 58;Personne 59;Personne 60;Personne 61;Personne 62;Personne 63;Personne 64;Personne 65;Personne 66;Personne 67;Personne 68;Personne 69;Personne 70;Personne 71;Personne 72;Personne 73;Personne 74;Personne 75;Personne 76;Personne 77;Personne 78;Personne 79;Personne 80;Personne 81;Personne 82;Personne 83;Personne 84;Personne 85;Personne 86;Personne 87;Personne 88;Personne 89;Personne 90;Personne 91;Personne 92;Personne 93;Personne 94;Personne 95;Personne 96;Personne 97;Personne 98;Personne 99;Personne 100;Personne 101;Personne 102;Personne 103;Personne 104;Personne 105;Personne 106;Personne 107;Personne 108;Personne 109;Personne 110;Personne 111;Personne 112;Personne 113;Personne 114;Personne 115;Personne 116;Personne 117;Personne 118;Personne 119;Personne 120;Personne 121;Personne 122;Personne 123;Personne 124;Personne 125;Personne 126;Personne 127;Personne 128;Personne 129;Personne 130;Personne 131;Personne 132;Personne 133;Personne 134;Personne 135;Personne 136;Personne 137;Personne 138;Personne 139;Personne 140;Personne 141;Personne 142;Personne 143;Personne 144;Personne 145;Personne 146;Personne 147;Personne 148;Personne 149;Personne 150;Personne 151;Personne 152;Personne 153;Personne 154;Personne 155;Personne 156;Personne 157;Personne 158;Personne 159;Personne 160;Personne 161;Personne 162;Personne 163;Personne 164;Personne 165;Personne 166;Personne 167;Personne 168;Personne 169;Personne 170;Personne 171;Personne 172;Personne 173;Personne 174;Personne 175;Personne 176;Personne 177;Personne 178;Personne 179;Personne 180;Personne 181;Personne 182;Personne 183;Personne 184;Personne 185;Personne 186;Personne 187;Personne 188;Personne 189;Personne 190;Personne 191;Personne 192;Personne 193;Personne 194;Personne 195;Personne 196;Personne 197;Personne 198;Personne 199
0,4791168;0,9656672;1,451074;1,667199;1,837996;1,918161;1,966324;2,148745;2,165713;2,298271;2,367254;2,585403;2,619602;2,766576;2,850743;2,867219;3,096938;3,096938;3,109994;3,264033;3,412025;3,546442;3,598485;3,678341;3,898031;3,997738;4,245978;4,311698;4,457797;4,471343;4,879311;4,997821;4,997821;5,139124;5,236851;5,348167;5,496954;5,577943;5,62749;5,911264;6,129336;6,129336;6,245852;6,294251;6,488998;6,58707;6,651074;6,798273;6,879048;6,909859;6,95996;7,157565;7,188741;7,270576;7,418577;7,418577;7,515225;7,538328;7,638694;7,65244;7,798236;8,036938;8,136283;8,239374;8,359674;8,491881;8,538953;8,625059;8,728169;8,75971;8,895465;8,956088;9,078866;9,125587;9,205482;9,269269;9,285464;9,499001;9,545329;9,65226;9,778225;9,885832;9,997311;10,1382;10,24612;10,27926;10,30916;10,57094;10,63333;10,72602;10,86528;10,89545;11,23919;11,34458;11,34458;11,37588;11,53952;11,79917;11,88721;11,91763;11,91763;11,97983;12,17954;12,29903;12,45943;12,70943;12,72509;12,83962;13,01936;13,07767;13,19557;13,19557;13,26959;13,31198;13,45947;13,53235;13,59105;13,70854;13,91895;13,9313;14,13211;14,13211;14,33715;14,39634;14,47027;14,55791;14,55791;14,65786;14,85705;14,88549;14,88549;14,95943;15,27575;15,27575;15,27575;15,41913;15,57476;15,69982;15,7582;15,91644;16,01532;16,12703;16,206;16,206;16,39987;16,51622;16,60957;16,65284;16,86736;17,13867;17,15159;17,23522;17,37746;17,45872;17,67493;17,67493;17,83086;17,95325;18,07534;18,09966;18,4578;18,59249;18,71876;18,75676;18,85718;18,97604;19,0118;19,1969;19,23588;19,40811;19,43402;19,753;19,85846;19,89114;20,07986;20,13652;20,35433;20,37567;20,43141;20,71325;20,87703;20,93621;21,01689;21,19745;21,39321;21,55407;22,03621;22,23483;22,436;22,59576;22,99301;23,19883;23,55972;23,71682;24,03208;24,29849;24,57666;24,83206;25,07728;25,31627
0,1776286;0,1776286;0,8072785;0,8072785;1,473283;1,578679;1,799744;2,074027;2,547654;2,547654;2,696995;2,807407;3,026438;3,090056;3,214807;3,419521;3,467488;3,497362;3,70858;3,70858;4,059194;4,107024;4,197304;4,309641;4,386201;4,461232;4,509345;4,599362;4,646605;4,768816;4,843974;5,02663;5,160124;5,160124;5,207808;5,269524;5,449365;5,526745;5,682726;5,846986;5,846986;5,908124;5,949751;6,088026;6,088026;6,328564;6,34373;6,444293;6,460671;6,559542;6,688946;6,879962;6,960378;6,976665;7,121388;7,16979;7,298007;7,314533;7,429895;7,577399;7,70961;7,72528;7,809087;7,908855;7,966712;8,127229;8,127229;8,255745;8,288409;8,426346;8,426346;8,440578;8,661581;8,808664;8,906507;9,016007;9,063268;9,079825;9,289154;9,368353;9,447889;9,589378;9,726032;9,7402;10,00659;10,08846;10,11671;10,24973;10,33664;10,33664;10,47593;10,50408;10,64762;10,70722;10,7836;10,90793;10,90793;11,10625;11,16766;11,31799;11,37017;11,45548;11,50935;11,72956;11,76312;11,88369;11,91726;11,98172;12,14908;12,26986;12,26986;12,36997;12,54866;12,57831;12,67596;12,78419;12,81761;12,92196;13,03735;13,09472;13,12654;13,32911;13,51734;13,56318;13,65778;13,86532;13,87774;14,10931;14,10931;14,18202;14,22816;14,40975;14,52718;14,5854;14,62726;14,7282;14,82707;15,00716;15,0788;15,36794;15,43883;15,46899;15,4976;15,62922;15,80102;15,88625;15,92905;16,12877;16,16024;16,20783;16,4088;16,46713;16,49558;16,58195;16,72939;17,00543;17,18621;17,29989;17,44133;17,66497;17,74797;17,78552;17,90779;17,98253;18,06664;18,18933;18,6302;18,8061;19,0081;19,28521;19,29718;19,48242;19,50628;19,66627;19,78405;19,8463;20,27304;20,42598;20,50972;20,64952;20,84842;20,90138;21,12842;21,34476;21,42887;21,57007;21,76561;21,98643;21,98643;22,38928;22,42765;22,75774;22,8483;23,16316;23,25022;23,43865;23,78659;24,39003;24,72338;25,00719
0,6438006;0,9957795;1,297539;1,629573;1,910359;1,99253;2,168739;2,486996;2,711361;2,745269;2,845516;2,845516;3,035338;3,065008;3,205933;3,472789;3,530921;3,664776;3,778249;3,936576;4,09827;4,191125;4,349864;4,50788;4,525207;4,698089;4,790765;4,97829;4,97829;5,11834;5,198079;5,397745;5,492213;5,646579;5,733667;5,877443;5,890538;5,987897;6,103987;6,214259;6,385274;6,498835;6,61205;6,64536;6,678686;6,768222;6,904992;6,93674;7,103553;7,135815;7,277295;7,338372;7,585345;7,649282;7,706219;7,790071;7,884624;7,901292;8,156665;8,231501;8,335481;8,397403;8,504177;8,59819;8,74782;8,778291;8,790462;8,897756;8,958532;9,107703;9,152192;9,318734;9,318734;9,587434;9,679354;9,711833;9,819856;9,850793;9,89611;10,11931;10,17946;10,25105;10,35812;10,44645;10,47663;10,47663;10,60998;10,77216;10,80348;10,87904;11,06938;11,1579;11,21952;11,36545;11,6159;11,6159;11,6159;11,81969;11,93623;11,97932;12,09699;12,19875;12,27794;12,40551;12,47651;12,57946;12,65114;12,69699;12,89555;12,91259;13,05898;13,15822;13,31549;13,41795;13,57721;13,59081;13,67643;13,7904;13,86579;13,89734;14,05692;14,05692;14,21736;14,31623;14,4564;14,52796;14,61662;14,71703;14,78611;14,85634;14,86928;15,05286;15,09604;15,24981;15,41844;15,48701;15,57028;15,58502;15,62684;15,77939;15,8484;15,99961;15,99961;16,1084;16,23605;16,23605;16,35923;16,45251;16,53738;16,55053;16,76904;16,79761;16,79761;16,95811;17,35787;17,51826;17,57114;17,61146;17,77755;17,89988;17,99613;18,13516;18,13516;18,22851;18,33492;18,55786;18,76849;18,79613;19,05723;19,1384;19,1384;19,41954;19,45829;19,57597;19,58734;19,89557;19,89557;20,07623;20,19245;20,35655;20,53913;20,57883;20,91904;20,91904;21,15694;21,39738;21,39738;21,49787;21,79921;21,91383;22,13796;22,17731;22,47431;22,73596;22,99527;23,27975;23,51799;24,05603;24,99621;25,31319
0,02;1,367657;1,978635;2,038187;2,171079;2,218795;2,412017;2,489924;2,596759;2,716284;2,779335;2,898843;2,995927;3,188339;3,307741;3,399145;3,458649;3,578109;3,699708;3,997287;4,176854;4,176854;4,279985;4,356355;4,532382;4,564708;4,611581;4,79226;4,998108;5,157576;5,238072;5,238072;5,345975;5,424883;5,53624;5,549222;5,790743;6,026171;6,07945;6,236921;6,236921;6,392498;6,545411;6,593904;6,593904;6,789452;6,826705;6,965651;7,018542;7,097278;7,15929;7,249416;7,405903;7,438273;7,468571;7,759472;7,805546;7,896827;7,927703;8,038367;8,146177;8,178081;8,239517;8,479237;8,479237;8,677236;8,8581;8,93039;9,007493;9,236812;9,266307;9,35849;9,448146;9,448146;9,55609;9,705578;9,765663;9,826065;10,02464;10,02464;10,14472;10,24965;10,42841;10,5352;10,57863;10,63963;10,69831;10,84536;10,87653;10,93664;11,05237;11,09822;11,21891;11,30638;11,33648;11,49703;11,55661;11,58649;11,71919;11,74805;11,81157;11,82849;12,01939;12,05268;12,11564;12,28871;12,31956;12,55122;12,59674;12,62555;12,75591;12,95603;12,96942;13,11517;13,25939;13,25939;13,41487;13,41487;13,42809;13,49971;13,62806;13,78812;13,81894;14,00695;14,03685;14,14827;14,19665;14,29688;14,39686;14,47996;14,47996;14,63632;14,73458;14,91901;15,07589;15,11862;15,11862;15,3994;15,45649;15,55188;15,67897;15,74984;15,779;15,93464;16,0347;16,07657;16,27126;16,3572;16,57646;16,75703;16,83982;16,87841;17,02761;17,09676;17,23098;17,25946;17,32643;17,57126;17,59937;17,77635;17,82875;17,97865;17,97865;18,17877;18,21878;18,41776;18,49641;18,61807;18,67101;18,7498;18,908;18,94601;19,01431;19,21329;19,25475;19,43694;19,5146;19,878;20,05796;20,09692;20,1748;20,27585;20,53417;20,63836;20,77787;20,77787;21,05636;21,05636;21,23005;21,51984;21,53158;21,81839;21,85596;21,99432;22,219;22,31828;22,5557;22,57981;23,25569;23,51335
0,1049176;0,653735;1,241717;1,241717;1,49978;1,551935;1,63365;1,78164;2,161325;2,161325;2,352079;2,543226;2,67381;2,766484;2,834367;2,992174;3,024973;3,202193;3,252224;3,449014;3,465178;3,56144;3,687054;4,051696;4,163395;4,274951;4,368389;4,479979;4,526555;4,604968;4,853938;4,884497;4,961851;5,173229;5,263714;5,45283;5,500341;5,59387;5,75253;5,846014;5,893877;5,972643;6,127209;6,143431;6,311936;6,326794;6,434795;6,601654;6,708575;6,786056;6,925468;6,973437;7,034593;7,114356;7,273466;7,303633;7,532974;7,532974;7,532974;7,594607;7,764123;7,81104;7,88644;7,99417;8,067443;8,113173;8,202357;8,415091;8,474995;8,488117;8,672647;8,883416;8,960313;9,110758;9,15419;9,184865;9,324942;9,535234;9,611625;9,641407;9,794879;9,97324;10,03383;10,04784;10,24122;10,27233;10,28599;10,45083;10,51379;10,6325;10,8532;10,88222;10,91288;11,12106;11,12106;11,2534;11,39078;11,49316;11,58146;11,68461;11,78665;11,80136;11,97453;12,10537;12,10537;12,13465;12,31138;12,41296;12,41296;12,61362;12,73254;12,8506;12,8506;12,9222;12,95307;13,15518;13,21287;13,52099;13,55047;13,59351;13,64839;13,75227;13,91168;14,11337;14,1261;14,18333;14,28195;14,4508;14,56269;14,82763;14,95511;14,98297;15,06806;15,19492;15,30651;15,43407;15,43407;15,53124;15,62909;15,76646;15,8934;16,03179;16,07444;16,30673;16,51006;16,59378;16,6513;16,78988;16,8847;16,91326;17,13362;17,27206;17,3254;17,35386;17,49112;17,68183;17,79197;17,97395;17,97395;18,11208;18,19418;18,20711;18,2488;18,49022;18,53021;18,57029;18,65031;18,93183;18,94358;19,09095;19,16922;19,36275;19,65209;19,65209;19,87329;19,95186;20,13468;20,13468;20,30364;20,41077;20,4745;20,73334;20,7456;20,99038;21,02966;21,31015;21,57463;21,61473;21,79101;21,98973;22,20247;22,48809;22,55167;22,75387;23,15328;23,2517;23,5122;24,05069;24,1746;24,48798
0,7052905;1,215057;1,30208;1,456543;1,715212;1,98683;2,115839;2,195704;2,433572;2,575561;2,621813;2,6539;2,828565;2,87688;3,065174;3,267678;3,302258;3,350556;3,467654;3,7154;3,7154;3,919754;4,066299;4,114172;4,255146;4,334408;4,475864;4,475864;4,554393;4,647881;4,773903;4,867006;4,945188;5,0854;5,213699;5,227194;5,416012;5,482111;5,703515;5,735278;5,875457;5,984492;6,15165;6,271294;6,287572;6,503658;6,643234;6,675014;6,748994;6,842356;6,966059;7,013731;7,072572;7,184096;7,356071;7,43469;7,535653;7,570115;7,654985;7,669599;7,856915;8,083764;8,145619;8,31365;8,372972;8,49449;8,616364;8,704604;8,735866;8,825131;8,990382;9,036814;9,172583;9,293894;9,535692;9,643354;9,762787;9,853774;9,914192;9,97494;10,0357;10,33432;10,36407;10,42275;10,51216;10,63019;10,73487;10,79511;10,95696;10,97037;11,03444;11,03444;11,24287;11,27236;11,49337;11,49337;11,62362;11,76918;11,81559;11,94524;11,98978;12,09332;12,09332;12,13681;12,20951;12,48387;12,55697;12,61532;12,67281;12,84553;12,87516;13,03054;13,07438;13,19024;13,24623;13,435;13,435;13,4928;13,4928;13,76496;13,91669;14,01572;14,2156;14,24381;14,31617;14,41416;14,45621;14,65335;14,71287;14,71287;14,7826;15,03594;15,09223;15,20888;15,30922;15,43586;15,44853;15,63008;15,67314;15,86705;16,01148;16,15445;16,21184;16,55575;16,70922;16,83676;16,83676;17,04755;17,13271;17,28386;17,35472;17,43678;17,533;17,83283;17,99584;17,99584;18,15543;18,27701;18,33274;18,5053;18,57499;18,66629;18,81512;18,97344;19,02687;19,23242;19,36391;19,5131;19,59407;19,91169;20,0144;20,23347;20,31155;20,39205;20,4315;20,73619;20,77475;20,9335;21,01204;21,21638;21,22989;21,37171;21,61576;21,81635;21,89229;22,14471;22,19559;22,47421;22,53693;22,77669;22,91427;23,26704;23,36763;23,70478;24,13634;24,1738;24,39564;24,75183;25,19543;25,45473
1,019205;1,480947;1,879743;2,059193;2,235712;2,317065;2,446516;2,479005;2,669564;2,767297;2,917996;3,048177;3,048177;3,157353;3,299483;3,348656;3,457362;3,566937;3,646809;3,754785;3,802325;3,974887;4,088633;4,168441;4,357295;4,390381;4,49787;4,639801;4,71784;4,878445;4,9903;5,22611;5,289483;5,335613;5,495017;5,557475;5,60782;5,687903;5,750033;5,876288;5,988423;5,988423;6,142742;6,267975;6,329487;6,481286;6,558613;6,715472;6,807092;6,868262;7,101566;7,147586;7,176651;7,206889;7,402921;7,466858;7,588759;7,663751;7,67955;7,956124;8,001788;8,127375;8,21726;8,368662;8,368662;8,566038;8,627936;8,718493;8,77812;8,855665;9,087231;9,134665;9,301904;9,407991;9,407991;9,498076;9,588316;9,679013;9,889402;9,917781;10,00957;10,02395;10,18827;10,24828;10,36583;10,36583;10,45675;10,55104;10,60524;10,79576;10,79576;10,87008;10,98794;11,19629;11,26889;11,29844;11,38775;11,57777;11,66779;11,66779;11,81556;11,96821;12,18774;12,38875;12,44792;12,54983;12,60924;12,75563;12,84179;12,93513;13,06541;13,18922;13,3061;13,34897;13,44958;13,50774;13,66768;13,76792;13,76792;13,94049;13,96965;14,09771;14,18235;14,2282;14,39827;14,52667;14,58452;14,76934;14,78276;14,84266;15,1277;15,19796;15,33915;15,38239;15,50975;15,60702;15,64896;15,84689;15,92462;16,02511;16,02511;16,30837;16,50372;16,62364;16,68873;16,70196;16,84229;17,08795;17,18612;17,26988;17,3431;17,39002;17,56861;17,8286;17,88267;18,04847;18,1456;18,34971;18,64682;18,64682;18,76604;18,95037;19,08643;19,1285;19,20973;19,38713;19,4253;19,4253;19,63007;19,82972;19,82972;20,08708;20,20542;20,34863;20,38644;20,42757;20,76584;20,80302;21,02715;21,02715;21,26798;21,42343;21,57702;21,6039;21,81663;21,91985;22,12681;22,22744;22,38851;22,52847;22,85017;22,8998;23,08793;23,36408;23,48693;23,64997;23,64997;23,88577;24,68654;24,94444
0,02;0,6299055;0,6299055;0,9637982;1,651421;1,937329;2,303235;2,410603;2,565296;2,644798;2,747828;2,870558;2,930184;3,08692;3,215406;3,296448;3,377161;3,532591;3,610903;3,627932;3,798514;3,828227;3,93572;4,067757;4,111427;4,245181;4,278045;4,427536;4,516335;4,711286;4,828166;4,856713;4,949248;5,093483;5,167532;5,258256;5,338626;5,417567;5,417567;5,587287;5,619099;5,698729;5,805923;6,03867;6,11626;6,286454;6,317912;6,457567;6,577773;6,639628;6,775952;6,775952;6,789309;6,959929;7,117397;7,146091;7,195639;7,307126;7,352388;7,427472;7,459302;7,579985;7,656163;7,729797;7,776335;7,852082;8,046076;8,078662;8,078662;8,198779;8,317905;8,346931;8,408381;8,559852;8,605771;8,638067;8,995908;9,05981;9,089622;9,212643;9,212643;9,332163;9,378543;9,49713;9,49713;9,659498;9,673595;9,79033;9,850535;9,999113;10,15945;10,17363;10,27991;10,29419;10,41079;10,57435;10,61987;10,79167;10,87958;10,9387;10,9387;11,09867;11,18646;11,33566;11,33566;11,44955;11,56627;11,62581;11,72664;11,82579;11,89935;11,96498;12,03821;12,09533;12,23877;12,25125;12,46814;12,55648;12,67165;12,68589;12,85747;12,85747;13,05533;13,09893;13,16894;13,326;13,39709;13,43978;13,59618;13,62502;13,66786;13,8257;13,966;13,99546;14,09444;14,13722;14,48738;14,65755;14,69891;14,97561;15,15631;15,2657;15,36994;15,41643;15,55434;15,59598;15,67892;15,95471;16,07793;16,11854;16,11854;16,35059;16,37882;16,59744;16,77492;16,85599;16,93765;17,15587;17,19569;17,43889;17,43889;17,4791;17,63777;17,75792;17,83836;17,9973;18,1949;18,31538;18,43399;18,43399;18,69638;18,77612;18,99457;19,0344;19,22717;19,39708;19,53884;19,65574;19,8355;20,13602;20,17388;20,19858;20,51774;20,59523;20,83596;20,97565;21,2536;21,27836;21,45746;21,49469;21,85765;21,95753;22,09591;22,35785;22,43253;22,55898;22,68995;22,85462;23,17683;23,55867
1,179237;1,228898;1,588019;1,827097;2,00156;2,347951;2,456846;2,635207;2,635207;2,902938;3,095201;3,157933;3,318944;3,446228;3,555978;3,76686;3,780504;3,98643;4,001109;4,179979;4,179979;4,297583;4,508482;4,508482;4,756443;4,820971;4,947833;5,248484;5,327909;5,421333;5,547232;5,577876;5,627814;5,828762;5,828762;5,908362;6,067585;6,146307;6,208161;6,269134;6,527491;6,6376;6,653778;6,748095;6,761989;6,968319;7,014891;7,014891;7,218966;7,327171;7,388858;7,388858;7,481316;7,66633;7,804028;7,886959;7,961994;8,117442;8,163805;8,163805;8,287841;8,419614;8,568636;8,568636;8,614258;8,73548;8,787903;8,926069;9,017547;9,187121;9,24704;9,386935;9,507184;9,555236;9,654612;9,688493;9,804795;9,839491;10,00883;10,00883;10,19883;10,26614;10,32542;10,33874;10,46886;10,54711;10,55923;10,7081;10,76923;10,84682;11,02166;11,12646;11,24591;11,42485;11,48501;11,68784;11,68784;11,78871;11,78871;11,96608;12,0375;12,32921;12,48616;12,54634;12,64902;12,7073;12,7073;12,92736;13,08434;13,09685;13,22636;13,2393;13,28545;13,45518;13,58724;13,68855;13,74903;13,82382;13,90912;13,96526;14,16514;14,16514;14,30908;14,33813;14,5078;14,57968;14,62151;14,81993;14,97739;15,07826;15,24805;15,24805;15,34777;15,47422;15,73837;15,76748;16,12905;16,28201;16,29625;16,42213;16,52374;16,67547;16,67547;16,85799;17,10783;17,17949;17,20863;17,23598;17,43261;17,5049;17,65446;17,69669;17,76632;17,807;18,03857;18,03857;18,24057;18,32334;18,44781;18,4603;18,66006;18,7405;18,96835;19,09405;19,40035;19,42717;19,46785;19,62893;19,74856;20,04496;20,20471;20,21762;20,30882;20,36352;20,62344;20,6998;20,88161;20,92009;20,98692;21,16761;21,28358;21,2963;21,42379;21,50043;21,56574;21,71758;21,84619;21,94801;22,08628;22,12504;22,28741;22,38827;22,59965;22,66317;22,82512;22,96556;23,14724;23,24759;23,88647;24,14367
1,267338;1,459604;1,668378;2,033097;2,118181;2,271975;2,289645;2,586695;2,722397;2,824182;3,016726;3,202965;3,202965;3,415402;3,549613;3,73916;4,205429;4,335492;4,335492;4,525264;4,583621;4,652732;4,776763;4,787685;4,861793;5,070547;5,187236;5,344789;5,344789;5,684235;5,857572;5,975042;6,339827;6,352269;6,479948;6,59641;6,59641;6,72165;6,794353;6,958708;6,986824;7,0983;7,327201;7,357116;7,453895;7,567383;7,598504;7,712634;7,79901;8,018557;8,018557;8,176815;8,271684;8,401028;8,453307;8,651362;8,667839;8,743258;8,828502;8,898243;8,937552;9,052177;9,115964;9,14324;9,285457;9,400599;9,447285;9,544141;9,61867;9,61867;9,915244;9,931663;10,0478;10,10738;10,20655;10,3514;10,63939;10,65747;10,65747;10,78915;11,02899;11,11787;11,15287;11,27334;11,32714;11,47036;11,55147;11,6742;11,71764;11,77443;11,85703;12,01274;12,09496;12,26715;12,33443;12,33443;12,49248;12,49248;12,61561;12,76458;12,76458;12,9921;13,01825;13,09809;13,65632;13,68791;13,79295;13,85468;13,91258;13,97951;14,05805;14,06946;14,25514;14,29584;14,3353;14,34976;14,61557;14,65858;14,7175;14,73133;14,90936;14,94988;15,24876;15,33757;15,44864;15,49107;15,63842;15,66718;15,71227;15,7687;15,93611;16,27584;16,27584;16,39964;16,39964;16,61679;16,8981;16,95411;17,03818;17,16634;17,31862;17,34715;17,41806;17,59735;17,73834;17,87842;17,97779;18,13892;18,33424;18,39837;18,47321;18,59884;18,7485;18,77566;18,77566;19,03634;19,28931;19,35487;19,41717;19,45482;19,63081;19,75786;19,79747;19,8719;20,01877;20,11902;20,25527;20,47675;20,53754;20,61263;20,81184;20,93299;21,07373;21,11533;21,27288;21,35953;21,55607;21,69319;21,79392;21,91685;22,03822;22,13751;22,29386;22,67578;22,71292;22,93572;23,15279;23,47136;23,53313;23,71347;23,95547;24,12647;24,27697;24,47588;24,5386;24,79856;24,9732;25,8199;26,10959;26,5333
