Personne 0;Personne 1;Personne 2;Personne 3;Personne 4;Personne 5;Personne 6;Personne 7;Personne 8;Personne 9;Personne 10;Personne 11;Personne 12;Personne 13;Personne 14;Personne 15;Personne 16;Personne 17;Personne 18;Personne 19;Personne 20;Personne 21;Personne 22;Personne 23;Personne 24;Personne 25;Personne 26;Personne 27;Personne 28;Personne 29;Personne 30;Personne 31;Personne 32;Personne 33;Personne 34;Personne 35;Personne 36;Personne 37;Personne 38;Personne 39;Personne 40;Personne 41;Personne 42;Personne 43;Personne 44;Personne 45;Personne 46;Personne 47;Personne 48;Personne 49;Personne 50;Personne 51;Personne 52;Personne 53;Personne 54;Personne 55;Personne 56;Personne 57;Personne 58;Personne 59;Personne 60;Personne 61;Personne 62;Personne 63;Personne 64;Personne 65;Personne 66;Personne 67;Personne 68;Personne 69;Personne 70;Personne 71;Personne 72;Personne 73;Personne 74;Personne 75;Personne 76;Personne 77;Personne 78;Personne 79;Personne 80;Personne 81;Personne 82;Personne 83;Personne 84;Personne 85;Personne 86;Personne 87;Personne 88;Personne 89;Personne 90;Personne 91;Personne 92;Personne 93;Personne 94;Personne 95;Personne 96;Personne 97;Personne 98;Personne 99;Personne 100;Personne 101;Personne 102;Personne 103;Personne 104;Personne 105;Personne 106;Personne 107;Personne 108;Personne 109;Personne 110;Personne 111;Personne 112;Personne 113;Personne 114;Personne 115;Personne 116;Personne 117;Personne 118;Personne 119;Personne 120;Personne 121;Personne 122;Personne 123;Personne 124;Personne 125;Personne 126;Personne 127;Personne 128;Personne 129;Personne 130;Personne 131;Personne 132;Personne 133;Personne 134;Personne 135;Personne 136;Personne 137;Personne 138;Personne 139;Personne 140;Personne 141;Personne 142;Personne 143;Personne 144;Personne 145;Personne 146;Personne 147;Personne 148;Personne 149;Personne 150;Personne 151;Personne 152;Personne 153;Personne 154;Personne 155;Personne 156;Personne 157;Personne 158;Personne 159;Personne 160;Personne 161;Personne 162;Personne 163;Personne 164;Personne 165;Personne 166;Personne 167;Personne 168;Personne 169;Personne 170;Personne 171;Personne 172;Personne 173;Personne 174;Personne 175;Personne 176;Personne 177;Personne 178;Personne 179;Personne 180;Personne 181;Personne 182;Personne 183;Personne 184;Personne 185;Personne 186;Personne 187;Personne 188;Personne 189;Personne 190;Personne 191;Personne 192;Personne 193;Personne 194;Personne 195;Personne 196;Personne 197;Personne 198;Personne 199
0,02;1,09659;1,153372;1,489904;1,616876;1,796804;1,937825;1,949889;2,236757;2,329878;2,734643;2,734643;3,01547;3,118877;3,396923;3,648057;3,854685;3,884799;4,007679;4,058829;4,188119;4,366891;4,538696;4,538696;4,736634;4,79231;5,028591;5,217727;5,317469;5,416321;5,648509;5,708931;5,825824;5,898119;5,987375;6,098948;6,187029;6,275917;6,334071;6,413516;6,593755;6,938151;7,028663;7,217139;7,319812;7,599835;7,810307;7,855381;7,997788;7,997788;8,173205;8,217525;8,386546;8,446542;8,634984;8,738172;8,897574;8,897574;9,05672;9,197847;9,197847;9,377312;9,377312;9,628689;9,774534;9,816943;9,971424;9,999972;10,22803;10,25763;10,41759;10,49211;10,59789;10,75621;10,81678;10,93887;10,96654;11,0786;11,2339;11,29084;11,39026;11,61432;11,62792;11,8121;11,82783;12,02801;12,05773;12,25914;12,32984;12,44542;12,51753;12,61964;12,8186;12,8474;12,96777;13,01235;13,11088;13,16737;13,29567;13,45617;13,55834;13,60396;13,80972;13,85147;13,97717;14,0967;14,13701;14,407;14,49791;14,7096;14,87832;14,87832;15,05538;15,06704;15,23664;15,24796;15,379;15,49442;15,53273;15,67389;15,77897;16,25593;16,29555;16,49407;16,63924;16,67962;16,81162;16,85383;17,03732;17,19754;17,39406;17,53786;17,61615;17,73544;17,79849;18,03563;18,04725;18,23434;18,27471;18,39078;18,45808;18,63803;18,81958;18,89756;18,97453;19,07977;19,13105;19,27609;19,39369;19,57236;19,67748;19,86945;19,90832;20,07266;20,07266;20,27457;20,41811;20,45529;20,61897;20,73433;20,92762;20,95541;21,09743;21,13883;21,41449;21,43972;21,57729;21,76903;21,76903;21,95587;21,95587;22,23502;22,27767;22,4073;22,47271;22,69777;22,71031;22,97544;23,27786;23,45614;23,60985;23,74861;23,85416;23,97561;24,07517;24,17315;24,43375;24,55555;24,71167;24,95403;25,01327;25,22889;25,25443;25,45933;27,1585;27,45606;27,6989;28,236;28,51894;28,81422
1,43903;1,691972;1,7912;2,240545;2,700222;3,063548;3,090749;3,344072;3,508734;3,55119;3,8233;3,899421;4,004732;4,082924;4,270787;4,333441;4,491253;4,585323;4,912191;5,101023;5,101023;5,265382;5,384315;5,429585;5,639833;5,671153;5,832969;5,890146;6,002441;6,271947;6,285305;6,447835;6,487123;6,63045;6,667724;6,851221;7,050138;7,06372;7,227426;7,227426;7,552283;8,026879;8,160937;8,306308;8,452127;8,568073;8,60798;8,762857;8,829646;9,012325;9,169179;9,222513;9,430366;9,470829;9,633398;9,830561;9,987035;10,07075;10,25003;10,32703;10,4295;10,57194;10,64942;10,75065;10,86923;10,9656;11,10563;11,30013;11,3717;11,52595;11,58596;11,70335;11,80557;11,87034;11,98741;12,02548;12,16857;12,31002;12,59155;12,7315;12,84494;12,96974;12,98285;13,16917;13,18073;13,3316;13,46744;13,50919;13,67119;13,87169;13,87169;14,00881;14,07088;14,14959;14,26144;14,28653;14,44801;14,44801;14,6103;14,68338;15,12644;15,37128;15,54894;15,6402;15,7671;15,82893;15,98692;16,01161;16,18647;16,18647;16,36219;16,45178;16,52455;16,65307;16,74943;16,9719;17,0473;17,23013;17,462;17,6224;17,6224;17,75292;17,82744;17,88783;18,02564;18,11067;18,18686;18,32479;18,4737;18,64431;18,88758;19,03269;19,16859;19,32635;19,32635;19,50817;19,66387;19,82763;19,86809;20,12968;20,12968;20,25214;20,31166;20,46727;20,67262;20,86362;20,9235;21,09183;21,15074;21,27005;21,33012;21,44879;21,65217;22,04855;22,25173;22,40265;22,68465;22,91004;23,13191;23,47303;23,64961;23,90964;24,11376;24,60714;24,83083;24,99376;25,30919;25,51143;25,71055;26,03354;26,46867;26,7294;27,0649;27,23315;27,40591;27,56619;27,9455;28,14579;28,48772;28,70043;29,0331;29,53074;29,76825;30,16529;30,3864;30,59243;30,79992;31,14961;31,30939;31,48504;32,37057;32,65164;32,87127;33,09361;33,31364;33,69344;33,90265;34,20469;34,98829;35,4499
0,8230546;1,342688;1,608332;1,976999;2,00995;2,279235;2,390628;2,4894;2,581553;2,658736;2,909635;2,909635;3,107339;3,150682;3,344407;3,451887;3,622699;3,746867;3,922805;3,955941;4,16911;4,182809;4,659225;4,719999;4,902761;4,947653;5,149881;5,351767;5,499788;5,608336;5,637757;5,830899;5,830899;5,988345;6,161932;6,161932;6,364792;6,398104;6,565014;6,737252;6,737252;7,008865;7,082936;7,236886;7,391589;7,547795;7,671109;7,869509;8,064598;8,107972;8,347238;8,518041;8,58918;8,723707;8,787799;8,971906;8,971906;9,167357;9,246727;9,41883;9,447659;9,558791;9,651796;9,707278;9,890584;10,08212;10,21088;10,3272;10,39915;10,50235;10,60914;10,7499;11,12865;11,24929;11,34501;11,47123;11,57007;11,72949;11,77106;12,00654;12,16127;12,35141;12,68786;12,68786;12,86734;12,91164;13,0505;13,22369;13,40019;13,40019;13,59078;13,60479;13,76837;13,87093;13,92888;14,08361;14,09853;14,22765;14,27125;14,38553;14,48833;14,54633;14,82293;14,87836;15,02729;15,18995;15,20315;15,36117;15,42719;15,52184;15,69144;15,79102;15,84892;15,98316;16,00921;16,14109;16,28268;16,3244;16,47938;16,50775;16,65067;16,70682;16,85965;16,88869;17,0707;17,11071;17,28731;17,53178;17,53178;17,69985;17,69985;17,88723;18,09107;18,22894;18,34084;18,44959;18,53864;18,60548;18,77091;18,8485;18,94212;19,0288;19,12512;19,23131;19,29043;19,446;19,56936;19,63091;19,73173;19,85189;20,04968;20,18838;20,3678;20,47073;20,53873;20,70259;20,72977;20,90884;21,02072;21,09126;21,24764;21,33055;21,42802;21,56448;21,68997;21,85899;21,96908;22,01071;22,14982;22,20349;22,44;22,52122;22,68816;22,72769;22,88326;22,90821;23,12716;23,37137;23,55067;23,60208;23,77104;23,83148;23,99165;24,1249;24,21012;24,28415;24,38791;24,60113;24,60113;24,77154;24,94446;25,37164;25,66536;25,8665;26,17032;26,34083;26,46319;26,52108;27,32488;27,55138
0;0,1427779;1,065626;1,38069;1,695739;1,889121;2,003874;2,148983;2,418125;2,621156;2,729322;2,808308;2,948258;2,948258;3,29429;3,340599;3,528445;3,542139;3,703093;3,858239;3,873649;3,997241;4,107159;4,169324;4,258573;4,38512;4,509286;4,65995;4,707793;4,815629;4,998305;5,208494;5,407584;5,469319;5,608795;5,638979;5,785753;5,846061;6,177847;6,225688;6,347697;6,36095;6,498672;6,578382;6,657433;6,808809;6,864322;7,02774;7,040449;7,202649;7,260868;7,320562;7,501246;7,668287;7,668287;7,848307;7,937606;8,00886;8,146968;8,21246;8,357434;8,468074;8,820575;8,8356;9,016459;9,088845;9,307272;9,307272;9,52401;9,617251;9,737885;9,867846;9,961753;10,14255;10,36685;10,41405;10,54056;10,60747;10,71687;10,84249;10,9088;11,08677;11,10132;11,26025;11,27696;11,43888;11,43888;11,70715;11,85773;12,02918;12,25786;12,48723;12,63941;12,68719;12,84178;12,90641;13,08833;13,13541;13,27492;13,30795;13,47562;13,58557;13,68852;13,85915;13,88408;14,02077;14,06126;14,18698;14,23908;14,32726;14,46702;14,52807;14,67596;14,74385;14,82703;14,97554;15,00387;15,32044;15,56191;15,66705;15,7554;15,92788;15,96885;16,16057;16,34867;16,34867;16,52027;16,58798;16,7601;16,98158;17,06611;17,24776;17,28665;17,44147;17,57565;17,66241;17,75779;17,86319;17,94302;18,08391;18,22797;18,22797;18,40436;18,42778;18,56843;18,64873;18,74704;18,83776;18,90471;19,04791;19,12545;19,24323;19,34867;19,46622;19,60499;19,72131;19,90109;19,99665;20,0823;20,18775;20,27809;20,42661;20,46;20,60795;20,64276;20,80531;20,86341;20,98327;21,01919;21,28506;21,40344;21,5233;21,70496;21,88681;21,90919;22,10256;22,28414;22,38208;22,44827;22,5836;22,62829;22,83808;22,86229;23,01839;23,04108;23,1777;23,22615;23,56128;23,65896;23,76835;23,92319;24,00572;24,16762;24,40758;24,78466;25,49903;26,04337;26,29577;26,60467;26,82818
0,9740466;1,327436;1,327436;1,703385;1,703385;1,989792;2,237772;2,456812;2,456812;2,7383;3,08134;3,238237;3,300864;3,555965;3,745188;3,75842;3,936961;3,953723;4,099681;4,56916;4,6166;4,788221;4,867304;5,025652;5,025652;5,185472;5,279691;5,321442;5,477245;5,506534;5,646926;5,848495;5,862698;6,01783;6,066106;6,175065;6,175065;6,329515;6,468895;6,483152;6,74692;6,898462;6,94062;7,061707;7,185332;7,226758;7,405967;7,459001;7,625231;7,654398;7,779443;7,928011;7,941541;8,095298;8,095298;8,299522;8,475567;8,595824;8,774749;8,849735;8,986053;8,999493;9,229267;9,243243;9,408955;9,6092;9,6092;9,828922;9,828922;10,09508;10,16644;10,36912;10,42803;10,60157;10,77741;10,80868;11,11986;11,14591;11,34113;11,51714;11,66742;11,74799;11,85994;12,14852;12,20862;12,34899;12,34899;12,56362;12,64449;12,78456;12,96734;13,00705;13,10671;13,1477;13,32343;13,34924;13,46778;13,58913;13,60199;13,74031;13,78119;13,94402;13,94402;14,12683;14,12683;14,317;14,48097;14,48097;14,80358;14,8168;14,98849;14,98849;15,2041;15,36675;15,36675;15,54655;15,54655;15,68248;15,72693;15,86234;16,06849;16,12476;16,22527;16,342;16,39717;16,54892;16,64641;16,7889;16,96478;16,97762;17,16334;17,32338;17,52606;17,56869;17,71742;17,96279;18,16703;18,29695;18,42718;18,48803;18,56007;18,72537;18,82588;18,92618;18,95581;19,08694;19,14344;19,25917;19,34497;19,42809;19,53883;19,56579;19,67817;19,74512;19,82792;20,00781;20,16895;20,16895;20,4411;20,51829;20,72698;20,76761;20,88095;20,92489;21,04866;21,14629;21,23988;21,30903;21,42972;21,62698;21,62698;21,87788;21,98741;22,20671;22,32301;22,44973;22,49913;22,68959;22,69945;22,86348;22,94468;23,02424;23,22372;23,46358;23,92237;24,14347;24,34469;24,6041;24,78835;24,94904;25,10662;25,2994;25,48632;25,7235;25,92758;26,14351;26,44966;26,66502;27,18553;27,52436
0,8722814;1,193795;1,331132;1,670827;2,260889;2,551681;2,667655;2,909187;3,099689;3,146571;3,258565;3,491905;3,567288;3,679272;3,868167;3,947135;4,05191;4,302411;4,380033;5,021959;5,146803;5,292866;5,292866;5,433589;5,447738;5,745931;5,933285;6,010644;6,131179;6,206876;6,331614;6,532267;6,710127;6,74039;6,879746;7,03336;7,192794;7,192794;7,344861;7,499365;7,59304;7,657427;7,71973;7,812066;7,868113;8,022561;8,201626;8,232614;8,380481;8,380481;8,558352;8,711728;8,990934;9,139939;9,211304;9,344962;9,407423;9,645819;9,813427;9,932125;9,961958;10,1107;10,16894;10,28613;10,45117;10,56643;10,77913;10,82556;10,96552;11,12442;11,12442;11,29115;11,51016;11,5662;11,83322;11,94901;12,00001;12,1796;12,36529;12,51117;12,5712;12,67096;12,72528;12,81116;12,91233;12,96863;13,14219;13,21047;13,40721;13,58832;13,69074;13,83257;13,83257;13,9738;14,19182;14,22164;14,35843;14,40564;14,59372;14,65059;14,76249;14,93284;15,08053;15,26819;15,49098;15,53293;15,72978;15,81347;15,91091;16,05156;16,23186;16,47253;16,47253;16,65032;16,6793;16,81289;16,93072;16,99339;17,15365;17,16583;17,28166;17,35338;17,46013;17,55348;17,6332;17,76584;17,84935;17,94639;18,23364;18,58867;18,8116;18,89249;19,04361;19,11019;19,19293;19,29218;19,36126;19,4218;19,55191;19,56249;19,73017;19,96834;20,06825;20,13053;20,2893;20,35163;20,46755;20,52668;20,73181;20,92908;21,04383;21,17029;21,28172;21,32934;21,46783;21,94331;22,05225;22,21231;22,60948;22,82633;22,82633;22,96809;23,12678;23,15078;23,39097;23,53182;23,61208;23,69124;23,78842;23,8627;23,9679;24,0704;24,14713;24,32744;24,4936;24,52006;24,74956;24,90741;24,96935;25,12949;25,12949;25,31291;25,53219;25,71182;25,7703;25,88354;25,98774;26,25212;26,35139;26,45359;26,59073;26,65106;26,82639;26,84893;27,10728;28,03218;28,19049;28,42739;28,64427;28,88902
0,1234568;1,380711;1,510847;1,670881;1,827698;1,973519;2,213148;2,739038;3,045438;3,045438;3,250105;3,326178;3,512671;3,589513;3,793108;3,871131;3,966656;4,044211;4,198781;4,198781;4,367504;4,431519;4,680075;4,790729;4,941149;5,170059;5,371021;5,460546;5,569643;5,631521;5,751521;5,81331;6,025206;6,127121;6,19204;6,32369;6,365221;6,56138;6,593854;6,871055;7,046244;7,221987;7,32294;7,489559;7,611146;7,611146;7,73181;7,821955;7,881581;8,044865;8,092278;8,233377;8,651186;8,799688;8,891059;8,963423;9,173294;9,260353;9,349304;9,448338;9,521518;9,699698;9,849129;9,893428;10,04352;10,10015;10,37223;10,38534;10,60377;10,63381;10,8121;10,87214;11,00703;11,06765;11,21088;11,25339;11,37141;11,42899;11,51332;11,60111;11,63078;11,74291;11,83045;11,87113;11,98545;12,1306;12,1306;12,29008;12,4395;12,60922;12,62212;12,76906;12,78171;12,97037;13,03105;13,2117;13,25327;13,39245;13,52849;13,62493;13,78148;14,0419;14,10675;14,2338;14,2911;14,40961;14,45325;14,60102;14,62856;14,80806;15,0114;15,14912;15,18984;15,37258;15,55011;15,72367;15,93091;16,04702;16,11203;16,27118;16,42955;16,44188;16,61103;16,61103;16,78639;16,78639;16,97251;17,13067;17,14157;17,35182;17,49293;17,52858;17,71193;17,72409;18,26939;18,33128;18,41106;18,46589;18,57073;18,68403;18,78063;18,8695;19,17295;19,23285;19,43191;19,58601;19,66801;19,83387;19,90964;20,01195;20,15307;20,188;20,33315;20,52885;20,52885;20,68906;20,68906;20,89145;20,9916;21,18604;21,42845;21,49348;21,62922;21,80188;21,98965;22,08845;22,17207;22,30617;22,36786;22,49091;22,78814;22,98309;23,15313;23,39297;23,66592;23,91009;24,05039;24,22914;24,63183;24,84635;25,25023;25,53249;25,78943;25,9882;26,18706;26,36935;26,59015;26,76642;27,0119;27,26624;27,46697;27,85207;28,33006;28,59286;28,86976;29,09293;29,68526;29,96693;30,68657;31,0538
1,131484;1,285636;1,493326;1,634579;1,667351;1,840781;1,93674;2,15846;2,291937;2,607229;3,15653;3,278741;3,48532;3,498977;3,672453;3,703541;3,856416;4,01051;4,107465;4,214169;4,45543;4,625782;4,655969;4,795088;4,840914;4,962949;5,119143;5,166016;5,318534;5,335648;5,524041;5,524041;5,706895;5,89402;5,986806;6,06241;6,1389;6,320612;6,555222;6,720315;6,871663;7,103384;7,206854;7,261453;7,377197;7,425239;7,559655;7,575066;7,741391;7,816819;7,978784;8,266812;8,295604;8,466888;8,479503;8,620266;8,620266;8,807203;8,964417;9,020679;9,124701;9,266616;9,463033;9,507991;9,648035;9,706382;9,802087;9,959884;9,975229;10,23671;10,28095;10,39887;10,41403;10,54774;10,57655;10,75852;10,9159;10,94778;11,34133;11,40214;11,54655;11,54655;11,70492;11,90453;12,07615;12,1857;12,38213;12,56598;12,60785;12,74576;12,79906;12,98175;13,06315;13,12497;13,22472;13,26581;13,39259;13,42441;13,54665;13,65547;13,77891;13,83621;13,98461;13,98461;14,13534;14,27832;14,5448;14,60408;14,87409;14,90347;15,09972;15,28686;15,36787;15,50551;15,51835;15,68092;15,84716;15,84716;16,08617;16,1272;16,30304;16,35562;16,52684;16,62006;16,69724;16,86528;16,86528;17,10398;17,18639;17,36317;17,36317;17,50308;17,66542;17,7065;17,86653;18,03938;18,06759;18,28436;18,28436;18,52456;18,56464;18,88364;18,92415;19,06269;19,10659;19,21694;19,31688;19,4005;19,5191;19,54273;19,72197;19,72197;19,92783;20,0651;20,07538;20,21779;20,26603;20,40736;20,50644;20,5829;20,74323;20,76664;20,91706;21,1963;21,36417;21,44538;21,64109;21,70577;21,80493;21,97537;22,00152;22,16404;22,22033;22,38426;22,38426;22,564;22,67769;22,85744;22,88166;23,0806;23,20226;23,41894;23,44153;23,63956;23,68231;23,83907;23,90061;24,07784;24,22549;24,30441;24,51968;24,62139;24,67788;25,04044;25,28416;25,68615;26,04661;26,3878;26,76525;27,09921
0,1323158;0,804664;1,204246;1,469022;1,486749;1,988124;2,156022;2,267561;2,524309;2,686687;2,800252;2,994497;3,071562;3,171411;3,322504;3,474097;3,555664;3,620915;3,720342;3,786798;3,903114;4,056665;4,056665;4,237196;4,237196;4,385579;4,451231;4,667587;4,854686;4,968028;5,00375;5,121877;5,269727;5,355654;5,43478;5,4821;5,62228;5,836528;5,914771;6,007055;6,083091;6,313798;6,372771;6,508617;6,525063;6,664455;6,855366;6,934257;7,12533;7,185184;7,306526;7,350488;7,505947;7,747185;7,994354;8,176963;8,274106;8,411403;8,514404;8,61539;8,755984;8,78442;8,967582;8,967582;9,196377;9,196377;9,615293;9,822593;9,926667;10,06273;10,25295;10,3071;10,70387;10,73453;11,00657;11,00657;11,16493;11,16493;11,33205;11,47321;11,47321;11,6;11,68256;11,72997;11,91495;11,93025;12,04283;12,16405;12,31625;12,33082;12,4726;12,51688;12,71345;12,72668;12,89259;12,93133;13,07325;13,08605;13,21171;13,24901;13,33551;13,40547;13,46952;13,557;13,60903;13,75082;13,76288;13,88873;14,03096;14,16761;14,30621;14,4294;14,47274;14,73399;14,77489;14,91307;14,95527;15,04954;15,18701;15,35512;15,51705;15,51705;15,79381;15,85474;16,03399;16,17085;16,25385;16,41064;16,47163;16,63476;16,63476;16,83222;16,9256;16,9949;17,11678;17,14389;17,29259;17,38805;17,6517;17,66352;17,87185;17,97467;18,08684;18,25561;18,25561;18,41233;18,49129;18,59583;18,65317;18,89407;18,89407;19,07577;19,27516;19,2868;19,43517;19,43517;19,61721;19,61721;19,8171;19,934;20,04885;20,13044;20,21185;20,33352;20,42611;20,57368;20,69082;20,73302;20,93541;21,0333;21,13268;21,23489;21,31525;21,53305;21,93546;22,07364;22,22812;22,44889;22,49392;22,59582;22,71129;22,78884;22,96984;22,96984;23,13718;23,1938;23,29143;23,43382;24,03369;24,31701;24,56967;24,77266;25,01548;25,3252;25,55703;25,75289;26,25039;26,81225;27,25266;28,55573
0,02;1,097898;1,151627;1,919227;1,949575;2,090065;2,188362;2,377137;2,409402;2,606596;2,888726;2,888726;3,137539;3,325227;3,325227;3,559489;3,658891;3,710769;3,836168;3,949805;4,018502;4,138362;4,154709;4,355126;4,47613;4,491205;4,698402;4,698402;4,831841;4,913637;5,014722;5,118059;5,166235;5,318069;5,367516;5,53291;5,831182;5,936663;6,458841;6,729057;6,913005;7,01271;7,119081;7,247851;7,372265;7,406027;7,559912;7,593033;7,798924;7,846738;7,967461;8,12959;8,326946;8,506976;8,619171;8,838321;9,070843;9,462907;9,545637;9,657617;9,716518;9,849841;9,897146;10,07678;10,07678;10,23119;10,39926;10,67076;10,77837;10,85941;10,93757;11,08854;11,25751;11,40692;11,59658;11,77186;11,92637;12,27071;12,29813;12,43751;12,45127;12,6972;12,89304;12,95871;13,07029;13,2287;13,2287;13,38817;13,59231;13,74909;13,76469;13,92723;13,97228;14,18477;14,31632;14,52599;14,71503;14,85715;14,93653;15,02863;15,15851;15,1885;15,31229;15,34484;15,43806;15,59322;15,75686;15,75686;15,93788;16,1584;16,17321;16,37754;16,55678;16,60251;16,69341;16,82443;17,01869;17,03263;17,19829;17,25492;17,4482;17,57;17,76753;17,88784;18,05671;18,19238;18,35604;18,35604;18,53462;18,73159;18,7584;18,91861;19,09902;19,15807;19,23984;19,37566;19,37566;19,55872;19,67929;19,79714;19,86977;20,15487;20,15487;20,31218;20,34562;20,51699;20,6355;20,77664;21,35861;21,52771;21,71525;21,99161;22,00684;22,19802;22,39385;22,43292;22,59904;22,71996;22,79321;22,97794;23,01773;23,27119;23,43744;23,48713;23,9531;24,23443;24,41646;24,59683;25,21333;25,73472;26,03608;26,19564;26,43969;26,67305;26,8568;27,05575;27,28708;27,55577;27,85776;28,1748;28,37995;28,73721;28,91768;29,15624;29,39209;29,63157;29,89396;30,2762;30,55256;30,7337;30,95476;31,14956;31,31671;31,68833;31,95691;32,35359;32,63859;32,93919;33,31535;33,65701
