Personne 0;Personne 1;Personne 2;Personne 3;Personne 4;Personne 5;Personne 6;Personne 7;Personne 8;Personne 9;Personne 10;Personne 11;Personne 12;Personne 13;Personne 14;Personne 15;Personne 16;Personne 17;Personne 18;Personne 19;Personne 20;Personne 21;Personne 22;Personne 23;Personne 24;Personne 25;Personne 26;Personne 27;Personne 28;Personne 29;Personne 30;Personne 31;Personne 32;Personne 33;Personne 34;Personne 35;Personne 36;Personne 37;Personne 38;Personne 39;Personne 40;Personne 41;Personne 42;Personne 43;Personne 44;Personne 45;Personne 46;Personne 47;Personne 48;Personne 49;Personne 50;Personne 51;Personne 52;Personne 53;Personne 54;Personne 55;Personne 56;Personne 57;Personne 58;Personne 59;Personne 60;Personne 61;Personne 62;Personne 63;Personne 64;Personne 65;Personne 66;Personne 67;Personne 68;Personne 69;Personne 70;Personne 71;Personne 72;Personne 73;Personne 74;Personne 75;Personne 76;Personne 77;Personne 78;Personne 79;Personne 80;Personne 81;Personne 82;Personne 83;Personne 84;Personne 85;Personne 86;Personne 87;Personne 88;Personne 89;Personne 90;Personne 91;Personne 92;Personne 93;Personne 94;Personne 95;Personne 96;Personne 97;Personne 98;Personne 99;Personne 100;Personne 101;Personne 102;Personne 103;Personne 104;Personne 105;Personne 106;Personne 107;Personne 108;Personne 109;Personne 110;Personne 111;Personne 112;Personne 113;Personne 114;Personne 115;Personne 116;Personne 117;Personne 118;Personne 119;Personne 120;Personne 121;Personne 122;Personne 123;Personne 124;Personne 125;Personne 126;Personne 127;Personne 128;Personne 129;Personne 130;Personne 131;Personne 132;Personne 133;Personne 134;Personne 135;Personne 136;Personne 137;Personne 138;Personne 139;Personne 140;Personne 141;Personne 142;Personne 143;Personne 144;Personne 145;Personne 146;Personne 147;Personne 148;Personne 149;Personne 150;Personne 151;Personne 152;Personne 153;Personne 154;Personne 155;Personne 156;Personne 157;Personne 158;Personne 159;Personne 160;Personne 161;Personne 162;Personne 163;Personne 164;Personne 165;Personne 166;Personne 167;Personne 168;Personne 169;Personne 170;Personne 171;Personne 172;Personne 173;Personne 174;Personne 175;Personne 176;Personne 177;Personne 178;Personne 179;Personne 180;Personne 181;Personne 182;Personne 183;Personne 184;Personne 185;Personne 186;Personne 187;Personne 188;Personne 189;Personne 190;Personne 191;Personne 192;Personne 193;Personne 194;Personne 195;Personne 196;Personne 197;Personne 198;Personne 199
1,398984;1,597494;1,739063;1,999029;1,999029;2,151196;2,166218;2,51936;2,798335;2,864174;3,009167;3,045645;3,235091;3,284635;3,439322;3,473034;3,568849;3,718391;3,767065;3,897526;3,97802;4,178889;4,206899;4,399631;4,399631;4,478889;4,558689;4,738049;4,769462;4,909305;5,146864;5,391158;5,575257;5,610593;5,773859;5,884501;5,903677;6,025212;6,078676;6,148653;6,24983;6,4561;6,4561;6,553852;6,714983;6,757935;6,770951;6,944365;6,961798;7,127575;7,277531;7,277531;7,385567;7,51956;7,555514;7,660329;7,763247;7,851502;7,898986;8,074715;8,132097;8,132097;8,218795;8,252255;8,384312;8,403393;8,52447;8,669109;8,747563;8,826925;8,993103;9,057467;9,071197;9,088733;9,203179;9,29427;9,332387;9,351224;9,420592;9,45798;9,531595;9,622079;9,640624;9,770895;9,909381;9,942615;9,978618;10,10861;10,14453;10,32751;10,34463;10,45215;10,51672;10,59267;10,69896;10,69896;10,80816;10,88652;10,91898;10,99321;11,03;11,10529;11,13921;11,31267;11,31267;11,41901;11,43371;11,47272;11,59286;11,66546;11,66546;11,73928;11,89917;11,89917;11,9147;12,11138;12,17826;12,17826;12,17826;12,31699;12,37856;12,46905;12,5325;12,59701;12,70569;12,73773;12,90897;12,95638;13,01865;13,06728;13,10404;13,27676;13,36295;13,39999;13,41594;13,5628;13,63286;13,66684;13,79162;13,80782;13,93235;13,96395;14,05551;14,11849;14,16504;14,34959;14,34959;14,39978;14,41384;14,59761;14,59761;14,67314;14,68899;14,81193;14,8715;14,91835;15,05149;15,09823;15,21943;15,30961;15,38671;15,53882;15,67634;15,88675;16,03761;16,03761;16,25289;16,28769;16,60832;16,75826;16,87858;16,97842;17,02619;17,2037;17,40484;17,50416;17,53687;17,58986;17,68572;17,83619;18,11986;18,11986;18,32959;18,47897;18,69195;18,89197;19,07385;19,35823;19,75083;19,91712;19,94898;20,25889;20,49984;20,96913;21,3102;21,59997;22,22777;22,51179;22,78925;26,69659
1,275006;1,39422;1,558583;1,737508;1,885461;2,045198;2,121947;2,360088;2,395503;2,556823;2,6565;2,757685;2,757685;2,937581;2,982486;3,087384;3,388376;3,423744;3,539803;3,591907;3,792509;3,792509;3,907673;4,08676;4,167722;4,245601;4,276266;4,457314;4,602334;4,66645;4,739572;4,89185;4,981187;5,027718;5,156954;5,186396;5,320771;5,383855;5,51504;5,559977;5,767636;5,767636;5,967875;5,967875;5,981493;5,997315;6,168158;6,295686;6,336804;6,368634;6,425992;6,526426;6,599766;6,680421;6,73944;6,787585;6,946301;6,946301;7,122302;7,188356;7,286426;7,35334;7,539694;7,595079;7,683841;7,919905;7,953618;8,037823;8,055089;8,187705;8,187705;8,365541;8,42818;8,42818;8,573926;8,649193;8,752958;8,828941;8,881736;9,048543;9,048543;9,085764;9,323337;9,472876;9,548292;9,739105;9,848289;9,848289;10,06196;10,07773;10,16398;10,2839;10,32005;10,35545;10,40567;10,57359;10,67698;10,69458;10,86913;10,9193;11,00387;11,14019;11,22851;11,24283;11,39419;11,49442;11,49442;11,62824;11,66084;11,72789;11,77606;11,90823;11,94006;11,95616;12,07811;12,12861;12,14332;12,2941;12,42142;12,48783;12,61615;12,64768;12,69623;12,79309;12,82867;12,9252;12,9409;13,0281;13,12577;13,14043;13,20792;13,3736;13,3736;13,42228;13,54228;13,60754;13,70353;13,86585;13,94406;14,00457;14,04496;14,22866;14,32807;14,32807;14,42764;14,46287;14,57516;14,70664;14,70664;14,75381;14,80172;14,86728;14,94649;15,01049;15,0465;15,12907;15,16173;15,24376;15,34771;15,44339;15,47803;15,52794;15,70702;15,73779;15,8023;15,91463;16,10396;16,22882;16,25612;16,3684;16,43793;16,70601;16,76368;16,85303;16,9484;17,06312;17,13555;17,22803;17,38632;17,46502;17,57599;17,63947;17,8274;17,94207;18,01708;18,26789;18,46914;18,48413;18,81479;19,16091;19,35904;19,40607;19,88618;20,20405;20,72661;21,07514;21,52198;22,14575;22,75595;23,07556
0,6707043;0,9502684;1,072033;1,267695;1,529184;1,677245;1,857607;2,084441;2,235118;2,310904;2,6158;2,676996;2,874062;2,874062;3,137723;3,236692;3,306039;3,360037;3,580698;3,580698;3,722481;3,739966;3,828341;3,92292;4,01202;4,029608;4,047267;4,203223;4,255412;4,340964;4,652185;4,756017;4,756017;4,911721;4,928829;5,050881;5,137563;5,357911;5,462381;5,514485;5,531301;5,585825;5,737749;5,772116;5,841386;6,086253;6,189618;6,296718;6,296718;6,436282;6,536314;6,569297;6,586717;6,726108;6,796575;6,796575;6,89652;7,048884;7,150793;7,169879;7,255276;7,390495;7,427458;7,584241;7,686724;7,703624;7,806069;7,924401;7,940586;7,940586;8,111301;8,184002;8,184002;8,269008;8,335528;8,485346;8,554816;8,57071;8,666865;8,768967;8,786767;8,871012;8,952677;9,03556;9,185393;9,269407;9,337595;9,385801;9,537206;9,537206;9,551293;9,650736;9,72725;9,78778;9,892692;9,995016;10,02408;10,09725;10,21715;10,24538;10,33311;10,39341;10,53044;10,56449;10,61748;10,73503;10,73503;10,85192;10,86913;10,97058;11,02156;11,05562;11,19095;11,23636;11,34674;11,55317;11,57526;11,60836;11,76751;11,89639;11,95234;11,99617;12,16732;12,16732;12,23121;12,33105;12,35556;12,43621;12,55671;12,56886;12,65355;12,69034;12,81457;12,829;12,9778;13,02534;13,09532;13,19491;13,22636;13,35644;13,35644;13,46783;13,55095;13,62776;13,65637;13,76925;13,82559;13,89778;14,03523;14,03523;14,14777;14,28621;14,30275;14,43087;14,49611;14,54523;14,67677;14,91175;14,9957;15,13753;15,13753;15,2651;15,45654;15,47097;15,56938;15,70761;15,72272;15,93005;16,01011;16,02661;16,15604;16,25012;16,4546;16,60155;16,71586;16,71586;16,89108;17,0238;17,21556;17,28399;17,32506;17,45282;17,49361;17,59426;17,79749;17,93768;18,01564;18,1731;18,1731;18,44616;18,47349;18,73554;18,87524;19,07755;19,1083;19,61665;19,85093;19,93016;21,11531;23,05392
0,1506284;0,1506284;0,5887132;0,6043104;0,9895874;1,201509;2,095564;2,670225;2,76971;2,837401;3,189265;3,361233;3,502177;3,604312;3,780644;3,869368;3,869368;4,100214;4,117859;4,226665;4,404893;4,567539;4,75866;4,78612;4,950281;4,990004;5,148486;5,210362;5,320206;5,367931;5,439497;5,477033;5,544222;5,825301;5,843913;6,055904;6,108952;6,175701;6,212609;6,301076;6,385128;6,438008;6,455248;6,603961;6,707903;6,768503;6,827278;6,918126;7,03798;7,097085;7,294421;7,294421;7,329696;7,499834;7,499834;7,668538;7,717633;7,817079;7,868689;7,98381;7,98381;8,125038;8,178173;8,279449;8,350277;8,350277;8,485517;8,522774;8,61026;8,661963;8,695587;8,800481;8,869814;8,920453;9,037731;9,106442;9,210158;9,286922;9,286922;9,450324;9,600298;9,707435;9,829256;9,906964;9,966979;10,04217;10,0612;10,18334;10,26818;10,38839;10,45395;10,50377;10,52161;10,67603;10,70999;10,85038;10,89826;10,98417;11,05326;11,17258;11,20936;11,27619;11,36295;11,46423;11,56817;11,66832;11,76835;11,85003;11,95026;11,98471;12,12469;12,14217;12,20857;12,25004;12,3141;12,41461;12,49872;12,51578;12,62817;12,67799;12,72904;12,82883;12,90771;12,96046;13,1405;13,15783;13,31037;13,39769;13,44114;13,58854;13,74625;13,75967;13,80627;13,86195;14,01941;14,06598;14,06598;14,20994;14,23855;14,40985;14,40985;14,47537;14,58937;14,65036;14,71566;14,74689;14,87476;14,90726;14,94189;15,1076;15,1076;15,15685;15,15685;15,30741;15,32106;15,38588;15,51387;15,51387;15,63034;15,74291;15,77701;15,80774;15,90419;15,96777;16,13449;16,16827;16,32925;16,32925;16,4902;16,51808;16,72477;16,96824;16,96824;17,16974;17,21623;17,38837;17,49693;17,60941;17,75876;17,75876;17,88796;17,92081;18,09569;18,15959;18,33039;18,48881;18,51811;18,8607;19,08818;19,26392;19,4014;19,4698;19,88816;20,10641;20,44535;20,74873;21,69918;22,29023;23,72784;24,04967
1,338603;2,171815;2,490457;2,68543;2,737585;2,843781;2,948167;2,996984;3,209458;3,31703;3,33442;3,539834;3,61135;3,629672;3,664624;3,820759;3,873816;3,965355;4,03686;4,178172;4,284064;4,38512;4,67155;4,759558;4,850771;4,938033;5,135867;5,346838;5,506024;5,703562;5,807634;5,878706;6,020139;6,145443;6,199129;6,270987;6,551919;6,703421;6,736916;6,907228;6,996595;7,085576;7,173531;7,277174;7,483806;7,63624;7,69059;7,844556;7,917068;7,971863;8,093982;8,129357;8,185041;8,268824;8,303645;8,422178;8,471238;8,525535;8,559523;8,645473;8,784743;8,800404;8,900753;9,003914;9,054467;9,107734;9,15967;9,15967;9,318518;9,336489;9,353336;9,440593;9,543967;9,543967;9,631968;9,720711;9,864368;9,923839;9,923839;10,0241;10,03667;10,13693;10,1639;10,25381;10,34298;10,34298;10,46301;10,46301;10,52209;10,62311;10,70095;10,76392;10,84243;10,88306;11,00088;11,181;11,181;11,19363;11,34447;11,47784;11,5118;11,5118;11,66393;11,66393;11,81516;11,85127;11,91522;11,98413;12,09739;12,14972;12,19938;12,21745;12,40126;12,55019;12,6168;12,70332;12,71783;12,81843;12,93176;12,98408;12,99989;13,15042;13,18518;13,31637;13,38544;13,41681;13,43241;13,53007;13,61199;13,69524;13,86515;13,89719;14,07659;14,18955;14,22355;14,42449;14,42449;14,48492;14,66129;14,72228;14,82554;14,82554;14,9947;14,9947;15,1227;15,26351;15,27573;15,30314;15,37348;15,47398;15,51557;15,63592;15,84067;15,85855;16,06031;16,07426;16,16483;16,28425;16,2986;16,40212;16,46485;16,52555;16,66259;16,69252;16,80478;16,94025;17,06059;17,07313;17,12184;17,21772;17,33989;17,33989;17,47984;17,54516;17,57381;17,85464;17,85464;17,9223;18,0405;18,13516;18,36004;18,54218;18,62322;18,73942;18,94016;18,99375;19,24186;19,36394;19,50134;19,89282;19,92026;20,14131;20,15362;20,43495;20,46562;20,75917;20,82475;21,60264;21,80037;22,34398
0,1399669;0,1399669;0,1399669;0,8209605;1,100356;1,575291;1,592669;2,434814;2,558182;2,666042;2,701106;2,932971;2,950949;3,176346;3,387;3,459016;3,547014;3,562452;3,79265;3,846077;3,984842;4,018408;4,053286;4,145365;4,158439;4,364008;4,364008;4,584794;4,694782;4,883377;5,063014;5,227014;5,227014;5,315127;5,404024;5,551418;5,582716;5,744133;5,744133;5,934546;5,990463;6,172202;6,325041;6,340867;6,514628;6,532111;6,75821;6,793033;6,877482;6,912183;7,094353;7,12974;7,180348;7,251483;7,354197;7,425462;7,440752;7,546217;7,579586;7,666544;7,805976;7,821599;7,92488;7,992348;8,009711;8,060733;8,18174;8,19705;8,273746;8,407021;8,525594;8,593839;8,625815;8,737979;8,77364;8,931935;8,949481;9,100282;9,118022;9,189879;9,303475;9,303475;9,375695;9,476076;9,526875;9,576136;9,658428;9,675404;9,83916;9,83916;9,943919;9,976363;10,16034;10,17816;10,1964;10,32527;10,35351;10,50658;10,67162;10,67162;10,78966;10,82535;10,92556;10,92556;11,10451;11,20569;11,25351;11,27125;11,41991;11,47328;11,57309;11,59057;11,67253;11,7548;11,80685;11,85764;11,90669;12,00685;12,03711;12,10606;12,17422;12,25593;12,31839;12,41529;12,58689;12,73383;12,75148;12,93414;13,03341;13,11483;13,19481;13,21224;13,3371;13,51001;13,5455;13,62521;13,65654;13,75559;13,77102;13,85639;14,02264;14,03951;14,07207;14,10394;14,21823;14,2842;14,3334;14,52618;14,52618;14,57438;14,73534;14,75213;14,90519;14,93627;15,04881;15,09736;15,20324;15,36377;15,37911;15,52541;15,52541;15,65767;15,78472;15,94497;16,02581;16,07506;16,15493;16,28104;16,37483;16,7071;16,7633;16,84497;16,85785;17,00548;17,08511;17,16493;17,19805;17,38718;17,40245;17,6383;17,76378;17,76378;17,92216;17,98384;18,26705;18,37668;18,56176;18,604;18,78541;18,82705;19,14314;19,17569;19,46168;19,64183;19,6721;20,07178;20,38044;20,72723;21,60411;21,90617
0,1458685;1,118167;1,33152;1,520302;1,608325;1,660847;1,944169;2,104793;2,174449;2,317836;2,577073;2,680868;2,805037;3,045159;3,097939;3,276816;3,402854;3,402854;3,557462;3,612235;3,663949;3,735743;3,895916;3,96933;4,035782;4,05212;4,227747;4,26412;4,403625;4,452989;4,592828;4,76915;4,853866;4,921319;5,129;5,252953;5,40344;5,554621;5,655433;5,728669;5,902391;6,001554;6,084895;6,170316;6,202534;6,356684;6,462723;6,47696;6,547902;6,668812;6,736618;6,754731;6,91275;6,91275;7,084906;7,084906;7,270179;7,30255;7,422794;7,490184;7,544059;7,544059;7,596363;7,685396;7,685396;7,884591;8,018953;8,054673;8,054673;8,124427;8,222198;8,296511;8,358871;8,411933;8,551849;8,619292;8,723284;8,859521;8,895373;9,125286;9,15792;9,260032;9,363243;9,563181;9,563181;9,629551;9,834043;9,851217;9,903512;9,953707;10,01913;10,10491;10,15181;10,2177;10,30425;10,33703;10,41856;10,58538;10,66898;10,70355;10,88482;10,95245;11,09791;11,16411;11,24391;11,34333;11,34333;11,37521;11,57958;11,57958;11,6236;11,69028;11,75763;11,84336;11,91129;12,0106;12,0106;12,0761;12,10973;12,30835;12,34472;12,41165;12,42986;12,57269;12,63319;12,68518;12,71492;12,79672;12,8452;12,89427;12,90997;13,04317;13,10942;13,14314;13,17617;13,27878;13,38196;13,52178;13,57466;13,70237;13,80257;13,80257;14,00058;14,04203;14,164;14,19131;14,22241;14,26511;14,38009;14,42212;14,49257;14,56306;14,70195;14,8448;14,8448;15,02384;15,03951;15,07351;15,17176;15,20428;15,29904;15,41011;15,45915;15,52209;15,63203;15,71907;15,79793;15,83044;15,86285;15,99012;15,99012;16,16537;16,47867;16,59061;16,784;16,95719;16,95719;17,0349;17,23277;17,26359;17,43199;17,46364;17,59349;17,83662;17,8525;18,03262;18,06327;18,36318;18,70274;18,93896;19,07815;19,34234;19,67182;19,76414;19,85882;19,95449;20,11214;20,3397;20,37062;20,80504
0,1497805;1,089293;1,597828;1,615251;1,754386;1,950359;2,213054;2,536106;2,552316;2,583022;2,698319;2,799539;2,853784;3,243586;3,259572;3,474383;3,491671;3,685264;3,700745;3,825179;3,840907;4,083905;4,097525;4,317867;4,402506;4,499031;4,620777;4,681345;4,843935;4,954289;5,021709;5,11892;5,224892;5,224892;5,364063;5,403458;5,536466;5,620851;5,723839;5,844084;5,873783;6,037766;6,143609;6,205515;6,219115;6,382905;6,457051;6,533265;6,66574;6,736383;6,82554;6,924802;7,065119;7,065119;7,182724;7,284303;7,416346;7,451416;7,503795;7,605492;7,65801;7,724059;7,86459;7,897453;7,914628;8,031023;8,031023;8,213884;8,262994;8,349226;8,38308;8,485099;8,499106;8,638817;8,672209;8,789597;8,892741;8,963105;8,963105;9,038949;9,071182;9,236209;9,305106;9,305106;9,319551;9,454079;9,498365;9,660524;9,673652;9,673652;9,718159;9,821807;9,923439;9,936707;9,980942;9,993643;10,10389;10,20562;10,21968;10,25576;10,38453;10,44293;10,44293;10,62451;10,73845;10,8375;10,8375;10,93832;11,02441;11,12494;11,14058;11,29534;11,37672;11,51078;11,65923;11,6768;11,82893;11,91403;11,98246;12,07874;12,11311;12,13085;12,17734;12,22857;12,37832;12,37832;12,55529;12,55529;12,57192;12,58975;12,76484;12,84452;12,84452;12,97046;13,00291;13,13064;13,16471;13,24474;13,37389;13,43603;13,43603;13,55241;13,5853;13,69766;13,74881;13,74881;13,94569;14,00102;14,01306;14,05209;14,26578;14,27911;14,32467;14,35182;14,51465;14,53121;14,60511;14,73032;14,84528;14,94514;15,13271;15,13271;15,25969;15,30199;15,3984;15,49789;15,49789;15,56414;15,62865;15,69285;15,75572;15,88447;15,94479;16,09221;16,18938;16,2987;16,2987;16,36415;16,48015;16,59454;16,61063;16,75334;16,9411;17,09669;17,11321;17,29832;17,52436;17,60251;17,9141;18,16935;18,20316;18,36329;18,39442;18,59534;18,93216;18,96391;19,13567;19,42505;19,62374;19,72978
1,330504;1,653129;1,810149;2,023152;2,091725;2,155987;2,202321;2,326308;2,41595;2,65464;2,670688;2,688607;2,887141;3,030946;3,132433;3,426982;3,618168;3,7776;3,7776;3,833374;3,888813;3,945748;4,12959;4,256607;4,286547;4,395805;4,581976;4,617256;4,852285;4,889668;5,131725;5,161745;5,250674;5,352895;5,526138;5,613142;5,668505;5,777375;5,929896;6,067053;6,083545;6,167949;6,287282;6,358118;6,428724;6,514966;6,529709;6,633041;6,650597;6,771215;6,807081;6,892502;6,998577;6,998577;7,083036;7,083036;7,250812;7,358476;7,433878;7,555143;7,555143;7,687815;7,791616;7,833752;7,8461;7,914984;8,008773;8,008773;8,164622;8,233307;8,358624;8,411027;8,568597;8,602595;8,778468;8,878664;9,016643;9,068974;9,138039;9,153174;9,277361;9,326332;9,466541;9,466541;9,548878;9,649519;9,666879;9,733021;9,750902;9,817301;9,884769;10,01558;10,04883;10,11647;10,16835;10,27115;10,28786;10,30449;10,44297;10,57689;10,57689;10,61022;10,67803;10,72783;10,7445;10,85819;10,89275;10,97671;11,05827;11,07278;11,20699;11,32699;11,41113;11,42752;11,51238;11,61559;11,79602;11,80955;11,8909;12,00604;12,05066;12,1095;12,14502;12,21012;12,27751;12,30696;12,38589;12,46226;12,54315;12,59062;12,75779;12,75779;12,9366;12,95018;13,0186;13,06609;13,13122;13,16617;13,27617;13,32503;13,39088;13,4254;13,50788;13,61599;13,69051;13,70684;13,82491;13,87113;13,93706;13,93706;14,09169;14,14842;14,35696;14,372;14,54543;14,59668;14,64678;14,74476;14,92346;14,95658;15,14834;15,24675;15,37848;15,45776;15,52188;15,66638;15,79565;15,84643;15,92425;16,00929;16,17299;16,17299;16,35872;16,54887;16,56405;16,71194;16,79307;16,98311;17,0301;17,29864;17,36643;17,57269;17,62663;17,75041;17,93241;17,98349;18,26997;18,31535;18,34469;18,49789;18,65758;19,02994;19,04661;19,1852;20,00881;20,08415;20,2681;20,54451;20,92897;22,23813
0,1414039;1,279513;1,738788;1,980358;2,168987;2,204697;2,556364;2,664051;2,664051;2,838332;2,91213;2,999924;3,179251;3,195123;3,337795;3,457702;3,594594;3,629764;3,824028;3,824028;3,977925;3,977925;4,164885;4,180967;4,371815;4,719911;5,019917;5,112924;5,305539;5,356427;5,550221;5,600763;5,616087;5,805802;5,805802;5,960757;6,098708;6,150764;6,205304;6,413833;6,44915;6,619363;6,637691;6,811059;6,845987;6,899512;7,056307;7,124949;7,245311;7,277771;7,462779;7,49722;7,564486;7,665376;7,665376;7,804526;7,839566;7,856716;7,994933;8,012121;8,079844;8,230441;8,263954;8,363432;8,495604;8,495604;8,512307;8,612393;8,644988;8,729276;8,779506;8,879368;8,914802;8,964568;9,03322;9,048931;9,195288;9,21226;9,345743;9,359798;9,495305;9,511636;9,645576;9,695703;9,860797;9,860797;10,04607;10,07994;10,11367;10,17964;10,26469;10,3486;10,46395;10,47886;10,60981;10,64421;10,81092;10,81092;11,03064;11,03064;11,11368;11,24608;11,26016;11,39316;11,41103;11,54438;11,55867;11,75225;11,83733;12,03748;12,22231;12,22231;12,23651;12,39743;12,39743;12,43283;12,5657;12,60513;12,65708;12,81515;12,87269;12,90404;13,04392;13,04392;13,19521;13,23056;13,26287;13,35926;13,44454;13,5395;13,55608;13,65158;13,68521;13,812;13,89346;13,97334;14,02471;14,13975;14,13975;14,22311;14,32274;14,45228;14,48559;14,66408;14,66408;14,7119;14,83136;14,83136;15,04441;15,17637;15,2591;15,34419;15,39165;15,57484;15,57484;15,68307;15,75637;15,97722;16,0427;16,18564;16,18564;16,44256;16,45879;16,52232;16,53743;16,73984;16,82003;16,85361;17,04445;17,06169;17,20998;17,24301;17,34076;17,46426;17,47908;17,68328;17,68328;17,95239;18,0639;18,29462;18,39184;18,56488;18,69063;18,76552;19,04306;19,12059;19,27606;19,32374;19,52308;19,67655;19,99467;20,2849;20,54307;20,98531;21,26457;21,35833;21,60218;21,93562;22,43575;22,74441
