Personne 0;Personne 1;Personne 2;Personne 3;Personne 4;Personne 5;Personne 6;Personne 7;Personne 8;Personne 9;Personne 10;Personne 11;Personne 12;Personne 13;Personne 14;Personne 15;Personne 16;Personne 17;Personne 18;Personne 19;Personne 20;Personne 21;Personne 22;Personne 23;Personne 24;Personne 25;Personne 26;Personne 27;Personne 28;Personne 29;Personne 30;Personne 31;Personne 32;Personne 33;Personne 34;Personne 35;Personne 36;Personne 37;Personne 38;Personne 39;Personne 40;Personne 41;Personne 42;Personne 43;Personne 44;Personne 45;Personne 46;Personne 47;Personne 48;Personne 49;Personne 50;Personne 51;Personne 52;Personne 53;Personne 54;Personne 55;Personne 56;Personne 57;Personne 58;Personne 59;Personne 60;Personne 61;Personne 62;Personne 63;Personne 64;Personne 65;Personne 66;Personne 67;Personne 68;Personne 69;Personne 70;Personne 71;Personne 72;Personne 73;Personne 74;Personne 75;Personne 76;Personne 77;Personne 78;Personne 79;Personne 80;Personne 81;Personne 82;Personne 83;Personne 84;Personne 85;Personne 86;Personne 87;Personne 88;Personne 89;Personne 90;Personne 91;Personne 92;Personne 93;Personne 94;Personne 95;Personne 96;Personne 97;Personne 98;Personne 99;Personne 100;Personne 101;Personne 102;Personne 103;Personne 104;Personne 105;Personne 106;Personne 107;Personne 108;Personne 109;Personne 110;Personne 111;Personne 112;Personne 113;Personne 114;Personne 115;Personne 116;Personne 117;Personne 118;Personne 119;Personne 120;Personne 121;Personne 122;Personne 123;Personne 124;Personne 125;Personne 126;Personne 127;Personne 128;Personne 129;Personne 130;Personne 131;Personne 132;Personne 133;Personne 134;Personne 135;Personne 136;Personne 137;Personne 138;Personne 139;Personne 140;Personne 141;Personne 142;Personne 143;Personne 144;Personne 145;Personne 146;Personne 147;Personne 148;Personne 149;Personne 150;Personne 151;Personne 152;Personne 153;Personne 154;Personne 155;Personne 156;Personne 157;Personne 158;Personne 159;Personne 160;Personne 161;Personne 162;Personne 163;Personne 164;Personne 165;Personne 166;Personne 167;Personne 168;Personne 169;Personne 170;Personne 171;Personne 172;Personne 173;Personne 174;Personne 175;Personne 176;Personne 177;Personne 178;Personne 179;Personne 180;Personne 181;Personne 182;Personne 183;Personne 184;Personne 185;Personne 186;Personne 187;Personne 188;Personne 189;Personne 190;Personne 191;Personne 192;Personne 193;Personne 194;Personne 195;Personne 196;Personne 197;Personne 198;Personne 199;Personne 200;Personne 201;Personne 202;Personne 203;Personne 204;Personne 205;Personne 206;Personne 207;Personne 208;Personne 209;Personne 210;Personne 211;Personne 212;Personne 213;Personne 214;Personne 215;Personne 216;Personne 217;Personne 218;Personne 219;Personne 220;Personne 221;Personne 222;Personne 223;Personne 224;Personne 225;Personne 226;Personne 227;Personne 228;Personne 229;Personne 230;Personne 231;Personne 232;Personne 233;Personne 234;Personne 235;Personne 236;Personne 237;Personne 238;Personne 239;Personne 240;Personne 241;Personne 242;Personne 243;Personne 244;Personne 245;Personne 246;Personne 247;Personne 248;Personne 249
2,298577;2,378678;3,154649;3,398049;3,455787;4,053298;4,274394;4,334165;4,454424;4,517682;4,938663;5,098495;5,474636;5,619973;5,814795;5,937646;6,158971;6,356355;6,41803;6,477292;6,63815;6,694412;6,872958;6,934776;7,058701;7,099964;7,339776;7,395014;7,536415;7,794598;7,813617;7,979776;8,11727;8,299045;8,299045;8,496136;8,515495;8,795076;8,878089;9,117085;9,219581;9,27984;9,376386;9,416569;9,599033;9,715274;9,777956;9,932625;10,03383;10,11761;10,29516;10,29516;10,47859;10,57355;10,6982;10,73493;10,89703;10,93752;11,13532;11,21826;11,33953;11,51638;11,6372;11,75611;11,85606;11,95656;12,21974;12,23378;12,3763;12,45627;12,49665;12,49665;12,85909;12,93777;12,95935;13,1532;13,25442;13,51981;13,53789;13,79541;14,43547;14,59326;14,61844;14,63775;14,97306;15,0193;15,19874;15,27813;15,35937;15,37348;15,55315;15,59835;15,9377;16,03963;16,11673;16,13583;16,39956;16,4581;16,55981;16,63952;16,73639;16,81407;17,21746;17,23692;17,47738;17,47738;17,55958;17,77958;17,89744;18,01504;18,05386;18,27762;18,315;18,41405;18,5348;18,55465;18,8177;18,8384;19,01469;19,07475;19,23415;19,39711;19,55943;19,65386;19,73705;19,75782;20,01702;20,27609;20,29492;20,51613;20,61844;20,81888;20,91636;20,93554;21,03969;21,13778;21,23672;21,27403;21,33923;21,676;21,73955;21,79617;21,79617;22,31516;22,37912;22,45413;22,57723;22,63745;22,75946;23,09513;23,13641;23,19529;23,41412;23,43768;23,49609;23,67937;23,67937;23,89702;24,03444;24,2349;24,29813;24,31691;24,37892;24,57688;24,67925;24,67925;24,79938;25,03599;25,11808;25,15419;25,39566;25,5175;25,53933;25,65671;25,87919;25,9746;26,03903;26,25645;26,51882;26,5587;26,59831;26,85069;26,96002;27,09516;27,13667;27,39876;27,43905;27,45793;27,53577;27,79822;27,97427;28,07893;28,238;28,3785;28,3785;28,63833;28,6736;28,95696;29,11545;29,13593;29,27871;29,37633;29,65663;29,65663;29,91904;29,93497;30,19817;30,33545;30,41465;30,49584;30,69547;30,73891;30,97786;31,13807;31,37718;31,4978;31,8545;31,89913;32,17881;32,17881;32,47762;32,75516;32,91502;32,99485;33,15499;33,25792;33,53738;33,67626;33,7758;34,01764;34,29669;34,35836;34,67592;34,69535;34,97875;34,97875;35,21924;35,29966;35,57896;35,6354;35,75642;35,79729;36,09803;36,15784;36,51603;36,61692;36,83906;37,21737;37,53612;38,31889
2,035953;2,074078;2,429592;3,011967;3,193925;3,994459;4,211139;4,394138;4,530989;4,634745;5,211445;5,853126;6,012813;6,51567;6,671851;6,830628;6,910514;7,070293;7,311024;7,71537;7,994525;8,036133;8,036133;8,230762;8,273089;8,471792;8,514144;8,534801;8,693676;8,755296;8,892068;8,933613;9,05104;9,254003;9,254003;9,495861;9,550779;9,612978;9,790557;9,913524;9,934025;10,23392;10,39629;10,49553;10,61366;10,79064;10,95311;11,23017;11,23017;11,51259;11,65341;11,89515;12,09627;12,17481;12,33581;12,3752;12,51606;12,59572;12,67209;13,09597;13,35285;13,35285;13,47129;13,51101;13,61193;13,7703;13,85468;13,90987;14,05505;14,13388;14,29489;14,33519;14,51147;14,53118;14,53118;14,73278;14,83393;14,89146;15,17066;15,29247;15,49104;15,56963;15,75169;15,83318;15,85356;16,09618;16,11448;16,17229;16,4762;16,57243;16,67092;16,75341;16,89429;17,19233;17,23154;17,29373;17,29373;17,45583;17,65051;17,91186;18,03278;18,19465;18,50971;18,59003;18,82953;18,82953;18,87546;19,0514;19,10925;19,15425;19,33591;19,40888;19,73009;19,75492;19,93603;20,09171;20,29121;20,51384;20,57413;20,67448;20,91092;20,95545;21,19463;21,39171;21,4148;21,51152;21,83516;21,85286;21,95185;21,99362;22,17574;22,41221;22,45351;22,51472;22,55189;22,82942;22,91599;23,03598;23,09129;23,1959;23,25343;23,38973;23,51596;23,6361;23,77295;23,91269;24,15371;24,19339;24,29326;24,53576;24,81382;24,83629;24,91262;25,01282;25,11413;25,21525;25,27566;25,31625;25,55463;25,65447;25,7542;25,87549;25,99084;26,07265;26,21631;26,49281;26,57415;26,79109;26,85378;26,97087;27,07446;27,3161;27,33371;27,55515;27,59603;27,81486;28,01303;28,13102;28,172;28,25414;28,6129;28,75269;28,93401;29,03186;29,23077;29,47512;29,47512;29,49161;29,75282;30,05615;30,09463;30,33488;30,53276;30,73192;30,99321;31,39629;31,45218;31,71541;31,9118;31,9118;31,99615;32,13322;32,25165;32,45584;32,53591;32,71286;32,81342;32,89334;32,9739;33,152;33,23316;33,43623;33,55141;33,63551;33,93387;33,99226;34,13485;34,17249;34,75488;35,03173;35,2146;35,51131;35,7155;36,0152;36,29337;36,67615;36,93391;37,33566;37,61477;37,93279;38,2119;38,47186;38,7748;39,13556;39,49489;39,79247;39,8759;40,17565;40,39605;40,79521;41,03341;41,13121;41,39209;41,6731;41,95266;42,23473;42,69346;43,15617;43,7319;44,23462
3,15326;3,634356;4,314241;4,334144;4,591368;4,792717;4,971113;5,21514;5,313313;5,454356;5,770771;5,876629;5,890555;6,093849;6,273403;6,313637;6,533547;6,591484;6,752052;6,892006;6,932944;7,09159;7,15275;7,333021;7,433388;7,712545;7,754952;7,870749;8,076227;8,076227;8,274455;8,330547;8,570656;8,673838;8,790402;8,871781;9,010004;9,231462;9,312914;9,354086;9,515777;9,669749;9,756444;9,854836;9,976096;9,976096;10,37054;10,3906;10,5353;10,59489;10,77532;10,79451;10,87559;10,91544;11,01611;11,19209;11,29644;11,33442;11,53617;11,55511;11,73267;11,79177;11,85292;11,93631;12,11353;12,23437;12,23437;12,39466;12,415;12,67061;12,93588;13,07629;13,19293;13,23281;13,29224;13,55221;13,59175;13,67659;13,83173;14,0762;14,11517;14,2148;14,37461;14,43172;14,57005;14,7322;14,81257;14,99416;15,13585;15,19344;15,39567;15,41486;15,5353;15,65659;15,79274;15,87284;16,13459;16,17306;16,33214;16,37058;16,43589;16,43589;16,75439;16,81139;16,87222;17,03572;17,05531;17,21047;17,3131;17,45504;17,51323;17,85151;17,9951;18,0754;18,17273;18,43103;18,45188;18,85464;18,97124;19,05061;19,21147;19,37454;19,49218;19,53393;19,7163;19,87138;20,01192;20,05587;20,09239;20,31452;20,33268;20,43383;20,45645;20,71436;20,75305;20,77265;20,93516;20,93516;21,05308;21,15129;21,21473;21,3334;21,4944;21,61502;21,67481;21,79513;21,87644;22,01547;22,09628;22,13547;22,23642;22,43286;22,59387;22,72943;23,29209;23,49125;23,51454;23,7303;23,81645;23,87477;24,05657;24,13577;24,17667;24,43657;24,51195;24,75127;24,85436;24,89212;25,13654;25,17189;25,29397;25,37539;25,6162;25,67418;25,77313;25,89266;26,01664;26,25289;26,37586;26,63569;26,67519;26,81528;26,93477;27,17397;27,39418;27,4165;27,5127;27,63432;27,75126;27,91379;28,07593;28,15251;28,27333;28,45631;28,53359;28,79664;28,81368;29,05235;29,1333;29,27151;29,29001;29,49349;29,51531;29,59494;29,85638;29,87287;30,2324;30,29574;30,53405;30,53405;30,73598;30,894;31,03509;31,23223;31,71447;31,77581;32,0159;32,33438;32,61378;32,87173;33,17448;33,59414;33,61493;34,29445;34,61608;34,81289;35,03607;35,13364;35,85257;36,27474;36,65594;36,99293;37,25639;37,394;37,79529;38,0543;38,49444;39,27625;39,43234;39,81295;40,07571;40,29301;40,5348;40,93665;41,19607;41,65581;42,43642;42,97418;43,27572;44,01531
2,755904;3,092883;3,731403;3,910166;4,335732;4,592386;4,795033;4,912308;5,272124;5,471755;5,695158;5,771258;6,035979;6,035979;6,194495;6,214268;6,391705;6,411458;6,595672;6,876114;7,014585;7,051721;7,189027;7,332046;7,616227;7,673498;7,833068;7,894843;8,071894;8,152438;8,212347;8,354647;8,613132;8,713609;8,811312;8,970324;9,115946;9,19013;9,215124;9,372005;9,433921;9,612207;9,694865;9,79601;9,833704;9,855223;10,17514;10,17514;10,35244;10,57055;10,63643;10,87131;10,95391;11,03395;11,13206;11,29546;11,49665;11,49665;11,75201;11,79104;11,95071;12,07289;12,17499;12,29413;12,47656;12,61644;12,73326;12,85213;13,15254;13,19043;13,21454;13,33119;13,39158;13,59624;13,89298;13,89298;14,09117;14,15522;14,21352;14,29488;14,49344;14,63104;14,71477;14,71477;14,85195;14,89213;15,075;15,21154;15,23179;15,25653;15,33316;15,65642;15,73055;15,81517;15,91602;15,9548;16,07483;16,21234;16,31606;16,39214;16,55333;16,57356;16,63185;16,73517;16,85184;16,95413;17,13643;17,35194;17,39433;17,41316;17,53368;17,6107;17,77328;17,93425;17,95356;18,0906;18,19633;18,29601;18,49368;18,61303;18,67263;18,67263;18,79516;19,13494;19,19176;19,39464;19,45576;19,51182;19,55541;19,71353;19,97665;19,9941;20,09252;20,39591;20,43091;20,47359;20,77298;20,81551;20,91459;21,17479;21,216;21,61126;21,61126;21,75587;21,83482;21,8717;22,0731;22,15623;22,2107;22,37383;22,43648;22,67561;22,69205;22,81509;22,93357;23,09485;23,11226;23,31519;23,39565;23,59653;23,67386;23,67386;23,75534;23,9956;24,1159;24,35395;24,37629;24,43259;24,45497;24,79624;24,87589;25,07538;25,21317;25,23645;25,39455;25,53417;25,71625;25,79459;25,81308;26,09527;26,19607;26,37602;26,39336;26,49228;26,59379;26,67454;26,75439;26,8939;27,07656;27,25236;27,41182;27,57625;27,61091;27,77262;27,79471;28,09576;28,21457;28,33522;28,37632;28,53076;28,69446;28,75472;28,99359;29,15388;29,15388;29,37505;29,51372;29,59491;29,71369;29,83656;29,97417;30,07201;30,21323;30,33498;30,49075;30,57398;30,69387;30,81479;30,91624;31,05468;31,17622;31,29267;31,63667;31,71204;32,0747;32,11442;32,41665;32,71449;33,17658;33,63301;34,15433;34,33268;34,81164;35,17656;35,41378;35,71239;35,97362;36,23507;36,45478;36,87612;37,27449;37,71465;37,79506;38,03476;38,25543;38,63264;38,79503;39,05245;39,63631;40,27578
1,315726;2,552106;3,333295;3,915367;4,112035;4,210949;4,412995;4,449957;4,612044;4,952555;5,156023;5,453064;5,653811;5,87504;5,916251;6,036558;6,152101;6,213683;6,315061;6,33029;6,531695;6,551896;7,071519;7,071519;7,192028;7,296508;7,455742;7,511611;7,655545;7,736025;7,976432;7,976432;7,976432;8,01055;8,293415;8,416136;8,615805;8,655941;8,753812;8,815626;8,914549;9,052869;9,272884;9,292488;9,333202;9,651591;9,692091;9,712581;9,814985;9,972666;10,05026;10,15437;10,2724;10,31639;10,45559;10,53467;10,55491;10,58969;10,85314;11,01218;11,19467;11,23533;11,31307;11,55581;11,59482;11,65496;12,07342;12,13619;12,37109;12,47477;12,69171;12,89139;12,89139;12,93665;13,13598;13,29231;13,33142;13,47637;13,57576;13,57576;13,7344;13,87251;13,91656;14,13649;14,23266;14,27618;14,43343;14,59467;14,67348;14,71183;14,81081;15,03362;15,13084;15,17384;15,23484;15,49529;15,53455;15,61573;15,61573;15,81372;16,01591;16,17325;16,21589;16,43668;16,47403;16,6354;16,79178;17,03253;17,05641;17,0748;17,47625;17,61283;17,63188;17,63188;17,79235;17,91597;18,11595;18,11595;18,21636;18,39371;18,55303;18,59155;18,71547;18,83334;18,89666;19,07582;19,09501;19,25579;19,31178;19,39243;19,47529;19,63075;19,75379;19,77396;19,89664;20,17334;20,45187;20,5131;20,55322;20,73229;20,99645;21,19547;21,2562;21,3945;21,436;21,57227;21,83202;21,87356;21,8914;21,9141;22,15487;22,19567;22,43129;22,45544;22,59114;22,71343;22,93659;23,11319;23,39528;23,57219;23,79389;23,93629;24,05666;24,25473;24,33468;24,474;24,53043;24,89123;24,91418;25,1161;25,21397;25,31165;25,3515;25,61594;25,69402;25,95578;26,07601;26,25295;26,31391;26,35413;26,65147;26,71394;26,91506;27,09344;27,1109;27,35662;27,3943;27,53175;27,79502;27,81668;27,81668;28,03499;28,23415;28,2717;28,39439;28,45317;28,87585;28,91393;28,95485;29,01259;29,27516;29,47553;29,67282;29,81377;30,03271;30,23581;30,29355;30,41643;30,45343;30,57531;30,67287;30,93352;31,23411;31,25523;31,51628;31,65405;31,73617;31,83652;31,95526;32,05572;32,21466;32,35512;32,35512;32,55606;32,63551;32,87662;32,89648;33,09599;33,25564;33,27584;33,51548;33,51548;33,73382;33,8731;33,95282;33,97334;34,233;34,49464;34,57537;34,95504;35,05471;35,09266;35,37223;35,43591;35,69526;35,8955;36,21587;36,33178;36,51566;36,77541
1,896281;2,533615;3,296174;3,795299;3,795299;4,011331;4,133745;4,213019;4,396519;4,595347;4,916065;5,030967;5,230392;5,451863;5,5725;5,730067;5,93586;5,956833;6,11131;6,236468;6,513958;6,891191;6,954594;7,07449;7,172043;7,531358;7,555213;7,796565;7,851376;7,994292;7,994292;8,174965;8,174965;8,253249;8,536218;8,631736;8,631736;8,715484;8,914025;8,97638;9,175492;9,291267;9,356988;9,356988;9,595321;9,615846;9,713931;9,752943;9,836616;10,25291;10,35663;10,35663;10,59217;10,63295;10,71534;10,95645;10,99639;11,19609;11,37225;11,43369;11,49676;11,55642;11,83703;11,91115;11,97481;12,15413;12,29634;12,41374;12,49319;12,59474;12,79181;12,95663;12,95663;13,01317;13,33478;13,41184;13,73164;13,75109;13,87281;14,0343;14,19417;14,21311;14,29282;14,57217;14,65046;14,85202;14,9549;14,97425;15,01575;15,21558;15,39666;15,57505;15,63086;15,67654;15,73399;16,07555;16,17175;16,21071;16,29692;16,37521;16,65597;16,732;16,83503;16,89269;17,07687;17,11546;17,11546;17,29635;17,37283;17,39638;17,43593;17,71309;17,8542;18,05066;18,09567;18,15641;18,39456;18,43163;18,65172;18,69501;18,69501;19,0563;19,09157;19,21659;19,31555;19,59198;19,65479;19,69654;19,815;19,89613;19,93238;20,0164;20,11657;20,55242;20,55242;20,57581;20,67282;20,81535;20,99202;21,15603;21,25121;21,35695;21,41173;21,49572;21,77404;21,83283;22,23279;22,43153;22,59693;22,61535;22,83434;22,87598;22,93472;23,17335;23,19235;23,35022;23,63565;23,67191;23,81597;23,99683;24,19461;24,27491;24,41399;24,47521;24,83583;24,87626;25,05698;25,19679;25,33527;25,37149;25,51393;25,57419;25,8558;25,93595;26,11233;26,21644;26,39649;26,49683;26,59675;26,59675;26,81427;26,89695;26,95632;27,15301;27,33612;27,49628;27,75611;27,95594;28,15664;28,19466;28,33358;28,47556;28,67459;28,69442;28,8756;28,97663;28,99261;29,37547;29,39665;29,43452;29,61419;29,69684;29,77478;29,87248;30,21276;30,21276;30,35301;30,47608;30,57253;30,77345;30,97506;31,07353;31,1567;31,31704;31,59335;31,69519;31,85196;31,99614;32,19373;32,19373;32,25472;32,4762;32,69505;32,77483;33,07343;33,09446;33,31347;33,61673;33,69617;33,81358;34,01497;34,21558;34,41612;34,49615;34,59583;34,83678;34,85368;35,13605;35,19646;35,35245;35,55616;35,59546;35,87337;35,93343;36,23339;36,97339;37,35661;37,79557;38,13646;39,15433
1,975516;2,257849;2,577366;2,772716;2,932591;3,332548;3,616297;3,872564;3,893256;4,157402;4,197576;4,457002;4,655741;5,037471;5,213673;5,352698;5,415779;5,533741;5,736992;5,874296;6,053019;6,337978;6,612331;6,652952;6,737548;6,833567;7,03641;7,055812;7,212734;7,252859;7,432788;7,472642;7,757036;7,854677;7,936834;8,075693;8,216698;8,277023;8,417449;8,673977;8,717114;8,810809;8,851819;8,956322;9,032231;9,178002;9,178002;9,315234;9,433872;9,495216;9,695559;9,756154;9,877028;9,896291;9,973042;10,29668;10,29668;10,4556;10,49787;10,57201;10,68976;10,83327;11,01655;11,05591;11,19461;11,2374;11,4521;11,55464;11,55464;11,91484;12,0374;12,17612;12,31351;12,33808;12,35723;12,71492;12,89279;12,95682;13,19605;13,19605;13,29725;13,313;13,61626;13,73385;13,83466;14,07606;14,21765;14,31632;14,43362;14,53667;14,55697;14,7772;14,87614;15,07681;15,17479;15,49436;15,5762;15,63583;15,87316;16,15507;16,33495;16,39418;16,41284;16,69372;16,83626;16,95574;17,11445;17,17452;17,19281;17,41558;17,59347;17,65561;17,6736;17,71753;17,95679;18,03664;18,05706;18,21588;18,41661;18,47745;18,53532;18,81318;18,91366;18,93269;18,95756;19,2977;19,33479;19,41676;19,67487;19,75334;19,85312;20,01767;20,13461;20,13461;20,25681;20,59639;20,67617;20,75396;20,89697;20,97695;21,25667;21,37666;21,47733;21,75689;21,79295;21,87232;21,97385;22,1948;22,2347;22,27635;22,53298;22,73343;22,87586;22,97797;22,99558;23,03737;23,21321;23,27715;23,39715;23,39715;23,43387;23,71628;23,7978;23,93591;23,93591;24,17353;24,35372;24,39398;24,83722;25,01728;25,17408;25,25407;25,35721;25,49635;25,83711;25,87349;26,03555;26,19546;26,29579;26,41548;26,49585;26,69662;26,85403;26,85403;27,09443;27,3546;27,43762;27,4944;27,7531;27,85316;27,87607;27,91566;28,15747;28,17419;28,4358;28,63706;28,75641;28,91401;28,91401;29,03413;29,15504;29,33366;29,45369;29,6155;29,6578;29,79551;30,07578;30,15439;30,31683;30,43778;30,53742;30,79457;30,95121;31,01174;31,07429;31,45809;31,51798;31,65262;31,83628;32,05313;32,23474;32,25107;32,57465;32,67585;32,73764;32,83707;33,19447;33,25398;33,35753;33,35753;33,59605;33,59605;33,87522;33,87522;34,09801;34,17645;34,37398;34,51663;34,63636;34,75658;34,93806;35,05429;35,1375;35,43471;35,43471;35,75536;36,17278;37,03534;37,33514;37,91695
1,553291;2,393397;2,932044;3,172866;3,53247;4,275522;4,476351;4,915172;5,154747;5,154747;5,471972;5,671282;5,75598;5,855064;5,952579;6,133444;6,294811;6,333888;6,474157;6,512516;6,615942;6,772573;6,892664;6,935891;7,033103;7,216184;7,296434;7,496003;7,654248;7,696472;7,849632;7,93534;8,192357;8,232262;8,331302;8,534657;8,554994;8,794857;8,933212;9,093237;9,135435;9,275747;9,336526;9,372045;9,611018;9,732693;9,732693;9,975276;9,975276;10,15158;10,35089;10,3741;10,55635;10,7506;10,89256;11,0148;11,21439;11,39653;11,57286;11,67532;11,77332;11,81841;12,02864;12,02864;12,41219;12,47471;12,59551;12,7442;12,89543;13,07301;13,07301;13,20428;13,29263;13,39324;13,43078;13,63443;13,76143;13,95478;14,05453;14,08148;14,29153;14,34096;14,51238;14,58437;14,63385;14,75383;15,11297;15,14981;15,27144;15,4123;15,47596;15,69644;15,69644;15,88977;15,96233;16,04247;16,06112;16,3057;16,49536;16,54221;16,63244;16,77328;16,95358;17,15606;17,21152;17,32013;17,37589;17,4712;17,51298;17,85402;17,93251;18,17545;18,19107;18,37056;18,50835;18,55513;18,73585;18,77576;18,85571;18,91374;19,29319;19,35655;19,35655;19,51357;19,71437;19,81957;19,94589;19,96564;20,11957;20,14042;20,37547;20,58214;20,66981;20,71646;20,75928;20,92006;20,9407;21,15594;21,23166;21,32564;21,57035;21,57035;21,78614;21,8643;22,05272;22,05272;22,23088;22,42709;22,49488;22,62762;22,69184;22,75144;22,80017;22,97596;23,21401;23,25634;23,27321;23,53369;23,62406;23,68161;23,80306;23,93572;23,95228;24,17321;24,25634;24,42706;24,47397;24,577;25,04982;25,2819;25,34766;25,62461;25,90978;25,95527;26,06911;26,17184;26,47487;26,52987;26,78907;27,0712;27,0712;27,35314;27,43718;27,58276;27,80013;27,89266;27,94761;27,99876;28,19956;28,30451;28,51332;28,64929;28,77613;28,86298;29,34478;29,3955;29,56605;29,70154;29,88037;30,08446;30,18098;30,3157;30,52098;30,61497;30,67355;30,85605;30,96075;31,45486;31,73435;31,81405;31,99369;32,04241;32,29532;32,45587;32,45587;32,79319;32,83143;32,9415;33,22168;33,37449;33,57138;33,62588;33,8105;33,96428;34,24264;34,36069;34,37826;34,44525;34,81401;34,88939;34,90734;35,25467;35,26988;35,79444;35,84309;35,88499;36,15363;36,25453;36,33012;36,79536;36,95357;37,2958;37,33434;37,56226;37,97191;38,71579;38,93487;39,22964;39,79282;40,33494
2,678354;3,4386;3,715551;4,15934;4,494033;4,59978;4,716887;4,716887;4,85813;5,09797;5,356805;5,415195;5,558228;5,817236;5,934046;5,995832;6,098642;6,27977;6,419008;6,518675;6,658753;6,899348;6,979679;7,095472;7,194821;7,33847;7,419045;7,518964;7,679468;7,718248;7,955311;7,955311;8,234558;8,25942;8,338161;8,576674;8,779823;8,837159;9,234663;9,317181;9,43406;9,458976;9,695386;9,778006;9,875746;9,97908;10,11637;10,25379;10,27484;10,51839;10,61468;10,81839;10,83803;10,89688;11,25573;11,37882;11,47779;11,53784;11,65684;11,67809;11,79833;12,01788;12,01788;12,1188;12,1188;12,2999;12,2999;12,49789;12,53685;12,75463;12,83671;13,13549;13,15512;13,219;13,25787;13,41656;13,61699;13,65567;13,79812;13,9384;13,95776;14,09924;14,15801;14,25672;14,35399;14,4379;14,55444;14,71941;14,8194;14,95824;14,99514;15,01979;15,25687;15,29827;15,41924;15,55856;15,57664;15,7797;15,8188;15,85925;15,99728;16,13952;16,19587;16,51849;16,51849;16,65761;16,75782;16,75782;16,91726;16,97741;17,21511;17,23944;17,65404;17,69855;17,73474;17,81724;17,9952;18,03622;18,19571;18,21907;18,31674;18,55863;18,65812;18,75943;18,83504;18,97872;19,01902;19,15492;19,33921;19,53572;19,95826;20,03461;20,19522;20,29648;20,4144;20,45679;20,53636;20,77863;20,83648;20,99469;21,05494;21,09522;21,37972;21,41551;21,41551;21,55965;21,73861;21,87879;21,87879;21,97976;22,17619;22,17619;22,31853;22,35548;22,63881;22,75843;22,85889;22,85889;23,31506;23,35939;23,57951;23,63733;23,89574;23,93642;24,03891;24,21892;24,53518;24,55724;24,59985;24,83646;25,03804;25,33743;25,45644;25,67819;25,81801;25,9583;26,07781;26,11623;26,33626;26,37613;26,73962;26,9565;27,11896;27,27858;27,41938;27,49731;27,55955;27,79746;27,89628;27,95747;28,05631;28,15642;28,29953;28,39519;28,41613;28,6382;28,89955;28,93506;29,05946;29,11815;29,39668;29,55982;29,65748;29,91527;30,09728;30,33965;30,5586;30,69845;30,83947;31,05986;31,2366;31,31685;31,61639;31,67727;31,91644;32,07916;32,13694;32,29932;32,55841;32,55841;32,71873;32,75874;32,95768;32,95768;33,13697;33,33944;33,35934;33,39767;33,63684;33,63684;33,83708;33,99715;33,99715;34,27697;34,39927;34,59625;34,75473;34,89796;34,97625;35,39616;35,65662;35,69769;35,9379;35,99809;36,27973;36,51513;36,93917;37,07714;37,39191;37,81876
1,274696;1,691237;1,914062;2,691496;2,934183;3,393953;3,635384;3,833082;4,17536;4,331234;4,554938;4,675585;4,874077;5,029197;5,152683;5,172635;5,354765;5,674688;5,834033;5,834033;6,03115;6,15403;6,234037;6,375738;6,452003;6,815068;6,815068;6,990262;7,213042;7,515943;7,535111;7,614654;7,775816;7,933353;7,995577;8,010092;8,074776;8,415864;8,415864;8,450552;8,615874;8,732584;9,030825;9,055892;9,215599;9,29386;9,393909;9,452177;9,673481;9,731415;9,750671;9,973454;10,01193;10,25568;10,35109;10,57523;10,61503;10,63392;10,6953;10,8906;11,07285;11,1311;11,21034;11,41242;11,71344;11,73343;11,7945;11,85301;12,07395;12,13185;12,25034;12,27489;12,38999;12,59243;12,69097;12,7706;12,87329;13,01599;13,03477;13,05382;13,27152;13,27152;13,53124;13,61137;13,65359;13,81174;13,9324;13,99033;14,17254;14,2512;14,35467;14,39507;14,51203;14,61376;14,89137;14,91043;15,03108;15,15567;15,17387;15,43313;15,4957;15,5929;15,75549;15,75549;15,97365;16,15251;16,23275;16,49204;16,55075;16,69576;16,83506;16,95239;17,01576;17,05469;17,21534;17,67539;17,73557;17,77188;17,9555;17,97301;18,07282;18,27076;18,35592;18,51546;18,57547;18,65241;18,81035;19,19248;19,25132;19,2947;19,37315;19,63202;19,79555;19,89172;20,09586;20,215;20,33201;20,3944;20,57551;20,79477;21,03569;21,09463;21,29223;21,35556;21,41074;21,6114;21,67317;21,77349;21,85315;22,15313;22,27344;22,35206;22,45369;22,55242;22,6331;22,675;23,0137;23,03586;23,13443;23,4549;23,49451;23,67219;23,85507;23,87184;24,13392;24,21482;24,232;24,29237;24,65325;24,71098;24,77341;24,95079;25,31139;25,47214;25,65458;25,93598;26,0337;26,09514;26,17388;26,45404;26,65596;26,65596;26,77534;26,9759;27,11193;27,19556;27,55435;27,57594;27,81227;27,87279;27,97333;28,17375;28,35577;28,3938;28,51315;28,75315;28,77342;29,01398;29,11108;29,31548;29,41306;29,5956;29,77362;30,03262;30,11193;30,4135;30,47457;30,53587;30,69319;30,77265;30,89553;30,91086;31,19365;31,27392;31,41395;31,45119;31,77276;32,01379;32,03444;32,29553;32,47473;32,5553;32,81567;32,89479;33,09424;33,33257;33,5352;33,65563;33,73518;33,95183;33,97483;34,25372;34,29554;34,55454;34,67256;34,93506;34,95498;35,09595;35,19268;35,43281;35,45506;35,73331;35,95286;36,85178;37,09578;37,316;37,6733;38,21286;38,67347;39,17551
