Personne 0;Personne 1;Personne 2;Personne 3;Personne 4;Personne 5;Personne 6;Personne 7;Personne 8;Personne 9;Personne 10;Personne 11;Personne 12;Personne 13;Personne 14;Personne 15;Personne 16;Personne 17;Personne 18;Personne 19;Personne 20;Personne 21;Personne 22;Personne 23;Personne 24;Personne 25;Personne 26;Personne 27;Personne 28;Personne 29;Personne 30;Personne 31;Personne 32;Personne 33;Personne 34;Personne 35;Personne 36;Personne 37;Personne 38;Personne 39;Personne 40;Personne 41;Personne 42;Personne 43;Personne 44;Personne 45;Personne 46;Personne 47;Personne 48;Personne 49;Personne 50;Personne 51;Personne 52;Personne 53;Personne 54;Personne 55;Personne 56;Personne 57;Personne 58;Personne 59;Personne 60;Personne 61;Personne 62;Personne 63;Personne 64;Personne 65;Personne 66;Personne 67;Personne 68;Personne 69;Personne 70;Personne 71;Personne 72;Personne 73;Personne 74;Personne 75;Personne 76;Personne 77;Personne 78;Personne 79;Personne 80;Personne 81;Personne 82;Personne 83;Personne 84;Personne 85;Personne 86;Personne 87;Personne 88;Personne 89;Personne 90;Personne 91;Personne 92;Personne 93;Personne 94;Personne 95;Personne 96;Personne 97;Personne 98;Personne 99;Personne 100;Personne 101;Personne 102;Personne 103;Personne 104;Personne 105;Personne 106;Personne 107;Personne 108;Personne 109;Personne 110;Personne 111;Personne 112;Personne 113;Personne 114;Personne 115;Personne 116;Personne 117;Personne 118;Personne 119;Personne 120;Personne 121;Personne 122;Personne 123;Personne 124;Personne 125;Personne 126;Personne 127;Personne 128;Personne 129;Personne 130;Personne 131;Personne 132;Personne 133;Personne 134;Personne 135;Personne 136;Personne 137;Personne 138;Personne 139;Personne 140;Personne 141;Personne 142;Personne 143;Personne 144;Personne 145;Personne 146;Personne 147;Personne 148;Personne 149;Personne 150;Personne 151;Personne 152;Personne 153;Personne 154;Personne 155;Personne 156;Personne 157;Personne 158;Personne 159;Personne 160;Personne 161;Personne 162;Personne 163;Personne 164;Personne 165;Personne 166;Personne 167;Personne 168;Personne 169;Personne 170;Personne 171;Personne 172;Personne 173;Personne 174;Personne 175;Personne 176;Personne 177;Personne 178;Personne 179;Personne 180;Personne 181;Personne 182;Personne 183;Personne 184;Personne 185;Personne 186;Personne 187;Personne 188;Personne 189;Personne 190;Personne 191;Personne 192;Personne 193;Personne 194;Personne 195;Personne 196;Personne 197;Personne 198;Personne 199;
0,9757313;1,414715;2,531778;4,016301;4,377345;4,544528;4,635202;4,757472;4,786691;4,95197;5,166851;5,197951;5,393762;5,438953;5,588743;5,616906;6,009579;6,025272;6,119976;6,236315;6,295595;6,486356;6,517509;6,548188;6,697365;6,779341;6,819982;6,918695;7,076514;7,089194;7,131441;7,228797;7,350545;7,418176;7,591621;7,71787;7,776993;7,987207;8,077298;8,236359;8,309158;8,495728;8,659536;8,659536;8,717164;8,81616;8,918437;9,065458;9,095744;9,258235;9,316249;9,316249;9,345331;9,556395;9,569151;9,658664;9,672267;9,931523;9,931523;9,969803;10,23118;10,34767;10,40681;10,43663;10,59611;10,59611;10,75344;10,80871;10,83681;10,85985;11,02942;11,07168;11,17271;11,19873;11,23789;11,31921;11,42998;11,53943;11,59732;11,63833;11,75898;11,79942;11,89767;11,93312;11,97024;12,03971;12,17507;12,25666;12,29683;12,4116;12,51712;12,59567;12,63857;12,67997;12,73789;12,89975;12,95465;13,07945;13,19905;13,22628;13,35444;13,43561;13,48771;13,63349;13,6798;13,85011;14,15061;14,17891;14,2175;14,34703;14,37271;14,55228;14,55228;14,63928;14,63928;14,77992;14,77992;14,91367;14,93854;15,13877;15,23914;15,27716;15,39403;15,45347;15,59312;15,75839;15,85432;15,85432;15,93805;15,97493;16,11607;16,19733;16,29786;16,35735;16,3922;16,55332;16,5786;16,70715;16,73125;16,8595;17,09049;17,19157;17,37443;17,43267;17,45675;17,62812;17,75443;17,91546;17,9394;18,13866;18,15914;18,25943;18,35765;18,73284;18,87888;18,91348;19,05792;19,33012;19,41222;19,51244;19,51244;19,65818;19,77928;19,95861;20,11591;20,27918;20,78924;21,12816;21,29399;21,67513;22,03624;22,16849;22,65751;22,81373;23,03913;23,41833;23,63655;23,93748;24,03695;24,25743;24,41958;25,33009;25,69907;25,95207;26,18913;26,257;26,55866;26,83661;27,11315;27,41438;27,6944;28,1739;28,3949;28,69632;29,13398;29,65759;29,95753;30,91333;31,27992;32,17487;
1,165641;1,640086;2,859398;3,852092;3,973237;4,05934;4,181487;4,370099;4,72274;4,78493;4,989048;5,059686;5,153025;5,240396;5,346536;5,423151;5,541044;5,572338;5,602507;5,771834;5,951886;6,011219;6,071846;6,192092;6,373032;6,571523;6,612558;6,989576;6,989576;7,072032;7,130966;7,251134;7,279425;7,340165;7,458516;7,549546;7,672459;7,718341;7,820573;7,849032;7,89117;7,972367;8,090332;8,204077;8,292456;8,442302;8,489653;8,708711;8,752027;8,808928;8,883282;8,99165;9,070974;9,190555;9,288002;9,300743;9,351696;9,48961;9,59166;9,59166;9,821478;9,851732;9,864934;9,969512;10,02448;10,25944;10,36548;10,46078;10,5248;10,65184;10,70001;10,77804;10,81168;10,98285;11,02873;11,16114;11,19119;11,30992;11,3715;11,38529;11,81334;11,89982;11,99277;12,00657;12,07243;12,17874;12,30974;12,48583;12,50082;12,54524;12,65074;12,71207;12,94781;12,96068;13,0056;13,20535;13,31116;13,32416;13,40905;13,40905;13,63012;13,71089;13,78369;13,81196;14,01329;14,14969;14,20376;14,35487;14,40707;14,4878;14,59144;14,62644;14,76918;14,864;14,94737;15,00647;15,14569;15,22092;15,30309;15,32828;15,36892;15,58483;15,61173;15,80307;15,90953;15,93235;16,02635;16,1711;16,28908;16,36502;16,39031;16,45059;16,58995;16,60136;16,73133;16,86971;16,92631;17,15085;17,20527;17,22073;17,47063;17,50511;17,55183;17,66631;17,79279;17,87128;17,87128;17,88374;18,04568;18,19322;18,22711;18,32179;18,44655;18,56886;18,64861;18,69257;18,77312;18,96537;19,17145;19,25298;19,43267;19,69085;19,70342;19,8107;20,06674;20,06674;20,07952;20,10729;20,33313;20,75266;20,88976;21,11277;21,26436;21,34214;21,52219;21,84789;22,03031;22,1011;22,78815;23,00938;23,4713;23,58629;23,95231;24,08957;24,49054;24,7106;24,86138;25,20856;25,5531;25,7503;25,99204;26,44417;26,63098;27,12214;27,82456;28,29179;28,64425;29,51188;29,89002;30,40727;
1,529011;1,770154;3,161363;3,340321;3,517904;3,941764;4,391093;4,691209;5,038423;5,070096;5,211411;5,349669;5,419663;5,500099;5,515555;5,638669;5,690167;5,801477;5,850183;5,971257;5,971257;6,121196;6,230879;6,349803;6,392343;6,583775;6,583775;6,701682;6,717906;6,754355;6,872186;6,90676;7,07139;7,128009;7,208677;7,248507;7,429109;7,429109;7,570676;7,668061;7,789226;7,929866;7,963746;8,052021;8,142163;8,168818;8,303821;8,37024;8,37024;8,549187;8,651159;8,732088;8,745832;9,032144;9,192092;9,311701;9,377966;9,627131;9,671741;9,743938;9,892037;9,959325;10,06393;10,12438;10,16907;10,36213;10,38795;10,48529;10,51078;10,52199;10,72849;10,97102;10,97102;11,04241;11,19242;11,26989;11,38103;11,44766;11,48851;11,57262;11,63243;11,68706;11,78203;11,82895;11,9879;12,0316;12,20933;12,31126;12,4462;12,4462;12,68777;12,74139;12,78138;12,96053;13,03159;13,12786;13,18329;13,28303;13,42815;13,58129;13,61174;13,61174;13,78218;13,80924;13,86272;13,94843;14,0008;14,02956;14,28699;14,32661;14,38009;14,50239;14,53119;14,54412;14,77926;14,95055;14,9916;15,07223;15,14853;15,21222;15,44707;15,51258;15,56375;15,72876;15,83004;15,83004;15,9711;16,1074;16,1074;16,18806;16,26828;16,39926;16,451;16,57104;16,65224;16,73259;16,89198;16,96997;17,01005;17,01005;17,06217;17,21072;17,25024;17,28449;17,50414;17,52868;17,70496;17,72978;17,83155;17,99176;17,99176;18,18074;18,34999;18,43068;18,51031;18,62472;18,7507;18,86519;18,89137;19,03917;19,06661;19,4318;19,50974;19,5689;19,70906;19,91107;19,9692;19,99239;20,28373;20,30912;20,52943;20,72637;20,77119;20,99198;21,24618;21,39099;21,85037;22,46457;22,67034;23,1638;23,42766;23,93167;24,184;24,33015;24,96115;25,22662;25,82409;25,98805;26,24589;26,73237;27,21201;27,83039;28,22587;28,509;28,92807;29,20423;29,70847;30,34797;30,99237;31,3688;
0,1140443;0,1140443;0,590789;0,9856567;1,344144;1,587188;1,990296;2,125794;2,503312;2,90177;3,936699;4,069973;4,081585;4,241906;4,411716;4,486162;4,548866;4,710157;4,723113;4,890126;4,890126;5,023918;5,070953;5,204026;5,251741;5,38978;5,419645;5,511875;5,689813;5,749825;5,919466;6,023348;6,188183;6,248886;6,351926;6,484691;6,484691;6,571236;6,763361;6,763361;6,803539;6,927242;6,984924;7,145694;7,189502;7,189502;7,319233;7,319233;7,350087;7,504711;7,504711;7,652041;7,708208;7,801127;7,801127;7,89014;8,003868;8,063898;8,107822;8,136907;8,229686;8,378156;8,409072;8,491172;8,62005;8,62005;8,684604;8,811695;8,892001;8,892001;9,090038;9,103601;9,310926;9,483613;9,498816;9,591857;9,665955;9,688672;9,8122;9,880807;10,06788;10,13834;10,16795;10,25051;10,28947;10,44848;10,70051;10,97189;11,00353;11,17171;11,17171;11,2284;11,34792;11,49023;11,53063;11,6885;11,6885;11,7292;11,85198;11,85198;11,98345;12,16806;12,21004;12,2706;12,2706;12,39994;12,42831;12,52605;12,52605;12,62041;12,78161;12,81041;12,85037;12,85037;13,13014;13,13014;13,23779;13,32446;13,36935;13,53091;13,53091;13,62816;13,63987;13,74728;13,79023;13,88285;13,99149;14,04758;14,12731;14,17199;14,20932;14,36411;14,38693;14,52987;14,54184;14,71064;14,80333;14,95076;15,01086;15,049;15,24803;15,42241;15,70861;15,76989;15,89119;16,04327;16,14029;16,3016;16,42791;16,50849;16,50849;16,80141;16,94994;17,05212;17,18817;17,52789;17,5827;18,02996;18,07012;18,24578;18,58082;18,62619;18,78895;18,96947;19,04891;19,12828;19,30497;19,38284;19,60776;20,72956;20,75213;21,00905;21,16473;21,5523;21,88566;22,04905;22,62364;22,76982;23,12786;23,45165;23,56361;24,22455;24,34683;24,79111;25,7483;25,86911;26,53058;26,6651;27,08718;27,30452;28,20251;28,48606;28,9107;29,66976;30,24792;30,68661;31,06854;31,5914;31,96638;32,33118;
0,1206545;2,029653;2,807035;2,922789;3,628918;3,998653;4,307845;4,385403;4,658636;4,841952;5,027843;5,041842;5,161974;5,223735;5,378179;5,425053;5,667569;5,667569;5,818835;5,98562;6,145683;6,465953;6,540956;6,856143;6,887482;6,917545;7,127135;7,157331;7,247215;7,306801;7,376464;7,40855;7,483588;7,516348;7,606325;7,675907;7,767785;7,915219;8,008061;8,008061;8,08496;8,128606;8,306855;8,336415;8,368992;8,52599;8,605248;8,659352;8,799301;8,845436;8,965191;8,977386;9,067346;9,227294;9,300806;9,50894;9,63717;9,663842;9,8194;9,84903;9,967463;10,32559;10,52915;10,52915;10,55882;10,61895;10,76904;10,83885;10,92655;10,98548;11,05677;11,12771;11,18647;11,3295;11,38857;11,40233;11,62715;11,64089;11,74232;11,75743;11,84682;11,93542;12,07597;12,16011;12,18951;12,34056;12,3659;12,46663;12,46663;12,60436;12,72956;12,78801;12,98903;13,1261;13,20726;13,32404;13,33654;13,42568;13,66218;13,83634;13,86125;14,0856;14,2464;14,25922;14,32759;14,40802;14,58924;14,65968;14,76832;14,82139;15,06331;15,09833;15,22493;15,30564;15,40485;15,40485;15,5252;15,6219;15,70147;15,80763;15,90166;16,00335;16,22446;16,23723;16,40718;16,40718;16,48624;16,60956;16,66852;16,84577;16,94528;17,10338;17,16124;17,26477;17,26477;17,38076;17,44441;17,57817;17,64301;17,68132;17,7465;17,78691;18,00683;18,10486;18,20495;18,34932;18,38746;18,53822;18,62169;18,68586;18,86699;18,91808;18,94531;18,94531;19,02416;19,16339;19,20819;19,26374;19,40853;19,40853;19,62502;19,78236;19,90586;19,96477;20,02659;20,12314;20,2695;20,38406;20,58545;20,64376;20,84595;20,84595;20,90912;21,0235;21,16842;21,26867;21,42185;21,6235;21,8023;21,96079;21,96079;22,18344;22,18344;22,38329;22,56961;22,76866;22,80246;23,04761;23,24643;23,40104;23,6452;24,12656;24,40038;24,82692;25,14801;25,70621;26,14375;26,56945;27,18502;27,62479;
0,6354656;0,8719278;2,651412;3,265504;3,326326;3,51189;3,98572;4,140596;4,203245;4,292966;4,442242;4,67242;4,734556;5,154548;5,380982;5,380982;5,512511;5,541767;5,705846;5,722074;5,831703;5,893271;5,907329;6,044155;6,091063;6,122491;6,289073;6,413099;6,413099;6,472771;6,573416;6,695485;6,72438;6,771925;6,845377;6,905544;7,011736;7,072462;7,16217;7,22154;7,323155;7,355201;7,384077;7,574086;7,574086;7,603257;7,814649;7,814649;7,846334;8,004083;8,034709;8,166836;8,181382;8,334429;8,391763;8,464211;8,535321;8,585776;8,654157;8,735246;8,774604;8,81538;8,9339;9,022627;9,122441;9,153459;9,222619;9,353281;9,454534;9,454534;9,595167;9,643541;9,692949;9,865909;10,02249;10,05248;10,17352;10,28399;10,34201;10,45418;10,59145;10,72252;10,7529;10,78136;10,82636;10,97301;11,01445;11,10717;11,25174;11,2816;11,3106;11,48795;11,56598;11,60685;11,75451;11,88972;11,92493;12,14465;12,21324;12,33554;12,34782;12,70821;12,78947;12,89101;13,01257;13,01257;13,14474;13,27374;13,31306;13,34943;13,4081;13,45489;13,57228;13,6075;13,6895;13,83051;13,85412;13,94962;13,97279;14,08949;14,21447;14,25352;14,31503;14,36749;14,50271;14,53084;14,66381;14,73087;14,73087;14,86724;14,92813;15,01442;15,16612;15,24898;15,27361;15,4052;15,51099;15,61512;15,75469;15,81362;15,95462;16,11458;16,21002;16,2487;16,42965;16,46757;16,7113;16,78609;16,8889;16,91239;17,54447;17,54447;17,71223;17,79367;18,02804;18,28654;18,67532;18,77508;18,8526;19,01294;19,17435;19,17435;19,18512;19,2755;19,40922;19,45495;19,55527;19,72757;19,832;19,88875;20,07514;20,13372;20,33508;20,36854;20,54907;20,83181;20,86551;21,0094;21,26723;21,43328;21,46757;21,81135;22,00984;22,16726;22,43331;22,69357;22,88772;23,10584;23,30616;23,91112;24,1496;24,37113;24,62912;24,91323;25,28703;25,61074;25,97298;26,67008;27,06803;27,45542;
0,6674175;1,177135;1,2268;3,093682;3,140028;3,288595;3,498563;3,817099;3,977919;4,146616;4,445973;4,625916;4,639465;4,866353;4,927924;5,06826;5,102559;5,381177;5,509176;5,538754;5,660819;5,892786;5,977911;5,977911;6,028504;6,307612;6,520903;6,65516;6,7064;6,7064;6,754415;6,88678;6,988086;7,019453;7,219052;7,219052;7,506196;7,521132;7,568455;7,787912;7,787912;7,817217;7,965489;8,006781;8,147544;8,2448;8,2448;8,317442;8,435737;8,435737;8,655908;8,721942;8,786337;8,960726;9,007649;9,0495;9,266176;9,367031;9,595298;9,626552;9,805426;9,905362;9,905362;9,947576;10,10916;10,18625;10,20067;10,29439;10,34216;10,42191;10,56926;10,60074;10,78813;10,92618;11,06682;11,06682;11,25466;11,37993;11,37993;11,52242;11,55613;11,64762;11,64762;11,86482;11,94731;11,96175;12,09725;12,22055;12,35742;12,38617;12,46813;12,67993;12,70791;12,74936;12,93716;13,10678;13,17781;13,22583;13,23876;13,34715;13,46157;13,47753;13,56518;13,64543;13,69858;13,72666;13,86763;13,96354;14,04078;14,06791;14,22372;14,41705;14,46774;14,50581;14,54526;14,76344;14,78779;14,86039;14,88422;14,96748;15,08596;15,08596;15,16291;15,26935;15,38791;15,42807;15,54882;15,60068;15,76624;15,76624;15,80617;15,93858;15,96285;16,12115;16,20836;16,34141;16,42335;16,50595;16,62147;16,62147;16,76144;16,82904;17,00179;17,0611;17,24506;17,30187;17,56931;17,6055;17,76379;17,76379;17,86455;18,04375;18,1418;18,26787;18,30296;18,36162;18,43891;18,58764;18,72156;18,88858;18,8992;19,04465;19,20297;19,22704;19,32311;19,34591;19,52484;19,70712;20,1843;20,36868;20,46241;20,60659;21,16566;21,28685;21,54745;21,64893;22,1446;22,1446;22,33932;22,5431;22,6667;22,88435;23,229;23,40736;23,78254;24,14684;24,58642;25,14527;25,62897;25,95848;26,62474;26,72292;27,06666;27,28598;27,56061;27,94391;28,28874;28,88512;29,26786;29,6665;
0,1108778;1,110826;1,351777;3,026802;3,044129;3,377402;3,80832;4,123538;4,333998;4,372211;4,681514;4,81791;4,871193;4,923578;5,105217;5,302116;5,502718;5,586926;5,640052;5,759109;5,806143;6,011297;6,142901;6,142901;6,320735;6,35405;6,412405;6,505172;6,56208;6,690395;6,770317;6,983032;7,132428;7,211219;7,349367;7,530628;7,607481;7,622254;7,698046;7,729371;7,823004;7,839551;8,060225;8,137561;8,310943;8,341092;8,403124;8,462392;8,651122;8,705399;8,7911;8,905865;9,067141;9,150581;9,209093;9,249137;9,300438;9,448509;9,460827;9,592705;9,670424;9,684953;9,80469;9,831686;9,968814;10,46176;10,6528;10,66555;10,87852;10,96699;11,04825;11,04825;11,28924;11,37054;11,45172;11,49118;11,572;11,66759;11,7699;11,89254;11,95183;12,11197;12,11197;12,27064;12,48881;12,54474;12,55935;12,75025;12,84204;12,97149;13,13271;13,18188;13,20779;13,28937;13,30159;13,43184;13,43184;13,65893;13,7032;13,74535;13,81155;13,8817;14,05173;14,17117;14,17117;14,30956;14,39278;14,48944;14,58293;14,58293;14,66946;14,76492;14,89138;15,0119;15,0119;15,20425;15,23101;15,33133;15,35894;15,49235;15,50308;15,64707;15,74685;16,06621;16,13147;16,19057;16,32122;16,43929;16,46675;16,51228;16,6911;16,79017;16,84952;16,9645;16,98829;17,02518;17,18995;17,2515;17,32651;17,36786;17,52717;17,58997;17,75129;17,85189;17,94306;18,06946;18,13076;18,24203;18,36112;18,54336;18,64222;18,6648;18,82671;19,02629;19,20924;19,28866;19,31061;19,36666;19,671;19,81046;19,91083;20,14544;20,16776;20,40571;20,4276;20,57234;20,78614;20,78614;20,93001;21,01024;21,42586;21,47262;21,58241;21,73033;22,0651;22,08761;22,92445;23,16845;23,46627;23,67063;23,82543;24,22766;24,46318;24,80651;25,13004;25,98874;26,06544;26,44606;26,79005;27,18682;27,43141;27,87217;28,30514;28,70567;29,00894;29,5081;29,9094;30,2512;30,74477;31,36876;
0,118972;1,00047;1,390695;3,190331;3,349575;3,670755;4,050131;4,202899;4,472259;4,562567;4,627052;4,812351;4,812351;5,009229;5,02125;5,144661;5,225057;5,331957;5,409612;5,648743;5,662393;5,797782;5,898187;5,960013;6,110905;6,110905;6,124141;6,261662;6,31123;6,432725;6,44663;6,550344;6,579914;6,728177;6,831132;6,892633;6,950469;7,130115;7,143942;7,242588;7,453022;7,539088;7,612839;7,820095;8,073115;8,105296;8,252491;8,252491;8,412843;8,477869;8,477869;8,511641;8,607141;8,770702;8,770702;8,785183;8,864942;8,926966;9,012079;9,10693;9,173206;9,251669;9,310865;9,340458;9,43101;9,533173;9,631536;9,816776;9,878011;9,909382;10,06742;10,09246;10,16341;10,30775;10,5311;10,67731;10,70967;10,75275;10,94596;11,00665;11,14419;11,16196;11,21075;11,25498;11,36154;11,49141;11,49141;11,5917;11,72873;11,82451;11,90592;12,05083;12,06302;12,13083;12,36823;12,44828;12,44828;12,58648;12,58648;12,80963;12,9053;12,94985;13,12901;13,14268;13,26957;13,35299;13,40729;13,47166;13,48337;13,61061;13,7075;13,77045;13,77045;13,89016;13,99254;14,05239;14,19322;14,20472;14,25218;14,49318;14,52996;14,69139;14,79057;14,82757;14,94023;15,03138;15,09284;15,12768;15,32679;15,37798;15,43205;15,52984;15,72962;15,79042;15,86971;16,11002;16,16885;16,22671;16,33062;16,34237;16,3668;16,50713;16,56291;16,62219;16,6899;16,71247;16,79333;16,92508;17,00518;17,02791;17,10708;17,18778;17,37142;17,37142;17,52164;17,60973;17,70543;17,80786;17,85185;17,98704;18,19193;18,19193;18,32582;18,37164;18,40648;18,56697;18,64544;18,74536;18,79333;18,87091;18,90381;19,00608;19,08706;19,27156;19,66595;20,10885;20,67338;20,78318;20,95201;21,15283;21,42886;21,56581;22,08943;22,18909;22,48697;22,97026;23,21164;24,22878;24,57239;24,60736;25,01108;25,41098;25,68753;26,46537;26,89337;26,98694;27,20716;27,58976;27,90593;28,33204;
1,070118;1,40504;3,455534;3,683489;3,797814;3,935679;4,228551;4,289328;4,456755;4,488137;4,82759;5,026875;5,242723;5,530104;5,599345;5,697607;5,866966;5,955786;5,986396;6,145328;6,278856;6,525745;6,578865;6,728993;6,778917;6,857784;7,040946;7,173862;7,173862;7,289502;7,339151;7,407605;7,490571;7,521769;7,623041;7,640328;7,717813;7,869208;7,897999;7,966904;8,042148;8,190503;8,236849;8,429725;8,443974;8,494319;8,575832;8,638862;8,788356;8,908272;8,908272;9,002839;9,127528;9,168521;9,28349;9,329938;9,329938;9,467009;9,596464;9,641561;9,778715;9,838252;10,08108;10,15704;10,24648;10,2594;10,41813;10,56746;10,59866;10,66254;10,78911;10,8696;10,94998;10,99906;11,09559;11,14079;11,30906;11,30906;11,38083;11,46867;11,46867;11,52739;11,6692;11,76713;11,8467;11,94683;12,04806;12,16699;12,26819;12,32451;12,39542;12,54883;12,56144;12,67027;12,7261;12,87687;12,90533;13,03468;13,09628;13,13998;13,15447;13,28561;13,3279;13,40924;13,50195;13,54294;13,76598;13,84796;13,88803;14,06637;14,18847;14,25632;14,29769;14,44624;14,50739;14,54136;14,64879;14,74317;14,86321;14,97057;15,02947;15,08867;15,14699;15,22816;15,28579;15,31983;15,46046;15,54349;15,54349;15,68508;15,71016;15,86592;15,94612;15,94612;16,02711;16,12584;16,24225;16,32648;16,32648;16,42701;16,46572;16,64289;16,69883;16,7689;17,00223;17,02659;17,14339;17,18839;17,30208;17,32538;17,47006;17,66344;17,71046;17,78232;17,96358;18,06807;18,12649;18,30071;18,40385;18,50649;18,66343;18,84114;19,04284;19,2234;19,46656;19,46656;19,72387;19,85013;19,85013;20,05968;20,2489;20,28548;20,42839;20,48657;20,98771;21,022;21,32672;22,06989;22,20967;23,04722;23,20857;23,6281;23,72856;24,1503;24,40393;24,65045;24,82275;25,12499;25,39028;25,54513;25,90226;26,20625;26,70602;27,04987;27,38432;27,92753;28,43039;28,88767;29,46408;29,88588;
