Personne 0;Personne 1;Personne 2;Personne 3;Personne 4;Personne 5;Personne 6;Personne 7;Personne 8;Personne 9;Personne 10;Personne 11;Personne 12;Personne 13;Personne 14;Personne 15;Personne 16;Personne 17;Personne 18;Personne 19;Personne 20;Personne 21;Personne 22;Personne 23;Personne 24;Personne 25;Personne 26;Personne 27;Personne 28;Personne 29;Personne 30;Personne 31;Personne 32;Personne 33;Personne 34;Personne 35;Personne 36;Personne 37;Personne 38;Personne 39;Personne 40;Personne 41;Personne 42;Personne 43;Personne 44;Personne 45;Personne 46;Personne 47;Personne 48;Personne 49;Personne 50;Personne 51;Personne 52;Personne 53;Personne 54;Personne 55;Personne 56;Personne 57;Personne 58;Personne 59;Personne 60;Personne 61;Personne 62;Personne 63;Personne 64;Personne 65;Personne 66;Personne 67;Personne 68;Personne 69;Personne 70;Personne 71;Personne 72;Personne 73;Personne 74;Personne 75;Personne 76;Personne 77;Personne 78;Personne 79;Personne 80;Personne 81;Personne 82;Personne 83;Personne 84;Personne 85;Personne 86;Personne 87;Personne 88;Personne 89;Personne 90;Personne 91;Personne 92;Personne 93;Personne 94;Personne 95;Personne 96;Personne 97;Personne 98;Personne 99;Personne 100;Personne 101;Personne 102;Personne 103;Personne 104;Personne 105;Personne 106;Personne 107;Personne 108;Personne 109;Personne 110;Personne 111;Personne 112;Personne 113;Personne 114;Personne 115;Personne 116;Personne 117;Personne 118;Personne 119;Personne 120;Personne 121;Personne 122;Personne 123;Personne 124;Personne 125;Personne 126;Personne 127;Personne 128;Personne 129;Personne 130;Personne 131;Personne 132;Personne 133;Personne 134;Personne 135;Personne 136;Personne 137;Personne 138;Personne 139;Personne 140;Personne 141;Personne 142;Personne 143;Personne 144;Personne 145;Personne 146;Personne 147;Personne 148;Personne 149;Personne 150;Personne 151;Personne 152;Personne 153;Personne 154;Personne 155;Personne 156;Personne 157;Personne 158;Personne 159;Personne 160;Personne 161;Personne 162;Personne 163;Personne 164;Personne 165;Personne 166;Personne 167;Personne 168;Personne 169;Personne 170;Personne 171;Personne 172;Personne 173;Personne 174;Personne 175;Personne 176;Personne 177;Personne 178;Personne 179;Personne 180;Personne 181;Personne 182;Personne 183;Personne 184;Personne 185;Personne 186;Personne 187;Personne 188;Personne 189;Personne 190;Personne 191;Personne 192;Personne 193;Personne 194;Personne 195;Personne 196;Personne 197;Personne 198;Personne 199;
0,02;0,9586549;1,079245;2,157327;2,577222;2,817759;3,389379;3,61659;3,850851;3,913723;4,08675;4,597116;4,779957;4,857512;4,964316;5,069798;5,118507;5,213103;5,245436;5,385434;5,631873;5,648503;5,848145;5,848145;5,924009;6,018901;6,234227;6,279959;6,279959;6,292484;6,416235;6,476434;6,505351;6,597117;6,648733;6,746643;6,835464;6,835464;6,87679;7,098794;7,155475;7,155475;7,2534;7,359137;7,418254;7,418254;7,530999;7,546539;7,66501;7,696314;7,723726;7,870814;7,870814;7,928665;8,017807;8,078144;8,212488;8,427949;8,457611;8,486834;8,61412;8,61412;8,626915;8,777247;8,837799;8,866102;8,897151;9,056345;9,09978;9,09978;9,219587;9,278198;9,391147;9,391147;9,610077;9,667203;9,755477;9,811904;9,917483;9,999326;10,05494;10,1265;10,15582;10,24765;10,27705;10,37934;10,4069;10,53878;10,53878;10,53878;10,6066;10,70437;10,73479;10,78869;10,87679;10,93123;10,95731;11,03954;11,09509;11,10741;11,2354;11,2354;11,41701;11,43075;11,47462;11,59965;11,65438;11,69721;11,70962;11,77807;11,87538;11,92888;12,05447;12,1068;12,13527;12,2296;12,27251;12,4179;12,43113;12,51413;12,63221;12,63221;12,81947;12,87675;12,98749;13,0161;13,15117;13,33842;13,49742;13,50959;13,53829;13,71386;13,73995;13,75497;13,85832;14,05424;14,06674;14,15933;14,19219;14,3265;14,49465;14,63475;14,93137;15,07939;15,09221;15,29653;15,55107;15,62978;15,67967;15,75575;15,79464;15,8532;16,01398;16,08756;16,1361;16,29459;16,3193;16,35701;16,55684;16,9088;17,07922;17,07922;17,19621;17,25773;17,39384;17,51815;17,5548;17,68941;17,85753;17,8692;18,25199;18,31543;18,41266;18,57816;18,64833;18,71938;18,83555;18,83555;18,97623;19,03871;19,23005;19,77172;19,85149;20,01988;20,33529;20,33529;20,39108;20,53754;20,55912;20,66979;20,79406;20,85998;21,07515;21,17581;21,19688;21,35679;21,43704;22,01859;22,09982;22,79345;
0,6024212;1,955233;2,509634;3,282895;3,726262;3,846913;3,953515;3,967004;4,122573;4,343755;4,682978;5,035722;5,234923;5,593249;5,772888;5,94227;5,975281;6,048918;6,143226;6,174961;6,312286;6,312286;6,402657;6,528214;6,726738;6,774176;6,894323;6,939399;7,021704;7,191919;7,191919;7,254861;7,542998;7,634411;7,774163;8,013441;8,042743;8,164371;8,272137;8,332377;8,464277;8,526353;8,594438;8,607766;8,669462;8,715743;8,860659;8,860659;8,891307;8,962895;9,007966;9,082884;9,14596;9,295859;9,295859;9,30888;9,355302;9,492957;9,53577;9,53577;9,62838;9,734495;9,74849;9,795723;9,892574;9,954651;9,990332;10,05428;10,15361;10,15361;10,35469;10,35469;10,38161;10,41248;10,51242;10,5829;10,61135;10,74474;10,81519;10,92898;11,07255;11,13133;11,16198;11,31545;11,31545;11,31545;11,39532;11,46205;11,5551;11,62631;11,65548;11,8538;11,89405;11,92285;12,01079;12,09198;12,17475;12,17475;12,2322;12,29098;12,37466;12,57219;12,57219;12,67269;12,83067;12,83067;12,83067;13,00823;13,10496;13,21521;13,23406;13,30924;13,35378;13,47034;13,50834;13,54374;13,61775;13,76944;13,76944;13,82433;13,89302;14,04211;14,06848;14,13142;14,25233;14,29237;14,41128;14,52728;14,56415;14,59176;14,7507;14,9156;14,9156;14,92863;15,09489;15,13388;15,18565;15,3321;15,34478;15,42802;15,50654;15,78961;15,89389;15,95263;16,09299;16,26965;16,46887;16,66976;16,77512;16,77512;16,93082;16,94266;17,0945;17,13034;17,18953;17,22363;17,2713;17,39524;17,49432;17,50464;17,59247;17,82879;17,9884;18,013;18,013;18,04808;18,23318;18,29129;18,31358;18,41453;18,68843;18,75545;19,07326;19,12872;19,26498;19,31048;19,42845;19,46638;19,62812;19,62812;19,71142;19,7957;20,01508;20,07058;20,09351;20,12682;20,29535;20,3731;20,474;20,55113;20,94707;21,54327;21,61413;21,84513;21,89259;22,0528;22,1697;22,23517;23,12873;23,47018;
0,1290016;0,8711733;1,370169;2,77235;2,926071;3,034296;3,450642;3,634029;3,969976;4,061136;4,231324;4,293303;4,921906;5,36712;5,522034;5,70729;5,723034;5,880501;5,973622;6,252134;6,314332;6,392658;6,406106;6,543701;6,592442;6,592442;6,751475;6,751475;6,780959;6,927271;6,989989;7,003304;7,114026;7,191619;7,22278;7,330232;7,359984;7,422811;7,454241;7,52844;7,66345;7,712037;7,800801;7,800801;7,951173;8,085505;8,132369;8,132369;8,162338;8,292912;8,306416;8,349268;8,42019;8,511888;8,584588;8,762622;8,892113;8,933765;9,014326;9,014326;9,110065;9,213719;9,213719;9,253214;9,309883;9,413187;9,472825;9,531096;9,531096;9,626709;9,641718;9,708721;9,788827;9,872566;9,91402;9,960445;9,960445;10,08519;10,08519;10,16086;10,19361;10,2717;10,284;10,35989;10,39011;10,48155;10,48155;10,55933;10,59129;10,6646;10,71396;10,72747;10,79238;10,884;10,884;10,98602;11,11235;11,11235;11,16328;11,19137;11,2805;11,30862;11,41126;11,44135;11,48705;11,53271;11,59005;11,70491;11,70491;11,79325;11,79325;11,94389;11,96152;12,03156;12,10359;12,13206;12,27423;12,28751;12,33148;12,45224;12,46436;12,50644;12,53421;12,65257;12,65257;12,81268;12,82586;12,85291;13,00061;13,03364;13,03364;13,08868;13,22327;13,2908;13,35004;13,45376;13,52956;13,57106;13,67231;13,67231;13,77263;13,88372;13,99083;14,07034;14,10897;14,17182;14,17182;14,3133;14,36937;14,4699;14,61253;14,72592;14,75255;14,88546;14,91021;14,96678;15,01083;15,17143;15,29157;15,40966;15,50383;15,50383;15,65125;15,80279;15,82827;15,96455;16,13093;16,2824;16,39221;16,4274;16,59342;16,7634;16,84765;16,92602;17,12771;17,5684;17,59011;17,81122;17,85437;17,96899;18,12885;18,28677;18,45429;18,86702;18,88897;19,03153;19,48723;19,66783;19,72448;19,84806;19,94983;20,02916;20,14993;20,26916;20,47271;21,31209;21,50676;21,76088;21,80819;23,39296;
0,130721;0,3676398;1,864571;2,175633;2,423373;2,608629;2,791161;2,891539;3,1603;3,581446;3,848635;4,100862;4,484305;4,596385;4,686767;4,761585;5,077331;5,251038;5,465003;5,621593;5,621593;5,779022;5,841114;5,964252;6,059385;6,091308;6,230482;6,309798;6,356404;6,551493;6,564668;6,658485;6,689462;6,820704;6,8771;7,043737;7,043737;7,145705;7,207114;7,288355;7,349319;7,471468;7,471468;7,560154;7,576076;7,667434;7,788063;7,847336;7,938688;8,058666;8,103503;8,103503;8,308328;8,337179;8,365457;8,510714;8,540164;8,628665;8,741261;8,769253;8,808892;8,901769;8,930646;9,06119;9,130622;9,159751;9,30741;9,351026;9,351026;9,424065;9,498637;9,527108;9,608171;9,662587;9,790318;9,847038;9,859998;10,01822;10,04539;10,05828;10,13083;10,18952;10,23077;10,35853;10,42011;10,42011;10,45091;10,60029;10,65803;10,82731;10,88535;10,94205;11,02333;11,13128;11,22893;11,32735;11,32735;11,38786;11,48944;11,56239;11,6421;11,67036;11,80555;11,81865;11,88733;12,00799;12,02321;12,08428;12,1712;12,22448;12,32084;12,49136;12,58952;12,69917;12,82899;12,98271;13,02348;13,03803;13,34954;13,46448;13,52903;13,66455;13,69133;13,78683;13,92221;13,92221;13,99015;14,04543;14,16738;14,16738;14,26112;14,40989;14,43974;14,56512;15,01044;15,04749;15,14561;15,2612;15,28783;15,42388;15,469;15,58485;15,62657;15,76829;15,76829;15,96622;16,05081;16,14458;16,33123;16,35873;16,35873;16,70742;16,75854;16,92743;17,10509;17,12892;17,14124;17,16558;17,32994;17,40871;17,42058;17,56283;17,72291;18,18965;18,37031;18,46746;18,74861;18,74861;19,22424;19,35137;19,59981;19,76475;19,85054;19,94815;19,97121;20,02666;20,10548;20,1665;20,18935;20,24324;20,32135;20,42157;20,61078;20,61078;21,3477;21,4098;21,51139;21,76917;21,76917;22,12802;22,33007;23,11011;23,20868;23,43056;23,67853;24,01121;24,08556;24,40746;24,5654;24,78679;
0,4111608;1,123698;1,67026;2,429537;2,429537;2,661272;3,051561;3,355975;3,792071;3,838184;4,209102;4,410873;4,531272;4,859662;4,859662;4,909442;5,109591;5,122759;5,138995;5,292201;5,459423;5,550943;5,628388;5,642476;5,824885;6,02882;6,187083;6,249102;6,41202;6,443936;6,578053;6,630316;6,660962;6,743454;6,776677;6,825459;7,076734;7,109831;7,172032;7,249198;7,361617;7,439878;7,570216;7,760693;7,812116;8,023671;8,040009;8,121831;8,243195;8,289768;8,327532;8,339907;8,511345;8,524152;8,591746;8,760947;8,792263;8,792263;8,911185;8,925153;8,941182;9,06301;9,092419;9,228905;9,271098;9,271098;9,384912;9,431615;9,444984;9,569603;9,628675;9,65938;9,750489;9,819035;9,889059;9,917271;10,0512;10,14904;10,23079;10,27239;10,27239;10,42498;10,50815;10,54963;10,59022;10,64124;10,70706;10,72963;10,84797;10,88615;10,90936;10,97818;11,06836;11,08206;11,12909;11,32755;11,32755;11,42672;11,51008;11,51008;11,56669;11,73134;11,73134;12,02109;12,04937;12,04937;12,19002;12,19002;12,33022;12,33022;12,49018;12,57192;12,58416;12,67036;12,80712;12,98326;13,06758;13,1468;13,23183;13,27049;13,31196;13,37864;13,45174;13,5313;13,73057;13,77028;13,92055;14,03135;14,08985;14,20753;14,26555;14,41172;14,44918;14,66233;14,68805;14,8274;15,00871;15,04469;15,10743;15,20635;15,36068;15,52589;15,58694;15,74874;15,97105;16,12618;16,27153;16,45104;16,54808;16,62671;16,80077;16,86034;16,96751;17,00124;17,18704;17,21044;17,37059;17,66046;17,68818;17,92698;18,05182;18,14778;18,24986;18,28972;18,32103;18,46874;18,49064;18,49064;18,56999;18,65021;18,79071;18,80186;19,03147;19,08731;19,26591;19,60926;19,78759;20,18657;20,2084;20,36517;20,58708;20,66799;20,74632;20,92749;21,10078;21,28782;21,32195;21,52594;21,65025;21,66276;21,78501;21,92871;21,98654;22,0879;22,1111;22,28252;22,79031;23,07144;23,20642;23,39029;
0,9843273;2,209622;2,374278;2,677368;2,776544;3,329062;3,848524;4,001745;4,400703;4,750944;4,909149;5,078814;5,251333;5,279134;5,311115;5,437821;5,61108;5,791642;5,929245;5,929245;5,942832;6,005991;6,158604;6,204867;6,308745;6,400445;6,491822;6,568677;6,631361;6,711492;6,711492;6,850696;6,863587;6,971954;7,031668;7,076087;7,137245;7,257436;7,288613;7,302157;7,423366;7,423366;7,570298;7,617691;7,647544;7,859402;7,921038;7,981391;8,10142;8,10142;8,157354;8,309372;8,370669;8,384175;8,50397;8,669011;8,681504;8,789716;8,870363;9,030369;9,043103;9,148088;9,251397;9,367683;9,438881;9,490511;9,53663;9,569663;9,661843;9,760437;9,8307;9,865101;9,865101;9,962746;9,990032;10,13933;10,16749;10,24606;10,33785;10,36734;10,42378;10,51071;10,51071;10,52403;10,66932;10,66932;10,80964;10,96565;11,10663;11,14507;11,2498;11,30773;11,30773;11,35155;11,44973;11,50498;11,54714;11,55934;11,66421;11,72869;11,76963;11,81052;11,87759;11,98997;12,04667;12,04667;12,31116;12,31116;12,33863;12,5911;12,69955;12,77147;12,84196;12,84196;12,92617;12,96681;13,08085;13,12267;13,21843;13,2446;13,34299;13,38435;13,53069;13,60945;13,77574;13,85121;13,93011;14,02019;14,08554;14,16357;14,19121;14,34885;14,423;14,52554;14,52554;14,63015;14,68123;14,74749;14,84954;14,95007;15,14422;15,30977;15,60867;15,82208;16,02358;16,05167;16,13121;16,17007;16,20186;16,26647;16,50644;16,50644;16,74426;17,00953;17,00953;17,47044;17,55033;17,58505;17,64039;17,7481;17,84998;18,07047;18,1506;18,22886;18,35206;18,38669;18,38669;18,53177;18,58974;18,63191;18,66682;18,76753;18,8506;18,8506;19,012;19,16442;19,33091;19,70875;19,70875;19,93008;19,989;20,26791;20,33042;20,45894;20,55039;20,58575;20,76523;20,84833;21,00554;21,03041;21,08916;21,18955;21,28908;21,4884;21,64993;21,66077;21,70609;21,90486;25,065;25,42464;
0,1419495;1,913967;2,02158;2,854777;2,933236;3,073061;3,812725;4,109931;4,109931;4,141691;4,60312;4,772829;4,848097;4,932255;4,932255;5,022592;5,100078;5,465314;5,647311;5,693583;5,846288;5,878469;5,913922;6,034961;6,114672;6,187821;6,251879;6,313599;6,358818;6,393516;6,52367;6,551249;6,682683;6,682683;6,773584;6,892381;6,940013;7,033177;7,12313;7,201445;7,232924;7,400033;7,431427;7,474546;7,503212;7,593608;7,701441;7,73124;7,77066;7,911716;7,924496;7,975051;8,074015;8,145639;8,334873;8,452767;8,452767;8,541285;8,614822;8,654301;8,666725;8,769635;8,841278;8,933736;9,000536;9,101548;9,133447;9,263343;9,289033;9,355014;9,470767;9,470767;9,513596;9,59549;9,607766;9,710409;9,795311;9,795311;9,852974;9,910752;9,99498;10,02334;10,08357;10,15454;10,16781;10,16781;10,32424;10,35498;10,41341;10,51563;10,6262;10,6409;10,67192;10,81559;10,85462;10,90406;11,0315;11,0315;11,09264;11,19312;11,27563;11,32966;11,46609;11,46609;11,59104;11,59104;11,65533;11,66793;11,79177;11,87262;11,9143;11,92649;12,27143;12,35352;12,43337;12,5132;12,55496;12,59533;12,60696;12,68524;12,75309;12,82138;12,87392;12,92467;12,99414;13,0343;13,04604;13,16605;13,24652;13,27334;13,35083;13,46691;13,53371;13,66687;13,72879;13,83364;13,90506;13,9881;14,02269;14,17111;14,35302;14,55444;14,55444;14,71317;14,71317;14,87372;15,03507;15,25464;15,36488;15,52808;15,6938;15,85311;15,91;16,07042;16,25485;16,3684;16,45472;16,61194;16,75393;16,87305;16,9289;16,99283;17,09422;17,17155;17,26593;17,38811;17,45311;17,57558;17,67089;17,70639;17,78581;17,83324;17,91274;17,98988;18,02989;18,07131;18,09492;18,28652;18,34939;18,46497;18,65393;18,853;18,90806;19,37146;19,55527;19,58791;19,6265;19,85487;19,85487;20,08792;20,14572;20,31196;20,33521;20,57233;20,57233;21,61292;21,88865;23,16884;23,31164;23,4951;
0,9393042;1,148958;1,76755;2,161657;2,681214;2,976793;3,709491;4,678935;4,727131;4,877646;5,169592;5,338819;5,508028;5,782085;5,864038;5,950445;6,089246;6,103231;6,30806;6,337658;6,447756;6,570112;6,728197;6,866539;6,880758;6,896589;7,007668;7,068586;7,082626;7,195632;7,217223;7,29676;7,402724;7,402724;7,575442;7,622002;7,670084;7,715073;7,822785;7,869096;7,930398;8,050308;8,18892;8,246638;8,309157;8,427324;8,427324;8,549081;8,722098;8,738267;8,738267;8,754116;8,897853;8,975382;9,019775;9,096222;9,144197;9,194488;9,260445;9,329769;9,389353;9,44972;9,479572;9,495179;9,641872;9,686624;9,686624;9,743321;9,788318;9,921028;9,935713;10,01416;10,09484;10,27986;10,27986;10,2938;10,32707;10,46177;10,47656;10,59744;10,71774;10,86867;10,89993;10,89993;10,96331;11,07681;11,10796;11,12105;11,22635;11,29813;11,32837;11,38398;11,46576;11,59037;11,70308;11,86025;11,93829;12,02684;12,08046;12,12472;12,18504;12,20859;12,34989;12,36335;12,4305;12,55839;12,5867;12,5867;12,67703;12,7174;12,86601;12,86601;13,03805;13,10814;13,20648;13,24181;13,40684;13,42252;13,44303;13,58349;13,74856;13,82437;13,82437;13,96644;13,96644;14,10886;14,3235;14,40061;14,48037;14,54848;14,70116;14,82564;14,96306;14,99788;15,04702;15,20617;15,21966;15,39903;15,45014;15,54777;15,60841;15,61882;15,7476;15,78471;15,88832;15,93901;15,96459;16,08541;16,16989;16,26055;16,36347;16,40032;16,5497;16,6622;16,86329;17,039;17,18636;17,22933;17,40935;17,44662;17,46992;17,60601;17,62939;17,70939;17,78175;18,18777;18,24255;18,40416;18,62765;18,90288;19,12902;19,22747;19,34439;19,50417;19,78732;19,94801;20,00547;20,04432;20,22453;20,46655;20,82764;20,92972;20,92972;21,1298;21,14044;21,34495;21,52163;21,70668;21,82088;21,96903;22,10088;22,40926;22,58114;22,78729;22,92669;23,02884;23,88962;24,11913;24,58455;25,02841;
0,1796441;0,7034084;1,629848;1,884797;2,11101;3,21013;3,36648;3,529865;3,74726;3,825024;4,010913;4,1403;4,285183;4,589787;4,977074;5,188682;5,341436;5,491158;5,786454;5,799333;6,027914;6,08959;6,426409;6,471227;6,539458;6,646863;6,709945;6,742168;6,790764;6,907796;6,907796;7,048791;7,087323;7,087323;7,235776;7,281881;7,390574;7,518546;7,689815;7,719882;7,768867;7,84499;7,861563;8,046832;8,121618;8,170291;8,301106;8,301106;8,508701;8,521612;8,581232;8,596407;8,689565;8,821657;8,881148;8,923643;9,036717;9,055398;9,179379;9,227378;9,240387;9,288649;9,428495;9,441133;9,517615;9,535267;9,589417;9,649405;9,764876;9,779834;9,870018;9,870018;9,960878;9,960878;10,13031;10,1881;10,23948;10,34148;10,41055;10,41055;10,48111;10,60255;10,70984;10,70984;10,7495;10,85004;10,90854;10,90854;10,98508;11,04774;11,09871;11,19811;11,19811;11,30629;11,31844;11,44901;11,44901;11,50797;11,53809;11,63025;11,66002;11,69103;11,74684;11,81075;11,85059;12,02764;12,02764;12,18999;12,21805;12,34963;12,34963;12,5687;12,5687;12,7675;12,80849;12,89049;12,94621;13,02578;13,15837;13,26736;13,43943;13,59129;13,60389;13,61832;13,76139;13,78815;13,82786;14,00788;14,07171;14,11081;14,2097;14,31118;14,32278;14,50665;14,56775;14,8508;14,89093;14,92826;15,03006;15,25124;15,29153;15,38655;15,4486;15,53959;15,61846;16,02819;16,36732;16,37982;16,58889;16,62667;16,80422;16,9849;17,06483;17,06483;17,14409;17,2117;17,30522;17,46498;17,59141;17,6476;17,71073;17,82758;17,85043;18,01004;18,22816;18,2899;18,36619;18,39092;18,46949;18,52725;18,62659;18,70865;18,76984;18,76984;18,97104;19,06288;19,32373;19,35228;19,47767;19,65941;19,72309;19,80987;19,84547;20,06993;20,06993;20,08585;20,19934;20,27017;20,35061;20,35061;20,47476;20,51095;21,10237;21,46681;21,76863;22,15141;22,40939;22,58642;23,74048;24,0246;
2,505587;2,870382;3,035073;3,093801;3,182785;3,333949;3,488557;4,143494;4,254692;4,47532;4,694892;4,867984;5,016857;5,14713;5,207268;5,374911;5,389327;5,548278;5,715174;5,731526;5,974691;6,135223;6,287806;6,476648;6,476648;6,551885;6,653142;6,68307;6,906154;6,955624;7,046922;7,091978;7,290315;7,306642;7,487142;7,61534;7,652557;7,735834;7,815253;7,84552;7,894936;7,965915;8,016745;8,166025;8,166025;8,233335;8,351198;8,374023;8,449167;8,511951;8,554854;8,715531;8,866357;9,013774;9,069469;9,069469;9,153956;9,25403;9,404287;9,446417;9,588582;9,692564;9,734323;9,83471;9,847163;9,847163;10,01388;10,02745;10,05428;10,10435;10,22485;10,25469;10,25469;10,39451;10,45406;10,53214;10,62201;10,69651;10,75456;10,83075;10,88375;10,97085;10,98741;11,00425;11,13453;11,19016;11,33399;11,33399;11,34785;11,39279;11,49383;11,65016;11,67189;11,69403;11,83506;11,89053;11,89053;11,95183;12,06693;12,10538;12,24668;12,32377;12,32377;12,45517;12,45517;12,53529;12,54688;12,65223;12,74646;12,80262;12,83259;13,05315;13,17263;13,31052;13,336;13,40608;13,4942;13,54764;13,64121;13,67456;13,81371;13,86364;13,98477;14,10386;14,15287;14,25471;14,37507;14,41156;14,51411;14,5523;14,59515;14,6961;14,7072;14,7913;14,85306;14,90433;14,93544;15,04679;15,19592;15,23607;15,27521;15,32183;15,4452;15,57551;15,57551;15,63177;15,89157;15,93479;15,93479;16,15555;16,29045;16,45191;16,45191;16,83442;16,99475;17,16529;17,18686;17,33101;17,39535;17,42859;17,55289;17,71088;17,83189;17,87271;17,99438;17,99438;18,09343;18,25564;18,46816;18,51009;18,66064;18,6956;18,7736;18,7736;18,87085;18,93207;18,97416;19,19167;19,35502;19,47295;19,54906;19,59467;19,70895;19,75168;19,77376;19,80639;19,92652;19,99266;20,02622;20,21085;20,27171;20,51494;20,66783;21,33047;21,5162;21,68797;21,83242;21,89631;22,12854;22,66923;
