Personne 0;Personne 1;Personne 2;Personne 3;Personne 4;Personne 5;Personne 6;Personne 7;Personne 8;Personne 9;Personne 10;Personne 11;Personne 12;Personne 13;Personne 14;Personne 15;Personne 16;Personne 17;Personne 18;Personne 19;Personne 20;Personne 21;Personne 22;Personne 23;Personne 24;Personne 25;Personne 26;Personne 27;Personne 28;Personne 29;Personne 30;Personne 31;Personne 32;Personne 33;Personne 34;Personne 35;Personne 36;Personne 37;Personne 38;Personne 39;Personne 40;Personne 41;Personne 42;Personne 43;Personne 44;Personne 45;Personne 46;Personne 47;Personne 48;Personne 49;Personne 50;Personne 51;Personne 52;Personne 53;Personne 54;Personne 55;Personne 56;Personne 57;Personne 58;Personne 59;Personne 60;Personne 61;Personne 62;Personne 63;Personne 64;Personne 65;Personne 66;Personne 67;Personne 68;Personne 69;Personne 70;Personne 71;Personne 72;Personne 73;Personne 74;Personne 75;Personne 76;Personne 77;Personne 78;Personne 79;Personne 80;Personne 81;Personne 82;Personne 83;Personne 84;Personne 85;Personne 86;Personne 87;Personne 88;Personne 89;Personne 90;Personne 91;Personne 92;Personne 93;Personne 94;Personne 95;Personne 96;Personne 97;Personne 98;Personne 99;Personne 100;Personne 101;Personne 102;Personne 103;Personne 104;Personne 105;Personne 106;Personne 107;Personne 108;Personne 109;Personne 110;Personne 111;Personne 112;Personne 113;Personne 114;Personne 115;Personne 116;Personne 117;Personne 118;Personne 119;Personne 120;Personne 121;Personne 122;Personne 123;Personne 124;Personne 125;Personne 126;Personne 127;Personne 128;Personne 129;Personne 130;Personne 131;Personne 132;Personne 133;Personne 134;Personne 135;Personne 136;Personne 137;Personne 138;Personne 139;Personne 140;Personne 141;Personne 142;Personne 143;Personne 144;Personne 145;Personne 146;Personne 147;Personne 148;Personne 149;Personne 150;Personne 151;Personne 152;Personne 153;Personne 154;Personne 155;Personne 156;Personne 157;Personne 158;Personne 159;Personne 160;Personne 161;Personne 162;Personne 163;Personne 164;Personne 165;Personne 166;Personne 167;Personne 168;Personne 169;Personne 170;Personne 171;Personne 172;Personne 173;Personne 174;Personne 175;Personne 176;Personne 177;Personne 178;Personne 179;Personne 180;Personne 181;Personne 182;Personne 183;Personne 184;Personne 185;Personne 186;Personne 187;Personne 188;Personne 189;Personne 190;Personne 191;Personne 192;Personne 193;Personne 194;Personne 195;Personne 196;Personne 197;Personne 198;Personne 199
0,9702433;1,952912;2,155616;2,470233;2,638725;2,738457;3,104675;3,326431;3,635942;4,17871;4,478299;4,585902;5,137486;5,216259;5,535748;5,65853;5,736629;5,825879;5,948668;6,076133;6,219628;6,391732;6,71423;6,86878;6,945473;7,005759;7,052001;7,175498;7,23661;7,311713;7,369937;7,431307;7,523797;7,617749;7,647455;7,67803;7,788168;7,830396;7,904673;7,995999;7,995999;8,130224;8,190798;8,258089;8,319736;8,36472;8,498604;8,526747;8,556498;8,585701;8,729502;8,745102;8,807281;8,89067;8,92456;9,038128;9,051922;9,117448;9,259487;9,339938;9,467463;9,467463;9,548809;9,671847;9,688309;9,704755;9,817807;9,895198;9,926152;9,972595;10,00347;10,09706;10,18752;10,25045;10,31541;10,43807;10,43807;10,55862;10,58741;10,67898;10,76878;10,81664;10,89043;10,96835;11,04489;11,10419;11,26983;11,43879;11,46787;11,49958;11,61891;11,63249;11,71352;11,77952;11,84965;11,90712;11,96504;12,067;12,11293;12,21662;12,2299;12,39019;12,39019;12,44885;12,50752;12,57054;12,77998;12,83759;12,99487;13,03562;13,1554;13,16771;13,26968;13,3706;13,45778;13,49855;13,55045;13,61436;13,73571;13,81661;13,89729;14,01402;14,05412;14,09523;14,21579;14,39474;14,50856;14,50856;14,571;14,69944;14,89141;15,03528;15,08724;15,15372;15,25033;15,31981;15,37783;15,4741;15,51867;15,53175;15,67688;15,83482;15,84732;16,01514;16,13506;16,13506;16,29785;16,33822;16,49713;16,51151;16,69383;16,73677;16,78631;16,85674;16,8967;17,2385;17,29455;17,39971;17,39971;17,56599;17,61681;17,79399;17,99474;18,14927;18,25509;18,3349;18,3349;18,47419;18,69692;18,69692;18,73723;18,85859;18,86863;19,03932;19,03932;19,05943;19,23213;19,31981;19,3529;19,53006;19,53006;19,87501;20,19535;20,29518;20,59518;21,13371;21,29848;21,39292;21,97453;22,09326;22,11549;22,24907;22,35358;22,45166;22,53778;22,69743;23,59237;24,83491;25,59805;25,95495
0,6840668;2,231298;2,245268;2,400538;2,864291;3,127073;3,390733;3,983873;4,121838;4,230861;4,291674;4,464527;4,550857;4,871478;4,871478;5,090491;5,585342;5,728017;5,8198;5,991466;6,179593;6,349211;6,349211;6,569894;6,625737;6,731029;6,745265;6,862986;6,903838;7,026655;7,117762;7,38014;7,410598;7,508231;7,549226;7,73109;7,850265;7,901087;8,065869;8,248645;8,392059;8,392059;8,56547;8,678361;8,71129;8,89084;8,89084;9,070964;9,230809;9,244695;9,260938;9,38326;9,462971;9,512568;9,526422;9,621435;9,703252;9,763321;9,919667;9,967903;10,21062;10,23795;10,30024;10,36329;10,44065;10,54844;10,56143;10,57783;10,70127;10,71731;10,81126;10,87224;11,00893;11,02158;11,06881;11,06881;11,21216;11,24056;11,29974;11,37791;11,43874;11,56275;11,67077;11,71683;11,77985;11,77985;11,88904;12,05183;12,07945;12,10938;12,15257;12,29819;12,32978;12,37065;12,37065;12,49223;12,49223;12,55076;12,62129;12,66867;12,76837;12,78202;12,93024;12,98822;13,03182;13,0921;13,12114;13,20884;13,29161;13,29161;13,40017;13,49862;13,52842;13,66947;13,66947;13,82775;13,8716;13,90189;13,99131;14,09179;14,09179;14,18911;14,28818;14,38786;14,53915;14,56864;14,61022;14,7381;14,85087;14,90885;14,90885;15,01984;15,10281;15,1885;15,1885;15,35251;15,35251;15,41023;15,50846;15,59134;15,64811;15,64811;15,81065;15,81065;16,03064;16,07244;16,2891;16,42745;16,42745;16,58908;16,74333;16,76908;16,8296;16,93028;17,06261;17,06261;17,12621;17,22304;17,30688;17,32986;17,41026;17,50444;17,52803;17,62789;17,88773;17,88773;18,30254;18,53004;18,74805;18,82684;18,92604;19,08664;19,10885;19,16216;19,23043;19,31219;19,36584;19,42626;19,49214;19,54737;19,57042;19,62412;19,69015;19,76781;19,79001;19,86677;19,98956;20,26842;20,65126;20,81023;20,89029;21,04892;21,28098;21,57001;21,57001;21,76488;22,08799;24,64898;25,20871;28,92954
0,1435629;0,1435629;0,7257428;2,384213;2,647935;3,245574;3,594815;3,727555;3,778678;3,912671;4,078947;4,313701;4,61377;4,812515;5,012521;5,143487;5,207573;5,27269;5,352619;5,36674;5,546698;5,61408;5,628676;5,892458;6,054252;6,054252;6,18097;6,233644;6,333838;6,464715;6,482035;6,499313;6,660311;6,694215;6,82024;7,013296;7,094406;7,108242;7,206259;7,347636;7,364903;7,527536;7,87872;8,04169;8,04169;8,091007;8,223186;8,25452;8,404129;8,569844;8,569844;8,583363;8,732677;8,746199;9,163258;9,20811;9,32655;9,484121;9,639244;9,671259;9,671259;9,684495;9,807022;9,881702;9,941859;9,990655;10,00412;10,08236;10,13374;10,21159;10,24108;10,37222;10,46004;10,55407;10,60051;10,64553;10,77023;10,80131;10,90742;10,97094;11,03101;11,09077;11,16246;11,31288;11,40173;11,50788;11,56982;11,58322;11,80108;11,91431;12,00128;12,04257;12,19257;12,25314;12,34104;12,49002;12,50368;12,62611;12,67355;12,79418;12,85226;12,9264;13,03102;13,19002;13,19002;13,27013;13,35267;13,3935;13,3935;13,52961;13,57015;13,61112;13,65239;13,73124;13,81305;13,8524;13,89251;13,93258;14,05004;14,0897;14,12881;14,28502;14,28502;14,31325;14,46247;14,50303;14,60907;14,6748;14,68732;14,8712;14,98852;15,15183;15,23387;15,32949;15,3919;15,42733;15,47437;15,59035;15,67417;15,7333;15,84894;15,90739;16,06814;16,11341;16,2522;16,39345;16,45359;16,56701;16,63257;16,74636;16,85043;17,03352;17,04304;17,22462;17,32767;17,46976;17,64201;17,70474;17,82556;17,89015;18,02873;18,05405;18,21177;18,27371;18,33395;18,40849;18,55152;18,55152;18,76769;18,92644;19,05177;19,16717;19,35323;19,59223;19,72809;19,88663;20,05292;20,1326;20,21069;20,41083;20,68742;20,83193;20,95066;21,10488;21,27166;22,04694;22,06835;22,36657;22,4663;22,75305;23,15372;23,28951;23,44777;23,51413;23,99068;24,31167;24,47233;24,57012;24,63037;24,76302
2,195912;2,358914;2,557426;2,857237;3,149871;3,317772;3,488402;3,697103;3,859347;4,02448;4,278468;4,366467;4,537132;5,016915;5,138798;5,275498;5,574722;5,798955;6,052054;6,21824;6,297484;6,312195;6,436272;6,510414;6,658544;6,778057;6,910734;7,015953;7,151505;7,298797;7,658246;7,778028;7,927316;8,031409;8,078708;8,211512;8,256817;8,34616;8,525635;8,68764;8,77786;8,896932;9,068711;9,116308;9,116308;9,238196;9,265672;9,410375;9,439652;9,439652;9,558339;9,719784;9,865017;10,02586;10,02586;10,19921;10,22743;10,38928;10,43654;10,46534;10,59649;10,63931;10,71122;10,83773;10,83773;10,93632;10,99252;11,07438;11,07438;11,1147;11,1974;11,23903;11,33661;11,3505;11,36555;11,47647;11,51853;11,63134;11,64638;11,67574;11,72977;11,81417;11,82692;11,93816;11,93816;12,05514;12,11016;12,13913;12,20757;12,20757;12,31811;12,38648;12,55464;12,62723;12,717;12,75404;12,8184;12,91187;12,96599;13,03604;13,11849;13,15875;13,15875;13,2764;13,28893;13,42736;13,45747;13,54916;13,6184;13,63113;13,77911;13,91013;14,06851;14,13164;14,23888;14,2748;14,37888;14,44929;14,47611;14,51008;14,61835;14,79473;14,83381;14,89767;14,99892;15,01091;15,11635;15,16886;15,19784;15,3144;15,32726;15,41794;15,45906;15,53693;15,65382;15,65382;15,75509;15,87648;15,95716;16,15532;16,15532;16,33452;16,34885;16,517;16,55554;16,67487;16,69739;16,79129;16,93452;16,95648;17,13219;17,59652;17,69957;17,71081;17,83561;17,85821;17,95593;18,03197;18,03197;18,292;18,31482;18,41539;18,57397;18,69658;18,79648;18,87638;18,94695;19,01245;19,07924;19,33505;19,35947;19,5346;19,69881;19,73197;19,87411;19,87411;20,17352;20,27316;20,35132;20,45055;20,51816;20,77395;20,85091;20,89546;20,97437;20,99688;21,15301;21,15301;21,35224;21,63821;21,79732;21,85569;21,97297;22,13262;22,3724;22,83863;23,7393;24,13669;24,33925;24,61488
0,1022475;1,245147;1,892478;2,206045;2,305357;2,339788;3,193596;3,331957;3,652869;3,652869;3,921674;4,011591;4,072889;4,224164;4,330494;4,391441;4,694162;4,833506;4,907927;5,091599;5,121617;5,240638;5,272464;5,391613;5,524983;5,659385;5,691184;6,061126;6,271481;6,284931;6,433788;6,5524;6,565926;6,565926;6,729719;6,913628;6,942994;6,958904;6,958904;7,094182;7,21053;7,240106;7,240106;7,43009;7,487391;7,559613;7,559613;7,706439;7,854354;7,854354;7,940154;8,0272;8,07077;8,129032;8,230636;8,346096;8,361098;8,521801;8,550167;8,702975;8,77388;8,889874;8,889874;8,948954;9,051824;9,064814;9,171721;9,228879;9,24187;9,293658;9,394315;9,470565;9,470565;9,505589;9,589554;9,659443;9,689918;9,732997;9,774351;9,842173;9,872676;9,941534;10,00009;10,04294;10,14294;10,1729;10,23013;10,32866;10,34057;10,36889;10,45105;10,50735;10,52216;10,64074;10,673;10,85155;10,85155;10,89314;11,04134;11,04134;11,10358;11,22362;11,23929;11,34155;11,50878;11,63289;11,7297;11,77281;11,87217;11,88465;11,98135;12,04749;12,11038;12,19078;12,31252;12,40575;12,40575;12,55133;12,56451;12,75257;12,75257;12,79327;12,8445;12,96564;12,96564;13,11365;13,29345;13,37429;13,44486;13,47103;13,52345;13,60541;13,64881;13,78349;13,82274;13,82274;13,8742;14,04179;14,06881;14,17312;14,32872;14,39414;14,50976;14,61136;14,61136;14,72695;14,75292;14,85391;14,85391;14,93149;15,0071;15,07037;15,24962;15,54039;15,73099;15,86813;16,00206;16,15148;16,29277;16,40993;16,48942;16,57001;16,593;16,72446;16,81018;16,86752;16,98281;17,03337;17,07026;17,19136;17,23367;17,31104;17,53096;17,66884;17,82376;17,90944;18,08805;18,26192;18,29227;18,62588;18,75151;19,13275;19,20816;19,34651;19,51312;19,66484;20,19163;20,30665;20,91406;20,91406;21,79317;21,86744;22,1503;22,30718;22,54846;22,64979;22,8425;25,3703;25,65403;25,73161
0,1117263;0,1117263;2,459495;2,781957;3,164663;3,243104;3,322302;3,458855;3,611293;3,919861;4,429539;4,579776;4,684023;4,86769;4,86769;5,229646;5,363556;5,531081;5,531081;5,636909;5,78885;5,927563;6,077278;6,230256;6,368985;6,430401;6,562282;6,577427;6,668512;6,790536;6,879833;6,98412;7,091676;7,169596;7,230002;7,303775;7,46936;7,496817;7,527205;7,631267;7,81044;8,017659;8,048406;8,151673;8,151673;8,22893;8,288237;8,348207;8,408348;8,437671;8,529427;8,589297;8,64912;8,724393;8,767851;8,796972;8,827655;9,030324;9,14744;9,251344;9,251344;9,279627;9,309991;9,427065;9,439753;9,484082;9,500671;9,589014;9,616837;9,705873;9,705873;9,80689;9,907162;9,948062;9,961804;10,09001;10,1467;10,28953;10,33145;10,44357;10,50555;10,54568;10,60014;10,6903;10,90235;10,94664;10,94664;10,96022;11,12584;11,21061;11,26712;11,26712;11,31018;11,40919;11,45055;11,54756;11,54756;11,70674;11,72057;11,82151;11,86377;11,90914;12,01033;12,11075;12,13847;12,2086;12,22138;12,35047;12,41081;12,52793;12,67643;12,79099;12,88623;12,9116;13,13163;13,18447;13,44835;13,5423;13,5423;13,74307;13,74307;13,76664;13,82706;13,90999;13,92076;14,05065;14,23127;14,23127;14,26737;14,362;14,387;14,55909;14,70828;14,72038;14,84869;14,965;15,04389;15,11057;15,24663;15,27173;15,34566;15,45068;15,60323;15,64219;15,66932;15,81076;15,82256;15,89831;16,02273;16,14809;16,30633;16,46848;16,58276;16,62744;16,7298;16,84654;16,94704;17,21078;17,23164;17,24317;17,42464;17,52564;17,62022;17,66802;17,72569;17,86784;17,94631;18,06464;18,10824;18,26423;18,33052;18,43093;18,486;18,56426;18,62969;18,68707;18,70891;18,95047;19,10976;19,24237;19,32837;19,38828;19,53085;19,60837;19,68704;19,79054;20,06373;20,06373;20,13039;20,40778;20,63016;20,82237;20,88947;21,14662;21,2287;21,44375;21,65073;22,12569;22,25016;22,36114
0,1049388;0,1049388;2,32303;2,457166;2,622271;2,689995;3,130828;3,596746;3,61136;3,696063;3,826548;3,943074;4,090948;4,306224;4,423472;4,80651;4,856819;5,072086;5,304816;5,5366;5,5366;5,68658;5,718383;5,855989;5,885025;6,038037;6,111704;6,278181;6,417188;6,490983;6,490983;6,625839;6,670808;6,731472;6,790784;6,856072;7,002908;7,034697;7,064922;7,189173;7,23416;7,287564;7,404481;7,465004;7,554834;7,617303;7,806078;7,85652;7,85652;7,902785;8,028653;8,077847;8,077847;8,222771;8,270228;8,270228;8,31823;8,42505;8,457181;8,596686;8,644387;8,677794;8,707343;8,78718;8,836147;8,866622;9,015961;9,02759;9,218001;9,218001;9,247885;9,35231;9,397432;9,518292;9,563689;9,608611;9,655308;9,71523;9,788296;9,883485;9,958087;10,07621;10,07621;10,21234;10,36529;10,51647;10,67493;10,7371;10,84327;10,87428;10,99675;11,02466;11,09833;11,15685;11,15685;11,30537;11,3657;11,47596;11,5181;11,59841;11,6543;11,73641;11,77619;11,98652;12,01479;12,06733;12,2268;12,41585;12,46959;12,49803;12,63714;12,69012;12,75822;12,8376;12,8771;12,9177;12,99533;12,99533;13,09777;13,13624;13,22587;13,25452;13,35748;13,35748;13,46665;13,57156;13,58684;13,68727;13,71333;13,87475;13,88714;13,97649;14,15191;14,20829;14,2562;14,37241;14,49306;14,59659;14,63363;14,69111;14,7578;14,89816;14,89816;14,97606;14,97606;15,07653;15,07653;15,19168;15,25714;15,26904;15,35232;15,40606;15,47387;15,51679;15,65488;15,74863;15,79673;15,85516;15,9136;15,95623;16,03203;16,11784;16,29661;16,4974;16,4974;16,63394;16,79188;16,93699;17,01371;17,09098;17,21334;17,35111;17,45249;17,57424;17,59865;17,75435;17,91138;18,17277;18,3169;18,61676;18,75057;18,89606;19,071;19,23717;19,81337;21,1104;21,27272;21,63776;22,47703;22,7943;22,9575;24,19029;24,33823;24,33823;25,17369;25,3546;25,43364;26,53463;27,24699;27,33842
0;0,1925267;1,233136;2,134384;2,423912;3,234753;3,463723;3,50789;3,613271;3,839015;4,084103;4,195563;4,256655;4,437489;4,60412;4,677743;4,815416;4,985456;5,016038;5,12078;5,22486;5,277867;5,427286;5,935954;6,165761;6,165761;6,286708;6,316055;6,483761;6,483761;6,587592;6,70682;6,70682;6,826;6,826;6,945808;7,065447;7,105444;7,1586;7,207732;7,247071;7,345609;7,506447;7,623742;7,737931;7,85744;7,96486;8,083734;8,097177;8,172465;8,172465;8,307164;8,424644;8,48436;8,587106;8,77931;8,837806;8,985482;8,985482;9,126154;9,194965;9,283511;9,321339;9,383832;9,484583;9,497146;9,524274;9,564634;9,646082;9,703574;9,774516;9,80483;9,875195;9,90419;9,958592;10,00507;10,10477;10,14585;10,14585;10,28276;10,33773;10,43532;10,47769;10,60552;10,74747;10,80412;10,84755;10,97755;10,97755;11,04095;11,16476;11,17757;11,24761;11,25984;11,36309;11,40463;11,44731;11,58381;11,62772;11,62772;11,80504;12,0448;12,05708;12,15722;12,24749;12,24749;12,36743;12,42507;12,5352;12,56326;12,64703;12,65949;12,78743;12,82665;12,90766;12,96465;12,97813;13,12566;13,12566;13,15321;13,42542;13,48536;13,62515;13,62515;13,77906;13,82263;13,82263;13,83727;13,96713;13,99594;14,02378;14,10744;14,16432;14,20529;14,31677;14,34543;14,35755;14,45531;14,49661;14,5875;14,66544;14,70578;14,88291;14,89535;14,92428;15,00719;15,10243;15,18447;15,26782;15,33466;15,33466;15,90711;15,97778;16,14671;16,14671;16,14671;16,28423;16,32108;16,48282;16,48282;16,60649;16,64356;16,77569;17,29944;17,36599;17,53906;17,56094;17,74462;17,92041;17,97837;18,16502;18,24412;18,38704;18,48797;18,62474;18,8668;19,04658;19,06751;19,20449;19,23783;19,34794;19,46267;19,50441;19,62565;19,78764;19,96291;20,00461;20,10091;20,15754;20,27965;20,92126;21,08078;21,30487;21,5654;22,82153;23,36259;24,70466;25,40667;27,49879;28,24061
0,4868982;1,722626;2,016986;2,143505;2,654726;3,456889;3,656346;3,812388;4,014649;4,284456;4,484838;4,958187;4,958187;5,127039;5,297234;5,356323;5,495901;5,585966;5,756694;5,756694;5,756694;5,831464;5,996566;6,070014;6,173839;6,256275;6,35715;6,434795;6,616484;6,677153;6,856278;6,885148;6,916159;6,916159;7,036831;7,148521;7,277884;7,358222;7,406476;7,456919;7,486592;7,502859;7,647114;7,696756;7,742999;7,788003;7,885817;7,885817;8,004682;8,036969;8,084789;8,131104;8,198016;8,246312;8,336304;8,409103;8,409103;8,455561;8,514792;8,635374;8,665843;8,77419;8,916679;8,916679;8,977728;9,11804;9,131944;9,196483;9,286522;9,286522;9,467086;9,483637;9,483637;9,575288;9,662926;9,662926;9,737048;9,806863;9,955915;9,968746;10,03501;10,11821;10,17579;10,17579;10,2366;10,32926;10,38708;10,41795;10,46367;10,53648;10,56548;10,69499;10,8369;10,89562;10,95599;11,08594;11,23572;11,39482;11,4076;11,50906;11,55377;11,61331;11,62523;11,69475;11,73781;11,76556;11,83755;11,91058;11,92532;12,01001;12,09704;12,19664;12,23643;12,30508;12,34856;12,40591;12,55633;12,59198;12,64865;12,78952;12,78952;12,99241;13,03074;13,04458;13,11554;13,19305;13,25337;13,32667;13,43582;13,47105;13,55294;13,61158;13,61158;13,69292;13,79715;13,85461;13,9172;14,07101;14,13216;14,23602;14,29613;14,47157;14,57793;14,67726;14,7367;14,77131;14,91551;15,02836;15,05375;15,21569;15,25103;15,27346;15,4165;15,51675;15,68758;15,79725;16,05558;16,21565;16,35168;16,39337;16,51444;16,5699;16,69733;16,73467;16,87571;16,91622;17,26791;17,35215;17,38605;17,47512;17,51518;17,5697;17,65793;17,69302;17,73686;17,83605;17,89124;18,05819;18,27084;18,33834;18,39707;18,53337;19,03473;19,29744;19,47328;19,49747;19,61441;19,76956;19,91631;20,13555;20,21244;20,5704;20,7515;21,37811;21,38857;21,83115;23,39547;25,23152;25,27766;25,81224
0,1113327;0,1432815;2,179312;3,382719;3,613883;3,834127;4,06516;4,165684;4,232076;4,448149;4,701022;4,717855;4,89927;5,131382;5,227149;5,421879;5,713732;5,913388;5,952758;6,127673;6,145344;6,392331;6,392331;6,512317;6,52602;6,572441;6,632435;6,754777;6,754777;6,767521;6,931715;7,112672;7,142623;7,260203;7,392962;7,392962;7,451164;7,613578;7,729167;7,808728;7,808728;7,890984;7,979508;8,053662;8,112188;8,112188;8,18594;8,259678;8,259678;8,407602;8,452908;8,51205;8,571566;8,627719;8,627719;8,759926;8,819841;8,87913;8,923419;8,954062;9,090261;9,133127;9,250413;9,293016;9,440065;9,440065;9,572923;9,614799;9,643021;9,794511;9,972417;10,00245;10,15441;10,16693;10,32082;10,35218;10,49153;10,5515;10,64295;10,6592;10,7216;10,84204;10,84204;10,90555;10,92147;11,02449;11,05435;11,11471;11,14434;11,20418;11,21961;11,3101;11,32406;11,38167;11,42684;11,47243;11,52991;11,5735;11,63079;11,67415;11,70263;11,80262;11,8325;11,90145;11,92847;11,96907;12,12371;12,15257;12,18082;12,3098;12,3098;12,58204;12,65409;12,71211;12,84042;12,92538;12,92538;13,01067;13,01067;13,15231;13,29346;13,34981;13,40592;13,45197;13,60719;13,73368;13,76256;13,87456;13,93054;14,04286;14,04286;14,21366;14,27024;14,31094;14,49019;14,53231;14,58981;14,64325;14,76923;14,81037;14,82278;14,98984;15,05364;15,39352;15,52895;15,54139;15,62333;15,66142;15,7717;15,7717;15,85315;15,85315;15,98596;16,03068;16,07369;16,18293;16,28334;16,3078;16,38379;16,42867;16,51205;16,61292;16,77127;16,84997;16,98515;17,05425;17,05425;17,21418;17,25096;17,36797;17,46982;17,49344;17,53136;17,63103;17,79058;18,03317;18,25109;18,38884;18,38884;18,50793;18,58871;18,61094;18,72688;18,72688;18,81223;19,28835;19,43026;19,57343;19,80235;19,83173;20,01453;20,11126;20,28906;20,35097;20,50651;20,83161;21,00917;21,9278;22,08433;24,65433
