Personne 0;Personne 1;Personne 2;Personne 3;Personne 4;Personne 5;Personne 6;Personne 7;Personne 8;Personne 9;Personne 10;Personne 11;Personne 12;Personne 13;Personne 14;Personne 15;Personne 16;Personne 17;Personne 18;Personne 19;Personne 20;Personne 21;Personne 22;Personne 23;Personne 24;Personne 25;Personne 26;Personne 27;Personne 28;Personne 29;Personne 30;Personne 31;Personne 32;Personne 33;Personne 34;Personne 35;Personne 36;Personne 37;Personne 38;Personne 39;Personne 40;Personne 41;Personne 42;Personne 43;Personne 44;Personne 45;Personne 46;Personne 47;Personne 48;Personne 49;Personne 50;Personne 51;Personne 52;Personne 53;Personne 54;Personne 55;Personne 56;Personne 57;Personne 58;Personne 59;Personne 60;Personne 61;Personne 62;Personne 63;Personne 64;Personne 65;Personne 66;Personne 67;Personne 68;Personne 69;Personne 70;Personne 71;Personne 72;Personne 73;Personne 74;Personne 75;Personne 76;Personne 77;Personne 78;Personne 79;Personne 80;Personne 81;Personne 82;Personne 83;Personne 84;Personne 85;Personne 86;Personne 87;Personne 88;Personne 89;Personne 90;Personne 91;Personne 92;Personne 93;Personne 94;Personne 95;Personne 96;Personne 97;Personne 98;Personne 99;Personne 100;Personne 101;Personne 102;Personne 103;Personne 104;Personne 105;Personne 106;Personne 107;Personne 108;Personne 109;Personne 110;Personne 111;Personne 112;Personne 113;Personne 114;Personne 115;Personne 116;Personne 117;Personne 118;Personne 119;Personne 120;Personne 121;Personne 122;Personne 123;Personne 124;Personne 125;Personne 126;Personne 127;Personne 128;Personne 129;Personne 130;Personne 131;Personne 132;Personne 133;Personne 134;Personne 135;Personne 136;Personne 137;Personne 138;Personne 139;Personne 140;Personne 141;Personne 142;Personne 143;Personne 144;Personne 145;Personne 146;Personne 147;Personne 148;Personne 149;Personne 150;Personne 151;Personne 152;Personne 153;Personne 154;Personne 155;Personne 156;Personne 157;Personne 158;Personne 159;Personne 160;Personne 161;Personne 162;Personne 163;Personne 164;Personne 165;Personne 166;Personne 167;Personne 168;Personne 169;Personne 170;Personne 171;Personne 172;Personne 173;Personne 174;Personne 175;Personne 176;Personne 177;Personne 178;Personne 179;Personne 180;Personne 181;Personne 182;Personne 183;Personne 184;Personne 185;Personne 186;Personne 187;Personne 188;Personne 189;Personne 190;Personne 191;Personne 192;Personne 193;Personne 194;Personne 195;Personne 196;Personne 197;Personne 198;Personne 199;
0,3786751;1,59357;1,752404;1,938607;2,109137;2,217796;2,417241;2,566789;2,67014;3,197558;3,55757;3,589193;3,870281;4,009361;4,227386;4,716949;4,857129;4,869755;4,998204;5,198143;5,245546;5,424827;5,589173;5,719539;5,886934;6,059131;6,137203;6,259404;6,30738;6,43519;6,519036;6,576635;6,585727;6,67977;6,67977;6,830333;6,907754;6,936957;7,12755;7,159939;7,159939;7,215855;7,346536;7,438364;7,438364;7,478138;7,547476;7,715439;7,727329;7,895343;7,95642;8,018261;8,077408;8,169575;8,247395;8,337776;8,398102;8,477272;8,477272;8,537579;8,659031;8,674047;8,706165;8,736007;8,857954;8,93635;8,93635;9,055869;9,085423;9,117219;9,179385;9,2399;9,270583;9,284802;9,43596;9,449012;9,509359;9,599426;9,658694;9,704211;9,749602;9,794572;9,918265;9,932136;10,0524;10,0524;10,09885;10,33691;10,33691;10,33691;10,36632;10,4992;10,52913;10,64771;10,67929;10,87609;11,03881;11,03881;11,09922;11,19097;11,20672;11,23835;11,29925;11,39804;11,41065;11,43903;11,49865;11,57276;11,57276;11,64583;11,71906;11,80736;11,89184;11,95499;12,01353;12,05763;12,08905;12,20791;12,23836;12,43112;12,57834;12,61945;12,64889;12,69208;12,76768;12,79941;12,87397;12,97312;13,01652;13,03137;13,14818;13,20665;13,26641;13,39678;13,39678;13,39678;13,55957;13,57376;13,61905;13,67478;13,77671;13,81879;13,89185;13,90615;14,03857;14,07964;14,09392;14,13923;14,2556;14,26817;14,33969;14,46566;14,55235;14,59765;14,67442;14,81576;14,81576;14,88879;14,98944;15,11794;15,11794;15,15959;15,2323;15,3199;15,34849;15,40674;15,53529;15,60578;15,64922;15,83767;15,97895;15,97895;16,13641;16,1932;16,4858;16,52888;16,697;16,75165;16,84827;16,93182;17,01652;17,09866;17,47515;17,65557;17,71294;17,81192;17,9566;18,06179;18,09596;18,25549;18,38913;18,43647;18,49882;18,51459;18,65742;18,67297;18,82783;18,91938;19,19324;19,41789;
1,095421;1,897947;2,027327;2,338124;2,493676;2,866385;3,058683;3,1;3,252061;3,513136;3,529868;3,718233;3,748124;3,878967;3,939541;4,187363;4,203775;4,298284;4,599017;4,599017;4,969327;5,296607;5,43892;5,636452;5,806276;5,898046;5,977252;6,052772;6,225338;6,378512;6,576052;6,605308;6,650055;6,776614;6,79011;6,976714;7,052169;7,052169;7,115467;7,147093;7,256999;7,42567;7,456254;7,468785;7,604198;7,64751;7,765956;7,858231;7,88835;7,919951;8,057164;8,085831;8,118174;8,131477;8,237603;8,44649;8,476944;8,506611;8,506611;8,656412;8,656412;8,751403;8,769321;8,868108;8,868108;8,990077;9,093412;9,156612;9,156612;9,185564;9,366054;9,395402;9,395402;9,517078;9,546849;9,606174;9,697211;9,711087;9,787972;9,87891;9,90953;9,952354;10,01501;10,15056;10,19607;10,29967;10,33015;10,37589;10,43456;10,53821;10,53821;10,5535;10,67543;10,70547;10,74843;10,89328;10,93888;10,96846;10,96846;11,1355;11,16681;11,19536;11,32671;11,35643;11,35643;11,43033;11,50575;11,57933;11,81815;11,81815;11,89246;11,96703;12,02462;12,08555;12,17527;12,17527;12,33541;12,33541;12,49168;12,61769;12,67515;12,67515;12,73373;12,86538;12,90914;12,99719;13,05509;13,17218;13,215;13,23038;13,2731;13,3589;13,41876;13,47843;13,49175;13,56518;13,60756;13,69446;13,79899;13,81284;13,87057;13,95726;14,05752;14,10388;14,19129;14,2782;14,29141;14,33526;14,39205;14,57988;14,57988;14,63733;14,66588;14,7938;14,87904;14,9776;15,23747;15,43654;15,43654;15,43654;15,43654;15,59368;15,59368;15,6375;15,73764;15,87884;15,89121;15,90662;16,04883;16,2583;16,31596;16,31596;16,35739;16,42623;16,91723;17,08618;17,11477;17,19821;17,19821;17,29703;17,43813;17,43813;17,57713;17,61875;17,67375;17,772;17,85899;17,97833;18,13319;18,30535;18,37195;18,43638;18,63564;18,63564;18,85016;19,04709;19,37713;19,43593;19,77705;21,5367;
0,1015453;0,1015453;2,176504;2,298792;2,60478;3,014308;3,214423;3,382111;3,598359;3,700724;3,763397;4,03875;4,03875;4,147012;4,246318;4,385133;4,701527;4,982848;5,446382;5,556394;5,587248;5,98604;6,155118;6,322721;6,336259;6,462232;6,504969;6,64728;6,658405;6,883822;7,066277;7,275752;7,305448;7,446584;7,502914;7,514607;7,642901;7,684968;7,725982;7,864237;7,906592;7,962079;8,124024;8,20347;8,238624;8,318803;8,361922;8,447122;8,460964;8,531488;8,643223;8,76434;8,76434;8,863237;8,904258;9,001816;9,056705;9,142133;9,291624;9,291624;9,353286;9,384791;9,459036;9,506634;9,566546;9,642306;9,731913;9,77735;9,792067;9,959024;10,0059;10,03694;10,15664;10,17317;10,2922;10,35158;10,3844;10,39764;10,50291;10,59121;10,64539;10,64539;10,74578;10,77535;10,83503;10,86677;10,93843;11,02412;11,02412;11,12731;11,21457;11,28607;11,33223;11,33223;11,46495;11,52598;11,64565;11,7351;11,78039;11,82575;11,88581;12,00396;12,00396;12,17917;12,23876;12,29807;12,35539;12,44391;12,52276;12,58471;12,64024;12,68659;12,71379;12,85991;12,90399;12,93284;12,9625;13,06515;13,09486;13,18074;13,23817;13,29674;13,38544;13,39694;13,60268;13,80079;13,94652;13,98685;13,98685;14,14574;14,18697;14,24015;14,27935;14,41675;14,48248;14,64262;14,68142;14,76347;14,88714;14,95703;15,01591;15,07282;15,14474;15,24535;15,30236;15,40207;15,50293;15,51848;15,54724;15,60314;15,68721;15,74371;15,90341;15,90341;16,07623;16,10381;16,18355;16,2626;16,42333;16,5855;16,63573;16,70581;16,71615;16,92505;17,02294;17,17991;17,30245;17,38273;17,46258;17,50376;17,55621;17,6461;18,16164;18,22529;18,30351;18,38364;18,42235;18,50239;18,54263;18,67513;18,727;18,84674;18,87354;18,9273;19,04399;19,08302;19,28033;19,46383;19,54203;19,72114;19,80136;20,10287;20,32402;20,37923;20,55625;21,06512;21,10735;21,52555;22,28502;28,88041;
3,168048;3,451157;3,870004;4,058856;4,118754;4,178765;4,371137;4,623189;4,681364;4,844087;5,090614;5,149909;5,430521;5,650606;5,780406;5,940085;6,028801;6,028801;6,100302;6,188197;6,379488;6,469382;6,469382;6,527855;6,644396;6,763245;6,763245;6,837635;6,837635;6,999101;7,128516;7,157907;7,291872;7,421881;7,465095;7,512119;7,512119;7,623251;7,711475;7,724042;7,81175;7,89755;7,92843;7,92843;7,998995;8,084453;8,12976;8,12976;8,231709;8,261257;8,319399;8,40926;8,480057;8,521618;8,567943;8,682439;8,682439;8,728479;8,841587;8,870339;8,970571;9,027567;9,083085;9,098506;9,198316;9,328223;9,370681;9,383221;9,539735;9,569693;9,61072;9,671892;9,711391;9,759646;9,788056;9,878469;9,908844;9,951955;10,06757;10,07973;10,11156;10,11156;10,26709;10,26709;10,36668;10,47208;10,49905;10,569;10,67056;10,7681;10,78123;10,86243;10,90862;11,04795;11,04795;11,07742;11,1988;11,22824;11,267;11,36281;11,39195;11,49122;11,58783;11,58783;11,62932;11,7668;11,77839;11,89125;11,96086;12,0486;12,09138;12,18809;12,18809;12,26759;12,32193;12,44897;12,50727;12,59969;12,67212;12,76925;12,81215;12,86893;12,91061;13,00723;13,00723;13,10208;13,20124;13,22887;13,22887;13,38083;13,40852;13,45103;13,59119;13,66229;13,68466;13,81167;13,85187;13,90735;13,921;14,03222;14,08876;14,17123;14,18414;14,26694;14,43035;14,44238;14,59186;14,60525;14,6867;14,6867;14,81184;15,06706;15,14734;15,18931;15,31157;15,31157;15,41873;15,56947;15,56947;15,61007;15,69116;15,92009;15,94757;15,94757;16,12058;16,18897;16,28461;16,352;16,392;16,41974;16,56752;16,68714;16,76566;16,92299;17,0673;17,14679;17,18602;17,37144;17,69017;17,84963;17,84963;18,00858;18,04844;18,04844;18,20774;18,28899;18,33997;18,39028;18,42738;18,53037;18,95166;19,06878;19,08154;19,14812;19,41195;19,50842;19,68356;19,97032;20,17214;20,23056;
0,6604584;1,335962;1,725963;1,795753;3,160207;3,716029;3,747026;3,99883;4,285995;4,585196;4,735278;5,533856;5,577491;5,784546;5,845925;5,977157;6,12313;6,167617;6,167617;6,314537;6,505794;6,53454;6,59347;6,720078;6,757421;6,933671;7,023142;7,066618;7,095193;7,182729;7,239275;7,284174;7,384404;7,443491;7,544158;7,70606;7,864967;7,876945;7,966481;8,067517;8,167463;8,239614;8,343574;8,356537;8,399872;8,446402;8,503802;8,604887;8,663368;8,734052;8,777134;8,864729;8,907085;9,035925;9,066183;9,123871;9,123871;9,22368;9,267547;9,367423;9,395787;9,467385;9,524601;9,578117;9,594061;9,695865;9,762396;9,801951;9,915705;9,944482;10,02284;10,03481;10,08767;10,12746;10,28168;10,30763;10,30763;10,34644;10,5016;10,56463;10,57649;10,6852;10,72449;10,76372;10,82731;10,9425;10,9425;11,05933;11,14573;11,18017;11,24397;11,34694;11,48613;11,55846;11,55846;11,58753;11,67705;11,74236;11,76578;11,84678;11,9039;11,97526;12,12762;12,17754;12,31477;12,35831;12,44412;12,48631;12,55483;12,68628;12,68628;12,73799;12,77921;12,86453;12,87683;13,00214;13,00214;13,08508;13,1554;13,23803;13,28248;13,28248;13,3429;13,465;13,465;13,54206;13,54206;13,63775;13,70695;13,7201;13,8455;13,95332;14,10588;14,10588;14,20215;14,28408;14,35413;14,42272;14,50573;14,51834;14,60119;14,65508;14,76496;14,76496;14,83383;14,95581;15,07808;15,10539;15,32223;15,36332;15,41763;15,50417;15,62586;15,73684;15,86064;15,94159;15,98203;16,06326;16,07635;16,11755;16,23837;16,30469;16,35811;16,40015;16,52208;16,53505;16,57513;16,60229;16,72257;16,73571;16,80324;16,92347;17,16336;17,34769;17,36047;17,58738;17,74637;18,09459;18,14617;18,15916;18,37359;18,45466;18,62756;18,88304;18,93865;19,10359;19,15634;19,40535;19,50171;19,80426;20,0154;20,08389;20,20274;20,38592;20,60295;20,64475;21,7268;22,02289;22,16497;23,82745;
0,1143012;1,722531;2,725129;3,361147;3,361147;3,52218;3,838563;3,8831;4,030632;4,265327;4,324105;4,700801;5,02205;5,272451;5,452439;5,614279;5,644116;5,773907;5,937679;6,042644;6,222029;6,265209;6,265209;6,381639;6,485076;6,544405;6,60407;6,760915;6,832815;6,864563;6,876546;7,040994;7,144662;7,144662;7,203615;7,365218;7,423259;7,435652;7,583076;7,683685;7,712221;7,832084;7,832084;7,962104;8,021182;8,063721;8,164544;8,291916;8,291916;8,322972;8,380896;8,451192;8,536722;8,582495;8,709962;8,740068;8,750893;8,936808;9,040316;9,154879;9,200706;9,213018;9,302743;9,345177;9,40387;9,503991;9,503991;9,574675;9,662121;9,689638;9,720663;9,860684;9,904043;9,931002;9,931002;10,11332;10,14169;10,2006;10,30136;10,31395;10,4013;10,44388;10,50099;10,58435;10,58435;10,64059;10,74073;10,78339;10,84017;10,98062;10,98062;11,14148;11,18146;11,33331;11,36289;11,4041;11,54336;11,55565;11,68339;11,71083;11,7944;11,92092;12,06448;12,06448;12,1627;12,1627;12,26188;12,2747;12,35989;12,41548;12,44419;12,54265;12,59369;12,64454;12,82345;13,00307;13,01732;13,06033;13,06033;13,18374;13,19684;13,28164;13,32144;13,40489;13,50133;13,64184;13,68283;13,71103;13,83669;13,91952;13,93358;14,01577;14,08462;14,08462;14,22426;14,27909;14,41576;14,4578;14,4578;14,63884;14,63884;14,72032;14,81633;14,8441;14,88438;14,94076;15,02154;15,02154;15,14448;15,15747;15,22485;15,33405;15,48437;15,62092;15,62092;15,66147;15,70219;16,04003;16,20398;16,28119;16,49444;16,56216;16,68347;16,84367;17,02135;17,02135;17,1008;17,18037;17,22037;17,34195;17,4211;17,43545;17,54351;17,70342;17,86456;17,91649;17,94379;18,15579;18,18256;18,38247;18,48066;18,55665;18,63511;18,82205;18,82205;19,0434;19,2966;19,3641;19,37612;19,55978;19,65317;19,68034;19,99604;20,41857;20,52227;20,68184;20,83831;21,01257;21,12355;23,28269;
0,1055468;0,1055468;2,292742;2,32759;2,50085;2,749468;3,083295;3,486966;3,920313;4,015634;4,015634;4,40522;4,40522;4,936526;5,026158;5,204834;5,366012;5,423802;5,600794;5,674346;5,867097;5,925361;6,174318;6,203994;6,365274;6,52423;6,52423;6,567436;6,756219;6,84517;6,874226;6,904179;6,933243;7,006018;7,135266;7,164546;7,2672;7,294532;7,441211;7,534434;7,619343;7,664345;7,69251;7,7791;7,866284;7,879132;7,923472;8,02448;8,053909;8,083177;8,125358;8,227581;8,239514;8,357324;8,373008;8,446198;8,458764;8,603082;8,646408;8,646408;8,758851;8,875236;8,905066;9,107126;9,107126;9,119485;9,206901;9,307243;9,307243;9,364789;9,4629;9,477762;9,634606;9,634606;9,70568;9,733235;9,844631;9,873404;9,91528;9,945162;10,0023;10,05658;10,18422;10,22197;10,34522;10,40228;10,44297;10,55489;10,62563;10,67044;10,81993;10,86318;10,919;11,04587;11,04587;11,08576;11,12586;11,22412;11,22412;11,36653;11,61445;11,61445;11,7548;11,78379;12,00518;12,3069;12,3178;12,48484;12,53992;12,68043;12,69471;12,77708;12,84722;12,98362;13,03946;13,13595;13,1774;13,20764;13,31901;13,36185;13,4726;13,50229;13,58459;13,6389;13,65453;13,76728;13,8465;13,87386;13,94424;13,99541;14,02334;14,10559;14,14702;14,36634;14,5053;14,60231;14,69845;14,80742;14,9032;14,94407;14,9851;15,01245;15,12273;15,12273;15,2184;15,31563;15,31563;15,39511;15,50489;15,54529;15,66668;15,77614;15,80478;15,88516;15,97783;16,08636;16,18303;16,27696;16,37236;16,48091;16,52152;16,6031;16,72235;16,80235;16,88371;16,92521;17,18225;17,34332;17,38484;17,50483;17,54552;17,59894;17,63798;17,7045;17,79793;17,86323;17,95687;18,02268;18,10236;18,24745;18,30112;18,447;18,64394;18,72426;18,76486;18,84406;18,90598;19,09822;19,17683;19,28379;19,40401;19,40401;19,45628;19,90179;19,97997;20,2077;20,32501;20,44533;20,78578;23,82734;
0,1162213;2,381356;2,697815;2,953106;3,103405;3,375214;3,643838;3,925171;4,046617;4,23545;4,23545;4,445863;4,592597;4,622413;4,995896;4,995896;5,221135;5,435753;5,513474;5,645122;5,675814;5,826802;5,855755;6,004522;6,032483;6,106071;6,134041;6,27972;6,27972;6,326318;6,415776;6,446023;6,577614;6,666127;6,73839;6,754532;6,975979;7,006118;7,122841;7,166628;7,344849;7,344849;7,462493;7,533745;7,578016;7,635098;7,754725;7,754725;7,84466;7,916591;7,95169;8,0143;8,072599;8,114237;8,146026;8,215355;8,245644;8,304638;8,403656;8,50297;8,646493;8,658372;8,717138;8,717138;8,817021;8,90374;9,004172;9,004172;9,103392;9,173917;9,262943;9,262943;9,332251;9,432309;9,506618;9,506618;9,562926;9,606717;9,677312;9,776583;9,833766;9,863287;10,06207;10,07483;10,1743;10,1743;10,23283;10,33066;10,40475;10,41677;10,5181;10,5181;10,56382;10,70463;10,7468;10,90463;11,10205;11,11497;11,20272;11,28471;11,34532;11,41294;11,44266;11,54118;11,62487;11,62487;11,75591;11,93666;12,0938;12,12342;12,26571;12,27769;12,36367;12,44654;12,44654;12,53258;12,6335;12,66516;12,70213;12,71278;12,8358;12,87721;12,90633;13,00317;13,00317;13,05922;13,18381;13,2405;13,28186;13,39256;13,42035;13,51721;13,61427;13,68356;13,69597;13,72414;13,86292;13,86292;13,86292;14,00378;14,01525;14,18306;14,19571;14,26676;14,33614;14,40319;14,49999;14,49999;14,5827;14,74628;14,77396;14,96625;15,0065;15,11541;15,18343;15,34676;15,37351;15,44154;15,57654;15,60547;15,98286;16,02367;16,07648;16,14661;16,32286;16,33562;16,40004;16,50125;16,54191;16,70667;16,84274;16,96182;17,00276;17,01612;17,13633;17,32602;17,51342;17,87879;17,90672;17,98603;18,06625;18,07908;18,14591;18,27859;18,30672;18,46635;18,50608;18,54524;18,62563;18,82287;18,90349;19,21371;19,52478;19,81668;20,00247;20,17512;20,23375;20,46318;20,63775;20,88519;
0,1153566;0,3806049;1,922771;2,45944;2,637443;3,135169;3,25581;3,464289;3,612863;3,85986;3,905808;4,085399;4,442212;4,662687;5,017102;5,065067;5,065067;5,185231;5,302702;5,434085;5,47803;5,584427;5,597924;5,804912;5,921546;6,051706;6,199047;6,316154;6,477015;6,565494;6,638408;6,726556;6,872976;6,872976;6,872976;7,023015;7,066509;7,185001;7,214081;7,245324;7,374344;7,403341;7,462443;7,534495;7,623765;7,738552;7,754639;7,784036;7,872764;7,96236;8,005322;8,005322;8,134257;8,164344;8,193508;8,295424;8,383846;8,396426;8,455048;8,5579;8,614841;8,672825;8,702615;8,816716;8,832028;8,946528;9,046582;9,074724;9,10553;9,204877;9,217433;9,362622;9,405717;9,446239;9,54635;9,604986;9,662485;9,706188;9,775988;9,875525;9,906004;9,93269;9,962862;10,04657;10,20424;10,20424;10,21605;10,27605;10,40491;10,4175;10,60275;10,60275;10,68538;10,85382;10,89529;10,96688;10,9934;11,03549;11,1231;11,2213;11,23272;11,26232;11,44168;11,48286;11,52544;11,65991;11,69818;11,92371;11,96387;11,96387;12,10263;12,1866;12,19933;12,24429;12,39627;12,42521;12,47473;12,62491;12,66553;12,81645;12,8863;13,02361;13,07742;13,10608;13,13379;13,21627;13,32615;13,32615;13,42292;13,506;13,54665;13,68485;13,77887;13,86303;13,97302;14,05549;14,12541;14,18002;14,36226;14,40114;14,44312;14,54026;14,64527;14,68636;14,86612;14,9636;15,0043;15,0593;15,18131;15,22324;15,30368;15,34501;15,39988;15,48268;15,57881;15,60607;15,63163;15,74071;15,90271;16,00197;16,12645;16,22288;16,26076;16,32154;16,38676;16,48233;16,62216;16,78256;16,86453;17,10542;17,17246;17,36127;17,36127;17,44181;17,60248;17,64181;17,84112;17,96232;18,00526;18,07392;18,16222;18,19775;18,30387;18,34238;18,50383;18,53944;18,62392;18,87924;18,90075;19,06436;19,12495;19,26337;19,42139;19,76552;19,91773;20,08504;20,60331;20,78195;21,74637;22,79548;
0,1356149;1,279192;2,836714;3,438056;3,58763;3,797038;3,884888;3,976925;4,168712;4,198615;4,52656;4,570974;4,666129;4,935375;4,935375;5,107877;5,22613;5,257102;5,44905;5,667168;5,751906;5,81232;5,976264;5,976264;6,106962;6,167221;6,356407;6,458655;6,472474;6,517897;6,637403;6,694963;6,796228;6,896347;6,955435;6,955435;7,116522;7,159347;7,33609;7,33609;7,349211;7,596189;7,596189;7,684802;7,714535;7,816234;7,859249;7,918592;7,976428;7,988881;8,105232;8,135348;8,177079;8,206143;8,316902;8,375936;8,389082;8,489099;8,634772;8,677881;8,794348;8,894781;8,953569;8,969844;9,12732;9,171023;9,214564;9,256859;9,315418;9,385159;9,426942;9,456564;9,514979;9,615089;9,658108;9,670795;9,758564;9,758564;9,886709;9,945292;10,01679;10,01679;10,09876;10,13878;10,19459;10,29746;10,39477;10,48935;10,51951;10,61703;10,658;10,71667;10,81438;10,86894;10,92644;10,96796;11,03905;11,13768;11,19648;11,23656;11,57678;11,57678;11,73101;11,74617;11,77439;11,8966;11,99425;11,99425;12,13365;12,13365;12,14493;12,28392;12,36891;12,46993;12,49805;12,50921;12,57922;12,67503;12,77434;12,77434;12,77434;12,85796;12,95656;12,95656;13,03886;13,13619;13,17901;13,23446;13,32837;13,36181;13,41012;13,46545;13,52779;13,71775;13,77423;13,87032;14,01859;14,17674;14,21913;14,42606;14,45455;14,49487;14,6059;14,63517;14,6752;14,81051;14,83886;14,87908;15,01551;15,13875;15,16586;15,27418;15,39752;15,77739;15,8042;15,99454;15,99454;16,15759;16,19773;16,29231;16,29231;16,39943;16,45462;16,61711;16,63087;16,79461;16,8361;16,84903;17,01443;17,03938;17,09269;17,42552;17,53185;17,69272;17,85552;17,91464;17,95908;18,10543;18,19905;18,19905;18,3159;18,37143;18,4531;18,5195;18,53412;18,73219;18,99839;19,14563;19,21944;19,21944;19,38805;19,5592;19,61381;19,93205;20,00447;20,15945;20,28731;20,41581;20,44673;20,59122;
