Personne 0;Personne 1;Personne 2;Personne 3;Personne 4;Personne 5;Personne 6;Personne 7;Personne 8;Personne 9;Personne 10;Personne 11;Personne 12;Personne 13;Personne 14;Personne 15;Personne 16;Personne 17;Personne 18;Personne 19;Personne 20;Personne 21;Personne 22;Personne 23;Personne 24;Personne 25;Personne 26;Personne 27;Personne 28;Personne 29;Personne 30;Personne 31;Personne 32;Personne 33;Personne 34;Personne 35;Personne 36;Personne 37;Personne 38;Personne 39;Personne 40;Personne 41;Personne 42;Personne 43;Personne 44;Personne 45;Personne 46;Personne 47;Personne 48;Personne 49;Personne 50;Personne 51;Personne 52;Personne 53;Personne 54;Personne 55;Personne 56;Personne 57;Personne 58;Personne 59;Personne 60;Personne 61;Personne 62;Personne 63;Personne 64;Personne 65;Personne 66;Personne 67;Personne 68;Personne 69;Personne 70;Personne 71;Personne 72;Personne 73;Personne 74;Personne 75;Personne 76;Personne 77;Personne 78;Personne 79;Personne 80;Personne 81;Personne 82;Personne 83;Personne 84;Personne 85;Personne 86;Personne 87;Personne 88;Personne 89;Personne 90;Personne 91;Personne 92;Personne 93;Personne 94;Personne 95;Personne 96;Personne 97;Personne 98;Personne 99;Personne 100;Personne 101;Personne 102;Personne 103;Personne 104;Personne 105;Personne 106;Personne 107;Personne 108;Personne 109;Personne 110;Personne 111;Personne 112;Personne 113;Personne 114;Personne 115;Personne 116;Personne 117;Personne 118;Personne 119;Personne 120;Personne 121;Personne 122;Personne 123;Personne 124;Personne 125;Personne 126;Personne 127;Personne 128;Personne 129;Personne 130;Personne 131;Personne 132;Personne 133;Personne 134;Personne 135;Personne 136;Personne 137;Personne 138;Personne 139;Personne 140;Personne 141;Personne 142;Personne 143;Personne 144;Personne 145;Personne 146;Personne 147;Personne 148;Personne 149;Personne 150;Personne 151;Personne 152;Personne 153;Personne 154;Personne 155;Personne 156;Personne 157;Personne 158;Personne 159;Personne 160;Personne 161;Personne 162;Personne 163;Personne 164;Personne 165;Personne 166;Personne 167;Personne 168;Personne 169;Personne 170;Personne 171;Personne 172;Personne 173;Personne 174;Personne 175;Personne 176;Personne 177;Personne 178;Personne 179;Personne 180;Personne 181;Personne 182;Personne 183;Personne 184;Personne 185;Personne 186;Personne 187;Personne 188;Personne 189;Personne 190;Personne 191;Personne 192;Personne 193;Personne 194;Personne 195;Personne 196;Personne 197;Personne 198;Personne 199;
1,904987;2,165064;2,370237;2,927534;3,377724;3,750915;3,799323;3,90901;4,258802;4,505566;4,616022;4,689106;4,799222;4,909855;4,958666;5,036078;5,177351;5,337758;5,337758;5,577643;5,651227;5,870569;5,886469;6,059488;6,198268;6,228117;6,37043;6,469946;6,75133;6,768789;6,890076;6,95387;7,038786;7,172576;7,207048;7,255554;7,27072;7,338253;7,452013;7,518082;7,518082;7,531708;7,636109;7,7332;7,785168;7,81762;7,913154;7,996603;8,096711;8,197459;8,197459;8,2288;8,359649;8,390202;8,459671;8,503013;8,534373;8,609141;8,779905;8,779905;8,965481;8,965481;9,11488;9,199568;9,248992;9,308685;9,308685;9,363954;9,515772;9,588037;9,60608;9,658688;9,729421;9,821373;9,821373;9,89391;10,05924;10,10596;10,13691;10,13691;10,19821;10,39155;10,39155;10,4659;10,52512;10,5718;10,66922;10,71947;10,74956;10,76528;10,87769;10,87769;10,97068;11,0184;11,03063;11,15077;11,19727;11,25548;11,29911;11,38999;11,43674;11,52671;11,59677;11,69885;11,77871;11,79358;11,89085;11,94957;12,00832;12,05777;12,1174;12,21329;12,35316;12,37956;12,51626;12,55875;12,61726;12,76795;12,94874;12,96505;13,05902;13,12956;13,18912;13,27883;13,3446;13,52832;13,52832;13,68921;13,77936;13,95512;13,95512;13,99509;14,11973;14,33677;14,47875;14,55548;14,69131;14,75609;14,81686;14,88873;14,92828;15,07695;15,07695;15,15815;15,25392;15,59581;15,63366;15,81504;15,85368;16,03983;16,1963;16,38699;16,41549;16,42898;16,62686;16,76604;17,02768;17,09686;17,23972;17,34634;17,34634;17,49249;17,53578;17,59426;17,66767;17,69989;17,89904;17,95389;18,03122;18,05784;18,27435;18,37906;18,47986;18,55041;18,7578;18,89182;19,17116;19,21945;19,45483;19,45483;19,45483;19,61487;19,61487;19,728;19,79808;20,05909;20,16646;20,55629;20,87653;21,01604;21,11551;21,2569;21,45978;21,49904;21,61641;21,77291;22,37724;22,57177;23,03252;23,26576;
0,1852513;0,904691;1,505172;1,984829;2,444649;2,64852;2,836319;3,511757;3,576302;4,017806;4,204725;4,417925;4,797838;4,875967;4,905101;4,979127;4,979127;5,056528;5,259302;5,288483;5,347176;5,42619;5,519313;5,715516;5,838747;5,898611;6,035078;6,197388;6,197388;6,377551;6,45392;6,575723;6,615492;6,657315;6,657315;6,754258;6,898866;6,898866;6,971649;7,014949;7,188835;7,188835;7,263633;7,307972;7,367717;7,415048;7,598257;7,598257;7,612566;7,771036;7,851462;7,866594;7,951997;7,988676;8,118895;8,147779;8,177988;8,177988;8,287474;8,334427;8,398806;8,446272;8,550673;8,59873;8,59873;8,775181;8,818063;8,818063;8,845753;8,94468;9,04681;9,04681;9,166598;9,228843;9,276801;9,356343;9,398518;9,475343;9,596685;9,672988;9,734625;9,811002;9,811002;10,02499;10,02499;10,06881;10,20532;10,23567;10,38512;10,41685;10,56945;10,64471;10,67733;10,73683;10,80737;10,8353;10,90539;10,93693;11,0275;11,13598;11,13598;11,19623;11,2097;11,30864;11,39178;11,43335;11,44563;11,61902;11,66383;11,66383;11,79212;11,83837;11,85184;11,95776;12,01816;12,19463;12,23595;12,39924;12,49815;12,59727;12,63525;12,75779;12,79839;12,89474;12,93925;13,0473;13,21692;13,21692;13,24647;13,39887;13,41153;13,41153;13,59529;13,75086;13,76645;13,91421;14,04871;14,10653;14,20894;14,25418;14,31586;14,44547;14,6039;14,63344;14,74691;14,79826;14,83705;14,99016;15,13687;15,23482;15,28712;15,3966;15,45124;15,60721;15,85018;15,87829;16,05542;16,14961;16,14961;16,35775;16,54603;16,57694;16,65676;16,73056;16,75427;16,83631;16,93367;16,94685;16,97581;17,13746;17,30969;17,51696;17,70749;17,75708;17,79826;17,79826;17,91583;17,92952;18,09394;18,09394;18,16454;18,20797;18,65681;18,69438;18,85277;18,85277;18,85277;18,92915;19,51926;19,57375;19,67239;19,85051;20,05508;20,13918;20,2083;20,2083;20,55722;20,91497;21,07913;21,51445;
1,27082;1,987711;2,679868;2,754869;2,78745;3,509922;3,764513;3,98446;4,130862;4,179363;4,258461;4,337564;4,42818;4,632907;4,853515;4,904665;5,099089;5,59228;5,736109;5,847008;5,877905;5,939827;6,018418;6,079949;6,188;6,250611;6,333018;6,413397;6,413397;6,446375;6,566912;6,714863;6,714863;6,856483;6,870028;6,95012;7,045602;7,107238;7,171559;7,237794;7,237794;7,345434;7,391262;7,499706;7,499706;7,576484;7,638499;7,638499;7,838934;7,917829;7,930777;8,039571;8,039571;8,193646;8,209892;8,347066;8,347066;8,439741;8,545369;8,60998;8,625892;8,779607;8,857581;8,857581;8,929422;9,00527;9,138668;9,138668;9,227588;9,318824;9,393455;9,605329;9,666459;9,804819;9,86586;9,89723;9,959327;10,00625;10,03691;10,19214;10,23794;10,37756;10,38935;10,55418;10,64678;10,69249;10,84519;10,87868;10,89288;10,98624;11,15715;11,2776;11,35708;11,44672;11,62563;11,65719;11,67173;11,74672;11,83731;11,92807;11,95916;11,95916;12,04613;12,16456;12,19671;12,19671;12,29836;12,37336;12,53829;12,53829;12,59832;12,71697;12,71697;12,7466;12,80464;12,90751;12,93812;13,11656;13,11656;13,31231;13,43035;13,53541;13,59544;13,69933;13,75788;13,81617;13,87638;13,89085;14,05626;14,12941;14,15926;14,15926;14,35475;14,36874;14,4143;14,6773;14,77979;14,89688;14,92788;15,02906;15,11845;15,11845;15,19469;15,31033;15,33949;15,42579;15,47113;15,52914;15,61444;15,77457;15,97911;15,97911;16,1538;16,19844;16,31536;16,32895;16,38654;16,51464;16,57217;16,71628;16,85882;16,87151;17,01801;17,07645;17,07645;17,17604;17,33228;17,47653;17,64644;17,64644;17,74931;17,87834;18,00559;18,0778;18,14719;18,19079;18,24618;18,35916;18,5576;18,5576;18,71222;18,89446;18,9387;19,15135;19,1965;19,33742;19,33742;19,51951;19,77377;19,82933;20,43483;20,65517;20,72943;20,83662;20,95988;21,51654;21,73559;21,87422;22,74905;27,53124;
1,099954;2,005162;2,918985;3,348486;4,069157;4,146225;4,302939;4,570342;4,740339;4,851285;4,990388;5,148285;5,410532;5,4569;5,564877;5,580938;5,625159;5,659279;5,720247;5,818035;5,864727;6,004429;6,100162;6,149574;6,178742;6,210613;6,351622;6,351622;6,399401;6,491755;6,80423;6,869158;6,962516;7,037395;7,117193;7,288821;7,318687;7,364868;7,430659;7,492236;7,568844;7,745026;7,758387;7,930768;7,961306;7,961306;8,036977;8,117296;8,21041;8,27059;8,297243;8,389749;8,476621;8,476621;8,508926;8,610961;8,690661;8,703796;8,751519;8,797415;8,902588;8,918784;9,069636;9,069636;9,143803;9,209091;9,221796;9,300256;9,361597;9,420642;9,46944;9,529032;9,591468;9,637093;9,727705;9,740625;9,842719;9,88855;9,94437;9,960005;10,13128;10,13128;10,23221;10,28917;10,43034;10,78838;10,91926;10,95044;10,9621;11,10968;11,15063;11,22121;11,25214;11,40921;11,45041;11,47862;11,56439;11,65209;11,66403;11,70884;11,77953;11,85147;11,90909;11,9235;11,96435;12,02197;12,12225;12,16383;12,23024;12,3108;12,35099;12,40241;12,4905;12,56763;12,6216;12,80782;12,89027;12,99005;13,26161;13,3459;13,50091;13,50091;13,64503;13,65855;13,78312;13,78312;13,95212;14,06341;14,12036;14,14866;14,14866;14,24674;14,28837;14,34914;14,44159;14,46795;14,53201;14,54426;14,67132;14,74812;14,8502;14,90289;14,98778;15,17008;15,35001;15,63047;15,72736;15,76988;15,87984;15,90882;15,95101;16,02046;16,08967;16,18564;16,19935;16,29957;16,3697;16,3697;16,44036;16,50836;16,54958;16,61973;16,66049;16,70709;16,82823;16,90811;16,95026;16,99138;17,12979;17,22706;17,34879;17,43037;17,4865;17,56696;17,66276;17,70562;17,78771;17,84132;18,04437;18,07166;18,11238;18,28594;18,53789;18,6906;18,90431;19,10746;19,30626;19,42653;19,66631;19,74692;20,12324;20,35942;20,9845;21,75013;21,96841;22,25068;22,26386;23,18785;23,37116;23,72235;
0,1249997;0,1249997;3,504532;3,791712;3,864864;4,2619;4,425523;4,711664;4,828718;4,9639;5,26547;5,340906;5,522136;5,581215;5,8522;5,86455;5,881128;6,016047;6,1341;6,194473;6,281682;6,34254;6,475829;6,551883;6,65943;6,691859;6,704224;7,027829;7,131978;7,221455;7,312311;7,312311;7,428219;7,634557;7,648162;7,663922;7,69594;7,783225;7,931512;7,943902;8,033206;8,105466;8,148322;8,148322;8,312384;8,312384;8,382918;8,471952;8,485024;8,562299;8,695808;8,780837;8,914543;8,984681;9,014717;9,073739;9,144294;9,17554;9,293951;9,352128;9,411057;9,411057;9,466216;9,526735;9,632545;9,632545;9,704834;9,747567;9,864038;9,894517;9,951306;10,05303;10,05303;10,15539;10,21436;10,34212;10,37211;10,51428;10,57309;10,60099;10,60099;10,68615;10,82779;10,87309;10,87309;10,94347;11,01369;11,05572;11,23199;11,24459;11,39471;11,49216;11,56444;11,73407;11,79261;11,80603;11,83586;11,93293;11,94544;12,04367;12,07379;12,17239;12,27098;12,27098;12,31325;12,35532;12,45368;12,49601;12,62106;12,66306;12,84633;12,87518;12,90295;13,08402;13,11571;13,25589;13,25589;13,34073;13,40187;13,4507;13,5236;13,65567;13,69466;13,80283;13,97093;13,97093;14,11353;14,15383;14,18211;14,33575;14,6834;14,71141;14,76559;14,80644;14,90399;14,94482;14,97412;15,03038;15,11393;15,21075;15,25233;15,29302;15,55456;15,63502;15,76432;15,87441;15,96873;16,05208;16,19037;16,20373;16,24243;16,43556;16,50579;16,54567;16,6146;16,6146;16,75159;16,76534;16,78961;16,93166;17,05429;17,09517;17,274;17,50787;17,58926;17,65566;17,7648;17,90231;18,02337;18,19044;18,35202;18,43258;18,52677;18,59527;18,77185;19,14936;19,23073;19,40473;19,44527;19,73181;19,90551;19,93218;20,09501;20,13564;20,4322;20,63428;20,78269;20,99396;21,22873;21,4456;21,62473;22,53048;22,70633;22,9675;23,13104;23,14559;23,29206;23,29206;23,49572;24,62609;
1,272201;1,360866;2,324771;3,576158;3,784132;3,796916;4,026779;4,382862;4,457054;4,618962;4,664349;4,8438;5,006829;5,035145;5,48654;5,559258;5,576755;5,665806;5,726822;5,813071;5,946898;5,976817;6,127129;6,140513;6,213215;6,316198;6,362404;6,46659;6,46659;6,626466;6,803095;6,918571;7,053862;7,112564;7,143275;7,156781;7,246066;7,376631;7,436103;7,467474;7,526774;7,657007;7,684523;7,803497;7,906003;7,934186;8,038627;8,346385;8,40538;8,567714;8,567714;8,685202;8,715017;8,774478;8,845763;8,904974;8,963649;9,066236;9,079487;9,184402;9,196677;9,286636;9,299533;9,386755;9,386755;9,502869;9,502869;9,57491;9,603719;9,707849;9,737182;9,779201;9,826322;9,905924;9,918468;10,07896;10,19559;10,22636;10,29514;10,38394;10,48413;10,6443;10,6443;10,78578;10,84464;10,85837;10,91524;11,01429;11,07277;11,10188;11,24444;11,24444;11,31435;11,35824;11,41533;11,44612;11,58744;11,64433;11,81666;11,84545;11,98728;11,98728;12,01399;12,13922;12,1835;12,28372;12,28372;12,33785;12,36761;12,46534;12,47824;12,57513;12,60573;12,64678;12,70352;12,81491;12,9041;12,95828;12,98633;13,12746;13,13972;13,15503;13,26769;13,29424;13,33539;13,46205;13,60307;13,70003;13,80118;13,92731;13,92731;14,02722;14,12269;14,16457;14,31769;14,38655;14,4965;14,52483;14,58045;14,6231;14,74759;14,74759;14,92665;14,98472;15,03777;15,1659;15,20614;15,35779;15,52649;15,56781;15,70716;15,92648;16,10587;16,14721;16,28342;16,33813;16,50465;16,57533;16,74017;16,86283;17,02703;17,20392;17,24366;17,24366;17,381;17,42235;17,4642;17,54351;17,5848;17,7072;17,73601;17,92409;17,97602;18,04321;18,09858;18,19431;18,26299;18,58583;18,70668;18,74707;18,84404;18,84404;18,88353;19,00407;19,04349;19,12514;19,18151;19,27727;19,38282;19,46383;19,54271;19,66568;19,78763;20,13661;20,32629;20,42216;20,53838;21,21324;21,3517;23,12765;
0,612654;1,507361;2,352394;3,12454;3,154172;3,411667;3,636318;3,651638;3,815161;3,984091;4,194885;4,255889;4,363202;4,451962;4,645111;5,031446;5,361737;5,500443;5,580736;5,704674;5,759917;5,759917;5,885253;6,116312;6,159132;6,324104;6,455001;6,497122;6,538333;6,62361;6,664955;6,760234;6,800223;6,812698;6,960988;7,000739;7,120787;7,174247;7,241301;7,29397;7,36228;7,402299;7,442565;7,522445;7,563443;7,563443;7,642591;7,711735;7,74265;7,844495;7,857016;7,902925;7,916012;8,08208;8,18422;8,24244;8,31417;8,344943;8,474677;8,521076;8,652251;8,683652;8,783444;8,841019;9,092128;9,122434;9,122434;9,182296;9,296834;9,340823;9,441116;9,512403;9,58455;9,58455;9,701636;9,859596;9,900743;9,992877;10,02267;10,13471;10,15037;10,29479;10,31013;10,39633;10,54328;10,54328;10,59863;10,74425;10,84346;10,94438;11,0436;11,0852;11,0852;11,21399;11,27358;11,37301;11,46078;11,50284;11,60274;11,67393;11,67393;11,81522;11,84451;11,97183;12,01449;12,04381;12,19876;12,19876;12,26374;12,32006;12,36276;12,40458;12,5245;12,63443;12,66517;12,69438;12,89074;13,06167;13,21505;13,24437;13,31204;13,42406;13,42406;13,56468;13,60446;13,61643;13,7439;13,77116;13,8965;13,91073;14,02307;14,13074;14,17351;14,24169;14,3413;14,3413;14,43817;14,48087;14,53356;14,61797;14,71522;14,81292;14,84055;14,84055;14,97908;15,14484;15,2833;15,42311;15,43684;15,60348;15,64524;15,64524;15,88002;15,92232;16,1163;16,172;16,24039;16,29473;16,40512;16,51403;16,58427;16,6109;16,64014;16,83633;16,87638;17,00218;17,08386;17,22031;17,27379;17,35604;17,43999;17,56322;17,65661;17,76363;17,86071;17,94074;17,95833;18,08524;18,15835;18,18205;18,23602;18,26097;18,34306;18,42366;18,61328;18,64027;18,6812;19,37551;19,60512;19,74115;19,97917;20,03356;20,54136;20,83452;20,90407;21,0228;21,22489;22,30173;23,18011;26,31101;
0,1203708;0,2815265;0,8942078;0,9065273;1,88896;2,106729;3,398753;3,587762;3,695038;4,033344;4,535373;4,658694;4,71346;4,755804;4,857086;4,98865;5,138345;5,138345;5,138345;5,297283;5,421304;5,557559;5,597383;5,638636;5,770658;5,905568;5,932534;6,049996;6,07828;6,288585;6,317985;6,397958;6,478652;6,532818;6,585155;6,653412;6,774117;6,774117;6,813717;6,89422;6,99265;7,032376;7,084941;7,112885;7,25858;7,285355;7,338396;7,445478;7,593075;7,604655;7,764199;7,834628;7,914837;8,113454;8,113454;8,155414;8,168823;8,298733;8,369931;8,369931;8,416344;8,516104;8,583989;8,616092;8,673497;8,77394;8,874865;8,917667;8,975194;9,075112;9,175855;9,188142;9,317591;9,329283;9,474627;9,517776;9,567806;9,60915;9,738209;9,738209;9,796818;9,855125;9,956015;10,03876;10,11414;10,19581;10,23863;10,4157;10,4157;10,42861;10,51399;10,59837;10,59837;10,68458;10,78491;10,84637;10,88825;11,01489;11,01489;11,08396;11,19832;11,29764;11,39602;11,50923;11,56643;11,6659;11,73533;11,83561;11,87662;11,93591;12,01724;12,11667;12,17397;12,27009;12,31289;12,38439;12,41363;12,53719;12,55193;12,60868;12,63648;12,73458;12,81689;12,81689;12,91543;12,95784;13,01445;13,10922;13,19678;13,27357;13,3148;13,40252;13,43802;13,48699;13,67522;13,71629;13,75836;13,85544;13,89717;14,03512;14,13352;14,14681;14,27308;14,32739;14,45394;14,59545;14,60962;14,69468;14,77652;14,84629;14,91576;14,95605;15,01054;15,1349;15,14866;15,32594;15,35583;15,46533;15,576;15,67181;15,7533;15,91572;15,99677;16,06462;16,10832;16,13486;16,31027;16,43287;16,55275;16,59441;16,71607;16,76922;16,79767;16,94581;16,94581;17,06782;17,17763;17,27235;17,28797;17,40808;17,4356;17,47466;17,59449;17,64793;17,75436;17,83522;17,95426;17,99408;18,16606;18,37809;18,65363;19,37567;19,50873;19,97762;19,99301;20,17835;20,38685;20,60614;20,67741;20,90807;
0,8121379;1,634946;1,754024;2,067643;2,275783;2,454548;2,916484;3,537263;3,848288;3,894917;4,074118;4,134271;4,267246;4,297519;4,516045;4,648086;4,916297;5,064931;5,136647;5,136647;5,356591;5,36928;5,416071;5,576055;5,635045;5,647287;5,765693;5,79661;5,994843;6,216966;6,245286;6,375885;6,388588;6,434308;6,547436;6,696166;6,812853;6,826749;6,857768;6,988856;7,046583;7,135001;7,295467;7,396366;7,454822;7,467536;7,514066;7,630419;7,674592;7,834181;7,834181;7,948309;8,006816;8,225794;8,241725;8,272404;8,329615;8,475417;8,533514;8,576672;8,604814;8,735421;8,735421;8,795669;8,854198;8,914442;8,996706;9,106069;9,136089;9,136089;9,235067;9,304908;9,392927;9,504191;9,504191;9,676868;9,689959;9,804696;9,877779;9,947001;9,976941;10,0479;10,23295;10,38552;10,41558;10,42783;10,55563;10,61505;10,71521;10,89052;10,92771;11,07512;11,23539;11,29491;11,29491;11,47654;11,47654;11,53276;11,63052;11,75657;11,81408;11,81408;11,91406;11,9543;11,99581;12,12371;12,29363;12,29363;12,30745;12,33679;12,4361;12,62982;12,67405;12,81427;12,81427;12,95514;13,13708;13,1918;13,33292;13,37652;13,4171;13,5285;13,55672;13,67109;13,6966;13,72473;13,86394;13,8932;13,97499;14,02975;14,0732;14,11465;14,2134;14,26623;14,34891;14,4466;14,4466;14,61324;14,77432;14,90643;14,93395;14,97752;15,11339;15,13686;15,25088;15,42743;15,52658;15,66824;15,80637;15,97137;15,97137;16,10936;16,211;16,22383;16,39102;16,44565;16,5691;16,5691;16,60979;16,6939;16,74579;16,85729;16,9932;17,03502;17,03502;17,173;17,173;17,29298;17,3057;17,37518;17,49598;17,57639;17,79231;17,8324;17,84642;18,29156;18,49267;18,57355;18,69646;18,70989;18,75223;18,92536;18,99609;19,15564;19,31673;19,43639;19,51594;19,53053;19,80811;19,84816;19,99641;20,54375;20,7463;20,78957;20,81764;20,95672;21,39451;21,8765;22,76903;23,00654;
0,1196363;0,5624272;0,9138416;1,933565;2,191792;2,815292;3,234268;3,545498;3,824215;3,94534;4,004604;4,293009;4,380696;4,65146;4,949852;5,163964;5,163964;5,326305;5,488774;5,624964;5,804311;5,863697;5,9232;6,056137;6,056137;6,232952;6,306102;6,452617;6,464833;6,525729;6,6327;6,694298;6,748722;6,895906;6,924821;7,014513;7,087869;7,102971;7,254383;7,254383;7,312672;7,382439;7,471893;7,543291;7,615118;7,674506;7,731676;7,7755;7,803536;7,951078;7,994284;7,994284;7,994284;8,111814;8,124765;8,261439;8,291425;8,45273;8,492432;8,492432;8,655241;8,694602;8,694602;8,82488;8,85328;9,010742;9,010742;9,023455;9,075495;9,183875;9,313066;9,370679;9,471127;9,483314;9,525328;9,554786;9,666527;9,723175;9,794509;9,807099;9,952593;9,964915;10,00795;10,11175;10,19601;10,25318;10,2656;10,29599;10,47156;10,48274;10,55376;10,69064;10,69064;10,69064;10,79565;10,88526;11,00452;11,11026;11,24255;11,27124;11,38936;11,44366;11,49503;11,54242;11,6036;11,65098;11,75001;11,75001;11,85435;11,89336;11,9707;12,04977;12,075;12,13529;12,25281;12,35477;12,43147;12,53232;12,61406;12,77076;12,85568;12,93201;12,97206;13,03472;13,17615;13,21379;13,39315;13,39315;13,54532;13,68395;13,77276;13,7857;13,95251;13,96599;14,02057;14,091;14,174;14,24287;14,31291;14,46547;14,49368;14,60202;14,71356;14,77161;14,94873;15,18221;15,29353;15,34757;15,40194;15,52629;15,63594;15,69341;15,7891;15,85054;15,92627;15,95158;16,25069;16,37572;16,4506;16,58709;16,64896;16,72444;16,83134;16,91259;16,95132;17,0328;17,15532;17,19326;17,36978;17,63383;17,67357;17,75428;17,88783;17,91501;17,91501;17,96809;18,07458;18,24671;18,40827;18,47455;18,63484;18,79567;18,96933;19,15168;19,3117;19,80947;19,87074;20,01619;20,08979;20,28958;20,47319;20,62083;20,80438;20,9509;21,13341;21,21318;21,34601;21,41223;21,58677;22,50986;
