Personne 0;Personne 1;Personne 2;Personne 3;Personne 4;Personne 5;Personne 6;Personne 7;Personne 8;Personne 9;Personne 10;Personne 11;Personne 12;Personne 13;Personne 14;Personne 15;Personne 16;Personne 17;Personne 18;Personne 19;Personne 20;Personne 21;Personne 22;Personne 23;Personne 24;Personne 25;Personne 26;Personne 27;Personne 28;Personne 29;Personne 30;Personne 31;Personne 32;Personne 33;Personne 34;Personne 35;Personne 36;Personne 37;Personne 38;Personne 39;Personne 40;Personne 41;Personne 42;Personne 43;Personne 44;Personne 45;Personne 46;Personne 47;Personne 48;Personne 49;Personne 50;Personne 51;Personne 52;Personne 53;Personne 54;Personne 55;Personne 56;Personne 57;Personne 58;Personne 59;Personne 60;Personne 61;Personne 62;Personne 63;Personne 64;Personne 65;Personne 66;Personne 67;Personne 68;Personne 69;Personne 70;Personne 71;Personne 72;Personne 73;Personne 74;Personne 75;Personne 76;Personne 77;Personne 78;Personne 79;Personne 80;Personne 81;Personne 82;Personne 83;Personne 84;Personne 85;Personne 86;Personne 87;Personne 88;Personne 89;Personne 90;Personne 91;Personne 92;Personne 93;Personne 94;Personne 95;Personne 96;Personne 97;Personne 98;Personne 99;Personne 100;Personne 101;Personne 102;Personne 103;Personne 104;Personne 105;Personne 106;Personne 107;Personne 108;Personne 109;Personne 110;Personne 111;Personne 112;Personne 113;Personne 114;Personne 115;Personne 116;Personne 117;Personne 118;Personne 119;Personne 120;Personne 121;Personne 122;Personne 123;Personne 124;Personne 125;Personne 126;Personne 127;Personne 128;Personne 129;Personne 130;Personne 131;Personne 132;Personne 133;Personne 134;Personne 135;Personne 136;Personne 137;Personne 138;Personne 139;Personne 140;Personne 141;Personne 142;Personne 143;Personne 144;Personne 145;Personne 146;Personne 147;Personne 148;Personne 149;Personne 150;Personne 151;Personne 152;Personne 153;Personne 154;Personne 155;Personne 156;Personne 157;Personne 158;Personne 159;Personne 160;Personne 161;Personne 162;Personne 163;Personne 164;Personne 165;Personne 166;Personne 167;Personne 168;Personne 169;Personne 170;Personne 171;Personne 172;Personne 173;Personne 174;Personne 175;Personne 176;Personne 177;Personne 178;Personne 179;Personne 180;Personne 181;Personne 182;Personne 183;Personne 184;Personne 185;Personne 186;Personne 187;Personne 188;Personne 189;Personne 190;Personne 191;Personne 192;Personne 193;Personne 194;Personne 195;Personne 196;Personne 197;Personne 198;Personne 199;
0,6991559;1,37813;1,37813;1,672527;1,747606;2,024289;2,057647;2,178904;2,356373;2,429233;2,594934;2,608061;2,746212;2,977028;3,064462;3,177803;3,2753;3,316859;3,370965;3,536243;3,618348;3,768274;3,97212;4,227024;4,354768;4,399993;4,587441;4,716908;5,234526;5,274734;5,418363;5,518253;5,518253;5,674202;5,756662;5,792415;5,933128;5,97803;6,037041;6,158952;6,253869;6,494576;6,567399;6,609419;6,655804;6,754834;6,799096;6,915227;6,958247;7,018238;7,131943;7,146657;7,297369;7,456831;7,519339;7,548068;7,694739;7,694739;7,745988;7,88983;7,913282;7,913282;7,979169;8,094525;8,128706;8,128706;8,292665;8,353758;8,353758;8,495588;8,58985;8,63876;8,707211;8,73245;8,838055;9,014946;9,089324;9,15958;9,286113;9,31489;9,459371;9,61748;9,659846;9,858283;10,0184;10,0526;10,176;10,23271;10,25469;10,31116;10,43621;10,45851;10,57034;10,59219;10,65898;10,73761;10,83956;10,93255;10,99931;10,99931;11,17709;11,17709;11,31157;11,37727;11,47393;11,49716;11,57648;11,67634;11,69889;11,73243;11,8192;11,83084;11,8886;12,00988;12,05492;12,15527;12,17706;12,20931;12,39668;12,4191;12,45209;12,52816;12,55243;12,69429;12,7727;12,7727;12,81676;13,03407;13,13521;13,17965;13,29988;13,45407;13,45407;13,59218;13,6358;13,75611;13,91853;13,95188;13,9947;14,11332;14,41544;14,43758;14,57996;14,61321;14,73285;14,8085;14,91075;14,97457;15,09357;15,13558;15,27406;15,29692;15,43423;15,45821;15,51603;15,57964;15,65913;15,71421;15,79973;15,97252;16,01459;16,15396;16,21864;16,23926;16,23926;16,41354;16,51707;16,61619;16,65404;16,65404;16,83024;16,91428;16,91428;17,01168;17,05393;17,23694;17,23694;17,3962;17,41703;17,55636;17,71956;17,83313;17,87928;17,99245;18,05906;18,17538;18,1965;18,37477;18,55611;18,73368;19,03199;19,21281;19,41571;19,7322;19,77538;19,88777;19,97261;21,45135;22,11961;24,2341;
0,1925419;0,1925419;1,230044;1,267092;1,291114;1,469105;1,602051;1,710033;1,828128;1,926694;1,969025;2,273698;2,471436;2,605955;2,888085;2,96052;3,062028;3,151893;3,307943;3,371325;3,509024;3,569324;3,708572;3,819113;4,044778;4,089328;4,210148;4,292779;4,373597;4,469199;4,521764;4,793637;5,062375;5,388035;5,480828;5,51017;5,643589;5,712194;5,833071;5,89011;6,091059;6,184354;6,247258;6,330179;6,443881;6,528903;6,602618;6,602618;6,690205;6,724842;6,863455;6,910803;7,028918;7,028918;7,14566;7,212679;7,412244;7,522417;7,551714;7,688982;7,688982;7,7804;7,847753;7,953749;7,964932;8,044066;8,071791;8,150368;8,244209;8,285514;8,324167;8,429563;8,468955;8,650232;8,662217;8,662217;8,713922;8,848177;8,891182;8,891182;8,989011;9,031196;9,086879;9,130966;9,240804;9,240804;9,311753;9,325322;9,461128;9,490847;9,531518;9,613044;9,710197;9,860774;9,902591;9,98395;10,01171;10,05296;10,20029;10,22919;10,32615;10,37184;10,46736;10,52169;10,59017;10,70114;10,81229;10,86922;10,96879;11,00921;11,00921;11,17203;11,17203;11,17203;11,33356;11,33356;11,50999;11,67277;11,88818;11,91376;12,0898;12,14179;12,2088;12,24856;12,31315;12,44884;12,5122;12,5122;12,66724;12,82959;12,88816;13,02787;13,2274;13,2876;13,32336;13,52335;13,68964;13,76541;13,83206;13,91207;14,00947;14,16998;14,20318;14,36876;14,53384;14,54555;14,69145;14,74205;14,91372;15,17027;15,37185;15,53208;15,61204;15,82621;15,89192;15,98907;16,08477;16,10678;16,19232;16,24503;16,40525;16,56559;16,62764;16,71012;16,78706;16,85047;16,98952;16,98952;17,37224;17,62779;17,78689;17,89225;18,34463;18,3653;18,40802;18,51337;18,56569;18,69365;18,86425;19,05307;19,25286;19,27377;19,34845;19,45353;19,58941;19,65178;19,80942;19,85107;20,0687;20,17334;20,29091;20,33383;20,47089;20,47089;20,64888;21,48455;22,4126;24,50576;27,17246;31,30391;
0,1556284;0,1556284;0,4982948;0,7147803;1,155144;1,952296;2,073095;2,272943;2,307945;2,53507;2,558085;2,756562;2,756562;2,911988;2,911988;3,175355;3,448162;3,615184;3,776725;3,932442;4,092823;4,105384;4,25771;4,343583;4,611607;4,673693;4,92839;4,975452;5,078295;5,155089;5,256513;5,350003;5,430794;5,478229;5,537531;5,596809;5,692553;5,775821;5,885424;5,913631;5,937963;6,034301;6,115365;6,165268;6,297854;6,413097;6,413097;6,537946;6,608385;6,636836;6,718837;6,813875;6,871863;7,034216;7,091173;7,137059;7,137059;7,277712;7,358377;7,426248;7,473263;7,530194;7,634244;7,634244;7,794828;7,818133;7,874887;7,874887;8,071081;8,231349;8,231349;8,368936;8,393571;8,477363;8,55679;8,61289;8,692793;8,692793;8,817372;8,851519;8,977247;9,078833;9,112513;9,191446;9,294103;9,453167;9,474946;9,487072;9,637667;9,672313;9,672313;9,727775;9,874598;9,874598;9,874598;9,996975;10,03165;10,13117;10,25577;10,3358;10,36822;10,45752;10,5756;10,59692;10,65468;10,70865;10,83121;10,87736;11,01108;11,078;11,23336;11,28827;11,37685;11,38773;11,57726;11,59871;11,65499;11,75614;11,91095;11,95588;12,01073;12,13231;12,15634;12,21075;12,33458;12,41214;12,57887;12,73768;12,81505;12,89163;12,93672;12,96962;13,09181;13,15776;13,25615;13,31044;13,43022;13,47376;13,52727;13,57171;13,6363;13,83068;13,83068;13,91842;13,95144;14,03826;14,11407;14,26939;14,4322;14,45379;14,55181;14,65812;14,72777;14,77322;15,1921;15,29545;15,35457;15,41799;15,47258;15,57658;15,57658;15,71812;15,7716;15,90849;15,97288;16,05779;16,21767;16,25084;16,45816;16,48983;16,64907;16,64907;16,79357;16,81844;16,91814;16,99133;17,11732;17,15875;17,29792;17,41225;17,55004;17,71671;17,76969;17,83143;17,91601;18,11523;18,17823;18,21092;18,29397;18,31398;18,57855;18,75607;18,9296;19,39263;19,55469;20,06768;20,11651;20,29816;20,49415;20,91162;
1,193018;2,731342;2,824873;2,874487;2,965407;3,12311;3,335775;3,569295;3,612778;3,760195;3,834178;3,869324;4,031805;4,125986;4,15485;4,31377;4,325817;4,532367;4,773314;5,145533;5,323024;5,475457;5,696024;6,160581;6,225891;6,424439;6,424439;6,48904;6,608794;6,655821;6,756636;6,852884;6,892786;6,97393;7,055501;7,110286;7,122495;7,244522;7,285696;7,353441;7,474926;7,554897;7,675079;7,715542;7,715542;7,913451;7,965614;8,153923;8,194126;8,366501;8,395206;8,544044;8,583965;8,771638;8,771638;8,811481;8,93368;8,991988;9,112267;9,169844;9,193622;9,285165;9,310512;9,369038;9,396456;9,555058;9,555058;9,736448;9,816111;9,872784;9,906392;10,06787;10,12536;10,22853;10,22853;10,41401;10,4364;10,4706;10,52857;10,6491;10,67144;10,69468;10,72856;10,87511;10,87511;10,95468;11,05593;11,09129;11,17066;11,194;11,29549;11,29549;11,45369;11,53224;11,53224;11,66577;11,73297;11,76596;11,85596;11,95591;11,9667;12,1152;12,1152;12,17084;12,2722;12,29554;12,42727;12,45054;12,55041;12,59513;12,63165;12,73595;12,76943;12,92943;13,07208;13,15057;13,20583;13,29575;13,46354;13,52772;13,6444;13,6444;13,8698;13,93468;14,01346;14,05634;14,16646;14,2318;14,35038;14,41646;14,49414;14,49414;14,64613;14,68993;14,81562;14,96698;15,01177;15,08727;15,11064;15,20777;15,32655;15,35271;15,38922;15,46911;15,53391;15,63151;15,75146;15,93475;15,96865;16,05231;16,15043;16,26391;16,33583;16,47286;16,57016;16,57016;16,69649;16,69649;16,86626;16,91376;17,03225;17,04427;17,1878;17,26397;17,29044;17,44733;17,47511;17,58427;17,58427;17,69267;17,73413;17,77357;17,78735;17,9122;17,95245;18,11595;18,11595;18,16985;18,25211;18,34842;18,41586;18,5107;18,5366;18,65459;18,6963;18,79096;18,95102;19,15527;19,37253;19,53142;19,68483;19,71081;19,77329;20,07343;20,22992;20,43347;20,61204;20,69193;20,91076;23,67074;
0,1478353;0,807474;1,566001;1,611451;1,810282;1,866511;2,012562;2,072677;2,605739;2,649487;2,688662;2,891274;3,034539;3,048315;3,121424;3,192319;3,39214;3,39214;3,451391;3,65419;3,65419;3,700942;3,843862;3,900899;3,932161;4,090558;4,192105;4,36652;4,380817;4,532301;4,993568;5,150843;5,302025;5,553512;5,72226;5,767238;5,872402;5,923581;6,053778;6,067628;6,226021;6,241136;6,37254;6,401834;6,531511;6,57405;6,734022;6,734022;6,908133;6,951604;6,993682;6,993682;7,086708;7,191213;7,25007;7,348214;7,348214;7,513403;7,525118;7,590105;7,6707;7,752819;7,869546;7,894454;7,905196;8,012468;8,069926;8,206715;8,230412;8,287238;8,287238;8,448777;8,572672;8,608054;8,688692;8,790545;8,870591;8,949963;8,949963;9,05119;9,153191;9,210034;9,265714;9,368546;9,425599;9,527641;9,527641;9,631468;9,664869;9,747524;9,883425;9,906243;9,929296;10,03376;10,17106;10,18431;10,21034;10,34475;10,504;10,64001;10,79466;10,84414;10,88254;10,97022;11,00922;11,1506;11,17382;11,28532;11,33063;11,36436;11,40857;11,53169;11,58835;11,66694;11,6914;11,78765;11,78765;11,88743;11,91011;12,01181;12,04517;12,09354;12,17295;12,29247;12,32707;12,5345;12,56814;12,56814;12,73184;12,73184;12,87408;12,92928;12,97205;13,07065;13,12641;13,19309;13,26817;13,29;13,38795;13,48505;13,50717;13,64861;13,89054;13,89054;13,94446;14,10701;14,35151;14,35151;14,49406;14,54817;14,61367;14,63435;14,71124;14,75332;14,78619;14,84682;14,97066;14,97066;15,02694;15,08951;15,1687;15,2527;15,37101;15,77165;15,79208;15,9517;16,09108;16,18786;16,20903;16,35204;16,51238;16,64936;16,64936;16,78817;16,84887;17,05347;17,11295;17,18333;17,3702;17,38876;17,57403;17,74736;17,97004;18,36989;18,39071;18,63066;18,92624;18,96824;19,14745;19,67158;19,82729;19,84971;19,993;20,48728;21,05018;22,00793;22,09303;22,28925;22,84512;25,41239;
0,1311671;0,1311671;1,347305;1,78819;2,190786;2,485471;2,485471;2,665252;2,84354;2,928455;3,010553;3,190379;3,342317;3,385648;3,45634;3,499881;3,543355;3,667166;4,022042;4,066717;4,0801;4,309589;4,365035;4,560534;5,022691;5,118104;5,229269;5,257088;5,368501;5,398345;5,525491;5,617314;5,68764;5,809538;6,010719;6,065607;6,226576;6,226576;6,40621;6,446897;6,503176;6,548329;6,629748;6,748252;6,799225;6,827216;6,984274;7,121162;7,149858;7,298739;7,36079;7,36079;7,527381;7,569894;7,569894;7,710021;7,710021;7,841078;7,868146;7,986608;7,998167;8,084793;8,225754;8,248496;8,322982;8,369216;8,526448;8,561253;8,586164;8,726294;8,726294;8,865744;8,865744;8,990698;8,990698;9,09;9,124494;9,227938;9,250732;9,343497;9,39005;9,446246;9,584906;9,707775;9,745671;9,745671;9,845237;9,869648;10,05002;10,08511;10,12955;10,23045;10,23045;10,32116;10,36678;10,39961;10,52494;10,52494;10,60382;10,68084;10,68084;10,82827;10,9856;10,9856;11,11973;11,16489;11,26479;11,32911;11,42744;11,547;11,58087;11,70682;11,72943;11,78344;11,90786;11,94497;12,16824;12,20651;12,24497;12,33062;12,3668;12,52323;12,66532;12,68775;12,78744;12,86315;12,96274;13,0835;13,0835;13,10623;13,25976;13,38017;13,40427;13,52303;13,61019;13,64375;13,70924;13,96438;13,96438;14,08577;14,2096;14,36657;14,38943;14,5448;14,60963;14,60963;14,79023;14,863;14,96307;15,00603;15,02794;15,14208;15,16326;15,28659;15,32998;15,4699;15,52358;15,62094;15,77084;15,82461;15,88923;16,01969;16,16405;16,16405;16,32309;16,34409;16,46251;16,54646;16,70514;16,72995;16,85869;17,12688;17,28971;17,36282;17,5436;17,64966;17,76568;17,78721;17,82993;18,01025;18,16819;18,20398;18,25004;18,38699;18,38699;18,52686;18,61085;18,62204;18,84222;19,10554;19,60807;19,88575;20,10462;20,66427;21,18999;21,52393;21,94336;22,5022;22,52437;22,76246;
0,6157751;0,7869281;1,027226;1,513545;2,47144;2,652098;2,712293;2,913975;3,03226;3,174257;3,316936;3,472008;3,626546;3,729043;3,789572;3,891845;4,135377;4,266049;4,314633;4,455884;4,552185;4,787416;4,811742;4,952146;5,186592;5,456786;5,456786;5,491879;5,657261;5,668334;5,692451;5,856686;5,856686;5,956847;6,051396;6,172184;6,342827;6,374568;6,432125;6,470764;6,55002;6,652578;6,652578;6,688286;6,771877;6,805988;6,913536;6,972451;7,006551;7,093934;7,12377;7,251897;7,452184;7,517118;7,613089;7,73136;7,82991;7,888944;8,025928;8,055664;8,055664;8,312417;8,39421;8,39421;8,582181;8,615219;8,615219;8,628642;8,777693;8,813017;8,926728;8,950623;9,066113;9,089344;9,192209;9,273155;9,351946;9,408368;9,454596;9,555956;9,635084;9,692667;9,716722;9,827831;9,896946;9,997812;10,11485;10,15111;10,29774;10,41201;10,45602;10,53461;10,66837;10,69082;10,87221;10,89567;10,95173;10,99568;11,07312;11,11777;11,19588;11,27363;11,43009;11,43009;11,49712;11,73034;11,75221;11,75221;11,91065;11,93589;12,07403;12,07403;12,15606;12,21794;12,32971;12,35176;12,49747;12,50843;12,63072;12,67478;12,69714;12,77401;12,89511;12,972;12,972;13,23483;13,23483;13,4115;13,45503;13,53186;13,67187;13,71677;13,75022;13,79498;13,93719;13,93719;14,0685;14,09109;14,20926;14,26587;14,28922;14,41332;14,45498;14,69533;14,71736;14,77211;14,9727;15,11102;15,15361;15,1756;15,31491;15,41213;15,53028;15,53028;15,69045;15,69045;15,77583;15,87214;15,87214;15,93572;16,05214;16,07391;16,23332;16,37514;16,4475;16,55481;16,55481;16,63511;16,7575;16,7575;16,83145;16,94932;17,05299;17,21587;17,3091;17,37182;17,57266;17,65654;17,71046;17,83569;17,9507;17,99255;18,131;18,1713;18,30872;18,41362;18,4347;18,53484;18,6161;18,81524;19,0158;19,2107;19,55629;19,60863;19,73655;20,13324;20,55439;21,32986;22,03729;22,21701;
1,045359;1,539265;1,660129;1,786177;1,940077;2,046953;2,109003;2,277028;2,338903;2,508258;2,661451;2,828276;2,938689;3,075861;3,105432;3,279715;3,368382;3,486417;3,645802;3,683527;3,683527;3,848913;4,00289;4,06136;4,168154;4,226813;4,309813;4,345434;4,463243;4,522821;4,683059;5,085765;5,242923;5,442924;5,506668;5,598865;5,681592;5,741028;5,845762;5,869758;5,99855;6,06917;6,246491;6,381895;6,407719;6,58198;6,729848;6,759628;6,789543;6,881639;6,938824;7,12669;7,140328;7,257529;7,329562;7,429504;7,458081;7,546282;7,589455;7,675233;7,748339;7,76103;7,859007;7,928508;7,998465;8,086228;8,086228;8,187411;8,227878;8,365525;8,446567;8,487214;8,487214;8,608665;8,64328;8,688752;8,845208;8,929247;8,987748;9,1473;9,183429;9,183429;9,238293;9,306145;9,384616;9,509112;9,542449;9,73825;9,866137;9,904042;9,926827;10,0286;10,06248;10,20841;10,21962;10,21962;10,40875;10,44303;10,48753;10,48753;10,58815;10,72122;10,76645;10,79864;10,92244;10,92244;11,08162;11,11897;11,23694;11,36567;11,52621;11,54939;11,60574;11,8268;12,06427;12,2226;12,2226;12,42498;12,44946;12,48691;12,58372;12,64457;12,67996;12,76672;12,8269;12,93921;13,00824;13,12421;13,22412;13,32308;13,34418;13,42195;13,56446;13,60887;13,72551;13,78939;13,88926;13,98743;14,04189;14,1385;14,20669;14,34874;14,36135;14,38443;14,54944;14,72333;14,92805;14,96079;14,9995;15,1;15,14928;15,14928;15,3031;15,34562;15,50428;15,70339;15,72512;15,78866;15,9401;16,00472;16,12192;16,16608;16,20784;16,34722;16,52586;16,66588;16,72913;16,90102;16,92265;17,10125;17,42166;17,50652;17,6648;17,70715;17,86507;17,96009;18,06711;18,18328;18,22516;18,36054;18,60378;18,8232;18,92709;19,02101;19,2218;19,28383;19,46186;19,54141;19,58016;19,74014;19,82585;19,94234;19,98619;20,12017;20,20358;20,32153;21,02375;21,66936;21,7888;24,97859;
0,129643;1,217722;1,590204;1,93824;1,966571;2,096096;2,096096;2,293489;2,456775;2,577614;2,732052;2,777195;2,873233;2,914126;3,104838;3,257611;3,311214;3,365456;3,545142;3,707638;3,777295;3,830455;4,037917;4,163939;4,338151;4,616148;4,849;5,176257;5,176257;5,297339;5,647646;5,852333;5,974579;6,014441;6,067224;6,21689;6,257457;6,257457;6,390092;6,633195;6,673667;6,806178;7,013722;7,026168;7,06587;7,133331;7,425401;7,491173;7,63736;7,876696;7,916056;7,96868;8,048779;8,116124;8,128471;8,24759;8,315307;8,315307;8,451711;8,475144;8,652731;8,772906;8,772906;8,810185;8,946404;8,970518;9,047232;9,07306;9,17376;9,27717;9,456903;9,456903;9,491656;9,715037;9,764965;9,793298;9,889358;10,05548;10,06604;10,26881;10,37239;10,4166;10,47365;10,51787;10,63176;10,73283;10,77399;10,81666;10,85132;10,91806;11,03164;11,03164;11,07767;11,11374;11,21868;11,27613;11,29821;11,35526;11,41128;11,48919;11,51171;11,59031;11,63418;11,68937;11,75723;11,8576;11,93427;11,93427;12,09141;12,09141;12,29136;12,41324;12,43482;12,53506;12,55764;12,61315;12,69142;12,69142;12,83409;12,83409;12,88838;13,05462;13,09853;13,31768;13,4306;13,4306;13,54647;13,63318;13,71058;13,85272;13,8958;13,91757;13,99476;14,14731;14,21503;14,2368;14,31297;14,43244;14,5185;14,52849;14,59586;14,69343;14,77029;14,81395;14,96995;15,03438;15,05617;15,17513;15,31421;15,3377;15,3968;15,55837;15,56737;15,73853;15,77848;15,95551;15,99732;16,11469;16,18993;16,34934;16,3974;16,472;16,5772;16,63063;16,71491;16,73682;16,91114;16,93116;16,9734;17,1336;17,18925;17,93189;18,01665;18,09076;18,1948;18,26923;18,31104;18,37435;18,39579;18,51093;18,5973;18,71069;18,81718;18,97416;19,13015;19,41219;19,63865;19,81558;19,85797;20,05541;20,27871;20,43706;20,45768;20,49097;20,59467;20,75098;21,33013;23,11411;23,11411;23,83564;
1,299937;1,316941;1,575349;1,718702;1,780987;1,888391;2,123765;2,330481;2,548323;2,751633;2,848325;2,882993;3,067994;3,245732;3,463167;3,76895;3,851372;3,947152;4,190179;4,226021;4,366241;4,530522;4,682335;4,882082;5,190374;5,225922;5,401572;5,42631;5,591858;5,744183;5,942792;5,991316;6,146984;6,170965;6,267054;6,327104;6,430821;6,488664;6,499423;6,651509;6,68585;6,744549;6,848081;6,848081;6,848081;7,027663;7,027663;7,14477;7,249225;7,330752;7,411792;7,567095;7,6257;7,705101;7,762863;7,831862;7,890588;7,94859;8,029609;8,029609;8,186357;8,230053;8,328429;8,340364;8,406157;8,406157;8,549186;8,571886;8,699115;8,788316;8,788316;8,829003;8,908455;8,970349;9,042615;9,145537;9,304327;9,32869;9,408416;9,408416;9,486851;9,544292;9,64669;9,668944;9,702752;9,780786;9,850637;9,951634;9,962375;10,10942;10,1656;10,21019;10,34955;10,3885;10,60046;10,67012;10,78866;10,78866;10,82869;10,90535;11,0082;11,0082;11,06467;11,1277;11,28719;11,32895;11,41142;11,41142;11,52769;11,63095;11,70956;11,93025;11,98571;11,98571;12,13028;12,18604;12,28572;12,30842;12,33063;12,46817;12,54829;12,60842;12,60842;12,64252;12,76118;12,85053;12,9267;12,9267;13,13014;13,16399;13,30678;13,38348;13,44894;13,59815;13,72094;13,82403;13,84481;13,90917;14,0493;14,10301;14,12437;14,16819;14,28703;14,34437;14,42897;14,50582;14,60426;14,69079;14,8641;14,8641;14,8641;15,0462;15,14019;15,18509;15,2243;15,2456;15,38188;15,40324;15,50972;15,68167;15,70398;15,74621;15,94587;16,02802;16,02802;16,1657;16,3035;16,36835;16,42616;16,50992;16,58381;16,66041;16,70466;16,80368;16,88586;16,90675;16,99125;17,11132;17,22592;17,30985;17,35176;17,46869;17,5437;17,59007;17,72607;17,87149;17,92359;18,02958;18,103;18,22892;18,22892;18,52412;18,61015;18,61015;18,72808;19,029;19,20123;20,32891;20,36782;24,26885;
