Personne 0;Personne 1;Personne 2;Personne 3;Personne 4;Personne 5;Personne 6;Personne 7;Personne 8;Personne 9;Personne 10;Personne 11;Personne 12;Personne 13;Personne 14;Personne 15;Personne 16;Personne 17;Personne 18;Personne 19;Personne 20;Personne 21;Personne 22;Personne 23;Personne 24;Personne 25;Personne 26;Personne 27;Personne 28;Personne 29;Personne 30;Personne 31;Personne 32;Personne 33;Personne 34;Personne 35;Personne 36;Personne 37;Personne 38;Personne 39;Personne 40;Personne 41;Personne 42;Personne 43;Personne 44;Personne 45;Personne 46;Personne 47;Personne 48;Personne 49;Personne 50;Personne 51;Personne 52;Personne 53;Personne 54;Personne 55;Personne 56;Personne 57;Personne 58;Personne 59;Personne 60;Personne 61;Personne 62;Personne 63;Personne 64;Personne 65;Personne 66;Personne 67;Personne 68;Personne 69;Personne 70;Personne 71;Personne 72;Personne 73;Personne 74;Personne 75;Personne 76;Personne 77;Personne 78;Personne 79;Personne 80;Personne 81;Personne 82;Personne 83;Personne 84;Personne 85;Personne 86;Personne 87;Personne 88;Personne 89;Personne 90;Personne 91;Personne 92;Personne 93;Personne 94;Personne 95;Personne 96;Personne 97;Personne 98;Personne 99;Personne 100;Personne 101;Personne 102;Personne 103;Personne 104;Personne 105;Personne 106;Personne 107;Personne 108;Personne 109;Personne 110;Personne 111;Personne 112;Personne 113;Personne 114;Personne 115;Personne 116;Personne 117;Personne 118;Personne 119;Personne 120;Personne 121;Personne 122;Personne 123;Personne 124;Personne 125;Personne 126;Personne 127;Personne 128;Personne 129;Personne 130;Personne 131;Personne 132;Personne 133;Personne 134;Personne 135;Personne 136;Personne 137;Personne 138;Personne 139;Personne 140;Personne 141;Personne 142;Personne 143;Personne 144;Personne 145;Personne 146;Personne 147;Personne 148;Personne 149;Personne 150;Personne 151;Personne 152;Personne 153;Personne 154;Personne 155;Personne 156;Personne 157;Personne 158;Personne 159;Personne 160;Personne 161;Personne 162;Personne 163;Personne 164;Personne 165;Personne 166;Personne 167;Personne 168;Personne 169;Personne 170;Personne 171;Personne 172;Personne 173;Personne 174;Personne 175;Personne 176;Personne 177;Personne 178;Personne 179;Personne 180;Personne 181;Personne 182;Personne 183;Personne 184;Personne 185;Personne 186;Personne 187;Personne 188;Personne 189;Personne 190;Personne 191;Personne 192;Personne 193;Personne 194;Personne 195;Personne 196;Personne 197;Personne 198;Personne 199
0,9373792;1,156173;1,24842;1,435032;1,894395;2,335106;2,335106;2,499498;2,658669;2,685833;2,909163;3,067541;3,107795;3,234922;3,276006;3,399289;3,534573;3,573457;3,626199;3,737378;3,776992;3,776992;4,008001;4,056081;4,056081;4,199104;4,352304;4,367491;4,411522;4,544721;4,590747;4,694643;4,734406;4,817745;4,8673;4,939531;4,993551;5,034395;5,216853;5,267464;5,397395;5,434975;5,508901;5,587874;5,718657;5,797493;5,879943;5,998883;6,027926;6,19291;6,288178;6,375493;6,488129;6,539562;6,693918;6,757836;6,899446;6,956853;6,956853;6,997672;7,139358;7,151976;7,151976;7,30688;7,407883;7,439407;7,616531;7,65676;7,815459;7,855762;7,909729;7,997365;8,148483;8,175716;8,175716;8,356712;8,36922;8,36922;8,535686;8,576297;8,576297;8,719415;8,732629;8,876571;8,876571;8,91401;9,055751;9,065482;9,115437;9,198095;9,236378;9,314189;9,375006;9,411391;9,5985;9,639515;9,859549;10,01992;10,09819;10,09819;10,18933;10,25862;10,36861;10,46626;10,55772;10,63554;10,73689;10,77899;10,83672;10,9178;10,99944;11,01242;11,05444;11,1765;11,28746;11,31461;11,39676;11,44999;11,55966;11,6308;11,75876;11,75876;11,89535;11,90774;11,97799;12,19217;12,21602;12,27899;12,39845;12,43729;12,43729;12,59595;12,63573;12,7675;12,85684;12,93744;13,11836;13,21035;13,29407;13,34775;13,65738;13,71681;13,7588;13,9192;14,03157;14,15508;14,21289;14,36759;14,4502;14,47516;14,51826;14,57794;14,75665;14,81586;14,93619;15,01615;15,13447;15,1945;15,37784;15,5772;15,99783;16,11415;16,17988;16,29692;16,38718;16,50788;16,53405;16,57695;16,67732;16,75843;16,89904;17,09512;17,11977;17,36839;17,39238;17,5343;17,55866;17,67938;17,77847;17,83482;17,87375;18,6126;18,71483;18,79627;18,95245;18,99681;19,13543;19,17388;19,35365;19,57703;19,7993;20,37125;20,47678;20,63643;20,85895;20,89528;21,11711;21,56819;22,61056;23,03324
1,010898;1,060072;1,427098;1,44221;1,878008;1,878008;2,199334;2,339399;2,38766;2,610028;2,650168;2,817824;2,947519;3,148091;3,158466;3,342438;3,631054;3,78781;3,826709;3,878507;4,138276;4,308868;4,347841;4,486457;4,500552;4,640923;4,68245;4,819964;4,977588;5,061695;5,183238;5,247815;5,344007;5,468065;5,468065;5,542521;5,61881;5,927829;6,018173;6,047989;6,145759;6,176333;6,258286;6,275469;6,41052;6,45683;6,474534;6,569048;6,639112;6,788507;6,802673;6,930641;6,943035;7,066161;7,109142;7,166778;7,309595;7,427284;7,427284;7,518906;7,559793;7,645874;7,689005;7,81898;7,889784;7,917433;8,060619;8,10745;8,248176;8,259904;8,304367;8,401933;8,518755;8,546384;8,679032;8,708317;8,906225;8,930739;8,930739;9,083195;9,167912;9,282766;9,329432;9,370426;9,42221;9,48931;9,6614;9,6614;9,786905;9,826334;9,967845;10,04886;10,06135;10,11707;10,27034;10,37838;10,42434;10,47033;10,54847;10,57896;10,64216;10,71865;10,82892;10,86714;11,00826;11,00826;11,07106;11,12119;11,30449;11,30449;11,33921;11,4878;11,4878;11,52467;11,62874;11,668;11,81798;11,84645;11,88703;11,92703;12,04358;12,08602;12,14892;12,33018;12,33018;12,34123;12,58193;12,60948;12,63729;12,80621;12,80621;12,90991;13,04378;13,07109;13,12747;13,30443;13,40502;13,42848;13,49096;13,54382;13,67826;13,80482;13,88888;13,96749;14,08552;14,11052;14,27959;14,32581;14,43077;14,52321;14,58069;14,70982;15,08674;15,10149;15,20431;15,26897;15,38707;15,42834;15,58234;15,62275;15,66622;15,76337;15,8504;15,92805;16,0898;16,0898;16,14498;16,28974;16,44487;16,48137;16,56533;16,68621;16,71084;16,88546;17,03993;17,03993;17,20902;17,20902;17,64968;17,64968;17,83756;18,12495;18,32761;18,491;18,66161;18,73007;18,73007;18,91021;19,04913;19,5489;19,58695;19,72197;19,96337;21,6958;22,20074;22,22522;22,36043;22,76248;23,78742;25,22914
0,7419105;1,675166;1,738925;1,941961;2,113371;2,283884;2,440219;2,526504;2,627388;2,798586;3,023851;3,035232;3,144443;3,246992;3,260133;3,373498;3,440696;3,547119;3,60517;3,784342;3,814028;4,055145;4,261469;4,321188;4,385169;4,545304;4,588101;4,706572;4,765078;5,13425;5,223989;5,426955;5,49702;5,687743;5,78875;5,78875;5,944636;6,006016;6,046553;6,179092;6,208102;6,297961;6,359577;6,399543;6,540801;6,656372;6,708323;6,747834;6,901334;6,917127;7,099536;7,143301;7,143301;7,308301;7,308301;7,320149;7,468118;7,49529;7,596139;7,627122;7,720276;7,906044;8,006336;8,08577;8,098688;8,183603;8,183603;8,333928;8,447947;8,555794;8,623161;8,74747;8,784356;8,91836;8,968826;9,007651;9,105953;9,172499;9,222833;9,245878;9,399912;9,427203;9,466871;9,50872;9,665352;9,675663;9,675663;9,822535;9,896475;9,944481;9,955908;10,1372;10,16429;10,2047;10,21648;10,3482;10,44359;10,54555;10,55893;10,62295;10,64612;10,78535;10,84766;10,88593;10,92432;11,04676;11,08306;11,16779;11,22732;11,36572;11,42579;11,48642;11,52435;11,70834;11,74831;11,74831;11,91056;11,94738;11,98111;12,0885;12,12632;12,22556;12,25204;12,38867;12,44701;12,56598;12,61922;12,80625;12,81792;12,84583;13,1243;13,2035;13,30592;13,43764;13,50418;13,66628;13,78317;13,9604;14,11884;14,18591;14,18591;14,42704;14,42704;14,54588;14,55903;14,6042;14,65654;14,74848;14,76078;14,84288;14,84288;14,98537;15,02676;15,07672;15,16825;15,19504;15,28876;15,29828;15,46532;15,46532;15,64377;16,06837;16,24765;16,32075;16,38656;16,47963;16,62329;16,64811;16,76527;16,88571;16,94807;16,95972;17,06434;17,08823;17,30415;17,30415;17,56405;17,60245;17,7878;17,82688;17,98659;18,06519;18,2842;18,29857;18,48139;18,49549;18,69546;18,80457;18,96232;19,38352;19,46497;19,70484;19,90721;20,18459;20,5832;20,65596;21,04542;22,28863;23,53705;23,82622
1,085874;1,406616;1,539137;2,046863;2,121684;2,266092;2,488184;2,656959;2,845602;2,994135;3,166409;3,216317;3,374364;3,403763;3,44376;3,546457;3,716534;3,744708;3,965403;4,239237;4,324157;4,405182;4,445779;4,566802;4,566802;4,64837;4,783708;4,826481;4,942804;4,983709;5,058881;5,127056;5,165758;5,308305;5,308305;5,455021;5,542709;5,66894;5,72445;5,86869;5,88034;6,047995;6,086951;6,125917;6,216321;6,324915;6,337335;6,445823;6,486605;6,498893;6,660793;6,718072;6,83921;6,854977;6,854977;6,959278;7,044763;7,115948;7,205634;7,308545;7,308545;7,36775;7,485835;7,485835;7,684197;7,725379;7,785376;7,936776;8,084394;8,096989;8,127002;8,226239;8,268918;8,384789;8,398945;8,508302;8,518078;8,585895;8,62842;8,72807;8,781127;8,796193;8,947578;8,960322;9,027684;9,038712;9,158486;9,246535;9,298648;9,383455;9,383455;9,567789;9,580478;9,665788;9,703293;9,813387;9,844385;9,906014;10,04882;10,1063;10,14194;10,17653;10,22819;10,36501;10,40276;10,4268;10,56484;10,56484;10,74605;10,8406;10,97719;11,09876;11,1674;11,30645;11,30645;11,38619;11,51767;11,60005;11,61545;11,74623;11,76837;11,93584;12,00292;12,2088;12,26578;12,43944;12,54654;12,58655;12,70703;12,71976;12,82736;12,9078;12,9078;12,98824;13,04091;13,11734;13,11734;13,28637;13,31832;13,42456;13,60556;13,65899;13,86524;13,87708;14,00777;14,03734;14,16478;14,22457;14,34693;14,42658;14,47876;14,62419;14,6528;14,86757;15,12496;15,26754;15,42621;15,50168;15,56076;15,68281;15,8675;15,95575;16,34158;16,5799;16,7045;16,74386;16,87923;17,06346;17,26251;17,28836;17,39971;17,42493;17,6241;17,78428;18,14044;18,28834;18,33873;18,376;18,4649;18,52705;18,64127;18,71641;18,80703;18,94323;18,98461;19,07798;19,2024;19,38557;19,4825;19,71757;19,90669;19,90669;20,06284;20,22564;20,34302;20,36591;20,51762;21,0484;21,58604;21,83718
0,9736312;1,154561;1,30691;1,443967;1,488589;1,655604;1,834253;2,027025;2,369429;2,568337;2,733204;2,773384;2,871766;3,013191;3,013191;3,204252;3,336266;3,393766;3,406852;3,554873;3,595553;3,792669;3,943463;3,995677;4,129735;4,145581;4,308739;4,422454;4,524692;4,614857;4,736145;4,767248;4,943821;5,063773;5,108135;5,184955;5,262981;5,443722;5,473879;5,755241;5,788077;5,85205;5,972987;6,016016;6,103477;6,136312;6,314919;6,37481;6,43463;6,542111;6,573387;6,674295;6,802903;6,876215;6,903557;7,047845;7,133827;7,133827;7,304754;7,304754;7,364614;7,463036;7,504193;7,534915;7,743604;7,773375;7,773375;7,80202;7,904009;7,993526;8,063452;8,093195;8,185685;8,227894;8,416704;8,445424;8,592243;8,734196;8,747516;8,886706;8,985803;9,016827;9,084152;9,127099;9,216858;9,293466;9,307804;9,324949;9,452056;9,531327;9,595754;9,60718;9,732937;9,833405;9,89546;9,93493;9,946788;10,11329;10,31287;10,31287;10,36746;10,49527;10,53558;10,73307;10,83349;10,95203;10,9766;11,04711;11,09683;11,15607;11,19536;11,22663;11,33126;11,41376;11,47287;11,65193;11,65193;11,80231;11,87549;12,05021;12,08444;12,11329;12,25545;12,33608;12,33608;12,34907;12,53539;12,59099;12,65158;12,7136;12,75317;12,95497;12,99168;13,05525;13,13656;13,2553;13,36636;13,3925;13,57144;13,61129;13,61129;13,73107;13,86655;14,05605;14,05605;14,11243;14,11243;14,22693;14,33674;14,41567;14,55194;14,63215;14,68555;14,83674;14,99721;15,00937;15,19272;15,43505;15,80938;15,99654;16,15348;16,38856;16,56891;16,59439;16,6069;16,77672;16,93042;16,94474;17,07417;17,19145;17,43601;17,54996;17,69375;17,81182;17,88852;18,00506;18,025;18,22495;18,31503;18,41613;18,42924;18,49331;18,59308;18,65524;18,75722;18,87279;18,9365;19,25486;19,37014;19,54496;19,58812;19,61438;19,75468;19,75468;19,83605;19,99543;20,03304;20,12899;20,55163;22,49471
0,1128979;0,1128979;0,1128979;0,8581609;1,440751;1,637273;1,785196;1,825768;2,044446;2,201163;2,279903;2,298286;2,518771;2,62762;2,705332;2,883946;2,926192;3,029275;3,306726;3,460616;3,488583;3,646193;3,646193;3,646193;3,809014;3,899724;3,968088;4,164613;4,164613;4,240495;4,407735;4,407735;4,565334;4,608988;4,666497;4,805629;4,906881;5,148728;5,22905;5,269042;5,388927;5,495795;5,52418;5,682368;5,764552;5,858373;6,046444;6,046444;6,166049;6,17682;6,323702;6,349344;6,508746;6,547736;6,665575;6,804575;6,857162;6,98921;7,106679;7,11726;7,155257;7,223776;7,467666;7,525885;7,579984;7,664755;7,748383;7,818449;7,906294;7,948596;7,948596;8,037071;8,147825;8,179245;8,224854;8,273451;8,385013;8,459034;8,521966;8,567315;8,625349;8,667204;8,822743;8,822743;8,927247;8,979548;9,106145;9,147977;9,216111;9,327424;9,424739;9,478724;9,558595;9,805045;9,887634;9,98688;10,10869;10,13583;10,16331;10,28506;10,32548;10,36567;10,48806;10,49985;10,5695;10,5695;10,82503;10,90797;10,98958;11,04471;11,16373;11,25587;11,36139;11,42851;11,524;11,5651;11,68679;11,72738;11,84699;11,88749;12,0236;12,09994;12,17781;12,24508;12,3487;12,40325;12,47871;12,56898;12,72583;12,84456;12,96543;13,02584;13,11546;13,32712;13,32712;13,40773;13,58533;13,63881;13,80707;13,87625;13,9161;14,08367;14,18229;14,24482;14,32395;14,66865;14,66865;14,84693;14,87711;14,94879;15,03878;15,32577;15,37848;15,54444;15,64798;15,688;15,96774;16,00917;16,18846;16,32844;16,40653;16,50018;16,54777;16,68946;16,80087;16,96712;17,02734;17,12753;17,44903;17,46188;17,6173;17,68246;17,68246;17,75725;17,82145;17,88877;18,04326;18,20556;18,24081;18,37749;18,48716;18,78523;18,96086;19,42764;19,44901;19,44901;19,6255;19,6873;19,72262;19,84479;20,05788;20,08749;20,2237;20,39723;20,7981;21,06126;21,14032;21,62872;21,82413;24,25802
0,1175309;1,025398;1,546292;1,737647;1,76779;1,817336;2,087975;2,355969;2,518533;2,624873;2,936117;3,008791;3,103346;3,257242;3,617781;3,617781;3,738572;3,76567;3,795017;3,973704;4,118048;4,118048;4,130392;4,266827;4,296074;4,506015;4,687611;4,775959;4,775959;4,958169;4,97117;5,016057;5,110446;5,143892;5,223075;5,334292;5,346655;5,496583;5,537495;5,656884;5,697993;5,793828;5,914369;5,954249;6,075711;6,156471;6,207434;6,414727;6,425599;6,425599;6,589164;6,61841;6,657233;6,696945;6,814597;6,853954;6,89298;6,976982;7,031;7,107908;7,158754;7,254756;7,347479;7,556011;7,654657;7,836173;7,849186;7,878097;8,017159;8,017159;8,157452;8,185064;8,27051;8,286578;8,387403;8,445904;8,51819;8,615843;8,615843;8,673632;8,818859;8,818859;8,987129;9,029073;9,045067;9,087916;9,206575;9,289783;9,351486;9,366325;9,493629;9,566625;9,61646;9,796277;9,828157;9,854081;9,877329;9,975222;10,10855;10,12393;10,29517;10,36346;10,49689;10,63728;10,73003;10,9372;10,9472;11,01273;11,12353;11,15431;11,19557;11,26922;11,29733;11,41801;11,45775;11,5282;11,59773;11,67632;11,77568;11,87495;12,01624;12,02668;12,19701;12,19701;12,25878;12,33705;12,40792;12,45805;12,49445;12,61364;12,61364;12,75495;12,8091;13,19516;13,19516;13,3126;13,44681;13,4766;13,51357;13,64934;13,79895;13,83473;14,03212;14,05523;14,15248;14,27382;14,31015;14,42492;14,47874;14,55582;14,63306;14,71336;14,83531;14,8476;14,87609;14,97418;15,0559;15,0559;15,19029;15,33117;15,39713;15,59069;15,59069;15,74697;15,77593;15,88999;15,91609;15,95493;16,09562;16,3764;16,3764;16,54122;16,67514;16,7529;16,81826;16,89777;17,17772;17,36775;17,39436;17,4963;17,4963;17,77451;17,91076;18,03865;18,13076;18,19884;18,27879;18,37395;18,45629;18,63245;18,67445;18,81432;18,83844;19,13368;19,57133;20,33302;20,42582;21,33299;21,54709;26,11427
0,7476103;1,446329;1,667161;1,723023;2,015872;2,264276;2,405773;2,446824;2,585974;2,625829;2,723221;2,76607;3,004371;3,124577;3,264399;3,402799;3,414856;3,58562;3,864314;3,903772;4,023317;4,176123;4,266901;4,354103;4,438861;4,485586;4,647713;4,706234;4,833953;4,924677;4,924677;5,037348;5,083904;5,244233;5,34503;5,34503;5,34503;5,623285;5,623285;5,665844;5,766605;5,865831;5,983809;6,026285;6,098269;6,143078;6,227852;6,257172;6,413765;6,444214;6,499928;6,587491;6,615848;6,687618;6,803206;6,903121;6,945827;6,957845;7,045222;7,057474;7,247598;7,247598;7,403379;7,403379;7,546588;7,603678;7,615872;7,743472;7,806991;7,873202;8,045453;8,087939;8,087939;8,256445;8,304483;8,304483;8,347691;8,46223;8,503536;8,503536;8,624541;8,667534;8,696947;8,807208;8,863759;8,906787;8,91955;9,006726;9,018465;9,103526;9,184566;9,225029;9,405747;9,41884;9,463817;9,544011;9,654643;9,825776;9,96223;9,96223;10,12015;10,13381;10,20464;10,29798;10,40784;10,42118;10,46087;10,57349;10,61776;10,68522;10,8123;10,84244;10,96492;11,00795;11,05554;11,08419;11,18491;11,22384;11,26369;11,26369;11,43548;11,43548;11,58311;11,71738;11,71738;11,79631;11,90393;11,90393;12,05749;12,16194;12,28335;12,32464;12,40793;12,56315;12,58571;12,70387;12,80149;12,82371;12,84711;13,04519;13,08542;13,24115;13,46597;13,57754;13,94765;14,02432;14,10538;14,32547;14,40679;14,53462;14,56424;14,7401;14,81874;14,88682;15,04187;15,04187;15,20234;15,40149;15,41722;15,64784;15,86069;15,88332;16,12394;16,14791;16,30139;16,52251;16,52251;16,52251;16,70189;16,80456;16,88217;16,98273;16,99656;17,12546;17,26181;17,34179;17,36494;17,47791;17,65625;17,74671;17,86619;18,06362;18,37993;18,60526;18,66389;18,82654;18,83854;18,98347;19,1469;19,34034;19,42766;19,96576;19,98103;21,28621;21,43729;22,06393;22,1065;22,1065;22,28258;22,9956
0,0730948;0,0925258;1,47327;1,574625;1,797676;1,797676;1,881068;2,045398;2,323094;2,645511;2,775346;2,884103;3,031948;3,206645;3,358993;3,763821;3,763821;3,913108;3,930532;4,136384;4,302417;4,362424;4,464983;4,636715;4,756548;4,784297;4,937582;4,965909;5,141479;5,141479;5,281802;5,505903;5,545396;5,686406;5,920567;6,102991;6,183508;6,224188;6,333849;6,365033;6,379099;6,556149;6,614631;6,673052;6,755108;6,846416;6,983654;6,983654;7,204031;7,216013;7,314682;7,462738;7,662043;7,662043;7,704402;7,823091;7,904775;7,964057;8,062634;8,163198;8,205439;8,277519;8,362369;8,419176;8,523537;8,702246;8,702246;8,780819;8,780819;8,87452;8,962977;9,145653;9,173828;9,312778;9,376245;9,404578;9,483458;9,66094;9,723947;9,723947;9,825784;9,90397;9,90397;9,964561;10,08459;10,09696;10,15288;10,27429;10,29199;10,44146;10,44146;10,53728;10,62599;10,62599;10,70098;10,8412;10,8412;10,90153;10,92321;11,02327;11,0368;11,17468;11,21426;11,3238;11,36177;11,52154;11,57393;11,68452;11,7239;11,79212;12,0025;12,02462;12,20509;12,34389;12,38342;12,44101;12,57785;12,62206;12,66119;12,78104;12,87382;12,96174;12,98659;13,11254;13,13995;13,28329;13,44147;13,52126;13,60126;13,61537;13,72481;13,82483;13,85198;13,85198;13,97496;14,0629;14,22643;14,28207;14,31563;14,34266;14,48432;14,52211;14,60277;14,68019;14,70384;14,84639;14,90425;15,05838;15,17706;15,28473;15,33866;15,3649;15,44663;15,53501;15,66614;15,70551;15,7443;15,86455;15,94547;16,08067;16,26226;16,26226;16,29962;16,34622;16,45809;16,49864;16,57711;16,66673;16,69595;16,90125;17,02325;17,0863;17,24394;17,40292;17,44222;17,58627;17,63915;17,83453;18,08565;18,28609;18,44371;18,45648;18,8396;19,3059;19,3667;19,5014;19,60112;19,66437;19,7261;19,92567;20,64086;20,86385;21,18473;21,84588;22,42321;22,97565;23,31983;23,82214;24,65423;26,18571
0,1266677;0,1266677;1,163816;1,537706;1,635303;1,753039;1,797455;1,921715;1,980933;2,099926;2,260557;2,350361;2,411432;2,563177;2,710783;2,744577;2,90305;2,917344;3,37769;3,759528;3,771533;3,983698;4,009718;4,04045;4,124254;4,177489;4,359552;4,439913;4,541121;4,581321;4,59291;4,714672;4,758896;4,901782;4,940126;5,090956;5,190969;5,298629;5,391128;5,544176;5,612916;5,711393;5,783383;5,959507;5,998716;5,998716;6,011268;6,131265;6,174232;6,20444;6,252282;6,340503;6,455085;6,50088;6,652279;6,69465;6,783105;6,810713;6,954222;6,999496;7,201896;7,201896;7,244078;7,422691;7,544482;7,572602;7,602818;7,63008;7,810161;7,941574;8,050656;8,142555;8,243066;8,340633;8,443127;8,454761;8,644666;8,644666;8,784243;8,842956;8,884438;8,990203;9,034774;9,222859;9,410703;9,454213;9,540437;9,671403;9,70398;9,759398;9,800488;9,841011;10,0246;10,03693;10,10261;10,2438;10,2843;10,32454;10,41998;10,41998;10,61178;10,79103;10,81955;10,83086;10,9606;11,11831;11,14448;11,29484;11,29484;11,29484;11,50453;11,54465;11,6546;11,73252;11,79937;11,84124;11,84124;12,00228;12,01546;12,05479;12,12169;12,25988;12,3838;12,41498;12,60131;12,64138;12,68194;12,90344;12,94317;12,94317;13,10362;13,13064;13,32264;13,36338;13,51126;13,70243;13,89335;13,97236;14,07971;14,19797;14,21168;14,27324;14,3799;14,50021;14,53723;14,72423;14,72423;14,76087;14,91888;15,17495;15,17495;15,3577;15,40379;15,52252;15,55844;15,62141;15,72033;15,75429;15,80463;15,94261;15,97907;16,0191;16,14632;16,17987;16,27428;16,34936;16,41974;16,48263;16,57877;16,62124;16,68429;16,77274;16,82406;16,90434;17,00064;17,12213;17,24382;17,40258;17,48167;17,51966;17,62283;17,62283;17,65744;17,82055;17,85664;17,92074;17,9831;18,08419;18,28119;18,40253;18,56038;18,6215;18,64375;18,8409;18,8409;18,93665;19,0416;19,14343;19,22413;20,02291
