Personne 0;Personne 1;Personne 2;Personne 3;Personne 4;Personne 5;Personne 6;Personne 7;Personne 8;Personne 9;Personne 10;Personne 11;Personne 12;Personne 13;Personne 14;Personne 15;Personne 16;Personne 17;Personne 18;Personne 19;Personne 20;Personne 21;Personne 22;Personne 23;Personne 24;Personne 25;Personne 26;Personne 27;Personne 28;Personne 29;Personne 30;Personne 31;Personne 32;Personne 33;Personne 34;Personne 35;Personne 36;Personne 37;Personne 38;Personne 39;Personne 40;Personne 41;Personne 42;Personne 43;Personne 44;Personne 45;Personne 46;Personne 47;Personne 48;Personne 49;Personne 50;Personne 51;Personne 52;Personne 53;Personne 54;Personne 55;Personne 56;Personne 57;Personne 58;Personne 59;Personne 60;Personne 61;Personne 62;Personne 63;Personne 64;Personne 65;Personne 66;Personne 67;Personne 68;Personne 69;Personne 70;Personne 71;Personne 72;Personne 73;Personne 74;Personne 75;Personne 76;Personne 77;Personne 78;Personne 79;Personne 80;Personne 81;Personne 82;Personne 83;Personne 84;Personne 85;Personne 86;Personne 87;Personne 88;Personne 89;Personne 90;Personne 91;Personne 92;Personne 93;Personne 94;Personne 95;Personne 96;Personne 97;Personne 98;Personne 99;Personne 100;Personne 101;Personne 102;Personne 103;Personne 104;Personne 105;Personne 106;Personne 107;Personne 108;Personne 109;Personne 110;Personne 111;Personne 112;Personne 113;Personne 114;Personne 115;Personne 116;Personne 117;Personne 118;Personne 119;Personne 120;Personne 121;Personne 122;Personne 123;Personne 124;Personne 125;Personne 126;Personne 127;Personne 128;Personne 129;Personne 130;Personne 131;Personne 132;Personne 133;Personne 134;Personne 135;Personne 136;Personne 137;Personne 138;Personne 139;Personne 140;Personne 141;Personne 142;Personne 143;Personne 144;Personne 145;Personne 146;Personne 147;Personne 148;Personne 149;Personne 150;Personne 151;Personne 152;Personne 153;Personne 154;Personne 155;Personne 156;Personne 157;Personne 158;Personne 159;Personne 160;Personne 161;Personne 162;Personne 163;Personne 164;Personne 165;Personne 166;Personne 167;Personne 168;Personne 169;Personne 170;Personne 171;Personne 172;Personne 173;Personne 174;Personne 175;Personne 176;Personne 177;Personne 178;Personne 179;Personne 180;Personne 181;Personne 182;Personne 183;Personne 184;Personne 185;Personne 186;Personne 187;Personne 188;Personne 189;Personne 190;Personne 191;Personne 192;Personne 193;Personne 194;Personne 195;Personne 196;Personne 197;Personne 198;Personne 199;
0,02;1,614944;1,818523;3,015425;3,015425;3,693969;3,756882;4,079443;4,271434;4,397874;4,736789;4,797517;4,871312;4,995628;5,249422;5,346738;5,437184;5,563338;5,599546;5,74677;5,854132;5,912434;5,953757;6,098931;6,167931;6,204959;6,236264;6,639485;6,652589;6,668749;6,716225;6,819142;6,908112;6,936212;7,039752;7,039752;7,112768;7,191597;7,230207;7,312971;7,356414;7,458606;7,458606;7,698017;7,698017;7,737942;7,737942;7,889108;8,009844;8,136775;8,207554;8,236237;8,236237;8,308772;8,396763;8,396763;8,511267;8,555828;8,568809;8,599801;8,699859;8,757962;8,799757;8,853502;8,909272;9,076732;9,11974;9,132792;9,178034;9,30523;9,30523;9,398067;9,458377;9,531049;9,574443;9,671444;9,728879;9,810719;9,852812;9,907239;10,03635;10,03635;10,14726;10,17593;10,23232;10,35829;10,35829;10,39922;10,4392;10,534;10,60901;10,63744;10,65045;10,71632;10,81364;10,84855;10,89746;10,99374;11,0539;11,08982;11,19904;11,237;11,31488;11,39495;11,47513;11,57951;11,67199;11,83217;11,93874;12,09739;12,11054;12,21838;12,31155;12,35109;12,5125;12,57502;12,66945;12,71742;12,83536;12,85961;12,97754;12,98824;13,06998;13,09485;13,21113;13,23638;13,30851;13,33669;13,41476;13,47798;13,55626;13,69679;13,69679;13,75618;13,8594;13,89475;13,92934;14,01083;14,11596;14,15955;14,33618;14,47949;14,47949;14,65775;14,65775;14,79506;15,13018;15,17674;15,29292;15,33892;15,43959;15,55955;15,55955;15,56908;15,63859;15,77535;15,81938;15,85264;16,07226;16,21897;16,47293;16,51554;16,67327;16,69714;16,69714;16,85906;17,01909;17,11938;17,19922;17,31199;17,31199;17,37869;17,47859;17,51289;17,65728;17,67997;17,73593;17,84929;17,99975;18,15889;18,25051;18,35317;18,43389;18,59379;18,69251;18,69251;18,77991;18,85603;18,89987;18,99951;19,13185;19,95362;20,19547;20,27265;20,29541;20,37349;20,67873;21,05601;21,24714;22,77503;
2,22728;2,734326;3,25183;3,38607;3,511182;3,753878;3,798893;3,952691;4,087633;4,233682;4,471985;4,530841;4,634711;4,800343;4,800343;4,831844;4,892935;5,147831;5,433374;5,583315;5,67487;5,752037;5,766022;5,993742;6,098785;6,146236;6,28204;6,28204;6,40064;6,432143;6,492115;6,630517;6,703583;6,734575;6,764291;6,810617;6,973782;7,002885;7,050909;7,081214;7,231186;7,334282;7,46487;7,480887;7,511762;7,643422;7,68415;7,68415;7,872282;7,872282;7,931369;8,03223;8,091057;8,163956;8,269708;8,327346;8,474601;8,486938;8,503797;8,551968;8,654945;8,713444;8,771996;8,871872;8,914172;8,971101;9,053473;9,066103;9,08177;9,213431;9,242241;9,284274;9,37177;9,383664;9,551538;9,564365;9,594771;9,703731;9,74476;9,874122;9,930061;9,98482;9,998886;10,03073;10,19467;10,23304;10,27358;10,27358;10,41288;10,51175;10,60688;10,63493;10,69477;10,74762;10,83434;10,93058;10,93058;11,0102;11,10337;11,17363;11,25322;11,25322;11,26511;11,41452;11,45193;11,5346;11,63062;11,63062;11,65404;11,74846;11,91209;12,02985;12,02985;12,05434;12,20772;12,23164;12,32434;12,37349;12,45337;12,53097;12,61045;12,70157;12,72962;12,86159;12,86159;13,00211;13,0294;13,17196;13,34879;13,46402;13,75097;13,89365;14,07016;14,09401;14,26742;14,29182;14,34999;14,4525;14,56294;14,69387;14,69387;14,77404;14,88893;14,97475;14,98497;15,06653;15,17237;15,22839;15,38978;15,41263;15,50374;15,58831;15,76682;15,76682;15,81162;15,95036;16,03416;16,09235;16,1287;16,36962;16,56186;16,71146;16,77221;16,77221;16,77221;16,89133;17,01495;17,05002;17,07164;17,25089;17,27366;17,48674;17,48674;17,51017;17,66596;17,74593;17,86855;17,9471;17,99253;18,04854;18,10606;18,24535;18,33121;18,34266;18,44996;18,51058;18,57388;18,63496;18,71279;18,74827;18,88971;18,94893;19,30204;19,39154;19,56756;19,75469;21,5482;21,76807;22,10631;23,4522;
0,5562007;1,120628;2,699748;2,860113;3,245765;3,430351;3,469973;3,525858;3,669398;3,847094;4,107784;4,378339;4,528354;4,681466;4,788536;4,909312;4,92228;5,031031;5,103303;5,182498;5,197601;5,347178;5,391579;5,480869;5,757895;5,930498;5,969572;6,107163;6,149961;6,286895;6,33004;6,418418;6,450315;6,630345;6,659685;6,729931;6,789018;6,848018;6,950531;6,950531;7,023868;7,070801;7,21901;7,250726;7,370879;7,399932;7,501503;7,516605;7,60738;7,61988;7,709836;7,739021;7,838679;7,960598;8,048054;8,048054;8,091446;8,218921;8,291186;8,388033;8,488633;8,616507;8,647789;8,800458;8,947204;9,089724;9,089724;9,146348;9,159391;9,248496;9,40133;9,430068;9,470337;9,618069;9,647864;9,647864;9,690589;9,800136;9,869065;9,910518;9,968736;10,07115;10,13834;10,13834;10,24963;10,34429;10,43879;10,50922;10,56341;10,61902;10,69803;10,72652;10,76705;10,88916;10,9299;10,9425;10,97039;11,05007;11,08953;11,16726;11,21983;11,2998;11,32771;11,36852;11,40834;11,46128;11,51108;11,63051;11,63051;11,64331;11,74935;11,78873;11,94878;11,98751;12,02761;12,06778;12,17925;12,20374;12,2295;12,26505;12,38723;12,52872;12,56746;12,64372;12,7497;12,7497;12,84124;12,89082;12,94839;13,00764;13,06516;13,12434;13,16989;13,16989;13,28723;13,34517;13,44951;13,44951;13,64593;13,64593;13,78569;13,84172;13,95055;14,02665;14,08975;14,23153;14,33163;14,40723;14,50626;14,63041;14,71151;14,8275;14,88286;14,92833;15,0111;15,13003;15,28585;15,3115;15,34811;15,46556;15,48859;15,61085;15,80723;15,96485;16,14593;16,28599;16,30932;16,30932;16,44102;16,52962;16,58562;16,68624;16,81036;16,82102;16,84416;16,91069;16,96919;17,31818;17,71171;17,91096;18,09001;18,2508;18,34097;18,48705;18,68423;18,851;18,851;19,08369;19,20706;19,40865;19,68335;19,75006;19,92847;19,9717;20,26666;20,38786;20,62895;21,34915;21,4209;22,56681;
0,6919488;0,9977046;2,093295;2,580998;2,751142;2,963145;3,151782;3,365171;3,731966;3,900522;4,249566;4,527099;4,831338;5,041624;5,103671;5,472517;5,638381;5,671622;5,822547;6,003202;6,050689;6,080333;6,201404;6,306812;6,371064;6,581388;6,673635;6,763984;6,822692;6,926988;7,140862;7,172141;7,201278;7,244489;7,364784;7,422733;7,513806;7,603255;7,663889;7,678936;7,768857;7,813124;7,888178;8,009797;8,213677;8,213677;8,241248;8,269698;8,370687;8,433027;8,559949;8,59039;8,662476;8,692382;8,806947;8,818682;8,951128;8,991721;9,051049;9,1707;9,1707;9,271551;9,330221;9,389158;9,460896;9,491496;9,619064;9,720893;9,720893;9,884911;10,03345;10,061;10,14976;10,19186;10,3734;10,3734;10,38817;10,40647;10,56977;10,61113;10,6395;10,69893;10,76377;10,80418;10,93069;10,97058;11,02283;11,08984;11,14257;11,22932;11,2718;11,34006;11,34006;11,40811;11,5486;11,56123;11,60205;11,68455;11,75094;11,87181;11,87181;12,05164;12,05164;12,06239;12,20637;12,20637;12,23053;12,34928;12,37231;12,52677;12,52677;12,54996;12,64826;12,71275;12,73891;12,76862;12,8483;12,87384;12,92588;13,02857;13,05245;13,13052;13,13052;13,36894;13,40782;13,47379;13,57338;13,63336;13,8045;13,86712;13,92597;14,22718;14,24994;14,24994;14,41384;14,50869;14,53349;14,54467;14,59151;14,69253;14,76024;14,80233;15,013;15,22951;15,32621;15,38474;15,44975;15,54477;15,56847;15,68906;15,68906;15,82032;15,86124;15,95015;15,98826;16,06969;16,09245;16,24834;16,33131;16,33131;16,48899;16,51234;16,59117;16,649;16,69321;16,78351;16,80691;16,88577;17,00945;17,2052;17,372;17,3832;17,40574;17,55051;17,55051;17,70821;17,7315;17,81022;17,91007;17,91007;17,98786;18,10994;18,14612;18,14612;18,21133;18,31025;18,61039;19,32342;19,3677;19,6327;19,73263;20,64966;21,18373;21,23085;21,38825;21,62831;21,75083;22,15058;22,15058;22,45165;
0,1019608;0,1019608;0,1019608;0,77537;2,676027;2,989414;3,367037;3,746551;3,910379;4,334287;4,427946;4,969253;4,969253;5,189459;5,189459;5,370555;5,443017;5,504616;5,60955;5,876097;5,907473;5,921327;5,937013;6,05601;6,101832;6,23572;6,266954;6,386578;6,429455;6,52014;6,60308;6,60308;6,801424;6,847043;7,027643;7,027643;7,080123;7,249612;7,249612;7,366412;7,457013;7,55945;7,590142;7,619525;7,708947;7,737597;7,887286;7,919457;7,959505;7,986003;8,089747;8,148602;8,160629;8,266276;8,27863;8,309319;8,44024;8,44024;8,485543;8,59892;8,628561;8,683773;8,76869;8,80757;8,919144;8,986961;9,068813;9,081359;9,182065;9,238812;9,281713;9,389588;9,444501;9,510406;9,579146;9,608499;9,720139;9,78636;9,909509;9,922446;10,08893;10,08893;10,13054;10,15742;10,30935;10,37792;10,50159;10,63945;10,63945;10,76787;10,80641;10,86999;10,88111;10,94607;11,04871;11,14178;11,22584;11,27786;11,34624;11,4671;11,4671;11,59036;11,72029;11,74881;11,78802;11,82715;11,92053;11,95826;12,00648;12,12588;12,12588;12,14978;12,26427;12,26427;12,41969;12,44659;12,60303;12,60303;12,6693;12,78576;12,78576;12,87045;12,90665;12,98847;13,10452;13,20937;13,36462;13,54913;13,72436;13,72436;13,74795;13,80578;13,88757;13,88757;14,04889;14,08387;14,11929;14,24817;14,25855;14,32796;14,48935;14,5847;14,68667;14,73057;14,78666;14,88613;14,96553;15,02255;15,15014;15,24477;15,41006;15,48972;15,56651;15,56651;15,70833;15,84307;15,92959;16,12765;16,16297;16,24429;16,32236;16,39014;16,54763;16,54763;16,60334;16,62713;16,77034;16,80543;16,86004;16,90615;16,96917;17,00876;17,08736;17,19963;17,22211;17,28967;17,46339;17,60667;17,61906;17,8051;18,08766;18,10992;18,20323;18,44833;18,66468;18,92974;19,26435;20,64853;20,82631;20,82631;21,04613;21,24778;21,26908;21,48435;21,78838;22,02708;23,9247;25,34329;25,54699;25,74025;
1,336476;1,748078;2,232379;3,315396;3,376441;3,695883;3,908764;3,936429;4,652895;4,760496;4,789845;4,955035;5,124562;5,246086;5,33662;5,42866;5,473152;5,502264;5,734992;5,734992;5,764649;5,884754;5,916866;5,947026;6,113473;6,230618;6,230618;6,364377;6,396078;6,533482;6,562811;6,729512;6,864609;6,954204;7,088386;7,104167;7,148967;7,254745;7,315162;7,435906;7,44959;7,494779;7,634757;7,634757;7,707142;7,812985;7,825681;8,014864;8,014864;8,028616;8,11118;8,174693;8,212829;8,267079;8,325653;8,355459;8,486863;8,486863;8,535233;8,548688;8,68826;8,68826;8,763684;8,793436;8,864993;8,895239;9,016985;9,112667;9,112667;9,21393;9,227328;9,314299;9,356277;9,483891;9,527167;9,595847;9,651874;9,73376;9,77494;9,829995;9,908794;9,952337;10,00632;10,13141;10,13141;10,27138;10,2962;10,35674;10,43159;10,45502;10,46657;10,55113;10,62763;10,65565;10,75303;10,75303;10,8354;10,87716;10,94342;10,98404;11,01289;11,07718;11,13666;11,23297;11,30365;11,35658;11,45644;11,57548;11,61593;11,77449;11,89469;11,94712;11,98585;12,07317;12,08473;12,11068;12,21072;12,24602;12,37547;12,4352;12,4352;12,4352;12,57615;12,614;12,71569;12,83455;12,95113;13,07664;13,20579;13,23067;13,3938;13,3938;13,6972;13,75669;13,76576;13,89583;13,9312;14,06944;14,09348;14,15081;14,17446;14,25381;14,27624;14,4497;14,49478;14,52929;14,54988;14,61601;14,67571;14,76934;14,81174;14,97619;15,2763;15,35061;15,4102;15,79573;15,87497;15,87497;15,95376;16,05501;16,23543;16,29325;16,31486;16,40769;16,45629;16,56988;16,65037;16,67243;16,71606;16,81621;16,93057;17,05322;17,08899;17,29311;17,32632;17,43226;17,51676;17,5948;17,79544;17,85211;18,1081;18,20679;18,40856;18,47403;18,85143;18,85143;18,92856;19,06825;19,13574;19,2683;19,35556;19,41262;19,48992;19,66907;19,6938;19,95017;20,0707;20,2717;21,00858;22,91603;
2,449684;2,661745;3,170631;3,442269;3,624571;3,748251;3,956805;4,019493;4,217287;4,468144;4,481938;4,543404;4,609191;4,938798;5,142291;5,190193;5,367131;5,457822;5,641353;5,703432;5,823446;5,957065;6,108054;6,169052;6,228334;6,3472;6,530104;6,628389;6,684477;6,828132;6,94351;7,046099;7,209044;7,269888;7,388732;7,460721;7,50904;7,628214;7,641372;7,701668;7,746015;7,848015;7,876242;7,907743;7,950486;8,022096;8,080883;8,096492;8,25747;8,28733;8,330604;8,343225;8,488835;8,488835;8,557962;8,669009;8,744767;8,760366;8,909594;8,967905;9,010902;9,069379;9,170729;9,24105;9,328844;9,358654;9,445321;9,503545;9,607116;9,607116;9,619368;9,790629;9,790629;9,819;9,84551;9,97095;9,97095;10,06669;10,12264;10,16664;10,27064;10,29939;10,35052;10,36168;10,41996;10,48778;10,56653;10,59075;10,77721;10,80875;10,83745;10,90922;10,97838;11,00512;11,04579;11,12669;11,13812;11,22989;11,31074;11,39103;11,39103;11,50789;11,52046;11,60142;11,68266;11,80483;11,85679;11,92228;12,04347;12,08053;12,08053;12,22482;12,27782;12,27782;12,38475;12,44724;12,54157;12,58579;12,59794;12,76675;12,80277;12,94163;12,97067;13,0613;13,12572;13,22903;13,38845;13,44737;13,47075;13,56411;13,58716;13,62018;13,69103;13,72575;13,78612;13,80963;13,9848;14,04458;14,24785;14,24785;14,30508;14,38853;14,44981;14,50827;14,50827;14,62396;14,66816;14,68989;14,78621;14,88867;14,94766;15,06159;15,08671;15,10981;15,1894;15,26898;15,44302;15,46533;15,52219;15,64744;15,67085;15,76308;15,81055;15,8223;15,94423;15,94423;15,96793;16,12677;16,12677;16,66438;16,66438;17,00809;17,0657;17,64548;17,66639;17,78689;17,86412;17,9635;18,16379;18,20762;18,2639;18,46414;18,50892;18,68661;18,78678;18,86414;18,90786;19,03102;19,12853;19,19944;19,27093;19,34061;19,54637;19,84999;19,84999;20,10022;20,44509;20,44509;20,88634;23,18546;
1,969941;2,212752;2,613608;3,370028;3,370028;3,490341;3,811065;3,871862;3,931388;4,08109;4,220323;4,453441;4,46662;4,710046;4,771178;4,880499;4,941833;5,213539;5,379427;5,532779;5,561787;5,623194;5,713475;5,831716;5,921024;6,010313;6,129969;6,190973;6,391652;6,463248;6,550938;6,562691;6,67303;6,763859;6,792552;6,792552;6,833513;6,9835;7,14515;7,192156;7,192156;7,372241;7,401381;7,43246;7,549846;7,549846;7,688576;7,712874;7,783097;7,860372;7,990685;8,01969;8,01969;8,14257;8,158466;8,392695;8,451489;8,551836;8,626287;8,641096;8,683843;8,819579;8,851414;8,979198;9,011071;9,024178;9,069118;9,140424;9,183829;9,22595;9,239925;9,325763;9,371547;9,454003;9,510918;9,552261;9,593451;9,66416;9,679395;9,790562;9,859822;9,859822;9,89017;10,0119;10,10787;10,12075;10,14892;10,23044;10,32447;10,35178;10,39083;10,43193;10,52805;10,53993;10,68347;10,75085;10,8247;10,85189;10,93203;10,93203;11,02989;11,08959;11,25129;11,28689;11,3708;11,40675;11,46808;11,49213;11,55245;11,58767;11,64769;11,73057;11,76498;11,78966;11,87228;11,93198;12,07275;12,10853;12,13216;12,16711;12,24872;12,33322;12,39191;12,42704;12,47402;12,56893;12,62694;12,62694;12,65093;12,79232;12,83028;12,90636;13,00891;13,03291;13,14898;13,23071;13,23071;13,23071;13,34733;13,48901;13,70861;13,7303;13,7303;13,91212;13,99332;14,05222;14,13273;14,21278;14,3515;14,3515;14,40762;14,48848;14,56794;14,70345;14,72631;15,034;15,08942;15,32467;15,40891;15,59263;15,62633;15,82957;16,08708;16,31079;16,31079;16,31079;16,38904;16,54352;16,5892;16,5892;16,93211;16,96555;17,1473;17,36841;17,49133;18,21334;18,21334;18,44515;18,64371;18,8889;18,97065;19,12321;19,19076;19,19076;19,39258;19,45004;19,62577;19,747;19,76962;19,93325;20,08286;20,10723;20,32853;20,52727;20,64408;21,20757;21,26399;21,33126;21,45089;22,2111;
0,1076967;2,143288;3,028729;3,449691;3,480136;3,638931;3,896778;3,927604;4,34893;4,470329;4,789405;4,939791;5,106411;5,276609;5,276609;5,42099;5,468957;5,590163;5,681947;5,757409;6,043709;6,267783;6,328378;6,449243;6,449243;6,568018;6,628345;6,68852;6,829861;6,890035;6,950633;7,025905;7,025905;7,189198;7,189198;7,249559;7,368062;7,368062;7,383101;7,530222;7,559344;7,629078;7,717385;7,776978;7,807022;7,866996;7,98097;8,039677;8,082571;8,196053;8,2265;8,299801;8,388653;8,388653;8,462199;8,505964;8,606181;8,663281;8,678052;8,735875;8,855153;8,884925;9,023027;9,127521;9,13941;9,307709;9,307709;9,366331;9,366331;9,466277;9,479643;9,670002;9,737397;9,767262;9,807958;9,84838;10,04088;10,12984;10,12984;10,24708;10,26039;10,37069;10,42676;10,46862;10,49985;10,60759;10,62021;10,72431;10,78586;10,78586;10,88502;10,9607;11,14902;11,18808;11,36301;11,49085;11,5023;11,59818;11,66212;11,72846;11,76898;11,86262;11,87729;11,98771;11,99991;12,03806;12,06615;12,14642;12,21053;12,21053;12,28508;12,34945;12,38675;12,46195;12,54655;12,55968;12,64594;12,70411;12,78631;12,78631;12,92629;12,98766;13,03996;13,06728;13,2111;13,36928;13,40961;13,52598;13,59071;13,68737;13,73957;13,88569;14,08654;14,14508;14,25965;14,33058;14,33058;14,44683;14,50357;14,60323;14,75073;14,91019;15,00614;15,01783;15,08858;15,22659;15,24864;15,27075;15,4088;15,4088;15,4445;15,49977;15,60155;15,67019;15,7038;15,82782;15,89033;16,02807;16,05931;16,39042;16,58683;16,64289;16,80347;16,87102;17,00847;17,06409;17,16432;17,26635;17,36833;17,42558;17,70291;17,7702;17,92485;17,92485;18,1644;18,30835;18,32854;18,40607;18,50602;18,53017;18,56354;18,72816;18,7871;19,10372;19,30906;19,3606;19,58304;19,67065;19,80126;19,91085;20,185;20,37047;20,48223;20,54868;21,17881;21,5503;21,70105;21,92729;22,36383;25,36359;
0,1270011;0,1270011;0,4085442;0,9231012;2,555618;3,154943;3,35294;3,560799;3,733125;3,989929;4,141328;4,173087;4,592833;4,711806;4,926047;5,253351;5,367967;5,536189;5,580387;5,733225;5,88505;5,88505;6,021948;6,112806;6,126342;6,261887;6,306822;6,366442;6,473845;6,695622;6,695622;6,873538;6,960834;6,960834;7,021949;7,109505;7,214048;7,245258;7,29317;7,408046;7,526077;7,692397;7,70625;7,721653;7,752704;7,885944;7,885944;7,914587;8,031978;8,075381;8,104969;8,207144;8,223277;8,384746;8,475006;8,4876;8,514532;8,592694;8,675719;8,734819;8,794607;8,82357;8,895557;8,955097;9,025346;9,025346;9,111517;9,152024;9,252286;9,265159;9,350554;9,57492;9,645213;9,703545;9,793781;9,832452;9,832452;9,945391;10,0027;10,07412;10,10205;10,22775;10,24248;10,27288;10,41099;10,53467;10,63007;10,63007;10,71319;10,75442;10,84396;10,91293;11,00672;11,08794;11,16437;11,22786;11,3353;11,3353;11,39543;11,57388;11,57388;11,6126;11,73502;11,77521;11,82572;11,86761;11,96641;12,02607;12,07427;12,20468;12,25298;12,38308;12,41065;12,46289;12,67619;12,70407;12,72871;12,72871;12,87251;13,01297;13,10985;13,172;13,31447;13,32628;13,40325;13,46737;13,50583;13,57486;13,67285;13,71491;13,81182;13,85326;14,00671;14,11118;14,1753;14,2716;14,2939;14,35227;14,49008;14,57111;14,67423;14,73311;14,79133;14,97624;15,05616;15,15467;15,2892;15,47408;15,47408;15,6138;15,65204;15,79376;15,80601;15,98653;16,00965;16,21583;16,25079;16,32965;16,43217;16,45484;16,48807;16,5894;16,66977;16,7269;16,8513;16,95107;16,97357;17,21137;17,39004;17,43427;17,56868;17,56868;17,77395;17,8362;17,87439;17,97025;18,03608;18,17051;18,27221;18,27221;18,41464;18,44719;18,49179;18,59124;18,85468;18,85468;18,85468;18,99443;19,02756;19,14962;19,31368;19,46981;19,57037;19,77199;19,96803;20,25006;20,30978;20,49376;20,65105;20,77497;
