Personne 0;Personne 1;Personne 2;Personne 3;Personne 4;Personne 5;Personne 6;Personne 7;Personne 8;Personne 9;Personne 10;Personne 11;Personne 12;Personne 13;Personne 14;Personne 15;Personne 16;Personne 17;Personne 18;Personne 19;Personne 20;Personne 21;Personne 22;Personne 23;Personne 24;Personne 25;Personne 26;Personne 27;Personne 28;Personne 29;Personne 30;Personne 31;Personne 32;Personne 33;Personne 34;Personne 35;Personne 36;Personne 37;Personne 38;Personne 39;Personne 40;Personne 41;Personne 42;Personne 43;Personne 44;Personne 45;Personne 46;Personne 47;Personne 48;Personne 49;Personne 50;Personne 51;Personne 52;Personne 53;Personne 54;Personne 55;Personne 56;Personne 57;Personne 58;Personne 59;Personne 60;Personne 61;Personne 62;Personne 63;Personne 64;Personne 65;Personne 66;Personne 67;Personne 68;Personne 69;Personne 70;Personne 71;Personne 72;Personne 73;Personne 74;Personne 75;Personne 76;Personne 77;Personne 78;Personne 79;Personne 80;Personne 81;Personne 82;Personne 83;Personne 84;Personne 85;Personne 86;Personne 87;Personne 88;Personne 89;Personne 90;Personne 91;Personne 92;Personne 93;Personne 94;Personne 95;Personne 96;Personne 97;Personne 98;Personne 99;Personne 100;Personne 101;Personne 102;Personne 103;Personne 104;Personne 105;Personne 106;Personne 107;Personne 108;Personne 109;Personne 110;Personne 111;Personne 112;Personne 113;Personne 114;Personne 115;Personne 116;Personne 117;Personne 118;Personne 119;Personne 120;Personne 121;Personne 122;Personne 123;Personne 124;Personne 125;Personne 126;Personne 127;Personne 128;Personne 129;Personne 130;Personne 131;Personne 132;Personne 133;Personne 134;Personne 135;Personne 136;Personne 137;Personne 138;Personne 139;Personne 140;Personne 141;Personne 142;Personne 143;Personne 144;Personne 145;Personne 146;Personne 147;Personne 148;Personne 149;Personne 150;Personne 151;Personne 152;Personne 153;Personne 154;Personne 155;Personne 156;Personne 157;Personne 158;Personne 159;Personne 160;Personne 161;Personne 162;Personne 163;Personne 164;Personne 165;Personne 166;Personne 167;Personne 168;Personne 169;Personne 170;Personne 171;Personne 172;Personne 173;Personne 174;Personne 175;Personne 176;Personne 177;Personne 178;Personne 179;Personne 180;Personne 181;Personne 182;Personne 183;Personne 184;Personne 185;Personne 186;Personne 187;Personne 188;Personne 189;Personne 190;Personne 191;Personne 192;Personne 193;Personne 194;Personne 195;Personne 196;Personne 197;Personne 198;Personne 199;
1,774701;2,91951;3,094761;3,256845;3,452937;4,177406;4,2985;4,458566;4,5863;4,758984;4,979071;5,099885;5,234625;5,259027;5,499145;5,628304;5,813704;5,875843;5,957886;6,176027;6,216257;6,276325;6,276325;6,312042;6,433013;6,494174;6,616726;6,670757;6,79964;6,835789;6,835789;6,939478;6,975299;7,073414;7,134952;7,19404;7,253446;7,277456;7,414137;7,437574;7,47355;7,496098;7,592945;7,677408;7,713378;7,759968;7,771053;7,878421;7,916352;7,973468;8,033665;8,068511;8,188102;8,238016;8,338201;8,397984;8,433496;8,479871;8,636897;8,659363;8,793587;8,793587;8,876101;8,957788;8,997111;9,019404;9,11201;9,194789;9,311486;9,311486;9,453276;9,476448;9,534545;9,647258;9,647258;9,697961;9,77262;9,817319;9,898425;9,945022;10,03348;10,09407;10,25754;10,33675;10,41946;10,47701;10,59311;10,59311;10,6392;10,73523;10,81871;10,85504;10,88999;10,91632;11,0796;11,1372;11,19361;11,2776;11,2776;11,39382;11,4277;11,51956;11,65913;11,69407;11,69407;11,91429;11,93711;12,07415;12,17666;12,21081;12,23355;12,33563;12,39345;12,44906;12,57536;12,57536;12,63312;12,74962;12,80969;12,80969;12,83681;12,95998;13,01563;13,11927;13,15501;13,2356;13,3161;13,32834;13,45616;13,47811;13,56955;13,61632;13,71711;13,75196;13,85517;13,87853;13,91356;14,03705;14,03705;14,21569;14,35359;14,35359;14,37647;14,55864;14,55864;14,61495;14,61495;14,73121;14,77526;14,87916;14,93573;15,05935;15,09207;15,09207;15,14832;15,23714;15,31601;15,41864;15,47465;15,61865;15,67689;15,67689;15,73495;15,81267;15,95777;16,06877;16,29291;16,47312;16,52897;16,65253;16,6974;16,83099;16,88788;17,03438;17,18982;17,33758;17,41817;17,75245;18,09587;18,40999;18,67651;18,89814;19,11484;19,29141;19,31306;19,35742;19,55907;19,59237;20,19239;20,21546;20,57341;20,59511;21,20966;21,42909;21,87971;22,22962;22,29037;22,49485;22,61335;22,81612;
0,1314005;0,5106965;1,660496;2,084574;2,2653;2,648899;2,77048;3,069993;3,488544;4,047832;4,205611;4,386034;4,566607;4,710088;4,923061;5,131279;5,191518;5,369339;5,585077;5,727741;5,871427;5,881642;5,966926;6,026762;6,145535;6,180062;6,180062;6,326155;6,349574;6,409399;6,447686;6,546597;6,546597;6,629488;6,665728;6,759495;6,807672;6,866261;6,949892;6,949892;7,031146;7,104497;7,266374;7,289944;7,289944;7,325987;7,526627;7,54952;7,54952;7,666384;7,70199;7,808234;7,83135;7,890346;8,005354;8,144285;8,167769;8,249678;8,289676;8,347239;8,450732;8,550587;8,665781;8,770738;8,849977;8,86053;9,00991;9,00991;9,101508;9,148499;9,228314;9,228314;9,330798;9,370729;9,425652;9,447928;9,549242;9,549242;9,642045;9,746132;9,7791;9,805232;9,864219;9,941491;9,966057;10,06909;10,18099;10,28536;10,28536;10,41031;10,42119;10,44533;10,52543;10,58618;10,63002;10,72566;10,77004;10,77004;10,8486;10,93033;10,94094;11,00941;11,04543;11,12404;11,12404;11,27001;11,34732;11,37076;11,48162;11,56216;11,58631;11,71006;11,74431;11,78924;11,89047;11,94996;11,98448;12,08445;12,13071;12,20972;12,36423;12,36423;12,46385;12,5411;12,62087;12,64723;12,7698;12,80336;12,90318;13,0254;13,04703;13,07156;13,12588;13,22575;13,26988;13,30414;13,34703;13,42405;13,4459;13,5675;13,6229;13,66726;13,76737;13,86736;13,88928;13,92308;13,96693;14,06663;14,11107;14,21031;14,28733;14,30897;14,30897;14,4069;14,5055;14,627;14,80569;14,80569;15,02567;15,07;15,20221;15,28886;15,36719;15,58786;15,72217;15,94112;16,0486;16,07147;16,16785;16,28884;16,3431;16,36473;16,4835;16,4835;16,64548;16,82407;16,84613;17,02942;17,16983;17,24553;17,38564;17,52686;17,55988;17,77073;17,8237;17,9638;18,02864;18,2051;18,30388;18,39117;18,52411;18,52411;18,96372;19,02942;19,10618;19,32472;19,56446;19,98101;20,06895;20,19026;
0,02;0,9583004;2,718365;3,115357;3,413463;3,711019;3,774748;3,869071;3,954478;4,015224;4,135431;4,277236;4,397963;4,457951;4,558921;4,636219;4,799019;4,873623;4,935256;5,115189;5,238882;5,274966;5,397635;5,433;5,659791;5,818093;5,82936;6,091899;6,091899;6,235223;6,295195;6,318609;6,354886;6,436218;6,516936;6,813636;6,95787;6,970043;7,035277;7,115724;7,175198;7,330915;7,367044;7,414853;7,437381;7,519768;7,695924;7,756121;7,792725;7,838812;7,908438;8,076607;8,193254;8,216895;8,297393;8,369373;8,394103;8,475338;8,475338;8,639577;8,674003;8,796827;8,796827;8,875924;8,912782;8,958806;8,993832;9,136237;9,136237;9,216514;9,239761;9,354585;9,414144;9,517132;9,655082;9,679289;9,772328;9,79523;9,939082;9,949825;10,03778;10,03778;10,13943;10,21519;10,21519;10,33944;10,37525;10,43297;10,45613;10,5377;10,59596;10,62993;10,71948;10,75909;10,91314;10,93378;10,97742;11,138;11,138;11,21824;11,25403;11,33298;11,41349;11,41349;11,51362;11,59203;11,59203;11,6377;11,69411;11,79726;11,79726;11,87768;12,01471;12,09405;12,15217;12,25307;12,27675;12,33396;12,39066;12,45893;12,49414;12,57246;12,63997;12,67359;12,71874;12,81838;12,81838;12,99338;13,04971;13,27479;13,31915;13,41824;13,47376;13,55165;13,59709;13,65262;13,77454;13,81861;13,87345;13,89529;13,99566;14,09466;14,11796;14,17329;14,43956;14,55127;14,57346;14,73921;14,79486;14,97781;14,98944;14,98944;15,1347;15,3371;15,39181;15,5911;15,5911;15,75633;15,89894;15,95417;16,0099;16,13183;16,299;16,45375;16,45375;16,63508;16,73422;16,75148;16,79562;16,81676;16,94993;16,9726;17,13021;17,15145;17,47157;17,69256;17,75937;17,79252;17,99914;17,99914;18,07719;18,15519;18,29622;18,45934;18,55675;18,72935;18,81537;18,81537;18,83705;18,95981;19,01656;19,31083;19,31083;19,43748;20,11128;20,19085;20,21391;20,35679;21,17877;21,29958;
0,02;2,193995;2,771652;3,513407;3,825001;4,108847;4,15933;4,333239;4,538671;4,85602;4,994072;5,156361;5,339425;5,595023;5,776531;5,814212;5,916428;5,95331;5,988587;6,296567;6,306668;6,393605;6,553091;6,61331;6,673697;6,795653;6,795653;6,867053;6,976693;6,987231;7,090136;7,130829;7,193999;7,193999;7,315527;7,387688;7,387688;7,577137;7,587932;7,673949;7,734105;7,793208;7,914283;7,979053;8,055793;8,218303;8,246536;8,29189;8,29189;8,454147;8,454147;8,539179;8,539179;8,678772;8,693778;8,793924;8,851959;8,935566;8,935566;9,059557;9,137254;9,185361;9,215489;9,316766;9,316766;9,385513;9,414879;9,51572;9,547029;9,632719;9,717146;9,717146;9,816141;9,816141;9,972276;10,01858;10,01858;10,07447;10,13138;10,18949;10,30423;10,3477;10,47626;10,53434;10,57694;10,67558;10,68997;10,79216;10,83348;10,87773;10,97575;10,97575;11,03151;11,09861;11,19561;11,27993;11,29425;11,29425;11,41999;11,4766;11,55889;11,61537;11,67132;11,75348;11,80931;11,84941;11,93144;12,01613;12,01613;12,08813;12,17021;12,19884;12,22506;12,32632;12,49759;12,49759;12,59636;12,65468;12,69794;12,85201;12,93615;13,03817;13,06778;13,13964;13,13964;13,29839;13,35534;13,47157;13,55644;13,72654;13,75567;13,89322;14,01881;14,04709;14,11591;14,31517;14,35665;14,45297;14,50827;14,53829;14,65908;14,71552;14,75554;14,83649;14,87691;14,99194;15,03387;15,15412;15,20661;15,39522;15,4369;15,556;15,67965;15,7367;15,79067;15,818;16,00619;16,07535;16,11645;16,23849;16,38704;16,5467;16,66736;16,73802;16,85905;16,85905;17,05151;17,17492;17,21542;17,29661;17,47121;17,69913;17,69913;17,75307;17,91101;17,91101;17,98971;18,09861;18,21787;18,32817;18,39626;18,59658;19,01611;19,14842;19,31079;19,53513;19,73451;19,7972;19,97314;20,21684;20,21684;20,37799;20,53934;20,57317;20,7655;20,86989;21,16842;21,55424;22,15798;22,27859;
0,1039761;1,797525;3,107606;3,324492;3,503401;3,503401;3,681767;3,745141;3,845425;4,019181;4,14752;4,42816;4,62803;4,84556;4,857017;4,883667;5,064901;5,207543;5,424531;5,548777;5,623766;5,738026;5,816336;6,005246;6,042392;6,079364;6,106973;6,244408;6,282035;6,325453;6,366663;6,419142;6,468773;6,568092;6,643786;6,705708;6,805912;6,867876;6,879851;7,006739;7,043712;7,107422;7,148539;7,297424;7,323516;7,348188;7,387064;7,486921;7,523841;7,617237;7,699768;7,699768;7,773389;7,875206;7,917621;8,028761;8,107896;8,161989;8,345636;8,382177;8,382177;8,484995;8,542069;8,588147;8,598614;8,695817;8,721927;8,745316;8,877481;8,938292;8,986835;9,067482;9,164911;9,200146;9,224709;9,318892;9,402924;9,47739;9,526981;9,5991;9,638388;9,701495;9,701495;9,824861;9,896961;9,947984;10,08587;10,09779;10,24773;10,25928;10,29808;10,46627;10,47889;10,54751;10,54751;10,64133;10,73523;10,81861;10,85805;10,92445;11,04429;11,08284;11,12292;11,20389;11,24272;11,30798;11,43779;11,43779;11,5047;11,58869;11,68587;11,74322;11,86257;11,91902;12,00466;12,08822;12,22792;12,22792;12,25621;12,40557;12,44491;12,44491;12,45887;12,58825;12,62861;12,69489;12,72304;12,81756;12,85957;12,92843;12,95529;13,063;13,063;13,13495;13,20787;13,22164;13,27602;13,3834;13,42575;13,54639;13,62696;13,7858;13,90357;13,9688;14,02318;14,08732;14,08732;14,13997;14,19562;14,26418;14,34487;14,38344;14,42352;14,50873;14,54771;14,59975;14,62767;14,72292;14,86448;14,97738;15,06728;15,22563;15,33823;15,48094;15,52164;15,59775;15,68883;15,7404;15,82036;15,90674;16,04632;16,08327;16,28474;16,28474;16,46107;16,52455;16,81652;16,85706;17,06808;17,21715;17,26778;17,42272;17,54264;17,56606;17,62553;17,71957;17,7868;17,80698;17,90491;17,96595;18,12653;18,14103;18,26117;18,44611;18,52581;18,56156;18,88224;18,92871;19,4247;19,80709;
1,811093;1,980451;2,08776;3,44952;3,624633;3,930271;3,942566;4,125328;4,270763;4,28325;4,431204;4,442603;4,478723;4,587605;4,812543;4,922832;4,941497;4,987215;5,101516;5,121478;5,268488;5,310133;5,418282;5,48677;5,843653;5,884753;6,060423;6,260228;6,288324;6,462167;6,530789;6,530789;6,530789;6,69067;6,69067;6,781019;6,821723;6,969328;6,981239;7,04837;7,206147;7,289242;7,289242;7,422276;7,527082;7,608127;7,646374;7,646374;7,75085;7,762294;7,930741;7,94366;8,08984;8,08984;8,181768;8,246206;8,346437;8,385291;8,45859;8,523599;8,587235;8,688259;8,700905;8,768063;8,849418;8,886713;9,104481;9,104481;9,149269;9,207465;9,295439;9,328035;9,429828;9,429828;9,51107;9,51107;9,628952;9,640599;9,726805;9,785059;9,807955;9,924657;10,08497;10,08497;10,1644;10,26903;10,40619;10,46371;10,50997;10,56993;10,66563;10,79114;10,84749;10,96395;10,96395;11,08733;11,1253;11,15939;11,18582;11,28198;11,30845;11,36071;11,42455;11,47025;11,48023;11,54899;11,60758;11,6902;11,6902;11,77076;11,88316;11,92772;11,96242;12,09048;12,09048;12,12313;12,24565;12,24565;12,30159;12,41028;12,44406;12,50953;12,56699;12,67027;12,72585;12,74868;12,86349;12,9087;12,98921;13,06859;13,14607;13,30543;13,36457;13,41;13,44575;13,52831;13,56589;13,68948;13,72009;13,78731;13,91006;14,10843;14,18599;14,28616;14,46421;14,56417;14,63108;14,66586;14,76446;14,84306;14,86566;15,04433;15,09073;15,12743;15,20712;15,32883;15,40646;15,42858;15,54393;15,66179;15,76284;15,78417;15,88494;16,0509;16,0509;16,15063;16,2848;16,2848;16,38299;16,50686;16,5827;16,5827;16,74896;16,88984;17,12972;17,35091;17,48248;17,56795;17,64609;17,72404;17,82599;17,88278;18,21019;18,2432;18,33077;18,60381;18,86486;19,10473;19,12636;19,27102;19,42581;19,49057;19,64635;19,80419;20,10095;20,70289;21,06913;21,24738;21,72714;22,34791;
0,1272257;2,191492;2,679503;2,988555;3,348962;3,470877;3,5616;3,62545;4,04209;4,16523;4,250594;4,371331;4,443425;4,588932;4,600165;4,761299;4,908078;4,968463;5,30492;5,329955;5,427225;5,549324;5,549324;5,708917;5,719541;5,828077;5,887272;5,922392;5,947537;6,186848;6,211403;6,270998;6,343508;6,49163;6,527293;6,55098;6,670361;6,68194;6,848161;6,848161;6,990868;7,049523;7,049523;7,170073;7,230383;7,349106;7,384805;7,408681;7,551683;7,700434;7,825923;7,909034;7,909034;8,050565;8,085962;8,144098;8,168075;8,250877;8,262756;8,349859;8,431609;8,431609;8,560735;8,584878;8,609893;8,684889;8,731775;8,767568;8,899425;8,925376;8,94799;8,97149;9,125555;9,148022;9,170586;9,181576;9,28706;9,369399;9,428933;9,486019;9,570163;9,604136;9,711355;9,721797;9,884264;10,01095;10,04659;10,23;10,24008;10,26476;10,36729;10,42652;10,52519;10,62836;10,65088;10,74289;10,74289;10,90421;10,92756;11,10884;11,10884;11,13183;11,26825;11,26825;11,40352;11,40352;11,44834;11,50595;11,58889;11,58889;11,72395;11,83006;11,83006;11,8702;11,91927;12,00873;12,0711;12,13048;12,16664;12,22945;12,37109;12,54781;12,58495;12,64765;12,75126;12,88935;12,88935;12,99188;13,06744;13,22906;13,26907;13,43182;13,53186;13,64324;13,7427;13,76843;13,83037;13,88408;13,9455;14,04794;14,05954;14,14712;14,26771;14,27956;14,36794;14,526;14,61022;14,70762;14,70762;14,88974;15,39069;15,42704;15,42704;15,6312;15,69118;15,74996;15,91;16,01192;16,08637;16,10969;16,17966;16,25179;16,3219;16,43107;16,44315;16,52803;16,56475;16,65025;16,68547;16,82632;16,82632;16,90907;16,94462;17,02793;17,08929;17,15029;17,24621;17,24621;17,41127;17,56062;17,66702;17,71983;17,76739;18,12686;18,29107;18,46564;18,64578;18,98728;19,12597;19,14926;19,26606;19,40769;19,46737;19,64486;20,08853;20,24691;20,38913;20,66748;20,75954;22,90542;
0,4230323;2,586705;2,59909;2,910942;3,265017;3,549826;3,891882;4,01246;4,107382;4,186541;4,793045;4,833203;5,392637;5,433177;5,46005;5,648019;5,730407;5,823629;5,888693;5,928603;6,0054;6,173063;6,212071;6,290113;6,329247;6,410333;6,423982;6,502115;6,644008;6,669834;6,789172;6,801374;6,908547;6,984488;7,011765;7,089723;7,267771;7,320253;7,427852;7,469999;7,509862;7,629504;7,642065;7,731058;7,848425;7,949883;8,001211;8,109691;8,148463;8,162695;8,252735;8,330355;8,342742;8,407683;8,407683;8,523817;8,523817;8,603866;8,603866;8,720027;8,747308;8,812577;8,850531;8,93027;8,943289;9,045603;9,085934;9,085934;9,189391;9,252734;9,290418;9,32807;9,403651;9,442528;9,532429;9,622947;9,622947;9,692394;9,791726;9,803019;9,922548;10,02725;10,02725;10,06751;10,1679;10,18045;10,18045;10,32322;10,38843;10,49068;10,49068;10,56628;10,59138;10,66355;10,76511;10,88946;10,91331;10,91331;11,02765;11,10485;11,14255;11,14255;11,2665;11,32848;11,36388;11,40098;11,42655;11,51228;11,61009;11,62256;11,62256;11,71164;11,85;11,91277;11,94992;12,06182;12,11011;12,12208;12,29065;12,32694;12,35032;12,35032;12,50931;12,50931;12,58141;12,66833;12,76792;12,79266;12,85269;12,85269;12,99;13,10219;13,18673;13,2694;13,32992;13,42697;13,45177;13,58608;13,64832;13,73185;13,92737;13,95117;13,98716;14,04727;14,14377;14,22799;14,38449;14,50929;14,54466;14,68783;14,71146;14,83187;14,86683;14,86683;14,98365;15,04699;15,0721;15,20758;15,26734;15,29196;15,38802;15,48158;15,50776;15,53023;15,6027;15,73309;15,83055;15,89016;15,9007;16,04773;16,07271;16,46851;16,6532;16,77007;16,95153;17,06976;17,14816;17,17118;17,22921;17,31228;17,46422;17,52526;17,66345;17,80639;17,92964;17,96626;18,24878;19,16682;19,36507;19,58993;19,76775;19,93222;20,07028;20,20986;20,29157;20,49206;21,04829;21,60717;21,88778;22,14906;
1,704773;2,390613;3,010889;3,199785;3,686538;3,726122;3,804634;4,203428;4,230816;4,487591;4,746901;4,887243;4,927044;5,045112;5,30088;5,421611;5,566224;5,566224;5,720173;5,720173;5,928913;6,086952;6,099944;6,151231;6,310019;6,348115;6,489443;6,489443;6,668436;6,820847;6,847415;6,888248;6,927762;7,059696;7,09965;7,187095;7,251612;7,291057;7,382612;7,424094;7,507975;7,546082;7,648623;7,660295;7,787975;7,888452;7,927753;7,978274;8,106096;8,146824;8,218574;8,270141;8,308398;8,500481;8,526655;8,57964;8,61719;8,709366;8,720404;8,783607;8,822895;8,863074;9,003985;9,003985;9,029491;9,105552;9,181031;9,281326;9,370901;9,446804;9,446804;9,548036;9,648925;9,662566;9,662566;9,80054;9,850891;9,888915;9,964899;10,05104;10,05104;10,1502;10,18743;10,22645;10,3461;10,40986;10,42073;10,4856;10,54843;10,64852;10,71082;10,91096;10,94817;11,04603;11,0822;11,10796;11,24442;11,24442;11,28095;11,34172;11,49858;11,54886;11,61092;11,68552;11,74719;11,90848;12,00548;12,00548;12,01707;12,09102;12,2242;12,26048;12,363;12,38726;12,44801;12,50867;12,64011;12,69032;12,70189;12,79035;12,8277;12,92497;12,98525;13,02075;13,14096;13,22817;13,36038;13,5308;13,6285;13,6893;13,70166;13,82644;13,82644;13,85059;13,88647;13,98491;14,01987;14,08033;14,1679;14,19119;14,24967;14,2864;14,37037;14,55152;14,68563;14,74524;14,85085;15,06828;15,20254;15,28956;15,35931;15,40891;15,54957;15,56151;15,61024;15,74977;15,74977;15,84492;15,96088;16,18569;16,18569;16,21012;16,39127;16,42672;16,4498;16,5109;16,62838;16,62838;16,76181;16,80834;16,84137;16,94199;16,98884;17,23119;17,23119;17,32695;17,38583;17,52461;17,6098;17,79111;18,00966;18,20718;18,23131;18,55499;18,68816;18,86566;19,0052;19,16905;19,20384;19,34528;19,53149;19,71074;19,80381;20,06126;20,0848;20,24561;21,22902;21,34758;21,56808;22,30309;
0,1352915;0,1352915;0,9304336;1,813676;3,327962;3,534128;3,773009;3,864093;4,074307;4,166053;4,38409;4,556176;4,714785;4,833443;5,05598;5,05598;5,0839;5,227201;5,253307;5,386534;5,42686;5,632706;5,67042;5,871283;5,975371;6,065447;6,146597;6,212067;6,275783;6,328692;6,392954;6,455962;6,534177;6,654509;6,692822;6,756873;6,871485;6,883836;7,012794;7,076101;7,116242;7,2048;7,231608;7,41225;7,424203;7,516024;7,59516;7,736062;7,774375;7,825596;7,888337;7,98996;8,015545;8,093295;8,106864;8,185822;8,249288;8,326021;8,351983;8,413828;8,489429;8,566989;8,714418;8,714418;8,714418;8,852575;8,953408;8,953408;8,991077;9,053489;9,154418;9,216456;9,316648;9,366055;9,366055;9,490254;9,527622;9,527622;9,592178;9,690767;9,753035;9,816845;9,82878;10,02812;10,09038;10,11538;10,21394;10,31363;10,41403;10,47634;10,61237;10,63699;10,63699;10,79504;10,80618;10,95349;10,95349;10,98448;11,11281;11,11281;11,18582;11,21195;11,28448;11,33531;11,39688;11,4703;11,60952;11,63305;11,73206;11,81702;11,89028;11,89028;12,01212;12,13302;12,20501;12,20501;12,32659;12,35213;12,41385;12,47614;12,53606;12,6356;12,6356;12,81715;12,84479;12,87076;12,98949;12,98949;13,01689;13,11196;13,19661;13,23353;13,3312;13,35424;13,41554;13,48727;13,57252;13,57252;13,75225;13,81217;13,9717;14,02572;14,17053;14,18178;14,21123;14,21123;14,39363;14,39363;14,5106;14,63104;14,74999;14,74999;14,86777;14,89589;15,05335;15,12778;15,30945;15,46944;15,53018;15,58949;15,77639;15,81444;15,81444;15,9943;16,67046;16,70504;16,8565;16,89387;16,93137;17,02952;17,04236;17,27376;17,33449;17,37091;17,51389;17,5359;17,71676;17,8933;18,0108;18,09583;18,23583;18,23583;18,41144;18,57358;18,65438;18,66483;18,68896;18,77357;18,80834;18,99617;18,99617;19,13218;19,17438;19,28985;19,42992;19,63006;20,26997;20,77386;21,03071;21,08861;
