Personne 0;Personne 1;Personne 2;Personne 3;Personne 4;Personne 5;Personne 6;Personne 7;Personne 8;Personne 9;Personne 10;Personne 11;Personne 12;Personne 13;Personne 14;Personne 15;Personne 16;Personne 17;Personne 18;Personne 19;Personne 20;Personne 21;Personne 22;Personne 23;Personne 24;Personne 25;Personne 26;Personne 27;Personne 28;Personne 29;Personne 30;Personne 31;Personne 32;Personne 33;Personne 34;Personne 35;Personne 36;Personne 37;Personne 38;Personne 39;Personne 40;Personne 41;Personne 42;Personne 43;Personne 44;Personne 45;Personne 46;Personne 47;Personne 48;Personne 49;Personne 50;Personne 51;Personne 52;Personne 53;Personne 54;Personne 55;Personne 56;Personne 57;Personne 58;Personne 59;Personne 60;Personne 61;Personne 62;Personne 63;Personne 64;Personne 65;Personne 66;Personne 67;Personne 68;Personne 69;Personne 70;Personne 71;Personne 72;Personne 73;Personne 74;Personne 75;Personne 76;Personne 77;Personne 78;Personne 79;Personne 80;Personne 81;Personne 82;Personne 83;Personne 84;Personne 85;Personne 86;Personne 87;Personne 88;Personne 89;Personne 90;Personne 91;Personne 92;Personne 93;Personne 94;Personne 95;Personne 96;Personne 97;Personne 98;Personne 99;Personne 100;Personne 101;Personne 102;Personne 103;Personne 104;Personne 105;Personne 106;Personne 107;Personne 108;Personne 109;Personne 110;Personne 111;Personne 112;Personne 113;Personne 114;Personne 115;Personne 116;Personne 117;Personne 118;Personne 119;Personne 120;Personne 121;Personne 122;Personne 123;Personne 124;Personne 125;Personne 126;Personne 127;Personne 128;Personne 129;Personne 130;Personne 131;Personne 132;Personne 133;Personne 134;Personne 135;Personne 136;Personne 137;Personne 138;Personne 139;Personne 140;Personne 141;Personne 142;Personne 143;Personne 144;Personne 145;Personne 146;Personne 147;Personne 148;Personne 149;Personne 150;Personne 151;Personne 152;Personne 153;Personne 154;Personne 155;Personne 156;Personne 157;Personne 158;Personne 159;Personne 160;Personne 161;Personne 162;Personne 163;Personne 164;Personne 165;Personne 166;Personne 167;Personne 168;Personne 169;Personne 170;Personne 171;Personne 172;Personne 173;Personne 174;Personne 175;Personne 176;Personne 177;Personne 178;Personne 179;Personne 180;Personne 181;Personne 182;Personne 183;Personne 184;Personne 185;Personne 186;Personne 187;Personne 188;Personne 189;Personne 190;Personne 191;Personne 192;Personne 193;Personne 194;Personne 195;Personne 196;Personne 197;Personne 198;Personne 199
0;0,02;0,02;1,835646;2,215217;2,357516;2,838407;2,9513;2,990732;3,279458;3,359808;3,454714;3,678882;3,859756;4,094792;4,15936;4,215354;4,266914;4,437105;4,697271;4,7776;4,998882;5,118431;5,274668;5,394934;5,435166;5,595211;5,775498;5,814729;6,057708;6,096949;6,21513;6,228401;6,433815;6,433815;6,445765;6,613472;6,673981;6,810951;6,852823;6,956862;6,956862;7,071028;7,097147;7,199632;7,23811;7,299035;7,377026;7,389287;7,518031;7,518031;7,559614;7,675016;7,735519;7,837246;7,977594;7,977594;8,115876;8,115876;8,217429;8,292668;8,318297;8,393756;8,456328;8,528345;8,715405;8,778518;8,815353;8,878911;8,912349;9,040001;9,051127;9,197696;9,231998;9,257616;9,41486;9,437438;9,539959;9,629305;9,678143;9,770333;9,770333;9,872608;9,939002;10,14659;10,17332;10,25764;10,37748;10,46816;10,49417;10,55369;10,61088;10,73438;10,73438;10,8576;10,92861;10,978;11,09319;11,15022;11,17883;11,2478;11,31031;11,3318;11,45291;11,55236;11,61797;11,69443;11,69443;11,91078;11,95682;11,97919;12,09363;12,11499;12,17293;12,23886;12,23886;12,33867;12,39202;12,46987;12,51474;12,55772;12,61436;12,67065;12,75731;12,85568;13,01947;13,01947;13,11417;13,21381;13,21381;13,33187;13,39636;13,47923;13,5588;13,61223;13,63405;13,69908;13,73178;13,97344;14,07547;14,17512;14,23687;14,27947;14,39663;14,39663;14,55732;14,59886;14,77706;14,85962;15,03726;15,21293;15,33731;15,45368;15,49987;15,61833;15,65316;15,7745;15,91188;15,9963;16,05321;16,15348;16,2324;16,25403;16,31015;16,35412;16,45719;16,47777;16,55387;16,57451;16,67304;16,7156;16,83863;16,89501;16,97172;17,03785;17,17394;17,25395;17,27625;17,43701;17,49656;17,53123;17,67859;17,83421;18,11659;18,11659;18,31813;18,35254;18,59118;18,71392;18,89687;19,07999;19,45239;19,71988;19,75968;19,93155;20,23625;21,01636;21,23811;21,41961;22,11736
1,725424;1,897933;2,421767;2,542006;2,979613;3,106896;3,318188;3,35885;3,517131;3,545902;3,718272;3,982115;4,168456;4,425271;4,46517;4,626154;5,038209;5,038209;5,129457;5,221292;5,288287;5,448042;5,564223;5,739314;5,819429;5,888623;6,018832;6,048644;6,083201;6,09783;6,241543;6,284671;6,300724;6,444999;6,482621;6,527764;6,626825;6,626825;6,765007;6,765007;6,840451;6,905942;6,945242;7,047515;7,125814;7,164997;7,164997;7,283179;7,324254;7,46356;7,489219;7,566545;7,618526;7,785604;7,797551;7,862325;7,926657;8,028265;8,128421;8,166919;8,266817;8,305153;8,450654;8,450654;8,627295;8,638156;8,803312;8,866251;8,866251;8,990134;9,001186;9,09009;9,127171;9,289028;9,325788;9,386904;9,448753;9,497641;9,585159;9,647338;9,698155;9,748063;9,748063;9,908585;9,945937;10,0308;10,10761;10,10761;10,26511;10,3248;10,35997;10,44698;10,45894;10,54769;10,58446;10,75086;10,84395;10,86682;10,90237;11,02745;11,04002;11,16171;11,20644;11,26235;11,34316;11,36392;11,60798;11,72849;11,72849;11,80563;11,90763;11,93028;11,98477;12,00695;12,12911;12,24088;12,24088;12,35057;12,42478;12,4835;12,5479;12,68603;12,68603;12,76799;12,98234;13,08356;13,12367;13,40434;13,52358;13,63011;13,76734;13,88589;13,92184;13,99768;14,04884;14,18571;14,22812;14,25624;14,3774;14,54753;14,74417;14,74417;14,74417;14,86285;14,93848;15,04735;15,04735;15,25092;15,32566;15,40699;15,44066;15,8651;15,92056;15,94284;16,04603;16,14852;16,24911;16,30659;16,38551;16,44406;16,54786;16,66454;16,72103;16,72103;16,82761;16,85019;16,90973;16,9903;17,07036;17,20957;17,30965;17,4241;17,50891;17,54452;17,68826;17,68826;18,00661;18,16431;18,18911;18,28646;18,35909;18,38464;18,46646;18,65993;18,88901;18,98498;19,10086;19,24685;19,36619;19,6865;19,98448;20,04408;20,26678;20,49039;20,67083;21,46535;21,74654;21,99797;22,22275;22,24636
1,528692;1,906769;2,292523;2,685167;2,872203;3,142229;3,171509;3,329496;3,442857;3,583791;3,583791;3,751957;3,805402;3,998877;4,02803;4,181132;4,404634;4,599898;4,689428;4,812616;4,825222;4,960854;4,990674;5,031997;5,224989;5,308453;5,361092;5,470355;5,525085;5,621349;5,82315;5,890273;6,066786;6,066786;6,308212;6,442639;6,472556;6,59118;6,684933;6,768105;6,809497;6,947464;6,947464;6,98549;7,089324;7,172076;7,266945;7,319212;7,612254;7,747127;7,98806;8,066483;8,142951;8,183237;8,221934;8,43084;8,43084;8,43084;8,630891;8,67247;8,71272;8,71272;8,909526;8,951035;8,991915;9,041498;9,188267;9,245339;9,361443;9,38733;9,424508;9,550775;9,587947;9,687754;9,711589;9,827436;9,889763;9,927264;10,10959;10,22568;10,32487;10,34075;10,42953;10,5248;10,58712;10,62912;10,70885;10,74421;10,80736;10,86803;10,94216;11,0288;11,0713;11,20634;11,20634;11,28464;11,34295;11,40115;11,42873;11,54997;11,54997;11,66371;11,6925;11,79084;11,83142;11,87197;11,98859;12,01091;12,08277;12,17215;12,23141;12,25937;12,30453;12,36222;12,48864;12,52568;12,62635;12,69148;12,74007;12,85911;12,95202;13,22698;13,25206;13,42767;13,62675;13,6855;13,86887;13,907;13,93019;14,08123;14,1656;14,21002;14,26921;14,44657;14,49208;14,58661;14,74869;14,78161;14,87159;14,90935;14,97194;15,041;15,06614;15,16335;15,1879;15,26878;15,50963;15,67039;16,06747;16,17237;16,21237;16,30803;16,40199;16,4683;16,60434;16,66794;16,80238;16,92937;16,92937;16,9893;17,08876;17,15048;17,26216;17,28866;17,32572;17,41162;17,42356;17,52972;17,63083;17,63083;17,70814;17,8212;17,92675;17,95173;18,01113;18,16553;18,22857;18,68726;19,06126;19,14665;19,24322;19,4063;19,57142;19,77019;20,06792;20,45878;20,64622;20,90902;20,95173;21,14779;21,57279;21,76787;22,1498;22,25041;23,1818;23,36667;23,57018;23,76763;23,94629;24,15166
0,1286297;1,237354;1,749137;2,346904;2,346904;2,516556;2,844766;3,078828;3,267205;3,440245;3,587606;3,768761;3,768761;3,917459;4,046224;4,196099;4,228197;4,409498;4,620713;4,836559;4,902925;4,953815;5,083689;5,146184;5,349173;5,556046;5,748631;5,762964;5,797102;5,902635;6,013576;6,06153;6,093432;6,17794;6,225764;6,369231;6,417847;6,520298;6,589272;6,589272;6,762395;6,762395;6,920806;6,941447;7,077836;7,168688;7,306716;7,306716;7,386407;7,447185;7,526111;7,648506;7,876783;8,158652;8,341177;8,3592;8,423372;8,549535;8,597917;8,597917;8,669444;8,767219;8,823707;8,866609;8,876695;8,945563;9,000287;9,116815;9,116815;9,189107;9,306762;9,336149;9,408732;9,529352;9,529352;9,638013;9,681466;9,788282;9,80066;9,945604;9,945604;10,0031;10,01822;10,18587;10,18587;10,27867;10,27867;10,37647;10,54683;10,56051;10,63826;10,80215;10,88618;10,9741;11,08875;11,17799;11,21489;11,21489;11,38194;11,40395;11,55862;11,58875;11,64688;11,76864;11,7817;11,94227;12,03369;12,09571;12,1764;12,34045;12,34045;12,3875;12,51508;12,6262;12,6262;12,7197;12,74367;12,84176;12,87148;12,95605;13,0003;13,14372;13,14372;13,20623;13,32732;13,38953;13,44169;13,56658;13,82324;13,83665;13,86785;14,06735;14,50127;14,54559;14,63561;14,73431;14,90731;15,10885;15,22135;15,26598;15,30696;15,48589;15,54951;15,60337;15,63685;15,63685;15,80595;15,80595;16,01736;16,18383;16,18383;16,32564;16,32564;16,41877;16,50636;16,53535;16,62702;16,71965;16,79876;16,86064;16,96697;17,00927;17,13692;17,16447;17,16447;17,32871;17,35763;17,5576;17,72784;17,90006;18,36664;18,4828;18,4828;18,6682;18,89889;19,02687;19,12633;19,36698;19,48709;19,75944;19,84289;19,85642;20,0002;20,06108;20,2466;20,50214;20,54302;20,70903;20,87458;21,47956;21,95474;22,12216;22,27748;22,87318;23,11769;23,66248;23,83381;24,06744;24,14199;24,32208
2,080479;2,26564;2,306601;2,568316;2,568316;2,950591;3,149458;3,345005;3,345005;3,646315;3,68534;3,786335;3,83824;3,968401;4,007296;4,162246;4,265925;4,329236;4,482241;4,609683;4,827603;5,008786;5,008786;5,191476;5,191476;5,528168;5,539793;5,669697;5,777097;5,849941;5,982639;6,00857;6,019032;6,059845;6,208668;6,271494;6,271494;6,348259;6,471196;6,586341;6,821296;6,902946;6,958599;7,098137;7,127248;7,167781;7,270314;7,284926;7,411139;7,507506;7,519601;7,563609;7,563609;7,686624;7,730734;7,807593;7,899401;7,928339;7,967139;8,13085;8,13085;8,226781;8,307155;8,345362;8,461778;8,489505;8,583753;8,642429;8,685646;8,771098;8,817213;8,979101;9,009386;9,06681;9,147536;9,269408;9,282123;9,380956;9,489132;9,489132;9,527493;9,667071;9,708124;9,708124;9,760167;9,889461;9,900584;10,05126;10,10513;10,21142;10,30876;10,32067;10,37159;10,41889;10,53013;10,53013;10,63143;10,76475;10,76475;10,78679;10,84811;10,94419;10,967;11,08961;11,12899;11,24637;11,28302;11,31019;11,4686;11,508;11,56178;11,62964;11,66813;11,88882;11,88882;11,98166;12,07878;12,14355;12,27968;12,3208;12,44456;12,48881;12,50164;12,64111;12,64111;12,68235;12,74756;12,79731;12,79731;12,96865;12,96865;13,12956;13,30915;13,38931;13,40177;13,44398;13,59126;13,60335;13,64572;13,75927;13,78682;13,86909;13,86909;14,00707;14,00707;14,09163;14,22915;14,44577;14,69128;14,73039;14,82887;14,84268;14,92654;15,05019;15,10424;15,26679;15,3049;15,50056;15,52663;15,7066;15,77089;15,84636;15,88528;15,98804;16,02794;16,02794;16,18965;16,3217;16,40097;16,86424;16,93008;17,01844;17,04707;17,18678;17,25145;17,36747;17,44668;17,60458;17,66851;17,787;17,97016;18,10188;18,3088;18,42763;18,57083;18,64774;18,78532;18,8109;18,9418;19,06683;19,38059;19,5188;19,75044;19,8598;19,94095;19,9991;20,23388;20,30988;21,30815;21,73106
2,897072;3,141617;3,156123;3,349181;3,380749;3,588107;3,674902;3,791344;3,954988;4,336546;4,378963;4,558545;4,587593;4,796646;4,991165;4,991165;5,113186;5,16009;5,298296;5,298296;5,344091;5,453758;5,499959;5,72937;5,937599;5,997893;6,071658;6,08648;6,218087;6,261485;6,35997;6,477625;6,57998;6,593868;6,697032;6,710069;6,798395;6,919242;6,990274;7,020699;7,152112;7,199426;7,272275;7,379121;7,520677;7,533746;7,677322;7,718668;7,833764;7,968986;7,997432;8,04128;8,239811;8,310261;8,310261;8,439538;8,439538;8,596509;8,638621;8,78127;8,893869;8,893869;8,953244;8,993274;9,050262;9,161424;9,220982;9,220982;9,319392;9,377569;9,559916;9,573687;9,617803;9,717512;9,717512;9,841186;9,871325;10,03934;10,03934;10,03934;10,1374;10,23328;10,26089;10,31878;10,42902;10,59916;10,61336;10,67014;10,7778;10,7778;10,94154;10,94154;10,99664;11,03811;11,13237;11,16144;11,26131;11,33244;11,41786;11,538;11,59229;11,71477;11,75265;11,83997;11,91013;11,93943;12,00807;12,03683;12,11597;12,11597;12,27725;12,39351;12,51079;12,54143;12,69197;12,72001;12,81394;12,85772;13,01981;13,01981;13,01981;13,23726;13,41945;13,43023;13,53893;13,6148;13,69605;13,73836;13,83002;13,8978;13,97863;14,05813;14,13676;14,21498;14,28091;14,32054;14,41617;14,41617;14,59998;14,59998;14,69615;14,77826;14,98018;15,06148;15,1416;15,20785;15,23481;15,30009;15,39402;15,61581;15,65573;15,87378;15,90102;16,02053;16,09906;16,13883;16,13883;16,21786;16,33283;16,35886;16,43773;16,59109;17,01974;17,19602;17,22125;17,35406;17,57955;17,66127;17,75507;18,05972;18,07157;18,09702;18,2768;18,2768;18,52109;18,62097;18,69683;18,96097;19,19725;19,26108;19,93769;20,10028;20,21228;20,31482;20,39253;20,47542;20,54917;20,71094;20,78029;21,3727;21,54079;22,53615;22,71311;23,79182;23,97778;24,0195;24,05897;24,15331;24,25738;32,90987
0,1302468;0,3311376;0,6850584;2,375729;2,535889;2,690248;2,755207;3,022098;3,170593;3,276464;3,32647;3,403886;3,518416;3,608099;3,890622;3,97781;4,039965;4,039965;4,190499;4,440163;4,458773;4,615446;4,776893;4,807875;4,925272;4,975754;5,12642;5,142174;5,278082;5,344559;5,444637;5,6238;5,641313;5,762295;5,863135;5,898069;6,047659;6,15039;6,256313;6,368071;6,416915;6,416915;6,536828;6,551517;6,629189;6,716773;6,74765;6,824091;6,853787;6,896056;7,015502;7,028844;7,12871;7,195839;7,235916;7,367434;7,474337;7,555999;7,637288;7,775338;7,775338;7,855362;7,855362;7,937983;8,064781;8,093071;8,149121;8,276632;8,288306;8,303302;8,375835;8,448679;8,572218;8,625708;8,653389;8,776992;8,803682;8,846757;8,947441;8,947441;9,017238;9,076958;9,176476;9,176476;9,30474;9,347739;9,371038;9,432095;9,504898;9,55625;9,668633;9,738015;9,768245;9,851647;9,851647;9,956452;10,21092;10,3579;10,39599;10,40822;10,55389;10,59334;10,75112;10,77801;10,89727;10,99297;11,01656;11,08928;11,11541;11,23394;11,26891;11,33018;11,35477;11,49551;11,49551;11,57792;11,57792;11,69624;11,7538;11,80986;11,83553;11,98776;12,13335;12,17014;12,25096;12,33153;12,41521;12,5371;12,54926;12,57554;12,67097;12,72772;12,75305;12,85572;12,89444;12,97112;13,07049;13,07049;13,17372;13,30618;13,35784;13,36985;13,39683;13,93176;13,95589;13,99393;14,15335;14,20472;14,30924;14,45001;14,48901;14,51569;14,87229;14,99694;15,05445;15,05445;15,13506;15,14655;15,23758;15,27581;15,39674;15,4305;15,47777;15,51115;15,61345;15,61345;15,73729;15,82786;15,85075;16,25272;16,4304;16,57811;16,63337;16,73374;16,83749;17,0129;17,03458;17,24891;17,27144;17,35299;17,46787;17,55709;17,79116;17,8555;17,9935;18,07224;18,11608;18,2531;18,376;18,43261;18,69571;18,89776;19,09277;19,26669;19,32757;19,41702;19,75276;20,33481;20,53776;21,0482
0,7514806;1,433323;2,524185;2,609522;2,75235;2,903936;3,043146;3,072067;3,230848;3,728315;3,970563;4,392363;4,550909;4,610143;4,747923;4,803285;4,850153;5,105011;5,411148;5,52235;5,608179;5,728627;5,74264;5,783437;5,93303;5,945769;6,093343;6,120247;6,149751;6,270333;6,311717;6,323868;6,468582;6,511058;6,628574;6,711688;6,764266;6,881567;6,881567;6,909769;6,993904;7,087772;7,129697;7,129697;7,224502;7,265058;7,308858;7,431952;7,56689;7,650972;7,650972;7,763754;7,833986;7,888017;8,012467;8,012467;8,025508;8,104705;8,201271;8,402061;8,567591;8,582363;8,732462;8,732462;8,77292;8,868037;8,964355;9,149446;9,188394;9,228794;9,304884;9,409739;9,409739;9,448171;9,553391;9,592404;9,63359;9,671909;9,742369;9,893362;9,893362;10,05313;10,09332;10,13221;10,35238;10,36478;10,43362;10,51278;10,55095;10,59177;10,68297;10,85169;10,93055;10,96987;11,0075;11,03344;11,17407;11,18666;11,25218;11,29351;11,38322;11,44966;11,46165;11,52662;11,63202;11,64342;11,79348;11,82108;11,89122;11,98304;12,00901;12,13016;12,21268;12,30921;12,33179;12,41361;12,48726;12,51133;12,62838;12,62838;12,77136;12,78226;12,8848;12,92253;13,065;13,08682;13,11139;13,20472;13,29092;13,4137;13,47096;13,56911;13,58174;13,68671;13,79393;13,89121;14,00223;14,19044;14,2479;14,26953;14,32839;14,43318;14,4672;14,54912;14,57074;14,72635;14,80776;14,88733;14,95105;15,12838;15,2649;15,28787;15,31112;15,44795;15,55088;15,77198;15,92719;16,05223;16,08602;16,18846;16,18846;16,24726;16,29231;16,34937;16,42912;16,51048;16,59031;16,67186;16,72721;16,85261;16,88564;16,96717;17,06397;17,13277;17,16845;17,35401;17,46664;17,60314;17,90573;17,95256;18,11219;18,1696;18,24936;18,32586;18,42583;18,62622;18,70331;18,93062;19,15233;19,20269;19,36769;19,4334;19,56768;19,86908;20,02934;20,05095;20,1882;21,24767;22,51093;23,64711
0,1278119;0,1278119;2,234204;2,448162;2,766887;2,894673;3,123463;3,548964;3,583264;3,620767;3,685618;3,76501;3,873693;3,967773;4,02722;4,043216;4,140121;4,188471;4,370588;4,574977;4,605097;4,778803;4,778803;4,945951;5,184059;5,199181;5,199181;5,363418;5,391648;5,530586;5,624383;5,624383;5,705928;6,010833;6,010833;6,174982;6,230873;6,272409;6,285477;6,434039;6,434039;6,527603;6,571417;6,730988;6,809157;7,001339;7,042038;7,161983;7,272139;7,272139;7,310929;7,511717;7,672424;7,794279;7,890201;7,890201;7,931536;8,02936;8,074825;8,189913;8,227235;8,354983;8,354983;8,403404;8,452975;8,527111;8,55338;8,614735;8,689574;8,752303;8,888727;8,888727;8,945203;9,133435;9,144269;9,207015;9,370314;9,370314;9,393947;9,405602;9,510414;9,548176;9,663842;9,730933;9,771896;9,86947;9,948505;10,03276;10,19199;10,31378;10,35314;10,40547;10,50974;10,57397;10,65437;10,72939;10,75499;10,88939;10,9531;10,9531;11,03436;11,08482;11,17225;11,18436;11,27158;11,38232;11,46853;11,52952;11,58912;11,61339;11,70644;12,03226;12,03226;12,17239;12,17239;12,20853;12,23175;12,38507;12,47326;12,62389;12,69504;12,72977;12,86994;12,86994;12,92941;13,08956;13,12431;13,17186;13,25485;13,37282;13,38428;13,40899;13,55024;13,60824;13,6325;13,75062;13,80911;13,99414;14,05439;14,08985;14,1709;14,50802;14,57033;14,74848;14,96914;15,00364;15,12374;15,16964;15,36767;15,43147;15,43147;15,60795;15,66624;15,71021;15,76869;15,90539;15,93065;15,97455;16,11191;16,23145;16,23145;16,28834;16,36795;16,44821;16,57308;16,76952;16,82604;16,86927;17,07416;17,07416;17,25193;17,27011;17,35378;17,48837;17,65415;17,84793;17,9066;17,9332;18,27353;18,54943;18,58703;18,69318;18,76756;18,79313;18,88782;19,00824;19,45452;19,49095;19,78942;19,91474;20,07415;20,71408;20,78987;20,94643;21,04929;21,15257;21,31112;21,42504;22,33102;22,57154
2,056653;2,226977;2,323721;2,506392;2,660655;2,947263;2,963121;3,108175;3,269186;3,422994;3,437409;3,767221;4,168617;4,270358;4,326968;4,47015;4,61084;4,888503;4,959569;5,019703;5,0618;5,188274;5,303073;5,470161;5,510806;5,510806;5,536921;5,788223;5,801204;5,857981;5,98778;6,043733;6,229111;6,368243;6,467233;6,568581;6,707502;6,770045;6,888563;7,040508;7,040508;7,102872;7,147745;7,208398;7,299705;7,34406;7,390987;7,487082;7,548097;7,610722;7,610722;7,757388;7,818528;7,849067;8,050559;8,095785;8,126595;8,215148;8,277156;8,277156;8,409422;8,42409;8,481416;8,603228;8,617775;8,76934;8,76934;8,86627;9,02796;9,039857;9,069894;9,189537;9,258153;9,330226;9,330226;9,369721;9,526253;9,526253;9,650054;9,650054;9,686683;9,847643;10,00679;10,06982;10,18032;10,33917;10,33917;10,42796;10,48935;10,60848;10,62093;10,74006;10,76532;10,84911;10,92637;10,98957;11,08312;11,08312;11,32585;11,33899;11,38672;11,48572;11,5705;11,61916;11,6419;11,78718;11,78718;11,84883;12,02953;12,02953;12,17948;12,2997;12,2997;12,35879;12,50195;12,56289;12,73958;12,92296;13,00504;13,04492;13,14028;13,30474;13,30474;13,36488;13,42211;13,58876;13,58876;13,64757;13,74453;13,76985;13,90043;13,92529;14,00963;14,04477;14,16295;14,18816;14,33927;14,52696;14,58592;14,66872;14,80717;14,92272;14,9696;15,06785;15,10372;15,12634;15,26402;15,28784;15,32354;15,3812;15,51985;15,51985;15,5649;15,64518;15,69003;15,74805;15,85062;16,10385;16,23808;16,26421;16,44559;16,5465;16,84661;16,84661;17,06896;17,16418;17,16418;17,24451;17,37102;17,40449;17,5505;17,68609;17,73093;17,80008;17,88869;17,92333;18,05058;18,05058;18,22308;18,2455;18,32758;18,38503;18,53905;18,56428;18,74432;18,92226;18,99052;19,16993;19,38549;19,52968;19,68578;19,96785;20,57035;20,7287;20,84381;20,98819;21,70535;21,90359;22,708;23,58368
