Personne 0;Personne 1;Personne 2;Personne 3;Personne 4;Personne 5;Personne 6;Personne 7;Personne 8;Personne 9;Personne 10;Personne 11;Personne 12;Personne 13;Personne 14;Personne 15;Personne 16;Personne 17;Personne 18;Personne 19;Personne 20;Personne 21;Personne 22;Personne 23;Personne 24;Personne 25;Personne 26;Personne 27;Personne 28;Personne 29;Personne 30;Personne 31;Personne 32;Personne 33;Personne 34;Personne 35;Personne 36;Personne 37;Personne 38;Personne 39;Personne 40;Personne 41;Personne 42;Personne 43;Personne 44;Personne 45;Personne 46;Personne 47;Personne 48;Personne 49;Personne 50;Personne 51;Personne 52;Personne 53;Personne 54;Personne 55;Personne 56;Personne 57;Personne 58;Personne 59;Personne 60;Personne 61;Personne 62;Personne 63;Personne 64;Personne 65;Personne 66;Personne 67;Personne 68;Personne 69;Personne 70;Personne 71;Personne 72;Personne 73;Personne 74;Personne 75;Personne 76;Personne 77;Personne 78;Personne 79;Personne 80;Personne 81;Personne 82;Personne 83;Personne 84;Personne 85;Personne 86;Personne 87;Personne 88;Personne 89;Personne 90;Personne 91;Personne 92;Personne 93;Personne 94;Personne 95;Personne 96;Personne 97;Personne 98;Personne 99;Personne 100;Personne 101;Personne 102;Personne 103;Personne 104;Personne 105;Personne 106;Personne 107;Personne 108;Personne 109;Personne 110;Personne 111;Personne 112;Personne 113;Personne 114;Personne 115;Personne 116;Personne 117;Personne 118;Personne 119;Personne 120;Personne 121;Personne 122;Personne 123;Personne 124;Personne 125;Personne 126;Personne 127;Personne 128;Personne 129;Personne 130;Personne 131;Personne 132;Personne 133;Personne 134;Personne 135;Personne 136;Personne 137;Personne 138;Personne 139;Personne 140;Personne 141;Personne 142;Personne 143;Personne 144;Personne 145;Personne 146;Personne 147;Personne 148;Personne 149;Personne 150;Personne 151;Personne 152;Personne 153;Personne 154;Personne 155;Personne 156;Personne 157;Personne 158;Personne 159;Personne 160;Personne 161;Personne 162;Personne 163;Personne 164;Personne 165;Personne 166;Personne 167;Personne 168;Personne 169;Personne 170;Personne 171;Personne 172;Personne 173;Personne 174;Personne 175;Personne 176;Personne 177;Personne 178;Personne 179;Personne 180;Personne 181;Personne 182;Personne 183;Personne 184;Personne 185;Personne 186;Personne 187;Personne 188;Personne 189;Personne 190;Personne 191;Personne 192;Personne 193;Personne 194;Personne 195;Personne 196;Personne 197;Personne 198;Personne 199;
0,02;0,02;1,269053;1,928667;2,284504;2,949605;3,035126;3,61073;3,795617;4,018028;4,587552;4,64504;4,862082;4,954914;5,075737;5,17932;5,329713;5,552699;5,67138;5,718123;6,065171;6,346864;6,37805;6,584412;6,615628;6,748458;6,778209;6,91084;6,970335;7,015372;7,147599;7,177861;7,19097;7,339008;7,339008;7,497508;7,510425;7,526525;7,670052;7,699071;7,854865;7,927498;7,958274;8,016138;8,195092;8,297515;8,35524;8,398513;8,511235;8,657416;8,768632;8,797219;8,938411;8,996115;9,038103;9,209765;9,239089;9,251049;9,297754;9,413611;9,413611;9,526258;9,555476;9,599755;9,739285;9,796081;9,810181;9,907671;10,01958;10,01958;10,11902;10,14869;10,19399;10,33326;10,34664;10,48985;10,51531;10,55411;10,55411;10,71002;10,73962;10,79717;10,79717;10,86777;10,93576;10,93576;11,05429;11,05429;11,11833;11,17229;11,22738;11,26688;11,38877;11,4162;11,42978;11,5492;11,65276;11,67308;11,73975;11,79367;11,84588;11,91198;11,93665;12,02732;12,09407;12,17441;12,21645;12,27689;12,31554;12,39584;12,39584;12,47657;12,5952;12,69061;12,74891;12,77699;12,85639;12,95738;12,96804;13,02718;13,02718;13,13667;13,17395;13,21055;13,27145;13,35639;13,39296;13,45454;13,47905;13,57524;13,57524;13,61183;13,67319;13,77063;13,92863;13,95281;14,01194;14,03617;14,21836;14,27867;14,37006;14,3968;14,55279;14,67384;14,67384;14,86728;14,93954;14,93954;14,95206;15,05937;15,19002;15,19002;15,29625;15,30851;15,45726;15,45726;15,51864;15,55478;15,64952;15,73394;15,73394;15,83649;15,97238;15,99509;16,1307;16,21663;16,21663;16,27672;16,39661;16,4589;16,4589;16,59777;16,65538;16,65538;16,72798;16,75406;16,8966;16,93296;16,99135;17,09568;17,27302;17,29691;17,43691;17,45964;17,57512;17,59788;17,79638;17,81876;18,31302;18,41562;18,45358;18,69943;18,89167;18,91804;18,95638;19,09306;19,17186;20,03492;20,25046;20,44895;
1,365959;1,716167;2,047114;2,306129;2,464715;3,021931;3,614816;3,701672;4,661995;5,208405;5,366612;5,733973;5,910724;6,187742;6,255816;6,322153;6,340899;6,423393;6,505706;6,636661;6,668103;6,917347;7,016921;7,050502;7,166313;7,182587;7,236491;7,267396;7,348314;7,413327;7,462595;7,496389;7,623091;7,736343;7,736343;7,750097;7,905602;7,905602;8,003958;8,16457;8,214484;8,43723;8,43723;8,453351;8,469773;8,632745;8,725579;8,75155;8,789385;8,844962;8,990264;9,023143;9,055309;9,055309;9,276064;9,337148;9,337148;9,416603;9,493909;9,523209;9,523209;9,693178;9,693178;9,767996;9,889091;9,995743;10,06964;10,08604;10,1143;10,26276;10,26276;10,30978;10,35278;10,4447;10,47595;10,47595;10,61671;10,66619;10,69226;10,75483;10,79191;10,86673;10,91656;10,97241;11,01226;11,09403;11,10582;11,18705;11,21497;11,31523;11,35556;11,47237;11,47237;11,52711;11,56621;11,69052;11,81318;11,91267;11,92723;11,98404;12,07064;12,12739;12,19392;12,27744;12,27744;12,34904;12,39389;12,44925;12,57746;12,57746;12,76591;12,897;12,897;13,01236;13,05602;13,21286;13,25173;13,31143;13,41322;13,46457;13,59285;13,6319;13,6319;13,77639;13,77639;13,85062;13,86532;14,02558;14,02558;14,08621;14,08621;14,19514;14,41322;14,45185;14,60746;14,98715;15,13338;15,16927;15,23188;15,25593;15,31417;15,34972;15,43372;15,55501;15,59173;15,59173;15,62812;15,75261;15,81282;15,87272;15,96598;15,9916;16,10757;16,1322;16,19447;16,3175;16,33169;16,33169;16,40959;16,51715;16,51715;16,6078;16,69065;16,71433;16,83616;16,92783;16,99052;17,02728;17,13247;17,13247;17,28713;17,41707;17,45155;17,61584;17,75659;17,89343;18,07107;18,11652;18,24618;18,2933;18,34933;18,40789;18,53707;18,59348;18,63136;18,66559;18,76799;18,94902;19,15712;19,35169;19,40985;19,61442;19,85703;20,09113;20,25719;20,41339;21,55735;21,61287;21,74932;21,94538;
0,113412;0,113412;2,008959;2,361836;2,812953;3,439187;3,619254;3,665007;3,986593;4,198328;4,5111;4,718211;4,884873;4,969874;5,074471;5,08903;5,37906;5,407851;5,498727;5,55886;5,675878;5,838319;5,898604;6,017314;6,177905;6,218767;6,218767;6,41646;6,591128;6,897533;7,070428;7,087808;7,204073;7,367098;7,416107;7,430919;7,534891;7,577358;7,638397;7,667143;7,810504;7,810504;7,979014;8,050039;8,14993;8,166121;8,21186;8,349362;8,376649;8,475327;8,546799;8,546799;8,669839;8,744999;8,779234;8,779234;8,944124;9,037307;9,05103;9,236507;9,236507;9,266897;9,378392;9,409261;9,554127;9,567389;9,567389;9,638692;9,777445;9,777445;9,838452;9,851643;9,970849;9,985512;10,07815;10,10777;10,22702;10,25803;10,27153;10,37805;10,45182;10,45182;10,55913;10,58976;10,66771;10,71144;10,75809;10,88647;10,92894;10,97593;11,0786;11,09235;11,21466;11,27379;11,33446;11,34684;11,4192;11,47489;11,5192;11,54631;11,63761;11,63761;11,75021;11,79684;11,83642;11,94833;11,97497;12,04878;12,09771;12,17231;12,27322;12,31132;12,43572;12,49832;12,62591;12,7116;12,7355;12,77059;12,8694;12,89581;13,09235;13,11771;13,15379;13,21645;13,25473;13,33115;13,40767;13,81531;13,97428;13,99816;14,0713;14,1548;14,1548;14,31298;14,36551;14,40633;14,43337;14,55538;14,5946;14,61845;14,63129;14,73472;14,78763;14,83829;14,87251;14,93262;14,99167;15,19789;15,27114;15,31858;15,35596;15,4391;15,53665;15,75784;15,90685;16,0288;16,11245;16,11245;16,13914;16,29444;16,36885;16,39277;16,4533;16,5933;16,5933;16,65129;16,69868;16,79222;16,88665;16,91099;16,99305;16,99305;17,07563;17,17922;17,22946;17,41788;17,48893;17,68579;17,85667;17,98996;18,11625;18,23476;18,33394;18,37249;18,4541;18,55488;18,5902;18,5902;18,7137;18,81376;18,91185;18,99067;18,99067;19,45062;19,61698;19,73496;19,85768;20,95462;21,55688;21,77801;
0,1396694;0,1396694;1,828042;2,054425;2,865541;3,462211;3,867482;4,214966;4,247958;4,576899;4,727878;4,742404;4,965249;4,980324;5,183821;5,223932;5,237211;5,382421;5,441637;5,739799;5,915489;5,945964;6,048946;6,166888;6,328089;6,328089;6,53319;6,550833;6,725821;6,737949;6,875921;6,875921;7,028535;7,148432;7,179355;7,308022;7,321434;7,386508;7,498026;7,641653;7,641653;7,71563;7,800409;7,897203;8,007924;8,166901;8,349212;8,363701;8,428681;8,442774;8,553681;8,586347;8,700541;8,749018;8,749018;8,802803;8,964351;8,964351;9,027331;9,027331;9,129086;9,18584;9,225722;9,282116;9,32789;9,418366;9,481816;9,545503;9,60638;9,68211;9,714245;9,746851;9,788698;9,885855;9,898997;9,98278;10,06735;10,12198;10,17778;10,20579;10,24662;10,34593;10,40588;10,46517;10,48301;10,62696;10,68623;10,74913;10,77951;10,84784;10,9053;10,9053;11,00061;11,06908;11,06908;11,12563;11,22322;11,26469;11,32489;11,38672;11,38672;11,4625;11,52552;11,5629;11,58791;11,66551;11,70328;11,78657;11,84029;11,87994;11,94649;11,98275;12,0477;12,14572;12,20865;12,24509;12,26874;12,43781;12,46377;12,53967;12,67596;12,74519;12,74519;12,86164;12,94526;12,98801;13,04835;13,14774;13,18432;13,22096;13,26755;13,40335;13,42787;13,52695;13,58721;13,66238;13,68564;13,75859;13,81908;13,86853;13,90265;14,008;14,01889;14,143;14,17943;14,24015;14,46434;14,50173;14,5494;14,68292;14,74329;14,76731;14,87981;15,19662;15,42317;15,50618;15,62475;15,74813;15,80507;15,89651;15,94705;15,9858;16,11789;16,14314;16,16931;16,28256;16,32555;16,41872;16,44128;16,54854;16,62282;16,68221;16,84389;16,86598;16,95903;17,12147;17,30468;17,36409;17,46885;17,56514;17,66832;17,72456;17,78273;17,92179;17,96829;18,16519;18,35791;18,74268;18,86842;19,14894;19,50368;19,64558;19,76454;19,98456;20,17953;20,62626;20,70773;21,16417;21,40913;21,44357;
3,494523;4,562616;4,633057;4,81356;5,062467;5,111151;5,374871;5,528448;5,563778;5,634916;5,74739;5,799934;5,961438;6,288697;6,332891;6,391583;6,514659;6,549964;6,852037;6,852037;6,881485;7,215017;7,243781;7,375229;7,389266;7,507982;7,555225;7,626394;7,671845;7,71365;7,814596;7,829168;7,890787;7,933953;7,991961;8,034292;8,139501;8,229011;8,229011;8,361165;8,433746;8,446699;8,461374;8,592873;8,592873;8,647093;8,703858;8,811419;8,934468;8,993796;9,103657;9,152883;9,165291;9,199412;9,261373;9,329403;9,383577;9,423637;9,474282;9,555311;9,634498;9,714545;9,781356;9,814062;9,842731;9,872247;9,96158;9,977515;10,11246;10,17365;10,2042;10,28414;10,34692;10,34692;10,51433;10,5732;10,62614;10,64284;10,72852;10,7924;10,8657;10,88132;10,94241;10,97187;11,09509;11,13958;11,17047;11,17047;11,37165;11,3846;11,42685;11,54412;11,69482;11,7091;11,76671;11,81361;11,89166;11,90455;12,02969;12,02969;12,09081;12,12751;12,25461;12,26682;12,29101;12,44541;12,5943;12,64399;12,69483;12,82493;12,82493;12,85325;12,99115;13,11367;13,18624;13,222;13,27325;13,34917;13,54248;13,57078;13,61401;13,68382;13,74601;13,8749;14,00371;14,1433;14,29394;14,35521;14,49406;14,5897;14,64916;14,70993;14,80688;14,92926;15,02832;15,02832;15,12385;15,19036;15,2028;15,2282;15,31493;15,35135;15,41465;15,49292;15,59364;15,63368;15,7453;15,77029;15,83471;15,84595;15,91178;15,99343;16,07512;16,0875;16,26704;16,29098;16,35008;16,49342;16,53157;16,7032;16,75371;16,97338;17,15218;17,21257;17,24888;17,33381;17,44994;17,61244;17,67315;17,90827;17,90827;17,90827;17,98965;18,09401;18,12908;18,15369;18,16502;18,31437;18,31437;18,57278;18,57278;18,7516;18,83265;18,89015;19,0518;19,41044;19,57169;19,72339;19,90384;20,17342;20,35371;20,59091;20,79182;21,0496;21,13383;21,23085;21,40921;21,44349;22,11048;22,88781;
0,1264172;0,6882116;1,482389;3,701722;3,854172;4,033547;4,193138;4,206895;4,667635;4,714132;4,843084;4,934158;4,946898;5,067428;5,288001;5,594365;5,721127;5,843174;6,04211;6,144485;6,180996;6,329552;6,346305;6,494408;6,508912;6,725065;6,952302;7,108331;7,124427;7,284623;7,301063;7,442944;7,49166;7,590147;7,644421;7,793205;7,793205;8,014112;8,147667;8,352615;8,426378;8,482821;8,570444;8,625568;8,764047;8,793323;8,833925;8,952083;9,010603;9,010603;9,112213;9,185148;9,227815;9,323323;9,382119;9,491388;9,491388;9,574046;9,587969;9,673735;9,772756;9,772756;9,873026;9,974304;9,974304;9,974304;10,07223;10,17221;10,25107;10,25107;10,31236;10,47366;10,48644;10,554;10,554;10,69341;10,76136;10,79216;11,01281;11,01281;11,01281;11,05142;11,23168;11,23168;11,27221;11,37145;11,42417;11,50585;11,59059;11,63324;11,75351;11,81132;11,91053;11,95411;12,05268;12,08222;12,08222;12,20634;12,26582;12,32945;12,41185;12,45269;12,48969;12,52555;12,65148;12,65148;12,72506;12,72506;12,82211;12,89054;12,90383;12,99076;13,0294;13,13213;13,20284;13,64399;13,70808;13,7311;13,89204;13,99181;13,99181;14,15358;14,16386;14,22494;14,28534;14,35161;14,40214;14,42848;14,4902;14,55396;14,65003;14,67426;14,72148;14,7493;14,91158;14,95388;14,99335;15,17435;15,23414;15,27228;15,28383;15,39301;15,46443;15,54939;15,64495;15,92292;15,98897;16,11054;16,21404;16,4283;16,69208;16,73172;16,85479;16,85479;16,88939;17,02786;17,02786;17,10753;17,16751;17,2147;17,25114;17,33381;17,41471;17,46996;17,54614;17,57228;17,63469;17,6447;17,76859;17,84927;17,9669;18,04891;18,07211;18,22252;18,22252;18,40772;18,51368;18,59474;18,74182;18,96947;19,04962;19,13053;19,24795;19,35138;19,43199;19,81264;20,10988;20,13372;20,35453;20,71324;20,89366;20,90448;21,18959;21,29298;21,82709;21,9345;22,21292;22,70459;22,89314;23,3529;
0;0,1218439;1,052533;2,784587;2,800525;3,381595;3,544803;4,013866;4,453831;4,759733;4,825013;4,923979;4,923979;4,991091;5,232846;5,853817;5,943337;6,062312;6,1078;6,213169;6,226117;6,285308;6,432357;6,432357;6,444769;6,522964;6,686171;7,052331;7,111823;7,28246;7,297379;7,329137;7,442945;7,546378;7,618283;7,792521;7,893528;8,031528;8,086594;8,143532;8,185808;8,230696;8,330173;8,343952;8,429574;8,488397;8,501062;8,531886;8,590732;8,759944;8,802497;8,891178;8,945706;9,033689;9,061003;9,147835;9,40128;9,40128;9,530094;9,572686;9,572686;9,705481;9,719162;9,790993;9,900256;9,93079;9,994626;10,08615;10,1332;10,22565;10,27367;10,28705;10,36308;10,42408;10,49357;10,54802;10,73138;10,73138;10,73138;10,73138;10,92623;10,92623;10,94196;10,98565;11,0895;11,15039;11,20474;11,23167;11,23167;11,39337;11,39337;11,45129;11,46429;11,591;11,6048;11,68827;11,70054;11,8037;11,86274;11,95172;12,01092;12,12401;12,1499;12,18805;12,28993;12,32731;12,38999;12,38999;12,46377;12,55033;12,62613;12,65005;12,68844;12,72551;12,78946;12,88467;12,90879;13,03034;13,07058;13,13185;13,20582;13,20582;13,351;13,38711;13,48639;13,60793;13,60793;13,60793;13,68806;13,80028;13,921;13,921;13,9496;14,02913;14,10393;14,18867;14,20069;14,26831;14,36579;14,42774;14,42774;14,58908;14,65186;14,66377;14,85284;14,91296;14,97156;15,09139;15,10399;15,22468;15,33306;15,36954;15,54336;15,62732;16,05177;16,1095;16,19366;16,26974;16,2816;16,39255;16,46639;16,46639;16,49124;16,61326;16,65162;16,65162;16,7266;16,78808;16,82402;16,8702;16,98837;17,09337;17,12807;17,16328;17,26744;17,30245;17,34833;17,45307;17,52095;17,54501;17,61366;17,62545;17,72554;17,78656;17,82981;17,99253;18,08671;18,9305;19,01054;19,06907;19,22586;19,70707;20,14578;20,20921;20,68961;21,21357;21,29373;21,43002;21,67114;21,85377;
0,1155681;0,4481255;1,849451;2,907528;3,309451;3,740898;3,961791;4,181658;4,286953;4,495535;4,947595;4,947595;5,125992;5,228093;5,242993;5,398815;5,55887;5,701468;5,863936;5,928798;6,038482;6,072872;6,136509;6,169003;6,346754;6,504143;6,80758;6,80758;6,80758;6,933361;7,049721;7,118485;7,118485;7,284475;7,335781;7,446153;7,523813;7,600074;7,680151;7,721765;7,824932;7,999479;8,014309;8,100586;8,188787;8,246434;8,301869;8,317221;8,444376;8,483914;8,557667;8,557667;8,626946;8,668139;8,767498;8,767498;8,875489;8,969146;8,969146;9,047405;9,129015;9,206881;9,287114;9,424441;9,46246;9,505375;9,64868;9,64868;9,809114;9,821681;9,909068;9,948035;9,985274;10,12627;10,16507;10,20427;10,27947;10,30773;10,42356;10,49838;10,5282;10,61731;10,61731;10,71712;10,74599;10,79826;10,94723;11,00006;11,02703;11,10829;11,11984;11,22607;11,29621;11,3261;11,45864;11,51855;11,65523;11,6865;11,80278;11,81524;11,92901;11,92901;12,02695;12,10837;12,16931;12,21742;12,21742;12,30505;12,3431;12,40521;12,52717;12,52717;12,62493;12,67915;12,71978;12,74846;12,82821;12,8892;12,93785;12,9769;13,04669;13,08851;13,14055;13,14055;13,24198;13,3252;13,40013;13,44063;13,58609;13,64623;13,74704;13,78367;13,81998;13,86868;13,94126;14,04847;14,06103;14,08855;14,12404;14,22302;14,30675;14,37785;14,37785;14,42658;14,49992;14,64534;14,64534;14,68214;14,70912;14,86305;14,89859;14,96038;15,00878;15,1623;15,1623;15,3058;15,35813;15,35813;15,50302;15,90549;16,04427;16,16256;16,1869;16,26773;16,30542;16,3868;16,4443;16,50204;16,58371;16,65716;16,78959;16,91875;16,94302;16,94302;17,04744;17,1073;17,16758;17,24856;17,30523;17,32917;17,52298;17,54669;17,58475;17,68502;17,74594;17,80746;17,94832;17,98864;18,10845;18,18853;18,26361;19,87934;20,06395;20,24713;20,64246;20,78658;20,90919;21,85844;26,73926;27,00317;
0,1332539;2,467682;2,87926;3,074033;3,393861;3,695408;3,766907;3,966607;4,028306;4,286006;4,354558;4,368423;4,472912;4,867154;5,204004;5,631788;5,813879;5,828104;5,961412;6,053915;6,143911;6,247473;6,294558;6,45372;6,484696;6,484696;6,615098;6,73152;6,761312;6,79114;6,851481;6,911383;7,034633;7,066042;7,205233;7,27343;7,535048;7,593759;7,983964;8,0143;8,215031;8,25991;8,387131;8,444777;8,444777;8,475304;8,586751;8,631391;8,675455;8,77461;8,77461;8,831883;8,930083;8,930083;8,930083;9,054461;9,111174;9,12463;9,208221;9,252123;9,313531;9,453537;9,453537;9,495361;9,549901;9,6044;9,661811;9,733826;9,746322;9,860105;9,891343;9,951891;10,07448;10,07448;10,134;10,22567;10,27257;10,39414;10,47347;10,53323;10,56256;10,653;10,68216;10,71275;10,8555;10,90594;10,93219;10,97192;11,02435;11,11525;11,19365;11,20684;11,31503;11,50817;11,63464;11,63464;11,81541;11,84307;11,89436;12,01015;12,01015;12,09559;12,15531;12,21413;12,28627;12,30187;12,39165;12,43249;12,47538;12,49987;12,61424;12,61424;12,68286;12,77159;12,83455;12,83455;12,93343;12,99339;13,03203;13,09188;13,25161;13,26282;13,28749;13,31197;13,4097;13,46523;13,54808;13,73093;13,81205;13,85445;13,90604;14,14384;14,3154;14,35251;14,40254;14,45051;14,53298;14,58675;15,0051;15,17128;15,29228;15,33169;15,36832;15,48904;15,55265;15,55265;15,59081;15,69322;15,76349;15,89516;15,96589;16,03551;16,11239;16,1875;16,211;16,24754;16,40893;16,40893;16,55559;16,7051;16,78891;16,82257;16,91531;16,92704;17,01026;17,06936;17,12641;17,14927;17,23186;17,24394;17,30608;17,46797;17,49242;17,68898;17,78973;17,86673;17,99509;18,0707;18,1096;18,1719;18,25098;18,26281;18,36309;18,43178;18,49241;18,49241;18,58266;18,67457;18,73303;18,97495;19,2117;19,5106;19,68641;19,73427;19,87353;20,25376;20,37491;21,15174;22,19206;22,99283;
0,750414;2,941017;3,698613;3,890605;4,078735;4,456417;4,715546;4,898595;5,279131;5,470151;5,48368;5,501456;5,709768;5,789356;5,878181;5,908053;6,227657;6,358091;6,474386;6,508226;6,635281;6,700032;6,716516;6,845201;6,861698;6,929597;7,008353;7,022152;7,156322;7,203311;7,367355;7,476944;7,537116;7,590335;7,675933;7,723177;7,756892;8,019152;8,034323;8,068863;8,184753;8,200952;8,33016;8,343679;8,508683;8,566832;8,580568;8,675483;8,675483;8,77005;8,83062;8,937661;8,937661;8,937661;9,049554;9,146074;9,146074;9,189971;9,2199;9,286172;9,389775;9,644824;9,763691;9,781477;9,906989;9,906989;9,966649;10,02767;10,08727;10,18567;10,18567;10,28999;10,30358;10,3588;10,42449;10,48055;10,48055;10,53809;10,63619;10,72796;10,72796;10,81778;10,8904;10,94601;11,04796;11,06271;11,28693;11,42504;11,4394;11,46765;11,58059;11,59676;11,73005;11,79032;11,80418;11,90812;11,93629;11,96689;12,08723;12,12592;12,19069;12,24354;12,28508;12,28508;12,47031;12,47031;12,52066;12,61848;12,68979;12,70206;12,76741;12,84403;12,84403;12,94093;13,03072;13,08178;13,14846;13,14846;13,26134;13,52925;13,62634;13,67985;13,78688;13,886;13,90982;13,90982;14,00778;14,10685;14,14515;14,20581;14,24172;14,38601;14,44611;14,47098;14,51881;14,57926;14,63982;14,76007;14,81945;14,84519;14,93976;15,08508;15,20423;15,20423;15,2411;15,42534;15,4653;15,4653;15,51864;15,66594;15,72873;15,96138;16,24656;16,42541;16,58028;16,60795;16,78693;16,78693;16,80997;16,96856;16,96856;17,16691;17,16691;17,30799;17,40051;17,66814;17,80058;17,82576;17,82576;17,96482;17,96482;18,11098;18,1214;18,24129;18,38655;18,4081;18,60659;18,6421;18,78117;18,91004;18,91004;19,02754;19,19002;19,36675;19,69009;19,84999;19,99924;20,02247;20,0668;20,20562;20,28465;20,30838;20,44377;20,55084;20,71832;20,85081;20,92938;21,06963;21,16376;22,66492;
