Personne 0;Personne 1;Personne 2;Personne 3;Personne 4;Personne 5;Personne 6;Personne 7;Personne 8;Personne 9;Personne 10;Personne 11;Personne 12;Personne 13;Personne 14;Personne 15;Personne 16;Personne 17;Personne 18;Personne 19;Personne 20;Personne 21;Personne 22;Personne 23;Personne 24;Personne 25;Personne 26;Personne 27;Personne 28;Personne 29;Personne 30;Personne 31;Personne 32;Personne 33;Personne 34;Personne 35;Personne 36;Personne 37;Personne 38;Personne 39;Personne 40;Personne 41;Personne 42;Personne 43;Personne 44;Personne 45;Personne 46;Personne 47;Personne 48;Personne 49;Personne 50;Personne 51;Personne 52;Personne 53;Personne 54;Personne 55;Personne 56;Personne 57;Personne 58;Personne 59;Personne 60;Personne 61;Personne 62;Personne 63;Personne 64;Personne 65;Personne 66;Personne 67;Personne 68;Personne 69;Personne 70;Personne 71;Personne 72;Personne 73;Personne 74;Personne 75;Personne 76;Personne 77;Personne 78;Personne 79;Personne 80;Personne 81;Personne 82;Personne 83;Personne 84;Personne 85;Personne 86;Personne 87;Personne 88;Personne 89;Personne 90;Personne 91;Personne 92;Personne 93;Personne 94;Personne 95;Personne 96;Personne 97;Personne 98;Personne 99;Personne 100;Personne 101;Personne 102;Personne 103;Personne 104;Personne 105;Personne 106;Personne 107;Personne 108;Personne 109;Personne 110;Personne 111;Personne 112;Personne 113;Personne 114;Personne 115;Personne 116;Personne 117;Personne 118;Personne 119;Personne 120;Personne 121;Personne 122;Personne 123;Personne 124;Personne 125;Personne 126;Personne 127;Personne 128;Personne 129;Personne 130;Personne 131;Personne 132;Personne 133;Personne 134;Personne 135;Personne 136;Personne 137;Personne 138;Personne 139;Personne 140;Personne 141;Personne 142;Personne 143;Personne 144;Personne 145;Personne 146;Personne 147;Personne 148;Personne 149;Personne 150;Personne 151;Personne 152;Personne 153;Personne 154;Personne 155;Personne 156;Personne 157;Personne 158;Personne 159;Personne 160;Personne 161;Personne 162;Personne 163;Personne 164;Personne 165;Personne 166;Personne 167;Personne 168;Personne 169;Personne 170;Personne 171;Personne 172;Personne 173;Personne 174;Personne 175;Personne 176;Personne 177;Personne 178;Personne 179;Personne 180;Personne 181;Personne 182;Personne 183;Personne 184;Personne 185;Personne 186;Personne 187;Personne 188;Personne 189;Personne 190;Personne 191;Personne 192;Personne 193;Personne 194;Personne 195;Personne 196;Personne 197;Personne 198;Personne 199
0,02;0,02;1,076626;1,837349;2,818205;3,052815;3,32588;3,976916;4,210209;4,319887;4,618764;4,848269;4,897047;5,196167;5,305272;5,357728;5,529227;5,717741;5,779768;5,886926;5,948633;6,098302;6,112634;6,112634;6,225094;6,318693;6,366089;6,418557;6,478786;6,525039;6,556826;6,697623;6,729627;6,777575;6,856191;6,918602;6,947108;7,136493;7,136493;7,166247;7,318485;7,318485;7,348629;7,505494;7,533329;7,578386;7,608459;7,77925;7,897638;8,018507;8,093023;8,108764;8,159678;8,279546;8,31103;8,35797;8,430794;8,477678;8,573976;8,618986;8,678925;8,692154;8,79786;8,79786;8,885258;8,978612;9,097;9,097;9,196748;9,239352;9,326403;9,326403;9,388865;9,479021;9,548943;9,669716;9,714005;9,714005;9,914621;9,914621;9,998704;10,1096;10,25144;10,30958;10,30958;10,45159;10,46582;10,55661;10,61805;10,66904;10,69567;10,7931;10,81734;10,95577;11,01755;11,02886;11,17628;11,17628;11,29732;11,39609;11,43762;11,55686;11,63071;11,66931;11,80852;11,83258;11,86819;11,95667;12,00858;12,06813;12,09356;12,18823;12,29746;12,37389;12,37389;12,50835;12,59297;12,59297;12,6776;12,77565;12,81086;12,93196;12,9943;13,01788;13,07779;13,13807;13,19672;13,23264;13,3153;13,32824;13,47344;13,49706;13,55637;13,59115;13,69885;13,81834;13,87781;14,01996;14,1143;14,1378;14,17293;14,35876;14,4591;14,56977;14,69946;14,77369;14,85606;14,87894;14,96571;15,07391;15,13861;15,23934;15,24981;15,35531;15,37759;15,41263;15,47379;15,57691;15,63485;15,79434;15,81523;15,93773;15,97001;15,99425;16,1314;16,18816;16,2596;16,2596;16,3177;16,41775;16,45154;16,59934;16,59934;16,65761;16,73603;16,76955;16,85586;16,89727;17,00897;17,17619;17,23183;17,27533;17,37183;17,89041;17,99261;18,07592;18,15218;18,15218;18,29305;18,41589;18,59433;18,61893;18,7138;18,87761;18,95582;19,09653;19,27413;19,35859;19,42873;24,95089
0,2083171;0,9784394;2,466375;2,952183;3,446088;3,584185;4,008904;4,142436;4,192741;4,588273;4,777789;4,937424;4,987306;5,111947;5,197708;5,299105;5,38379;5,518816;5,685163;5,7019;5,736952;5,83729;5,937385;6,025485;6,087659;6,136271;6,272736;6,285766;6,39755;6,60594;6,630946;6,666741;6,858175;6,97745;7,037056;7,113836;7,206074;7,296852;7,338356;7,39534;7,475902;7,509583;7,618618;7,647752;7,677562;7,689683;7,793816;7,877933;7,934909;7,948831;8,054312;8,115884;8,159069;8,213225;8,22786;8,396784;8,396784;8,535695;8,56595;8,692763;8,774558;8,813442;8,894669;8,933973;9,075506;9,171248;9,21093;9,23798;9,396152;9,411117;9,546909;9,63635;9,63635;9,649161;9,757027;9,82633;9,82633;9,949888;10,01791;10,01791;10,13684;10,15077;10,19806;10,21138;10,32695;10,37215;10,45466;10,51751;10,67694;10,70328;10,85423;11,01915;11,11851;11,131;11,19656;11,27706;11,46862;11,4991;11,55456;11,66633;11,70933;12,01764;12,09003;12,23283;12,30794;12,372;12,39668;12,51782;12,71433;12,7553;12,89602;12,93692;12,93692;13,079;13,09142;13,28688;13,31431;13,33771;13,49369;13,51815;13,56815;13,70877;13,85323;13,93648;14,11248;14,4182;14,49767;14,61516;14,6554;14,6554;14,78746;14,81667;14,95371;15,10782;15,13365;15,41867;15,5781;15,58909;15,64761;15,76709;15,76709;15,80683;15,97504;15,97504;16,00975;16,17402;16,2914;16,43227;16,5365;16,65565;16,7157;16,85815;16,89342;16,89342;17,11022;17,16562;17,1937;17,29756;17,37195;17,39602;17,43469;17,55749;17,59207;17,69305;17,85901;17,97403;18,17171;18,27301;18,29669;18,33287;18,37725;18,49219;18,49219;18,67236;18,7287;18,91679;18,91679;19,17315;19,17315;19,27474;19,33387;19,47207;19,49537;19,57526;19,69448;19,69448;19,84903;19,87159;19,99481;20,01717;20,07505;20,1527;20,18765;20,31016;20,45905;20,71829;20,75299;21,37316;22,13791;22,69431
1,561358;1,754701;2,162879;2,926841;3,227873;3,732086;3,81202;4,033993;4,22254;4,285941;4,489828;4,550551;4,834241;4,960565;5,245255;5,293869;5,341477;5,47216;5,551111;5,713639;5,809578;6,043606;6,15452;6,279257;6,326194;6,414239;6,461661;6,587704;6,645796;6,661499;6,773598;6,880518;6,928375;7,022389;7,054802;7,211943;7,263622;7,3132;7,462454;7,59127;7,62132;7,650095;7,709671;7,804206;7,932834;7,932834;7,932834;8,025178;8,101454;8,119827;8,141037;8,20302;8,294299;8,393024;8,405108;8,431087;8,501269;8,668197;8,702789;8,719412;8,871402;8,884109;8,914834;8,991052;9,020061;9,231349;9,231349;9,231349;9,293633;9,39342;9,452514;9,466277;9,526989;9,571451;9,673597;9,834055;9,834055;9,907819;9,990935;10,00338;10,06109;10,14396;10,23072;10,23072;10,34585;10,54313;10,57391;10,703;10,81396;10,96375;11,06233;11,06233;11,14507;11,17467;11,23004;11,24485;11,3297;11,37051;11,44976;11,5292;11,62927;11,62927;11,65379;11,755;11,8679;11,92821;11,92821;11,92821;12,07422;12,14727;12,20874;12,23246;12,32944;12,36541;12,42559;12,51109;12,60811;12,668;12,72924;12,74163;12,76696;12,89199;12,93202;13,05114;13,09472;13,26492;13,31112;13,3544;13,43497;13,61131;13,62274;13,76822;13,85035;13,93468;13,93468;14,05325;14,08937;14,18277;14,34993;14,43244;14,5144;14,54968;14,6698;14,69284;14,81342;14,82488;14,90857;14,90857;14,98288;15,13336;15,17389;15,34465;15,34465;15,40975;15,51483;15,51483;15,65126;15,69038;15,72978;15,84327;15,89015;16,2691;16,50594;16,60973;16,68942;16,92816;17,12306;17,14958;17,28728;17,33477;17,39147;17,49276;17,49276;17,52693;17,71048;17,73305;17,80717;18,06211;18,13006;18,24504;18,29116;18,47146;18,49351;18,49351;18,62793;18,74492;18,90962;19,08565;19,58891;19,97388;20,47025;20,54738;20,88984;21,048;21,10727;21,30788;21,51079;22,33499;24,2537;24,73137
0,1197138;0,1197138;1,297068;1,750959;1,985258;2,650434;2,89721;3,760306;3,930292;4,558793;4,669006;4,769141;4,769141;4,949045;5,129832;5,129832;5,389523;5,438538;5,56748;5,740423;5,768388;5,928271;5,9415;6,096958;6,190525;6,190525;6,331072;6,467203;6,480796;6,480796;6,609797;6,687901;6,769439;6,799832;6,799832;6,949294;7,00706;7,020396;7,142292;7,189538;7,267184;7,323761;7,42958;7,45853;7,499428;7,516121;7,636208;7,681727;7,788054;7,801044;7,909985;7,984551;8,047428;8,136706;8,1974;8,307159;8,367952;8,548699;8,578319;8,759794;8,849883;8,87984;9,046324;9,059984;9,059984;9,208936;9,250557;9,348845;9,348845;9,45826;9,487747;9,548158;9,561678;9,619513;9,769412;9,783112;9,925629;9,93848;9,996771;10,03922;10,08608;10,18491;10,19798;10,36916;10,38219;10,39761;10,42812;10,56847;10,56847;10,63765;10,74341;10,80882;10,91115;11,08841;11,14831;11,26854;11,30745;11,31925;11,44712;11,5303;11,61099;11,63892;11,63892;11,7791;11,80425;11,93853;11,96484;12,08489;12,14619;12,30456;12,40414;12,60286;12,62782;12,62782;12,74913;12,74913;12,922;13,04144;13,15096;13,32123;13,38953;13,44632;13,56715;13,58015;13,7266;13,81049;13,98909;14,02589;14,05061;14,17062;14,29036;14,38529;14,48609;14,54682;14,57015;14,70037;14,72605;14,72605;14,91087;14,91087;14,92198;15,00398;15,08197;15,2509;15,32804;15,57105;15,66569;15,70159;15,72676;15,88891;15,92426;15,97036;16,00523;16,08578;16,24635;16,46252;16,53009;16,64959;16,70789;16,78775;16,88115;16,92798;16,96348;17,08756;17,08756;17,1442;17,20958;17,26268;17,34029;17,34029;17,40125;17,50545;17,56403;17,6628;17,70825;17,71893;17,76518;17,8995;17,96848;18,15017;18,58051;18,74927;18,82945;18,96821;19,19023;19,22407;19,42498;19,5085;19,62633;19,70393;19,78563;19,9428;19,98806;20,06666;20,21036;20,22146;20,41097;20,46755;20,49081;22,06975
1,26792;1,857433;2,267413;2,864453;3,100872;3,30592;3,48051;3,959321;4,068921;4,116363;4,339754;4,356971;4,408647;4,769599;4,868896;5,013942;5,413637;5,460943;5,668323;5,767244;5,834915;5,867672;6,021014;6,145619;6,220236;6,236493;6,348439;6,413933;6,580991;6,580991;6,719085;6,781389;6,797297;6,985026;7,014169;7,046919;7,046919;7,246063;7,382569;7,429028;7,429028;7,549031;7,576244;7,697247;7,727929;7,757511;7,789202;7,921568;7,946745;8,026857;8,166306;8,325519;8,404924;8,428697;8,516571;8,576614;8,686195;8,816843;8,848106;9,042455;9,05765;9,05765;9,267692;9,281316;9,297578;9,325219;9,467565;9,49627;9,54133;9,601062;9,64465;9,815243;9,847139;9,860272;10,0454;10,07451;10,23555;10,26613;10,44503;10,48683;10,58924;10,64674;10,68752;10,78589;10,79945;10,88652;10,9492;11,08761;11,10074;11,22819;11,30913;11,39898;11,42931;11,60776;11,60776;11,60776;11,67835;11,80533;11,88784;11,90051;11,94534;12,06788;12,08259;12,18462;12,21746;12,2575;12,27583;12,46533;12,50645;12,66818;12,76593;12,9268;13,00915;13,00915;13,10404;13,15651;13,32834;13,32834;13,32834;13,54466;13,56817;13,58158;13,70456;13,8031;13,87845;13,96422;13,99838;14,04693;14,11848;14,14523;14,21752;14,29988;14,32568;14,48608;14,49809;14,67968;14,7417;14,88347;14,96799;14,97931;15,12725;15,16304;15,22215;15,28206;15,42275;15,4806;15,58655;15,66816;15,76244;15,90315;16,00693;16,04251;16,08736;16,16963;16,16963;16,24409;16,27976;16,34859;16,38339;16,44155;16,46528;16,58921;16,58921;16,68502;16,76223;16,76223;16,92799;16,93864;17,00252;17,10376;17,1481;17,22658;17,3414;17,3414;17,36466;17,52242;17,88725;17,96742;18,04762;18,10223;18,1694;18,18035;18,30941;18,42869;18,58608;18,92259;19,08416;19,52182;19,54452;19,64636;19,72539;19,80375;20,18786;20,22272;20,40854;20,44669;20,94399;21,34834;21,40902;21,64192
0,2811796;2,433826;2,812668;2,812668;3,144907;3,611139;3,721935;3,793102;4,191141;4,352046;4,592957;4,592957;4,72102;4,994827;5,074573;5,172729;5,324111;5,386666;5,420403;5,625294;5,687131;5,748633;5,7648;5,827751;5,923019;5,970809;6,011044;6,085612;6,162825;6,212038;6,334521;6,334521;6,441973;6,533973;6,548053;6,614212;6,721347;6,76664;6,84694;6,914735;6,963707;7,261416;7,290273;7,302351;7,472514;7,48529;7,569475;7,712316;7,712316;7,833673;7,865637;7,953432;8,024013;8,05495;8,115073;8,14473;8,24564;8,307079;8,307079;8,36652;8,421842;8,483119;8,588481;8,629013;8,670623;8,711654;8,809711;8,848738;8,944079;8,972594;9,02391;9,14858;9,14858;9,189028;9,214596;9,363395;9,394661;9,566857;9,581604;9,612617;9,822901;9,822901;9,852032;9,864078;10,01084;10,01084;10,08284;10,18284;10,21241;10,21241;10,33333;10,34426;10,40633;10,48635;10,55187;10,55187;10,65035;10,65035;10,74662;10,80859;10,89356;10,89356;10,98594;10,98594;11,10723;11,12082;11,20271;11,20271;11,27123;11,31326;11,40442;11,48787;11,51376;11,54126;11,62217;11,68964;11,68964;11,74982;11,84628;11,87141;12,00403;12,06931;12,19355;12,27115;12,29514;12,3905;12,44958;12,58522;12,66936;12,72883;12,81219;12,84718;12,88452;13,05409;13,06427;13,23043;13,47081;13,4821;13,5712;13,63273;13,69401;13,78832;13,89118;13,91468;14,01156;14,05126;14,15403;14,25109;14,27437;14,4351;14,4351;14,53032;14,5681;14,69288;14,69288;14,7639;14,7891;15,00819;15,00819;15,17179;15,21;15,31488;15,42904;15,60696;15,68854;15,83394;15,98747;16,03148;16,19312;16,25359;16,28993;16,35309;16,46495;16,54816;16,69077;16,73352;16,88564;16,90903;16,90903;17,05509;17,11254;17,14673;17,2487;17,32743;17,79341;17,81509;17,9691;18,07051;18,12965;18,15443;18,31098;18,33219;18,61507;18,80586;18,98825;19,14749;20,85088;21,29476;21,89458;21,93097
0,135627;1,545568;2,383732;2,791202;3,18327;3,70216;3,87205;4,238364;4,271312;4,446163;4,446163;4,572754;4,918887;4,952323;5,090917;5,170981;5,265669;5,31056;5,44452;5,572211;5,681936;6,084181;6,100463;6,182536;6,290951;6,337899;6,402094;6,512065;6,590269;6,804794;6,866991;7,004366;7,02013;7,158862;7,330589;7,330589;7,464951;7,602627;7,665147;7,77311;7,879643;7,971443;7,971443;8,092469;8,106071;8,170833;8,232649;8,267047;8,368482;8,48692;8,512332;8,551812;8,592994;8,718227;8,801782;8,952364;8,966185;9,070586;9,130568;9,143576;9,159396;9,280405;9,309968;9,369531;9,43002;9,486257;9,624702;9,639868;9,713432;9,850238;9,862293;9,912889;9,962263;10,11208;10,15052;10,15052;10,16256;10,30401;10,37205;10,40144;10,49099;10,49099;10,59211;10,59211;10,66274;10,70181;10,76932;10,83116;10,87294;11,00898;11,12152;11,14852;11,29176;11,30344;11,44277;11,44277;11,56504;11,59008;11,71262;11,7492;11,88731;11,98436;11,98436;12,19041;12,28892;12,38667;12,41145;12,58009;12,64908;12,78759;12,78759;12,9882;13,00066;13,18776;13,24892;13,30932;13,33225;13,36821;13,51214;13,57174;13,60855;13,66813;13,69203;13,81131;13,87027;13,96714;14,00129;14,11109;14,14738;14,30092;14,3287;14,46916;14,56197;14,64724;14,72379;14,75196;14,88715;14,91338;14,91338;14,98129;15,08028;15,14961;15,22562;15,32884;15,36898;15,53325;15,53325;15,62991;15,71101;15,88564;15,96755;16,08178;16,26476;16,31353;16,53118;16,61209;16,74948;16,86941;16,88165;16,90724;17,00992;17,08978;17,08978;17,17069;17,25014;17,41367;17,55138;17,76861;17,80688;17,94617;17,99367;18,16238;18,20938;18,26621;18,35359;18,3854;18,46308;18,51217;18,64576;18,64576;18,76255;18,92597;18,99238;19,15152;19,25278;19,44521;19,70325;19,87144;20,11104;20,48517;20,56536;20,71185;20,90856;21,10763;21,17109;21,37176;21,45046;22,44566;22,72213;29,20973
0;2,180946;2,611879;3,081714;3,291034;3,840249;4,570049;4,66195;4,772658;5,132284;5,290146;5,470811;5,672206;5,871582;5,993158;6,039278;6,212697;6,317817;6,350475;6,492169;6,758951;6,791094;6,85251;6,937946;7,096568;7,252136;7,297195;7,297195;7,346099;7,518479;7,564765;7,580762;7,753127;7,799541;7,799541;7,871536;7,911242;7,970245;8,063139;8,063139;8,171571;8,232814;8,265791;8,330617;8,390673;8,451051;8,481265;8,512622;8,602862;8,618971;8,664242;8,77297;8,785476;8,908448;8,908448;8,952728;8,965924;9,108533;9,108533;9,152915;9,282833;9,312075;9,342801;9,511195;9,511195;9,606884;9,663898;9,780302;9,873008;9,901526;9,93217;10,06155;10,09012;10,12983;10,17266;10,30636;10,33301;10,33301;10,38016;10,52727;10,52727;10,66761;10,73079;10,7706;10,8319;10,89252;10,93005;11,02948;11,10887;11,10887;11,10887;11,20845;11,26365;11,32121;11,36297;11,48746;11,54037;11,56839;11,65007;11,69184;11,73185;11,77171;11,87126;11,95216;11,96546;12,0512;12,09298;12,14755;12,20197;12,34809;12,38865;12,38865;12,52014;12,59118;12,59118;12,75155;12,76298;12,91041;12,93304;12,94431;13,00605;13,09021;13,12629;13,17297;13,23286;13,2927;13,30386;13,40131;13,42804;13,49154;13,53042;13,73048;13,82806;13,89076;14,10636;14,16732;14,16732;14,30606;14,32954;14,47068;14,59038;14,6901;14,79259;14,82961;14,82961;14,89107;15,00901;15,03222;15,12766;15,20807;15,23109;15,36952;15,36952;15,46463;15,48745;15,56791;15,61229;15,72793;15,74069;15,89288;15,90424;16,0531;16,12828;16,24934;16,24934;16,31095;16,44677;16,59322;16,59322;16,72458;16,74915;16,89019;16,95271;16,98486;17,07099;17,13268;17,21141;17,42666;17,47174;17,54923;17,62878;17,82223;17,97042;17,99153;18,43041;18,6317;18,74379;18,84808;18,9069;18,95099;19,06533;19,10899;19,20894;19,24158;19,40854;20,57247;20,60975;20,73071;20,88995;20,90896
0,1260737;0,5292;1,712627;2,792269;3,312866;3,470732;3,721889;3,972201;4,590948;4,789571;5,032343;5,046679;5,179285;5,337872;5,372581;5,464828;5,683351;5,746465;5,930267;5,930267;6,083385;6,131877;6,179606;6,197514;6,252318;6,371331;6,439731;6,564032;6,631549;6,748935;6,851231;6,913784;6,927113;7,042865;7,089049;7,190168;7,251256;7,311292;7,311292;7,512134;7,525825;7,525825;7,666132;7,833187;7,846727;7,890162;7,979788;8,011953;8,150855;8,150855;8,244301;8,260324;8,410065;8,471113;8,531138;8,623528;8,685115;8,72814;8,72814;8,829857;8,890259;8,96169;9,022732;9,053349;9,187365;9,202493;9,272607;9,345985;9,392771;9,451344;9,551937;9,582583;9,622672;9,723528;9,748868;9,927449;9,953268;9,979016;10,02832;10,14189;10,14189;10,2298;10,28723;10,4324;10,44492;10,58908;10,63215;10,78661;10,82962;10,84255;11,0069;11,0069;11,06864;11,10651;11,26034;11,26034;11,37262;11,41321;11,47038;11,59266;11,60656;11,69159;11,7729;11,78471;11,87228;11,9073;11,9923;12,06418;12,09155;12,21227;12,21227;12,28373;12,30974;12,37042;12,42951;12,50537;12,57092;12,61007;12,73168;12,77353;12,91058;12,97282;12,98476;13,06968;13,14614;13,17315;13,24888;13,24888;13,34406;13,39206;13,45238;13,57064;13,66583;13,66583;13,71217;13,82989;13,86992;13,90973;14,06169;14,19276;14,20406;14,37312;14,37312;14,52984;14,52984;14,52984;14,69064;14,70171;14,78749;14,87082;14,9085;14,98774;15,05059;15,15279;15,38576;15,38576;15,43313;15,56637;15,56637;15,71009;15,72136;15,89296;16,02956;16,16918;16,3087;16,59054;16,72842;16,77382;16,80857;16,99294;17,14145;17,26986;17,40981;17,45186;17,45186;17,48893;17,62998;17,65327;17,73182;17,92615;18,04957;18,40999;18,43268;18,59158;18,69363;18,733;18,74339;18,8255;18,89264;18,92572;19,12707;19,25159;19,30682;19,8086;20,13218;20,32813;20,79332;22,4938;22,53205;23,18929
0,1346255;0,6251126;0,9654976;2,309527;2,838987;2,902165;3,091789;3,223406;3,489833;3,569493;3,661282;3,882059;3,946661;4,390353;4,603755;4,762522;5,032158;5,110643;5,220111;5,424138;5,494414;5,7094;5,72366;5,788717;5,879398;5,925218;6,070378;6,104606;6,164921;6,291417;6,337306;6,369507;6,399023;6,50494;6,52066;6,565615;6,691642;6,823329;7,037784;7,126426;7,220145;7,252481;7,399292;7,491379;7,491379;7,521763;7,703836;7,80499;7,80499;7,847775;7,952461;7,98216;8,029929;8,122777;8,248875;8,410709;8,468508;8,669223;8,729147;8,729147;8,861839;8,968839;9,012748;9,012748;9,07256;9,131426;9,230091;9,290486;9,392036;9,405921;9,465073;9,480308;9,612049;9,644225;9,749023;9,749023;9,848409;9,932908;9,945738;10,09244;10,09244;10,20434;10,2204;10,38737;10,38737;10,52864;10,62975;10,67175;10,76781;10,81041;10,90888;10,9893;11,02938;11,04109;11,18799;11,18799;11,23082;11,30029;11,42769;11,4888;11,4888;11,55003;11,68733;11,71184;11,74863;11,78402;11,89236;11,92959;12,0006;12,0501;12,08714;12,33982;12,48835;12,53023;12,53023;12,5708;12,66387;12,72624;12,76107;12,76107;12,87154;12,90736;12,99147;13,08858;13,11252;13,18664;13,21268;13,3479;13,40939;13,44575;13,44575;13,62523;13,74725;13,90383;14,0511;14,0511;14,0511;14,2684;14,34999;14,36028;14,48149;14,62596;14,65244;14,68987;14,80798;14,80798;14,97242;14,97242;15,17048;15,28793;15,34541;15,42585;15,48645;15,5322;15,64866;15,70803;15,88803;15,94833;15,97139;16,10782;16,10782;16,35017;16,40708;16,4885;16,62643;16,71157;16,72342;16,82921;16,90248;16,98905;17,04524;17,08909;17,15251;17,2861;17,46675;17,62566;17,62566;18,11216;18,20719;18,30801;18,36909;18,52735;18,69185;18,73049;18,87094;19,08911;19,12669;19,12669;19,68899;19,90888;19,95139;20,13076;20,34893;20,73188;20,91081;20,98899;21,95077;21,97254;21,97254;22,17179
