Personne 0;Personne 1;Personne 2;Personne 3;Personne 4;Personne 5;Personne 6;Personne 7;Personne 8;Personne 9;Personne 10;Personne 11;Personne 12;Personne 13;Personne 14;Personne 15;Personne 16;Personne 17;Personne 18;Personne 19;Personne 20;Personne 21;Personne 22;Personne 23;Personne 24;Personne 25;Personne 26;Personne 27;Personne 28;Personne 29;Personne 30;Personne 31;Personne 32;Personne 33;Personne 34;Personne 35;Personne 36;Personne 37;Personne 38;Personne 39;Personne 40;Personne 41;Personne 42;Personne 43;Personne 44;Personne 45;Personne 46;Personne 47;Personne 48;Personne 49;Personne 50;Personne 51;Personne 52;Personne 53;Personne 54;Personne 55;Personne 56;Personne 57;Personne 58;Personne 59;Personne 60;Personne 61;Personne 62;Personne 63;Personne 64;Personne 65;Personne 66;Personne 67;Personne 68;Personne 69;Personne 70;Personne 71;Personne 72;Personne 73;Personne 74;Personne 75;Personne 76;Personne 77;Personne 78;Personne 79;Personne 80;Personne 81;Personne 82;Personne 83;Personne 84;Personne 85;Personne 86;Personne 87;Personne 88;Personne 89;Personne 90;Personne 91;Personne 92;Personne 93;Personne 94;Personne 95;Personne 96;Personne 97;Personne 98;Personne 99;Personne 100;Personne 101;Personne 102;Personne 103;Personne 104;Personne 105;Personne 106;Personne 107;Personne 108;Personne 109;Personne 110;Personne 111;Personne 112;Personne 113;Personne 114;Personne 115;Personne 116;Personne 117;Personne 118;Personne 119;Personne 120;Personne 121;Personne 122;Personne 123;Personne 124;Personne 125;Personne 126;Personne 127;Personne 128;Personne 129;Personne 130;Personne 131;Personne 132;Personne 133;Personne 134;Personne 135;Personne 136;Personne 137;Personne 138;Personne 139;Personne 140;Personne 141;Personne 142;Personne 143;Personne 144;Personne 145;Personne 146;Personne 147;Personne 148;Personne 149;Personne 150;Personne 151;Personne 152;Personne 153;Personne 154;Personne 155;Personne 156;Personne 157;Personne 158;Personne 159;Personne 160;Personne 161;Personne 162;Personne 163;Personne 164;Personne 165;Personne 166;Personne 167;Personne 168;Personne 169;Personne 170;Personne 171;Personne 172;Personne 173;Personne 174;Personne 175;Personne 176;Personne 177;Personne 178;Personne 179;Personne 180;Personne 181;Personne 182;Personne 183;Personne 184;Personne 185;Personne 186;Personne 187;Personne 188;Personne 189;Personne 190;Personne 191;Personne 192;Personne 193;Personne 194;Personne 195;Personne 196;Personne 197;Personne 198;Personne 199;
0,02;1,532069;1,698301;2,479868;3,310924;3,644065;3,933371;4,154282;4,29226;4,457041;4,487583;4,53849;4,684028;4,990681;5,249251;5,335145;5,609817;5,711787;5,729837;5,899466;6,123242;6,159531;6,223006;6,388912;6,591469;6,638772;6,68515;6,83849;6,893822;7,053548;7,190564;7,23795;7,23795;7,436282;7,492673;7,616319;7,763192;7,959595;7,959595;8,03628;8,207333;8,27176;8,3255;8,389152;8,452204;8,634122;8,634122;8,686862;8,818544;8,866914;9,012185;9,079713;9,127807;9,178605;9,192657;9,22732;9,378881;9,392903;9,470675;9,529826;9,559967;9,655496;9,672369;9,707541;9,81919;9,883982;9,964458;9,964458;9,997493;10,0782;10,22478;10,29079;10,43663;10,45077;10,50948;10,60673;10,67803;10,74954;10,81633;10,89875;10,97169;10,98613;11,07188;11,11629;11,1709;11,29815;11,37906;11,43787;11,43787;11,52911;11,59576;11,67883;11,82942;11,89311;11,91847;12,0385;12,21952;12,25947;12,25947;12,28721;12,41246;12,45999;12,51612;12,57149;12,63227;12,71148;12,73882;12,81889;12,85987;12,9873;12,9873;13,13892;13,17949;13,27499;13,39642;13,55469;13,56572;13,71636;13,75608;13,80787;13,87383;14,01942;14,11635;14,11635;14,20642;14,23494;14,31744;14,38845;14,43244;14,50642;14,69411;14,85412;14,89422;14,91952;15,03355;15,1339;15,15781;15,21717;15,29888;15,33513;15,47965;15,64804;15,70895;15,79846;15,93862;15,94943;16,17132;16,33647;16,37536;16,41451;16,53458;16,6372;16,6372;16,71127;16,75874;16,83956;16,8505;17,01398;17,11652;17,19833;17,28898;17,33524;17,47418;17,50851;17,65182;17,77438;17,7971;17,85234;17,9675;17,9675;18,13383;18,19536;18,45525;18,63508;18,93653;19,11439;19,41278;19,67236;19,71877;19,83037;20,01385;20,13576;20,2361;20,99187;21,15034;21,17385;21,25496;21,43927;21,57481;21,71997;22,17261;22,25316;22,47463;23,05428;23,21792;23,79563;23,93459;24,93568;24,95872;28,2729;
0,1963182;2,479761;2,653542;2,841348;3,08344;3,16855;3,446652;3,628845;3,901151;4,169839;4,467398;5,066672;5,08086;5,25077;5,329912;5,607451;5,738897;5,7838;5,8958;5,928842;6,00967;6,26965;6,346566;6,408062;6,539614;6,729909;6,820577;6,94599;7,028096;7,146265;7,175943;7,250939;7,34915;7,462274;7,509491;7,629847;7,690072;7,690072;7,822052;7,868044;7,896918;7,998565;8,130557;8,2016;8,216455;8,261144;8,405577;8,519141;8,549387;8,620467;8,766617;8,766617;8,870544;9,001524;9,090054;9,205761;9,248055;9,290324;9,318394;9,447241;9,49073;9,546482;9,626871;9,667307;9,868035;9,868035;9,909991;9,969085;10,12698;10,12698;10,22786;10,26815;10,30829;10,42789;10,44151;10,48841;10,58704;10,63048;10,77102;10,77102;10,7981;10,92989;10,94349;11,00717;11,01823;11,11931;11,18317;11,18317;11,3294;11,3294;11,46742;11,50941;11,54998;11,58933;11,63045;11,72859;11,78214;11,82758;11,89791;11,99858;11,99858;12,08894;12,08894;12,18625;12,19881;12,28251;12,32831;12,44422;12,50016;12,51521;12,70736;12,75102;12,78041;12,88296;12,92748;12,95659;13,08836;13,08836;13,20983;13,28716;13,32653;13,37892;13,48783;13,5293;13,5293;13,57097;13,74905;13,7611;13,78959;13,80051;13,93107;14,00938;14,04978;14,10374;14,20984;14,26113;14,28862;14,40991;14,48899;14,57102;14,57102;14,93006;15,16686;15,3054;15,46754;15,62982;15,76699;15,76699;15,80835;15,92761;15,96561;16,04238;16,10483;16,20595;16,22918;16,48985;16,54765;16,68567;16,68567;16,78791;16,86038;16,88395;16,96474;17,10987;17,16738;17,30388;17,44153;17,5687;17,60607;17,62916;17,84471;17,84471;17,98516;18,00926;18,08747;18,20546;18,3041;18,38219;18,54935;18,70665;18,72871;18,9063;19,04683;19,24645;19,98833;20,11819;20,22325;20,40564;21,16044;21,40461;21,65051;21,94739;22,20833;22,20833;22,34968;22,45988;22,66928;22,98991;23,10102;26,94508;
0,1144024;0,1144024;0,5633727;2,055307;2,519308;2,780714;3,007082;3,399549;3,601472;3,76666;4,339712;5,04239;5,114106;5,349138;5,400284;5,703525;5,859413;5,964887;5,997824;6,133612;6,30674;6,413528;6,500419;6,566381;6,887426;6,940232;7,164535;7,228631;7,292942;7,340083;7,502075;7,555237;7,605157;7,726518;7,761865;7,77877;7,829228;7,91362;7,943941;8,073501;8,08764;8,260284;8,473418;8,55324;8,684406;8,767873;8,851988;8,8835;8,900024;9,04975;9,16503;9,297646;9,415229;9,447468;9,480631;9,547915;9,565299;9,684272;9,684272;9,734612;9,863233;9,925259;10,00657;10,02191;10,19348;10,29459;10,30919;10,40948;10,44297;10,525;10,57509;10,65513;10,70313;10,71928;10,86353;10,87998;10,91325;10,92722;11,10502;11,1548;11,16985;11,18693;11,30041;11,40904;11,40904;11,47375;11,50445;11,62673;11,6429;11,70598;11,81426;11,81426;11,92379;12,02702;12,10586;12,12169;12,16917;12,31238;12,31238;12,35513;12,43969;12,47271;12,48649;12,60402;12,6499;12,70413;12,70413;12,78623;12,81393;12,99434;13,06166;13,09;13,10181;13,2101;13,31055;13,31055;13,39413;13,49163;13,57048;13,58224;13,71102;13,71102;13,80752;13,80752;13,98933;14,02952;14,1901;14,2303;14,3511;14,50842;14,61238;14,69112;14,87346;14,91378;15,02311;15,06914;15,18846;15,34199;15,64857;15,68534;15,71253;15,82517;15,96884;16,02226;16,14579;16,17372;16,22486;16,35495;16,39429;16,43372;16,75092;16,8428;17,00815;17,28566;17,41298;17,47004;17,4932;17,61501;17,61501;17,75448;17,76486;17,81084;17,89206;18,01019;18,07042;18,09513;18,17362;18,34916;18,38482;18,43357;18,57321;18,68617;18,76796;18,88788;18,92467;19,08511;19,268;19,3473;19,44785;19,44785;19,61204;19,65411;19,77205;19,80431;19,90887;19,98701;20,0341;20,13109;20,20424;20,55415;20,75225;20,81526;20,82608;20,8746;21,47153;21,47153;21,63049;21,79482;21,99187;22,806;
0,02;1,449779;2,059261;2,296634;2,610951;3,393302;3,572437;3,9693;4,129279;4,467149;4,495804;4,656554;4,889601;4,936799;5,097881;5,397277;5,543445;5,713576;5,784982;5,929746;6,084913;6,25875;6,3852;6,478174;6,5583;6,727045;6,856285;6,927123;6,954589;7,056586;7,095894;7,195662;7,350623;7,512218;7,512218;7,554987;7,60701;7,717059;7,758876;7,859956;7,927506;7,996727;8,094714;8,138297;8,208532;8,208532;8,349689;8,394825;8,394825;8,446489;8,570077;8,586329;8,746371;8,890009;9,077817;9,11035;9,191434;9,299329;9,435643;9,435643;9,5775;9,590586;9,732929;9,787795;9,838849;9,89404;9,950792;10,03679;10,10648;10,18967;10,23836;10,29103;10,52832;10,57492;10,71747;10,75324;10,8726;10,97879;11,01626;11,13123;11,14795;11,28456;11,31708;11,39544;11,47212;11,47212;11,53653;11,64964;11,71976;11,76698;11,7851;11,89875;11,91329;12,09285;12,09285;12,12807;12,25714;12,29277;12,36942;12,44915;12,47744;12,57417;12,59976;12,71391;12,79492;12,80712;12,83644;12,91103;13,01835;13,07213;13,0865;13,2648;13,33789;13,49794;13,53826;13,69755;13,69755;13,72659;13,85983;13,85983;14,0189;14,0308;14,05945;14,09955;14,18947;14,2773;14,31661;14,44954;14,55679;14,5923;14,5923;14,71454;14,85959;14,85959;14,97901;15,09859;15,17772;15,19206;15,35951;15,37147;15,53936;15,56783;15,59852;15,65561;15,77711;15,79452;15,87558;15,93921;15,95055;16,08879;16,1159;16,45382;16,49811;16,57665;16,71251;16,81893;16,8933;16,95944;17,02843;17,11115;17,12558;17,27428;17,37637;17,56936;17,71679;17,87601;17,95417;18,11915;18,11915;18,29167;18,41471;18,51523;19,0565;19,21713;19,23963;19,37511;19,51429;19,85032;20,03834;20,07483;20,4933;20,67628;20,85373;21,18901;21,39209;21,8566;22,05859;22,35308;22,41821;22,79844;22,95627;23,00726;23,19777;23,31654;23,4939;23,61842;23,69283;25,09214;26,61702;27,75803;
0,1375351;0,1375351;1,682621;2,187683;2,368927;2,444959;2,72003;2,919181;3,16585;3,314844;3,500993;3,69988;3,956792;4,318748;4,528488;4,73462;4,920619;5,019469;5,138682;5,246617;5,246617;5,583797;5,744925;6,107182;6,121289;6,306884;6,418466;6,513434;6,861313;6,876383;6,90543;7,026227;7,089522;7,239283;7,346143;7,346143;7,467838;7,543392;7,543392;7,574425;7,668703;7,759183;7,778201;7,825695;7,888834;7,988302;8,087958;8,257295;8,30283;8,31882;8,398026;8,489389;8,489389;8,582779;8,65638;8,717513;8,749562;8,809171;8,885419;8,915934;8,915934;9,046942;9,140058;9,155285;9,155285;9,327141;9,327141;9,406762;9,516167;9,628991;9,727372;9,769517;9,827879;10,02434;10,08606;10,12855;10,18445;10,28749;10,30079;10,44203;10,45567;10,48581;10,5466;10,62794;10,68193;10,7063;10,80685;10,80685;10,94934;10,94934;11,10514;11,16245;11,20784;11,26521;11,34959;11,36263;11,41787;11,41787;11,64712;11,68828;11,71723;11,86722;11,8974;11,9474;12,0355;12,12838;12,15715;12,36713;12,3819;12,56222;12,6464;12,685;12,76622;12,79613;12,90757;12,94624;13,02532;13,06742;13,08126;13,16395;13,17755;13,24321;13,25528;13,36715;13,37983;13,41859;13,45866;13,5642;13,5642;13,64391;13,71874;13,78747;13,82846;13,86683;13,94696;14,06409;14,06409;14,06409;14,1292;14,30131;14,42611;14,43678;14,58636;14,64629;14,8067;14,84654;15,02648;15,04884;15,08486;15,22389;15,24573;15,32186;15,41613;15,56939;15,60907;15,66378;15,67618;15,81631;15,96681;16,18893;16,24652;16,24652;16,28789;16,50888;16,54915;16,57636;16,69904;16,929;17,10833;17,12951;17,20161;17,20161;17,34784;17,4038;17,48603;17,50422;17,66507;17,84473;17,9821;18,00431;18,02771;18,18169;18,31739;18,46302;18,51768;18,76822;18,80826;18,98365;19,10777;19,21581;19,36955;19,62789;19,62789;21,00729;21,1426;21,66426;21,86804;22,123;26,00382;26,22949;
1,543573;2,1699;2,347405;3,168213;3,400558;3,764748;3,86096;3,942993;4,367696;4,367696;4,618817;4,680628;4,927002;5,129392;5,206089;5,329308;5,374874;5,487888;5,545064;5,689737;5,761034;5,914872;6,007033;6,126997;6,157538;6,189348;6,33754;6,41494;6,41494;6,607167;6,666128;6,758771;6,908191;7,06923;7,46454;7,543002;7,626611;7,626611;7,669746;7,7955;7,895016;8,029613;8,146674;8,178931;8,323704;8,340549;8,340549;8,406118;8,483713;8,515503;8,619071;8,700699;8,717069;8,751122;8,802486;8,914749;8,988463;9,004472;9,120819;9,157397;9,417571;9,417571;9,467676;9,568373;9,581282;9,615132;9,741613;9,787317;9,815548;9,929461;9,961787;9,977986;10,1079;10,15545;10,18507;10,24246;10,34174;10,41847;10,47836;10,6377;10,68526;10,71545;10,76168;10,87976;10,87976;10,8965;11,00169;11,04971;11,09519;11,12809;11,20666;11,23751;11,32879;11,32879;11,40318;11,41757;11,54683;11,57616;11,66669;11,80766;11,85561;11,9169;12,0026;12,08808;12,14121;12,24568;12,28627;12,39844;12,42973;12,526;12,57823;12,76019;12,76019;12,77463;12,9961;13,03718;13,18499;13,18499;13,38423;13,40985;13,4473;13,60139;13,62938;13,62938;13,77793;13,77793;13,8602;13,94637;14,07665;14,18345;14,28747;14,38965;14,54148;14,62787;14,80417;14,8166;14,98397;15,10342;15,12619;15,22852;15,26405;15,30632;15,41871;15,50629;15,53478;15,66873;15,8455;16,10975;16,10975;16,28243;16,39856;16,54889;16,65668;16,82883;16,98182;17,00693;17,12401;17,2394;17,38732;17,39827;17,42283;17,56739;17,60854;17,66206;17,70565;17,86331;17,88707;18,04414;18,1178;18,22354;18,28272;18,52732;18,84367;19,18275;19,34908;19,48368;19,72771;19,96153;20,12288;20,26048;20,42969;20,56181;20,92209;21,30342;21,40979;21,80513;22,04943;22,46182;22,96063;23,14353;23,2479;23,38379;23,4052;23,52824;23,72623;24,03968;25,20224;25,20224;26,30397;27,4185;
1,478434;1,779353;3,533605;3,933283;4,133112;4,304217;4,555417;4,739349;4,907499;5,338205;5,518781;5,518781;5,518781;5,695983;5,724414;5,756598;5,87879;5,951342;5,966919;6,056599;6,237958;6,299287;6,539909;6,539909;6,775093;6,775093;6,788696;6,967415;6,995668;7,036056;7,177429;7,296248;7,435187;7,538342;7,833035;7,847829;7,955852;7,955852;8,056742;8,117973;8,132306;8,235937;8,235937;8,337742;8,608024;8,624434;8,786651;8,80444;8,837305;8,918173;9,044446;9,09135;9,09135;9,28829;9,353558;9,403337;9,438568;9,498023;9,587643;9,587643;9,699452;9,74567;9,807171;9,905624;9,938479;9,952623;10,03371;10,11455;10,16527;10,26954;10,63513;10,71787;10,74763;10,7776;10,83248;10,89049;10,93912;10,95289;11,06585;11,11088;11,15961;11,15961;11,29971;11,3764;11,40475;11,52797;11,62446;11,73425;11,85812;11,93825;12,04646;12,12334;12,21788;12,24711;12,36791;12,42842;12,50464;12,59783;12,67097;12,67097;12,74993;12,82572;12,97826;12,97826;12,99193;13,13843;13,13843;13,25587;13,26959;13,35882;13,41614;13,48874;13,55081;13,71851;13,73227;13,83719;14,01771;14,10722;14,15106;14,27057;14,31015;14,39569;14,44784;14,51455;14,59314;14,61868;14,69641;14,77448;14,81526;14,85703;15,00974;15,03866;15,19968;15,23766;15,33438;15,35895;15,42655;15,47898;15,53379;15,71508;15,79715;15,89902;15,9496;16,07867;16,29823;16,33606;16,33606;16,57705;16,83592;16,87473;16,87473;16,99232;17,03912;17,0655;17,17632;17,17632;17,35717;17,39886;17,45346;17,55391;17,64911;17,67705;17,95629;18,13596;18,17719;18,25863;18,36661;18,43669;18,43669;18,47461;18,56876;18,65614;18,75377;18,77741;18,91368;18,97798;19,01854;19,13115;19,15147;19,51812;19,63869;19,87458;20,07519;20,22874;20,38949;20,55637;20,73853;20,85669;21,54994;21,61934;21,77293;22,21637;22,40922;22,61695;23,06704;23,4118;24,33557;25,15431;25,37229;27,73556;
0,1023957;0,1023957;0,1512765;0,8262284;1,683082;1,925017;2,450534;2,64014;2,808315;2,950603;3,072896;3,500431;3,591259;3,722483;3,738204;3,893001;4,219799;4,825972;4,844091;4,879581;5,025491;5,241745;5,323881;5,458333;5,591117;5,591117;5,738293;5,887652;5,972648;6,328918;6,518559;6,696838;6,889918;7,019856;7,151613;7,151613;7,193038;7,307094;7,351762;7,405841;7,524934;7,553534;7,593139;7,593139;7,739588;7,808735;7,849771;7,928129;8,053061;8,12534;8,171638;8,250768;8,302788;8,331116;8,488236;8,502156;8,530029;8,743249;8,75901;8,966511;9,00865;9,181445;9,253345;9,4128;9,485725;9,560318;9,631825;9,647151;9,75683;9,812348;9,879823;10,08272;10,17174;10,251;10,30519;10,35028;10,39201;10,44892;10,50294;10,55211;10,62008;10,6498;10,74029;10,74029;10,86697;10,99035;11,06627;11,14475;11,20915;11,31721;11,42285;11,52364;11,7293;11,80027;11,87159;11,87159;12,06807;12,08051;12,24632;12,29048;12,39006;12,51321;12,51321;12,62489;12,63969;12,71935;12,87237;12,96919;13,01121;13,06547;13,15029;13,24562;13,37079;13,54957;13,62163;13,68949;13,82432;13,83959;14,02019;14,06371;14,21325;14,226;14,27274;14,39277;14,4065;14,46184;14,5702;14,5702;14,70778;14,74788;14,78736;14,82881;14,9135;15,00457;15,06026;15,28146;15,3077;15,5533;15,59309;15,6685;15,71292;15,75349;15,83266;15,90133;15,99242;15,99242;16,11962;16,24697;16,24697;16,28127;16,48572;16,49911;16,64888;16,82943;16,94752;17,03143;17,18814;17,38279;17,47035;17,47035;17,58927;17,60185;17,68871;17,724;17,78161;17,88259;17,96819;18,15368;18,18867;18,31303;18,49065;18,60707;18,75248;19,23318;19,38778;19,41255;19,41255;19,55118;19,64898;19,70602;19,85283;20,12551;20,54705;20,72937;20,86784;20,91318;21,00631;21,07209;21,23202;21,25318;21,38621;21,60517;21,64896;21,96822;22,31189;22,53107;22,73148;23,38767;25,30968;25,68482;
1,841887;2,212743;2,554407;2,834867;3,340308;3,372873;3,692529;4,023819;4,120165;4,28864;4,432656;4,634003;4,943239;4,995172;5,04503;5,143847;5,413119;5,413119;5,533384;5,586909;5,765816;5,931429;6,033448;6,222846;6,284191;6,386959;6,447351;6,592253;6,592253;6,792389;6,853966;6,942619;7,062181;7,106668;7,274096;7,352682;7,412055;7,769593;7,822991;7,930818;8,052833;8,092378;8,214105;8,254165;8,306407;8,386008;8,4657;8,543471;8,543471;8,631509;8,690137;8,765607;8,827142;9,052562;9,065904;9,314676;9,475017;9,475017;9,652503;9,652503;9,741908;9,741908;9,830324;9,874404;9,947762;10,06705;10,15427;10,22592;10,24246;10,24246;10,40508;10,54654;10,67271;10,72209;10,88391;10,90034;10,9944;11,10207;11,17989;11,28616;11,28616;11,30156;11,4222;11,48442;11,50024;11,53101;11,68315;11,70008;11,77503;11,80332;11,90298;11,97116;11,97116;12,0409;12,07066;12,21489;12,25469;12,25469;12,37466;12,41479;12,45464;12,52189;12,60223;12,62999;12,66657;12,75235;12,81469;12,8817;12,9082;13,05508;13,2137;13,30064;13,44684;13,51493;13,6905;13,73048;13,82451;13,87064;14,02687;14,04207;14,15194;14,16394;14,24216;14,24216;14,36596;14,39201;14,52173;14,54968;14,73065;14,82083;14,87399;14,98506;15,02397;15,05099;15,2222;15,27383;15,39179;15,4309;15,55029;15,60297;15,79466;16,14364;16,25038;16,38879;16,45232;16,46566;16,55362;16,6147;16,6147;16,72762;16,76378;16,83417;16,92933;17,0884;17,2133;17,31495;17,40381;17,88806;17,9547;18,14935;18,31478;18,48599;18,54445;18,6677;18,80839;18,80839;18,92884;18,97282;19,09261;19,12449;19,16954;19,23352;19,30282;19,327;19,39017;19,51171;19,53438;19,69232;19,72592;19,84815;19,8944;20,0062;20,17342;20,2665;20,33301;20,38384;20,49006;20,51301;20,64866;20,80754;20,87438;21,25029;21,87253;22,6068;22,68557;22,78766;22,96932;23,314;23,65425;23,68792;
0,1313139;0,1313139;0,1313139;0,5110187;1,830987;2,288207;2,504058;3,066476;3,269982;3,693104;3,847412;3,964796;4,025249;4,193676;4,224064;4,37574;4,690045;4,866233;5,036506;5,155953;5,436553;5,553079;5,807557;5,854639;5,927833;6,049369;6,213697;6,377041;6,405794;6,634079;6,634079;6,851609;6,905423;7,032719;7,194139;7,2658;7,368782;7,45583;7,553818;7,553818;7,846255;8,005881;8,124352;8,217039;8,354157;8,556982;8,589202;8,652919;8,726336;8,786631;8,816754;8,894558;8,923317;8,968088;9,013744;9,07413;9,165971;9,165971;9,224279;9,326181;9,385944;9,463285;9,49441;9,657308;9,657308;9,689661;9,770955;9,876318;9,986777;10,02927;10,13606;10,19716;10,29579;10,32503;10,37415;10,38956;10,5567;10,58692;10,60322;10,67725;10,80315;10,83298;10,94998;10,96676;11,08762;11,08762;11,19465;11,22333;11,2655;11,2942;11,37587;11,47513;11,53164;11,61652;11,68474;11,71218;11,80606;11,83467;11,88722;11,9282;11,97693;12,03285;12,07315;12,11649;12,1431;12,29709;12,37593;12,55277;12,59325;12,6345;12,75274;12,79269;12,95115;12,97697;13,03127;13,06821;13,13283;13,29312;13,41446;13,45483;13,61563;13,61563;13,76995;13,78831;13,81574;13,94701;14,09682;14,23118;14,23118;14,26912;14,36416;14,44222;14,52974;14,54475;14,69209;14,80829;14,89465;14,97483;15,01396;15,09625;15,31126;15,45654;15,57187;15,61007;15,67326;15,71235;15,81258;15,93482;16,01472;16,09069;16,16779;16,19463;16,33484;16,33484;16,47431;16,54776;16,6107;17,03108;17,25444;17,31231;17,40443;17,45541;17,49089;17,51511;17,61512;17,61512;17,71393;17,78666;17,78666;17,81283;17,95607;18,05464;18,11557;18,27333;18,67299;18,71105;18,71105;18,84565;18,97594;19,01423;19,07314;19,19333;19,20624;19,27241;19,39724;19,48983;19,58831;19,84885;20,01409;20,28547;20,42871;21,05614;21,19684;21,37339;21,5393;21,79718;25,85097;26,05456;26,3339;26,53712;
