Personne 0;Personne 1;Personne 2;Personne 3;Personne 4;Personne 5;Personne 6;Personne 7;Personne 8;Personne 9;Personne 10;Personne 11;Personne 12;Personne 13;Personne 14;Personne 15;Personne 16;Personne 17;Personne 18;Personne 19;Personne 20;Personne 21;Personne 22;Personne 23;Personne 24;Personne 25;Personne 26;Personne 27;Personne 28;Personne 29;Personne 30;Personne 31;Personne 32;Personne 33;Personne 34;Personne 35;Personne 36;Personne 37;Personne 38;Personne 39;Personne 40;Personne 41;Personne 42;Personne 43;Personne 44;Personne 45;Personne 46;Personne 47;Personne 48;Personne 49;Personne 50;Personne 51;Personne 52;Personne 53;Personne 54;Personne 55;Personne 56;Personne 57;Personne 58;Personne 59;Personne 60;Personne 61;Personne 62;Personne 63;Personne 64;Personne 65;Personne 66;Personne 67;Personne 68;Personne 69;Personne 70;Personne 71;Personne 72;Personne 73;Personne 74;Personne 75;Personne 76;Personne 77;Personne 78;Personne 79;Personne 80;Personne 81;Personne 82;Personne 83;Personne 84;Personne 85;Personne 86;Personne 87;Personne 88;Personne 89;Personne 90;Personne 91;Personne 92;Personne 93;Personne 94;Personne 95;Personne 96;Personne 97;Personne 98;Personne 99;Personne 100;Personne 101;Personne 102;Personne 103;Personne 104;Personne 105;Personne 106;Personne 107;Personne 108;Personne 109;Personne 110;Personne 111;Personne 112;Personne 113;Personne 114;Personne 115;Personne 116;Personne 117;Personne 118;Personne 119;Personne 120;Personne 121;Personne 122;Personne 123;Personne 124;Personne 125;Personne 126;Personne 127;Personne 128;Personne 129;Personne 130;Personne 131;Personne 132;Personne 133;Personne 134;Personne 135;Personne 136;Personne 137;Personne 138;Personne 139;Personne 140;Personne 141;Personne 142;Personne 143;Personne 144;Personne 145;Personne 146;Personne 147;Personne 148;Personne 149;Personne 150;Personne 151;Personne 152;Personne 153;Personne 154;Personne 155;Personne 156;Personne 157;Personne 158;Personne 159;Personne 160;Personne 161;Personne 162;Personne 163;Personne 164;Personne 165;Personne 166;Personne 167;Personne 168;Personne 169;Personne 170;Personne 171;Personne 172;Personne 173;Personne 174;Personne 175;Personne 176;Personne 177;Personne 178;Personne 179;Personne 180;Personne 181;Personne 182;Personne 183;Personne 184;Personne 185;Personne 186;Personne 187;Personne 188;Personne 189;Personne 190;Personne 191;Personne 192;Personne 193;Personne 194;Personne 195;Personne 196;Personne 197;Personne 198;Personne 199;
0,02;0,3733333;0,5529121;0,8863347;1,792132;2,559537;2,59089;2,7578;2,934078;2,970137;3,199182;3,199182;3,415767;3,415767;3,572764;3,72544;3,8714;3,966464;4,099216;4,150133;4,298251;4,37651;4,437921;4,614068;4,733547;4,733547;4,919175;4,919175;5,013789;5,059624;5,177311;5,235785;5,248674;5,388173;5,495473;5,535523;5,606615;5,739299;5,815699;5,938786;6,059164;6,059164;6,27553;6,356145;6,395825;6,478325;6,559268;6,69704;6,798417;6,812307;7,010223;7,056318;7,219687;7,276857;7,407852;7,436566;7,596912;7,717802;7,816805;8,278548;8,324213;8,355867;8,496042;8,551364;8,679169;8,708127;8,836665;8,89478;8,89478;9,04762;9,136184;9,276125;9,347578;9,515517;9,599327;9,699117;9,815023;9,914447;9,939396;10,05842;10,05842;10,16632;10,23561;10,35605;10,46679;10,5396;10,55166;10,7338;10,74701;10,77512;10,84918;10,90537;10,98;11,03908;11,06959;11,09493;11,17083;11,2139;11,29641;11,38524;11,41663;11,4543;11,50598;11,58961;11,6175;11,63038;11,75584;11,81867;11,89555;11,9561;12,04601;12,04601;12,12676;12,25684;12,29689;12,33687;12,39999;12,4533;12,4967;12,57716;12,61664;12,77093;12,77093;12,9132;12,93954;12,98881;13,1782;13,1782;13,25517;13,40795;13,44813;13,47581;13,57668;13,62852;13,73372;13,77283;13,91632;13,95615;13,95615;14,09829;14,17878;14,22696;14,31468;14,33869;14,43147;14,49234;14,62993;14,65851;14,79581;14,83109;14,9898;15,01413;15,09795;15,13506;15,2378;15,2378;15,39145;15,43001;15,51585;15,5993;15,5993;15,79482;15,79482;15,8592;16,05456;16,07658;16,1511;16,27942;16,31865;16,35606;16,39323;16,51874;16,61822;16,65943;16,74818;16,82696;16,85298;16,95799;17,0556;17,07822;17,27311;17,3586;17,47355;17,49633;17,55346;17,6773;17,81176;17,833;18,07986;18,11497;18,26924;18,33806;18,57375;18,57375;18,73695;19,31642;19,40868;19,67775;19,79321;21,41589;
0,9242132;1,383645;1,719772;2,070084;2,070084;2,243655;2,445524;2,63219;2,77052;2,98205;3,061475;3,172289;3,220152;3,422908;3,516328;3,656823;3,748481;3,860856;3,921167;4,008932;4,170548;4,201852;4,250009;4,402186;4,434299;4,471128;4,607145;4,643014;4,74193;4,74193;4,891412;4,891412;5,218248;5,269423;5,385966;5,40304;5,569497;5,601653;5,73601;5,77086;5,903598;6,210631;6,34071;6,391774;6,524242;6,559728;6,657605;6,690353;6,876274;6,959555;6,976578;7,011905;7,195357;7,279383;7,504663;7,589883;7,603428;7,7961;7,991575;8,135101;8,201082;8,270108;8,365534;8,460012;8,510102;8,590727;8,62202;8,750255;8,829206;8,921508;9,001461;9,11136;9,301693;9,331722;9,490448;9,503627;9,669395;9,683887;9,840318;9,990278;10,01993;10,03496;10,07112;10,2007;10,23226;10,32316;10,44912;10,54182;10,54182;10,66901;10,6997;10,8877;10,8877;10,92864;10,92864;11,08233;11,12435;11,12435;11,22734;11,28228;11,33136;11,48864;11,48864;11,56987;11,59859;11,71244;11,74417;11,92046;11,9486;12,03195;12,04453;12,10034;12,24186;12,28275;12,29807;12,50316;12,59981;12,62852;12,70606;12,76993;12,82906;12,92561;12,98689;13,04906;13,0718;13,24984;13,2623;13,30787;13,40082;13,45251;13,51194;13,54876;13,58785;13,72567;13,72567;13,82887;13,92038;13,9475;14,08941;14,08941;14,14832;14,32454;14,44979;14,44979;14,44979;14,58708;14,68322;14,79052;14,81822;14,81822;14,96899;15,03009;15,09238;15,22946;15,31978;15,36916;15,46868;15,50523;15,67251;15,70893;15,76633;15,82531;15,92886;15,95249;16,14704;16,24927;16,39227;16,45182;16,54918;16,56106;16,72149;16,81129;16,94775;17,01025;17,13168;17,23018;17,32038;17,36972;17,40462;17,6087;17,64588;17,76531;17,78737;17,89202;18,10783;18,13051;18,36587;18,46656;18,68645;18,98787;19,10477;19,1911;19,20252;19,4699;19,67034;19,92526;19,97153;21,22883;21,6063;22,22908;
0,9733055;1,244184;1,431988;2,02135;2,298693;2,470034;2,619085;2,969923;3,002923;3,142673;3,244384;3,431461;3,520465;3,576398;3,613336;3,700194;3,900788;3,981761;4,082131;4,150826;4,432485;4,432485;4,565548;4,666513;4,763692;4,859591;5,058827;5,111438;5,228;5,542508;5,559211;5,612576;5,746078;5,76228;5,945795;5,980179;6,11109;6,161543;6,225177;6,225177;6,336558;6,370989;6,559889;6,610756;6,693283;6,802382;6,819356;7,000758;7,101709;7,220883;7,410763;7,732;7,732;7,980231;8,012104;8,125474;8,222541;8,370067;8,431271;8,612269;8,691397;8,727574;8,846169;8,862455;8,932273;9,050202;9,144561;9,179491;9,245228;9,390861;9,471294;9,547409;9,56321;9,612691;9,752817;9,752817;9,850829;9,970296;10,00732;10,06475;10,19026;10,22076;10,3116;10,45365;10,46654;10,60661;10,65265;10,69836;10,73133;10,79365;10,90073;11,01329;11,01329;11,10918;11,12347;11,20134;11,31142;11,37309;11,37309;11,44943;11,60491;11,63301;11,70403;11,78557;11,83187;11,90324;11,9895;12,02493;12,06385;12,13225;12,21202;12,25116;12,33057;12,33057;12,44931;12,4887;12,60952;12,68856;12,74639;12,77052;12,82746;12,92905;12,92905;13,13003;13,14249;13,17117;13,26527;13,39037;13,39037;13,4728;13,4728;13,60951;13,60951;13,64764;13,76927;13,80782;13,93138;13,94433;13,97348;14,12751;14,15304;14,19087;14,2235;14,26932;14,37016;14,40469;14,42861;14,56496;14,64369;14,6671;14,71131;14,81097;14,91283;14,94574;14,99103;15,14167;15,16887;15,26818;15,43158;15,50775;15,57052;15,64814;15,71197;15,84967;15,96101;16,10996;16,1479;16,26739;16,38522;16,42894;16,52744;16,62519;16,76879;16,82774;16,94561;17,15092;17,15092;17,20849;17,34666;17,56243;17,64677;17,88351;17,98861;18,03146;18,07215;18,24198;18,33257;18,47193;18,47193;18,68738;18,9327;19,46741;19,46741;19,73252;19,88834;20,02645;20,19078;20,2935;21,29177;21,52902;
0,2075699;2,099503;2,285916;2,631473;2,690664;2,892895;3,059011;3,152288;3,226643;3,242721;3,411143;3,522157;3,572584;3,588354;3,692291;3,763701;3,864613;3,945453;4,181841;4,311625;4,360624;4,462895;4,611773;4,726013;4,860825;4,92639;5,043966;5,078925;5,140112;5,322121;5,372923;5,486498;5,584478;5,639103;5,739861;5,79215;5,952804;5,966699;6,174659;6,174659;6,290945;6,442457;6,49263;6,521353;6,720698;6,806424;6,964234;7,066436;7,242328;7,33175;7,405105;7,420917;7,452301;7,57092;7,63122;7,63122;7,721469;7,811412;7,892553;7,990543;8,072384;8,231364;8,245474;8,290903;8,450762;8,450762;8,590596;8,686187;8,75261;8,879044;8,930453;9,070731;9,085928;9,152858;9,270536;9,329959;9,406972;9,406972;9,585096;9,601136;9,72518;9,805073;9,838702;9,872161;9,970697;10,07136;10,10079;10,13103;10,1598;10,24568;10,30367;10,3631;10,37977;10,42276;10,58736;10,58736;10,58736;10,732;10,77351;10,84062;10,95018;11,02692;11,08517;11,20907;11,20907;11,27324;11,34659;11,36952;11,52472;11,52472;11,58913;11,66445;11,7328;11,83133;11,83133;11,96952;12,0081;12,06825;12,14834;12,28903;12,28903;12,33285;12,46919;12,50997;12,5828;12,60738;12,75048;12,82297;12,89201;13,00994;13,00994;13,02127;13,17362;13,18646;13,3131;13,36293;13,3883;13,3883;13,52387;13,59207;13,59207;13,64449;13,7206;13,85072;13,9276;13,99244;13,99244;14,07083;14,1526;14,24309;14,32099;14,34876;14,48757;14,65222;14,65222;14,77025;14,92521;15,01347;15,023;15,17341;15,22658;15,34844;15,53092;15,53092;15,58851;15,76891;15,82907;15,92758;16,05187;16,1467;16,17167;16,32484;16,37083;16,42859;16,54644;16,60859;16,69364;16,74986;16,84828;16,84828;17,01265;17,3137;17,4854;17,56769;17,65198;17,68938;17,84516;17,86951;17,97144;18,13236;18,14293;18,35212;18,52956;18,63224;18,69024;18,75079;19,1665;19,44278;20,10875;22,11115;
1,931736;2,250461;2,31054;2,729629;3,004911;3,140872;3,205285;3,425607;3,495516;3,671815;3,723504;3,792584;3,942733;4,189859;4,189859;4,290525;4,304894;4,444285;4,59771;4,699912;4,803075;4,803075;4,837788;5,035615;5,070889;5,172518;5,222372;5,303916;5,371683;5,456061;5,504588;5,65553;5,65553;5,757034;5,872756;5,885951;5,991867;6,007188;6,112769;6,112769;6,321206;6,321206;6,618106;6,747132;6,747132;7,030671;7,043967;7,090841;7,184885;7,201061;7,261276;7,457606;7,63777;7,689263;7,850506;7,992838;8,023588;8,185701;8,202054;8,219354;8,397966;8,461111;8,628826;8,671793;8,783307;8,891635;9,080667;9,130662;9,209559;9,209559;9,310987;9,369856;9,457907;9,558617;9,558617;9,619552;9,729465;9,759555;9,789369;9,889464;9,954358;10,00127;10,13203;10,13203;10,31151;10,36877;10,40946;10,53269;10,54574;10,59209;10,69058;10,71869;10,78895;10,86062;11,01171;11,17168;11,17168;11,31057;11,37839;11,43215;11,51223;11,56918;11,62751;11,68324;11,7692;11,78191;11,87936;11,95021;11,96254;12,03167;12,12836;12,20925;12,20925;12,25069;12,37128;12,39859;12,46917;12,52319;12,52319;12,65062;12,65062;12,80008;12,82984;12,89011;12,96089;13,10168;13,13235;13,14623;13,25216;13,31033;13,31033;13,36933;13,47002;13,5431;13,63024;13,63024;13,7916;13,7916;13,82049;13,97007;13,97007;14,10789;14,10789;14,28706;14,28706;14,29855;14,39224;14,52315;14,58629;14,64339;14,64339;14,78806;14,8127;14,90725;14,93151;15,02555;15,09206;15,17105;15,17105;15,27184;15,3058;15,40884;15,50913;15,60624;15,63206;15,64228;15,70633;15,79225;15,86666;15,96765;15,96765;16,02996;16,14718;16,22922;16,28646;16,44927;16,67044;16,72756;16,84738;16,88936;16,98956;17,16608;17,27196;17,30579;17,60647;17,66747;17,81163;17,87096;18,10968;18,19262;18,36929;18,58589;18,62199;18,77092;18,96816;19,28666;19,57052;19,63027;19,98496;21,54837;
0,9575114;1,058256;1,75878;1,95911;2,119035;2,119035;2,367753;2,412178;2,591528;2,838539;2,890604;3,077441;3,258524;3,349744;3,513555;3,598365;3,72606;3,88834;3,955727;3,991254;4,057129;4,170496;4,225197;4,4245;4,659952;4,69119;4,850633;4,932578;5,08602;5,223907;5,325753;5,325753;5,50458;5,553824;5,653231;5,939417;6,09329;6,237847;6,2692;6,305086;6,464935;6,464935;6,546858;6,64885;6,718149;6,718149;6,897774;7,087428;7,134106;7,21913;7,298721;7,407136;7,42439;7,556105;7,603138;7,747521;7,844328;7,939602;8,017996;8,162382;8,196863;8,276961;8,323842;8,464295;8,497394;8,638266;8,719072;8,831106;8,847582;8,991555;8,991555;9,117755;9,198854;9,328725;9,346582;9,446041;9,559926;9,559926;9,749197;9,796992;9,951013;10,0138;10,07549;10,07549;10,15954;10,23707;10,33019;10,34614;10,39252;10,47124;10,53396;10,56652;10,6158;10,75055;10,76506;10,84608;10,96603;10,96603;11,02809;11,05957;11,15016;11,1658;11,27696;11,33811;11,3515;11,39923;11,53537;11,57943;11,63543;11,75898;11,78625;11,81708;11,831;11,93634;12,01609;12,05592;12,09589;12,10778;12,19798;12,24807;12,31459;12,39537;12,49217;12,58595;12,58595;12,65739;12,73709;12,77866;12,93374;12,93374;12,95953;13,01102;13,15446;13,1788;13,19078;13,30896;13,33672;13,42882;13,51822;13,65476;13,65476;13,73057;13,79372;13,91939;13,93139;14,0924;14,14995;14,17499;14,29858;14,33252;14,41552;14,51572;14,65672;14,71993;14,77356;14,9173;14,99431;15,00622;15,0588;15,19331;15,19331;15,26846;15,29516;15,39384;15,51814;15,52837;15,55318;15,55318;15,66874;15,7347;15,79278;15,81542;15,91982;15,97892;16,25422;16,33896;16,4563;16,66827;16,73649;16,793;17,01759;17,15929;17,15929;17,37904;17,45814;17,79427;17,81792;17,91251;18,05346;18,17221;18,2934;18,3585;18,57846;18,97422;19,19698;19,51892;19,67776;20,87628;21,95697;24,33006;
0,02;0,4958772;0,5253571;1,766621;1,938831;2,355475;2,415063;2,789766;2,99012;3,007534;3,211549;3,259358;3,273983;3,408067;3,459729;3,630356;3,769864;3,850064;3,987068;4,089951;4,24539;4,297696;4,363767;4,428337;4,558195;4,608524;4,674397;4,726963;4,726963;4,847171;4,863852;4,932621;5,154819;5,299636;5,44758;5,491865;5,667915;5,68349;5,799974;5,93032;5,93032;6,099291;6,15063;6,248783;6,2655;6,348036;6,497854;6,497854;6,513179;6,699392;6,712937;6,763642;6,798317;6,909025;7,03901;7,116862;7,19657;7,495814;7,817192;7,930774;7,997805;7,997805;8,097207;8,236047;8,236047;8,365674;8,599307;8,627816;8,758475;8,952607;9,066835;9,096871;9,337056;9,509897;9,591381;9,68809;9,735154;9,886434;9,929098;10,05911;10,07329;10,19847;10,31575;10,34611;10,49976;10,49976;10,55424;10,73915;10,73915;10,77925;10,81967;10,95922;10,97118;11,05657;11,05657;11,14875;11,14875;11,30825;11,33562;11,38796;11,38796;11,53642;11,5784;11,63849;11,77982;11,77982;11,81903;11,83279;11,97278;12,05955;12,05955;12,08801;12,19779;12,23726;12,27888;12,35794;12,39744;12,56721;12,59464;12,63684;12,67732;12,75941;12,83912;12,91675;13,03958;13,03958;13,07756;13,13554;13,25838;13,27027;13,39635;13,43396;13,55212;13,63593;13,71524;13,73747;13,81622;13,87438;13,90833;13,99334;14,05772;14,05772;14,13398;14,17292;14,29971;14,33605;14,3745;14,43917;14,51979;14,61533;14,67618;14,72722;14,91227;14,93649;14,99665;15,03637;15,10734;15,23641;15,31149;15,41764;15,53192;15,53192;15,6549;15,67553;15,81413;15,85796;15,89328;16,01781;16,09279;16,15703;16,2743;16,2743;16,32695;16,39803;16,57973;16,68819;16,75795;16,79459;16,85673;17,0124;17,0124;17,05991;17,05991;17,27707;17,27707;17,45087;17,48864;17,63961;17,67527;17,73623;17,77796;17,83802;18,04696;18,09856;18,21877;18,33464;18,49811;20,35798;22,49393;22,73902;
0,8227131;1,097917;1,80101;2,408687;2,438341;2,64104;2,720886;2,908103;3,057236;3,226701;3,323756;3,323756;3,52283;3,64926;4,088938;4,088938;4,347245;4,522229;4,808312;4,840544;4,942074;5,042623;5,109476;5,178174;5,24711;5,24711;5,446822;5,497234;5,548178;5,668971;5,867626;5,900142;5,967929;6,078793;6,215281;6,508861;6,679862;6,73316;6,828293;7,009272;7,108113;7,245436;7,387051;7,586733;7,652969;7,814801;7,907502;7,988743;7,988743;8,228255;8,228255;8,228255;8,469038;8,469038;8,595344;8,658545;8,806325;8,806325;8,94637;8,994341;9,04528;9,13939;9,155909;9,205423;9,236218;9,346007;9,457329;9,506769;9,645583;9,658279;9,70242;9,779686;9,843979;9,900728;9,949471;9,962009;10,10658;10,15093;10,20623;10,26623;10,29512;10,37392;10,50788;10,53661;10,61981;10,61981;10,76618;10,76618;10,9414;10,98554;10,98554;11,03809;11,14446;11,15692;11,28268;11,32727;11,39721;11,42521;11,48095;11,48095;11,60408;11,66931;11,68192;11,80859;11,83576;11,9212;11,94799;12,02751;12,0677;12,12105;12,22693;12,22693;12,34952;12,4489;12,48593;12,56834;12,58093;12,6689;12,6689;12,77673;12,85614;12,85614;12,92477;12,96273;13,06727;13,06727;13,18294;13,24844;13,25998;13,28925;13,42813;13,46828;13,50679;13,62433;13,66445;13,70417;13,74328;13,83505;13,9008;13,9008;13,92917;14,14566;14,18212;14,32842;14,36254;14,40685;14,50882;14,56219;14,70858;14,82451;14,86289;14,86289;15,0082;15,08331;15,10722;15,14853;15,16019;15,28374;15,35659;15,38364;15,44559;15,5584;15,62062;15,78355;15,78355;15,80813;15,88511;16,01822;16,08271;16,20614;16,21972;16,38952;16,50409;16,72459;16,72459;16,80519;16,88618;17,02334;17,0684;17,0684;17,13912;17,24145;17,38377;17,48431;17,56118;17,62846;17,91805;18,04272;18,06598;18,14633;18,36763;18,44831;18,78643;19,82261;20,44775;20,64685;20,84942;21,06433;21,43963;21,70424;
0,1906006;0,8583882;1,213273;1,500355;1,619628;1,730028;1,912636;2,099383;2,333158;2,652329;2,791912;2,806869;3,023602;3,107303;3,267382;3,383437;3,585685;3,68526;3,743771;3,873266;3,885794;4,057964;4,170512;4,233657;4,351746;4,513314;4,590486;4,814102;4,863349;4,879491;4,961795;5,045044;5,172503;5,313095;5,424081;5,521801;5,568685;5,586173;5,752535;5,752535;5,767571;5,979634;5,979634;6,043532;6,108413;6,239037;6,272279;6,368122;6,384794;6,559332;6,673485;6,673485;6,831001;6,892391;7,044978;7,112469;7,253853;7,302312;7,318028;7,423419;7,473745;7,532817;7,642365;7,757953;7,823873;7,958737;8,007598;8,104519;8,231051;8,245209;8,310917;8,453747;8,592888;8,624949;8,690282;8,708164;8,851267;8,926756;8,943681;9,113703;9,113703;9,261381;9,289662;9,371902;9,546851;9,674056;9,728371;9,872668;9,885705;9,965569;9,965569;10,043;10,08808;10,22929;10,22929;10,31344;10,41226;10,42606;10,47378;10,57095;10,57095;10,70503;10,78145;10,85159;10,89142;11,0289;11,0537;11,25172;11,25172;11,42832;11,53152;11,58354;11,61013;11,80308;11,83403;11,83403;11,8627;12,01158;12,02392;12,10982;12,17385;12,1855;12,30598;12,38562;12,41149;12,46455;12,59255;12,59255;12,66184;12,77404;12,86857;13,07242;13,15044;13,18908;13,18908;13,34205;13,36865;13,46775;13,53281;13,53281;13,69069;13,72922;13,76964;13,80751;13,91402;13,91402;14,0091;14,09114;14,19143;14,28294;14,31019;14,39175;14,4042;14,54231;14,64073;14,71217;14,7622;14,81272;14,85119;14,9528;15,06407;15,09004;15,15151;15,25125;15,3094;15,43278;15,55205;15,55205;15,72787;15,75077;15,84617;15,88461;15,96235;16,10859;16,17079;16,20811;16,27103;16,3335;16,43288;16,43288;16,55343;17,27133;17,45257;17,692;17,70342;17,89157;17,96945;18,23115;18,34864;18,58759;18,65201;18,82748;18,9914;19,14704;19,21346;19,29075;19,84704;20,07156;20,19001;21,44732;
0,1221689;1,092906;1,433064;1,785241;2,03435;2,135714;2,355871;2,443625;2,555529;2,724217;2,891791;3,173895;3,186914;3,494316;3,494316;3,494316;3,685667;3,714322;3,848636;3,92522;3,92522;4,034181;4,15279;4,27581;4,427453;4,462085;4,650328;4,734993;4,734993;4,835021;4,954263;4,954263;5,102827;5,167404;5,201384;5,201384;5,415071;5,415071;5,501426;5,564127;5,595756;5,715407;5,8635;5,879989;5,992841;6,183079;6,183079;6,199669;6,312365;6,373617;6,453988;6,503105;6,66438;6,730112;6,763212;6,893599;6,986767;7,282483;7,312324;7,411672;7,411672;7,54477;7,634351;7,764488;7,808212;7,834093;8,008727;8,164214;8,23366;8,563022;8,671267;8,811675;8,973607;9,001992;9,183214;9,215208;9,423556;9,709394;9,803399;9,865891;9,915107;10,01327;10,09487;10,10936;10,18739;10,31164;10,32463;10,40565;10,46483;10,57481;10,60462;10,71514;10,7288;10,76095;10,88242;10,91485;10,96211;11,07329;11,12086;11,2446;11,27581;11,28909;11,363;11,49544;11,58358;11,61454;11,67488;11,71574;11,77101;11,81025;11,86167;12,01572;12,01572;12,09171;12,09171;12,22459;12,24078;12,44435;12,44435;12,50602;12,64516;12,7512;12,79419;12,79419;12,83423;12,93452;13,03;13,09501;13,14642;13,2306;13,25391;13,35534;13,41161;13,45377;13,56213;13,67122;13,70706;13,7955;13,86577;13,97063;13,97063;14,03517;14,20662;14,28628;14,3519;14,4522;14,53192;14,53192;14,75304;14,76462;14,79319;14,84381;15,01199;15,01199;15,16303;15,25313;15,37368;15,47425;15,50822;15,69172;15,75141;15,8454;16,03031;16,03031;16,05494;16,27464;16,31023;16,39444;16,55224;16,65257;16,71317;16,83277;16,93274;16,98924;17,04823;17,21315;17,24933;17,24933;17,43353;17,52908;17,59399;17,74873;17,84746;17,84746;17,95468;18,01144;18,11237;18,30936;18,30936;18,38527;18,55365;18,55365;18,70919;18,74384;18,81382;19,11162;19,26477;19,3695;19,90828;20,47285;
