Personne 0;Personne 1;Personne 2;Personne 3;Personne 4;Personne 5;Personne 6;Personne 7;Personne 8;Personne 9;Personne 10;Personne 11;Personne 12;Personne 13;Personne 14;Personne 15;Personne 16;Personne 17;Personne 18;Personne 19;Personne 20;Personne 21;Personne 22;Personne 23;Personne 24;Personne 25;Personne 26;Personne 27;Personne 28;Personne 29;Personne 30;Personne 31;Personne 32;Personne 33;Personne 34;Personne 35;Personne 36;Personne 37;Personne 38;Personne 39;Personne 40;Personne 41;Personne 42;Personne 43;Personne 44;Personne 45;Personne 46;Personne 47;Personne 48;Personne 49;Personne 50;Personne 51;Personne 52;Personne 53;Personne 54;Personne 55;Personne 56;Personne 57;Personne 58;Personne 59;Personne 60;Personne 61;Personne 62;Personne 63;Personne 64;Personne 65;Personne 66;Personne 67;Personne 68;Personne 69;Personne 70;Personne 71;Personne 72;Personne 73;Personne 74;Personne 75;Personne 76;Personne 77;Personne 78;Personne 79;Personne 80;Personne 81;Personne 82;Personne 83;Personne 84;Personne 85;Personne 86;Personne 87;Personne 88;Personne 89;Personne 90;Personne 91;Personne 92;Personne 93;Personne 94;Personne 95;Personne 96;Personne 97;Personne 98;Personne 99;Personne 100;Personne 101;Personne 102;Personne 103;Personne 104;Personne 105;Personne 106;Personne 107;Personne 108;Personne 109;Personne 110;Personne 111;Personne 112;Personne 113;Personne 114;Personne 115;Personne 116;Personne 117;Personne 118;Personne 119;Personne 120;Personne 121;Personne 122;Personne 123;Personne 124;Personne 125;Personne 126;Personne 127;Personne 128;Personne 129;Personne 130;Personne 131;Personne 132;Personne 133;Personne 134;Personne 135;Personne 136;Personne 137;Personne 138;Personne 139;Personne 140;Personne 141;Personne 142;Personne 143;Personne 144;Personne 145;Personne 146;Personne 147;Personne 148;Personne 149;Personne 150;Personne 151;Personne 152;Personne 153;Personne 154;Personne 155;Personne 156;Personne 157;Personne 158;Personne 159;Personne 160;Personne 161;Personne 162;Personne 163;Personne 164;Personne 165;Personne 166;Personne 167;Personne 168;Personne 169;Personne 170;Personne 171;Personne 172;Personne 173;Personne 174;Personne 175;Personne 176;Personne 177;Personne 178;Personne 179;Personne 180;Personne 181;Personne 182;Personne 183;Personne 184;Personne 185;Personne 186;Personne 187;Personne 188;Personne 189;Personne 190;Personne 191;Personne 192;Personne 193;Personne 194;Personne 195;Personne 196;Personne 197;Personne 198;Personne 199
0,02;0,4382711;1,038416;1,35375;2,018507;2,272062;2,387032;2,469491;2,548714;2,653703;2,849829;3,170496;3,224565;3,345309;3,377773;3,559192;3,798084;3,811171;3,957329;4,22666;4,338041;4,384655;4,570154;4,596615;4,596615;4,809;4,856499;4,886649;5,023479;5,130414;5,176006;5,436958;5,519825;5,598358;5,676468;5,82815;5,84666;5,965761;6,016848;6,218265;6,29986;6,334261;6,454033;6,55863;6,659011;6,747514;6,778589;6,778589;7,014938;7,014938;7,178421;7,268072;7,380718;7,479285;7,506872;7,579809;7,707685;7,799262;7,97794;8,078562;8,091522;8,21635;8,379725;8,45597;8,530621;8,576561;8,67956;8,754784;8,898808;8,938913;9,055875;9,115904;9,115904;9,232926;9,326187;9,343397;9,437344;9,529988;9,557028;9,717788;9,794441;9,851626;9,967546;10,03965;10,10942;10,12485;10,29314;10,29314;10,35663;10,49087;10,52533;10,65438;10,65438;10,67045;10,74552;10,82451;10,97238;10,98838;11,01794;11,07825;11,15556;11,27415;11,319;11,33398;11,33398;11,46963;11,46963;11,59189;11,60737;11,72629;11,75634;11,81573;11,93673;11,95154;12,05783;12,07353;12,24727;12,27969;12,35812;12,40607;12,5178;12,56502;12,59774;12,59774;12,74936;12,83539;12,83539;13,0162;13,07781;13,218;13,218;13,25485;13,31648;13,4154;13,4397;13,57873;13,57873;13,69588;13,76838;13,81432;13,81432;13,97572;14,01479;14,11737;14,13082;14,2244;14,29916;14,3788;14,45606;14,50702;14,63809;14,69944;14,75684;14,86824;14,89195;15,05886;15,05886;15,16922;15,23166;15,27443;15,35698;15,37109;15,53632;15,57645;15,6562;15,74938;15,80817;15,89808;15,89808;15,99074;16,03122;16,13009;16,20743;16,2582;16,37431;16,38736;16,53999;16,69731;16,75598;16,87936;17,05567;17,10951;17,15048;17,29771;17,43978;17,5374;17,59805;17,67734;17,77817;17,89992;17,89992;18,11357;18,11357;18,25057;18,57814;19,05721;19,33666;19,63592;20,87436;21,01534
1,506643;2,324131;2,586244;2,719643;2,928452;3,04124;3,086907;3,247196;3,288908;3,554388;3,650391;3,741885;3,784639;3,825569;3,92734;3,963426;4,138694;4,189183;4,289597;4,369696;4,478855;4,539947;4,588243;4,727399;4,727399;4,897913;4,961627;5,149805;5,197916;5,262476;5,324371;5,37062;5,602115;5,650598;5,729431;5,808774;5,855782;5,888271;5,988575;6,109489;6,124172;6,248498;6,341065;6,387005;6,475699;6,68788;6,806548;6,881348;7,049493;7,149503;7,163827;7,317502;7,395591;7,498002;7,560426;7,698429;7,729453;7,970166;8,049777;8,079801;8,161158;8,340251;8,389458;8,549699;8,549699;8,729654;8,776986;8,81047;8,876402;8,994333;9,060297;9,077091;9,160599;9,241003;9,290092;9,338104;9,47965;9,549772;9,706212;9,867896;10,05049;10,0621;10,16161;10,20682;10,24923;10,36586;10,40927;10,46779;10,50917;10,64728;10,65804;10,70292;10,82475;10,86764;10,94007;10,99701;11,16953;11,19853;11,27064;11,28309;11,38056;11,42516;11,48162;11,54126;11,55749;11,68538;11,69806;11,74856;11,85628;11,85628;11,88854;12,00761;12,06152;12,14279;12,20842;12,20842;12,27061;12,40019;12,42747;12,4443;12,46495;12,65041;12,68014;12,727;12,78001;12,84586;12,9375;13,01982;13,04732;13,18441;13,2636;13,2636;13,29006;13,35752;13,42465;13,54659;13,54659;13,64183;13,67055;13,78982;13,78982;13,90691;13,94482;14,08397;14,10829;14,26298;14,30905;14,38723;14,4502;14,52296;14,66256;14,66256;14,82487;14,9646;15,00371;15,03016;15,14592;15,2005;15,22692;15,22692;15,32685;15,4255;15,4384;15,67071;15,69934;15,76949;15,78034;15,88812;16,00409;16,02778;16,16552;16,18922;16,363;16,38923;16,46322;16,58838;16,70666;16,72699;16,8446;16,86771;17,03907;17,30629;17,32902;17,43062;17,56968;17,78821;17,98571;18,28342;18,34377;18,84422;19,01006;19,08286;19,32784;20,77026;20,92538;20,92538;21,38803;21,48494;21,80551;25,85065
1,144185;1,448468;1,448468;1,536338;1,724963;1,724963;2,240052;2,615315;2,768703;2,784494;3,00763;3,00763;3,140962;3,17527;3,355895;3,387458;3,550056;3,660187;3,761135;3,868316;3,955194;4,116535;4,209159;4,209159;4,301589;4,316372;4,500053;4,556786;4,588423;4,627313;4,788726;4,867851;5,046803;5,136955;5,231796;5,266304;5,408477;5,527123;5,57403;5,827914;6,028069;6,088756;6,228096;6,257335;6,436165;6,436165;6,649749;6,727885;6,847287;7,059091;7,282129;7,40684;7,542218;7,707799;7,707799;7,73642;7,949658;7,963073;8,026916;8,058229;8,248667;8,319226;8,349487;8,363338;8,506493;8,537399;8,705535;8,747261;8,903346;8,960512;9,06154;9,108026;9,218223;9,218223;9,317481;9,334633;9,44861;9,478864;9,521939;9,649283;9,663889;9,740858;9,846428;9,846428;9,94748;10,03002;10,16595;10,2497;10,2497;10,34878;10,40084;10,51003;10,5657;10,64678;10,78554;10,84846;10,92178;10,98963;11,04485;11,09725;11,17797;11,26452;11,4059;11,4059;11,5588;11,58989;11,66834;11,72989;11,82928;11,82928;11,94177;11,98493;12,02695;12,02695;12,20922;12,20922;12,26096;12,36813;12,4254;12,50593;12,54676;12,58595;12,66252;12,7287;12,78312;12,86423;12,90772;12,98919;13,06476;13,08941;13,14983;13,21551;13,33829;13,3661;13,4212;13,45003;13,56883;13,58148;13,62499;13,74463;13,7963;13,7963;13,84145;13,95952;13,99918;14,15959;14,18636;14,18636;14,29959;14,35007;14,42625;14,42625;14,52485;14,59815;14,66346;14,76828;14,76828;14,84796;14,96627;15,04336;15,04336;15,166;15,20615;15,3445;15,40824;15,40824;15,54785;15,62986;15,72194;15,7688;15,88994;15,90191;16,02879;16,12672;16,13756;16,28302;16,36066;16,42863;16,48631;16,54894;16,6018;16,82384;16,84741;17,04784;17,12201;17,1475;17,27562;17,35783;17,56813;17,7478;17,92262;17,94525;18,14153;18,28399;18,42925;19,56888;19,88659;19,97914;20,12047;21,94577
0,02;1,002074;1,299597;1,485265;1,789353;1,83795;2,163182;2,366478;2,382659;2,577703;2,798339;2,812074;2,897364;3,107182;3,107182;3,311483;3,590216;3,824349;3,949974;4,104763;4,217575;4,389295;4,405077;4,577538;4,577538;4,778776;4,857677;4,950082;5,058989;5,106245;5,138943;5,319958;5,379484;5,499678;5,572585;5,648867;5,769318;5,816466;5,969047;6,005256;6,098664;6,172934;6,207615;6,308468;6,478103;6,527925;6,598805;6,758872;6,758872;6,89774;7,12724;7,21769;7,21769;7,415822;7,415822;7,576249;7,589796;7,798353;7,798353;7,89991;7,995999;8,054852;8,155733;8,254478;8,377357;8,539482;8,539482;8,62696;8,715521;8,777625;8,979218;9,088035;9,265579;9,418945;9,57636;9,604814;9,70584;9,748618;9,846217;9,913065;9,953948;10,00656;10,04861;10,21467;10,22685;10,22685;10,41578;10,41578;10,51445;10,52835;10,70641;10,73673;10,73673;10,76588;10,895;10,93794;10,99573;11,00904;11,12604;11,15399;11,2177;11,27515;11,31553;11,39642;11,49025;11,61663;11,65784;11,65784;11,81899;11,83133;11,84602;12,0319;12,05872;12,15314;12,17664;12,21194;12,27265;12,35431;12,47722;12,53407;12,61776;12,68546;12,72637;12,79674;12,8791;12,8791;12,99915;13,0506;13,21458;13,21458;13,29421;13,34728;13,37682;13,44822;13,47717;13,51757;13,6782;13,73675;13,73675;13,84948;13,87853;14,0568;14,0568;14,1328;14,19983;14,23699;14,27244;14,35981;14,41333;14,5173;14,52793;14,73506;14,74742;14,74742;14,91767;14,91767;14,91767;15,05363;15,16763;15,19339;15,25695;15,32989;15,39907;15,49896;15,57649;15,67717;15,67717;15,77854;15,85588;15,94964;15,94964;16,07652;16,19964;16,19964;16,25913;16,39586;16,49487;16,53453;16,6738;16,77586;16,81285;16,93386;17,01495;17,04841;17,25543;17,47735;17,69492;17,7185;17,97255;18,43969;18,85329;19,23629;19,45726;19,55639;19,73404;19,87568;20,27334;20,37276;20,6922;20,83799
0,4371827;1,821816;1,91917;2,17924;2,263788;2,427458;2,540457;2,649506;2,828806;2,92172;2,986201;3,129879;3,145368;3,32691;3,58663;3,642806;3,76014;3,906627;3,949621;4,005679;4,166086;4,166086;4,306014;4,347919;4,53547;4,565443;4,594576;4,641245;4,795804;4,8284;4,858846;4,941216;5,042932;5,077412;5,229429;5,229429;5,316368;5,383847;5,503312;5,596587;5,726946;5,807382;5,838322;5,954902;5,987908;6,124577;6,307969;6,367457;6,528742;6,542016;6,588336;6,685106;6,796252;6,840176;7,027786;7,084566;7,129307;7,244873;7,345649;7,449905;7,544992;7,661092;7,768512;7,768512;7,768512;7,888543;7,982496;8,156454;8,28888;8,395343;8,425553;8,425553;8,540875;8,657913;8,657913;8,747547;8,876324;8,876324;9,007585;9,038756;9,247135;9,419724;9,550191;9,579965;9,684505;9,747889;9,747889;9,909526;9,959853;10,16947;10,34609;10,42838;10,47764;10,63701;10,66664;10,74892;10,88392;10,88392;10,92464;11,08886;11,08886;11,18562;11,18562;11,26625;11,3452;11,3452;11,40981;11,52946;11,52946;11,56868;11,60862;11,71848;11,74561;11,80851;11,90146;11,94299;11,9564;12,05482;12,16802;12,24738;12,24738;12,38686;12,42733;12,50694;12,50694;12,68925;12,729;12,80876;12,80876;12,92491;12,98871;13,04076;13,20623;13,26551;13,40759;13,48826;13,48826;13,63731;13,70079;13,78266;13,88936;13,96831;13,96831;14,09711;14,12499;14,22323;14,26976;14,33714;14,38924;14,46964;14,50847;14,52033;14,60579;14,66407;14,72603;14,76415;14,9049;14,92706;15,0485;15,0485;15,17819;15,365;15,42691;15,4896;15,5887;15,66111;15,68778;15,68778;15,84942;15,91744;16,00613;16,13989;16,1665;16,24111;16,25621;16,4569;16,50934;16,56457;16,66446;16,68582;16,80692;16,80692;16,97832;17,1458;17,38272;17,48267;17,66435;17,84418;17,98371;18,12749;18,16535;18,24805;18,36529;18,46576;18,56661;18,74634;19,22447;19,60786;20,28829;24,56838
2,241487;2,480986;2,567827;2,80801;2,80801;3,024701;3,17574;3,193274;3,375876;3,568709;3,582146;3,694998;3,757803;3,889173;3,939379;3,939379;4,061054;4,122778;4,229283;4,242593;4,348671;4,458694;4,536101;4,700992;4,716703;4,816513;4,964739;5,018747;5,138281;5,138281;5,18903;5,326463;5,401408;5,416801;5,447413;5,52906;5,619958;5,644725;5,779169;5,796286;5,900834;5,967731;6,167036;6,167036;6,31538;6,31538;6,346262;6,508036;6,521595;6,666245;6,913692;6,948162;6,962056;7,042142;7,147209;7,221751;7,358109;7,476501;7,539125;7,70626;7,70626;7,719694;7,948914;8,086167;8,086167;8,246488;8,301385;8,385075;8,48448;8,58856;8,708565;8,829095;9,03581;9,181832;9,289148;9,360973;9,436933;9,589246;9,706601;9,846966;9,946371;10,00509;10,05703;10,12749;10,2002;10,30462;10,34531;10,52838;10,52838;10,64;10,71833;10,7662;10,77957;10,9276;10,9276;11,00642;11,06986;11,20857;11,25486;11,34896;11,3796;11,42793;11,52119;11,54707;11,7172;11,84907;11,86182;11,91952;12,00792;12,06122;12,10513;12,30915;12,36352;12,37532;12,40514;12,50175;12,58072;12,62267;12,70442;12,70442;12,76953;12,8626;12,92707;12,96751;13,0067;13,06133;13,16892;13,16892;13,30331;13,3837;13,42414;13,50495;13,6064;13,6064;13,66493;13,7442;13,78674;13,90709;13,94627;14,03903;14,14683;14,16057;14,2852;14,42352;14,46179;14,6371;14,71795;14,76576;14,8235;14,93749;14,96214;15,15704;15,2287;15,26607;15,28723;15,46473;15,46473;15,68382;15,70765;15,78424;15,90701;15,94464;16,00717;16,04481;16,12894;16,24766;16,26913;16,44912;16,46022;16,64598;16,70777;16,78052;16,85837;16,96888;17,02241;17,12419;17,2797;17,32078;17,35913;17,48281;17,58877;17,68772;17,68772;17,80774;18,02557;18,06311;18,20885;18,45856;18,70644;18,90697;19,12477;19,36743;19,64947;19,76748;19,82248;20,54638;21,20746;21,98509;22,36978;24,53766
0,1582904;0,1582904;1,338392;1,594529;2,204927;2,245034;2,49407;2,956395;3,014923;3,057654;3,17575;3,447924;3,492267;3,676743;3,676743;3,867466;3,894928;4,017305;4,057473;4,087734;4,135653;4,270079;4,34617;4,362064;4,550819;4,584722;4,63632;4,650042;4,763683;4,922061;4,922061;4,991868;5,129486;5,313038;5,40732;5,423349;5,544308;5,678716;5,70744;5,768943;5,915123;5,977242;6,006898;6,11479;6,307495;6,323849;6,46753;6,484624;6,5582;6,637903;6,71158;6,746649;6,877886;6,978546;6,978546;7,044296;7,178168;7,225695;7,258088;7,395724;7,455832;7,712951;7,936851;7,951934;8,082817;8,115495;8,30861;8,324427;8,507583;8,724683;8,875984;8,875984;8,975763;8,989018;9,15947;9,15947;9,254539;9,310431;9,430656;9,584508;9,836641;9,836641;9,878393;10,00657;10,09897;10,19863;10,2109;10,25624;10,32574;10,40801;10,43599;10,47623;10,60584;10,63653;10,64936;10,70712;10,81581;10,91684;10,97532;11,01923;11,13135;11,14642;11,14642;11,19046;11,33348;11,41741;11,44693;11,5329;11,58881;11,69782;11,7095;11,75266;11,83416;11,95145;11,99463;12,00653;12,11943;12,17085;12,21664;12,35425;12,37944;12,37944;12,43868;12,56455;12,60689;12,63761;12,77427;12,77427;12,81541;12,94857;12,97704;13,00547;13,09583;13,13914;13,27708;13,35693;13,44718;13,55871;13,57818;13,65883;13,68573;13,81415;13,87628;13,96791;14,01454;14,05074;14,07576;14,17752;14,33657;14,33657;14,36994;14,41617;14,49363;14,59638;14,69538;14,69538;14,817;14,87774;14,96922;15,05817;15,17426;15,17426;15,27774;15,317;15,48732;15,51682;15,69626;15,73107;15,79893;15,85407;15,93386;16,09765;16,13618;16,23481;16,33899;16,35111;16,51454;16,57738;16,68688;16,73773;16,87697;16,99664;17,03717;17,21716;17,33935;17,45853;17,65298;17,81414;17,89692;18,03194;18,35629;18,85023;19,06871;19,29099;19,33704;19,54962;21,37278;21,77649;21,95528;23,23264
0,1495974;0,3593279;0,7465344;1,366991;1,873543;2,059181;2,401112;2,434452;2,634856;2,764689;2,87236;2,933349;3,114823;3,147636;3,211334;3,320319;3,493881;3,524227;3,585567;3,728753;3,852121;4,022406;4,022406;4,053403;4,247562;4,28149;4,314406;4,471801;4,529847;4,631632;4,661318;4,77968;4,870914;5,020888;5,05318;5,238191;5,331798;5,360955;5,590869;5,816712;5,854908;5,994602;6,193002;6,224027;6,360902;6,470768;6,692283;6,732648;6,801748;6,832941;7,023138;7,213315;7,359247;7,390594;7,493615;7,833425;7,833425;8,090314;8,271138;8,330283;8,343979;8,374631;8,48075;8,572871;8,613629;8,727191;8,781908;8,884562;8,899283;9,034369;9,113657;9,225913;9,354255;9,36834;9,562304;9,612021;9,625522;9,671208;9,8009;9,851386;9,865449;9,961381;10,02649;10,09267;10,17447;10,22161;10,25444;10,3517;10,42903;10,58883;10,60348;10,692;10,75132;10,84975;10,86262;10,89203;10,93205;11,05289;11,0943;11,10699;11,25314;11,26578;11,30959;11,42974;11,44318;11,54212;11,60003;11,67406;11,67406;11,82027;11,82027;11,8629;11,89168;12,04377;12,07384;12,10143;12,16019;12,30005;12,3707;12,41304;12,50506;12,57389;12,57389;12,65419;12,71011;12,74543;12,85026;12,90204;12,94132;13,04812;13,11285;13,19291;13,20505;13,34279;13,37312;13,47034;13,51064;13,5497;13,69344;13,77387;13,7856;13,90386;13,98263;14,0457;14,11099;14,21321;14,21321;14,29169;14,41228;14,47012;14,60899;14,63111;14,63111;14,81027;14,81027;14,97063;15,00856;15,04331;15,1887;15,1887;15,32588;15,59037;15,6701;15,69357;15,77461;15,80855;15,96937;16,24287;16,30538;16,33209;16,46748;16,54636;16,71023;16,75221;16,93009;17,11217;17,14825;17,34939;17,49212;17,73415;17,7947;18,09377;18,25089;18,46859;18,6925;18,75413;18,92632;19,08879;19,1908;19,33003;19,33003;19,59379;19,8272;19,87321;19,98651;20,08932;20,75098;21,41366;21,55275;21,76963
0,1730529;0,6939986;1,440161;1,822984;2,331152;2,75159;3,012754;3,183891;3,27284;3,590561;3,590561;3,821569;3,986376;4,071311;4,231555;4,362633;4,474505;4,553736;4,553736;4,602008;4,732346;4,746518;4,872733;4,934402;5,013574;5,093463;5,194514;5,295038;5,413508;5,512853;5,666881;5,854533;5,92101;5,972786;6,074062;6,170877;6,249825;6,403601;6,47088;6,57345;6,690649;6,758523;6,792973;6,90838;6,992328;6,992328;7,172427;7,25311;7,482628;7,532933;7,629556;7,699617;7,826777;7,842748;7,860375;8,014664;8,099984;8,202545;8,314597;8,426989;8,47447;8,505095;8,552501;8,643889;8,687783;8,794641;8,808152;8,931096;8,989976;9,166397;9,373686;9,490514;9,692327;9,848034;9,848034;9,882905;10,03459;10,04754;10,07996;10,17129;10,23207;10,26124;10,38248;10,4142;10,47311;10,59417;10,59417;10,68009;10,75253;10,79363;10,86305;10,89498;11,03189;11,06099;11,0921;11,23433;11,31234;11,34129;11,40317;11,46581;11,5122;11,52597;11,66909;11,71287;11,77437;11,77437;11,9889;12,00122;12,00122;12,15104;12,16315;12,25337;12,38089;12,45433;12,5119;12,5119;12,58645;12,70698;12,76341;12,81194;12,8701;12,91516;13,01032;13,07399;13,1282;13,168;13,20679;13,34867;13,38324;13,41342;13,42617;13,53047;13,56628;13,65125;13,65125;13,74649;13,76115;13,85087;13,8631;14,01301;14,01301;14,01301;14,06678;14,15457;14,2473;14,3328;14,37245;14,43472;14,47472;14,55314;14,67239;14,79325;14,84305;14,86851;14,99391;15,06597;15,09182;15,11501;15,26493;15,2878;15,33108;15,38808;15,5538;15,60983;15,6433;15,66655;15,80469;15,85114;15,93431;15,99349;16,11057;16,14851;16,18327;16,34543;16,34543;16,40718;16,45495;16,60887;16,60887;16,72543;16,75195;16,8691;16,99454;17,02726;17,29039;17,32835;17,44963;17,52708;17,75246;17,79057;17,94511;18,18237;18,44836;19,14795;19,37119;20,01423;20,29014;21,03005;21,20897;21,86896
0;0,1598277;0,1598277;0,1598277;0,8341521;1,081108;1,51401;1,887667;2,214986;2,375025;2,695953;2,752182;2,766211;2,973646;2,973646;3,163687;3,208969;3,34817;3,57029;3,725471;3,761183;3,84238;3,944961;4,046842;4,115727;4,164996;4,36924;4,404433;4,404433;4,476605;4,623267;4,623267;4,785001;4,800491;4,970566;5,087449;5,329791;5,467816;5,650064;5,650064;5,7996;5,8663;5,936095;6,089018;6,123983;6,228228;6,295136;6,421743;6,455447;6,516324;6,595223;6,648611;6,784528;6,92313;7,133551;7,194102;7,32662;7,415196;7,548999;7,655082;7,915274;7,963248;8,076052;8,156369;8,233884;8,413662;8,545089;8,641618;8,754346;8,754346;8,914085;9,032562;9,073273;9,10145;9,186605;9,312181;9,323897;9,483817;9,571968;9,745323;9,774023;9,907679;9,965421;10,007;10,03057;10,07274;10,1877;10,29204;10,29204;10,40841;10,45298;10,5262;10,58432;10,58432;10,67169;10,72848;10,80176;10,83324;10,89105;10,93365;10,98671;11,02812;11,16963;11,19392;11,28651;11,38371;11,56304;11,63525;11,77475;11,89333;12,01301;12,02731;12,1475;12,17605;12,2328;12,24807;12,36994;12,45388;12,55288;12,56584;12,5949;12,67444;12,77449;12,77449;12,85427;12,99099;12,99099;13,09455;13,19375;13,19375;13,34564;13,37259;13,45047;13,56351;13,56351;13,69293;13,80993;13,83319;13,96563;13,96563;14,03066;14,09528;14,1496;14,18907;14,29394;14,3315;14,39591;14,47408;14,5553;14,5963;14,64775;14,72882;14,7953;14,8345;14,87229;14,98856;15,01409;15,01409;15,13582;15,14787;15,25417;15,2939;15,35448;15,48547;15,50954;15,65197;15,74854;15,81005;15,88751;16,06897;16,09307;16,15149;16,19651;16,40813;16,48199;16,54619;16,76678;16,80366;16,99612;17,13231;17,20643;17,43193;17,43193;17,6468;17,81406;17,93247;17,98234;18,11496;18,21224;18,335;18,35329;18,49527;18,77393;18,81187;19,0863;19,5669;19,70955;19,80927;19,99304;20,59189
