Personne 0;Personne 1;Personne 2;Personne 3;Personne 4;Personne 5;Personne 6;Personne 7;Personne 8;Personne 9;Personne 10;Personne 11;Personne 12;Personne 13;Personne 14;Personne 15;Personne 16;Personne 17;Personne 18;Personne 19;Personne 20;Personne 21;Personne 22;Personne 23;Personne 24;Personne 25;Personne 26;Personne 27;Personne 28;Personne 29;Personne 30;Personne 31;Personne 32;Personne 33;Personne 34;Personne 35;Personne 36;Personne 37;Personne 38;Personne 39;Personne 40;Personne 41;Personne 42;Personne 43;Personne 44;Personne 45;Personne 46;Personne 47;Personne 48;Personne 49;Personne 50;Personne 51;Personne 52;Personne 53;Personne 54;Personne 55;Personne 56;Personne 57;Personne 58;Personne 59;Personne 60;Personne 61;Personne 62;Personne 63;Personne 64;Personne 65;Personne 66;Personne 67;Personne 68;Personne 69;Personne 70;Personne 71;Personne 72;Personne 73;Personne 74;Personne 75;Personne 76;Personne 77;Personne 78;Personne 79;Personne 80;Personne 81;Personne 82;Personne 83;Personne 84;Personne 85;Personne 86;Personne 87;Personne 88;Personne 89;Personne 90;Personne 91;Personne 92;Personne 93;Personne 94;Personne 95;Personne 96;Personne 97;Personne 98;Personne 99;Personne 100;Personne 101;Personne 102;Personne 103;Personne 104;Personne 105;Personne 106;Personne 107;Personne 108;Personne 109;Personne 110;Personne 111;Personne 112;Personne 113;Personne 114;Personne 115;Personne 116;Personne 117;Personne 118;Personne 119;Personne 120;Personne 121;Personne 122;Personne 123;Personne 124;Personne 125;Personne 126;Personne 127;Personne 128;Personne 129;Personne 130;Personne 131;Personne 132;Personne 133;Personne 134;Personne 135;Personne 136;Personne 137;Personne 138;Personne 139;Personne 140;Personne 141;Personne 142;Personne 143;Personne 144;Personne 145;Personne 146;Personne 147;Personne 148;Personne 149;Personne 150;Personne 151;Personne 152;Personne 153;Personne 154;Personne 155;Personne 156;Personne 157;Personne 158;Personne 159;Personne 160;Personne 161;Personne 162;Personne 163;Personne 164;Personne 165;Personne 166;Personne 167;Personne 168;Personne 169;Personne 170;Personne 171;Personne 172;Personne 173;Personne 174;Personne 175;Personne 176;Personne 177;Personne 178;Personne 179;Personne 180;Personne 181;Personne 182;Personne 183;Personne 184;Personne 185;Personne 186;Personne 187;Personne 188;Personne 189;Personne 190;Personne 191;Personne 192;Personne 193;Personne 194;Personne 195;Personne 196;Personne 197;Personne 198;Personne 199;
0,02;0,5303801;1,672307;2,559586;2,632571;2,970617;3,176008;3,814701;4,097893;4,156774;4,615143;4,758711;4,914064;5,037951;5,195418;5,649451;5,779269;5,893323;6,069499;6,176007;6,408681;6,432988;6,575068;6,708899;7,030737;7,209331;7,259094;7,429785;7,454284;7,476565;7,594615;7,67319;7,718322;7,93635;7,973577;8,350098;8,350098;8,513936;8,513936;8,690851;8,726509;8,76862;8,874881;8,97963;9,039174;9,193337;9,273338;9,333275;9,357196;9,574681;9,714613;9,759771;9,81864;9,853677;9,956444;10,01287;10,03581;10,09163;10,13852;10,2398;10,2398;10,3302;10,39466;10,43888;10,51738;10,57696;10,63657;10,67341;10,73855;10,85432;10,85432;10,93999;10,94934;11,05767;11,13729;11,29314;11,37368;11,39788;11,47601;11,49933;11,59771;11,71329;11,71329;11,71329;11,85339;11,89674;12,03422;12,07893;12,11219;12,11219;12,25091;12,31824;12,37636;12,43314;12,51535;12,63941;12,73217;12,73217;12,73217;12,8348;12,93931;12,93931;12,97328;13,07798;13,13464;13,1589;13,23528;13,31214;13,33592;13,45946;13,47058;13,51672;13,55218;13,64907;13,6732;13,73991;13,75259;13,87797;13,87797;13,91202;13,95759;14,05748;14,10894;14,13419;14,31318;14,41344;14,42655;14,4772;14,6181;14,69779;14,69779;14,87478;14,91489;15,09576;15,1775;15,23907;15,37947;15,45436;15,52809;15,59257;15,61666;15,69299;15,77942;15,87999;15,91784;15,99726;16,06905;16,09889;16,2587;16,3183;16,3183;16,47654;16,53448;16,57901;16,57901;16,67979;16,73991;16,73991;16,89946;16,95928;17,01814;17,17745;17,21492;17,29261;17,35493;17,39452;17,49578;17,5466;17,74793;17,94783;18,13004;18,22852;18,3995;18,3995;18,43279;18,49853;18,62918;18,9957;19,21017;19,23551;19,53595;19,67793;19,73307;19,8197;19,91783;20,17151;20,43079;20,63615;20,83086;20,89427;21,13818;21,13818;21,31376;21,46805;21,71896;21,79959;22,28735;22,31863;22,83562;23,03256;
0,1531919;1,926924;2,333462;2,533913;2,728921;2,893133;3,542893;3,571087;3,706735;3,745694;4,032969;4,086864;4,350644;4,390563;4,523015;4,70781;4,850457;5,189215;5,189215;5,332988;5,440766;5,653792;5,708971;5,753241;5,932001;6,266709;6,326012;6,428582;6,571059;6,762228;6,842748;6,971395;7,422708;7,887564;7,91268;7,91268;8,109796;8,468957;8,573615;8,652974;8,680695;8,888481;8,888481;9,12792;9,191457;9,252576;9,331283;9,409864;9,487863;9,551555;9,600991;9,669488;9,669488;9,782294;9,821031;10,0226;10,04684;10,19153;10,3884;10,3884;10,4129;10,55252;10,62954;10,66776;10,77151;10,80933;10,97204;11,00872;11,00872;11,10786;11,22448;11,39137;11,47224;11,56822;11,58971;11,66833;11,76619;11,78786;11,81166;11,89363;11,96477;12,02163;12,06839;12,20622;12,22784;12,3902;12,44966;12,47527;12,61106;12,66949;12,7512;12,7512;12,92929;12,96573;12,99208;12,99208;13,15357;13,16546;13,25384;13,33262;13,34379;13,60782;13,76529;13,82226;13,87289;13,88191;14,08736;14,10781;14,10781;14,1511;14,27375;14,30715;14,35004;14,47392;14,47392;14,57344;14,63289;14,67368;14,77006;14,83013;14,86707;15,05242;15,11337;15,3074;15,37175;15,54792;15,56681;15,56681;15,7255;15,78847;15,84932;16,01344;16,06711;16,11345;16,15267;16,1632;16,34779;16,34779;16,34779;16,50506;16,52967;16,64937;16,72445;16,8086;16,90483;16,96529;17,01333;17,10989;17,2047;17,30173;17,32689;17,41374;17,47166;17,55323;17,60782;17,63101;17,65274;17,76484;17,83069;17,88843;17,96575;18,01052;18,0429;18,0429;18,14942;18,20328;18,2472;18,31114;18,36358;18,45231;18,45231;18,63067;18,72806;18,84653;19,00947;19,04502;19,23307;19,32819;19,62816;19,86803;20,0486;20,1328;20,52326;20,93114;21,6101;21,73008;21,9333;22,17329;22,24659;22,41272;22,71243;22,90293;23,1446;23,47225;24,27118;24,92424;25,00305;25,13349;25,71019;27,45009;
2,27974;2,435921;2,726335;3,064694;3,465199;3,580996;3,721402;3,861135;3,93617;4,217505;4,398127;4,605411;4,785452;4,965016;5,119954;5,456798;5,740829;5,942612;6,017705;6,017705;6,141387;6,603683;6,898991;7,145347;7,285338;7,319983;7,44512;7,516115;7,604057;7,74629;7,862466;7,903824;8,044792;8,226287;8,324149;8,324149;8,467215;8,545951;8,704575;8,782875;8,924921;8,936256;9,222479;9,340945;9,42086;9,524196;9,55933;9,719883;9,76604;9,76604;9,800714;9,902358;10,04527;10,16203;10,18519;10,22137;10,25915;10,3629;10,39713;10,56112;10,67738;10,73596;10,82001;10,9007;10,92298;10,94515;11,12443;11,12443;11,26614;11,31884;11,36517;11,47647;11,56494;11,57617;11,57617;11,65946;11,80313;11,80313;11,83529;11,88231;12,0209;12,0209;12,08083;12,126;12,22692;12,30119;12,36502;12,48062;12,50423;12,53993;12,66676;12,66676;12,67684;12,80523;12,81503;12,96414;12,98338;13,02562;13,02562;13,17929;13,27935;13,32653;13,38272;13,48559;13,56248;13,6639;13,74083;13,86247;13,89513;13,92249;13,93413;14,06495;14,07611;14,24118;14,26677;14,30515;14,38904;14,42671;14,42671;14,57715;14,72424;14,81968;14,94347;15,04405;15,12047;15,24247;15,30353;15,44689;15,50631;15,54419;15,62029;15,62029;15,71632;15,80187;15,83642;15,8613;15,92259;16,0219;16,04691;16,08385;16,24691;16,38051;16,5197;16,58128;16,60521;16,77731;16,95654;17,06562;17,1858;17,24644;17,41684;17,58652;17,74664;17,80618;17,98539;18,05797;18,24492;18,283;18,34272;18,40518;18,51358;18,62267;18,66152;18,68608;18,84372;18,88009;18,88009;19,02246;19,04673;19,08201;19,20591;19,24521;19,28288;19,34324;19,38285;19,4747;19,54413;19,55587;19,67841;19,7186;19,78571;19,80086;19,91915;19,96151;20,04052;20,11957;20,22627;20,26649;20,3451;20,54336;21,06243;21,22688;21,55692;21,89249;22,10685;22,44684;22,61463;22,86695;22,90707;23,20368;
2,04578;2,945938;3,1577;3,319823;3,346753;3,482834;3,802654;4,138439;4,499528;4,665817;4,877398;4,944399;5,04057;5,594506;5,625241;5,74846;5,867356;5,935571;6,016828;6,182318;6,227096;6,4036;6,461169;6,603714;6,785734;6,856133;6,941309;7,039523;7,219973;7,445106;7,456;7,645305;7,84553;8,097985;8,226663;8,226663;8,341383;8,365374;8,387955;8,480708;8,536155;8,608009;8,67841;8,715773;8,822709;8,846429;8,977658;9,122427;9,30059;9,417926;9,476346;9,525406;9,654621;9,821766;9,902211;9,924445;10,0045;10,02686;10,07712;10,17603;10,22766;10,3439;10,44537;10,51884;10,54467;10,60777;10,7219;10,78572;10,82597;10,90381;10,94339;11,04461;11,2255;11,38144;11,54351;11,58298;11,73444;11,73444;11,76068;11,8862;11,92343;12,00169;12,06211;12,08661;12,16652;12,17643;12,30528;12,34071;12,40345;12,44275;12,50409;12,51527;12,60293;12,6419;12,70607;12,74391;12,84602;12,87772;12,92311;12,9464;13,02793;13,10768;13,20074;13,25777;13,38262;13,49938;13,57652;13,60048;13,65656;13,65656;13,75944;13,80275;13,88142;13,97904;14,06796;14,18745;14,36218;14,50483;14,56256;14,65981;14,68148;14,70524;14,78086;14,83785;14,86512;14,94227;14,94227;15,05499;15,10793;15,18116;15,26154;15,28206;15,38503;15,48487;15,54134;15,62258;15,64502;15,78743;15,9811;16,00373;16,16601;16,16601;16,16601;16,22494;16,38043;16,44119;16,56335;16,62211;16,74189;16,88634;17,29012;17,44264;17,61819;17,76671;17,84075;17,98599;17,99643;18,04093;18,15815;18,15815;18,20649;18,36273;18,36273;18,39926;18,56575;18,60169;18,63861;18,63861;18,78441;18,96009;19,30466;19,45976;19,60511;20,02156;20,12699;20,24499;20,44489;20,58348;20,6077;20,64456;20,77563;20,83668;20,88493;21,41599;21,58744;21,72568;21,80325;22,30365;22,43713;22,5655;22,5655;23,09629;23,12239;23,28589;23,35611;23,40622;23,44372;23,50471;23,98402;24,25936;
0,1389675;0,1389675;0,1389675;1,736742;2,054968;2,450703;2,693667;2,786791;3,054098;3,27706;3,337102;3,510805;3,756928;4,174414;4,552614;5,049429;5,230226;5,396478;5,513964;5,875632;6,036583;6,117195;6,227538;6,471319;6,646596;6,696495;6,875847;7,114066;7,114066;7,225671;7,290585;7,375803;7,434565;7,552933;7,674858;7,68577;7,855072;7,855072;7,906184;8,047816;8,216202;8,292984;8,390481;8,535688;8,62807;8,65511;8,773824;8,852491;8,933412;9,036365;9,07603;9,088302;9,210443;9,257115;9,330479;9,390544;9,496974;9,553805;9,585979;9,668132;9,715496;9,749911;10,01202;10,17404;10,21213;10,21213;10,35202;10,41487;10,41487;10,53522;10,57324;10,58343;10,63631;10,75324;10,76543;10,79043;10,94617;10,99551;10,99551;11,00547;11,13499;11,21713;11,25224;11,28651;11,39662;11,39662;11,56441;11,6522;11,83647;11,83647;11,9291;11,99337;12,0569;12,09385;12,15476;12,19109;12,25152;12,3975;12,3975;12,42772;12,45284;12,59303;12,61526;12,65081;12,83254;12,85694;12,89057;13,00884;13,05497;13,05497;13,1366;13,21666;13,36964;13,36964;13,41131;13,51465;13,57076;13,63699;13,71148;13,75027;13,80674;13,83167;13,89178;13,93004;14,05204;14,05204;14,21142;14,27099;14,29503;14,39082;15,07753;15,21241;15,27184;15,37258;15,41574;15,47552;15,52759;15,63245;15,63245;15,69434;15,71477;15,79378;15,81451;15,8905;15,93399;16,01063;16,01063;16,05274;16,15157;16,21082;16,23455;16,29693;16,41554;16,59687;16,61057;16,67319;16,70984;16,78565;16,8664;16,88906;16,97167;17,03397;17,11139;17,13406;17,23275;17,57035;17,73347;18,17365;18,32777;18,47321;18,63122;18,69349;18,8144;18,91096;18,99719;19,07233;19,21592;19,37386;19,4716;19,87567;19,88712;19,99642;20,09284;20,17251;20,25467;20,43552;20,88338;21,19178;22,36513;22,59539;22,62395;22,93628;22,99179;23,07225;23,19393;23,7152;23,95321;24,97098;25,31571;25,53267;
0,324003;2,187439;2,57311;2,728306;3,109786;3,109786;3,67097;3,67097;3,88717;4,072846;4,327875;4,669834;4,728105;4,98354;4,98354;5,173377;5,333381;5,427643;5,96946;6,029686;6,185381;6,209162;6,503956;6,683443;6,928043;6,951957;7,092528;7,248588;7,36891;7,520533;7,66937;7,990937;8,173072;8,210449;8,351413;8,373925;8,451406;8,529073;8,608551;8,749999;8,929434;8,929434;8,929434;9,032845;9,108442;9,134016;9,19284;9,20442;9,291429;9,373294;9,443171;9,504359;9,528894;9,611032;9,727735;9,761668;9,925891;9,949157;10,08936;10,11205;10,25217;10,25217;10,28725;10,44856;10,44856;10,50388;10,55052;10,65287;10,65287;10,77251;10,82326;10,90142;10,95273;11,09129;11,10216;11,10216;11,23277;11,24484;11,34568;11,40743;11,45436;11,52329;11,55026;11,68888;11,79099;11,79099;11,96401;11,98924;12,02287;12,02287;12,1426;12,1426;12,19888;12,36901;12,52716;12,60724;12,71277;12,89048;12,94665;13,09276;13,15066;13,1884;13,27434;13,40989;13,40989;13,40989;13,46752;13,5854;13,63075;13,63075;13,73323;13,78724;13,90945;13,94696;13,97065;14,02951;14,13381;14,18754;14,18754;14,35271;14,35271;14,42779;14,42779;14,58395;14,70242;14,79229;14,92301;15,1489;15,1489;15,30295;15,35258;15,40132;15,45135;15,48554;15,61071;15,62009;15,75355;15,77429;15,88705;15,93093;15,98686;16,08606;16,13211;16,15308;16,20813;16,29395;16,36995;16,51185;16,56069;16,62811;16,72994;16,79097;16,86589;16,86589;16,98649;17,03388;17,09136;17,18832;17,21293;17,32284;17,3492;17,43226;17,49358;17,49358;17,55339;17,68611;17,78459;17,89038;18,04424;18,06992;18,25019;18,26142;18,43164;18,4441;18,58729;18,61308;18,62596;18,76861;18,76861;18,82607;18,89133;18,99262;19,05181;19,1429;19,31141;19,47394;19,53408;19,68928;20,69096;20,88976;20,93073;21,13157;21,3804;21,91236;21,95119;22,13004;22,17398;22,32799;23,03295;24,05022;
0;0,122419;0,122419;0,2981299;0,8836201;1,628008;1,968532;2,151233;2,568697;2,948205;3,007854;3,698894;3,72546;3,788184;3,886292;3,946438;4,287832;4,567006;5,310522;5,561604;5,73096;5,886114;6,021235;6,209388;6,244734;6,405885;6,584229;6,848407;7,150702;7,199646;7,302514;7,445721;7,470082;7,686822;7,746119;7,938677;7,963985;7,988467;8,190007;8,270442;8,405577;8,529764;8,620031;8,746624;8,958714;8,958714;8,958714;9,021813;9,18901;9,318858;9,548649;9,726565;9,726565;9,787301;9,84555;9,926837;10,06976;10,14055;10,16738;10,27906;10,27906;10,46545;10,46545;10,51087;10,57899;10,6833;10,70951;10,70951;10,81971;10,84614;10,92118;11,00885;11,07084;11,07084;11,12042;11,22489;11,32662;11,36437;11,40514;11,48144;11,52042;11,57026;11,68974;11,86456;11,91022;11,92074;12,0627;12,08624;12,10876;12,18771;12,26756;12,32374;12,41115;12,42223;12,56503;12,58934;12,76582;12,79104;12,80388;12,92674;13,22591;13,28717;13,32572;13,42976;13,42976;13,49465;13,55073;13,62805;13,63867;13,76415;13,86788;14,06433;14,14455;14,26787;14,32748;14,45011;14,54678;14,58591;14,58591;14,67072;14,76677;14,76677;14,82661;14,88681;14,92126;14,98562;15,10608;15,129;15,14014;15,20425;15,29044;15,32689;15,35022;15,50379;15,53916;15,53916;15,66716;15,68988;15,76573;15,82798;15,83976;15,99075;16,02825;16,02825;16,16344;16,22071;16,33047;16,41118;16,53019;16,54113;16,71051;16,83114;16,96638;16,98804;17,03002;17,06319;17,18883;17,28506;17,34749;17,38408;17,43142;17,49156;17,54041;17,66781;17,66781;17,78382;17,81989;17,84593;17,97034;17,98198;18,00525;18,10026;18,24465;18,26847;18,26847;18,38825;18,39982;18,54283;18,99951;19,02329;19,07062;19,16548;19,16548;19,32318;19,48954;19,6506;19,72998;19,86954;19,97039;20,08451;20,20536;20,3013;20,79145;21,02379;21,21045;21,36859;23,50454;23,72657;23,90187;24,24546;
0,1233267;1,606734;1,883636;2,330665;2,490134;2,748744;3,010615;3,147301;3,329999;3,613232;3,726516;3,883244;4,051997;4,133042;4,309526;4,309526;5,05065;5,205956;5,593438;5,75046;5,911073;5,92166;6,053165;6,182838;6,563982;6,611122;6,750722;6,785911;6,833444;6,94909;6,982775;7,127346;7,151075;7,329611;7,411042;7,510054;7,627378;7,663002;7,717235;7,813652;7,813652;7,911611;7,970836;8,110312;8,248667;8,304822;8,328666;8,44424;8,467662;8,549271;8,549271;8,650587;8,790583;8,823463;8,823463;8,94904;8,972175;9,112693;9,365623;9,448799;9,472745;9,508634;9,613194;9,670909;9,730744;9,730744;9,827579;9,863173;10,02711;10,02711;10,20765;10,30799;10,36688;10,52271;10,59124;10,69063;10,79183;10,81373;10,87113;10,9497;10,97196;10,98229;11,05207;11,15343;11,15343;11,29286;11,34928;11,37208;11,37208;11,48779;11,5467;11,59186;11,61383;11,64825;11,72828;11,75104;11,832;11,832;11,92919;11,97005;12,03059;12,05248;12,15122;12,20702;12,27332;12,4726;12,57259;12,6664;12,79093;12,95046;12,99211;13,10056;13,12841;13,25177;13,38961;13,48931;13,62866;13,64749;13,69126;13,72807;13,84969;13,87156;13,88238;13,97255;14,0315;14,04484;14,08792;14,18536;14,34965;14,50426;14,62594;14,76956;14,86713;14,92902;14,98833;15,01265;15,19202;15,19202;15,22586;15,26852;15,42198;15,86441;15,91212;16,253;16,37056;16,46922;16,61164;16,64813;16,67171;16,8061;16,8061;16,86408;17,04374;17,26684;17,30322;17,45089;17,61364;17,68698;17,80946;17,8818;17,97116;18,09369;18,19128;18,40707;18,43069;18,5133;18,60745;18,74757;18,80865;18,94954;19,0089;19,12803;19,22815;19,32729;19,36209;19,41252;19,52036;19,56882;19,59351;19,78382;19,80684;19,80684;19,95045;20,06925;20,10598;20,28799;21,16487;21,37237;21,40508;21,60888;21,68994;21,81181;22,28892;23,19179;23,24891;23,44685;23,56823;23,74932;25,45323;25,68559;
1,746963;2,06885;2,269575;2,50955;2,981609;3,151903;3,280894;3,280894;3,589583;3,750402;3,830278;3,910312;4,089869;4,378407;4,686203;4,844387;5,004642;5,202267;5,285686;5,449159;5,48923;5,64396;5,830085;5,989352;6,029345;6,423427;6,607061;6,747965;6,879552;6,945618;7,150256;7,409058;7,566493;7,761704;7,828838;7,960527;7,960527;8,141898;8,168247;8,248933;8,326847;8,338974;8,406117;8,570142;8,609407;8,646363;8,646363;8,811876;8,908969;9,050179;9,088872;9,224378;9,300721;9,38289;9,562476;9,562476;9,705654;9,822408;9,870528;9,906182;9,965601;10,05068;10,13133;10,2267;10,25063;10,28678;10,32219;10,42758;10,4621;10,58898;10,85113;10,85113;11,13014;11,13014;11,327;11,327;11,36371;11,44042;11,53196;11,53196;11,62734;11,65095;11,84514;11,90181;12,009;12,08516;12,14125;12,16401;12,26709;12,32737;12,45082;12,50609;12,59093;12,68254;12,84786;12,92731;13,00626;13,07199;13,14987;13,16121;13,18713;13,2893;13,29972;13,35066;13,46227;13,52733;13,62931;13,73;13,76373;13,80888;13,94592;13,94592;13,96883;14,0506;14,10882;14,18918;14,24947;14,30596;14,30596;14,35156;14,48592;14,48592;14,55019;14,72905;14,74074;14,8293;14,8293;14,98884;15,02603;15,0619;15,15818;15,21399;15,26751;15,36987;15,44451;15,52795;15,52795;15,62827;15,66206;15,75118;15,76316;15,92808;15,98412;16,12606;16,12606;16,24551;16,32059;16,4449;16,51016;16,70743;16,90767;17,12907;17,18386;17,34471;17,48137;17,52492;17,70686;17,83168;17,89141;17,97074;18,00578;18,10465;18,16885;18,18039;18,24845;18,34933;18,40825;18,54409;18,56592;18,78689;18,83154;19,18844;19,24633;19,30545;19,42266;19,44412;19,56887;19,69137;19,72493;19,7904;19,90966;20,05191;20,79152;20,94694;21,09005;21,22087;21,3914;21,55961;21,74807;21,90255;22,02493;22,11945;22,44134;24,83052;25,04622;25,27027;25,46573;27,72155;28,33014;29,51763;
0,9297839;1,856815;2,026331;2,314;2,496756;2,654492;2,737721;2,838642;3,091537;3,536502;3,697627;3,848366;3,896598;4,016006;4,194808;4,194808;4,353691;4,486541;4,595231;5,273626;5,438227;5,599347;5,793942;5,857467;5,895792;6,078559;6,11755;6,158057;6,314525;6,474112;6,628336;6,745522;6,850152;7,00698;7,045546;7,210251;7,314676;7,633969;7,787838;7,895947;7,997597;8,156197;8,194434;8,399233;8,454108;8,638827;8,752817;8,817716;8,933213;8,959007;9,073063;9,187272;9,2254;9,2254;9,41449;9,41449;9,51583;9,652852;9,834485;9,856769;9,932237;10,00763;10,0343;10,17486;10,17486;10,25423;10,38767;10,41605;10,44499;10,55338;10,61713;10,67022;10,79795;10,87902;10,99289;11,01643;11,0776;11,17893;11,21791;11,3178;11,35599;11,36628;11,49439;11,49439;11,61512;11,62681;11,71501;11,8157;11,87601;12,03556;12,13344;12,33732;12,33732;12,33732;12,5583;12,57277;12,81641;12,89501;13,0272;13,14789;13,17373;13,197;13,2582;13,32937;13,35578;13,49731;13,50774;13,5564;13,62825;13,71567;13,77745;13,77745;13,91361;13,93795;14,09491;14,134;14,15874;14,17046;14,2929;14,2929;14,41519;14,42782;14,45587;14,55451;14,61455;14,65476;14,77668;14,77668;14,87764;14,88891;14,97107;15,01248;15,05356;15,09618;15,17218;15,19307;15,29565;15,30703;15,41493;15,44929;15,57157;15,59607;15,69367;15,77582;15,89578;15,97785;15,98969;16,11794;16,15022;16,29871;16,43272;16,45695;16,59071;16,61407;16,77161;16,79475;16,93043;17,01453;17,27338;17,27338;17,30922;17,33817;17,51243;17,51243;17,59623;17,69175;17,73932;17,85497;17,91499;18,0882;18,0882;18,11567;18,31929;18,51537;18,51537;18,71786;18,75788;18,87772;18,95378;18,95378;19,01347;19,15249;19,16585;19,19295;19,37671;19,49477;19,82988;19,85673;20,03867;20,79445;20,85597;20,93706;20,95808;21,15626;21,23822;21,35561;21,43241;22,0139;22,23621;28,37884;
