Personne 0;Personne 1;Personne 2;Personne 3;Personne 4;Personne 5;Personne 6;Personne 7;Personne 8;Personne 9;Personne 10;Personne 11;Personne 12;Personne 13;Personne 14;Personne 15;Personne 16;Personne 17;Personne 18;Personne 19;Personne 20;Personne 21;Personne 22;Personne 23;Personne 24;Personne 25;Personne 26;Personne 27;Personne 28;Personne 29;Personne 30;Personne 31;Personne 32;Personne 33;Personne 34;Personne 35;Personne 36;Personne 37;Personne 38;Personne 39;Personne 40;Personne 41;Personne 42;Personne 43;Personne 44;Personne 45;Personne 46;Personne 47;Personne 48;Personne 49;Personne 50;Personne 51;Personne 52;Personne 53;Personne 54;Personne 55;Personne 56;Personne 57;Personne 58;Personne 59;Personne 60;Personne 61;Personne 62;Personne 63;Personne 64;Personne 65;Personne 66;Personne 67;Personne 68;Personne 69;Personne 70;Personne 71;Personne 72;Personne 73;Personne 74;Personne 75;Personne 76;Personne 77;Personne 78;Personne 79;Personne 80;Personne 81;Personne 82;Personne 83;Personne 84;Personne 85;Personne 86;Personne 87;Personne 88;Personne 89;Personne 90;Personne 91;Personne 92;Personne 93;Personne 94;Personne 95;Personne 96;Personne 97;Personne 98;Personne 99;Personne 100;Personne 101;Personne 102;Personne 103;Personne 104;Personne 105;Personne 106;Personne 107;Personne 108;Personne 109;Personne 110;Personne 111;Personne 112;Personne 113;Personne 114;Personne 115;Personne 116;Personne 117;Personne 118;Personne 119;Personne 120;Personne 121;Personne 122;Personne 123;Personne 124;Personne 125;Personne 126;Personne 127;Personne 128;Personne 129;Personne 130;Personne 131;Personne 132;Personne 133;Personne 134;Personne 135;Personne 136;Personne 137;Personne 138;Personne 139;Personne 140;Personne 141;Personne 142;Personne 143;Personne 144;Personne 145;Personne 146;Personne 147;Personne 148;Personne 149;Personne 150;Personne 151;Personne 152;Personne 153;Personne 154;Personne 155;Personne 156;Personne 157;Personne 158;Personne 159;Personne 160;Personne 161;Personne 162;Personne 163;Personne 164;Personne 165;Personne 166;Personne 167;Personne 168;Personne 169;Personne 170;Personne 171;Personne 172;Personne 173;Personne 174;Personne 175;Personne 176;Personne 177;Personne 178;Personne 179;Personne 180;Personne 181;Personne 182;Personne 183;Personne 184;Personne 185;Personne 186;Personne 187;Personne 188;Personne 189;Personne 190;Personne 191;Personne 192;Personne 193;Personne 194;Personne 195;Personne 196;Personne 197;Personne 198;Personne 199;
0,02;1,949341;2,199531;2,411909;2,68846;3,050951;3,149427;3,369037;3,518033;3,639011;3,695504;3,897062;4,099726;4,335108;4,616613;4,766334;5,179624;5,350486;5,435089;5,487856;5,677187;5,89928;5,910275;6,098796;6,248302;6,388732;6,576489;6,658786;6,807798;6,876175;6,970009;7,109205;7,137156;7,278935;7,44797;7,487673;7,676263;7,754644;7,895989;7,934957;8,050517;8,079042;8,166914;8,207897;8,316282;8,478941;8,674744;8,899689;9,033907;9,086417;9,115229;9,235704;9,275015;9,339832;9,339832;9,456432;9,598459;9,598459;9,754454;9,779205;9,791212;9,932849;9,957081;10,0531;10,45608;10,49545;10,58529;10,62776;10,73322;10,73322;10,89108;10,99589;11,10925;11,19734;11,19734;11,23635;11,37734;11,42703;11,55486;11,65287;11,75266;11,78895;11,85355;11,93968;11,97669;12,07605;12,09959;12,18819;12,18819;12,27919;12,29029;12,39633;12,46953;12,53342;12,66489;12,77605;12,89086;12,97836;13,01582;13,01582;13,15714;13,2783;13,31458;13,41133;13,43639;13,47285;13,47285;13,64725;13,64725;13,77936;13,81696;13,9586;13,99887;13,99887;14,03938;14,12781;14,15524;14,31941;14,54698;14,59718;14,69476;14,79485;14,8912;14,91856;14,95961;15,09678;15,19443;15,19443;15,33914;15,43993;15,47982;15,51696;15,61831;15,65635;15,7683;15,79541;15,95506;15,95506;16,05877;16,15652;16,27464;16,39703;16,49301;16,51706;16,59807;16,63788;16,97416;16,99911;17,33557;17,43298;17,43298;17,55033;17,55033;17,6397;17,69935;17,73938;17,85627;18,07445;18,25451;18,26645;18,26645;18,36703;18,42964;18,47808;18,57324;18,5985;18,69399;18,79144;20,14868;20,419;20,57886;20,71816;20,85758;20,85758;20,92858;21,01215;21,17374;21,53119;21,94931;22,15267;22,71357;23,15977;23,33719;23,95537;24,05467;24,19507;24,35012;24,41131;24,61512;24,69803;24,83911;24,95737;25,15479;25,21803;25,37185;25,55643;25,59756;25,71779;27,7373;29,23209;
0,2084505;2,256406;2,589199;2,672768;2,81501;2,98764;3,114614;3,256269;3,534827;3,771384;4,076255;4,156338;4,331559;4,369666;4,4949;4,734374;4,98859;5,005207;5,074873;5,388806;5,555703;5,708525;5,750796;5,93274;5,957386;6,013448;6,092449;6,326947;6,813486;6,971562;7,094305;7,134322;7,295555;7,295555;7,617122;7,672451;7,685709;7,833581;7,84618;8,007958;8,227268;8,310677;8,415177;8,473433;8,547823;8,547823;8,663841;8,663841;8,754795;8,835279;8,951553;9,057701;9,12503;9,157083;9,236382;9,594335;9,686307;9,767134;9,993452;10,03259;10,18616;10,26892;10,3132;10,37684;10,45245;10,63185;10,65581;10,70232;10,78472;10,81114;10,87514;10,95189;10,97631;11,0552;11,14708;11,17568;11,21482;11,29235;11,35594;11,39722;11,39722;11,57587;11,65294;11,83408;11,87374;12,06607;12,17488;12,28378;12,43694;12,59739;12,67158;12,74797;12,85312;12,85312;12,99613;13,03484;13,07587;13,116;13,18768;13,28656;13,36948;13,42611;13,53719;13,75439;13,95157;13,97729;14,0277;14,19232;14,2125;14,2653;14,39422;14,40586;14,43419;14,57222;14,64957;14,67721;14,85563;14,93767;14,96508;15,03544;15,07752;15,12958;15,21153;15,27443;15,35272;15,40997;15,4773;15,53137;15,53137;15,6352;15,67204;15,72565;15,77729;15,92396;15,99361;16,03334;16,11304;16,4246;16,45398;16,59116;16,69008;16,74673;16,76967;16,98812;17,11244;17,69346;17,76838;17,89548;17,94632;18,09697;18,13477;18,21719;18,21719;18,31169;18,3943;18,43005;18,46558;18,51543;18,58944;18,6365;18,69438;18,7376;18,79413;18,85549;18,94513;19,05357;19,05357;19,11745;19,21193;19,25509;19,34858;19,37075;19,39449;19,47639;19,53337;19,73245;19,79206;20,20603;20,31064;20,49464;20,66985;21,55387;21,59441;21,75565;21,93759;21,97116;22,02763;22,10892;22,31573;22,39091;22,55331;23,31752;23,7912;23,7912;23,99254;24,09462;26,53689;26,67099;26,7573;26,97538;
0;0,1263639;0,5229602;2,521045;2,683128;2,832034;3,024445;3,168559;3,351763;3,364451;3,527032;3,527032;3,686186;3,850873;4,049554;4,049554;4,209237;4,349649;4,490163;4,517844;4,686641;4,790871;4,928959;4,928959;5,669137;5,791034;5,951453;6,190322;6,405647;6,448084;6,461548;6,590124;6,630476;6,868974;7,010186;7,190978;7,29111;7,47141;7,705541;7,768897;7,781448;7,781448;7,963563;7,963563;8,030092;8,042109;8,160018;8,199395;8,269331;8,47151;8,76279;8,910917;9,091839;9,229684;9,268167;9,379843;9,438666;9,566519;9,668346;9,668346;9,680751;9,840638;9,869207;9,992084;10,04866;10,13153;10,25984;10,28951;10,3896;10,41727;10,44837;10,64807;10,74876;11,00178;11,07883;11,1691;11,24868;11,40933;11,4718;11,54666;11,58199;11,64571;11,67028;11,70788;11,83115;11,86873;12,02628;12,08027;12,10869;12,14902;12,24716;12,29111;12,3057;12,42953;12,46733;12,47966;12,66837;12,70679;12,80796;12,88647;12,98954;13,21164;13,24757;13,28774;13,407;13,5808;13,60369;13,67023;13,70656;13,80947;13,86004;13,88588;13,9665;14,02996;14,04257;14,13132;14,14263;14,20677;14,232;14,36953;14,36953;14,41042;14,60851;14,64523;14,73129;14,73129;14,8911;15,0297;15,16129;15,20929;15,2852;15,39183;15,53077;15,53077;15,60649;15,68001;15,70931;15,82126;15,90909;16,16765;16,17897;16,35953;16,42612;16,58187;16,72278;16,92902;16,96802;17,16499;17,26192;17,66993;17,76682;17,8274;18,40907;18,46521;18,60186;18,74029;18,83133;18,86695;18,99169;19,03057;19,10258;19,13079;19,29113;20,14972;20,20405;20,94787;21,08186;21,26537;21,32633;21,3864;21,44494;22,58452;23,25193;23,72793;23,78199;23,88285;24,02916;24,19044;24,21145;24,3873;24,40943;24,80756;24,90284;24,98278;25,06177;25,18577;25,28432;25,41082;25,46904;25,66187;25,74106;26,10644;26,24863;26,44845;27,42799;27,6711;29,26003;29,52479;30,92124;33,66589;
0,1315234;0,9912533;2,024836;2,534033;2,910583;3,164429;3,194262;3,640734;3,970142;4,172464;4,671877;4,791365;4,970472;5,15311;5,731549;5,904939;6,148626;6,208959;6,392961;6,473434;6,572636;6,719791;6,751093;7,400858;7,470728;7,552026;7,648384;7,832357;7,87361;7,913516;8,070023;8,082669;8,254229;8,266354;8,333548;8,452593;8,569572;8,610013;8,691215;8,703077;8,848189;9,013117;9,052832;9,163044;9,232722;9,272799;9,31354;9,42522;9,469482;9,831717;9,920759;9,988619;10,09048;10,16688;10,39096;10,4325;10,5726;10,67319;10,71455;11,15009;11,20142;11,22939;11,29404;11,33227;11,41145;11,45112;11,48986;11,52852;11,60783;11,67224;11,71156;11,77338;11,82204;11,88474;11,91152;11,98485;12,08682;12,15156;12,15156;12,28566;12,32678;12,37264;12,4498;12,53053;12,61104;12,74895;12,75943;12,92823;13,01347;13,01347;13,09017;13,12993;13,24597;13,2717;13,37142;13,44479;13,47262;13,52088;13,6341;13,70154;13,72902;13,75443;13,80543;13,84405;13,9735;13,9735;14,02567;14,13211;14,18361;14,28906;14,38321;14,55452;14,6464;15,20894;15,38589;15,57086;15,60855;15,69301;15,75256;15,85139;15,89004;15,99166;16,03047;16,09387;16,09387;16,20917;16,24555;16,27109;16,33406;16,42394;16,47259;16,62196;16,77304;16,98824;17,13073;17,22903;17,2534;17,34941;17,4095;17,46925;17,5541;17,56562;17,56562;17,72403;17,77339;17,83411;17,83411;17,99326;17,99326;18,05321;18,2121;18,22185;18,30775;18,41445;18,45322;18,50192;18,52864;18,613;18,7092;18,73333;18,83287;18,88257;18,91254;19,12499;19,33335;19,34598;19,8883;20,05214;20,59298;20,62776;20,83126;20,88526;21,10794;21,13405;21,33021;21,41303;21,50582;21,53149;21,71141;21,87312;21,90837;22,15096;22,91244;22,91244;23,09401;23,15373;23,30141;23,39056;24,18579;24,20669;24,39365;24,46893;24,58579;26,40613;26,42566;26,59442;26,68718;26,81422;26,89136;29,12514;
0,199213;0,199213;0,199213;1,243985;1,972564;3,008347;3,455971;3,71303;4,072258;4,113923;4,265106;4,349035;4,544378;4,828881;5,168959;5,325854;5,484738;5,675101;6,016431;6,575824;6,644813;6,725911;6,887611;6,915879;7,055323;7,066862;7,187577;7,215036;7,404036;7,496319;7,70498;7,774954;7,914139;8,013287;8,025799;8,166264;8,194732;8,382754;8,592055;8,603681;8,81249;8,915509;8,915509;9,093721;9,122611;9,313306;9,363433;9,39196;9,4559;9,570471;9,604346;9,712802;9,842913;9,885768;9,931551;10,0927;10,13297;10,14577;10,17384;10,29329;10,45646;10,45646;10,45646;10,57611;10,79397;11,19324;11,29361;11,35648;11,35648;11,45688;11,4956;11,59558;11,63317;11,71323;11,72592;11,82839;11,89461;11,93275;12,05107;12,07679;12,14488;12,18668;12,27175;12,33317;12,41224;12,43652;12,55564;12,55564;12,63273;12,6716;12,75687;12,83188;12,83188;12,93044;12,93044;13,06469;13,15058;13,17294;13,3316;13,35592;13,45313;13,51322;13,60956;13,67463;13,76962;13,85061;13,89315;14,02398;14,07685;14,21125;14,29691;14,31077;14,43532;14,4735;14,53634;14,67087;14,70549;14,75534;14,81358;14,86426;15,05305;15,15168;15,22909;15,35338;15,45409;15,55119;15,69479;15,73407;15,77493;15,89605;15,90941;16,01497;16,09212;16,28526;16,52787;16,67185;16,77378;16,81069;16,87309;16,9368;16,9368;17,08522;17,17395;17,23459;17,24591;17,30635;17,40812;17,51017;17,53199;17,58989;17,61534;17,71282;17,74907;17,91471;17,92675;18,10524;18,17076;18,33245;18,46723;18,68988;18,85565;18,91319;18,99595;19,08886;19,22805;19,37358;19,395;19,54535;19,57419;19,70897;19,76577;19,81546;19,99449;20,25654;20,26694;20,4037;20,55055;20,65119;20,83198;20,87439;20,89665;21,11303;21,1363;21,29212;21,31325;21,54716;21,65249;22,27282;23,04986;23,19474;23,23392;24,01693;25,31427;25,6504;26,01588;26,3747;26,53653;26,67522;28,2901;33,59019;
0,0676689;1,591732;2,392205;2,554116;2,728247;2,943857;3,121539;3,349132;3,521237;4,090256;4,485826;4,707926;5,053654;5,190801;5,350278;5,525283;5,85089;5,985059;6,149897;6,290838;6,450044;6,593726;6,664482;6,77313;7,309676;7,433305;7,489186;7,50242;7,701838;7,728962;7,77077;7,893122;8,111094;8,124371;8,153396;8,221203;8,330516;8,330516;8,422456;8,460649;8,527824;8,631468;8,693503;8,793071;8,833215;8,891538;9,082051;9,109001;9,109001;9,251328;9,263974;9,407448;9,749394;9,908364;9,94943;10,15062;10,15062;10,34396;10,3709;10,51297;10,52414;10,5904;10,72987;10,8308;10,86938;11,01307;11,16441;11,20328;11,29233;11,44951;11,52968;11,62145;11,74034;11,80451;11,97233;12,02521;12,14957;12,21243;12,33304;12,45061;12,51169;12,58139;12,58139;12,69034;12,69034;12,841;12,841;12,95312;12,95312;13,01289;13,42939;13,47167;13,52356;13,60743;13,65302;13,83245;13,88563;13,94054;14,02705;14,20327;14,2303;14,26656;14,26656;14,43301;14,4835;14,58948;14,66806;14,69286;14,73237;14,87124;14,93103;14,93103;14,97246;15,06981;15,1287;15,18941;15,20153;15,27075;15,53023;15,74762;15,79164;15,82079;15,8897;15,92882;16,09036;16,10341;16,14263;16,25225;16,26372;16,43393;16,44298;16,56793;16,66437;16,75161;16,85106;16,85106;16,99087;17,02844;17,05406;17,12728;17,18931;17,22647;17,36965;17,47302;17,95071;17,95071;18,01304;18,17365;18,21422;18,2699;18,36931;18,44204;18,49055;18,98406;19,01208;19,16496;19,28949;19,31101;19,334;19,49202;19,49202;19,6299;19,73073;19,82709;20,00729;20,07086;20,20513;20,44979;20,63166;20,76818;20,85014;20,95033;20,97122;21,22398;21,39096;21,41209;21,62975;21,66794;21,72831;21,85191;22,25201;22,36884;22,4276;22,44917;22,6512;22,7106;22,8714;22,97428;23,19346;23,22438;23,29223;23,76894;23,85157;24,0504;24,14617;24,71012;27,89123;28,54948;29,73216;31,44659;
1,615291;2,371983;2,636657;2,664638;3,063624;3,213048;3,516599;3,516599;3,692959;3,816334;3,953076;3,995416;4,365694;4,406617;4,643693;4,796133;5,134293;5,283421;5,456478;5,609073;5,794231;5,971848;6,195441;6,342867;6,383173;6,833527;7,071657;7,111978;7,124063;7,274042;7,313803;7,426522;7,45055;7,590279;7,716508;7,716508;7,876544;8,211458;8,343778;8,423617;8,450589;8,490939;8,502306;8,624955;8,664945;8,745655;8,854116;8,934007;8,993183;9,088288;9,165223;9,273511;9,473806;9,550094;9,634318;9,826307;9,826307;9,930989;10,04948;10,09066;10,11596;10,11596;10,27477;10,28718;10,35556;10,39396;10,59673;10,76391;10,89594;10,93489;11,08377;11,11042;11,1967;11,27131;11,27131;11,39626;11,40772;11,47165;11,56945;11,65538;11,75266;11,79181;11,84368;11,84368;11,93644;12,03682;12,07593;12,22553;12,25034;12,46489;12,46489;12,49278;12,5303;12,6942;12,83137;12,89355;13,00735;13,14953;13,19609;13,19609;13,27344;13,31262;13,37599;13,45524;13,49488;13,63596;13,64787;13,6866;13,71398;13,81006;13,88896;13,94533;13,99552;14,09629;14,13299;14,17051;14,23127;14,29525;14,39452;14,39452;14,53218;14,59338;14,75066;14,75066;14,79095;14,93483;14,97478;15,01361;15,02489;15,11667;15,22819;15,32791;15,51385;15,51385;15,54917;15,67137;15,74462;15,79552;15,87044;15,97318;16,13498;16,1737;16,3946;16,43201;16,54628;16,71266;16,80964;16,84845;16,99092;17,01596;17,07469;17,26246;17,29226;17,54911;17,57247;17,71631;17,75249;17,87679;17,87679;17,94969;17,98649;18,05216;18,10711;18,17138;18,207;18,24277;18,6298;18,75126;18,79125;18,94986;19,79593;20,21178;20,32813;20,4857;20,58874;20,68478;20,79678;20,86592;21,03209;21,23263;22,04153;22,21083;22,2741;22,43253;22,61013;22,77445;22,93507;23,0656;23,21194;23,87325;24,41454;24,45016;24,6131;24,79105;24,99001;27,35245;27,57328;27,6736;27,72679;29,87062;
0,1475891;2,545406;2,864519;3,156062;3,304997;3,533332;3,936337;4,008084;4,091041;4,507322;4,663283;4,891409;5,103616;5,2719;5,493177;5,573292;5,665854;6,115435;6,263299;6,405276;6,435178;6,615219;6,64325;6,793078;7,167188;7,332607;7,516441;7,529243;7,529243;7,686502;7,871628;8,032586;8,516345;8,582844;8,747615;8,831104;8,870399;8,991131;9,252085;9,335113;9,464457;9,582737;9,636169;9,726569;9,75257;9,869113;9,869113;9,953967;10,0734;10,08485;10,19319;10,27441;10,35375;10,43296;10,49172;10,61067;10,62314;10,77185;10,78557;10,9353;11,01652;11,09453;11,1877;11,26425;11,4158;11,45554;11,4937;11,59362;11,65598;11,65598;11,83499;11,8717;11,94647;12,01578;12,02898;12,11446;12,19512;12,29349;12,36326;12,4749;12,57556;12,69364;12,69364;12,81243;12,82368;12,88743;12,99511;12,99511;13,09603;13,14579;13,21;13,21;13,28253;13,37085;13,37085;13,39538;13,69383;13,75603;13,83333;13,87268;13,97429;13,97429;14,17099;14,17099;14,18194;14,28795;14,37234;14,45381;14,49541;14,55277;14,79468;14,83491;14,99582;15,17324;15,17324;15,31406;15,35254;15,36481;15,455;15,58893;15,65591;15,76904;15,76904;15,93338;15,97103;16,2543;16,33257;16,40804;16,53288;16,65065;16,71414;16,84482;16,84482;16,88275;17,00788;17,03295;17,21319;17,25103;17,27588;17,35008;17,47194;17,49641;17,50839;17,63288;17,71124;17,79608;17,89495;18,00578;18,09546;18,09546;18,19316;18,27382;18,45578;18,64503;18,74701;18,77494;18,87375;18,92488;19,01075;19,01075;19,10981;19,10981;19,25595;19,35024;19,46586;19,63444;19,76943;20,00923;20,00923;20,17472;20,23217;20,31132;20,33531;20,43324;20,52713;20,57516;20,74766;20,77038;21,11201;21,13474;21,25649;21,74768;22,16776;22,39414;22,46404;22,61637;23,0274;23,11216;24,63595;24,71161;24,83178;24,98789;25,17499;25,20943;27,17241;27,91043;28,58908;29,92694;29,99231;31,0543;
0,1651913;0,7722608;1,881061;1,942797;2,525144;3,023589;3,27;3,861523;4,058926;4,507412;4,676434;5,081052;5,284029;5,459679;5,672184;5,757413;5,848227;6,012232;6,067757;6,151686;6,208766;6,723813;6,830762;6,911373;7,070029;7,265138;7,651853;7,712303;7,807178;7,892048;7,946448;8,028759;8,080539;8,189763;8,247432;8,362756;8,429201;8,507043;8,663229;8,78188;8,8861;8,990393;9,029226;9,131131;9,208532;9,247788;9,291925;9,424249;9,506549;9,518723;9,929941;10,07891;10,1188;10,25134;10,29091;10,3307;10,44641;10,47084;10,48248;10,6495;10,68722;10,76272;10,92962;10,96715;11,00607;11,1429;11,30959;11,34793;11,49204;11,5315;11,54374;11,65946;11,73861;11,76704;11,8499;12,22869;12,26612;12,46709;12,46709;12,49091;12,60474;12,68518;12,68518;12,77128;12,80819;12,92289;12,95134;12,96335;13,10062;13,10062;13,22624;13,26296;13,31701;13,35988;13,43989;13,52532;13,6869;13,75222;13,80601;13,90574;14,05205;14,09118;14,14174;14,19222;14,26751;14,32427;14,35022;14,44013;14,53159;14,56958;14,64736;14,76301;14,78994;14,83033;14,93205;14,94408;15,00988;15,12694;15,19066;15,22875;15,27917;15,37044;15,38258;15,47947;15,5181;15,60965;15,7506;15,80176;15,96064;16,0289;16,18569;16,27042;16,35185;16,44845;16,54664;16,60885;16,72199;16,76021;16,84709;16,90676;16,93011;17,02821;17,06267;17,10938;17,14561;17,23226;17,34123;17,40552;17,50705;17,67948;17,78489;17,81137;17,84834;17,97112;18,02694;18,12822;18,30429;18,42752;18,46245;18,76196;18,98995;19,16596;19,36601;19,39038;19,54699;19,54699;19,60741;19,72897;19,7415;19,82998;19,87994;19,98266;20,0486;20,2678;20,2678;20,52698;20,5839;20,62986;20,9057;20,94865;20,98451;21,04632;21,14756;21,22342;21,38745;21,66726;21,76979;22,04634;24,34927;24,55132;26,92674;27,90854;28,02454;28,08977;28,27085;28,43649;28,76926;31,24286;31,4487;31,77128;
2,419946;2,797742;3,147012;3,29928;3,370588;3,607794;3,798337;3,827395;3,950957;4,189168;4,299735;4,437788;4,538714;4,825974;5,010616;5,106079;5,149167;5,299373;5,966988;6,108802;6,329557;6,370471;6,519218;6,577706;6,659832;6,780094;6,807615;6,950698;7,171033;7,228673;7,445943;7,601251;7,76727;7,90125;8,024624;8,069042;8,209957;8,221771;8,251069;8,305519;8,377494;8,405607;8,486691;8,5377;8,608315;8,660039;8,698506;8,789929;8,969379;9,04567;9,165386;9,528643;9,578908;9,641934;9,708033;9,930894;10,00978;10,20744;10,3897;10,59053;10,61799;10,67016;10,71023;10,84986;10,88772;10,92605;10,99078;11,10358;11,20567;11,20567;11,26963;11,30737;11,44766;11,44766;11,60683;11,73043;11,76849;11,89825;11,95074;12,13003;12,16983;12,20998;12,24995;12,33851;12,42907;12,46781;12,46781;12,61037;12,68684;12,76968;12,86578;12,8899;13,04807;13,22967;13,42735;13,46587;13,47886;13,5075;13,62763;13,68923;13,72777;13,72777;13,86632;13,90886;13,96167;14,08558;14,08558;14,16228;14,20005;14,28389;14,28389;14,46787;14,46787;14,50921;14,50921;14,62739;14,72189;14,76196;14,92208;14,92208;14,96051;15,01099;15,22896;15,22896;15,38052;15,39675;15,43924;15,50549;15,56852;15,68913;15,81033;15,85092;15,94199;15,96812;16,04975;16,20871;16,38091;16,44555;16,48397;16,56184;16,66709;16,84619;17,005;17,005;17,04059;17,22538;17,32621;17,71105;17,90596;17,90596;17,94451;18,04432;18,0816;18,1686;18,30497;18,41051;18,50681;18,62961;18,72643;18,8857;19,02694;19,18689;19,20962;19,34578;19,54531;19,59054;19,60111;19,7504;19,79808;19,90816;19,96572;20,30419;20,34026;20,49035;20,73008;20,73008;20,90521;21,07068;21,16939;21,26711;21,36478;21,46254;21,54283;21,64698;21,74125;21,82491;21,9803;22,14475;22,46857;22,68712;22,74543;22,90991;23,01127;23,2491;23,38352;23,42778;23,80426;23,82767;24,00134;24,51091;
