Personne 0;Personne 1;Personne 2;Personne 3;Personne 4;Personne 5;Personne 6;Personne 7;Personne 8;Personne 9;Personne 10;Personne 11;Personne 12;Personne 13;Personne 14;Personne 15;Personne 16;Personne 17;Personne 18;Personne 19;Personne 20;Personne 21;Personne 22;Personne 23;Personne 24;Personne 25;Personne 26;Personne 27;Personne 28;Personne 29;Personne 30;Personne 31;Personne 32;Personne 33;Personne 34;Personne 35;Personne 36;Personne 37;Personne 38;Personne 39;Personne 40;Personne 41;Personne 42;Personne 43;Personne 44;Personne 45;Personne 46;Personne 47;Personne 48;Personne 49;Personne 50;Personne 51;Personne 52;Personne 53;Personne 54;Personne 55;Personne 56;Personne 57;Personne 58;Personne 59;Personne 60;Personne 61;Personne 62;Personne 63;Personne 64;Personne 65;Personne 66;Personne 67;Personne 68;Personne 69;Personne 70;Personne 71;Personne 72;Personne 73;Personne 74;Personne 75;Personne 76;Personne 77;Personne 78;Personne 79;Personne 80;Personne 81;Personne 82;Personne 83;Personne 84;Personne 85;Personne 86;Personne 87;Personne 88;Personne 89;Personne 90;Personne 91;Personne 92;Personne 93;Personne 94;Personne 95;Personne 96;Personne 97;Personne 98;Personne 99;Personne 100;Personne 101;Personne 102;Personne 103;Personne 104;Personne 105;Personne 106;Personne 107;Personne 108;Personne 109;Personne 110;Personne 111;Personne 112;Personne 113;Personne 114;Personne 115;Personne 116;Personne 117;Personne 118;Personne 119;Personne 120;Personne 121;Personne 122;Personne 123;Personne 124;Personne 125;Personne 126;Personne 127;Personne 128;Personne 129;Personne 130;Personne 131;Personne 132;Personne 133;Personne 134;Personne 135;Personne 136;Personne 137;Personne 138;Personne 139;Personne 140;Personne 141;Personne 142;Personne 143;Personne 144;Personne 145;Personne 146;Personne 147;Personne 148;Personne 149;Personne 150;Personne 151;Personne 152;Personne 153;Personne 154;Personne 155;Personne 156;Personne 157;Personne 158;Personne 159;Personne 160;Personne 161;Personne 162;Personne 163;Personne 164;Personne 165;Personne 166;Personne 167;Personne 168;Personne 169;Personne 170;Personne 171;Personne 172;Personne 173;Personne 174;Personne 175;Personne 176;Personne 177;Personne 178;Personne 179;Personne 180;Personne 181;Personne 182;Personne 183;Personne 184;Personne 185;Personne 186;Personne 187;Personne 188;Personne 189;Personne 190;Personne 191;Personne 192;Personne 193;Personne 194;Personne 195;Personne 196;Personne 197;Personne 198;Personne 199;Personne 200;Personne 201;Personne 202;Personne 203;Personne 204;Personne 205;Personne 206;Personne 207;Personne 208;Personne 209;Personne 210;Personne 211;Personne 212;Personne 213;Personne 214;Personne 215;Personne 216;Personne 217;Personne 218;Personne 219;Personne 220;Personne 221;Personne 222;Personne 223;Personne 224;Personne 225;Personne 226;Personne 227;Personne 228;Personne 229;Personne 230;Personne 231;Personne 232;Personne 233;Personne 234;Personne 235;Personne 236;Personne 237;Personne 238;Personne 239;Personne 240;Personne 241;Personne 242;Personne 243;Personne 244;Personne 245;Personne 246;Personne 247;Personne 248;Personne 249
1,156199;1,299255;1,336784;1,516571;1,62945;1,656184;1,832996;1,854533;2,020041;2,078202;2,212431;2,237892;2,374585;2,507757;2,595812;2,639499;2,857362;3,059464;3,11739;3,273786;3,377175;3,474152;3,617752;3,719664;3,759354;3,937076;4,057662;4,068329;4,184212;4,418355;4,52975;4,52975;4,577939;4,839348;4,911489;5,039137;5,137672;5,236083;5,252319;5,485375;5,631796;5,693827;5,849364;5,916577;6,098872;6,279912;6,390368;6,493638;6,678106;6,877647;7,015255;7,076527;7,155737;7,49444;7,630658;7,697193;7,757057;8,092859;8,118323;8,23848;8,31843;8,479683;8,538571;8,636424;8,956141;9,096875;9,158509;9,158509;9,260862;9,673822;9,832114;9,832114;9,888001;10,0793;10,25408;10,35729;10,43397;10,47888;10,55948;10,69908;10,89291;11,21906;11,37823;11,43924;11,43924;11,81619;12,03671;12,2328;12,27257;12,47164;12,53601;12,73485;13,03825;13,19866;13,21753;13,23323;13,51556;13,5384;13,65473;13,69915;13,85911;13,97315;14,21895;14,41816;14,41816;14,45567;14,47518;14,67596;14,82684;14,89641;14,99993;15,07745;15,13329;15,33307;15,37748;15,53525;15,67881;15,73973;15,81925;16,07619;16,33597;16,37958;16,45618;16,67464;16,75518;16,83525;16,8758;17,01928;17,03875;17,25701;17,25701;17,45983;17,51929;17,61892;17,79991;17,85554;17,97698;17,99626;18,07706;18,21814;18,49728;18,61906;18,63846;18,87794;18,91685;18,95468;19,21967;19,43578;19,51661;19,61786;19,71743;19,85781;19,93699;20,17855;20,27797;20,45484;20,63922;20,9993;21,1361;21,15536;21,21834;21,43014;21,49767;21,75909;21,81457;21,93912;22,1375;22,17928;22,17928;22,29782;22,47339;22,67802;22,67802;22,73363;23,09583;23,17876;23,35835;23,57834;23,63658;23,69817;23,75987;23,89676;24,09755;24,21461;24,33451;24,59529;24,6162;24,69944;24,89738;24,9979;25,03841;25,21445;25,23833;25,37508;25,61493;25,63897;25,77371;25,85958;26,07699;26,07699;26,13849;26,37743;26,53707;26,63983;26,8189;27,0596;27,25828;27,27766;27,47471;27,71479;27,81505;28,15517;28,17679;28,17679;28,73493;28,81772;29,09681;29,25765;29,47812;29,83869;30,55758;30,83721;31,1185;31,55811;31,91986;32,09946;32,51607;32,71844;32,89619;33,15978;33,49401;33,49401;33,85827;34,05796;34,33652;34,49876;35,21544;35,41949;35,87714;36,01405;36,25884;36,53761;37,03761;37,3198;37,79894;38,07688;38,47749;38,95685;39,45796;39,87674
1,45899;1,495284;1,677928;1,71816;1,937275;1,937275;2,159378;2,217888;2,37344;2,395349;2,415374;2,476997;2,596444;2,673801;2,758913;2,936963;2,95956;3,178312;3,277004;3,396451;3,573141;3,694891;3,739002;3,878005;3,998207;4,156987;4,195714;4,253781;4,417099;4,438577;4,495153;4,554811;4,835893;5,019196;5,255474;5,372093;5,558821;5,616691;5,735147;5,937055;5,994282;6,137283;6,274623;6,319203;6,355851;6,55745;6,578799;6,675341;6,799878;7,157823;7,275455;7,296774;7,435278;7,456769;7,597913;7,715374;7,837505;8,036592;8,114264;8,137034;8,216908;8,339043;8,438966;8,575412;8,599497;8,656689;8,779429;8,89804;8,956491;9,156166;9,215385;9,298499;9,479403;9,516714;9,699999;9,754852;9,898088;9,939259;10,09379;10,2989;10,39994;10,43684;10,55867;10,67862;10,77628;10,79663;11,19786;11,31833;11,35502;11,43437;11,45424;11,69481;11,85666;11,91604;12,17479;12,25382;12,35828;12,51947;12,53932;12,81593;13,01449;13,09549;13,25744;13,27837;13,33671;13,53998;13,67841;13,83836;13,85869;13,91714;14,39978;14,39978;14,47479;14,59843;14,79638;14,85419;15,03519;15,11988;15,35431;15,49921;15,81588;15,95846;16,01971;16,03904;16,19592;16,339;16,47523;16,65997;16,71926;16,91953;17,0799;17,23379;17,29816;17,41616;17,59446;17,67979;17,71663;17,73605;17,85704;17,9787;18,09885;18,11895;18,35641;18,35641;18,53811;18,59993;18,59993;18,75747;18,83722;19,05842;19,21932;19,2556;19,4151;19,4151;19,61535;19,73805;19,87951;19,89736;20,01949;20,21517;20,25777;20,4364;20,51942;20,57698;20,6978;20,75686;20,9786;21,23633;21,35898;21,65349;21,77608;21,85398;22,03448;22,0538;22,33502;22,61628;22,63963;22,75889;22,75889;23,17994;23,33786;23,35621;23,43777;23,63716;23,77797;23,83555;24,13734;24,43978;24,63811;24,65728;24,65728;24,97868;24,99661;25,0974;25,23983;25,51673;25,63874;25,75415;25,79939;25,97671;26,11983;26,23477;26,39979;26,51921;26,71676;26,77801;26,97649;27,05572;27,2195;27,59845;27,59845;27,83907;27,91817;28,05851;28,23679;28,23679;28,39895;28,71725;28,73957;28,93964;29,13838;29,25552;29,27804;29,49619;29,65871;29,7995;30,03876;30,19901;30,33698;30,49726;30,63502;30,87836;30,9766;31,1594;31,2353;31,53608;31,57791;31,81925;31,87525;32,11768;32,29661;32,39544;32,65808;32,65808;33,25513;34,15798;34,83893;35,05733;35,67645;35,97836
1,112;1,631155;1,771665;1,791269;1,976407;2,191196;2,289606;2,332863;2,473735;2,533894;2,533894;2,732852;2,775863;2,815232;2,953305;3,095546;3,233837;3,273871;3,516927;3,536311;3,671932;3,916492;3,976142;4,012482;4,2125;4,2314;4,372868;4,435726;4,53593;4,673217;4,736225;4,935899;5,155226;5,251567;5,536627;5,614795;5,793335;5,852327;5,896013;6,013076;6,195892;6,195892;6,353404;6,454883;6,516649;6,713583;6,85441;6,872898;6,994874;7,114965;7,276581;7,456739;7,576522;7,594708;7,754485;7,816708;8,052801;8,09537;8,296275;8,333101;8,351539;8,514937;8,655018;8,691869;8,73659;9,01254;9,052587;9,27375;9,351665;9,494083;9,536175;9,61146;9,635509;9,932907;9,969611;10,25159;10,3735;10,53453;10,61204;10,97349;10,97349;11,15395;11,29248;11,35533;11,41338;11,51449;11,67371;11,83389;11,85182;11,89377;12,07374;12,17552;12,33209;12,35319;12,49188;12,572;12,65321;12,7155;12,85687;12,87538;13,11307;13,17203;13,27413;13,47499;13,55193;13,65639;13,81658;13,93191;14,13331;14,29682;14,35314;14,49552;14,75587;14,77291;14,79531;15,07631;15,11394;15,11394;15,47676;15,65294;15,67669;15,71494;15,77437;16,11683;16,11683;16,29449;16,33501;16,61479;16,65308;16,6939;16,97647;16,99158;17,1531;17,41166;17,45098;17,49642;17,5906;17,67543;17,83629;17,89322;18,0355;18,0355;18,09027;18,09027;18,35234;18,47324;18,55174;18,67347;18,75301;18,79673;18,91489;19,11311;19,27588;19,57334;19,63253;19,69617;19,89637;20,0928;20,35368;20,39561;20,5345;20,67496;20,73178;20,7954;20,83395;21,05247;21,13245;21,17581;21,59146;21,59146;21,59146;21,73174;21,77617;21,83619;22,07337;22,09638;22,55161;22,55161;22,55161;22,55161;22,88494;22,88494;22,88494;22,88494;22,9291;22,94561;23,09557;23,25618;23,33313;23,35233;23,71463;23,73209;23,99351;24,17305;24,19678;24,53213;24,71316;24,79639;24,99546;25,31628;25,4341;25,63557;25,77471;25,89687;26,23547;26,25364;26,51411;26,6362;26,79511;27,09322;27,23474;27,45399;27,59239;27,69679;27,97312;28,0941;28,29424;28,57648;28,87444;28,89397;29,23258;29,35616;29,69355;29,83691;30,05345;30,77229;30,8741;31,11387;31,53089;31,91593;32,23589;32,75356;33,07453;33,31482;33,67551;34,13576;34,53479;34,77411;35,13357;35,73502;36,11611;36,47256;36,77126;37,21447;37,73666;38,09662;38,59269;38,93269;39,435;39,81668
1,067565;1,453752;1,469861;1,649931;1,649931;1,870865;1,870865;2,170831;2,211296;2,331402;2,469196;2,5879;2,708196;2,728083;3,01126;3,052327;3,272748;3,312301;3,492196;3,549539;3,713608;3,826996;3,985848;4,106889;4,170353;4,192622;4,209579;4,432713;4,48636;4,629436;4,710811;4,788189;4,969911;5,113416;5,113416;5,273898;5,409636;5,512488;5,692346;5,729739;5,729739;5,973657;6,093545;6,231977;6,432512;6,432512;6,608689;6,608689;6,708516;6,929193;6,929193;7,092061;7,331092;7,492833;7,530786;7,591307;7,833349;7,87013;7,949857;7,993841;8,113346;8,351755;8,489507;8,57128;8,609124;8,731176;8,913218;8,949069;9,109198;9,212315;9,251143;9,270473;9,489451;9,55281;9,55281;9,709727;9,812394;9,932583;10,09261;10,23174;10,37094;10,38872;10,41262;10,69014;10,73181;10,78812;10,96924;11,01098;11,05177;11,2935;11,31158;11,57248;11,67209;11,69389;11,82944;11,89283;12,02919;12,23239;12,29261;12,46975;12,56815;12,65218;12,77152;12,97215;13,01338;13,13245;13,41332;13,61122;13,79324;13,85304;13,8731;14,07348;14,23048;14,29064;14,31325;14,73349;14,77367;14,93065;15,02977;15,10957;15,51085;15,573;15,67141;15,8532;16,05335;16,09389;16,12966;16,37113;16,38814;16,5527;16,77128;16,90926;16,9325;17,27013;17,51247;17,51247;17,85186;18,09119;18,12958;18,35079;18,49113;18,57045;18,65141;18,912;19,00887;19,03228;19,23184;19,41022;19,43182;19,65024;19,672;19,7327;19,82974;19,9503;20,15028;20,25019;20,38802;20,56876;20,61268;20,73211;20,95151;21,03388;21,19358;21,40922;21,57025;21,5929;21,83088;21,95201;22,05298;22,18946;22,21244;22,37355;22,5534;23,05349;23,17232;23,19318;23,39138;23,51275;23,61369;23,80999;23,87226;24,05217;24,10947;24,14983;24,32897;24,37251;24,40959;24,69052;24,72866;24,87362;24,88915;25,17388;25,18877;25,36876;25,40964;25,65073;25,71148;25,9697;26,05148;26,23265;26,25243;26,39373;26,52933;26,69126;26,69126;26,87119;27,07085;27,35339;27,38894;27,51249;27,63189;28,03082;28,13381;28,32933;28,37277;28,43151;28,59186;28,81135;28,99089;29,4731;29,84951;29,98879;30,47307;30,63263;31,0136;31,27204;31,49243;31,69355;31,99099;32,47352;32,63121;33,09188;33,49101;33,71313;33,95031;34,19291;34,61332;35,23005;35,35252;35,95227;36,1114;36,57039;36,85173;37,07065;37,37399;37,73367;38,71391;38,89088;39,21293;39,8723
0,9902605;1,055733;1,352067;1,474716;1,654531;1,736176;1,874052;1,973347;2,170111;2,170111;2,376318;2,409213;2,454295;2,59508;2,704512;2,775481;3,090934;3,13224;3,171391;3,212661;3,45664;3,495493;3,636911;3,716967;3,892845;4,035318;4,075273;4,233398;4,255547;4,415421;4,473711;4,594704;4,715986;5,076381;5,095823;5,13435;5,270845;5,43654;5,455319;5,596955;5,815878;5,892708;5,892708;6,09119;6,231882;6,353655;6,67303;6,71653;6,73493;6,793328;6,971787;6,991198;7,295791;7,332854;7,437109;7,773449;7,9126;7,932056;8,056469;8,113018;8,594531;8,712246;8,813191;8,855415;8,874062;9,115626;9,135498;9,316061;9,395339;9,433531;9,557076;9,696709;10,13605;10,15495;10,21589;10,51699;10,65289;10,81709;10,87696;10,91602;11,1171;11,135;11,23501;11,47483;11,59648;11,69427;11,79708;11,89405;11,97496;11,99309;12,03542;12,41305;12,61483;12,65544;12,81479;13,07214;13,09563;13,09563;13,33691;13,3723;13,5922;13,65296;13,65296;13,7168;13,9924;14,25099;14,61649;14,69559;14,71375;15,15411;15,21577;15,27519;15,5738;15,5738;15,67272;15,79533;15,89216;15,93494;16,11375;16,27409;16,35642;16,43227;16,63693;16,69447;16,93281;17,17358;17,35666;17,35666;17,85337;17,87547;18,13633;18,25667;18,41596;18,69173;18,87663;18,95392;19,09489;19,21407;19,29208;19,43168;19,5729;19,65702;19,93446;20,05375;20,19259;20,49213;20,59425;20,75319;20,95583;21,03493;21,05651;21,15563;21,35675;21,49252;21,6138;21,69573;22,01498;22,07506;22,33501;22,37431;22,53406;22,59554;22,75449;22,87217;23,05297;23,05297;23,0967;23,33349;23,576;23,6158;23,795;23,87278;24,07261;24,09349;24,25532;24,33689;24,47308;24,79643;24,83393;25,19453;25,39565;25,45585;25,61496;25,69276;25,936;25,936;26,3564;26,3564;26,47377;26,59583;26,83344;27,03427;27,25466;27,45606;27,69653;27,71669;27,97388;27,99461;28,19261;28,45488;28,5146;28,8532;28,9556;29,1371;29,3931;29,51507;29,63566;29,81628;29,89681;30,13554;30,23619;30,31218;30,49495;30,49495;30,75446;30,79043;30,83638;30,95464;31,05459;31,15437;31,21669;31,41558;31,65508;31,65508;31,97429;32,25698;32,33662;32,41381;32,6141;32,69561;32,91484;32,97511;33,15607;33,53243;33,71444;33,87381;34,31443;34,41242;34,81554;35,11713;35,19285;35,75586;36,07525;36,35658;36,71282;37,33329;37,73532;38,01632;39,03682;39,55647
0,9112781;0,9315894;1,275736;1,353229;1,433797;1,551818;1,753644;2,052176;2,27193;2,511564;2,60979;2,649968;2,774117;2,894304;2,907892;3,112348;3,170536;3,170536;3,330099;3,355824;3,494753;3,51425;3,672237;3,775317;3,934684;3,990284;4,213989;4,233116;4,331579;4,331579;4,553805;4,572664;4,671542;4,81173;4,910283;5,134512;5,190577;5,213531;5,350184;5,394945;5,495427;5,873713;5,972066;6,111676;6,234445;6,43374;6,51398;6,670749;6,670749;6,771154;6,853199;7,015885;7,153683;7,372184;7,573745;7,755248;7,972609;8,034454;8,113148;8,134671;8,255452;8,535883;8,635695;8,813403;9,135486;9,172421;9,375817;9,492161;9,573964;9,611679;9,771232;10,07154;10,41385;10,83439;10,89293;10,93089;11,05424;11,17373;11,51011;11,71159;11,79473;11,87292;11,93504;12,01543;12,4953;12,55455;12,65329;12,67126;12,79447;12,95318;13,1107;13,15209;13,29418;13,43524;13,55089;13,55089;13,81182;14,19474;14,41543;14,43328;14,53363;14,73114;14,8754;14,93354;14,9935;15,07121;15,21467;15,35058;15,59287;15,67548;15,73381;16,01457;16,09219;16,25476;16,3353;16,57111;16,67319;16,67319;16,77292;16,95269;17,23541;17,2526;17,29227;17,49476;17,57405;17,71256;17,77044;17,79417;18,05338;18,11148;18,21438;18,25144;18,41402;18,47558;18,69529;18,795;18,83423;18,93285;19,33393;19,59483;19,77501;19,79208;19,95157;20,07152;20,15493;20,15493;20,41264;20,57398;20,59571;20,67357;20,83188;20,87258;20,95554;21,11293;21,15348;21,21367;21,31096;21,55513;21,63392;21,83455;21,93432;22,2553;22,29284;22,39193;22,45139;22,79291;22,79291;22,85433;23,03511;23,25427;23,27143;23,65207;23,67288;24,15551;24,39182;24,5147;24,57263;24,81277;25,07327;25,19397;25,39375;25,4912;25,59332;25,71257;25,93517;26,09475;26,21484;26,3918;26,4123;26,47332;26,59368;26,77461;26,83578;27,05363;27,13209;27,19234;27,27428;27,45232;27,63201;27,85542;27,97454;28,29301;28,29301;28,533;28,63497;28,67418;28,69395;28,9941;29,07422;29,17436;29,53279;29,55234;29,73546;29,79496;29,83258;30,07279;30,21191;30,39202;30,57198;30,73208;30,87413;31,03228;31,15229;31,37549;31,49516;31,63236;31,81561;32,01561;32,03451;32,27595;32,29478;32,39311;32,51286;32,83178;33,07338;33,25235;33,41133;33,5753;33,93092;34,07455;34,29581;34,37342;34,61314;34,65121;34,89196;34,93404;35,13152;35,41467;35,85537;36,65205
1,177026;1,45651;1,655161;1,757193;1,77741;1,957338;2,099208;2,194526;2,299049;2,418081;2,519902;2,519902;2,63767;2,696603;2,797589;2,957268;3,138345;3,237907;3,277965;3,317096;3,477731;3,554604;3,574823;3,619853;3,839068;3,878288;4,019135;4,178935;4,353912;4,453044;4,599277;4,751346;4,874086;4,899796;5,116683;5,297019;5,356342;5,438142;5,67562;5,819577;5,855818;5,933809;6,13903;6,356208;6,396167;6,459404;6,818367;6,857308;6,93737;7,336287;7,453812;7,534013;7,776182;7,853333;8,095639;8,137903;8,158666;8,198702;8,419325;8,419325;8,575002;8,595889;8,616577;8,775507;8,918934;9,115606;9,115606;9,23937;9,437887;9,457708;9,477315;9,717169;9,876885;9,896724;10,01934;10,21595;10,43679;10,49953;10,57642;10,67853;10,75544;10,85668;11,0388;11,15868;11,21914;11,47661;11,51907;11,53814;11,61976;11,75862;11,81547;11,95544;12,05845;12,23581;12,3187;12,49316;12,61541;12,77374;12,89624;12,9391;13,25412;13,29864;13,39476;13,59551;13,63907;13,75486;13,91906;14,01899;14,05629;14,21822;14,23636;14,35829;14,55846;14,59851;14,65339;14,75541;14,91755;15,03648;15,07471;15,13609;15,39791;15,5151;15,73733;15,79875;15,81803;16,09773;16,09773;16,09773;16,1392;16,45634;16,49664;16,77487;16,95709;17,09926;17,17765;17,37719;17,41743;17,57802;17,77604;17,85928;18,13748;18,15505;18,33587;18,55428;18,61631;18,73986;18,75749;19,03716;19,19484;19,23593;19,29705;19,57761;19,67894;19,73984;19,89833;19,97702;20,55536;20,67654;20,69478;20,75755;20,95974;21,03465;21,1771;21,23438;21,51824;21,63759;21,7596;21,7796;21,93604;22,057;22,19907;22,41793;22,47778;22,5775;22,77631;22,93765;23,09703;23,15924;23,3188;23,37897;23,39976;23,53629;23,65874;23,89867;23,95631;24,07888;24,19724;24,37888;24,55578;24,75546;24,85823;25,01672;25,15889;25,2787;25,296;25,33889;25,59823;25,71802;25,81813;25,97562;26,05607;26,31605;26,59922;26,61956;26,71646;26,99825;27,03911;27,07475;27,25845;27,35856;27,37888;27,57611;27,67563;27,81925;28,09883;28,09883;28,25882;28,33615;28,43712;28,5394;28,67727;28,7362;28,85799;29,03702;29,13499;29,41908;29,43922;29,757;29,87986;30,09855;30,23626;30,23626;30,49601;30,61545;30,69849;30,77937;30,79565;30,99669;31,27823;31,33602;31,47846;31,55953;31,75322;31,99851;32,27565;32,63909;32,93783;33,27679;33,49418;33,83903
0,9815755;1,666658;1,803806;1,948163;2,147115;2,503068;2,64829;2,841528;2,942461;3,124611;3,302031;3,383086;3,507002;3,685416;3,745138;3,848521;4,006854;4,026045;4,164337;4,248056;4,248056;4,268033;4,408247;4,489429;4,544357;4,8009;4,845481;4,886312;5,082332;5,249223;5,308007;5,606306;5,729369;5,762457;5,983839;6,248602;6,285747;6,322798;6,369249;6,686928;6,801225;6,909276;6,943709;7,027282;7,369169;7,386527;7,548114;7,627834;7,627834;7,726785;7,925511;8,04805;8,129308;8,324173;8,509119;8,6074;8,646535;8,742498;8,948156;8,948156;9,108803;9,14631;9,368071;9,407845;9,545283;9,725889;9,742188;9,765525;10,08261;10,20215;10,26794;10,34763;10,50817;10,62699;10,74892;10,80338;11,06779;11,18502;11,22533;11,30431;11,44864;11,56552;11,72865;11,76539;11,88828;11,96623;12,20861;12,30846;12,40219;12,50883;12,5236;12,72861;12,76474;12,84589;13,06836;13,06836;13,14346;13,26516;13,34342;13,48864;13,68449;13,94912;14,10603;14,12852;14,26567;14,5061;14,56789;14,6052;14,72406;14,88687;14,90491;15,10486;15,32836;15,46845;15,84811;16,0646;16,12824;16,30875;16,34604;16,40343;16,70755;16,72888;16,92734;17,10942;17,36754;17,42483;17,44726;17,5283;17,68495;17,94426;18,02432;18,40481;18,48294;18,50496;18,72566;18,72566;18,9043;18,94653;19,14427;19,24725;19,42404;19,42404;19,48642;19,64448;19,76445;20,18673;20,34817;20,36786;20,48329;20,60601;20,68225;20,78613;21,04298;21,14841;21,18916;21,32741;21,34684;21,54824;21,66429;21,66429;21,96728;22,00779;22,02528;22,16581;22,24652;22,32889;22,46604;22,64679;22,78763;22,86917;22,92734;23,10811;23,14557;23,48667;23,56476;23,96804;24,04748;24,24663;24,2649;24,34484;24,52741;24,62801;24,7472;24,90734;25,1077;25,18632;25,32842;25,46515;25,70672;25,90713;25,98618;26,06888;26,14592;26,16766;26,46688;26,64896;26,86824;26,92828;27,22869;27,32927;27,40898;27,5688;27,66698;28,0272;28,0272;28,1293;28,40655;28,66582;28,82867;28,92784;29,1875;29,30877;29,409;29,46353;29,62725;29,90489;30,02847;30,04485;30,10917;30,42724;30,66403;30,8452;31,08409;31,30671;31,4648;31,64844;31,84497;31,88535;32,08913;32,10505;32,24752;32,36414;32,64499;32,70604;32,74947;33,00836;33,04493;33,2892;33,44884;33,58625;33,76525;34,14898;34,50841;34,56692;34,96613;35,42867;35,90659;36,74792;37,10941;38,06732
0,9335583;1,232999;1,311504;1,45628;1,69382;1,912318;2,014092;2,111693;2,133829;2,333284;2,37462;2,434057;2,714097;2,735007;2,910702;3,074641;3,095476;3,214523;3,355835;3,37667;3,414587;3,651872;3,69334;3,772811;3,953665;3,994319;4,072597;4,232607;4,293146;4,31408;4,455814;4,536993;4,716132;4,935474;5,115701;5,171218;5,236005;5,296629;5,436252;5,69447;5,714639;5,992855;6,033839;6,033839;6,213165;6,396552;6,471483;6,595842;6,672024;6,692039;6,712058;6,97653;7,21323;7,21323;7,331931;7,454947;7,613923;7,67336;7,73633;7,872;7,957047;8,009728;8,033814;8,492899;8,614364;8,635781;8,676389;8,93611;9,010901;9,11235;9,153273;9,232078;9,371645;9,414039;9,536048;9,634863;9,692372;9,992879;10,09132;10,136;10,136;10,31396;10,45341;10,51399;10,59247;10,83594;10,83594;10,9543;10,97333;11,2356;11,43315;11,47211;11,53686;11,69163;11,83374;11,89306;11,99521;12,29548;12,31522;12,49183;12,656;12,71329;12,89203;12,89203;12,95667;13,13238;13,37682;13,55299;13,79646;13,9367;14,0144;14,05216;14,2331;14,53478;14,55366;14,57245;14,67547;14,91253;15,13619;15,13619;15,35494;15,35494;15,39286;15,41386;15,67675;15,83465;15,95656;15,97525;16,03399;16,23489;16,4523;16,4768;16,61572;16,71587;16,79674;16,91121;17,07547;17,47551;17,49341;17,55587;17,65695;17,9365;17,99202;18,23577;18,31611;18,61669;18,91348;18,97197;19,47683;19,79664;19,81428;20,05333;20,27491;20,31269;20,59588;20,71412;20,7368;20,95236;21,05324;21,07308;21,15557;21,35544;21,45654;21,65606;21,67372;21,71176;21,99445;22,05213;22,09145;22,25661;22,43394;22,45686;22,65538;22,67337;22,83565;22,89159;23,15361;23,19258;23,19258;23,29601;23,39478;23,49491;23,77649;23,99291;24,05474;24,39482;24,41694;24,61559;24,7153;25,17538;25,37394;25,5735;25,65447;25,77601;26,19396;26,21556;26,43427;26,59488;26,6335;26,75352;26,87365;26,97306;27,27529;27,29673;27,53536;27,63253;27,77645;27,81296;27,9341;28,03595;28,05659;28,21481;28,31433;28,49472;28,53693;28,75365;28,7955;28,99242;29,05333;29,23374;29,27501;29,51612;29,61474;29,71567;29,93431;30,0926;30,21381;30,25616;30,49337;30,77473;30,95279;31,11396;31,47554;31,63538;31,93283;31,97327;32,23371;32,47566;32,67694;32,91504;33,23526;33,3725;33,67647;34,49276;34,7752;35,07374;35,43361;35,75291;36,71468;37,15611
1,13521;1,433203;1,494821;1,610409;1,631503;1,81342;1,895209;2,074651;2,175345;2,275078;2,514477;2,53551;2,649219;2,649219;2,832182;2,894373;2,993673;3,175509;3,190124;3,351617;3,431043;3,653361;3,711462;3,711462;3,910475;3,973063;4,071334;4,149001;4,231851;4,395319;4,593998;4,593998;4,794126;4,835123;4,890071;4,932555;5,035545;5,174373;5,293131;5,333515;5,61015;5,774245;5,814625;5,895696;6,29436;6,335037;6,553305;6,674538;6,772003;6,791644;7,014037;7,034604;7,254958;7,452537;7,574979;7,69026;7,852977;7,872199;7,872199;8,035188;8,230145;8,310265;8,592158;8,592158;8,729649;8,99286;9,01242;9,055073;9,153995;9,193942;9,39076;9,410617;9,510784;9,654292;9,754949;9,930667;9,975587;10,1912;10,25605;10,41522;10,51369;10,65091;10,73015;10,77047;11,11537;11,29194;11,35139;11,53512;11,57356;11,8545;11,89268;12,0541;12,11131;12,13428;12,31408;12,33443;12,47612;12,71586;12,79152;12,8298;13,09446;13,37029;13,43465;13,59476;13,63296;13,75496;14,03246;14,15501;14,35512;14,39591;14,47101;14,69539;14,70939;14,7751;15,13364;15,2156;15,25371;15,35416;15,53135;15,65486;15,69244;15,91043;15,93593;16,15149;16,17493;16,27366;16,51425;16,5726;16,61407;16,67402;16,7555;16,87327;17,15091;17,29508;17,61454;17,67346;17,79064;17,79064;17,83339;18,15554;18,29385;18,33032;18,6746;18,693;18,83224;19,17498;19,17498;19,19231;19,27389;19,43521;19,73414;19,7701;19,7701;19,97229;20,05453;20,13505;20,37463;20,3926;20,45129;20,61152;20,7121;21,03528;21,12986;21,3531;21,41528;21,49192;21,51413;21,75376;21,81617;21,89517;22,03387;22,19607;22,33276;22,43183;22,55553;22,59539;22,77497;22,91089;23,09587;23,2758;23,31526;23,47258;23,6301;23,75591;23,89462;23,91124;24,09404;24,33587;24,37508;24,39206;24,41522;24,63528;24,83458;24,87224;24,99342;25,0743;25,27559;25,27559;25,51247;25,87513;25,95154;26,13426;26,15587;26,39455;26,41117;26,67236;26,81352;26,9338;26,97581;27,17465;27,19616;27,31514;27,45553;27,4928;27,75586;27,99247;28,01371;28,23249;28,35333;28,47237;28,73525;28,75561;28,85335;29,37347;29,87164;30,1142;30,21167;30,51529;30,7133;31,39278;31,73232;31,85222;32,25222;32,29379;32,59435;32,89405;32,95399;33,3725;33,63592;33,85279;34,11187;34,39325;34,71172;34,99262;35,31459;35,55422;35,81277;36,13279;36,59201;36,91342
